Rijlabels;9530 - DEF specifiek;Eindtotaal
anoniem 1418;2;2
anoniem 1421;2;2
anoniem 1437;1;1
anoniem 1459;1;1
anoniem 1462;1;1
anoniem 1466;1;1
anoniem 1469;1;1
anoniem 1474;1;1
anoniem 1476;5;5
anoniem 1478;1;1
anoniem 1482;1;1
anoniem 1492;6;6
anoniem 1496;2;2
anoniem 1501;1;1
anoniem 1509;1;1
anoniem 1510;1;1
anoniem 1520;1;1
anoniem 1525;1;1
anoniem 1532;1;1
anoniem 1541;1;1
anoniem 1548;1;1
anoniem 1552;2;2
anoniem 1553;1;1
anoniem 1555;1;1
anoniem 1569;1;1
anoniem 1576;1;1
anoniem 1589;1;1
anoniem 1592;1;1
anoniem 1593;1;1
anoniem 1594;1;1
anoniem 1595;1;1
anoniem 1596;1;1
anoniem 1603;1;1
anoniem 1609;1;1
anoniem 1624;2;2
anoniem 1626;3;3
anoniem 1627;1;1
anoniem 1642;1;1
anoniem 1644;1;1
anoniem 1645;1;1
anoniem 1660;2;2
anoniem 1682;1;1
anoniem 1689;1;1
anoniem 1691;1;1
anoniem 1694;1;1
anoniem 1697;1;1
anoniem 1702;2;2
anoniem 1707;1;1
anoniem 1712;1;1
anoniem 1717;1;1
anoniem 1718;1;1
anoniem 1722;1;1
anoniem 1723;1;1
anoniem 1724;1;1
anoniem 1726;1;1
anoniem 1741;2;2
anoniem 1768;1;1
anoniem 1774;1;1
anoniem 1792;3;3
anoniem 1802;3;3
anoniem 1803;1;1
anoniem 1819;1;1
anoniem 1834;1;1
anoniem 1835;1;1
anoniem 1846;1;1
anoniem 1850;1;1
anoniem 187;1;1
anoniem 1875;1;1
anoniem 1876;1;1
anoniem 1878;1;1
anoniem 1879;1;1
anoniem 1880;1;1
anoniem 1881;1;1
anoniem 1882;1;1
anoniem 1883;1;1
anoniem 1884;1;1
anoniem 1885;1;1
anoniem 1886;1;1
anoniem 1890;1;1
anoniem 1893;1;1
anoniem 1899;2;2
anoniem 1906;1;1
anoniem 1910;1;1
anoniem 1917;1;1
anoniem 1920;2;2
anoniem 1929;1;1
anoniem 1939;1;1
anoniem 1946;1;1
anoniem 1964;1;1
anoniem 1967;1;1
anoniem 1970;1;1
anoniem 1973;2;2
anoniem 1979;1;1
anoniem 1994;1;1
anoniem 2010;1;1
anoniem 2013;1;1
anoniem 2034;1;1
anoniem 2035;3;3
anoniem 2039;1;1
anoniem 2048;2;2
anoniem 2054;1;1
anoniem 2067;2;2
anoniem 208;1;1
anoniem 2099;1;1
anoniem 2112;1;1
anoniem 2120;1;1
anoniem 2123;1;1
anoniem 2125;1;1
anoniem 2135;1;1
anoniem 2136;2;2
anoniem 2143;1;1
anoniem 2144;1;1
anoniem 2145;1;1
anoniem 2147;1;1
anoniem 2148;1;1
anoniem 2149;1;1
anoniem 2151;1;1
anoniem 2160;2;2
anoniem 2167;1;1
anoniem 2194;1;1
anoniem 2200;1;1
anoniem 2209;1;1
anoniem 2222;1;1
anoniem 2223;1;1
anoniem 2226;1;1
anoniem 2238;1;1
anoniem 2245;1;1
anoniem 2246;1;1
anoniem 2249;1;1
anoniem 2251;1;1
anoniem 2252;1;1
anoniem 2259;1;1
anoniem 226;4;4
anoniem 2260;1;1
anoniem 2261;1;1
anoniem 2264;1;1
anoniem 2265;2;2
anoniem 2266;1;1
anoniem 2274;1;1
anoniem 2279;1;1
anoniem 2281;2;2
anoniem 2295;2;2
anoniem 2302;1;1
anoniem 2303;1;1
anoniem 232;1;1
anoniem 2324;1;1
anoniem 2330;1;1
anoniem 2333;1;1
anoniem 2337;1;1
anoniem 2343;1;1
anoniem 2352;1;1
anoniem 2356;1;1
anoniem 2363;2;2
anoniem 2366;1;1
anoniem 2378;1;1
anoniem 2390;1;1
anoniem 2409;1;1
anoniem 2421;2;2
anoniem 2438;1;1
anoniem 2455;1;1
anoniem 2457;1;1
anoniem 2462;1;1
anoniem 2468;1;1
anoniem 2470;1;1
anoniem 2471;1;1
anoniem 2494;1;1
anoniem 2498;1;1
anoniem 2499;1;1
anoniem 2503;1;1
anoniem 2508;1;1
anoniem 2510;1;1
anoniem 2517;1;1
anoniem 2518;1;1
anoniem 2520;1;1
anoniem 2521;3;3
anoniem 2522;1;1
anoniem 255;1;1
anoniem 2557;1;1
anoniem 2558;2;2
anoniem 2559;1;1
anoniem 2565;2;2
anoniem 2571;1;1
anoniem 258;1;1
anoniem 2598;1;1
anoniem 2599;2;2
anoniem 2610;1;1
anoniem 2611;1;1
anoniem 2616;2;2
anoniem 2644;2;2
anoniem 2653;2;2
anoniem 2665;1;1
anoniem 2680;1;1
anoniem 2702;1;1
anoniem 2710;1;1
anoniem 2717;1;1
anoniem 2737;1;1
anoniem 2739;1;1
anoniem 2743;1;1
anoniem 2745;1;1
anoniem 2754;1;1
anoniem 2770;1;1
anoniem 2773;1;1
anoniem 2789;1;1
anoniem 2811;1;1
anoniem 306;1;1
anoniem 330;1;1
anoniem 352;1;1
anoniem 358;2;2
anoniem 377;1;1
anoniem 4;1;1
anoniem 412;1;1
anoniem 415;1;1
anoniem 425;1;1
anoniem 458;1;1
anoniem 466;1;1
anoniem 479;2;2
anoniem 50;1;1
anoniem 507;1;1
anoniem 511;5;5
anoniem 520;4;4
anoniem 522;1;1
anoniem 526;1;1
anoniem 540;2;2
anoniem 544;1;1
anoniem 593;7;7
anoniem 642;1;1
anoniem 68;1;1
anoniem 69;1;1
anoniem 7;2;2
anoniem 71;2;2
anoniem 728;1;1
anoniem 760;5;5
anoniem 767;2;2
anoniem 79;1;1
anoniem 82;2;2
anoniem 883;2;2
anoniem 884;1;1
anoniem 885;1;1
anoniem 886;1;1
anoniem 887;1;1
anoniem 888;1;1
anoniem 889;1;1
anoniem 890;1;1
anoniem 892;2;2
anoniem 893;2;2
anoniem 894;1;1
anoniem 895;1;1
anoniem 897;1;1
anoniem 900;1;1
anoniem 903;1;1
anoniem 904;2;2
anoniem 905;1;1
anoniem 906;1;1
anoniem 907;1;1
anoniem 908;2;2
anoniem 909;1;1
anoniem 911;1;1
anoniem 912;1;1
anoniem 913;1;1
anoniem 914;1;1
anoniem 915;1;1
anoniem 916;1;1
anoniem 918;1;1
anoniem 919;6;6
anoniem 920;2;2
anoniem 921;1;1
anoniem 922;1;1
anoniem 924;2;2
anoniem 925;3;3
anoniem 926;1;1
anoniem 927;1;1
anoniem 929;1;1
anoniem 930;1;1
anoniem 931;1;1
anoniem 934;2;2
anoniem 935;1;1
anoniem 937;1;1
anoniem 938;1;1
anoniem 939;1;1
anoniem 940;1;1
anoniem 941;2;2
anoniem 944;1;1
anoniem 945;2;2
anoniem 946;1;1
anoniem 947;1;1
anoniem 949;1;1
anoniem 950;2;2
anoniem 952;2;2
anoniem 953;1;1
anoniem 955;1;1
anoniem 956;1;1
anoniem 957;2;2
anoniem 958;1;1
anoniem 960;1;1
anoniem 961;1;1
anoniem 962;2;2
anoniem 964;1;1
anoniem 965;1;1
anoniem 966;1;1
anoniem 967;3;3
anoniem 968;1;1
anoniem 969;1;1
anoniem 970;1;1
anoniem 971;1;1
anoniem 972;1;1
anoniem 973;1;1
anoniem 974;1;1
anoniem 975;1;1
anoniem 976;1;1
anoniem 977;1;1
anoniem 978;1;1
anoniem 980;1;1
anoniem 981;1;1
anoniem 982;1;1
anoniem 983;1;1
anoniem 984;1;1
anoniem 986;4;4
anoniem 987;1;1
anoniem 988;1;1
anoniem 990;1;1
anoniem 991;1;1
anoniem 992;1;1
anoniem 993;1;1
Apex Global B.V.;5;5
Apox B.V.;1;1
Aqua Safety B.V.;1;1
Archery Service Center;1;1
Arjo Nederland B.V.;1;1
ArjoHuntleigh Nederland B.V.;1;1
Arseus Dental Nederland;1;1
Arteca Nederland B.V.;2;2
Arthrex Nederland B.V.;2;2
Artihove Regina B.V.;1;1
A-Safe B.V.;1;1
Asecos B.V.;1;1
ASF International;1;1
Askove Kunststof Industrie B.V.;2;2
Össur Europe B.V.;4;4
Atimo Nederland B.V.;1;1
ATIS;2;2
Atlas Copco Internationaal B.V.;4;4
Atos Medical B.V.;1;1
Audion Elektro B.V.;2;2
Automator B.V.;1;1
Autoplex Zevenaar B.V.;1;1
AVE Orthopedische Klinieken B.V.;1;1
Aviocom B.V.;2;2
Avnet B.V.;1;1
B. Braun Medical B.V.;2;2
B.V. Adviesbur. Mach. en Werktuigen 'A.M.W.';1;1
B.V. Eerste Hulp Dichtbij!;1;1
B.V. Etap;1;1
B.V. Ludre;3;3
B.V. Ned. Instrumenten Compagnie 'Nedinsco';1;1
B.V. Nederlandse Optische Industrie E.N.O.T.;2;2
B.V. Technisch Bureau Duspra;1;1
B.V. Technisch Bureau Uittenbogaart;1;1
B.V. Vega Meet- en Regeltechniek;2;2
B.V. Verenigde Instrumenthandel Salm & Kipp;1;1
B.V.D.A. International B.V.;1;1
Bals Nederland;1;1
BAP Medical B.V.;1;1
Baptist IJzerwaren & Gereedschappen;1;1
Basko Healthcare;1;1
Batenburg Mechatronica B.V.;1;1
Bauerfeind Benelux B.V.;3;3
Bax-shop.nl B.V.;1;1
BBO-ergo B.V.;2;2
BCD Travel B.V.;1;1
Bechtle direct B.V.;2;2
Becton Dickinson;1;1
Beele Engineering B.V.;1;1
Be-Ge Savas Seating B.V.;1;1
Belimed B.V.;1;1
Belko;1;1
Belpa B.V.;1;1
Bendertechniek B.V.;2;2
BENETEC Medical Systems;2;2
Best Deal Factors B.V.;1;1
Bijzonder Handig;1;1
BijzOndergoed;1;1
Billink B.V.;1;1
Bio Foam Cleaning;2;2
Biomedic B.V.;1;1
Bio-Racer;1;1
Bite Dental;1;1
BKV Groep B.V.;4;4
BKV Medische Diensten B.V.;1;1
Black Box International B.V.;1;1
Bleko Chemie B.V.;1;1
Blickle Wielen B.V.;1;1
Boekhandel Binnert Overdiep;1;1
Boekhandel De Slegte Leiden B.V.;1;1
Boekhandel Kettenis;1;1
Bokstijn Feestartikelen;1;1
Boom B.V.;2;2
Boom uitgevers Amsterdam B.V.;1;1
Bos Elektro B.V.;2;2
Bos Systemen V.O.F.;1;1
Bosch Rexroth B.V.;1;1
Boso B.V.;1;1
Bostik B.V.;1;1
Botman Roermond B.V.;1;1
Botter Trading;1;1
Brandsma B.V.;1;1
Brenntag Nederland B.V.;1;1
Brilliant Technology B.V.;3;3
Brouwer Motors B.V.;1;1
Brush HMA;1;1
Buijtendijk B.V.;1;1
Buiten in de Kuil B.V.;1;1
Buitensportavontuur;1;1
Buko Verhuur B.V.;2;2
Bureau Grosfeld B.V.;1;1
Buse Rijntechniek B.V.;1;1
Buveco Gasdetection B.V.;1;1
B-W Netherlands B.V.;1;1
C & M Labour Supply;2;2
C. R. Bard Netherlands Sales B.V.;1;1
C.N. Rood B.V.;2;2
Cablescan B.V.;1;1
Cablon Medical B.V.;1;1
Cadmes;2;2
Caiway;1;1
Caldic Nederland B.V.;1;1
Caldic Techniek B.V.;1;1
CameraNU.nl;1;1
Campro Scientific GmbH;1;1
Caparis Grafisch Centrum;1;1
Caparis N.V.;1;1
Carberto;2;2
CareFirst B.V.;3;3
CareFusion Netherlands 238 B.V.;2;2
Careland B.V.;1;1
CarePack Holland B.V.;1;1
Carl Zeiss B.V.;2;2
Carrosserie Akkermans B.V.;1;1
Caru Containers Verhuur B.V.;1;1
Catering Hanenburg B.V.;1;1
Cekumed B.V.;1;1
CELECTRIC B.V.;4;4
Cemex Trescon B.V.;1;1
Centercon B.V.;1;1
Central Point Nederland B.V.;1;1
Centralpoint Nijmegen B.V.;1;1
Centrum '45;3;3
Certichem Productions B.V.;1;1
CHS Special Products B.V.;1;1
Cisper Electronics B.V.;1;1
CLB Integrated Solutions B.V.;1;1
CM Staal;1;1
C-Mark B.V.;1;1
Coöp. Med. Special. Bedrijf Midden-Brabant UA;3;3
Coöp. Medisch Specialist. Bedrijf - Amphia UA;1;1
Coöperatie Esprolite Sound Productions UA;1;1
Coöperatie Orthopedie Groot Eindhoven UA;1;1
COBBS Industries B.V.;5;5
Codan B.V.;2;2
Coloplast B.V.;1;1
Color Wood Holding B.V.;1;1
CombiCraft;1;1
Combigas B.V.;1;1
Comfy Feet;1;1
Complete Store Van Dijk B.V.;1;1
Compressor Service Techniek B.V.;2;2
Confectiefabriek 'De Berkel' B.V.;1;1
Congress Care B.V.;1;1
Conrad Electronic Benelux B.V.;1;1
Consilium Marine Group AB;1;1
Consolit B.V.;1;1
Conspiro Projectmanagement B.V.;1;1
Constr.werkpl. H.K. v. Wingerden & Zn. B.V.;1;1
Constructor Dexion Holland B.V.;2;2
Convet B.V.;1;1
Coolblue B.V.;1;1
Co�peratief MSB Alrijne UA;4;4
Copoint Electronics B.V.;5;5
Cordstrap B.V.;1;1
Corpuls Benelux;2;2
Corpus Plus B.V.;2;2
Corrosion & Water-Control B.V.;2;2
Cosetec B.V.;2;2
COSMED Benelux B.V.;2;2
Crown Art;1;1
CSafe Global Coöperatief UA;1;1
CTS Nederland B.V.;2;2
Cura Mortu Orum Mortuariabeheer B.V.;1;1
Custers Hydraulica B.V.;2;2
Customeyes B.V.;2;2
CWN Spuitcabines Service & Onderhoud B.V.;2;2
Cyklop Nederland B.V.;1;1
Dörr Kampen B.V.;2;2
DAF Trucks N.V.;1;1
Dalmec B.V.;2;2
Damme Kunststoffen B.V.;1;1
Datec;1;1
Datema-Delfzijl B.V.;5;5
Daxtrio B.V.;1;1
D-Care;1;1
DCS Marine Waterjets B.V.;1;1
DDS Druma B.V.;1;1
De Bossche Specialisten Coöperatie UA;1;1
De Drie Pilaren;1;1
De HoedT Fysio manueletherapie;1;1
De Noord Chemicals B.V.;1;1
DE REE archiefsystemen;1;1
De Ridder B.V.;1;1
De Ridder Service Revisie en Meet B.V.;1;1
De Verf Grossier;1;1
Defenture B.V.;2;2
DELAIR;1;1
Deloitte Accountants B.V.;5;5
Delta Elektronika B.V.;1;1
Den Hartog B.V.;1;1
Denios B.V.;3;3
dental bauer Nederland B.V.;1;1
Dental Union B.V.;3;3
Dentalair Consumables B.V.;7;7
Dentalair Products Nederland B.V.;2;2
Denteck B.V.;1;1
Dent-Med Materials B.V.;1;1
Dentsply Sirona Benelux B.V.;1;1
Dermatologie St. Antonius Ziekenhuis;1;1
Desarc Designers en Architecten Bureau B.V.;1;1
Desdemona B.V.;5;5
Deventit B.V.;1;1
DGM Netherlands B.V.;1;1
DGM Support B.V.;1;1
Diagram B.V.;1;1
Diakonessenhuis Orthopaedie B.V.;1;1
Diakonessenhuis Utrecht;1;1
Dibo Nederland B.V.;1;1
Diebels Relatiegeschenken B.V.;1;1
Diesel Equipment Trading B.V.;1;1
Digital Revolution B.V.;1;1
Display Electronics;1;1
Dispo Medical B.V.;1;1
Disporta Eerstelijn B.V.;1;1
DMPT B.V.;1;1
DNM International B.V.;3;3
DNV GL Business Assurance;3;3
Doedijns B.V.;1;1
Dokkumer Vlaggen Centrale B.V.;1;1
Dometic Benelux B.V.;1;1
Doornse Apotheek B.V.;1;1
Doove Care Groep B.V.;1;1
Dormac Import B.V.;4;4
Dormatec B.V.;1;1
Dr. Weigert Nederland;1;1
Dräger Nederland B.V.;6;6
Drabbe;1;1
Drukkerij/kopieerservice Van Ek;1;1
Drumarkon International B.V.;2;2
DTG B.V.;1;1
Duitman Hengelo B.V.;1;1
Dutch Boxx Golfkarton B.V.;1;1
DutchAero B.V.;1;1
Dutraco Gouda B.V.;2;2
DWC B.V.;1;1
Dymato B.V.;1;1
E. Cure;1;1
Econosto Nederland B.V.;1;1
ECR Nederland B.V.;1;1
ECR-Hoofddorp;1;1
Edin B.V.;2;2
eerlijkmetrecht B.V.;1;1
Effgen-TDR Nederland V.O.F.;1;1
Eickemeyer Medische Techniek Dierenartsen BV;1;1
Eiffel B.V.;2;2
Eilers Handel Nederland B.V.;1;1
EKB Groep B.V.;1;1
ELA Coatings B.V.;1;1
Elauma B.V.;2;2
Elcee Holland B.V.;1;1
Electro-Cap Center B.V.;1;1
Electrostart B.V.;2;2
Elektron Nederland;1;1
Element Materials Technology Amsterdam B.V.;1;1
Elfa Elementenfabriek B.V.;6;6
Elis Nederland B.V.;1;1
Elysee Dental Solutions B.V.;2;2
Emcend B.V.;2;2
Emdamed B.V.;1;1
Emdaplast B.V.;1;1
E-Medical;2;2
Emergomed;2;2
Emid;1;1
Emka Nederland B.V.;1;1
emkei95;1;1
EnerSys B.V.;2;2
Engels;3;3
Enmo Nederland B.V.;1;1
Enraf-Nonius B.V.;3;3
E-Outletstores B.V.;1;1
EPG Hydraulistics;1;1
EPMC Europe B.V.;2;2
Eputan Kunststoftechniek B.V.;1;1
ERBE Nederland B.V.;2;2
Eriks B.V.;4;4
Erkon Engineering B.V.;2;2
Esab Nederland B.V.;1;1
Esler B.V.;2;2
Essilor Nederland B.V.;4;4
Eurocept B.V.;2;2
Eurocept Zorglogistiek;3;3
Euroforum;1;1
Eurofysica B.V.;1;1
Euro-Index B.V.;2;2
Eurostat Benelux;1;1
Eurosteriel Medical B.V.;1;1
Excent RibÃ´t Tandtechniek Groningen;2;2
Excent Tandtechniek Amsterdam B.V.;2;2
Excent Tandtechniek Bergen op Zoom B.V.;2;2
Exide Technologies B.V.;2;2
EXO-L B.V.;1;1
Exploitatie Maatschappij Komfort B.V.;1;1
EyeVinci B.V.;2;2
F & L Powerrental B.V.;7;7
Fabory Nederland;1;1
FactorPlus B.V.;1;1
Faes Cases B.V.;4;4
Faes Group B.V.;2;2
Fagron Nederland B.V.;4;4
Farnell (Netherlands) B.V.;2;2
Fast Feet t.h.o.d.n. Runnersworld Hoorn;1;1
Federal Express Nederland;1;1
Felder Nederland B.V.;1;1
Felix Trading B.V.;2;2
FHI, Federatie van Technologiebranches;5;5
Fietsen op Maat;1;1
Film Atelier Den Haag;2;2
Fisher Emergo B.V.;2;2
Fizi;1;1
Flevorubber Extrusion B.V.;2;2
Fluke Nederland B.V.;1;1
Forehand Electronic Extensions B.V.;1;1
FORMAAT Nederland;1;1
Formex Medical B.V.;1;1
FRAMO C.V.;1;1
Fresenius Kabi Nederland B.V.;2;2
Friand Elektrotechniek B.V.;1;1
Fries Tandtechnisch Laboratorium B.V.;1;1
FUJIFILM France;2;2
FysioHolland B.V.;1;1
Fysioservice;1;1
FysioSupplies B.V.;1;1
Fysiotherapie Works;1;1
G & G Trading B.V.;1;1
G.F.P. (Gear for Professionals) B.V.;3;3
G.J. Wortelboer jr. B.V.;2;2
G.M.S. Instruments;1;1
Garmin Nederland B.V.;3;3
GD Medical Pharma B.V.;1;1
GE Healthcare B.V.;3;3
GEA Refrigeration Netherlands N.V.;1;1
Gebr. Bonenkamp Techniek en Handel B.V.;1;1
Gencom Products B.V.;1;1
Genimedical B.V.;1;1
Geodirect B.V.;2;2
Geografische Boekhandel Pied � Terre B.V.;1;1
Geostick Nederlandse Etikettenindustrie B.V.;1;1
Getinge Netherlands B.V.;2;2
Geveke Werktuigbouw B.V.;2;2
Gezondheid aan huis B.V.;1;1
Gezondheidscentrum 't Slag;1;1
GGZ Dennenweg;1;1
GGZ inGeest Overschiestraat;1;1
GGzE;1;1
Gigalink Microwave Conn. Engineering B.V.;2;2
Gijtenbeek Utrecht B.V.;1;1
Globe Test Equipment B.V.;2;2
GLS Netherlands;1;1
GM Products B.V.;4;4
Go B.V.;1;1
Goebertus Trading B.V.;1;1
Goedegebuure Tandtechniek;2;2
Goodstore;1;1
Gooiland B.V.;1;1
Gordian Logistic Experts B.V.;3;3
Gotcha;2;2
Govers Den Helder;2;2
Grafimedics B.V.;1;1
Greiner Bio-One B.V.;1;1
Groenendijk Microfilm- en Scanservice B.V.;1;1
Groot Diving;1;1
Groveko;1;1
Gullimex B.V.;1;1
H.D. van Dijk Reinigingstechniek B.V.;2;2
Haagse Transvaal en Sport Apotheek;1;1
Haagse Transvaal en Sport Apotheek B.V.;1;1
Habia Cable B.V.;2;2
Habraken B.V.;2;2
HACH;1;1
Haemonetics B.V.;3;3
Haenel Kantoor en Magazijnsystemen;1;1
Hako B.V.;6;6
Haltronic Electro-Installaties B.V.;1;1
Hamer B.V.;1;1
Handelsonderneming Dirks B.V.;1;1
Handelsonderneming Gebrs. Van Walraven B.V.;1;1
Handelsonderneming Van der Blij B.V.;2;2
Handelsonderneming Van Huigenbos B.V.;1;1
Haneu Nederland B.V.;1;1
Hankamp Rehab B.V.;1;1
Hanna Instruments;1;1
Hanshall Limited;1;1
Hape Aviation & Marine Service;1;1
Hapoh Handelsonderneming V.O.F.;1;1
Harmeling Sports B.V.;1;1
Hartech Meet- & Testapparatuur B.V.;1;1
Harting-Bank B.V.;1;1
Hatenboer-Water B.V.;1;1
HBM Machines B.V.;1;1
HDW Nederland B.V.;1;1
Health2Work B.V.;1;1
Heel Natuurlijk Hattem;1;1
Heidenhain Nederland B.V.;1;1
Heijnen B.V.;3;3
Heinen & Hopman Engineering B.V.;1;1
Hella Benelux B.V.;1;1
Hemimex B.V.;4;4
Hendrik Veder Group B.V.;1;1
Henk Maas Weegschalen B.V.;1;1
Henkel Nederland B.V.;1;1
Henry Schein Dental;1;1
Henry Schein Medical B.V.;2;2
Hersenletsel.nl pat.ver./m.m. niet-aang. h.l.;1;1
Herzog Medical B.V.;2;2
Het NIC B.V.;4;4
Hettich Benelux B.V.;2;2
HHF Consult;1;1
Hiab Benelux B.V.;1;1
HighCare;1;1
HILL-ROM B.V.;1;1
Hiltex Technische Weefsels B.V.;2;2
Hilti Nederland B.V.;2;2
Hiltra Barneveld B.V.;2;2
Historia Militum;1;1
Hi-Tech Electronic Components B.V.;1;1
Hitma Instrumentatie B.V.;1;1
HMC Westeinde;1;1
Hobrand B.V.;1;1
Hoekstra Onderzoek en Documentatie;1;1
Hogrefe Uitgevers B.V.;1;1
Holland Inbouw;1;1
Holland Safety B.V.;2;2
Holland Technical;4;4
Hollandse Hoogte B.V.;1;1
Holmatro Rescue Equipment;4;4
Hostnet B.V.;1;1
HPS Industrial B.V.;1;1
HSK Interventie B.V.;1;1
Hugen Brandbeveiliging en Adviesbureau B.V.;5;5
Hugen Maintenance for Aircraft B.V.;5;5
Huisartsenpraktijk Aan de Donge;1;1
Huisartsenpraktijk 'Haasjes';1;1
Huisartsenpraktijk Molenstraat;1;1
Humeca B.V.;1;1
HUMUS;1;1
Hytech;5;5
Hytorc Nederland B.V.;2;2
I.C.S. (Industrial Cryogenic Services) B.V.;1;1
igus B.V.;1;1
Imbema Cleton B.V.;1;1
Imbema Rhiwa B.V.;1;1
imc Test & Measurement B.V.;3;3
IMCD Benelux;1;1
Impulse Info Systems;1;1
Indonesisch Restaurant Warung Adinda;1;1
Industrie- en Handelsonderneming Huberts B.V.;1;1
Industrietechniek Smit & Hoogewerf;1;1
Informatique Computers & Componenten;1;1
Ing.bur. en Techn. Hand.ondernem. Autron B.V.;3;3
Ingersoll-Rand Netherlands B.V.;1;1
Ingressus B.V.;3;3
Inham Hi-Safe Systems B.V.;1;1
Inno Dock Support B.V.;1;1
Innovative Fire Fighting Solutions B.V.;2;2
Innoventa B.V.;6;6
InSpine Netherlands B.V.;1;1
Insulcon B.V.;1;1
Int. Handelsonderneming 'Explora' B.V.;1;1
Intercédé B.V.;1;1
Intercel Europe B.V.;1;1
Interflon Holland B.V.;1;1
International Paint (Nederland) B.V.;1;1
Intersafe Groeneveld B.V.;2;2
Interspiro B.V.;5;5
Intersurgical Benelux B.V.;3;3
Intos B.V.;1;1
Intronics;1;1
IPO Medical B.V.;1;1
Istec International B.V.;1;1
IT4Success B.V.;1;1
itsme B.V.;6;6
ITW Welding Products B.V.;1;1
IVA Groep B.V.;2;2
Jalema B.V.;1;1
Jan van Velden & Co. B.V.;1;1
Jeveka B.V.;1;1
Joh. Boomsma V.O.F.;1;1
Joh.Th. Schulte B.V.;1;1
Johnson & Johnson Medical B.V.;3;3
Jongeneel Verpakkingen B.V.;1;1
Jongsma Containers B.V.;6;6
Jos America Machines B.V.;1;1
Jos ten Berg's Handelmaatschappij B.V.;1;1
Jumo Meet- en Regeltechniek B.V.;1;1
Jungheinrich Nederland B.V.;2;2
Jura Nederland B.V.;1;1
K.M. A. Logistics and Textiles B.V.;1;1
Kabel Meet Techniek-Services B.V.;1;1
Kabel-Zaandam B.V.;1;1
Kalmar Netherlands B.V.;2;2
Kaltenbach Tools B.V.;3;3
Kamera Express;1;1
Karcher B.V.;2;2
Kavo Nederland B.V.;5;5
KBS Advocaten N.V.;1;1
Kelvion Machine Cooling B.V.;1;1
Kemet Europe B.V.;2;2
Kenbri Fire Fighting B.V.;7;7
KenK;1;1
Kent Nederland B.V.;1;1
Keram. Tandtechn. Laborat. G. Scholten B.V.;2;2
Kerst Company B.V.;2;2
Key Music Nederland B.V.;2;2
Keyprocessor B.V.;1;1
Keysight Technologies Netherlands B.V.;5;5
Kiekens Products B.V.;1;1
Kistler B.V.;1;1
Kitchen&More;1;1
