Leveranciers;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
Arens Bureau voor Strand en Duin Onderzoek;1;;;;;;1
Argentijns Restaurant San Telmo B.V.;1;;;;;;1
Aris;3;;;;;;3
Arjen Vos Fotografie;1;;;;;;1
Arkema t.h.o.d.n. Jumbo Arkema;1;;;;;;1
Arnhems Persagentschap - APA Foto;1;;;;;;1
Art Centre Delft;1;;;;;;1
Art for More B.V.;1;;;;;;1
Artful Leadership;1;;;;;;1
Artiestenverloningen B.V.;1;;;;;;1
Artikraak;1;;;;;;1
Arup B.V.;2;;;;;;2
Ascom (Nederland) B.V.;1;;;;;;1
Astra Consultancy;2;;;;;;2
At Osborne B.V.;6;;;;;;6
atelier 1:1 B.V.;1;;;;;;1
Atelier Groenblauw / Opmaat;2;;;;;;2
Atelier Henk de Bouter;1;;;;;;1
Atelier Heuvel;1;;;;;;1
ATK Grootkeukentechniek B.V.;1;;;;;;1
Atlas Reizen B.V.;1;;;;;;1
Atlas Schilder- en Onderhoudsbedrijf;1;;;;;;1
Atlas voor Gemeenten B.V.;2;;;;;;2
Atos Consulting N.V.;5;;;;;;5
Atos Nederland B.V.;7;6;;;2;;7
Atrinet B.V.;2;;;;;;2
Attractie Verhuur Moonen B.V.;1;;;;;;1
Authentiek leiderschap B.V.;1;;;;;;1
Auto & Service;1;;;;;;1
Automotive Publishing B.V.;2;1;;;2;;2
AutomotiveNL B.V.;1;;;;;;1
Avans Hogeschool;1;;;;;;1
Avex B.V.;3;;;;;;3
Aviv B.V.;5;;;;;;5
Avus Nederland;2;;;;;;2
Awareness B.V.;1;;;;;;1
A-Way Events & Wellness B.V.;1;;;;;;1
AXA;1;;;;;;1
Axolution;1;;;;;;1
Axu Verkeer en Vervoer B.V.;2;;;;;;2
B. Wesselink - sustainab. res., conn., lect.;2;;;;;;2
B.V. Aannemingsmij. De Branding, v/h J. Stolk;1;;;;;;1
B.V. Alg. Ned. Drukkerij Onderneming A.N.D.O.;1;;;;;;1
B.V. Algemeen Nederlands Persbureau ANP;1;;;;;;1
B.V. Cartografisch Instituut 'Cito-Plan';1;;;;;;1
B.V. Hotel Bel Air Den Haag;2;;;;;;2
B.V. Perscentrum Nieuwspoort;1;;;;;;1
B.V. Reederij 'Oosterschelde';1;;;;;;1
B.V. Touringcarbedrijf E.D.A.D.;1;;;;;;1
B.V. Vega Meet- en Regeltechniek;1;;;;;;1
Bagger- en Aannem.maatsch. Van der Kamp B.V.;3;;;;;;3
Baker Tilly Berk Breda;3;2;;;;;3
Bakker Bedrijfswagens Apeldoorn;1;;;;;;1
Bakker Consultancy;1;;;;;;1
Bakkerij v. Keulen;1;;;;;;1
Bakx & Meijer catering en organisatie;1;;;;;;1
Balance B.V.;1;;;;;;1
Balance Ervaring op Projectbasis B.V.;6;;;;;;6
Balans & Impuls B.V.;1;;;;;;1
Bally's eten & drinken;1;;;;;;1
Balthazar Communicatie en Evenementen;1;;;;;;1
Balticode Nederland B.V.;2;;;;;;2
BAM Accommodatie Asset Management B.V.;2;;;;;;2
BAM Bouw en Techniek B.V.;1;;;;;;1
BAM Infra Telecom B.V.;3;;;;;;3
Bamboe Consultancy & Training;1;;;;;;1
Bandenservice Klaas van der Eijk B.V.;1;;;;;;1
Banketbakkerij Boheemen;1;;;;;;1
Banketbakkerij en Chocolaterie Wesseling B.V.;1;;;;;;1
Banketbakkerij Maison Kelder B.V.;1;;;;;;1
Banketbakkerij Verspeek;1;;;;;;1
Banus Supermark t.h.o.d.n. Albert Heijn;1;;;;;;1
Bar Le Duc;1;;;;;;1
Bar Restaurant Pavlov B.V.;1;;;;;;1
Barbacoa;1;;;;;;1
Barbarossa Beach B.V.;1;;;;;;1
Barbecue-Restaurant De Heuvelrug;1;;;;;;1
Barthen Rioleringswerken B.V.;1;;;;;;1
BAS Consultancy B.V.;2;;;;;;2
Bas van Horn;1;;;;;;1
Basaal;1;;;;;;1
Bastion Hotel Terbregseplein B.V.;1;;;;;;1
Bastion Hotel Utrecht B.V.;1;;;;;;1
Bastion Hotelgroep B.V.;1;;;;;;1
BBA Binnenmilieu, Feelgoodbuild. Consultants;2;;;;;;2
BCN B.V.;1;;;;;;1
BDA Dakadvies;2;;;;;;2
BDS Harlingen B.V.;1;;;;;;1
Beachclub 57;1;;;;;;1
BeanBrothers;2;;;;;;2
Beatrixtheater B.V.;1;;;;;;1
Becis B.V.;4;;;;;;4
BECO Groep B.V.;2;;;;;;2
Bedr.verzorg. Onderaannem. van Sommeren B.V.;1;;;;;;1
Beeldleveranciers Coöperatief UA;1;;;;;;1
BeeldopBouw;1;;;;;;1
Behind the Story;1;;;;;;1
Being There B.V.;2;;;;;;2
Beleidstheater;2;;;;;;2
Belgisch Biercafé Olivier B.V.;1;;;;;;1
Bellevue Groothoofd hotel culinair B.V.;1;;;;;;1
Benelux Solar & Techn. Syst.-Applicat. B.V.;1;;;;;;1
Berenschot B.V.;5;;;;;;5
Berenschot Groep B.V.;5;;;;;;5
Berkx maatwerk voor woning en bedrijf;1;;;;;;1
Besseling Travel B.V.;1;;;;;;1
Bestia et Lex, Luuk Boerema Juridisch adv.;1;;;;;;1
Bestra Interbouw B.V.;1;;;;;;1
'Betonvereniging';1;;;;;;1
Better Future Factory;1;;;;;;1
Better Future Factory B.V.;1;;;;;;1
Between B.V.;;2;;;;;2
Beuk Touringcars;1;;;;;;1
Bev. der Bouwk. Bond v. Nederland. Arch. BNA;2;;;;;;2
Beweeggeluk;2;;;;;;2
Bex*communicatie;2;;;;;;2
BG Holding;1;;;;;;1
BHW advocaten;1;;;;;;1
Bierbrouwerij De Koningshoeven B.V.;1;;;;;;1
Bierman Henket architecten B.V.;2;;;;;;2
bijboom;1;;;;;;1
Bijma Beheer B.V.;1;;;;;;1
Bijnsdorp Communicatie Projecten B.V.;1;;;;;;1
Bikeshop Lelystad;1;;;;;;1
Bikeshop Lelystad B.V.;1;;;;;;1
Bilderberg Europa Hotel Scheveningen;1;;;;;;1
Bilderberg Grand Hotel Wientjes;1;;;;;;1
Biljoen Groen Velp N.V.;1;;;;;;1
BIM Media B.V.;1;;;;;;1
Bingham Schiedam B.V.;1;;;;;;1
BIS Bedrijfs Informatie Systemen B.V.;1;;;;;;1
Bisnez Management B.V.;3;;;;;;3
Bison Bowling;1;;;;;;1
Bitman;1;;;;;;1
Bizzdesign Consultancy B.V.;1;;;;;;1
BK Bouw- en Milieuadvies B.V.;2;;;;;;2
Bliksems B.V.;1;;;;;;1
Bloemenshop Rozeneiland;1;;;;;;1
Bloemententoonstelling Keukenhof B.V.;1;;;;;;1
Bloesom Realisatiecoach;1;;;;;;1
Blok Interrek B.V.;1;;;;;;1
Blom's Automobielbedrijf;1;;;;;;1
Blueconomy B.V.;4;;;;;;4
Blueland Consultancy B.V.;2;;;;;;2
Bluestream ROV B.V.;2;;;;;;2
BMA Ergonomics B.V.;1;;;;;;1
BMC Advies B.V.;2;;;;;;2
BNF B.V.;1;;;;;;1
Bob de Ronde en Partners;2;;;;;;2
Bob Kommer Soundstudio's B.V.;1;;;;;;1
Bobbe International B.V.;1;;;;;;1
Bodemkundig Adviesbureau Edelman B.V.;2;;;;;;2
Boeketcadeau.nl;1;;;;;;1
Boekhandel De Omslag C.V.;1;;;;;;1
Bohms Beheer;1;;;;;;1
BOL Handelsonderneming B.V.;1;;;;;;1
bol.com B.V.;1;;;;;;1
Bolwerk Communications B.V.;1;;;;;;1
Bombance;1;;;;;;1
Bombs Away B.V.;1;;;;;;1
Bondsbureau KNKV;2;;;;;;2
Bongaloo;1;;;;;;1
Bonke & Zn. Schilders- en Afwerkingsbedrijf;1;;;;;;1
Bont Consult;2;;;;;;2
Boom & Bos B.V.;1;;;;;;1
Boom Kantoorprojecten;1;;;;;;1
Boonstra Elektronika;1;;;;;;1
Booqi Media Solutions B.V.;2;;;;;;2
Boost Events;1;;;;;;1
Bosch en Slabbers Den Haag B.V.;2;;;;;;2
Boskalis Nederland B.V.;4;;;;;;4
Boskalis Nederland Infra B.V.;2;;;;;;2
Boswachter Liesbosch B.V.;1;;;;;;1
Bouma Technisch Installatiebedrijf;1;;;;;;1
Bouter B.V.;1;;;;;;1
Bouwbedrijf Salverda B.V.;1;;;;;;1
BouwXP;1;;;;;;1
Bovenkamers;1;;;;;;1
Bovo-Tours B.V.;1;;;;;;1
BPI Services B.V.;1;;;;;;1
Brabanthallen;4;;;;;;4
Brainville B.V.;1;;;;;;1
Bramer Advies;1;;;;;;1
Branger Verkoop B.V.;1;;;;;;1
Brasserie De Boerderij;1;;;;;;1
Brasserie 't Raethuys;1;;;;;;1
Brasserie Zo Gewoon;1;;;;;;1
Bredemeijer Group B.V.;1;;;;;;1
Breijer Contractonderhoud B.V.;2;;;;;;2
Brenntag Nederland B.V.;1;;;;;;1
Bret B.V.;1;;;;;;1
Breugel Infra Ondersteuning;3;;;;;;3
Breur IJzerhandel Vlietlaan B.V.;1;;;;;;1
Breustedt Chemie;1;;;;;;1
Brightsight B.V.;2;;;;;;2
Brilman B.V.;1;;;;;;1
Brimos Borden B.V.;1;;;;;;1
Brimos Techniek B.V.;1;;;;;;1
Broesder Advies & Ondersteuning;1;;;;;;1
Brood & Banketbakkerij Prins B.V.;1;;;;;;1
Broodje Euro;1;;;;;;1
Broodje Horeca;1;;;;;;1
Broos Water B.V.;1;;;;;;1
Brouw B.V.;1;;;;;;1
Brouwer's Tours B.V.;1;;;;;;1
Bruynzeel Home Products B.V.;2;;;;;;2
Brw Holding B.V.;1;;;;;;1
BSDV;4;;;;;;4
BSI Group The Netherlands B.V.;1;;;;;;1
BT Professional Services Nederland B.V.;4;;;;;;4
BTS;1;;;;;;1
Buck Consultants International B.V.;6;;;;;;6
BudgetVertalingOnline;1;;;;;;1
Buijze Management & Advies;2;;;;;;2
Building Bits B.V.;3;;;;;;3
Buiten, bureau voor Economie & Omgeving B.V.;5;;2;;;;5
Buiten-Beeld;1;;;;;;1
Buitengoed Hagenhorst Exploitatie B.V.;2;;;;;;2
Buitengoed Uylenburg B.V.;1;;;;;;1
Buitenplaats Vaeshartelt B.V.;1;;;;;;1
Buitenpoort Catering B.V.;1;;;;;;1
BUNKER Theaterzaken B.V.;1;;;;;;1
Bur. B + B Stedeb. en Landschapsarch. B.V.;;1;;;;;1
Bureau Basta!;1;;;;;;1
Bureau BlauwGeel B.V.;2;;;;;;2
Bureau Blueland;2;;;;;;2
Bureau Buitenlucht;2;;;;;;2
Bureau Integriteit B.V.;1;;;;;;1
Bureau Karin de Lange B.V.;1;;;;;;1
Bureau La Poutre;2;;;;;;2
Bureau Lorient Communicatie B.V.;1;;;;;;1
Bureau Louter;1;;;;;;1
Bureau Marinke van 't Hoff;;;;2;;;2
Bureau Mouton B.V.;2;;;;;;2
Bureau Mozaiek;1;;;;;;1
Bureau Plano;2;;;;;;2
bureau Ruimtewerk;4;;;;;;4
Bureau Sanering Verkeerslawaai;7;;;;;;7
Bureau voor Beeldzaken;1;;;;;;1
Bureau voor Overheidscommunicatie B.V.;3;;;;;;3
Bureau Waardenburg B.V.;2;;;;;;2
Bureau Zuidema B.V.;2;;;;;;2
Burger Coaching & Advies;2;;;;;;2
Burgerz Beheer B.V.;1;;;;;;1
Burghoorn Trainingen;2;;;;;;2
Buro Bolder;3;;;;;;3
Buro C5;3;;;;;;3
Buro Duo-Advies;2;;;;;;2
Burrough B.V.;2;;;;;;2
Burson-Marsteller;1;;;;;;1
Business Openers B.V.;3;;;;;;3
button media B.V.;1;;;;;;1
Buzzcapture B.V.;3;;;;;;3
BuzzMaster B.V.;2;;;;;;2
BVM-Advies B.V.;2;;;;;;2
BVR Advis. Sted. Ontw. en Management B.V.;1;;;;;;1
C&F B.V.;2;;;;;;2
C. van der Wal Fotografie;1;;;;;;1
C.V. Rosarium Wokrestaurant Westbroekpark;1;;;;;;1
Cabaret De Gemeentereiniging;1;;;;;;1
Cachelot B.V.;3;;;;;;3
Cadenza B.V.;2;;;;;;2
Caesar Accounts;2;5;;;4;;6
Café 2005;1;;;;;;1
Café Bar Holland B.V.;1;;;;;;1
Café De Gekroonde Suikerbiet;1;;;;;;1
Café de Malle Meid;1;;;;;;1
Café Donner;1;;;;;;1
Cafe Lux;1;;;;;;1
Café Restaurant Merz;1;;;;;;1
Café Restaurant Rootz B.V.;1;;;;;;1
Café Waalzicht;1;;;;;;1
Café-Restaurant de Lage Vuursche;1;;;;;;1
Café-Restaurant New York Den Haag;1;;;;;;1
Caffe Carrello;1;;;;;;1
Calendar42;1;;;;;;1
Cals Consultancy;4;;;;;;4
Campus SUI MOVEO B.V.;5;;;;;;5
Canast B.V.;2;;;;;;2
Cancer Health Coach;2;;;;;;2
Canon Nederland N.V.;1;;;;;;1
Capcloud;1;;;;;;1
Capgemini Educational Services B.V.;2;;;;;;2
CAPGEMINI NEDERLAND B.V.;7;5;;;;;7
CapitalP B.V.;1;;;;;;1
Carat Nederland B.V.;1;;;;;;1
Card Vision B.V.;1;;;;;;1
Carlton Beach Club;1;;;;;;1
Carola Straatman Grafisch Ontwerp;1;;;;;;1
Carthago ICT;1;;;;;;1
Caseware Idea B.V.;1;;;;;;1
Castle Communications B.V.;5;;;;;;5
Casu Utrecht B.V.;1;;;;;;1
Catering De Steiger V.O.F.;1;;;;;;1
Catering Oud London B.V.;1;;;;;;1
CdM communicatie;1;;;;;;1
CE Delft;4;;;;;;4
Cebeon Centr. Beleidsadviserend Onderz. B.V.;2;;;;;;2
Cenlau B.V.;1;;;;;;1
Cenosco Custom B.V.;1;;;;;;1
Central Point Nederland B.V.;1;;;;;;1
Centrale Organis. voor Radioactief Afval N.V.;2;;;;;;2
Centre for Generative Leadership B.V.;1;;;;;;1
Centric;3;;;;;;3
Centric Financial Professionals B.V.;2;;;;;;2
Centric Test & Security Professionals B.V.;2;;;;;;2
CENTURIO B.V.;2;;;;;;2
CGI;7;4;;;2;;7
CGI Nederland B.V.;3;;;;;;3
Chartworx B.V.;1;;;;;;1
Cheetah International B.V.;1;;;;;;1
CHEOPS, Studievereniging Bouwkunde;1;;;;;;1
Cherry Creek Ltd.;1;;;;;;1
Chev-A;2;;;;;;2
CHEW Consultancy;2;;;;;;2
China Delight B.V.;1;;;;;;1
China Shipping Agency Co. (Netherlands) B.V.;4;;;;;;4
Chocolaterie Le Cacao;1;;;;;;1
Chris Keulen Photography;1;;;;;;1
Chris Verhoef, Adviseur;1;;;;;;1
Christelijke Hogeschool Windesheim;2;;;;;;2
Chubb Fire & Security Alkmaar;2;;;;;;2
CIB Centraal InkoopBureau B.V.;1;;;;;;1
Cimco B.V.;4;;;;;;4
Cimsolutions;4;;;;;;4
Circulus-Berkel;2;;;;;;2
Circustheater Scheveningen B.V.;1;;;;;;1
Cistel Technology B.V.;2;;;;;;2
Cittaideale;;2;;;;;2
City Dust Studio;1;;;;;;1
CitySense B.V.;1;1;;;;;1
CivStruc Engineering;4;;;;;;4
CLETON&COM, Vastg.- en Ruimtel. ontwikkeling;2;;;;;;2
Climaintenance B.V.;2;;;;;;2
Climate Neutral Group B.V.;3;;;;;;3
ClimateContact Consultancy;2;;;;;;2
CLM Onderzoek en Advies B.V.;2;;;;;;2
Cloose;1;;;;;;1
Clou, voor Marketing, Informatie en Research;1;;;;;;1
CloudyDay B.V.;1;;;;;;1
CMS Derks Star Busmann;1;;;;;;1
Co.;1;;;;;;1
CO3 (I.H. Bannenberg);2;;;;;;2
Coastal & Marine Union;1;;;;;;1
Coen Zwezerijnen Verander. & Karakterbouwers;1;;;;;;1
Coform B.V.;1;;;;;;1
Collab B.V.;4;;;;;;4
College of Multimedia;1;;;;;;1
Colliers International Valuations B.V.;1;;;;;;1
Columbus Automatiser. t.h.o.d.n. KPN Exp.team;2;;;;;;2
Combined Efforts Milieu & Omgevingsadvisering;2;;;;;;2
Comic House Amsterdam B.V.;1;;;;;;1
ComKracht4;1;;;;;;1
Commedia Consult;1;;;;;;1
Common Eye B.V.;1;;;;;;1
CommPartners;1;;;;;;1
Communicatie Bureau Podium B.V.;4;;;;;;4
Communicom;2;;;;;;2
Compacon West Nederland B.V.;2;;;;;;2
Compagnon B.V.;4;;;;;;4
COMPAREX Nederland B.V.;6;;;;;;6
Compass Group Nederland B.V.;1;;;;;;1
Comsenso B.V.;;1;;;;;1
ConcepT, Studiever. Civ. Techn. Univ. Twente;1;;;;;;1
Concorde Group B.V.;2;1;;;;;2
Conducto B.V.;2;;;;;;2
Confidys B.V.;1;;;;;;1
Configo Management B.V.;3;;;;;;3
Congress by design;3;;;;;;3
Coniche IN consultancy & projects B.V.;2;;;;;;2
Connected Strateg. Veranderingsprocessen B.V.;1;;;;;;1
Connexxion Taxi Services B.V.;2;;;;;;2
Connexxion Tours B.V.;1;;;;;;1
Conquist Consultants B.V.;1;;;;;;1
Conrad Electronic Benelux B.V.;1;;;;;;1
CONSENS Advies B.V.;2;;;;;;2
Conservation Consultancy Steven de Bie;2;;;;;;2
Considerati B.V.;2;;;;;;2
Consistender;2;;;;;;2
Consumentenbond;3;;;;;;3
Consumer Centric;2;;;;;;2
Content Strategy B.V.;2;;;;;;2
Coolblue B.V.;1;;;;;;1
Coöperatie Green Events Nederland UA;2;;;;;;2
COÖPERATIE KRACHT IN NL U.A.;2;;;;;;2
Coöperatie PreventPartner UA;1;;;;;;1
Coöperatief Congrestolkensecretariaat UA;1;;;;;;1
Coöperatief Kristal Compagnie UA;2;;;;;;2
Coöperatief Medisch Specialisten Rijnstate UA;1;;;;;;1
Coöperatieve Circle Economy UA;2;;;;;;2
Coöperatieve Publieke Versnellers UA;2;;;;;;2
Coöperatieve Ver. van Vletterl.-Werkzaamh. WA;4;;;;;;4
Copijn Boomspecialisten B.V.;1;;;;;;1
CORGO;1;;;;;;1
Cornelissen Aannemingsbedrijf B.V.;1;;;;;;1
CORSTENS informatie-architectuur;2;;;;;;2
Cosanta B.V.;2;;;;;;2
Cosco Container Lines (Netherlands) B.V.;2;;;;;;2
Cosine Science & Computing B.V.;;4;;;;;4
Cottontree Mer by Gert-Jan;1;;;;;;1
Coumans HR Consult;3;;;;;;3
Countus Accountants + Adviseurs;1;;;;;;1
Covalent Infra Technology Solutions B.V.;2;;;;;;2
Crachtig Verhaal;1;;;;;;1
CRAFT lean management;1;;;;;;1
Cramer Milieuadvies;1;;;;;;1
Cre-Aid B.V.;2;;;;;;2
Creator Meeting Support B.V.;1;;;;;;1
CREM B.V.;2;;;;;;2
Creon B.V.;1;;;;;;1
CRH Fencing & Security Group B.V.;1;;;;;;1
CrisisTox Consult;1;;;;;;1
CRKL V.O.F.;1;;;;;;1
Croon Elektrotechniek B.V.;1;;;;;;1
Crossover Consultancy B.V.;1;;;;;;1
Crossphase B.V.;3;;;;;;3
CSO Adviesbureau, Milieu, Ruimte, Water;5;;;;;;5
CSO-Milfac;1;;;;;;1
CT-Plus B.V.;3;;;;;;3
Cubord Reclameborden B.V.;2;;;;;;2
Cuna International B.V.;1;;;;;;1
Cunningham Lindsey Nederland B.V.;1;;;;;;1
D&F Consulting B.V.;3;;;;;;3
D.D.P. Information Quality B.V.;2;;;;;;2
D2D Media;1;;;;;;1
Dacat B.V.;3;;;;;;3
Daily Poetry;1;;;;;;1
DANTHE;1;;;;;;1
Dassen Bouw B.V.;1;;;;;;1
DAT.Mobility B.V.;2;;;;;;2
Data Space Nederland B.V.;1;;;;;;1
Dataland B.V.;2;;;;;;2
Datdoeikwel;2;;;;;;2
David Rozemeyer Fotografie;1;;;;;;1
Dawid Technisch Projectmanagement;2;;;;;;2
DB Schenker Rail Nederland N.V.;1;;;;;;1
Dbf Communicatie B.V.;3;;;;;;3
Dbvision B.V.;4;;;;;;4
DC Engineers B.V.;2;;;;;;2
DCI Electronics B.V.;2;2;;;;;2
DCS (Dynamic Company Solutions);1;;;;;;1
De Argumentenfabriek Denkacademie B.V.;1;;;;;;1
De Baak Administratie;2;;;;;;2
De Baak Noordwijk B.V.;1;;;;;;1
De Bakkerswinkel Den Haag;1;;;;;;1
De Ballentent;1;;;;;;1
De Ballonnenwinkel;1;;;;;;1
De Bazel B.V.;2;;;;;;2
De Boer & Ritsema van Eck;1;;;;;;1
De Brauw Blackstone Westbroek N.V.;3;;;;;;3
De Clown;1;;;;;;1
de CONTEXT;1;;;;;;1
de firma Langenberg;1;;;;;;1
De Galan Groep B.V.;;1;;;;;1
De Gemeynt Coöperatie UA;2;;;;;;2
De Gevangentoren B.V.;1;;;;;;1
