"project_no","title","county","school_district","census_tract","how_far_north","how_far_east","number","direction","name","suffix","location","completion_year_estimate","status","cost_in_millions_of_dollars","overall_classification_type","primary_project_type","primary_activity_type","primary_use_type","complex_project_type","complex_activity_type","complex_use_type","housing_sub_type","office_square_feet","retail_and_commercial_square_feet","industrial_warehouse_heavy_commercial_sq_ft","hotel_rooms","housing_units","description","developer","also_in_1983_to_1989_database","also_in_river_crown_plaza_housing_database"
"437","Farmland Headquarters Relocation","Platte","Platte County","302.01","* 2,736,637","* 1,145,952","12200","N","Ambassador","Dr","12200 N Ambassador Dr","2001","Completed","* 35","Non-Residential","Building","New","Office","Building","New","Office"," ",,,,," ","construction of a 282,000 sq. ft. office building","Farmland Industries, Inc.","No","No"
"1474","The Parking Spot","Platte","Platte County","303.07","* 2,734,155","* 1,145,717","12060","NW","Prairie View","Rd","12060 NW Prairie View Rd","2006","Completed","* 25","Non-Residential","Building","New","Parking","Building / Infrastructure","New","Parking"," ",,,,," ","992 covered parking spaces and 1,420 uncovered spaces","The Parking Spot","No","No"
"906","KCI Parking Improvements","Platte","Platte County","303.07","* 2,731,319","* 1,145,568","600","E","Cookingham","Dr","600 E Cookingham Dr","2004","Completed","* 259","City Capital Improvement","Infrastructure","New","Parking","Infrastructure / Building","New","Parking / Transportation"," ",,,,," ","new 15,000-space parking lot, and airport bus operations and storage facilities","City of Kansas City, MO","No","No"
"1213","River of Life Church Multipurpose Facility","Platte","Platte County","306","* 2,752,130","* 1,145,268","4214","NW","Cookingham","Dr","4214 NW Cookingham Dr","2005","Completed","* 4","Non-Residential","Building","New","Social Service","Building","New","Social Service"," ",,,,," ","new $4 million church multipurpose facility","River of Life Church","No","No"
"718","Comfort Suites Hotel - Ambassador Dr.","Platte","Platte County","302.01","* 2,737,250","* 1,144,535","11951","N","Ambassador","Dr","11951 N Ambassador Dr","1998","Completed","* 3","Non-Residential","Building","New","Lodging","Building","New","Lodging"," ",,,,," ","new 85-room hotel","Manhattan Developers Inc.","No","No"
"1510","Brooke Hills Single Family Homes","Clay","North Kansas City","219","* 2,787,333","* 1,144,255","6208","NE","119th","Te","6208 NE 119th Te","2017","Underway","* 13","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 51","51 single family homes built since 2005"," ","No","No"
"922","KCI Expo Center","Platte","Platte County","302.01","* 2,736,917","* 1,143,616","11730","N","Ambassador","Dr","11730 N Ambassador Dr","2002","Completed","* 5","Non-Residential","Building","New","Meeting Space","Building","New","Meeting Space / Office"," ",,,,," ","new exposition building with 112,000 sq. ft. meeting and exhibition space and 16,000 sq. ft. of office space","Wheatbelt Inc.","No","No"
"1170","Bristol Manor Single Family Homes","Clay","North Kansas City","213.05","* 2,762,483","* 1,140,210","1104","NW","112th","Te","1104 NW 112th Te","2006","Completed","* 11","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 39","39 single family homes built 2003 to 2006"," ","No","No"
"692","Aviation Department Headquarters","Platte","Platte County","303.07","* 2,727,606","* 1,143,589","601"," ","Brasilia","Av","601   Brasilia Av","1995","Completed","* 4","Non-Residential","Building","New","Office","Building","New","Office"," ",,,,," ","new 40,000 sq. ft. office building","City of Kansas City, MO","No","No"
"720","Microtel Inn","Platte","Platte County","302.01","* 2,736,678","* 1,143,495","11831","NW","Plaza ","Cir","11831 NW Plaza  Cir","2000","Completed","* 4","Non-Residential","Building","New","Lodging","Building","New","Lodging"," ",,,,," ","new 82-room hotel"," ","No","No"
"716","Fairfield Inn - NW Plaza Circle","Platte","Platte County","302.01","* 2,736,576","* 1,143,429","11820","NW","Plaza ","Cir","11820 NW Plaza  Cir","1996","Completed","* 3","Non-Residential","Building","New","Lodging","Building","New","Lodging"," ",,,,," ","new 85-room hotel","Marriott Corp.","No","No"
"1328","Holiday Inn - KCI Expo Center","Platte","Platte County","302.01","* 2,736,917","* 1,143,252","11720","N","Ambassador","Dr","11720 N Ambassador Dr","2006","Completed","* 20","Non-Residential","Building","New","Lodging","Building","New","Lodging"," ",,,,," ","new 143-room hotel","Leisure Hotels LLC","No","No"
"989","Fairfield Single Family Homes","Clay","North Kansas City","213.05","* 2,769,307","* 1,143,210","810","NE","117th","St","810 NE 117th St","2018","Underway","* 48","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 229","229 single family homes built since 1990"," ","No","No"
"618","Extended Stay America Hotel - Plaza Cir.","Platte","Platte County","302.01","* 2,736,786","* 1,142,685","11712","NW","Plaza ","Cir","11712 NW Plaza  Cir","1997","Completed","* 6","Non-Residential","Building","New","Lodging","Building","New","Lodging"," ",,,,," ","new 109-room hotel","Extended Stay America","No","No"
"1378","Hunters Glen North Single Family Homes","Clay","Liberty","218.03","* 2,798,818","* 1,142,449","9315","NE","Pawpaw","Dr","9315 NE Pawpaw Dr","2019","Underway","* 26","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 119","119 single family homes built since 2004"," ","No","No"
"1670","Tuscany Hills Townhomes Multifamily","Clay","North Kansas City","219","* 2,789,144","* 1,142,172","11601","N","Ewing","Av","11601 N Ewing Av","2009","Completed","* 4","Residential","Building","New","Housing","Building","New","Housing","Multifamily",,,,,"* 40","40 multifamily units built since 2007"," ","No","No"
"1250","Lowry Hills Shopping Center","Clay","North Kansas City","219","* 2,790,095","* 1,141,920","7200","NE","Cookingham","Dr","7200 NE Cookingham Dr","2007","Completed","* 29","Non-Residential","Building","New","Retail","Building","New","Retail"," ",,,,," ","new 235,000 sq. ft. shopping center","Tim Harris","No","No"
"908","KCI Consolidated Rental Car Facility","Platte","Park Hill","303.07","* 2,729,000","* 1,141,470","575"," ","London","Dr","575   London Dr","2007","Completed","* 90","Non-Residential","Building","New","Transportation","Building / Infrastructure","New","Transportation"," ",,,,," ","new 152,000 sq. ft. consolidation of 10 rental car facilities","City of Kansas City, MO","No","No"
"836","Bristol Park Single Family Homes","Clay","North Kansas City","213.05","* 2,763,207","* 1,141,468","11306","N","Jefferson","St","11306 N Jefferson St","2005","Completed","* 53","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 232","232 single family homes built 1990 to 2005","David K. Miller","No","No"
"1347","Sysco-Asian Foods Distribution Facility","Platte","Platte County","302.01","* 2,739,246","* 1,141,404","11400","N","Congress","Av","11400 N Congress Av","2005","Completed","* 10","Non-Residential","Building","New","Distribution","Building","New","Distribution"," ",,,,," ","new 100,000 sq. ft. distribution facility","Opus Northwest LLC","No","No"
"990","Hunters Glen Single Family Homes","Clay","Liberty","218.03","* 2,796,751","* 1,141,370","11434","N","Kentucky","Av","11434 N Kentucky Av","2011","Completed","* 57","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 316","316 single family homes built 1990 to 2011"," ","No","No"
"1335","TWA Office Building at KCI Upgrade","Platte","Park Hill","302.01","* 2,736,446","* 1,141,337","11500","NW","Ambassador","Dr","11500 NW Ambassador Dr","2005","Completed","* 6","Non-Residential","Building","Renovation","Office","Building","Renovation","Office"," ",,,,," ","renovation of 431,000 sq. ft. office building","Ted Ehney, Jr.","No","No"
"1183","Hampton Meadows Single Family Homes","Clay","Liberty","218.03","* 2,795,312","* 1,141,311","8606","NE","115th","St","8606 NE 115th St","2018","Underway","* 38","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 176","176 single family homes built since 2002"," ","No","No"
"1379","Meadows of Auburndale Single Family Homes","Clay","North Kansas City","213.1","* 2,788,830","* 1,141,085","11420","N","Ewing","Av","11420 N Ewing Av","2018","Underway","* 25","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 117","117 single family homes built since 2004"," ","No","No"
"1215","Nashua Elementary School Addition","Clay","North Kansas City","213.05","* 2,766,889","* 1,141,019","221","NE","114th","St","221 NE 114th St","2004","Completed","* 4","Non-Residential","Building","Expansion","Education","Building","Expansion","Education"," ",,,,," ","$4 million addition to school","North Kansas City School District","No","No"
"1169","Bristol Highlands Single Family Homes","Clay","North Kansas City","213.05","* 2,764,477","* 1,140,588","11219","N","Pennsylvania","Av","11219 N Pennsylvania Av","2008","Completed","* 10","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 40","40 single family homes built since 2002","David K. Miller","No","No"
"552","KCI Control Tower","Platte","Platte County","303.07","* 2,727,713","* 1,140,458","1"," ","International","Sq","1   International Sq","1997","Completed","* 11","Non-Residential","Building","New","Transportation","Building","New","Transportation"," ",,,,," ","new 257-foot-high airport control tower","City of Kansas City, MO","No","No"
"835","Beacon Hill Single Family Homes","Clay","North Kansas City","213.05","* 2,765,513","* 1,139,989","11221","N","Wyandotte","Av","11221 N Wyandotte Av","2002","Completed","* 29","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 211","211 single family homes built 1990 to 2002","Trusty Construction Co.","No","No"
"1869","First and Second Creek Sewers","Platte","Platte County","302.01","* 2,755,442","* 1,139,936",," "," "," ","       ","2015","Completed","* 43","City Capital Improvement","Infrastructure","New","Sewer","Infrastructure","New","Sewer"," ",,,,," ","$43 million extension of sewers","City of Kansas City, MO","No","No"
"1348","Amerisource Distribution Facility","Platte","Platte County","302.01","* 2,741,053","* 1,139,879","11200","N","Congress","Av","11200 N Congress Av","2005","Completed","* 20","Non-Residential","Building","New","Distribution","Building","New","Distribution"," ",,,,," ","new 350,000 sq.ft. distribution facility","Amerisource","No","No"
"1230","Bunzl Distribution Center","Platte","Platte County","302.01","* 2,739,024","* 1,139,877","11201","N","Airworld","Dr","11201 N Airworld Dr","2004","Completed","* 4","Non-Residential","Building","New","Distribution","Building","New","Distribution"," ",,,,," ","new 86,000 sq. ft. distribution building","Jones Development Co.","No","No"
"402","KCI Terminal Parking Garages","Platte","Platte County","303.07","* 2,726,436","* 1,139,857","58"," ","Beirut","Cir","58   Beirut Cir","1998","Completed","* 48","Non-Residential","Building","Expansion","Parking","Building","Expansion","Parking"," ",,,,," ","two new parking garages with 4,250 spaces completed since 1990","City of Kansas City, MO","No","No"
"1329","Hilton - KCI Renovation and Expansion","Platte","Park Hill","302.01","* 2,737,146","* 1,139,626","8801","NW","112th","St","8801 NW 112th St","2005","Completed","* 7","Non-Residential","Building","Renovation","Lodging","Building","Renovation / Expansion","Lodging"," ",,,,," ","$7 million renovation of 347-room hotel, including new business center, conference registration area and meeting room","Hilton Hotels Corp.","No","No"
"2096","Hilton - KCI Renovation","Platte","Park Hill","302.01","* 2,737,146","* 1,139,626","8801","NW","112th","St","8801 NW 112th St","2015","Completed","* 10","Non-Residential","Building","Renovation","Lodging","Building","Renovation","Lodging"," ",,,,," ","$10 million renovation of 347-room hotel","Hilton Hotels Corp.","No","No"
"1570","KCI Motorsports Park","Platte","Platte County","303.07","* 2,718,719","* 1,139,577","10600","N","Brightwell","Av","10600 N Brightwell Av","2009","Completed","* 25","Other Capital Improvement","Infrastructure","New","Recreation","Infrastructure / Building","New","Recreation / Garage"," ",,,,," ","3.7 mile racing track, go-cart track, clubhouse and rental garage","FastTrack Group LLC","No","No"
"415","State Street Bank Data Center","Platte","Park Hill","302.01","* 2,739,063","* 1,139,522","7901","NW","112th","St","7901 NW 112th St","2000","Completed","* 34","Non-Residential","Building","New","Office","Building","New","Office"," ",,,,," ","new 105,000 sq. ft. office building","State Street Corp.","No","No"
"817","North Hampton Single Family Homes","Clay","Liberty","218.03","* 2,795,248","* 1,139,475","11010","N","Wallace","Av","11010 N Wallace Av","2006","Completed","* 65","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 485","485 single family homes built 1990 to 2006","Northwest Land","No","No"
"907","TWA Overhaul Base Improvements","Platte","Park Hill","303.07","* 2,732,470","* 1,139,420","11200","N","Apron","Rd","11200 N Apron Rd","2003","Completed","* 110","Non-Residential","Building","Renovation","Heavy Commercial","Building","Renovation","Heavy Commercial"," ",,,,," ","$110 million worth of structural, mechanical, and capital improvements to overhaul base","City of Kansas City, MO","No","No"
"1136","American Airlines Overhaul Base Renovation","Platte","Park Hill","303.07","* 2,732,470","* 1,139,420","11200","N","Apron","Rd","11200 N Apron Rd","2007","Completed","* 67","Non-Residential","Building","Renovation","Heavy Commercial","Building","Renovation","Heavy Commercial"," ",,,,," ","$67 million renovation, including some environmental remediation","American Airlines","No","No"
"1502","Bristol North Single Family Homes","Clay","North Kansas City","213.05","* 2,763,320","* 1,139,413","11047","N","Madison","Av","11047 N Madison Av","2018","Underway","* 29","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 106","106 single family homes built since 2004"," ","No","No"
"389","NationsBank Technological Center","Platte","Park Hill","302.01","* 2,739,293","* 1,139,364",," "," "," ","       ","1995","Completed","* 26","Non-Residential","Building","New","Office","Building","New","Office"," ",,,,," ","new 100,000 sq. ft. office building","Boatmen's Bank","No","No"
"1071","Liberty Mutual Insurance Computer Cen.","Platte","Park Hill","302.01","* 2,739,366","* 1,139,327","7901","NW","112th","St","7901 NW 112th St","2002","Completed","* 84","Non-Residential","Equipment","Acquisition","Office","Equipment","Acquisition","Office"," ",,,,," ","$84 million of equipment for an insurance company computer center with $50 million financed by industrial revenue bonds","Liberty Mutual Insurance Company","No","No"
"404","KCI, Second North-South Runway","Platte","Park Hill","303.07","* 2,730,361","* 1,139,273",," "," "," ","       ","1994","Completed","* 50","City Capital Improvement","Infrastructure","Expansion","Aviation","Infrastructure","Expansion","Aviation"," ",,,,," ","new $50 million 9,500 foot long airport runway","City of Kansas City, MO","No","No"
"1403","Fire Station # 16 Renovation","Platte","Park Hill","303.07","* 2,735,531","* 1,139,249","9205","NW","112th","St","9205 NW 112th St","2007","Completed","* 3","Non-Residential","Building","Renovation","Public Safety","Building","Renovation","Public Safety"," ",,,,," ","$3 million renovation of fire station","City of Kansas City, MO","No","No"
"2067","Prairie View at Bristol Park Single Family Homes","Clay","North Kansas City","213.05","* 2,763,493","* 1,139,183","11026","N","Jefferson","St","11026 N Jefferson St","2019","Underway","* 3","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 17","17 single family units built since 2014",,"No","No"
"1681","Bank of America Data Center","Platte","Park Hill","302.01","* 2,738,942","* 1,139,159","11155","NW","Airworld","Dr","11155 NW Airworld Dr","2011","Completed","* 80","Non-Residential","Building","Expansion","Office","Building","Expansion","Office"," ",,,,," ","140,000 sq. ft. expansion to data center","Bank of America","No","No"
"398","Harley Davidson Manufacturing Facility","Platte","Park Hill","302.01","* 2,742,053","* 1,139,003","11401","N","Congress","Av","11401 N Congress Av","1998","Completed","* 90","Non-Residential","Building","New","Industrial","Building","New","Industrial"," ",,,,," ","new 330,000 sq. ft. manufacturing plant","Harley Davidson Motor Corp.","No","No"
"403","KCI Terminal Renovation","Platte","Platte County","303.07","* 2,726,766","* 1,139,003","2"," ","Amsterdam","Cir","2   Amsterdam Cir","2004","Completed","* 253","Non-Residential","Building","Renovation","Transportation","Building","Renovation / Expansion","Transportation"," ",,,,," ","$253 million airport terminal improvements through upgrading of floors, walls, roofing, electrical sytems, HVAC, concessions, signs, displays, equipment and furnishings; expansions into sidewalk areas; and reallocation of uses","City of Kansas City, MO","No","No"
"1406","KCI Departure Lounge Restrooms","Platte","Platte County","303.07","* 2,726,766","* 1,139,003","2"," ","Amsterdam","Cir","2   Amsterdam Cir","2006","Completed","* 5","Non-Residential","Building","Reconfiguration","Transportation","Building","Reconfiguration","Transportation"," ",,,,," ","reconfiguration of airport departure lounges to include 12 restrooms","City of Kansas City, MO","No","No"
"717","Holiday Inn Express - KCI","Platte","Park Hill","302.01","* 2,737,230","* 1,138,966","11130","N","Ambassador","Dr","11130 N Ambassador Dr","1997","Completed","* 3","Non-Residential","Building","New","Lodging","Building","New","Lodging"," ",,,,," ","new 80-room hotel","George Pate","No","No"
"624","KCI Terminal Asbestos Removal","Platte","Platte County","303.07","* 2,726,388","* 1,138,938","33"," ","Rome","Cir","33   Rome Cir","1998","Completed","* 9","Non-Residential","Building","Renovation","Transportation","Building","Renovation","Transportation"," ",,,,," ","asbestos removal and lighting improvements","City of Kansas City, MO","No","No"
"768","Fire Station # 3","Clay","North Kansas City","213.05","* 2,767,394","* 1,138,930","11101","N","Oak","Tfwy","11101 N Oak Tfwy","1997","Completed","* 3","Non-Residential","Building","New","Public Safety","Building","New","Public Safety"," ",,,,," ","new $3 million fire station","City of Kansas City, MO","No","No"
"719","Days Inn","Platte","Park Hill","302.01","* 2,737,230","* 1,138,856","11120","N","Ambassador","Dr","11120 N Ambassador Dr","1999","Completed","* 3","Non-Residential","Building","New","Lodging","Building","New","Lodging"," ",,,,," ","new 55-room hotel"," ","No","No"
"977","KCI Deicing Waste Collection System","Platte","Platte County","303.07","* 2,726,375","* 1,138,833",," "," "," ","       ","1998","Completed","* 9","City Capital Improvement","Infrastructure","New","Sewer","Infrastructure","New","Sewer"," ",,,,," ","$9 million system to carry deicing waste into the wastewater system","City of Kansas City, MO","No","No"
"1035","KCI Environmental Compliance Impvts.","Platte","Platte County","303.07","* 2,726,381","* 1,138,833",," "," "," ","       ","2008","Completed","* 24","City Capital Improvement","Infrastructure","Upgrade","Aviation","Infrastructure","Upgrade","Aviation"," ",,,,," ","$24 million of airport environmental compliance improvements","City of Kansas City, MO","No","No"
"1036","KCI Street Rehabilitation","Platte","Platte County","303.07","* 2,726,383","* 1,138,833",," "," "," ","       ","2008","Completed","* 15","City Capital Improvement","Infrastructure","Upgrade","Road","Infrastructure","Upgrade","Road"," ",,,,," ","$15 million of airport street improvements","City of Kansas City, MO","No","No"
"965","KCI Runway/Taxiway Improvements","Platte","Platte County","303.07","* 2,726,377","* 1,138,833",," "," "," ","       ","2011","Completed","* 259","City Capital Improvement","Infrastructure","Upgrade","Aviation","Infrastructure","Upgrade","Aviation"," ",,,,," ","$239 million aviation runway, taxiway and apron upgrade","City of Kansas City, MO","No","No"
"1034","KCI Building Improvements","Platte","Platte County","303.07","* 2,726,379","* 1,138,833","1"," ","Beirut","Cr","1   Beirut Cr","2011","Completed","* 220","Non-Residential","Building","New","Transportation","Building","New","Transportation"," ",,,,," ","$211 million of improvements to airport safety, storage, power and other facilities","City of Kansas City, MO","No","No"
"1805","KCI Runway/Taxiway Improvements","Platte","Platte County","303.07","* 2,726,377","* 1,138,833",," "," "," ","       ","2016","Underway","* 581","City Capital Improvement","Infrastructure","Upgrade","Aviation","Infrastructure","Upgrade","Aviation"," ",,,,," ","$581 airport upgrade, including HVAC water lines, closed circuit televisions, parking lots and roads","City of Kansas City, MO","No","No"
"1501","Auburndale Patio Homes Single Family Homes","Clay","Liberty","213.1","* 2,791,309","* 1,138,757","7509","NE","112th","Ct","7509 NE 112th Ct","2018","Underway","* 11","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 56","56 single family homes built since 2004"," ","No","No"
"704","Federal Inspection Service Center","Platte","Park Hill","303.07","* 2,728,028","* 1,138,699","59"," ","Beirut","Cir","59   Beirut Cir","1998","Completed","* 3","Non-Residential","Building","Use Conversion","Transportation","Building","Use Conversion ","Transportation"," ",,,,," ","$3.2 million expansion of customs facilities in Terminal C of KCI","City of Kansas City, MO","No","No"
"1371","Auburndale Estates Single Family Homes","Clay","Liberty","213.1","* 2,792,879","* 1,138,684","8019","NE","111th","St","8019 NE 111th St","2018","Underway","* 48","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 164","164 single family homes built since 2004"," ","No","No"
"1372","Bristol South Single Family Homes","Clay","North Kansas City","213.05","* 2,763,071","* 1,138,663","812","NW","110th","St","812 NW 110th St","2007","Completed","* 9","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 36","36 single family homes built since 2003"," ","No","No"
"1492","Holly Ridge Duplexes","Clay","Platte County","212.08","* 2,762,512","* 1,117,552","7759","N","Mercier","St","7759 N Mercier St","2007","Completed","* 12","Residential","Building","New","Housing","Building","New","Housing","Duplex",,,,,"* 80","80 duplex units built since 2005"," ","No","No"
"834","Pine Lake Single Family Homes","Clay","North Kansas City","213.05","* 2,765,735","* 1,138,612","11041","N","Baltimore","Av","11041 N Baltimore Av","2004","Completed","* 30","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 168","168 single family homes built 1990 to 2004"," ","No","No"
"392","Citicorp Bankcard Processing Center","Platte","Park Hill","302.01","* 2,739,276","* 1,138,543","7930","NW","110th","St","7930 NW 110th St","1996","Completed","* 25","Non-Residential","Building","New","Office","Building","New","Office"," ",,,,," ","new 132,000 sq. ft. office building","Citicorp Credit Services Inc.","No","No"
"1503","Bristol Park South Single Family Homes","Clay","North Kansas City","213.05","* 2,762,895","* 1,138,445","819","NW","110th","St","819 NW 110th St","2006","Completed","* 4","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 16","16 single family homes built since 2004"," ","No","No"
"298","Multivac Industrial Building","Platte","Park Hill","302.01","* 2,740,342","* 1,138,428","11021","N","Pomona","Av","11021 N Pomona Av","2002","Completed","* 6","Non-Residential","Building","New","Industrial","Building","New","Industrial"," ",,,,," ","new 43,000 sq. ft. industrial building","Multivac Inc.","Yes","No"
"610","Citicorp Child Care Center","Platte","Park Hill","302.01","* 2,739,989","* 1,138,372","7920","NW","110th","St","7920 NW 110th St","1997","Completed","* 5","Non-Residential","Building","New","Social Service","Building","New","Social Service"," ",,,,," ","new 24,000 sq. ft. child care center","Citicorp Credit Services Inc.","No","No"
"1736","Candlewood Suites Hotel","Platte","Park Hill","302.01","* 2,737,261","* 1,138,339","11110","N","Ambassador","Dr","11110 N Ambassador Dr","2010","Completed","* 11","Non-Residential","Building","New","Lodging","Building","New","Lodging"," ",,,,," ","new 88-room hotel","Intercontinental Hotels Group","No","No"
"1138","Congress Building II","Platte","Park Hill","302.01","* 2,740,890","* 1,138,258","10960","N","Congress","Av","10960 N Congress Av","2002","Completed","* 5","Non-Residential","Building","New","Office","Building","New","Office"," ",,,,," ","new 90,000 sq. ft. office building","Watkins & Company","No","No"
"675","10901 N. Pomona Warehouse","Platte","Park Hill","302.01","* 2,740,443","* 1,138,103","10901","N","Pomona","Av","10901 N Pomona Av","2000","Completed","* 3","Non-Residential","Building","New","Industrial","Building","New","Industrial / Warehouse / Office"," ",,,,," ","new 57,000 sq. ft. office/warehouse  ","Watkins & Company","No","No"
"1247","KCI Fire Station","Platte","Platte County","303.07","* 2,724,072","* 1,138,079","173","NW","Ottawa","Av","173 NW Ottawa Av","2005","Completed","* 5","Non-Residential","Building","New","Public Safety","Building","New","Public Safety"," ",,,,," ","new 15,000 sq. ft. fire station","City of Kansas City, MO","No","No"
"815","Somerbrook Single Family Homes","Clay","Liberty","218.03","* 2,797,093","* 1,137,925","8926","NE","109th","Te","8926 NE 109th Te","2008","Completed","* 80","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 360","360 single family homes built since 1990","Star Development Corp.","No","No"
"1399","Staley High School and Athletic Complex","Clay","North Kansas City","213.03","* 2,773,001","* 1,137,771","2800","NE","Shoal Creek","Pkwy","2800 NE Shoal Creek Pkwy","2008","Completed","* 140","Non-Residential","Building","New","Education","Building / Infrastructure","New","Education / Recreation"," ",,,,," ","new $80 million high school and $60 million athletic complex","North Kansas City School District","No","No"
"1509","Staley Hills Single Family Homes","Clay","North Kansas City","213.03","* 2,774,754","* 1,137,614","2300","NE","109th","St","2300 NE 109th St","2019","Underway","* 60","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 170","170 single family homes built since 2005"," ","No","No"
"816","Brooke Ridge Single Family Homes","Clay","Liberty","213.1","* 2,794,926","* 1,137,558","10924","N","Wallace","Av","10924 N Wallace Av","2019","Underway","* 100","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 458","458 single family homes built since 1990"," ","No","No"
"1922","108th Street - I-435 to Shoal Creek Pkwy.","Clay","Liberty","213.03","* 2,781,168","* 1,137,489",," "," "," ","       ","2014","Completed","* 11","Other Capital Improvement","Infrastructure","New","Road","Infrastructure","New","Road"," ",,,,," ","new $11 million road","NorthPoint Development","No","No"
