"report_no","reported_date","reported_time","from_date","from_time","to_date","to_time","offense","ibrs","description","beat","zip_code","rep_dist","area","dvflag","invl_no","involvement","race","sex","age","firearm_used_flag","location_1"
"130073966","2013-12-10T00:00:00.000","13:36",,,,,"1702","36B","Statutory Rape",,,,,"U","1","SUS","W","M","31","N","47TH/PASEO
KANSAS CITY, MO 
(39.10295319700049, -94.5830775179997)"
"130074245","2013-10-12T00:00:00.000","21:18","2013-10-12T00:00:00.000","21:18",,,"2655","90J","Trespassing","144","64109","PJ3486","CPD","U","1","VIC",,,,"N","4300 PASEO
KANSAS CITY, MO 64109
(39.05590198100049, -94.56749575199967)"
"130074381","2013-10-13T00:00:00.000","13:05","2013-10-13T00:00:00.000","13:05",,,"2655","90J","Trespassing","112","64110","PJ0865","CPD","U","1","ARR","B","F","30","N","00 W 10 ST
KANSAS CITY, MO 64110
(39.194183773000475, -94.68616850699965)"
"130080035","2013-11-03T00:00:00.000","0:53","2013-11-03T00:00:00.000","0:53",,,"2655","90J","Trespassing","113","64105","PJ1177","CPD","U","1","VIC",,,,"N","100 E 13 ST
KANSAS CITY, MO 64105
(39.09864529800046, -94.58445112699968)"
"130029823","2013-05-03T00:00:00.000","9:01","2013-05-03T00:00:00.000","8:50",,,"2655","90J","Trespassing","542",,"PJ6346","SPD","U","1","VIC",,,,"N","6500 E 87 ST
KANSAS CITY, MO 
(38.96723717500049, -94.5146805339997)"
"130000629","2013-01-03T00:00:00.000","14:00","2013-01-03T00:00:00.000","14:00",,,"2601","90Z","Misc Violation","110","64106","PJ1029","CPD","U","1","VIC",,,,"N","1100 LOCUST ST
KANSAS CITY, MO 64106
(39.100854728000456, -94.57737538399965)"
"130000499","2013-01-03T00:00:00.000","3:02","2013-01-03T00:00:00.000","2:50",,,"802","13B","Non Agg Assault Dome","222","64130","PJ4570","MPD","U","1","VIC","B","F","48","N","5700 EUCLID AV
KANSAS CITY, MO 64130
(39.023042173000476, -94.56242586799965)"
"130000244","2013-01-02T00:00:00.000","7:07","2012-12-28T00:00:00.000","17:00","2013-01-02T00:00:00.000","7:00","640","23F","Stealing From Auto","636","64117","PC1337","SCP","U","1","SUS","U","U",,"N","7600 NE 38 ST
KANSAS CITY, MO 64117
(39.16363657500045, -94.49439888499967)"
"120081673","2013-02-25T00:00:00.000","16:51","2013-02-25T00:00:00.000","16:51",,,"401","13A","Aggravated Assault (","113","64108","PJ1363","CPD","U","1","VIC","W","M","4","N","1500 HOLMES ST
KANSAS CITY, MO 64108
(39.095351561000484, -94.57532645599969)"
"130001023","2013-01-05T00:00:00.000","8:25","2013-01-05T00:00:00.000","8:15","2013-01-05T00:00:00.000","8:28","690","23H","Stealing All Other","224","64113","PJ4872","MPD","U","1","VIC",,,,"N","6200 MAIN ST
KANSAS CITY, MO 64113
(39.01541285200045, -94.58832691999964)"
"130000819","2013-01-04T00:00:00.000","12:28","2012-12-15T00:00:00.000","10:30","2012-12-15T00:00:00.000","15:00","670","23D","Stealing from Buildi","243","64138","PJ5807","MPD","U","2","SUS","W","M",,"N","7600 E 76 ST
KANSAS CITY, MO 64138
(38.98639772600046, -94.4997492819997)"
"130000082","2013-01-01T00:00:00.000","10:36","2012-12-27T00:00:00.000","16:00","2012-12-28T00:00:00.000","9:00","702","240","Auto Theft","322","64127","PJ1719","EPD","U","1","SUS","U","U",,"N","1900 KENSINGTON AV
KANSAS CITY, MO 64127
(39.088553051000474, -94.5313955209997)"
"130000622","2013-01-03T00:00:00.000","14:30","2013-01-03T00:00:00.000","14:30",,,"670","23D","Stealing from Buildi","312","64124","PJ0596","EPD","U","1","SUS","U","U",,"N","7700 E WINNER RD
KANSAS CITY, MO 64124
(39.105348782000476, -94.49220860599968)"
"130001019","2013-01-05T00:00:00.000","7:43","2013-01-04T00:00:00.000","21:00","2013-01-05T00:00:00.000","6:30","650","23G","Stealing Auto Parts/","534","64137","PJ7081","SPD","U","1","SUS","U","U",,"N","11300 COLORADO AV
KANSAS CITY, MO 64137
(38.91964321800049, -94.5299955489997)"
"130001085","2013-01-05T00:00:00.000","12:27","2013-01-05T00:00:00.000","0:01","2013-01-05T00:00:00.000","12:00","640","23F","Stealing From Auto","641","64119","PC0418","SCP","N","1","SUS","U","U",,"N","8000 N DRURY AV
KANSAS CITY, MO 64119
(39.23734213200049, -94.51525201899966)"
"130000483","2013-01-02T00:00:00.000","23:44","2013-01-02T00:00:00.000","23:44",,,"2100","90D","Driving Under Influe","999","64127","PJ1063","EPD","U","1","ARR","W","M","53","N","E 12 ST/PROSPECT AV
KANSAS CITY, MO 64127
(39.08962411000044, -94.53924786699969)"
"130000794","2013-01-04T00:00:00.000","10:13","2013-01-02T00:00:00.000","18:00",,,"301","120","Strong Arm Robbery","121","64108","PJ0747","CPD","U","1","VIC","W","M","54","N","E 8 ST/TRACY AV
KANSAS CITY, MO 64108
(39.08507054400047, -94.58157691099967)"
"130001133","2013-01-05T00:00:00.000","17:27","2013-01-05T00:00:00.000","13:00","2013-01-05T00:00:00.000","16:30","650","23G","Stealing Auto Parts/","234","64114","PJ6174","MPD","U","1","SUS","U","U",,"N","8600 WARD PK S
KANSAS CITY, MO 64114
(38.958291974000474, -94.59571990299969)"
"130000214","2013-01-01T00:00:00.000","23:58","2013-01-01T00:00:00.000","23:58",,,"403","13A","Agg Assault - Domest","242","64130","PJ5712","MPD","U","1","SUS","B","F",,"N","1800 E 76 TE
KANSAS CITY, MO 64130
(38.988055086000486, -94.56615197799965)"
"130001051","2013-01-05T00:00:00.000","11:16","2013-01-05T00:00:00.000","11:00","2013-01-05T00:00:00.000","12:00","802","13B","Non Agg Assault Dome","531","64131","PJ6662","SPD","U","1","SUS","B","M","30","N","10100 WORNALL RD
KANSAS CITY, MO 64131
(38.94539496200048, -94.59647897799965)"
"130000010","2013-01-01T00:00:00.000","0:30","2013-01-01T00:00:00.000","0:20",,,"801","13B","Non Aggravated Assau","313","64124","PJ0474","EPD","N","1","VIC","B","M","53","N","400 BALES AV
KANSAS CITY, MO 64124
(39.109442481000485, -94.54034610499968)"
"130000933","2013-01-04T00:00:00.000","19:04","2012-12-24T00:00:00.000","16:00","2013-01-04T00:00:00.000","19:10","501","220","Burglary - Residence","134","64111","PJ3662","CPD","U","1","SUS","U","U",,"N","4600 GENESEE ST
KANSAS CITY, MO 64111
(39.0444906460005, -94.60594581299966)"
"130000901","2013-01-04T00:00:00.000","17:16","2012-12-27T00:00:00.000","15:00","2013-01-03T00:00:00.000","15:00","650","23G","Stealing Auto Parts/","143","64110","PJ3393","CPD","U","1","VIC","W","F","19","N","4200 HARRISON ST
KANSAS CITY, MO 64110
(39.050542979000454, -94.57366591399966)"
"130000599","2013-01-03T00:00:00.000","13:31","2013-01-01T00:00:00.000","17:00","2013-01-02T00:00:00.000","17:30","650","23G","Stealing Auto Parts/","212","64129","PJ4370","MPD","N","1","VIC","B","F","58","N","5300 PERSIMMON TR
KANSAS CITY, MO 64129
(39.02795786200045, -94.5029986349997)"
"120091182","2013-02-05T00:00:00.000","10:29","2013-02-05T00:00:00.000","10:20",,,"702","240","Auto Theft","125",,"PJ2541","CPD","U","1","SUS","W","F",,"N","1200 E LINWOOD BL
KANSAS CITY, MO 
(39.068658523000465, -94.56989949199965)"
"130001109","2013-01-05T00:00:00.000","14:03","2013-01-05T00:00:00.000","14:03",,,"2601","90Z","Misc Violation","334",,"PJ3432","EPD","U","1","ARR","B","M","21","N","4300 HARDESTY AV
KANSAS CITY, MO 
(39.04647299900046, -94.52542149999965)"
"130000340","2013-01-02T00:00:00.000","12:13","2012-12-27T00:00:00.000","15:00",,,"702","240","Auto Theft","411","64116","PC1483","NPD","U","1","VIC",,,,"N","200 NW HARLEM RD
KANSAS CITY, MO 64116
(39.11730310700045, -94.58862259899968)"
"130000868","2013-01-04T00:00:00.000","14:47","2012-12-29T00:00:00.000","10:00","2012-12-31T00:00:00.000","14:00","501","220","Burglary - Residence","642","64118","PC0446","SCP","N","3","VIC","W","M","18","N","1500 NE 77 TE
KANSAS CITY, MO 64118
(39.23464641600049, -94.5615707239997)"
"130000193","2013-01-01T00:00:00.000","20:35","2013-01-01T00:00:00.000","20:35",,,"1546","520","Weapons Law Violatio","144","64130","PJ3422","CPD","U","1","VIC",,,,"Y","E 43 ST/GARFIELD AV
KANSAS CITY, MO 64130
(39.03332152900049, -94.5441881379997)"
"130000957","2013-01-04T00:00:00.000","21:33","2013-01-04T00:00:00.000","20:02",,,"630","23C","Stealing Shoplifting","332","64128","PJ2651","EPD","U","1","VIC",,,,"N","2500 E LINWOOD BL
KANSAS CITY, MO 64128
(39.068103016000464, -94.55394264399968)"
"130000666","2013-01-03T00:00:00.000","17:11","2012-12-28T00:00:00.000","21:00","2012-12-28T00:00:00.000","21:30","702","240","Auto Theft","321","64127","PJ1261","EPD","U","1","SUS","U","U",,"N","1300 ASKEW AV
KANSAS CITY, MO 64127
(39.0969718340005, -94.53999551999965)"
"130000692","2013-01-03T00:00:00.000","19:20","2013-01-03T00:00:00.000","18:00","2013-01-03T00:00:00.000","19:10","640","23F","Stealing From Auto","131","64111","PJ2865","CPD","U","2","VIC","W","M","26","N","3600 ROANOKE RD
KANSAS CITY, MO 64111
(39.06183277100047, -94.60328089099966)"
"130000181","2013-01-01T00:00:00.000","18:29","2013-01-01T00:00:00.000","18:29",,,"2655","90J","Trespassing","241","64132","PJ5341","MPD","U","1","ARR","B","F","53","N","7000 PROSPECT AV
KANSAS CITY, MO 64132
(38.99969390700045, -94.55685558899967)"
"130000469","2013-01-02T00:00:00.000","19:37","2013-01-02T00:00:00.000","19:25",,,"802","13B","Non Agg Assault Dome","212","64129","PJ4270","MPD","U","1","VIC","B","F","25","N","6900 CRABAPPLE LN
KANSAS CITY, MO 64129
(39.029329075000476, -94.50369894399967)"
"130000797","2013-01-04T00:00:00.000","10:34","2013-01-04T00:00:00.000","10:34",,,"1120","26A","Fraud/Confidence Gam","223","64130","PJ4517","MPD","U","1","VIC",,,,"N","5600 CHESTNUT AV
KANSAS CITY, MO 64130
(39.02454438600046, -94.55323663499968)"
"130000066","2013-01-01T00:00:00.000","9:04","2013-01-01T00:00:00.000","4:00","2013-01-01T00:00:00.000","8:00","650","23G","Stealing Auto Parts/","414","64151","PP0402","NPD","N","1","SUS","U","U",,"N","7800 NW ROANRIDGE RD
KANSAS CITY, MO 64151
(39.19139386900048, -94.6132280279997)"
"130002628","2013-01-11T00:00:00.000","16:45","2013-01-11T00:00:00.000","8:00","2013-01-11T00:00:00.000","15:00","1401","290","Property Damage","221","64112","PJ4092","MPD","U","1","SUS","U","U",,"N","5100 WYANDOTTE ST
KANSAS CITY, MO 64112
(39.03488432600045, -94.58970753899968)"
"130001010","2013-01-05T00:00:00.000","5:25","2013-01-05T00:00:00.000","5:25",,,"802","13B","Non Agg Assault Dome","341","64127","PJ1569","EPD","Y","1","ARR","W","M","46","N","1600 FREMONT AV
KANSAS CITY, MO 64127
(39.09186229000045, -94.50798566699967)"
"130000384","2013-01-02T00:00:00.000","15:05","2012-12-26T00:00:00.000","2:00",,,"1401","290","Property Damage","113","64106","PJ1246","CPD","U","1","SUS","U","U",,"N","1400 GRAND AV
KANSAS CITY, MO 64106
(39.097094480000465, -94.58109769699968)"
"130000845","2013-01-04T00:00:00.000","13:38","2013-01-03T00:00:00.000","18:00","2013-01-04T00:00:00.000","8:30","1401","290","Property Damage","422","64154","PP0285","NPD","N","1","SUS","U","U",,"N","8800 N CHATHAM AV
KANSAS CITY, MO 64154
(39.25621096100048, -94.64057557899969)"
"130000747","2013-01-04T00:00:00.000","6:12","2012-12-03T00:00:00.000","11:00","2012-12-03T00:00:00.000","16:00","670","23D","Stealing from Buildi","232","64132","PJ5620","MPD","U","1","VIC","W","F","56","N","7400 HIGHLAND AV
KANSAS CITY, MO 64132
(38.992902503000494, -94.5675662059997)"
"130000331","2013-01-02T00:00:00.000","12:06","2013-01-01T00:00:00.000","7:00","2013-01-01T00:00:00.000","18:30","670","23D","Stealing from Buildi","635","64117","PC1092","SCP","N","1","SUS","U","U",,"N","5200 NE 45 ST
KANSAS CITY, MO 64117
(39.17639833900046, -94.51888104999966)"
"130000083","2013-01-01T00:00:00.000","9:25","2013-01-01T00:00:00.000","2:30",,,"302","120","Armed Robbery","121","64106","PJ0321","CPD","N","1","VIC","B","M","26","N","400 TRACY AV
KANSAS CITY, MO 64106
(39.111383729000465, -94.56655471899967)"
"130000736","2013-01-04T00:00:00.000","0:52","2013-01-01T00:00:00.000","0:52",,,"1850","35B","Possession of Drug E","314","64124","PJ0605","EPD","U","1","VIC",,,,"N","4200 INDEPENDENCE AV
KANSAS CITY, MO 64124
(39.10570803900049, -94.53224000499966)"
"100021070","2013-04-24T00:00:00.000","14:17","2013-04-24T00:00:00.000","14:17",,,"1352","280","Stolen Property OFFE","121","64109","PJ0407","CPD","U","1","VIC",,,,"N","400 HIGHLAND AV
KANSAS CITY, MO 64109
(39.11047062200049, -94.56157437999968)"
"130075500","2013-10-17T00:00:00.000","13:55","2013-10-16T00:00:00.000","20:00",,,"802","13B","Non Agg Assault Dome","242","64132","PJ5702","MPD","Y","1","VIC","B","F","27","N","7600 PROSPECT AV
KANSAS CITY, MO 64132
(38.987093152000455, -94.55750967099965)"
"130000609","2013-01-03T00:00:00.000","14:03","2013-01-03T00:00:00.000","8:00","2013-01-03T00:00:00.000","13:30","1401","290","Property Damage","411","64118","PC0863","NPD","U","1","VIC","B","F","29","N","00 NE 50 CT
KANSAS CITY, MO 64118
(39.18458296300048, -94.57747740599967)"
"130000432","2013-01-02T00:00:00.000","16:56","2013-01-02T00:00:00.000","16:50",,,"2655","90J","Trespassing","635","64117","PC1146","SCP","U","1","VIC","W","F","46","N","5400 NE 41 TE
KANSAS CITY, MO 64117
(39.16780781600045, -94.51666501999966)"
"130000501","2013-01-03T00:00:00.000","4:12","2013-01-03T00:00:00.000","3:49",,,"690","23H","Stealing All Other","343","64128","PJ2688","EPD","U","1","SUS","B","M",,"N","4500 E LINWOOD BL
KANSAS CITY, MO 64128
(39.067376771000454, -94.53095030199967)"
"130001000","2013-01-05T00:00:00.000","0:48","2013-01-05T00:00:00.000","0:29","2013-01-05T00:00:00.000","0:48","2601","90Z","Misc Violation","341","64126","PJ1307","EPD","U","1","ARR","W","F","53","N","5400 E 12 ST
KANSAS CITY, MO 64126
(39.097778417000484, -94.51888934099969)"
"120085186","2013-02-08T00:00:00.000","11:40","2013-02-08T00:00:00.000","11:40",,,"2402","90C","Disorderly Conduct","112","64106","PJ1029","CPD","N","1","SUS","B","M","51","N","1100 LOCUST ST
KANSAS CITY, MO 64106
(39.100854728000456, -94.57737538399965)"
"130000867","2013-01-04T00:00:00.000","14:46","2013-01-04T00:00:00.000","13:30","2013-01-04T00:00:00.000","14:30","640","23F","Stealing From Auto","345","64133","PJ5159","EPD","U","1","VIC","W","F","24","N","6400 MOATS AV
KANSAS CITY, MO 64133
(39.00592627000049, -94.44014505499968)"
"130000334","2013-01-02T00:00:00.000","11:13","2012-12-26T00:00:00.000","11:00","2013-01-02T00:00:00.000","11:00","501","220","Burglary - Residence","331","64128","PJ2499","EPD","U","1","VIC",,,,"N","3000 INDIANA AV
KANSAS CITY, MO 64128
(39.07128188700045, -94.54356932699966)"
"130000217","2013-01-02T00:00:00.000","0:37","2013-01-02T00:00:00.000","0:32",,,"1050","250","Counterfeiting","232","64131","PJ5653","MPD","U","1","SUS","U","U",,"N","7500 TROOST AV
KANSAS CITY, MO 64131
(38.991464016000464, -94.57568838699967)"
"130000934","2013-01-04T00:00:00.000","19:05","2012-12-15T00:00:00.000","12:00","2013-01-04T00:00:00.000","19:00","501","220","Burglary - Residence","132","64111","PJ2970","CPD","U","2","VIC","W","F","21","N","3700 CENTRAL ST
KANSAS CITY, MO 64111
(39.06022427300047, -94.58935969799967)"
"130000249","2013-01-02T00:00:00.000","6:56","2013-01-02T00:00:00.000","6:30",,,"501","220","Burglary - Residence","643","64157","PC0312","SCP","N","1","VIC","W","M","39","N","8500 N EASTERN AV
KANSAS CITY, MO 64157
(39.246799643000486, -94.49190375299969)"
"130000763","2013-01-04T00:00:00.000","8:12","2013-01-03T00:00:00.000","19:00","2013-01-04T00:00:00.000","7:00","640","23F","Stealing From Auto","642","64119","PC0294","SCP","U","1","SUS","U","U",,"N","1300 NE 88 ST
KANSAS CITY, MO 64119
(39.254947196000444, -94.56403429599965)"
"130000045","2013-01-01T00:00:00.000","3:44","2013-01-01T00:00:00.000","3:35",,,"401","13A","Aggravated Assault (","315","64123","PJ0197","EPD","U","4","VIC","W","M","6","Y","400 N HARDESTY AV
KANSAS CITY, MO 64123
(39.11618295700049, -94.51848545799965)"
"130000942","2013-01-04T00:00:00.000","19:35","2013-01-04T00:00:00.000","19:35",,,"1849","35A","Possession/Sale/Dist","342","64127","PJ2494","EPD","U","2","VIC",,,,"N","E 30 TE/OAKLEY AV
KANSAS CITY, MO 64127
(39.08962411000044, -94.53924786699969)"
"130000394","2013-01-02T00:00:00.000","15:38","2012-10-10T00:00:00.000","9:00","2012-10-18T00:00:00.000","9:00","650","23G","Stealing Auto Parts/","341","64126","PJ1335","EPD","U","1","VIC","W","F","49","N","5800 E 14 ST
KANSAS CITY, MO 64126
(39.094944377000445, -94.51456091099965)"
"130000908","2013-01-04T00:00:00.000","16:49","2013-01-04T00:00:00.000","16:30",,,"802","13B","Non Agg Assault Dome","423","64155","PC0214","NPD","Y","1","SUS","W","M","31","N","200 NW 101 ST
KANSAS CITY, MO 64155
(39.276274859000466, -94.5823760619997)"
"130000451","2013-01-02T00:00:00.000","18:58","2013-01-02T00:00:00.000","18:50",,,"401","13A","Aggravated Assault (","211","64130","PJ4089","MPD","U","1","SUS","B","M","40","N","4200 E 50 TE
KANSAS CITY, MO 64130
(39.033983461000446, -94.53621351499964)"
"130000579","2013-01-03T00:00:00.000","11:45","2012-12-13T00:00:00.000","9:00","2013-01-03T00:00:00.000","10:00","670","23D","Stealing from Buildi","534","64134","PJ7137","SPD","U","1","VIC",,,,"N","11400 CLEVELAND AV
KANSAS CITY, MO 64134
(38.91653938900049, -94.54658984899964)"
"130000773","2013-01-04T00:00:00.000","8:53","2012-12-21T00:00:00.000","9:00","2012-12-31T00:00:00.000","17:00","650","23G","Stealing Auto Parts/","231","64131","PJ5444","MPD","U","1","SUS","U","U",,"N","400 W 72 ST
KANSAS CITY, MO 64131
(38.99739852200048, -94.58442982799966)"
"130076927","2013-10-22T00:00:00.000","21:00","2013-10-22T00:00:00.000","18:00","2013-10-22T00:00:00.000","20:00","670","23D","Stealing from Buildi","312","64125","PJ0771","EPD","U","1","SUS","U","U",,"N","6100 INDEPENDENCE AV S
KANSAS CITY, MO 64125
(39.10491803700046, -94.51078916399968)"
"130000009","2013-01-01T00:00:00.000","1:10","2013-01-01T00:00:00.000","1:10",,,"801","13B","Non Aggravated Assau","113","64126","PJ1177","CPD","U","1","ARR","B","M","30","N","100 E 13 ST
KANSAS CITY, MO 64126
(39.098579058000496, -94.58204310599967)"
"130000530","2013-01-03T00:00:00.000","8:41","2013-01-02T00:00:00.000","19:00","2013-01-03T00:00:00.000","8:00","702","240","Auto Theft","332","64128","PJ2734","EPD","U","1","VIC","B","M","50","N","3300 CHESTNUT AV
KANSAS CITY, MO 64128
(39.06603268700047, -94.5507464049997)"
"130000555","2013-02-13T00:00:00.000","9:20","2013-01-02T00:00:00.000","9:15","2013-01-02T00:00:00.000","17:30","690","23H","Stealing All Other","425","64153","PP0066","NPD","N","1","VIC","W","F","29","N","00 ROME CI
KANSAS CITY, MO 64153
(39.29533327700045, -94.71785826899969)"
"130000996","2013-01-05T00:00:00.000","1:35","2013-01-05T00:00:00.000","1:30",,,"801","13B","Non Aggravated Assau","111","64108","PJ0535","CPD","U","1","ARR","W","M","40","N","W 5 ST/BROADWAY
KANSAS CITY, MO 64108
(39.08507054400047, -94.58157691099967)"
"130000064","2013-01-01T00:00:00.000","6:56","2012-12-31T00:00:00.000","18:00","2013-01-01T00:00:00.000","7:56","501","220","Burglary - Residence","343",,"PJ3233","EPD","N","1","VIC","B","M","29","N","5100 E 40 ST
KANSAS CITY, MO 
(39.052982441000495, -94.52447013799969)"
"130000125","2013-01-01T00:00:00.000","13:31","2013-01-01T00:00:00.000","13:30",,,"802","13B","Non Agg Assault Dome","223","64134","PJ7062","SPD","Y","1","VIC","B","F","41","N","8700 E 110 TE
KANSAS CITY, MO 64134
(38.923978158000466, -94.48928028599966)"
"130000828","2013-01-04T00:00:00.000","12:26","2013-01-04T00:00:00.000","12:26",,,"630","23C","Stealing Shoplifting","213","64129","PJ4889","MPD","U","1","VIC",,,,"N","8700 E 63 TF
KANSAS CITY, MO 64129
(39.03902217600046, -94.49601940699966)"
"130001165","2013-01-05T00:00:00.000","19:48","2013-01-05T00:00:00.000","19:45",,,"302","120","Armed Robbery","123","64108","PJ1515","CPD","U","4","VIC","B","F","50","Y","1500 E 18 ST
KANSAS CITY, MO 64108
(39.09125628300046, -94.56437203199965)"
"130001113","2013-01-05T00:00:00.000","14:48","2013-01-05T00:00:00.000","14:48",,,"831","13C","Intimidation","532","64134","PJ7111","SPD","U","1","SUS","B","M","35","N","11100 BLUE RIDGE BL
KANSAS CITY, MO 64134
(38.9222204940005, -94.50946380999966)"
"130000781","2013-01-04T00:00:00.000","9:42","2013-01-04T00:00:00.000","9:42",,,"1198","26C","Impersonation","143","64108","PJ3231","CPD","N","1","SUS","U","U",,"N","4000 HARRISON ST
KANSAS CITY, MO 64108
(39.0541530590005, -94.5734456139997)"
"130082364","2013-11-12T00:00:00.000","7:39","2013-11-12T00:00:00.000","0:01","2013-11-12T00:00:00.000","7:00","1401","290","Property Damage","422","64154","PP0324","NPD","N","1","SUS","U","U",,"N","3900 NW 85 TER
KANSAS CITY, MO 64154
(39.25337368100048, -94.62474897899966)"
"130001094","2013-01-05T00:00:00.000","13:53","2013-01-05T00:00:00.000","13:45",,,"680","23E","Stealing Coin Operat","113","64106","PJ1094","CPD","U","1","VIC",,,,"N","1200 MCGEE ST
KANSAS CITY, MO 64106
(39.09972560300048, -94.57977603499967)"
"130000146","2013-01-01T00:00:00.000","14:21","2013-01-01T00:00:00.000","13:00",,,"401","13A","Aggravated Assault (","233","64131","PJ5992","MPD","N","1","SUS","B","M","29","N","8200 FLORA AV
KANSAS CITY, MO 64131
(38.97913511100046, -94.57056843099969)"
"130000567","2013-01-03T00:00:00.000","11:30","2013-01-03T00:00:00.000","11:27","2013-01-03T00:00:00.000","11:30","702","240","Auto Theft","141","64109","PJ2760","CPD","U","1","SUS","U","U",,"N","3400 HOLMES ST
KANSAS CITY, MO 64109
(39.06524150200045, -94.57625621799968)"
"130000850","2013-01-04T00:00:00.000","13:47","2013-01-03T00:00:00.000","19:00","2013-01-04T00:00:00.000","7:00","650","23G","Stealing Auto Parts/","111","64109","PJ0843","CPD","U","1","SUS","U","U",,"N","900 WASHINGTON ST
KANSAS CITY, MO 64109
(39.10365190300047, -94.58989587799965)"
"130036081","2013-05-26T00:00:00.000","16:59","2013-05-26T00:00:00.000","16:55",,,"1850","35B","Possession of Drug E","334","64130","PJ3798","EPD","U","1","ARR","B","M","68","N","4500 CLEVELAND AV
KANSAS CITY, MO 64130
(39.043992009000476, -94.5403555799997)"
"130000687","2013-01-03T00:00:00.000","18:40","2013-01-03T00:00:00.000","18:40",,,"840","90Z","Resisting an Officer","345","64133","PJ3601","EPD","U","1","ARR","W","F","28","N","11600 E US 40 HWY
KANSAS CITY, MO 64133
(39.04648032600045, -94.44116774099967)"
"130000941","2013-01-04T00:00:00.000","19:37","2013-01-04T00:00:00.000","18:50",,,"501","220","Burglary - Residence","413",,"PP0646","NPD","N","1","SUS","U","U",,"N","6300 N CAMDEN AV
KANSAS CITY, MO 
(39.2092028940005, -94.63555977699968)"
"130034243","2013-05-19T00:00:00.000","15:06","2013-05-19T00:00:00.000","8:00","2013-05-19T00:00:00.000","11:45","650","23G","Stealing Auto Parts/","542","64137","PJ6521","SPD","U","1","VIC","W","M","65","N","9300 JAMES A REED RD
KANSAS CITY, MO 64137
(38.954641532000494, -94.49392579199969)"
"120093241","2013-01-02T00:00:00.000","12:08","2013-01-02T00:00:00.000",,,,"1750","11D","Sex Off Fondle - mol","642","64155","PC0324","SCP","N","1","VIC","W","F","15","N","8600 N HARRISON ST
KANSAS CITY, MO 64155
(39.25038011300046, -94.56768346199965)"
"130000095","2013-01-01T00:00:00.000","9:41","2012-12-31T00:00:00.000","11:59","2013-01-01T00:00:00.000","0:30","401","13A","Aggravated Assault (","331","64128","PJ2253","EPD","N","4","VIC","B","F","7","Y","3200 LOCKRIDGE ST
KANSAS CITY, MO 64128
(39.07577800900049, -94.54580978599967)"
"130000889","2013-01-04T00:00:00.000","15:38","2013-01-04T00:00:00.000","15:35",,,"801","13B","Non Aggravated Assau","312","64120","PJ0021","EPD","U","1","VIC",,,,"N","1800 N CORRINGTON AV
KANSAS CITY, MO 64120
(39.13633213200046, -94.49609537899966)"
