Project No.,Title,County,Number,Direction,Name,Suffix,Completion Year Estimate,Status,Cost in Millions of Dollars,Overall Classification Type,Primary Project Type,Primary Activity Type,Primary Use Type,Complex Project Type,Complex Activity Type,Complex Use Type,Housing Sub-Type,Office Square Feet,Retail and Commercial Square Feet,Industrial / Warehouse / Heavy Commercial Sq. Ft.,Hotel Rooms,Housing Units,Description,Developer,Also in 1983 to 1989 Database?,Also in River-Crown-Plaza Housing Database?,Location 1,Neighborhood Census,Council Districts,County Boundary,Zip Codes
505,Paseo High School,Jackson,4747, ,Flora,Av,1992,Completed,19,Non-Residential,Building,New,Education,Building,New,Education, ,,,,,,$19 million new high school,Kansas City School District,No,No,"4747 Flora Av
Kansas City, MO
(39.03809838800049, -94.56680581399968)",58,3,7,165
576,Trans-Missouri River Water Tunnel,Jackson,, , , ,1992,Completed,27,City Capital Improvement,Infrastructure,New,Water Service,Infrastructure,New,Water Service, ,,,,,,$27 million 2.7 mile second water tunnel under the Missouri River to provide backup and maintenance flexibility in the provision of water south of the river,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
658,Water Laboratory Expansion,Clay,2,NE,32nd,St,1992,Completed,6,Non-Residential,Building,Expansion,Industrial,Building,Expansion,Industrial, ,,,21000,,,Water Laboratory Expansion,"City of Kansas City, MO",No,No,"2 32nd St
Kansas City, MO
(39.06918313400047, -94.5844410259997)",2,4,7,50
564,American Royal Show and Exhibit Facilities,Jackson,1701, ,American Royal,Ct,1992,Completed,33,Non-Residential,Building,New,Entertainment,Building,New / Renovation,Entertainment / Office, ,25000,,,,,"new 5,100-seat arena and exhibition hall and remodeling of Governor's Exposition Building","City of Kansas City, MO",No,No,"1701 American Royal Ct
Kansas City, MO
(39.09075531300044, -94.60513438399965)",241,4,7,20
354,Holliday Academy Elementary School,Jackson,7227, ,Jackson,Av,1992,Completed,6,Non-Residential,Building,New,Education,Building,New,Education, ,,,,,,$6 million new elementary school,Kansas City School District,Yes,No,"7227 Jackson Av
Kansas City, MO
(38.995029186000465, -94.53832227599969)",131,2,7,151
683,Halls Department Store Remodeling,Jackson,211, ,Nichols,Rd,1992,Completed,4,Non-Residential,Building,Renovation,Retail,Building,Renovation,Retail, ,,26000,,,,$4 million remodeling of retail store,Halls Merchandising,No,No,"211 Nichols Rd
Kansas City, MO
(39.041653985000494, -94.5892349779997)",103,4,7,44
736,Southeast High School Renovations,Jackson,3500,E,Meyer,Bl,1992,Completed,4,Non-Residential,Building,Renovation,Education,Building,Renovation,Education, ,,,,,,$4 million school renovation,Kansas City School District,No,No,"3500 Meyer
Bl Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
559,Westport High and Middle School Expan.,Jackson,300,E,39th,St,1992,Completed,16,Non-Residential,Building,Expansion,Education,Building / Open Space,Expansion,Education, ,,,,,,$16 million building expansions and new athletic fields,Kansas City School District,No,No,"300 39th St
Kansas City, MO
(39.056468580000455, -94.58253951099965)",32,4,7,50
744,Budgetel Inn,Jackson,8601, ,Hillcrest,Rd,1993,Completed,3,Non-Residential,Building,New,Lodging,Building,New,Lodging, ,,,,106,,new 106-room motel,Marcus Corp.,No,No,"8601 Hillcrest Rd
Kansas City, MO
(38.9693576250005, -94.52097508599968)",10,2,7,98
538,Martin Luther King Elderly Housing,Jackson,2525, ,Euclid,Av,1993,Completed,7,Residential,Building,Use Conversion,Housing,Building,Use Conversion,Housing,Multifamily,,,,,108,conversion of hospital into 108 apartments for the elderly,Midwest Asset Management Group,No,No,"2525 Euclid Av
Kansas City, MO
(39.07925898800045, -94.55936535299969)",234,3,7,95
582,Primitivo Garcia Elementary School,Jackson,1000,W,17th,St,1993,Completed,7,Non-Residential,Building,New,Education,Building,New,Education, ,,,,,,new $7 million school,Kansas City School District,No,No,"1000 17th St
Kansas City, MO
(39.09317816900045, -94.59665056599965)",149,4,7,92
412,Police Communications Center,Jackson,1111, ,Locust,St,1993,Completed,8,Non-Residential,Building,New,Public Safety,Building,New,Public Safety / Office, ,189000,,,,,"new 189,000 sq. ft. office building for police communications and data processing","City of Kansas City, MO",No,No,"1111 Locust St
Kansas City, MO
(39.10067846300046, -94.57731550299968)",5,4,7,75
413,Quality Hill Residential Phase II,Jackson,905, ,Washington,St,1993,Completed,8,Residential,Building,New,Housing,Building,New,Housing,Multifamily,,,,,84,84 new apartments in seven buildings,McCormack Baron and Assocs.,No,Yes,"905 Washington St
Kansas City, MO
(39.103673564000474, -94.5898170319997)",185,4,7,72
377,Hodge Park Expansion,Clay,, , , ,1993,Completed,1,City Capital Improvement,Open Space,Expansion,Recreation,Open Space,Expansion,Recreation, ,,,,,,$1 million park expansion,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
759,Big Blue River Wastewater Treatment,Jackson,7300, ,Hawthorne,Rd,1993,Completed,6,City Capital Improvement,Building,New,Industrial,Building,New,Industrial, ,,,120000,,,new $6 million wastewater treatment plant,"City of Kansas City, MO",No,No,"7300 Hawthorne Rd
Kansas City, MO
(39.12102554900048, -94.4970648209997)",53,4,7,144
746,Pace Membership Warehouse,Jackson,5100,E,Bannister,Rd,1993,Completed,15,Non-Residential,Building,New,Retail,Building,New,Retail, ,,138000,,,,"new 138,000 sq. ft. retail store",BCR Redevelopment Corp.,No,No,"5100 Bannister Rd
Kansas City, MO
(38.95318259400045, -94.52752509699968)",108,2,7,149
661,Palestine Senior Citizens Activity Center,Jackson,3325, ,Prospect,Av,1993,Completed,4,Non-Residential,Building,New,Social Service,Building,New,Social Service / Entertainment, ,,,,,,"new $4 million senior citizen day care, recreation and social service center",Palestine Senior Citizens Activity Center Inc.,No,No,"3325 Prospect Av
Kansas City, MO
(39.06550917800047, -94.55301573299965)",67,3,7,36
787,Marlborough Manor Apartments,Jackson,1818,E,79th,St,1993,Completed,1,Residential,Building,Use Conversion,Housing,Building,Use Conversion,Housing,Multifamily,,,,,25,conversion of former school into 25 apartments for the elderly and disabled,Catholic Charities of Kansas City-St. Joseph,No,No,"1818 79th St
Kansas City, MO
(38.98392823100045, -94.56566878099966)",154,2,7,151
449,Central Patrol Division Police Station,Jackson,1200,E,Linwood,Bl,1993,Completed,3,Non-Residential,Building,New,Public Safety,Building,New,Public Safety, ,,,,,,"new 18,000 sq. ft. police station","City of Kansas City, MO",No,No,"1200 Linwood
Bl Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
685,Marillac Center for Children Renovation and Addition,Jackson,2826, ,Main,St,1993,Completed,3,Non-Residential,Building,Renovation,Medical,Building,Renovation / New,Medical, ,,,,,,"renovation of 50,000 sq. ft. and construction of 9,000 sq. ft. for children's psychiatric treatment center",Marillac Center for Children,No,No,"2826 Main St
Kansas City, MO
(39.07567390900044, -94.58503641199968)",97,4,7,92
741,St. Joseph Community Cen. for Health/Ed.,Jackson,1000, ,Carondelet,Dr,1993,Completed,4,Non-Residential,Building,New,Medical,Building,New,Medical / Education, ,,,,,,"new 35,000 sq. ft. medical and health education building",St. Joseph Hospital,No,No,"1000 Carondelet Dr
Kansas City, MO
(38.935051202000466, -94.6016736469997)",90,1,7,162
687,Holiday Inn Citi Centre Renovation,Jackson,1215, ,Wyandotte,St,1993,Completed,4,Non-Residential,Building,Renovation,Lodging,Building,Renovation,Lodging, ,,,,192,,$4 million renovation of 192-room hotel,RJH Holdings Inc.,No,No,"1215 Wyandotte St
Kansas City, MO
(39.09948752000048, -94.5855751529997)",5,4,7,72
662,G & K Services Laundry,Jackson,1745,N,Reynolds,Av,1993,Completed,11,Non-Residential,Building,New,Heavy Commercial,Building,New,Heavy Commercial, ,,,40000,,,"new 40,000 sq. ft. laundry",Irwin Mandel Development Corp.,No,No,"1745 Reynolds Av
Kansas City, MO
(39.14112899000048, -94.50909545799965)",53,4,7,144
546,Metropolitan Homes Apartments,Jackson,2305,E,31st,St,1993,Completed,7,Residential,Building,New,Housing,Building,New,Housing,Multifamily,,,,,60,new 60-unit apartment complex,Community Development Corp.,No,No,"2305 31st St
Kansas City, MO
(39.069951587000446, -94.55615709999967)",26,3,7,19
404,"KCI, Second North-South Runway",Platte,, , , ,1994,Completed,50,City Capital Improvement,Infrastructure,Expansion,Aviation,Infrastructure,Expansion,Aviation, ,,,,,,"new $50 million 9,500 foot long airport runway","City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
528,Marine Corps Reserve Support Facility,Jackson,, , , ,1994,Completed,6,Non-Residential,Building,New,Public Safety,Building,New,Public Safety, ,,,,,,"new 90,000 sq. ft. military support operations facility",U.S. Government,No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
481,Twentieth Century Tower II Offices,Jackson,4520, ,Main,St,1994,Completed,33,Non-Residential,Building,Expansion,Office,Building,Expansion,Office, ,242000,,,,,"242,000 sq. ft. office tower to match an existing tower built in the 1980's, plus a 635-space parking garage",Winbury Group Inc.,No,No,"4520 Main St
Kansas City, MO
(39.045201292000456, -94.58680575399967)",216,4,7,50
690,Nutter & Co. Offices,Jackson,4026, ,Central,St,1994,Completed,3,Non-Residential,Building,New,Office,Building,New,Office, ,30000,,,,,"new 30,000 sq. ft. office building",James B. Nutter & Co.,No,No,"4026 Central St
Kansas City, MO
(39.052783881000494, -94.58852906999965)",42,4,7,50
472,Kemper Museum,Jackson,4420, ,Warwick,Bl,1994,Completed,5,Non-Residential,Building,New,Entertainment,Building,New,Entertainment, ,,,,,,"new 23,000 sq. ft. modern art museum",Kansas City Art Institute,No,No,"4420 Warwick
Bl Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
503,63rd St. Bridge Reconstruction over Blue R.,Jackson,, , , ,1994,Completed,6,City Capital Improvement,Infrastructure,Replacement,Bridge,Infrastructure,Replacement,Bridge, ,,,,,,$6 million new bridge over the Blue River with many decorative elements,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
823,Highland View Single Family Homes,Clay,8609,N,Lathrop,Av,1994,Completed,12,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,59,59 single family homes built 1990 to 1994, ,No,No,"8609 Lathrop Av
Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
745,Home Quarters Store,Jackson,5000,E,Bannister,Rd,1994,Completed,5,Non-Residential,Building,New,Retail,Building,New,Retail, ,,110000,,,,"new 110,000 sq. ft. retail building",Home Quarters Warehouse Inc.,No,No,"5000 Bannister Rd
Kansas City, MO
(38.95318684200049, -94.52770045399967)",35,2,7,151
874,Norfolk Southern Freight Terminal,Clay,4800,N,Kimball,Av,1994,Completed,12,Non-Residential,Building,New,Transportation,Building / Infrastructure,New,Transportation, ,,,50000,,,$12 million new intermodal freight terminal and yard,Norfolk Southern Corp.,No,No,"4800 Kimball Av
Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
691,St. Paul's Episcopal Day School,Jackson,4041, ,Main,St,1994,Completed,4,Non-Residential,Building,New,Education,Building,New,Education, ,,,,,,"new 51,000 sq. ft. school",St. Paul's Episcopal Day School,No,No,"4041 Main St
Kansas City, MO
(39.05285849900048, -94.58627513799968)",216,4,7,50
550,Bartle Hall Expansion,Jackson,1401, ,Broadway, ,1994,Completed,130,Non-Residential,Building,Expansion,Meeting Space,Building,Expansion,Meeting Space / Entertainment, ,,,,,,"338,000 sq. ft. expansion to meeting and exhibition space, much of it built over a freeway","City of Kansas City, MO",No,No,"1401 Broadway
Kansas City, MO
(39.09736275300048, -94.58851905399968)",5,4,7,72
1002,Tremont Place Apartments,Platte,6161,N,Chatham,Av,1994,Completed,3,Residential,Building,New,Housing,Building,New,Housing,Multifamily,,,,,50,50 new multifamily housing units,Tremont Manor Development,No,No,"6161 Chatham Av
Kansas City, MO
(39.207696361000444, -94.64272172999966)",246,5,3,66
393,Downtown Airport Improvements,Clay,300, ,Richards,Rd,1994,Completed,8,Non-Residential,Building,Renovation,Transportation,Building,Renovation / Expansion,Transportation / Office, ,30000,8000,,,,$8 million renovation and expansion of office and retail space,"City of Kansas City, MO",No,No,"300 Richards Rd
Kansas City, MO
(39.12090282800045, -94.58973124599964)",241,4,4,167
466,Brookside Main Connection,Jackson,, , , ,1994,Completed,8,City Capital Improvement,Infrastructure,New,Bridge,Infrastructure,New,Bridge, ,,,,,,$8 million new bridge and roadway to connect Main St. and Brookside Blvd. over Brush Creek,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
663,Trailwoods Elementary School,Jackson,6201,E,17th,St,1994,Completed,9,Non-Residential,Building,New,Education,Building,New,Education, ,,,,,,new $9 million school,Kansas City School District,No,No,"6201 17th St
Kansas City, MO
(39.090201057000456, -94.51021467899966)",6,3,7,94
723,Fairfield Inn - N. Church Rd.,Clay,8101,N,Church,Rd,1994,Completed,5,Non-Residential,Building,New,Lodging,Building,New,Lodging, ,,,,104,,new 104-room hotel,Marriott Corp.,No,No,"8101 Church Rd
Kansas City, MO
(39.239449197000454, -94.46029659999965)",244,6,4,122
385,Shoal Creek Golf Course,Clay,, , , ,1994,Completed,20,City Capital Improvement,Open Space,Expansion,Recreation,Open Space,Expansion,Recreation, ,,,,,,18-hole golf course east of the existing Hodge Park Golf Course,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
664,Window Factory Warehouse,Jackson,950, ,Century,Av,1994,Completed,11,Non-Residential,Building,New,Office,Building,New,Office / Warehouse, ,5000,,38000,,,"new 43,000 sq. ft. office / warehouse",Window Factory,No,No,"950 Century Av
Kansas City, MO
(39.12296725400046, -94.48975523399969)",53,4,7,144
451,Parade Park Homes Renovation,Jackson,1903,E,15th,Te,1994,Completed,7,Residential,Building,Renovation,Housing,Building,Renovation,Housing,Multifamily,,,,,510,renovation of 510-unit apartment complex,Omega Realty Co.,No,No,"1903 15th
Te Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
