Project No.,Title,County,School District,Census Tract,West to East Coordinate,South to North Coordinate,Number,Direction,Name,Suffix,Completion Year Estimate,Status,Cost in Millions of Dollars,Overall Classification Type,Primary Project Type,Primary Activity Type,Primary Use Type,Complex Project Type,Complex Activity Type,Complex Use Type,Housing Sub-Type,Office Square Feet,Retail and Commercial Square Feet,Industrial / Warehouse / Heavy Commercial Sq. Ft.,Hotel Rooms,Housing Units,Description,Developer,Also in 1983 to 1989 Database?,Also in River-Crown-Plaza Housing Database?,Location 1,Neighborhood Census,Council Districts,County Boundary,Zip Codes
566,Line Creek Community Cen. & Skating,Platte,Park Hill,300.01,2757622,1105534,5940,NW,Waukomis,Dr,1996,Completed,3,Non-Residential,Building,New,Entertainment,Building,New,Entertainment / Meeting Space, ,,,,,,"new community center and 16,000 sq. ft. skating rink","City of Kansas City, MO",No,No,"5940 Waukomis Dr
Kansas City, MO
(39.20209591000048, -94.60836798299965)",153,5,3,66
1637,N. Brighton Alignment - M-210 to Parvin,Clay,North Kansas City,206.02,2782635,1090319,, , , ,2014,Approved,9,City Capital Improvement,Infrastructure,Upgrade,Road,Infrastructure,Upgrade,Road, ,,,,,,$9 million road alignment improvement,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
503,63rd St. Bridge Reconstruction over Blue R.,Jackson,Kansas City,9801.01,2781505,1036798,, , , ,1994,Completed,6,City Capital Improvement,Infrastructure,Replacement,Bridge,Infrastructure,Replacement,Bridge, ,,,,,,$6 million new bridge over the Blue River with many decorative elements,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1242,Riverfront Heritage Trail,Jackson,Kansas City,152,2763649,1071319,, , , ,2010,Completed,22,City Capital Improvement,Infrastructure,New,Trail,Infrastructure,New,Trail, ,,,,,,new $22 million trail,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1552,Wheeler Airport Hangers & Other Improvements,Clay,North Kansas City,221,2762623,1078970,1101, ,Lou Holland,Dr,2009,Completed,20,Non-Residential,Building,New,Transportation,Building,New,Transportation / Office / Retail, ,35000,5000,450000,,,"125 new airplane hangers, a fueling station, and a 40,000 sq. ft. multipurpose building for offices, a restaurant and a lounge","City of Kansas City, MO",No,No,"1101 Lou Holland Dr
Kansas City, MO
(39.11509222100045, -94.59099736799965)",241,4,4,167
938,Municipal Auditorium Renovation II,Jackson,Kansas City,157,2764187,1067384,1310, ,Wyandotte,St,2003,Completed,25,Non-Residential,Building,Renovation,Entertainment,Building,Renovation,Entertainment, ,9000,,,,,"$25 million renovation of space at Municipal Auditorium into 60,000 sq. ft. of exhibition space, plus 9,000 sq. ft. of office space","City of Kansas City, MO",No,No,"1310 Wyandotte St
Kansas City, MO
(39.098453116000485, -94.58569761499967)",5,4,7,72
967,Bannister Bridge At Little Blue Replacement,Jackson,Lee's Summit,144,2808462,1012212,, , , ,2003,Completed,4,City Capital Improvement,Infrastructure,Replacement,Bridge,Infrastructure,Replacement,Bridge, ,,,,,,$4 million bridge replacement,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
523,Hillcrest Community Center,Jackson,Hickman Mills,130.03,2782704,1008268,10401, ,Hillcrest,Rd,1995,Completed,3,Non-Residential,Building,New,Entertainment,Building,New,Entertainment / Meeting Space, ,,,,,,new community center,"City of Kansas City, MO",No,No,"10401 Hillcrest Rd
Kansas City, MO
(38.936188236000476, -94.5209170499997)",108,1,7,143
1400,Fire Station # 19,Jackson,Kansas City,168,2762213,1049790,550,W,43rd,St,2006,Completed,6,Non-Residential,Building,New,Public Safety,Building,New,Public Safety, ,,,,,,new $6 million fire station,"City of Kansas City, MO",No,No,"550 43rd St
Kansas City, MO
(39.049548667000465, -94.59331851299964)",42,4,7,50
1765,Richards Gebaur/CenterPoint Road Improvements,Jackson,Grandview,134.05,2775491,980243,, , , ,2012,Underway,5,City Capital Improvement,Infrastructure,Upgrade,Road,Infrastructure,Upgrade,Road, ,,,,,,$5 million of road improvements,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
730,Camp Lake of the Woods,Jackson,Kansas City,9801.01,2782163,1029746,5601,E,Gregory,Bl,1999,Completed,2,Non-Residential,Building,New,Entertainment,Building,New,Entertainment, ,,,,,,"new 22,000 sq. ft. recreation facility","City of Kansas City, MO",No,No,"5601 Gregory
Bl Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
977,KCI Deicing Waste Collection System,Platte,Platte County,303.07,2726375,1138833,, , , ,1998,Completed,9,City Capital Improvement,Infrastructure,New,Sewer,Infrastructure,New,Sewer, ,,,,,,$9 million system to carry deicing waste into the wastewater system,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1148,Fire Station # 35,Jackson,Kansas City,61,2775055,1046634,3200, ,Emanuel Cleaver,Blvd,2009,Completed,9,Non-Residential,Building,New,Public Safety,Building,New,Public Safety, ,,,,,,new $9 million fire station,"City of Kansas City, MO",No,No,"3200 Emanuel Cleaver Blvd
Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
513,Lakeside Nature Center,Jackson,Kansas City,89,2779309,1030461,5600,E,Gregory,Av,1998,Completed,4,Non-Residential,Building,New,Entertainment,Building,New,Entertainment, ,,,,,,"new 15,000 sq. ft. nature exhibit building","City of Kansas City, MO",No,No,"5600 Gregory Av
Kansas City, MO
(38.99461267100048, -94.49871798599969)",181,2,7,37
436,11th & Oak Parking Garage,Jackson,Kansas City,157,2766327,1068223,1100, ,Oak,St,2003,Completed,20,Non-Residential,Building,New,Parking,Building,New,Parking, ,,15000,,,,"new 1,350-space parking garage with street-level retail space","City of Kansas City, MO",No,No,"1100 Oak St
Kansas City, MO
(39.100872678000485, -94.57853649599969)",5,4,7,75
529,Grandview Road Bridge over I-435,Jackson,Hickman Mills,102.01,2775884,1009305,, , , ,1995,Completed,3,City Capital Improvement,Infrastructure,Replacement,Bridge,Infrastructure,Replacement,Bridge, ,,,,,,bridge replacement,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1633,58th Street Bridge over KCSRR Replacement,Jackson,Raytown,175,2784135,1038462,, , , ,2009,Completed,8,City Capital Improvement,Infrastructure,Replacement,Bridge,Infrastructure,Replacement,Bridge, ,,,,,,$8 million bridge replacement,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
493,Brush Creek Flood Control/Aesthetic Impvts.,Jackson,Kansas City,77,2776268,1045366,, , , ,2014,Underway,132,City Capital Improvement,Infrastructure,Upgrade,Flood Control,Infrastructure,Upgrade,Flood Control / Recreation / Roads, ,,,,,,"deepening & widening of channel, State Line-Blue River, plus dams, drop structures, beautification & recreation amenities (walks, lighting, fountains, landscaping, decorative infrastructure), bridge & street replacements","City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
511,Starlight Theater Stage Expansion,Jackson,Kansas City,9801.01,2779556,1034241,4600, ,Starlight,Rd,2000,Completed,5,Non-Residential,Building,Expansion,Entertainment,Building,Expansion,Entertainment, ,,,,,,$5 million expansion of the stage at Starlight Theater,"City of Kansas City, MO",No,No,"4600 Starlight Rd
Kansas City, MO
(39.00825718100049, -94.5348882139997)",52,2,7,151
950,31st St. Bridge at Wyandotte Replacement,Jackson,Kansas City,44,2763560,1057584,, , , ,2007,Completed,4,City Capital Improvement,Infrastructure,Replacement,Bridge,Infrastructure,Replacement,Bridge, ,,,,,,$4 million bridge replacement,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
962,Sni-A-Bar Bridge over KCSRR,Jackson,Raytown,163,2785517,1044901,, , , ,2009,Completed,6,City Capital Improvement,Infrastructure,Replacement,Bridge,Infrastructure,Replacement,Bridge, ,,,,,,$6 million bridge replacement,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
945,Barry Rd. Widening - I-29 to Westside Dr.,Platte,Park Hill,302.09,2739152,1121632,, , , ,2007,Completed,23,City Capital Improvement,Infrastructure,Upgrade,Road,Infrastructure,Upgrade,Road, ,,,,,,$22 million road widening,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1096,Bruce Watkins Drive Landscaping,Jackson,Kansas City,166,2771291,1058610,, , , ,2005,Completed,6,City Capital Improvement,Open Space,Upgrade,Streetscape,Open Space,Upgrade,Streetscape, ,,,,,,$4 million worth of landscaping along roadway,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
