"number","fraction","prefix","name","suffix","month","day","year","res_non","type","sf_mf","dwelling_units_gained_or_lost","permit_value","how_far_east","how_far_north","permit_number","structure_class","class_description","subdivision","project_description","county","council_district","school_district","pin","parcel","applicant_name","applicant_representative","owner_name","legal_description","property_description","location_1"
"3428",,,"PARK","AVE","4","12","2013","Residential","Additions, Alterations, Repairs","NA","0","124","2772560","1054778","201324564","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","3","Kansas City","126585","JA29740292900000000","ADT SECURITY SERVICES, INC.","JUANITA FARR","DETWILER PAUL & JANICE","3428 PARK / N 16 2/3 FT LOT   148 S 16 2/3 FT LOT 149       SOUTH WINDSOR",,"3428 PARK AVE
,  64109
(39.063491, -94.556643)"
"3101",,,"PEERY","AVE","6","11","2010","Residential","Additions, Alterations, Repairs","NA","0","1500","2775705","1067863","201111681","97","Existing One Or Two Family Residence",,"storage","Jackson","3","Kansas City","10902","JA28320360800000000","LEE'S SUMMIT ELECTRIC","PERMIT SERVICE",,"3101 PEERY / LOTS 5 & 6 BLK 8 JAMES GOODIN PLACE",,"3101 PEERY AVE
,  64127
(39.099555, -94.545868)"
"5205",,,"PALMER","DR","4","10","2013","Residential","Additions, Alterations, Repairs","NA","0","1800","2790793","1042398","201324399","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","3","Raytown","51392","JA32920023500000000","STANDARD ELECTRIC CO., INC.","PAM BALKCOM","BAILEY WAYNE E & TONDA R","5205 PALMER DR / LOT 35 BLK 3 VINEYARD HILLS EAST",,"5205 PALMER DR
,  64129
(39.029483, -94.492873)"
"9004",,"N","OXFORD","AVE","11","10","2011","Residential","New Construction","Single Family","0","5100","2798766","1124805","201217986","101","New Single Family Dwelling","COPPERLEAF SECOND PLAT","NEW SINGLE FAMILY","Clay","1","Liberty","237158","CL1431000010170001","UNITED HEATING & COOLING, INC.","CHRIS FINDLEY",,,,"9004 N OXFORD AVE
,  64157
(39.255819, -94.464194)"
"8316",,,"PARK","AVE","1","28","2010","Residential","Additions, Alterations, Repairs","NA","0","500","2771157","1022789","201020892","97","Existing One Or Two Family Residence",,"SINGLE FAMILY RESIDENCE","Jackson","5","Center","121961","JA48110042800000000","JAMES FRANCIS","JAMES FRANCIS",,"/WILLOW SPRINGS LOT 15",,"8316 PARK AVE
,  64132
(38.975805, -94.561461)"
"2837",,,"PEERY","AVE","9","15","2010","Residential","Demolition","Single Family","1","0","2775235","1067886","201115590","645","Demolition - One-Family Dwelling",,"SINGLE FAMILY","Jackson","3","Kansas City","10770","JA28320340200000000","MIDLAND WRECKING, INC.","ED KATES",,,,"2837 PEERY AVE
,  64127
(39.099621, -94.547503)"
"7333",,"NE","PARVIN","RD","4","26","2010","Non-Residential","Additions, Alterations, Repairs","NA","0","25000","2790008","1092556","201024296","437","Existing - Nonresidntl Bldg-Addn-Alter-Conv",,"HOLIDAY INN HOTEL","Clay","1","North Kansas City","75311","CL1820100010040001","CENTRAL PLUMBING, HEATING & A/C, INC.","PERMIT SERVICE, INC.",,"7333 NE PARVIN RD             SE 1/4 SE 1/4 SEC 4 50 32     CONT 4.042 AC ALL ABOVE       WINTERSET LEDGE OF BEG SE COR TH N 89 DEG 18 MIN 08 SEC W   1078.12 FT TH N 22 DEG 54 MIN 34 SEC E 502.13 FT TH S 67    DEG 05 MIN 26 SEC E 30 FT TO  TPOB TH N 22 D",,"7333 NE PARVIN RD
,  64117
(39.168347, -94.495425)"
"5003",,"N","PARK","AVE","6","17","2011","Residential","Additions, Alterations, Repairs","NA","0","800","2773950","1099165","201211852","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Clay","1","North Kansas City","87671","CL1392000120030001","BRADLEY-READE INC","DAN SKAGGS",,"POSTY CARDS INC",,"5003 N PARK AVE
,  64118
(39.18534, -94.552274)"
"6825",,"N","PARK PLAZA","DR","3","26","2012","Residential","Additions, Alterations, Repairs","NA","0","500","2747869","1111293","201223161","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Platte","2","Park Hill","162973","PL194019100007018000","SUSAN'S SERVICE COMPANY, L.L.C.","SUSAN EVANS",,,,"6825 N PARK PLAZA DR
,  64151
(39.218559, -94.644082)"
"6401",,,"PASEO",,"8","29","2013","Non-Residential","New Construction","NA","0","6618","2769481","1035801","201415350","326","Schools And Other Educational Buildings",,"EWING KAUFFMAN CHARTER, HIGH SCHOOL","Jackson","5","KANSAS CITY","250890","JA47130010800000000","RUSSCO CUSTOM FABRICATIONS, INC.","RUSSELL HAMPTON","UNKNOWN","0",,"6401 PASEO
,  64131
(39.01128, -94.568034)"
"4141",,,"PENNSYLVANIA","AVE","3","19","2012","Non-Residential","Additions, Alterations, Repairs","NA","0","48240","2763078","1050489","201222887","437","Existing - Nonresidntl Bldg-Addn-Alter-Conv","41 PENN CONDOMINIUMS","PORT FONDA RESTAURANT","Jackson","4","Kansas City","248528","JA30230190900001005","HENSLEY ELECTRIC","PERMIT SERVICE, INC",,,,"4141 PENNSYLVANIA AVE
,  64111
(39.051661, -94.590511)"
"2327",,,"PARK","AVE","8","6","2010","Residential","Additions, Alterations, Repairs","NA","0","800","2772967","1062063","201114059","97","Existing One Or Two Family Residence",,"DUPLEX","Jackson","3","Kansas City","14048","JA29640031300000000","ABLE ELECTRIC OF KANSAS CITY LLC","TOM SUPER",,,,"2327 PARK AVE
,  64127
(39.083464, -94.555635)"
"1824",,,"PASEO",,"3","19","2012","Non-Residential","Additions, Alterations, Repairs","NA","0","25875","2770319","1064605","201222891","437","Existing - Nonresidntl Bldg-Addn-Alter-Conv",,"YMCA BUCKONEIL CENTER 800 AMP","Jackson","3","Kansas City","13258","JA29620100600000000","MARK ONE ELECTRIC COMPANY, INC.","PERMIT SERVICE, INC.",,,,"1824 PASEO
,  64108
(39.090375, -94.564527)"
"916",,,"PARK","AVE","11","1","2012","Residential","Additions, Alterations, Repairs","NA","0","3456","2773111","1068789","201318244","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","3","Kansas City","11793","JA29110191700000000","JC MECHANICAL HEATING & COOLING","JESUS CASTANDEDA",,,,"916 PARK AVE
,  64127
(39.102116, -94.554713)"
"4926",,"NE","PARK","LN","5","31","2012","Residential","Additions, Alterations, Repairs","NA","0","800","2770171","1098769","201311260","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Clay","1","North Kansas City","87478","CL1391900040370001","ALVIN'S REPAIRS","EICHELBERG, ALVIN",,,,"4926 NE PARK LN
,  64118
(39.184343, -94.565244)"
"7125",,,"PASEO",,"12","4","2012","Residential","Additions, Alterations, Repairs","NA","0","2600","2770422","1030737","201319479","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","5","Kansas City","115203","JA47640051800000000","JC MECHANICAL HEATING & COOLING","JESUS CASTANDEDA",,,,"7125 PASEO
,  64132
(38.997531, -94.564559)"
"8415",,,"PARK","AVE","5","21","2013","Residential","Additions, Alterations, Repairs","NA","0","900","2771269","1022148","201410867","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","5","Center","121977","JA48110120600000000","NELSON ELECTRIC","JOE MALONE","MAHONEY LETHA","8415 PARK                     WILLOW SPRINGS LOT 37",,"8415 PARK AVE
,  64132
(38.973938, -94.56156)"
"9100",,"N","OXFORD","AVE","2","19","2013","Residential","New Construction","Single Family","1","225000","2798784","1125396","201322403","101","New Single Family Dwelling","COPPERLEAF SECOND PLAT","NEW HOUSE","Clay","1","Liberty","237165","CL1431000010240001","HOMES BY CHRIS, LLC","PERMIT SERVICE, INC.","PETERSON DEVELOPMENT CO INC","COPPERLEAF 2ND PLAT LT 9",,"9100 N OXFORD AVE
,  64157
(39.257293, -94.464128)"
"3511",,,"PASEO",,"7","11","2013","Residential","Additions, Alterations, Repairs","NA","0","7000","2769738","1054385","201413022","434","Existing - Residential Bldg-Addn-Alter-Conv",,"CHRIS MURRAY APARTMENTS","Jackson","3","KANSAS CITY","134473","JA30120040700000000","PFL CONSTRUCTION INC","STEVE PUNT","HERPIN DAVID & JENNIFER","3511-13 PASEO / E 122.5 FT    LOT 24 LYDIA AVE PARK",,"3511 PASEO
,  64109
(39.062336, -94.567119)"
"8200",,"NE","PARVIN","RD","4","26","2013","Non-Residential","New Construction","NA","0","10000","2793796","1096435","201325234","320","Industrial Buildings",,"OCEANS OF FUN, LOCKER RENTAL BUILDING","Clay","1","North Kansas City","87967","CL1820200010130001","YATES ELECTRIC CO. INC.","SHAWN BANEY","CEDAR FAIR","8200 NE PARVIN RD             ALL NW 1/4 SE 1/4 SEC 03 50   32 & ALL W 1/2 OF NE 1/4      SD SEC",,"8200 NE PARVIN RD
,  64161
(39.168338, -94.482474)"
"10007",,,"OAKLEY","AVE","2","23","2010","Residential","Additions, Alterations, Repairs","NA","0","800","2781907","1010783","201021769","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","6","Hickman Mills","57780","JA49810070700000000","WIRE NUTZ","JIMMIE FROST",,"10007 OAKLEY / LOT 167        MOORELAND HEIGHTS",,"10007 OAKLEY AVE
,  64137
(38.942711, -94.52409)"
"8724",,"N","PARIS","AVE","12","13","2011","Residential","Additions, Alterations, Repairs","NA","0","500","2731141","1123632","201219148","97","Existing One Or Two Family Residence","WILDWOOD WEST SIXTH PLAT","SINGLE FAMILY RESIDENCE","Platte","2","Park Hill","216918","PL202010100008103000","A.B. MAY COMPANY","MEGAN KAPPLE",,,,"8724 N PARIS AVE
,  64153
(39.252127, -94.703177)"
"4941",,,"PARK","AVE","1","28","2010","Residential","Additions, Alterations, Repairs","NA","0","1950","2772254","1044716","201020907","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","5","Kansas City","138947","JA30640211600000000","TOTAL HOME SERVICE","JOSHUA BUSBY",,"4941 PARK / LOT 166 PROSPECT  HILL",,"4941 PARK AVE
,  64130
(39.035842, -94.558139)"
"5103",,,"PARK","AVE","9","10","2010","Residential","Additions, Alterations, Repairs","NA","0","500","2772222","1043913","201115418","97","Existing One Or Two Family Residence",,"SINGLE FAMILY - ELECTRICAL","Jackson","5","Kansas City","145373","JA30710030300000000","NELSON ELECTRIC","JOE MALONE",,,,"5103 PARK AVE
,  64130
(39.033698, -94.558242)"
"4144",,,"PENNSYLVANIA","AVE","3","22","2012","Non-Residential","Additions, Alterations, Repairs","NA","0","61050","2763012","1050344","201223059","437","Existing - Nonresidntl Bldg-Addn-Alter-Conv",,"CORPORATE COUNCIL AT MUTUAL ICE COMPANY-tf","Jackson","4","Kansas City","132768","JA30230200500000000","TEAGUE ELECTRIC CONSTRUCTION, INC.","ANN GARCIA",,,,"4144 PENNSYLVANIA AVE
,  64111
(39.051567, -94.590436)"
"426",,"N","PARIS","ST","12","15","2010","Non-Residential","Additions, Alterations, Repairs","NA","0","6752","2728520","1150570","201119437","437","Existing - Nonresidntl Bldg-Addn-Alter-Conv",,"KCI CAR CARE, CONVENIENCE STORE","Platte","2","Platte County","171877","PL172010000000005000","WEST SIDE MECHANICAL, INC.","REVOR STANDISH",,"TIGER FINANCIAL CORP",,"426 N PARIS ST
,  64163
(39.301994, -94.711267)"
"11315",,,"ORCHARD","RD","4","12","2010","Residential","Additions, Alterations, Repairs","NA","0","500","2783462","1001945","201023662","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","6","Hickman Mills","60243","JA64130080700000000","T-ELECTRIC, LLC","TYLER RUPERT",,"11315 ORCHARD RD              KINGS HICKMAN ORCHARDS        LOT 7 BLK 7",,"11315 ORCHARD RD
,  64134
(38.918467, -94.51865)"
"3620",,"N","PARK","AVE","5","12","2010","Residential","Additions, Alterations, Repairs","NA","0","400","2773507","1089889","201110409","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Clay","1","North Kansas City","85787","CL1731600190120001","SUSAN'S SERVICE COMPANY, L.L.C.","SUSAN EVANS",,"3620 N PARK / PRATHER HILL 2NDPLAT LOT 15 BLK 1",,"3620 N PARK AVE
,  64116
(39.159903, -94.553417)"
"10827",,"N","OAKLAND","AVE","9","11","2012","Residential","Additions, Alterations, Repairs","NA","0","5450","2791491","1137527","201316001","97","Existing One Or Two Family Residence","BROOKE RIDGE SIXTH PLAT","NEW SINGLE FAMILY","Clay","1","Liberty","239226","CL1080700180140001","MCDANIEL FURNACE & SHEET METAL, INC.","SHEILA DAVIS",,,,"10827 N OAKLAND AVE
,  64157
(39.290684, -94.490474)"
"8607",,"N","OVERLAND","DR","8","8","2012","Residential","Additions, Alterations, Repairs","NA","0","500","2749499","1123102","201314512","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Platte","2","Park Hill","161037","PL193008200002008000","SHON RICHARDS PLUMBING LLC","SHON RICHARDS",,,,"8607 N OVERLAND DR
,  64154
(39.250789, -94.638544)"
"6627",,,"PARK","AVE","6","28","2011","Residential","Additions, Alterations, Repairs","NA","0","4000","2771748","1033756","201212304","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","5","Kansas City","105693","JA47140091200000000","STEVEN M. HOIT","HOIT HEATING & COOLING LLC",,,,"6627 PARK AVE
,  64132
(39.005703, -94.559996)"
"5640",,,"PASEO",,"3","1","2010","Residential","Additions, Alterations, Repairs","NA","0","3303","2769273","1040310","201021936","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","5","Kansas City","146921","JA30730132100000000","PRICE ELECTRICAL & GENERAL CONTRACTING","GARY PRICE",,"5640 PASEO                    PRT SW 1/4 OF NE 1/4 SW 1/4   SEC 33 49 33 BEG 435 FT S OF  NE COR LOT 1 GRAY-PARKER ADD  TH E 136 FT TO W LI PASEO TH S39 FT TH W 136 FT TO E LI GRAY-PARKER ADD TH N 39 FT TO BEG",,"5640 PASEO
,  64110
(39.023689, -94.56818)"
"2925",,,"PASEO",,"7","12","2010","Residential","Additions, Alterations, Repairs","NA","0","1560","2769863","1058240","201112874","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","3","Kansas City","27461","JA29720221000000000","SIMMONS ELECTRICAL","PAUL SIMMONS",,,,"2925 PASEO
,  64109
(39.073013, -94.566551)"
