"project_no","title","how_far_east","how_far_north","number","direction","name","suffix","location","completion_year_estimate","status","cost_estimate","rent_low_cost","rent_high_cost","rent_midpoint","sale_low_price","sale_high_price","sale_midpoint","rent_sale_price_source_year","activity","housing_units","tenure","developer","also_in_1990_onward_database"
"286.30","Bridgeworks Lofts - II","* 2,766,159","* 1,070,933","301","E","Missouri","Av","301 E Missouri Av","2007","Completed","20000000",,,,"350000","450000","400000","2006","New","75","Owner","George Birt","Yes - Grouped"
"2027","531 Grand Apartments","* 2,766,038","* 1,070,930","531",,"Grand","Bl","531  Grand Bl","2017","Proposed","24000000",,,,,,,,"New","140","Renter","Cornerstone Associates LLC","Yes"
"286.08","River Market Apartments V (DE Lofts)","* 2,764,918","* 1,070,929","509",,"Delaware","St","509  Delaware St","1993","Completed","3450000",,,,"98000","299000","198500","2007","Use Conversion","23","Renter","Master Realty / Recon","Yes - Grouped"
"286.22","Lighthouse Lofts","* 2,764,137","* 1,070,922","220","W","5th","St","220 W 5th St","2017","Proposed","12375000",,,,"250000","650000","450000","2006","New","45","Owner","BBL","Yes - Grouped"
"1706","Lofts At River Market West","* 2,764,075","* 1,070,922","320","W","5th","St","320 W 5th St","2003","Completed","15000000",,,,,,,,"New","45","Owner","George Birt","Yes - Grouped"
"286.03","River Market Apartments I","* 2,764,646","* 1,070,908","113","W","5th","St","113 W 5th St","1989","Completed","4200000","425","1000","713",,,,"2006","Use Conversion","28","Renter","Master Realty / Recon","Yes - Grouped"
"286.27","Cromwell Lofts","* 2,765,541","* 1,070,900","528",,"Walnut","St","528  Walnut St","2005","Completed","1650000",,,,,,,,"Use Conversion","11","Renter",,"Yes - Grouped"
"286.10","River Market Apartments VI","* 2,764,824","* 1,070,839","510",,"Delaware","St","510  Delaware St","1996","Completed","4350000","425","1000","713",,,,"2006","Use Conversion","29","Renter","Master Realty / Recon","Yes - Grouped"
"594.16","Atriums at SoHo West","* 2,764,205","* 1,070,391","612",,"Central","St","612  Central St","2005","Completed","7585000",,,,"141000","399000","270000","2006","New / Renovation","41","Owner","Master Realty","Yes - Grouped"
"594.17","Lofts at Historic Suites","* 2,764,335","* 1,070,320","609",,"Central","St","609  Central St","1986","Completed","7200000",,,,,,,,"Use Conversion","48","Renter",,"Yes - Grouped"
"594.01","SoHo West Condo Association","* 2,764,092","* 1,070,197","306","W.","7th","St","306 W. 7th St","1984","Completed","3500000","550","2200","1375",,,,"2006","Use Conversion","20","Renter","Master Realty / Recon","Yes - Grouped"
"594.11","West 7th Street Lofts","* 2,763,980","* 1,070,190","318","W.","7th","St","318 W. 7th St","1999","Completed","8100000","675","1200","938",,,,"2006","Use Conversion","54","Renter","George Birt","Yes - Grouped"
"594.06","SoHo West I","* 2,764,215","* 1,070,189","616",,"Central","St","616  Central St","1986","Completed","8100000",,,,,,,,"Use Conversion","54","Renter","Master Realty / Recon","Yes - Grouped"
"1254","The View","* 2,767,230","* 1,070,143","600",,"Admiral","Bl","600  Admiral Bl","2005","Completed","27000000",,,,"170000","800000","485000","2006","Style Conversion","143","Owner","View LLC","Yes"
"1319","Buick Lofts","* 2,766,062","* 1,070,137","220",,"Admiral","Bl","220  Admiral Bl","2005","Completed","2800000","500","2000","1250",,,,"2006","Use Conversion","22","Renter",,"Too Small"
"594.10","Coffee Lofts (SoHo IV; Burd & Fletcher)","* 2,763,975","* 1,070,089","321","W.","7th","St","321 W. 7th St","1999","Completed","7350000",,,,"104000","320000","212000","2006","Use Conversion","49","Owner","Master Realty","Yes - Grouped"
"1468","Lofts at Admiral Properties","* 2,766,663","* 1,070,088","422",,"Admiral","Bl","422  Admiral Bl","2005","Completed","700000",,,,,,,,"Use Conversion","4","Owner","422 Admiral LLC","Too Small"
"594.18","700 Broadway","* 2,763,585","* 1,070,059","700",,"Broadway",,"700  Broadway ","2007","Completed","8750000",,,,,,"130000","2007","Use Conversion","47","Owner","Master Realty","Yes - Grouped"
"1883","Roaster's Block","* 2,763,801","* 1,069,995","701",,"Broadway","Bl","701  Broadway Bl","2015","Underway","36000000","750","2700","1725",,,,"2015","Use Conversion","146","Renter","O'Reilly Development Co. LLC","Yes"
"594.03","Design Exchange","* 2,763,619","* 1,069,955","708",,"Broadway",,"708  Broadway ","1986","Completed","7200000",,,,,,,,"Use Conversion","48","Renter","Master Realty / Recon","Yes - Grouped"
"594.02","8th Street Place","* 2,763,462","* 1,069,908","412","W.","8th","St","412 W. 8th St","1986","Completed","8250000",,,,,,,,"Use Conversion","55","Renter","Recon","Yes - Grouped"
"594.19000000000005","Fountains Lofts","* 2,763,596","* 1,069,903","800",,"Broadway",,"800  Broadway ","2007","Completed","18000000","725","1550","1138","200000","415000","307500",,"Use Conversion","46","Owner","Master Realty Properties","Yes - Grouped"
"594.08","SoHo V Apartments","* 2,763,614","* 1,069,883","712",,"Broadway",,"712  Broadway ","1990","Completed","7650000","600","1100","850",,,,"2006","Use Conversion","51","Renter","Master Realty","Yes - Grouped"
"594.09","SoHo VI Apartments","* 2,763,576","* 1,069,883","706",,"Broadway",,"706  Broadway ","1990","Completed","7500000","575","785","680",,,,"2006","Use Conversion","50","Renter","Master Realty","Yes - Grouped"
"594.05","SoHo III","* 2,764,113","* 1,069,845","312","W.","8th","St","312 W. 8th St","1986","Completed","16350000","580","1400","990",,,,"2006","Use Conversion","109","Renter","Master Realty / Recon","Yes - Grouped"
"1428","Wellington Place","* 2,765,824","* 1,069,802","720",,"Grand","Av","720  Grand Av","2017","Proposed","90000000",,,,,,,,"New","110","Owner","Bruce Roberts","Too Uncertain"
"760","Centennial Villa Apartments","* 2,771,336","* 1,064,844","1800",,"Woodland","Av","1800  Woodland Av","2001","Completed","4000000",,,,,,,,"New","46","Renter","McCormack Baron and Assocs.","Yes"
"1346","Manhattan Lofts Condo Conversion","* 2,767,574","* 1,069,801","700","E.","8th","St","700 E. 8th St","2008","Completed","28000000",,,,"85000","179000","132000","2006","Style Conversion","221","Owner","Manhattan KC LLC","Yes"
"1253","Metropolitan Condominiums","* 2,767,258","* 1,069,751","600","E.","8th","St","600 E. 8th St","2006","Completed","30000000",,,,"69000","200000","134500","2006","Style Conversion","220","Owner","Time Equities","Yes"
"594.04","Lucas Place","* 2,763,961","* 1,069,728","323","W.","8th","St","323 W. 8th St","1986","Completed","1350000",,,,,,,,"Use Conversion","9","Renter",,"Yes - Grouped"
"1791","Lucas Place Conversion to Housing","* 2,764,021","* 1,069,682","323","W","8th","St","323 W 8th St","2014","Completed","14000000","925","1245","1085",,,,"2011","Use Conversion","130","Renter","LandWhite Developers LLC","Yes"
"2073","Butler Brothers Building Apartments","* 2,763,581","* 1,069,668","804",,"Broadway",,"804  Broadway ","2015","Underway","5000000","1000","1200","1100",,,,"2015","Use Conversion","30","Renter","Bennett Family Partners","Yes"
"1467","Courthouse Lofts","* 2,765,987","* 1,069,529","811",,"Grand","Av","811  Grand Av","2011","Completed","40000000","555","730","643",,,,"2011","Use Conversion","176","Renter","Alexander Co.","Yes"
"2077","Artist Lofts","* 2,759,113","* 1,069,493","911",,"Wyoming","St","911  Wyoming St","2017","Proposed","3000000","450","450","450",,,,"2015","Use Conversion","120","Renter","Wayne Reeder","Yes"
"1941","Scarritt Building","* 2,765,680","* 1,069,437","818",,"Grand","Bl","818  Grand Bl","2015","Proposed","21700000","525","650","588",,,,"2013","Use Conversion","109","Renter","George Sherman","Too Uncertain"
"1313","Waltower Lofts","* 2,765,566","* 1,069,410","823",,"Walnut","St","823  Walnut St","2005","Completed","9000000","495","650","573",,,,"2006","Use Conversion","53","Renter","Dale Schulte","Yes"
"1303","Courthouse Apartments","* 2,767,177","* 1,069,350","900",,"Cherry","St","900  Cherry St","2005","Completed","1800000",,,,,,,,"Use Conversion","12",,,"Too Small"
"1881","Bemis Bag Building","* 2,759,156","* 1,069,327","925",,"Wyoming","St","925  Wyoming St","2014","Proposed","20000000","600","800","700",,,,"2012","Use Conversion","100","Renter","Gary Hassenflu","Too Uncertain"
"594.14","908 Broadway Lofts","* 2,763,569","* 1,069,297","908",,"Broadway",,"908  Broadway ","2003","Completed","3600000",,,,,,,,"Use Conversion","24","Renter","DST / Dworak","Yes - Grouped"
"1341","Baltimore Place (Union Carbide)","* 2,764,719","* 1,069,249","912",,"Baltimore","Av","912  Baltimore Av","2010","Underway","4000000","905","1802","1354",,,,"2012","Use Conversion","28","Owner","Rick Powell","Yes"
"1940","Commerce Tower Conversion","* 2,765,239","* 1,069,231","911"," ","Main","St","911   Main St","2015","Proposed","40000000",,,,,,,,"Use Conversion","265","Renter","Commerce Tower Group LLC","Yes"
"1161","909 Walnut","* 2,765,535","* 1,069,210","909",,"Walnut","St","909  Walnut St","2005","Completed","57000000","777","2155","1466","150000","300000","225000",,"Use Conversion","161","Renter","909 Walnut Redevelopment","Yes"
"1997","View II","* 2,760,448","* 1,069,207","933",,"Mulberry","St","933  Mulberry St","2016","Proposed","25000000","600","1000","800",,,,"2015","Use Conversion","250","Renter","Wayne Reeder","Yes"
"1305","Lofts at 917 (Sosland)","* 2,764,540","* 1,069,203","915",,"Wyandotte","St","915  Wyandotte St","2005","Completed","6000000",,,,"495000","650000","572500","2006","Use Conversion","29","Owner","Dale Schulte","Yes"
"594.12","Jewel Lofts","* 2,763,562","* 1,069,162","920",,"Broadway",,"920  Broadway ","2001","Completed","2485000",,,,,,,,"Use Conversion","15","Renter","Dale Schulte","Yes - Grouped"
"594.13","Opera House ","* 2,763,555","* 1,069,156","930",,"Broadway",,"930  Broadway ","2001","Completed","6000000","850","1575","1213",,,,"2006","Use Conversion","48","Renter","Master Realty","Yes - Grouped"
"1884","Pickwick Building","* 2,766,229","* 1,069,127","937",,"McGee","St","937  McGee St","2015","Proposed","35000000","700","1000","850",,,,"2012","Use Conversion","261","Renter","Gold Crown Properties","Too Uncertain"
"594.15","Adler Lofts","* 2,763,781","* 1,069,015","314","W","10th","St","314 W 10th St","2003","Completed","700000",,,,"639000","799000","719000","2002","Use Conversion","4","Owner","Winteer Inc.","Yes - Grouped"
"1454","Graphic Arts Building","* 2,764,409","* 1,068,979","208","W.","10th","St","208 W. 10th St","2007","Completed","11000000","515","825","670",,,,"2006","Use Conversion","58","Renter","Dale Schulte","Yes"
"1487","Park View Apartments Conversion","* 2,766,396","* 1,068,949","318","E.","10th","St","318 E. 10th St","2007","Completed","3800000","600","900","750",,,,"2006","Use Conversion","15","Renter","Nicholas Abnos","Yes"
"1469","Grand Boulevard Lofts","* 2,765,692","* 1,068,851","1006",,"Grand","Av","1006  Grand Av","2010","Completed","32000000","566","775","671",,,,"2010","Use Conversion","134","Renter","Sherman Associates","Yes"
"1159","21 TEN","* 2,764,870","* 1,068,840","21","W.","10th","St","21 W. 10th St","2004","Completed","12000000",,,,"119000","299000","209000","2006","Use Conversion","52","Owner","Stan Decker & Tom Trabon","Yes"
"941","Library Lofts","* 2,764,554","* 1,068,837","127","W.","10th","St","127 W. 10th St","2003","Completed","42000000","600","2000","1300",,,,"2006","Use Conversion","286","Renter","Master Realty Properties","Yes"
"943","Hanover Lofts","* 2,764,945","* 1,068,832","15","W.","10th","St","15 W. 10th St","2003","Completed","7000000","459","620","540",,,,"2006","Use Conversion","50","Renter","DLS Historic Partners","Yes"
"1988","Apex on Quality Hill","* 2,762,378","* 1,068,811","1020",,"Jefferson","St","1020  Jefferson St","2016","Underway","22000000",,,,,,,,"New","130","Renter","Cityscape Residential","Yes"
"1160","Finance Building","* 2,764,885","* 1,068,760","1009",,"Baltimore","Av","1009  Baltimore Av","2004","Completed","5500000","495","650","573",,,,"2003","Use Conversion","32","Renter","Dale Schulte","Yes"
"413","Quality Hill Residential Phase II","* 2,763,090","* 1,068,716","905",,"Washington","St","905  Washington St","1993","Completed","8000000","475","520","498",,,,"2006","New","84","Renter","McCormack Baron and Assocs.","Yes"
"1316","Quality Hill Residential Phase I","* 2,763,090","* 1,068,716","905",,"Washington","St","905  Washington St","1986","Completed","37000000","605","1200","903",,,,"2006","New / Renovation","366","Both","McCormack Baron and Assocs.","Too Early"
"1430","East Village","* 2,767,258","* 1,068,620","950",,"Holmes","St","950  Holmes St","2015","Underway","123846154",,,,"195000","195000","195000","2006","New","700","Both","East Village LLC","Yes"
"1470","Mark Twain Tower","* 2,764,726","* 1,068,485","106","W.","11th","St","106 W. 11th St","2017","Proposed","30000000",,,,,,,,"Use Conversion","96","Owner","Gary Hassenflu","Too Uncertain"
"979","Columbia Burlap","* 2,759,692","* 1,068,465","1412","W.","12th","St","1412 W. 12th St","2003","Completed","3500000",,,,,,,,"Use Conversion","20","Renter","3rd Millenium","Yes"
"1308","Professional Building","* 2,765,854","* 1,068,397","1103",,"Grand","Av","1103  Grand Av","2006","Completed","21000000","550","900","725",,,,"2006","Use Conversion","132","Renter","Alexander Co.","Yes"
"1275","WallStreet Tower","* 2,765,517","* 1,068,377","1101",,"Walnut","St","1101  Walnut St","2006","Completed","40000000",,,,"100000","450000","275000","2006","Use Conversion","144","Owner","Wallstreet Towers LLC","Yes"
"1942","Brookfield Building","* 2,764,688","* 1,068,343","101","W","11th","St","101 W 11th St","2015","Proposed","15000000",,,,,,,,"Use Conversion","100","Renter","Affiliated Developers Inc","Too Uncertain"
"1320","Gate City Building","* 2,765,873","* 1,068,315","1111",,"Grand","Av","1111  Grand Av","2017","Proposed","5000000",,,,,,,,"Use Conversion","20","Renter","Alexander Co.","Too Uncertain"
"1882","Argyle Building","* 2,766,171","* 1,068,094","306","E","12th","St","306 E 12th St","2015","Underway","21000000","800","1200","1000",,,,"2013","Use Conversion","117","Renter","Arghorn LLC","Yes"
"942","Chambers Bldg.","* 2,765,320","* 1,068,015","25","E.","12th","St","25 E. 12th St","2003","Completed","7000000",,,,,,,,"Use Conversion","50","Renter","DLS Historic Partners","Yes"
"1989","Summit on Quality Hill","* 2,762,777","* 1,067,928","1216",,"Pennsylvania","Av","1216  Pennsylvania Av","2016","Underway","43000000",,,,,,,,"New","256","Renter","Cityscape Residential","Yes"
"1933","Midland Office Tower Apartments","* 2,764,815","* 1,067,686","1221",,"Baltimore","Av","1221  Baltimore Av","2016","Proposed","12000000","975","1365","1170",,,,"2012","Use Conversion","68","Renter","Cordish Co.","Yes"
"1471","Club House Lofts West","* 2,764,461","* 1,067,677","1223",,"Wyandotte","St","1223  Wyandotte St","2017","Proposed","50000000",,,,,,,,"New","95","Owner","KC Club Developers LLC","Too Uncertain"
"1039","Club House Lofts (KC Club)","* 2,764,698","* 1,067,648","1228",,"Baltimore","Av","1228  Baltimore Av","2004","Completed","12000000","680","2850","1765",,,,"2006","Use Conversion","74","Renter","Mark Latshaw","Yes"
"1880","One Light Tower","* 2,765,348","* 1,067,641","1220"," ","Walnut","St","1220   Walnut St","2015","Underway","79000000","950","1800","1375",,,,"2012","New","315","Renter","Cordish Co.","Yes"
"1311","TWA Building","* 2,764,845","* 1,067,523","1301",,"Baltimore","Av","1301  Baltimore Av","2017","Proposed","4800000",,,,,,,,"Use Conversion","32",,"TB Squared","Too Uncertain"
"1991","Power & Light Building Apartments","* 2,764,659","* 1,067,203","1330",,"Baltimore","Av","1330  Baltimore Av","2016","Underway","64000000","1238","2640",,,,"1938.75","2014","Use Conversion / New","291","Renter","NorthPoint Development","Yes"
"1296","1330 Grand","* 2,765,605","* 1,067,164","1330",,"Grand","Av","1330  Grand Av","2004","Completed","700000",,,,,,,,"Use Conversion","4","Owner","Jennifer Ingram","Too Small"
"2078","Two Light Apartments","* 2,765,503","* 1,066,943","1401",,"Walnut","St","1401  Walnut St","2018","Proposed","90000000","1450","1500","1475",,,,"2015","New","300","Renter","Cordish Co.","Yes"
"2109","Berlau Building Apartments","* 2,765,442","* 1,066,421","1509",,"Walnut","St","1509  Walnut St","2016","Proposed","7200000","1300","3500","2400",,,,"2015","Use Conversion","20","Renter","Sunflower Development Group","Yes"
"980","Summit at Sixteenth","* 2,762,169","* 1,066,373","1601",,"Summit","St","1601  Summit St","2003","Completed","6500000",,,,"150000","459000","304500","2006","New","24","Owner","BBL Real Estate Services Group and Loft Capital Investors LLC","Yes"
"1345","Light Box Lofts","* 2,765,568","* 1,066,351","1512",,"Grand","Bl","1512  Grand Bl","2007","Completed","1750000",,,,"250000","1300000","775000","2005","Use Conversion","8","Owner","McFamily Real Estate Holdings","Too Small"
"1750","Stockyards Place","* 2,759,013","* 1,066,324","1505",,"Genessee","St","1505  Genessee St","2015","Underway","7000000","1600","5600",,,,,"2015","New","11","Renter","Bill Haw","Yes"
"1904","1515 Walnut","* 2,765,425","* 1,066,317","1515",,"Walnut","St","1515  Walnut St","2014","Completed","2000000",,,,,,,,"Use Conversion","7","Renter","Jay Tomlinson","Too Small"
"1317","1518 Walnut Lofts","* 2,765,263","* 1,066,316","1518",,"Walnut","St","1518  Walnut St","2004","Completed","2000000","675","1075","875",,,,"2006","Use Conversion","11","Renter","Tom Trabon","Too Small"
"1295","Walnut Lofts","* 2,765,250","* 1,066,264","1522",,"Walnut","St","1522  Walnut St","2003","Completed","2000000","625","1000","813",,,,"2006","Use Conversion","8","Renter","Tom Trabon","Too Small"
"1255","Campbell Paint / SoHo South","* 2,765,418","* 1,066,246","1535",,"Walnut","St","1535  Walnut St","2001","Completed","9000000",,,,"175000","350000","262500","2008","Use Conversion","58","Owner","Master Realty","Yes"
"1297","The Lofts @ 1524","* 2,765,248","* 1,066,237","1524",,"Walnut","St","1524  Walnut St","2004","Completed","1800000",,,,,,,,"Use Conversion","12",,"Walnut St. Redevelopment","Too Small"
"870","SoHo South/EBT","* 2,765,382","* 1,066,037","1601",,"Walnut","St","1601  Walnut St","2000","Completed","16500000","525","1800","1163",,,,"2006","Use Conversion","102","Renter","Master Realty Properties","Yes"
"1309","SoLo Lofts","* 2,765,555","* 1,066,030","1600",,"Grand","Bl","1600  Grand Bl","2004","Completed","1800000","695","1095","895",,,,"2006","Use Conversion","12","Renter","Master Realty","Too Small"
"1568","Star Lofts","* 2,765,570","* 1,065,722","1624",,"Grand","Bl","1624  Grand Bl","2008","Completed","10000000","445","610","528",,,,"2006","Use Conversion","46","Renter",,"Yes"
"1306","Oak St. Lofts","* 2,766,411","* 1,065,699","1700",,"Oak","St","1700  Oak St","2005","Completed","1800000",,,,,,,,"Use Conversion","12",,"Master Realty","Too Small"
"1287","17th @ Broadway","* 2,763,395","* 1,065,564","404","W","17th","St","404 W 17th St","2001","Completed","1200000",,,,,,,,"Use Conversion","8","Renter",,"Too Small"
"1314","Jefferson Heights","* 2,762,766","* 1,065,530","1700",,"Jefferson","St","1700  Jefferson St","2007","Completed","1250000",,,,,,,,"New","11","Owner","Westside Housing Organization, Inc.","Too Small"
"1710","The Summit Condos","* 2,762,297","* 1,065,396","1715",,"Summit","St","1715  Summit St","2009","Completed","1225000",,,,"299000","550000","424500",,"Use Conversion","7","Owner","ACT Investments","Too Small"
"1763","Carriage Lofts Conversion","* 2,766,232","* 1,065,266","1732",,"Oak","St","1732  Oak St","2010","Completed","3000000",,,,,,,,"Use Conversion","23",,,"Yes"
"1540","1728 Holmes","* 2,767,228","* 1,065,105","1728",,"Holmes","St","1728  Holmes St","2007","Completed","5800000",,,,,,,,"New","7","Owner","Priority Realty One","Yes"
