"number","fraction","prefix","street","suffix","full_address","zip","month","day","year","res_non","type","sf_mf","dwelling_units_gained_or","permit_value","how_far_east","how_far_north","permit_number","structure_class","class_description","subdivision","project_description","county","council_district","school_district","pin","parcel","address","applicant_name","applicant_representative","legal"
"7414",,"NE","100th","Ct","7414 NE 100th Ct","64157","1","22","2019","Residential","New Construction","Single Family","0","$   7,000","2791130","1131743","CPER-2019-00423","101","New Single Family Dwelling",,"new s/f","Clay","1","LIBERTY","261503","CL1081500100100001","7414 NE 100th Ct","C-R ELECTRICAL, LLC","TIM CLARK","ERROR: #N/A"
"7414",,"NE","100th","Ct","7414 NE 100th Ct","64157","2","11","2019","Residential","New Construction","Single Family","0","$   8,036","2791130","1131743","CPMR-2019-00219","101","New Single Family Dwelling",,"new single family","Clay","1","LIBERTY","261503","CL1081500100100001","7414 NE 100th Ct","MIKE BRYANT HEATING & COOLING, LLC",,"ERROR: #N/A"
"7415",,"NE","100TH","CT","7415 NE 100TH CT","64157","7","24","2017","Residential","New Construction","Single Family","1","$   211,000","2791161","1131682","201814903","101","New Single Family Dwelling","BENSON PLACE VILLAGE - FIRST PLAT","SINGLE FAMILY","Clay","1","LIBERTY","261510","SD0934W.TEMPLT","7415 NE 100TH CT","SAB CONSTRUCTION, LLC","CURTIS TATE","ERROR: #N/A"
"7415",,"NE","100TH","CT","7415 NE 100TH CT","64157","8","16","2017","Residential","New Construction","Single Family","0","$   7,000","2791161","1131682","201816270","101","New Single Family Dwelling","BENSON PLACE VILLAGE - FIRST PLAT","SINGLE FAMILY","Clay","1","LIBERTY","261510","SD0934W.TEMPLT","7415 NE 100TH CT","RELIABLE MECHANICAL SERVICES, INC.","PERMIT SERVICE, INC","ERROR: #N/A"
"7415",,"NE","100TH","CT","7415 NE 100TH CT","64157","10","5","2017","Residential","New Construction","Single Family","0","$   9,000","2791161","1131683","201819018","101","New Single Family Dwelling","BENSON PLACE VILLAGE - FIRST PLAT","SINGLE FAMILY","Clay","1","LIBERTY","261510","CL1081500100030001","7415 NE 100TH CT","C-R ELECTRICAL, LLC","TIMOTHY CLARK","ERROR: #N/A"
"7415",,"NE","100TH","CT","7415 NE 100TH CT","64157","11","30","2017","Residential","New Construction","Single Family","0","$   8,036","2791161","1131683","201822091","101","New Single Family Dwelling","BENSON PLACE VILLAGE - FIRST PLAT","SINGLE FAMILY","Clay","1","LIBERTY","261510","CL1081500100030001","7415 NE 100TH CT","MIKE BRYANT HEATING & COOLING, LLC","MIKE BRYANT","ERROR: #N/A"
"7415",,"NE","100th","Ct","7415 NE 100th Ct","64157","7","5","2018","Residential","New Construction","Single Family","0","$   150","2791144","1131562","CPPL-201834051","0",,,"SINGLE FAMILY","Clay","1","LIBERTY","261510","CL1081500100030001","7415 NE 100th Ct","RELIABLE MECHANICAL SERVICES, INC.","BRANDON NARRON","ERROR: #N/A"
"7419",,"NE","100TH","CT","7419 NE 100TH CT","64157","8","28","2017","Residential","New Construction","Single Family","1","$   209,000","2791185","1131517","201816876","101","New Single Family Dwelling","BENSON PLACE VILLAGE - FIRST PLAT","SINGLE FAMILY","Clay","1","LIBERTY","261511","SD0934W.TEMPLT","7419 NE 100TH CT","SAB CONSTRUCTION, LLC","CURTIS TATE","ERROR: #N/A"
"7419",,"NE","100TH","CT","7419 NE 100TH CT","64157","9","12","2017","Residential","New Construction","Single Family","0","$   5,000","2791185","1131517","201817688","101","New Single Family Dwelling","BENSON PLACE VILLAGE - FIRST PLAT","SINGLE FAMILY","Clay","1","LIBERTY","261511","SD0934W.TEMPLT","7419 NE 100TH CT","DIAMOND PLUMBING LLC","PERMIT SERVICE INC","ERROR: #N/A"
"7419",,"NE","100TH","CT","7419 NE 100TH CT","64157","11","17","2017","Residential","New Construction","Single Family","0","$   7,500","2791185","1131518","201821523","101","New Single Family Dwelling","BENSON PLACE VILLAGE - FIRST PLAT","SINGLE FAMILY","Clay","1","LIBERTY","261511","CL1081500100020001","7419 NE 100TH CT","C-R ELECTRICAL, LLC","TIMOTHY CLARK","ERROR: #N/A"
"7419",,"NE","100TH","CT","7419 NE 100TH CT","64157","11","30","2017","Residential","New Construction","Single Family","0","$   8,036","2791185","1131518","201822089","101","New Single Family Dwelling","BENSON PLACE VILLAGE - FIRST PLAT","SINGLE FAMILY","Clay","1","LIBERTY","261511","CL1081500100020001","7419 NE 100TH CT","MIKE BRYANT HEATING AND COOLING","MIKE BRYANT","ERROR: #N/A"
"7419",,"NE","100TH","CT","7419 NE 100TH CT","64157","5","23","2018","Residential","New Construction","Single Family","0","$   150","2791185","1131517","201831627","101","New Single Family Dwelling","BENSON PLACE VILLAGE - FIRST PLAT","SINGLE FAMILY","Clay","1","LIBERTY","261511","CL1081500100020001","7419 NE 100TH CT","DIAMOND PLUMBING LLC","PERMIT SERVICE INC","ERROR: #N/A"
"7420",,"NE","100th","Ct","7420 NE 100th Ct","64157","1","9","2019","Residential","New Construction","Single Family","1","$   194,550","2791185","1131742","CPBR-2019-00043","101","New Single Family Dwelling",,"New single family","Clay","1","LIBERTY","261502","CL1081500100110001","7420 NE 100th Ct","Hearthside Homes of Kansas City, Inc.","Diane Hanke","ERROR: #N/A"
"7420",,"NE","100th","Ct","7420 NE 100th Ct","64157","1","15","2019","Residential","New Construction","Single Family","0","$   3,500","2791185","1131742","CPPR-2019-00104","101","New Single Family Dwelling",,"new s/f","Clay","1","LIBERTY","261502","CL1081500100110001","7420 NE 100th Ct","Newcomer Plumbing","James Newcomer","ERROR: #N/A"
"7420",,"NE","100th","Ct","7420 NE 100th Ct","64157","4","2","2019","Residential","New Construction","Single Family","0","$   4,190","2791185","1131742","CPMR-2019-00629","101","New Single Family Dwelling",,"new s/f","Clay","1","LIBERTY","261502","CL1081500100110001","7420 NE 100th Ct","A.F.C. HEATING AND COOLING COMPANY","PHILLIP SPELLERBERG","ERROR: #N/A"
"7420",,"NE","100th","Ct","7420 NE 100th Ct","64157","4","3","2019","Residential","New Construction","Single Family","0","$   4,300","2791185","1131742","CPER-2019-01515","101","New Single Family Dwelling",,"New S/F","Clay","1","LIBERTY","261502","CL1081500100110001","7420 NE 100th Ct","PALMER ELECTRIC COMPANY",,"ERROR: #N/A"
"7423",,"NE","100th","Ct","7423 NE 100th Ct","64157","7","13","2018","Residential","New Construction","Single Family","1","$   226,000","2791021","1131564","CPBS-201834471","0",,,"SINGLE FAMILY","Clay","1","LIBERTY","261508","CL1081500100050001","7423 NE 100th Ct","SAB CONSTRUCTION, LLC","SCOTT BAMESBERGER","ERROR: #N/A"
"7423",,"NE","100th","Ct","7423 NE 100th Ct","64157","8","16","2018","Residential","New Construction","Single Family","0","$   15,000","2791021","1131564","CPPR-2018-35704","0",,,"SINGLE FAMILY","Clay","1","LIBERTY","261508","CL1081500100050001","7423 NE 100th Ct","MILLER PLUMBING COMPANY INC",,"ERROR: #N/A"
"7423",,"NE","100th","Ct","7423 NE 100th Ct","64157","10","17","2018","Residential","New Construction","Single Family","0","$   7,400","2791021","1131564","CPER-2018-36837","0",,,"SINGLE FAMILY","Clay","1","LIBERTY","261508","CL1081500100050001","7423 NE 100th Ct","C-R ELECTRICAL, LLC","TIM CLARK","ERROR: #N/A"
"7423",,"NE","100th","Ct","7423 NE 100th Ct","64157","11","6","2018","Residential","New Construction","Single Family","0","$   7,203","2791281","1131560","CPMR-2018-36221","0",,,,"Clay","1","LIBERTY","261512","CL1081500100010001","7423 NE 100th Ct","MIKE BRYANT HEATING & COOLING, LLC",,"ERROR: #N/A"
"7424",,"NE","100th","Ct","7424 NE 100th Ct","64157","6","20","2019","Residential","New Construction","Single Family","1","$   166,308","2791250","1131735","CPBR-2019-00898","101","New Single Family Dwelling",,"Single Family","Clay","1","LIBERTY","261501","CL1081500100120001","7424 NE 100th Ct","Hearthside Homes of Kansas City, Inc.","Vicki Robertson","ERROR: #N/A"
"7424",,"NE","100th","Ct","7424 NE 100th Ct","64157","7","11","2019","Residential","New Construction","Single Family","0","$   4,400","2791250","1131735","CPPR-2019-01513","101","New Single Family Dwelling",,"New Single Family","Clay","1","LIBERTY","261501","CL1081500100120001","7424 NE 100th Ct","Newcomer Plumbing","James Newcomer","ERROR: #N/A"
"7424",,"NE","100th","Ct","7424 NE 100th Ct","64157","8","12","2019","Residential","New Construction","Single Family","0","$   4,190","2791250","1131735","CPMR-2019-01944","101","New Single Family Dwelling",,"New Single Family","Clay","1","LIBERTY","261501","CL1081500100120001","7424 NE 100th Ct","A.F.C. HEATING AND COOLING COMPANY","Phil Spellerberg","ERROR: #N/A"
"7424",,"NE","100th","Ct","7424 NE 100th Ct","64157","8","21","2019","Residential","New Construction","Single Family","0","$   4,300","2791250","1131735","CPER-2019-03793","101","New Single Family Dwelling",,"New Single Family","Clay","1","LIBERTY","261501","CL1081500100120001","7424 NE 100th Ct","PALMER ELECTRIC COMPANY",,"ERROR: #N/A"
"7424",,"NE","100th","Ct","7424 NE 100th Ct","64157","11","20","2019","Residential","New Construction","Single Family","0","$   150","2791250","1131735","CPPR-2019-02729","101","New Single Family Dwelling",,"New Single Family","Clay","1","LIBERTY","261501","CL1081500100120001","7424 NE 100th Ct","Newcomer Plumbing","James Newcomer","ERROR: #N/A"
"7501",,"NE","100TH","CT","7501 NE 100TH CT","64157","7","6","2017","Residential","New Construction","Single Family","1","$   226,000","2791411","1131517","201813925","101","New Single Family Dwelling","BENSON PLACE FIELDSTONE - SIXTH PLAT","SINGLE FAMILY","Clay","1","LIBERTY","261567","SD0934V.TEMPLT","7501 NE 100TH CT","SAB CONSTRUCTION, LLC","CURTIS TATE","ERROR: #N/A"
"7501",,"NE","100TH","CT","7501 NE 100TH CT","64157","7","28","2017","Residential","New Construction","Single Family","0","$   7,000","2791411","1131517","201815274","101","New Single Family Dwelling","BENSON PLACE FIELDSTONE - SIXTH PLAT","SINGLE FAMILY","Clay","1","LIBERTY","261567","SD0934V.TEMPLT","7501 NE 100TH CT","RELIABLE MECHANICAL SERVICES, INC.","PERMIT SERVICE, INC","ERROR: #N/A"
"7501",,"NE","100TH","CT","7501 NE 100TH CT","64157","10","5","2017","Residential","New Construction","Single Family","0","$   9,000","2791412","1131518","201819015","101","New Single Family Dwelling","BENSON PLACE FIELDSTONE - SIXTH PLAT","SINGLE FAMILY","Clay","1","LIBERTY","261567","CL1081500090100001","7501 NE 100TH CT","C-R ELECTRICAL, LLC","TIMOTHY CLARK","ERROR: #N/A"
"7501",,"NE","100TH","CT","7501 NE 100TH CT","64157","10","30","2017","Residential","New Construction","Single Family","0","$   7,785","2791412","1131518","201820504","101","New Single Family Dwelling","BENSON PLACE FIELDSTONE - SIXTH PLAT","SINGLE FAMILY","Clay","1","LIBERTY","261567","CL1081500090100001","7501 NE 100TH CT","MIKE BRYANT HEATING AND COOLING","MIKE BRYANT","ERROR: #N/A"
"7502",,"NE","100TH","CT","7502 NE 100TH CT","64157","1","5","2017","Residential","New Construction","Single Family","1","$   319,000","2791417","1131682","201723033","101","New Single Family Dwelling","BENSON PLACE FIELDSTONE - SIXTH PLAT","SINGLE FAMILY","Clay","1","LIBERTY","261568","SD0934V.TEMPLT","7502 NE 100TH CT","ROBERTSON CONSTRUCTION, L.L.C.","PERMIT SERVICE","ERROR: #N/A"
"7502",,"NE","100TH","CT","7502 NE 100TH CT","64157","1","6","2017","Residential","New Construction","Single Family","0","$   5,000","2791417","1131682","201723095","101","New Single Family Dwelling","BENSON PLACE FIELDSTONE - SIXTH PLAT","SINGLE FAMILY","Clay","1","LIBERTY","261568","SD0934V.TEMPLT","7502 NE 100TH CT","ROBERTSON PLUMBING, LLC","PERMIT SERVICE","ERROR: #N/A"
"7502",,"NE","100TH","CT","7502 NE 100TH CT","64157","3","7","2017","Residential","New Construction","Single Family","0","$   11,550","2791417","1131682","201725981","101","New Single Family Dwelling","BENSON PLACE FIELDSTONE - SIXTH PLAT","SINGLE FAMILY","Clay","1","LIBERTY","261568","SD0934V.TEMPLT","7502 NE 100TH CT","MCDANIEL FURNACE & SHEET METAL, INC.","SHEILA DAVIS","ERROR: #N/A"
"7502",,"NE","100TH","CT","7502 NE 100TH CT","64157","4","26","2017","Residential","New Construction","Single Family","0","$   4,350","2791417","1131682","201728790","101","New Single Family Dwelling","BENSON PLACE FIELDSTONE - SIXTH PLAT","NEW SINGLE FAMILY","Clay","1","LIBERTY","261568","SD0934V.TEMPLT","7502 NE 100TH CT","PALMER ELECTRIC COMPANY","HEATHER AMBROSE","ERROR: #N/A"
"7505",,"NE","100TH","CT","7505 NE 100TH CT","64157","2","13","2017","Residential","New Construction","Single Family","1","$   286,000","2791435","1131682","201724875","101","New Single Family Dwelling","BENSON PLACE FIELDSTONE - SIXTH PLAT","SINGLE FAMILY","Clay","1","LIBERTY","261566","SD0934V.TEMPLT","7505 NE 100TH CT","MCFARLAND CUSTOM BUILDERS, INC","RALPH YEATER","ERROR: #N/A"
"7505",,"NE","100TH","CT","7505 NE 100TH CT","64157","3","6","2017","Residential","New Construction","Single Family","0","$   7,000","2791435","1131682","201725952","101","New Single Family Dwelling","BENSON PLACE FIELDSTONE - SIXTH PLAT","SINGLE FAMILY","Clay","1","LIBERTY","261566","SD0934V.TEMPLT","7505 NE 100TH CT","RELIABLE MECHANICAL SERVICES, INC.","PERMIT SERVICE, INC","ERROR: #N/A"
