"type","name","address","artist","architect","owner","operator","medium","date_of_creation","inside_outside","operating_hours","special_instructions","coordinates","contact_information","description","geocoded_column"
"Historical Monuments and Memorials","Mjr. William J. Bland Memorial","Gillham Road and E. 42nd Street, Kansas City MO 64110","Unknown",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Red Granite","1936","Outside","M-Sun 5am-12am",,"39.0509331 -94.5795298",,,
"Public Art","Man On Payphone","4600 E. 63rd Street, Kansas City, MO 64130","Anonymous KCAI student",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Stone",,"Outside","24/7",,"39.01326 -94.5319756",,,
"Museums","Negro Leagues Baseball Museum","1616 E 18th St, Kansas City, MO 64108",,,"Kansas City Parks & Recreation Department","Negro Leagues Baseball Museum",,,,,,"39.0914216 -94.5626844","https://nlbm.com/","The Negro Leagues Baseball Museum (NLBM) is the world’s only museum dedicated to preserving and celebrating the rich history of African-American baseball and its impact on the social advancement of America. The privately funded, 501 c3, not-for-profit organization was established in 1990 and is in the heart of Kansas City, Missouri’s Historic 18th & Vine Jazz District. The NLBM operates two blocks from the Paseo YMCA where Andrew “Rube” Foster established the Negro National League in 1920.

The NLBM opened its doors to the public in a tiny, one-room office space in 1991 with a dream of building a permanent facility that would pay rightful tribute to America’s unsung baseball heroes. In November of 1997, under the leadership of its late chairman John “Buck” O’Neil, that dream became a reality when the NLBM moved into its new 10,000 square-foot home inside a cultural complex known as the Museums at 18th & Vine.","POINT (-94.562704 39.09118)"
"Historical Monuments and Memorials","Penn School Historic Marker","W. 42nd Street & Broadway Blvd, Kansas City, MO 64111",,,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department",,,"Outside","24/7",,"40.7578775 -73.9913276",,,"POINT (-94.589246 39.051625)"
"Public Art","Untitled","Hazmat Facility, 6600 E. Truman Road, Kansas City, MO","Garth Edwards",,"Municipal Art Commission",,"Brushed Aluminum","1996","Outside","24/7",,"39.0939627 -94.5051677",,"The all-seeing eyes of a vigilant firefighter top scenes of dalmatians, flames and firefighters, which make up the brushed aluminum sculpture in front of the HazMat facility. Seattle-based artist Garth Edwards created the piece specifically for the site, incorporating his whimsical, cartoon characters into a 15-foot totem-like structure, which address the responsibilities of the firefighting profession.",
"Museums","Historic Garment District Museum of Kansas City","801 Broadway Kansas City, MO 64105",,,"Kansas City Parks & Recreation Department","Kansas City Garment District Museum",,,,"W-Sat, 10am-4pm",,"39.1046334 -94.588066","http://www.kcgarmentmuseum.org/",,
"Public Art","Apparent Systems (green grass)","2nd Street at Main Street and Walnut Street, Kansas City, MO 64105","Stuart Keeler",,"Municipal Art Commission",,"Painted Steel, Pavement, and Landscaping","2008","Outside","24/7",,"39.1025528 -94.582787",,"The stalks at first glance might remind one of the grasses at the river's edge. The layered steel in multiples suggests a landscape with manmade materials, superimposed on the paver platform. The river and its grasses nurture life and commerce along the water's path, blending nature with the built environment.","POINT (-94.583675 39.110818)"
"Public Art","Constrained Chaos","The Concourse, 200 Benton Blvd, Kansas City, MO 64123","Dick Jobe and Beth Nybeck",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Bike Rack","2011","Outside","M-Sun 5am-12am",,"39.1125003 -94.5447145",,,
"Fountains","Seville Light Fountain","J.C. Nichols Pkwy and 47th Street, Kansas City, MO 64112","Bernhard Zuckerman",,"Kansas City Parks & Recreation Department","City of Fountains Foundation","Marble and Iron","1967","Outside","24/7",,"39.0421455 -94.5880325","https://www.kcfountains.com/single-post/2016/08/28/Seville-Light-Fountain","On the east edge of Country Club Plaza and across the street from the J.C. Nichols Memorial Fountain is a triangular traffic island on which sits the Seville Light Fountain.  Sculptor Bernhard Zuckerman was commissioned to create an exact replica of the Plaza de Los Reyes Fountain in Seville, Spain.  Seville is one of Kansas City's sister cities and this fountain was dedicated in honor of that relationship.

The central shaft stands 30 feet tall and is carved from several kinds of marble.  On top of the central shaft, intricate iron details make up the light feature of the fountain.  Water flows from the the masked face on each side of the central shaft.  The base of the fountain is 20 feet wide.

In 2014, a major renovation project was undertaken on the Seville Light Fountain at the same time a major renovation project was taking place on the J.C. Nichols Memorial Fountain.  The Seville Light Fountain had been inoperable for many years due to deterioration of the piping and electrical system.  The fountain received new plumbing and electrical systems during the renovation as well as repairs in the surrounding pavement and sidewalks and was placed back into service in the spring of 2015.",
"Historical Monuments and Memorials","The Pioneers","4059 Broadway Blvd, Kansas City, MO 64111","Tom Beard",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Bronze","1887","Outside","24/7",,"39.0536015 -94.5901644",,,"POINT (-94.590919 39.054158)"
"Historical Monuments and Memorials","François Chouteau & Native American Heritage Fountain","Chouteau Greenway Park, N.E. 42nd Street Terr. And N.E. Chouteau Trfwy., Kansas City MO 64117","Kwan Wu",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Bronze, Stone, and Water","2019 (NOT COMPLETEN 7/19","Outside","M-Sun 5am-12am",,"39.1684384 -94.5334361",,,
"Public Art","Red Eye","JE Dunn Parking Facility, 560E E 11th Street, Kansas City, MO 64106","Gordon Huether",,"Municipal Art Commission","Public Works Department","Aluminum, Glass, and Paint","2009","Outside and inside","24/7",,"39.1015287 -94.5764646",,"Red Eye adorns the entry to the City-owned parking facility which is part of the JE Dunn's headquarters, across the street from City Hall and Municipal Court. Limited space for art and a population more interested in leaving the space than viewing art make parking failities a special challenge for artists. Huether was selected in part due to his extensive experience in addressing this challenge. The red ""eye"" refers to tail lights visible on leaving. The giant abstract painting identifies thye public portal to the garage and keeps an eye on the inside of the garage and the neighborhood nearby.",
"Public Art","Pro Patria Mori","Wyandotte Street and Memorial Drive, Kansas City, MO 64108","Ellen Driscoll",,"Municipal Art Commission",,"Stainless Steel and Mosaic","2006","Outside","24/7","Located on gate at Libety Memorical South Entry","39.076922 -94.587472",,"The gates at the entrance of the National World War I Museum and Memorial create an 84-foot panoramic mural executed in steel and mosaic, showing scenes from the Great War. A nurse tending the wounded, hourses and planes, a skeletal Grim Reaper, and other scenes from the devastating war and done in mosaic. Laser cut holes in the steel gate show soldiers walking away from battle, and is based on a photo in the museum archives.","POINT (-94.587336 39.076876)"
"Fountains","Laura Conyers Smith Rose Garden Fountain","West end of Rose Garden in Loose Park, 5200 Pennsylvania Ave, Kansas City, MO 64112",,"Theis Doolittle Associates","Kansas City Parks & Recreation Department","City of Fountains Foundation","Stone","2002","Outside","M-Sun 5am-12am",,"39.0336213 -94.5953342","https://www.kcfountains.com/single-post/2016/08/28/Laura-Conyers-Smith-Rose-Garden-Fountain","The Laura Conyers Smith Municipal Rose Garden at Loose Park has contained a water feature since the 1930s.  The original design for the rose garden included a small lily pool in the center of the garden, which was built and dedicated in 1936.  In 1939, a sculpture entitled ""Spirit of the Rose Garden"" was placed in the pool with gentle sprays of water at her feet.  Her sculptor was Walter Rosenbauer, who was also an instructor at the Kansas City Art Institute.  ""Spirit of the Rose Garden"" remained there until the early 1950s.

In the late 1970s, a modernistic-style fountain was donated in memory of Florence L. Nelson by the Oscar D. and Florence L. Nelson Fund.  The center water feature and the surrounding steel poles with their water sprays were meant to represent flowers and blossoms.  That fountain was dedicated in 1980 and remained there until 2001.

The Kansas City Rose Society began raising funds for the creation and purchase of a new fountain in 2001.  Dedicated in August 2002, the fountain bowl is of a classic design and carved of buff-colored stone from Vincenza, Italy.  The bill for the new fountain and its installation was $750,000 and was paid for by private donations.  New sidewalks, lights and a renovated pool were also part of the project.

The rose garden features walking paths, pegolas, benches and, of course, roses of many different species and colours.  It is in the northwest part of Loose Park",
"Fountains","American Legion Memorial Drinking Fountain","Budd Park Esplanade and Van Brunt Blvd, Kansas City, MO 64123","Wilkinson and Crans, artist; Robert Merrell Gage, sculptor",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Stone and Bronze","1921","Outside","24/7",,"39.1109917 -94.5257759","https://kcparks.org/places/american-legion-memorial-i-drinking-fountain-2/","In 1921 the American Legion installed a large, decorative drinking fountain honoring the WWI deceased on a small island located in the intersection of three streets – 9th Street,Delaware & Main Street.

The pipes supplying the spigots on each side of the shaft burst during the first winter in Kansas City and were permanently turned off.  In 1958, when the city began a downtown redevelopment project, this fountain was moved to the intersection of Van Brunt Boulevard and Budd Park Esplanade. The pedestal fountain consists of a circular base, saucer receptacle and a rectangular shaft which rises to a height of six feet. Four eagles are carved into the corners at the summit. Two bronze plaques illustrate soldiers on one side and sailors on the other. The artist, from Topeka, Kansas, became Professor of Sculpture at the University of Southern California.

East panel, 40″ x 18-1/2″, bas-relief, two full male figures carrying naval munitions.  Both figures are facing left.  The front figure holds artillery shell while facing left.  Second figure 3/4 view holds wrench in his right hand.  The front figure wears dungarees with bell bottoms and 13 buttons.

West panel – bas relief.  Three figures, heads turned left, the front figure holds  right arm aloft with a grenade in right hand.  The center figure holds a rifle with the right arm.

Inscription
One lists the local American Legion posts and the other bears a quotation from Teddy Roosevelt: “All daring and courage, all iron, endurance or misfortune, all devotion to the ideal of honor and glory of the flag makes for a finer and nobler type of humanhood.”",
"Fountains","Helen Spradling Moylan Memorial Fountain","4747 J.C. Nichols Pkwy, Kansas City, MO 64112",,"International Architects Atelier","Kansas City Parks & Recreation Department","City of Fountains Foundation","Stone","1996","Outside","24/7",,"39.041437 -94.5878305","https://www.kcfountains.com/single-post/2016/09/13/Helen-Spradling-Moylan-Memorial-Fountain","Take a break from playing tennis or just sit back and watch others play a few sets next to this calming fountain in the outdoor lounge area of the Plaza Tennis Center on the east side of Country Club Plaza.

This fountain was named after Helen Spradling Boylan, a former resident of Country Club Plaza in Kansas City and also of Carthage, Missouri.  Through the foundation that bears her name, she made major contributions to many aspects of community and cultural projects in both Carthage and Kansas City.  Her foundation continues that work to this day.","POINT (-94.588065 39.041219)"
"Fountains","American War Mothers Memorial Fountain","The Paseo and E. Meyer Blvd, Kansas City, MO 64131",,"Edward Buehler Delk","Kansas City Parks & Recreation Department","City of Fountains Foundation","Limestone","1942","Outside","24/7",,"39.0085766 -94.5665153","https://www.kcfountains.com/single-post/2016/08/06/American-War-Mothers-Memorial-Fountain",,"POINT (-94.561937 39.0069)"
"Fountains","Muse of the Missouri","1228 Main St, Kansas City, MO 64105","Wheeler Williams",,"Kansas City Parks & Recreation Department","City of Fountains Foundation","Bronze","1963","Outside",,,"39.0988882 -94.583805","https://www.kcfountains.com/single-post/2016/07/07/Muse-of-Missouri","The Muse of the Missouri is located in the heart of downtown Kansas City, MO. Based on classical mythology, this creation of artist Wheeler Williams personifies a goddess bestowing her interest and guidance on the Missouri River. Williams had originally intended to use fish native to the river spilling from the net. However, he found catfish too ugly and carp unworkable. The nine fish netted by the muse are a hybrid using a carp body and bluefish head. There are 200 spouts of water making up the total fountain display. The metal fish net created a problem for the artist and a special machine had to be created to weave it. It was conserved extensively in 2005.

The City of Fountains Foundation holds an endowment for this fountain which was dedicated to David Woods Kemper, who was killed in the last days of World War II while serving as a platoon commander in the European theater.","POINT (-94.583228 39.098856)"
"Museums","Trailside Center","9901 Holmes Street, Kansas City, MO 64131",,,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department",,,,,,"39.0134574 -94.5791814","http://www.trailsidecenter.org/","Located just off of 3-Trails Crossing Memorial Highway in the heart of the historic 3-Trails Corridor, Trailside Center provides resources for trail and civil war aficionados, historians, and the Kansas City community.",
"Public Art","The Moons","Sprint Center, 1407 Grand Blvd, Kansas City, MO 64106","Chris Doyle",,"Municipal Art Commission","Convention and Facilities Department","LED Screens, Video, and Landscaping","2007","Outside","24/7",,"39.0974667 -94.5801529",,"The Moons are three screens standing on landscaped islands near the west entrance of the Sprint Center. The screens show people in apparently unaided, supernatural flight. The artist videotaped over 600 Kansas City residents jumping on trampolines-now they sail by the arena in joyous orbit. The Moons complement the seasonal changes of the landscaping and the accompanying water features, enriching the lively and busy downtown.",
"Historical Monuments and Memorials","Marion Cronin Gillerlain Memorial","Loose Park, 5200 Wornall, Kansas City, MO 64112",,,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Landscaping and Stone",,"Outside","M-Sun 5am-12am",,"39.031411 -94.5944738",,,
"Historical Monuments and Memorials","Rev. John W. Williams Memorial","Dr. Martin Luther King Jr. Blvd & Truman Road, Kansas City, MO 64106","Tom Corbin",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Limestone and Bronze","1991","Outside",,,"32.77056 -96.7660254",,,
"Public Art","Untitled","Line Creek Community Center, 5940 N.W. Waukomis Drive, Kansas City, MO 64151","Ned Smyth",,"Municipal Art Commission","Kansas City Parks & Recreation Department","Mosaic","2000","Outside","24/7",,"39.2026992 -94.6097785",,"Ned Smyth used a unique mosaic process for the historical images that adorn the pillars at the Line Creek Community Center. The dark colored glass in simple line drawings show a man plowing the fields, a group of houses, a hawk, a cowboy and a Native American portrait upside down, a giant rabbit, and other images. The artist states, ""I don't intend to make politcal comment, I am using a process of drawing and, as might occur in my sketchbook, sometumes the images appear turned around.""",
"Historical Monuments and Memorials","Voayge: A Journey through Our Solar System","Balitmore between 13th Street & Union Station",,,"City Trust",,,,"Outside",,,"39.2903848 -76.6121893","http://voyagesolarsystem.org/community-network/kansas-city-kansas-voyage-mark-i/","The Voyage exhibition was permanently installed in Kansas City, Missouri, on October 10, 2008. The exhibition is located along Baltimore Avenue, with the Sun and inner Solar System at 13th and Baltimore near the Power & Light Building. The exhibition follows a 1-mile path, running south through the Crossroads District, and ending in front of historic Union Station. The path is shown in the photograph above, and on the site map below. Voyage was provided as a gift to Kansas City by the Ewing Marion Kauffman Foundation. Voyage in Kansas City is unique in that the Kauffman Foundation wanted to extend the experience to Union Station, which more than doubled the standard path length from the Sun to Pluto. To achieve this, two new stanchions were commissioned.",
"Public Art","Chandelabras","Kansas City International Airport, Kansas City, MO 64153","Christian Mann",,"Municipal Art Commission","Aviation","Found Objects, Glass, and Neon","2002","Inside","24/7","Located in the stair towers in Terminal parking garages","39.2991181 -94.7107786",,"Christian Mann explains in his artist statement, ""Chandelier, a lighting fixture hund from the ceiling, and candelabra, a large branched candlestick, are the namesakes for the chandelabra series."" Mann's installation includes five cahandelabras in three of the Kansas City International Artport Terminal parking garage stair towers. Each is composed of found machinery parts and old steel cables mixed with colored neon lights.",
"Attractions","Blue Room Jazz Club","1600 E 18th St, Kansas City, MO 64108",,,"Kansas City Parks & Recreation Department","American Jazz Museum",,,,,,"39.0914188 -94.5632342","https://americanjazzmuseum.org/blueroom","Named after the famed 1930s Street Hotel club in the Historic 18th & Vine Jazz District, the Blue Room simultaneously honors the past and showcases the present names in jazz. A multifaceted exhibit highlighting the countless musicians who crafted “Kansas City jazz,” a sound known all over the world, the Blue Room also provides a distinctive platform to present dynamic performances from the best local and national jazz talent in an intimate setting. Come down, bring your instrument and sit in at the weekly Blue Monday Jam – or just take in the sounds of one of Kansas City’s best jam sessions. Big bands typically perform the last Monday of each month, and our Latin Jazz/Salsa series gets shakin’ on the last Thursday of each month (except where otherwise noted on the calendar). At the Blue Room, upcoming bands, seasoned veterans of the local jazz scene, national talent and internationally renowned jazz artists share the spotlight.","POINT (-94.563361 39.091201)"
"Historical Monuments and Memorials","Karen Slack Memorial – Steel Arch","E. 68th Street and The Paseo. Kansas City, MO 64132","Karen Slack",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Metal","1981","Outside","M-Sun 5am-12am",,"39.00373 -94.5627963",,,"POINT (-94.562816 39.003706)"
"Historical Monuments and Memorials","Pioneer Mother Memorial","West of Memorial Drive, Kansas City, MO 64108","Alexander Phimister Proctor",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Bronze","1927","Outside","M-Sun 5am-12am",,"39.0770258 -94.5860912",,,
"Fountains","Loose Park Wall Fountains (Adam and Eve)","Loose Park, W. 51st Street and Wornall Road, Kansas City, MO 64112","Jeanette Klein",,"Kansas City Parks & Recreation Department","City of Fountains Foundation","Cast Concrete with Marble Aggregate","1942","Outside","M-Sun 5am-12am",,"39.031411 -94.5944738","https://www.kcfountains.com/single-post/2016/07/26/Adam-and-Eve-Fountains","In 1941, the Works Progress Administration sponsored a competition to select an artist for a fountain in Jacob Loose Park. Jeanette Klein of Kansas City was awarded the commission and she created larger-than-life-size figures of a man and a woman in clay, which were placed in semicircular niches on the south wall of a service building. They were unveiled during the 1942 Rose Day celebration. In 1946, the clay figures were replaced with stronger versions of the same forms made of cast concrete with marble aggregate.  The kneeling figures each hold bowls from which water trickles into small basins at the base of the niches. 

Over the years, the sculptures have acquired nicknames, such as ""Adam and Eve"" and ""Lady and Gent,"" but there is nothing to indicate that the artist ever gave the work a specific name.",
"Historical Monuments and Memorials","Civil War Cannon","4800 E. 63rd Street, Kansas City, MO 64130",,,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Ten Pounder Parrott","Placed 1990","Outside","24/7",,"39.0136585 -94.5304074",,,
"Historical Monuments and Memorials","William R. Royster Memorial","The Concourse, 200 Benton Blvd, Kansas City, MO 64123","John Ferguson",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Granite and Bronze","1974","Outside","M-Sun 5am-12am",,"39.1125003 -94.5447145",,,
"Public Art","Twisted Steel Ribbon","S. Emanuel Cleaver II Blvd and E. 35th Street, Kansas City MO 64128","Steve Kline",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Steel",,"Outside","24/7",,"39.0617605 -94.5247932",,,"POINT (-94.524786 39.061759)"
"Fountains","Shirley Bush Helzberg Garden of the Stars Fountain","Starlight Theatre, 4600 Starlight Road, Kansas City, MO, 64132","Mackey Mitchell Zahner Associates",,"Kansas City Parks & Recreation Department","Starlight Theatre","Bricks","1996","Inside","Check for seasonal hours","Entry fee may required","39.0071355 -94.5334149","https://www.kcfountains.com/single-post/2016/09/08/Shirley-Bush-Helzberg-Garden-of-the-Stars-Fountain","Located inside the east entrance of Starlight Theatre is the large water feature known as the Shirley Bush Helzberg Garden of the Stars Fountain.  The picturesque fountain features ten waterfalls gently cascading amongst eleven brick columns that stand twenty feet tall.  The water falls into a pool with more than a dozen vertical water jets.  The heights of the jets decrease as the fountain goes west.  The pool stretches west toward the performance area curving into the distance for a total length of 180 feet.

The fountain welcomes guests as they enter the east side of the theatre.  It is also a favorite resting spot for theatre-goers and has surely served as the backdrop of thousands, if not millions, of photographs taken at Starlight Theatre.  It has also been the site of numerous weddings and private events.

The fountain and surrounding garden commemorate Barnett and Shirley Helzberg's longtime dedication to Starlight Theatre.  The former owners of Helzberg Jewelers donated $1 million toward the creation of the site.  Mrs. Helzberg served as president of the Starlight Board of Directors from 1991 to 1994.",
"Historical Monuments and Memorials","American Legion Memorial II","Meyer Blvd and Swope Parkway, Kansas City, MO 64132","G.B. Franklin, Architect  Robert Merrell Gage, Kansas City Sculptor",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Marble Drinking Fountain","1921","Outside","M-Sun 5am-12am",,"39.0075346 -94.5423022","https://www.kcfountains.com/single-post/2016/07/26/American-Legion-Memorial-2","Tennessee marble fountain with a 21/2 foot high by 6 foot long bronze tablet showing American soldiers and sailors

The appropriateness of the fountain as a memorial to our boys who fought so valiantly for their country can be seen in the intimate usefulness associated with them.  This memorial fountain and the American Legion Memorial I fountain were “erected in places where passing throngs will see and use them, sets forth an informal tribute of people of Kansas City to the men who are among them again, mingling in the city’s activity and industry and achievement.”

The bronze panel illustrates twenty-two figures of American soldiers entering a ruined French village, wounded French soldiers and refugees.

 

Across the top of the monument are inscribed the words:

Dedicated by Kansas City to the American Legion Posts.

At the dedication services in Swope Park sixteen uniformed legionnaires uncovered the fountain draped in an American flag.  The presentation of the fountain was by Alderman George Harrington and the dedication address was given by John W. Inzer, national chaplain of the legion.

The installation by the Kansas City American Legion Posts was made possible by a $20,000 appropriation from City Council.  The cost of this fountain was $6,000.

A drinking fountain was originally included in this monument.",
"Fountains","Children's Fountain","N. Oak Tfwy and N.E. 32nd Ave, Kansas City, MO 64116","Tom Corbin, Bowman Bowman Novick Inc. and Larkin Associates",,"Kansas City Parks & Recreation Department","City of Fountains Foundation","Bronze","1995","Outside","24/7",,"39.1523016 -94.5785435","https://www.kcfountains.com/single-post/2016/07/07/Childrens-Fountain","Playful, happy, challenging, thoughtful – all are terms that can be used to describe Kansas City’s Children’s Fountain. The fountain was designed to celebrate children and Kansas City children were used as models for the figures. Local sculptor Tom Corbin created the six figures: Joy posing happily on one pedestal; Meeting Challenges represented by a boy with crutches; a ballerina; a boy playing soccer; a boy standing on his head and a girl wading into the pool of the fountain. They are each 8 to 9 feet tall and were based off of children that lived in his neighborhood.

Fundraising began in 1991, led by Anita Gorman, Northland resident and tireless Kansas City booster, who was President of the Kansas City, Missouri Parks and Recreation Board at the time. The $1.7 million was raised by public and private donations and the sale of dedicatory bricks for placement near the fountain. The fountain was designed by Larkin Aquatics and is one of the largest fountains in Kansas City.

On June 21, 1995, the fountain was turned on.  The dedication plaque says: ”The bronze figures represent children everywhere to whom this fountain is dedicated and the activities that shape young lives making childhood a joy.”  In the winter of 2015-16, the fountain was renovated and the sculptures were cleaned, giving new life to the fountain and park.

The fountain is located in the small park formed by North Oak Trafficway, NE 32nd and Burlington Street on the land that was donated by the Missouri Department of Transportation.  There is parking available on 32nd Street that gives easy access to the fountain.",
"Public Art","Man In Despair","3915 Gillham Road, Kansas City, MO 64110","Jose Vasquez",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Limestone","1985","Outside","M-Sun 5am-12am",,"39.054611 -94.578729",,,"POINT (-94.579474 39.054575)"
"Fountains","Spirit of Freedom Fountain","Emanuel Cleaver II Blvd and Cleveland Ave, Kansas City, MO 64130","Richard Hunt",,"Kansas City Parks & Recreation Department","City of Fountains Foundation",,"1981","Outside","24/7",,"39.038359 -94.5406304","https://www.kcfountains.com/single-post/2016/07/06/Spirit-of-Freedom-Fountain","A 5,000 lb. metallic free form sculpture sits on a pedestal in the middle of a retaining pool - elliptical in shape with raised platforms that support the sculpture.  Water pours from the base of the platform and there are six clusters of water jets in the interior of the basin.

In 1977, City Councilman Bruce R. Watkins organized the Spirit of Freedom Foundation to develop a monument to the contributions of the black people in Kansas City. Richard Hunt, a black Chicago sculptor, presented an abstract model to reflect the symbolic nature of the subject. He also noted that it was in keeping with the improvisational aspects of Kansas City jazz. The fountain was dedicated in 1981 exactly one year after Watkins' death.

In the winter of 2017-2018, this fountain underwent repairs and renovations.  The sculpture was removed off-site where it was cleaned and restored.  The fountain itself was torn out and rebuilt with new concrete, plumbing, and lighting.  It was re-dedicated as part of the 2018 Fountain Day event on April 17, 2018.","POINT (-94.540644 39.038333)"
"Public Art","Pair Of Rhinos","Kansas City Zoo (framing south vehicle gate), Swope Park, 6800 Zoo Drive, Kansas City, MO 64132","Jennifer Walker",,"Kansas City Parks & Recreation Department","Kansas City Zoo",,"1994",,"Check for seasonal hours",,"39.0075608 -94.5296046",,,
