"fiscal_year","service","department","program","expense_category","posted_at_fund_name","fund_type","budget_object_name","expense_type","byproposed_submitted_budget_2017_18_budget_data","byadopted_adopted_budget_2017_18_budget_data"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Personal Services","General Fund","Tax Supported Funds","FICA Benefits-City","Personnel Cost","56520","56520"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Personal Services","General Fund","Tax Supported Funds","FICA Benefits-City","Personnel Cost","53493","53493"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Personal Services","General Fund","Tax Supported Funds","EO and EMS Defined Contr Pension Plan","Personnel Cost","73883","73883"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Personal Services","General Fund","Tax Supported Funds","Employee Pension","Personnel Cost","83148","83148"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Personal Services","General Fund","Tax Supported Funds","Wages-Reg Full Time Employees","Personnel Cost","738828","738828"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Personal Services","General Fund","Tax Supported Funds","Wages-Reg Full Time Employees","Personnel Cost","699251","699251"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the Mayor","Capital Outlay","General Fund","Tax Supported Funds","Office Equipment","Operating Expense","3000","3000"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the Mayor","Capital Outlay","General Fund","Tax Supported Funds","Comp & Word Proc Equip-W/Softw","Operating Expense","15000","15000"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the Mayor","Commodities","General Fund","Tax Supported Funds","Gen.Office Supplies","Operating Expense","7000","7000"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the Mayor","Contractual Services","General Fund","Tax Supported Funds","Dues And Memberships","Operating Expense","18000","18000"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the Mayor","Contractual Services","General Fund","Tax Supported Funds","Contracts W/Non-Municipal Agen","Operating Expense","40000","40000"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the Mayor","Contractual Services","General Fund","Tax Supported Funds","Contracts W/Non-Municipal Agen","Operating Expense","25000","25000"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the Mayor","Contractual Services","General Fund","Tax Supported Funds","Contracts W/Non-Municipal Agen","Operating Expense","50000","50000"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the Mayor","Contractual Services","General Fund","Tax Supported Funds","Rent Of Office Equipment","Operating Expense","5850","5850"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the Mayor","Contractual Services","General Fund","Tax Supported Funds","Office Equipment Repair & Main","Operating Expense","2000","2000"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the Mayor","Contractual Services","General Fund","Tax Supported Funds","Auto Equip Repair & Maintenanc","Operating Expense","21","21"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the Mayor","Contractual Services","General Fund","Tax Supported Funds","Long Distance Charges","Operating Expense","250","250"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the Mayor","Contractual Services","General Fund","Tax Supported Funds","Wireless Phone Usage","Operating Expense","6812","6812"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the Mayor","Contractual Services","General Fund","Tax Supported Funds","Network Connectivity Charge","Operating Expense","15489","15489"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the Mayor","Contractual Services","General Fund","Tax Supported Funds","Desktop Phone Usage","Operating Expense","15268","15268"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the Mayor","Contractual Services","General Fund","Tax Supported Funds","Unemployment Compensation Insu","Operating Expense","1475","1475"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the Mayor","Contractual Services","General Fund","Tax Supported Funds","Public Official Liability","Operating Expense","5000","5000"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the Mayor","Contractual Services","General Fund","Tax Supported Funds","Property Insurance","Operating Expense","1629","1629"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the Mayor","Contractual Services","General Fund","Tax Supported Funds","Printing-Duplicating-Multilith","Operating Expense","22000","22000"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the Mayor","Contractual Services","General Fund","Tax Supported Funds","Traveling Expenses-Non Local","Operating Expense","50000","50000"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the Mayor","Contractual Services","General Fund","Tax Supported Funds","Promotional Expense","Operating Expense","35000","35000"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the Mayor","Contractual Services","General Fund","Tax Supported Funds","Postage","Operating Expense","3000","3000"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the Mayor","Contractual Services","General Fund","Tax Supported Funds","Local Meeting Expense","Operating Expense","25000","25000"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the Mayor","Contractual Services","General Fund","Tax Supported Funds","Parking Expense","Operating Expense","7000","7000"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the Mayor","Contractual Services","General Fund","Tax Supported Funds","Prof Svcs Not Otherwise Specif","Operating Expense","50000","50000"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the Mayor","Contractual Services","General Fund","Tax Supported Funds","Consultant Services","Operating Expense","50000","50000"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the Mayor","Contractual Services","Convention and Tourism","Tax Supported Funds","Contracts W/Non-Municipal Agen","Operating Expense","30000","30000"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the Mayor","Personal Services","General Fund","Tax Supported Funds","Emp Charged-Out","Personnel Cost","-67447","-67447"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the Mayor","Personal Services","General Fund","Tax Supported Funds","Life Insurance","Personnel Cost","1200","1200"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the Mayor","Personal Services","General Fund","Tax Supported Funds","Hosp & Life Ins-Employees","Personnel Cost","132954","132954"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the Mayor","Personal Services","General Fund","Tax Supported Funds","FICA Benefits-City","Personnel Cost","88454","88454"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the Mayor","Personal Services","General Fund","Tax Supported Funds","FICA Benefits-City","Personnel Cost","18830","18830"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the Mayor","Personal Services","General Fund","Tax Supported Funds","EO and EMS Defined Contr Pension Plan","Personnel Cost","12316","12316"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the Mayor","Personal Services","General Fund","Tax Supported Funds","Employee Pension","Personnel Cost","82223","82223"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the Mayor","Personal Services","General Fund","Tax Supported Funds","Wages-Contract Employees","Personnel Cost","393285","393285"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the Mayor","Personal Services","General Fund","Tax Supported Funds","Wages-Seasonal Employees","Personnel Cost","206170","206170"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the Mayor","Personal Services","General Fund","Tax Supported Funds","Wages-Reg Full Time Employees","Personnel Cost","762975","762975"
"2018","Finance and Governance","Office of the City Manager","Action Center","Commodities","General Fund","Tax Supported Funds","Motor Vehicle Gas Oil & Lubric","Operating Expense","89","89"
"2018","Finance and Governance","Office of the City Manager","Action Center","Commodities","General Fund","Tax Supported Funds","Gen.Office Supplies","Operating Expense","14800","14800"
"2018","Finance and Governance","Office of the City Manager","Action Center","Contractual Services","General Fund","Tax Supported Funds","Dues And Memberships","Operating Expense","14500","14500"
"2018","Finance and Governance","Office of the City Manager","Action Center","Contractual Services","General Fund","Tax Supported Funds","Auto Equip Repair & Maintenanc","Operating Expense","1217","1217"
"2018","Finance and Governance","Office of the City Manager","Action Center","Contractual Services","General Fund","Tax Supported Funds","Wireless Phone Usage","Operating Expense","573","573"
"2018","Finance and Governance","Office of the City Manager","Action Center","Contractual Services","General Fund","Tax Supported Funds","Network Connectivity Charge","Operating Expense","23429","23429"
"2018","Finance and Governance","Office of the City Manager","Action Center","Contractual Services","General Fund","Tax Supported Funds","Desktop Phone Usage","Operating Expense","56883","56883"
"2018","Finance and Governance","Office of the City Manager","Action Center","Contractual Services","General Fund","Tax Supported Funds","311 Service Charges","Operating Expense","50000","50000"
"2018","Finance and Governance","Office of the City Manager","Action Center","Contractual Services","General Fund","Tax Supported Funds","Unemployment Compensation Insu","Operating Expense","2808","2808"
"2018","Finance and Governance","Office of the City Manager","Action Center","Contractual Services","General Fund","Tax Supported Funds","Excess Worker's Comp.Ins.","Operating Expense","128","128"
"2018","Finance and Governance","Office of the City Manager","Action Center","Contractual Services","General Fund","Tax Supported Funds","Workers Compensation Insurance","Operating Expense","2616","2616"
"2018","Finance and Governance","Office of the City Manager","Action Center","Contractual Services","General Fund","Tax Supported Funds","Auto Liability Claims","Operating Expense","471","471"
"2018","Finance and Governance","Office of the City Manager","Action Center","Contractual Services","General Fund","Tax Supported Funds","Printing-Duplicating-Multilith","Operating Expense","5000","5000"
"2018","Finance and Governance","Office of the City Manager","Action Center","Contractual Services","General Fund","Tax Supported Funds","Postage","Operating Expense","25000","25000"
"2018","Finance and Governance","Office of the City Manager","Action Center","Contractual Services","General Fund","Tax Supported Funds","Parking Expense","Operating Expense","1000","1000"
"2018","Finance and Governance","Office of the City Manager","Action Center","Contractual Services","General Fund","Tax Supported Funds","Automobile Allowance","Operating Expense","100","100"
"2018","Finance and Governance","Office of the City Manager","Action Center","Personal Services","General Fund","Tax Supported Funds","Life Insurance","Personnel Cost","1319","1319"
"2018","Finance and Governance","Office of the City Manager","Action Center","Personal Services","General Fund","Tax Supported Funds","Hosp & Life Ins-Employees","Personnel Cost","245943","245943"
"2018","Finance and Governance","Office of the City Manager","Action Center","Personal Services","General Fund","Tax Supported Funds","Salary Savings","Personnel Cost","-100000","-100000"
"2018","Finance and Governance","Office of the City Manager","Action Center","Personal Services","General Fund","Tax Supported Funds","FICA Benefits-City","Personnel Cost","97188","97188"
"2018","Finance and Governance","Office of the City Manager","Action Center","Personal Services","General Fund","Tax Supported Funds","Employee Pension","Personnel Cost","137915","137915"
"2018","Finance and Governance","Office of the City Manager","Action Center","Personal Services","General Fund","Tax Supported Funds","Wages-Reg Part Time Employees","Personnel Cost","158789","158789"
"2018","Finance and Governance","Office of the City Manager","Action Center","Personal Services","General Fund","Tax Supported Funds","Wages-Reg Full Time Employees","Personnel Cost","1111644","1111644"
"2018","Finance and Governance","Office of the City Manager","Capital Improvements","Contractual Services","Public Safety Sales Tax","Tax Supported Funds","Construction By Contractor","Operating Expense","250000","250000"
"2018","Finance and Governance","Office of the City Manager","Capital Improvements","Contractual Services","Capital Improvements","Tax Supported Funds","Project Contingency (CS)","Operating Expense","0","407253"
"2018","Finance and Governance","Office of the City Manager","Capital Improvements","Contractual Services","Capital Improvements","Tax Supported Funds","Project Contingency (CS)","Operating Expense","0","229345"
"2018","Finance and Governance","Office of the City Manager","Capital Improvements","Contractual Services","Capital Improvements","Tax Supported Funds","Project Contingency (CS)","Operating Expense","0","0"
"2018","Finance and Governance","Office of the City Manager","Capital Improvements","Contractual Services","Capital Improvements","Tax Supported Funds","Project Contingency (CS)","Operating Expense","0","28107"
"2018","Finance and Governance","Office of the City Manager","Capital Improvements","Contractual Services","Capital Improvements","Tax Supported Funds","Project Contingency (CS)","Operating Expense","0","95697"
"2018","Finance and Governance","Office of the City Manager","Capital Improvements","Contractual Services","Capital Improvements","Tax Supported Funds","Project Contingency (CS)","Operating Expense","0","14945"
"2018","Finance and Governance","Office of the City Manager","City Communications","Commodities","General Fund","Tax Supported Funds","Video Equipment","Operating Expense","5766","5766"
"2018","Finance and Governance","Office of the City Manager","City Communications","Commodities","General Fund","Tax Supported Funds","Photographic Supplies","Operating Expense","3000","3000"
"2018","Finance and Governance","Office of the City Manager","City Communications","Commodities","General Fund","Tax Supported Funds","Motor Vehicle Gas Oil & Lubric","Operating Expense","234","234"
"2018","Finance and Governance","Office of the City Manager","City Communications","Commodities","General Fund","Tax Supported Funds","Gen.Office Supplies","Operating Expense","1200","1200"
"2018","Finance and Governance","Office of the City Manager","City Communications","Commodities","General Fund","Tax Supported Funds","Gen.Office Supplies","Operating Expense","2000","2000"
"2018","Finance and Governance","Office of the City Manager","City Communications","Contractual Services","General Fund","Tax Supported Funds","Contracts W/Non-Municipal Agen","Operating Expense","80000","80000"
"2018","Finance and Governance","Office of the City Manager","City Communications","Contractual Services","General Fund","Tax Supported Funds","Video Equipment Repair","Operating Expense","5000","5000"
"2018","Finance and Governance","Office of the City Manager","City Communications","Contractual Services","General Fund","Tax Supported Funds","Pager Usage","Operating Expense","107","107"
"2018","Finance and Governance","Office of the City Manager","City Communications","Contractual Services","General Fund","Tax Supported Funds","Pager Usage","Operating Expense","164","164"
"2018","Finance and Governance","Office of the City Manager","City Communications","Contractual Services","General Fund","Tax Supported Funds","Wireless Phone Usage","Operating Expense","1653","1653"
"2018","Finance and Governance","Office of the City Manager","City Communications","Contractual Services","General Fund","Tax Supported Funds","Network Connectivity Charge","Operating Expense","10512","10512"
"2018","Finance and Governance","Office of the City Manager","City Communications","Contractual Services","General Fund","Tax Supported Funds","Desktop Phone Usage","Operating Expense","16031","16031"
"2018","Finance and Governance","Office of the City Manager","City Communications","Contractual Services","General Fund","Tax Supported Funds","Printing-Duplicating-Multilith","Operating Expense","180000","180000"
"2018","Finance and Governance","Office of the City Manager","City Communications","Debt Service","General Fund","Tax Supported Funds","Fiscal Agent Fees-(DS)","Operating Expense","1000","1000"
"2018","Finance and Governance","Office of the City Manager","City Communications","Debt Service","General Fund","Tax Supported Funds","Lease Payment-(DS)","Operating Expense","63913","63913"
"2018","Finance and Governance","Law","Legal - Collections","Contractual Services","General Fund","Tax Supported Funds","Automobile Allowance","Operating Expense","1000","1000"
"2018","Finance and Governance","Office of the City Manager","City Communications","Personal Services","General Fund","Tax Supported Funds","Life Insurance","Personnel Cost","602","602"
"2018","Finance and Governance","Office of the City Manager","City Communications","Personal Services","General Fund","Tax Supported Funds","Life Insurance","Personnel Cost","270","270"
"2018","Finance and Governance","Office of the City Manager","City Communications","Personal Services","General Fund","Tax Supported Funds","Hosp & Life Ins-Employees","Personnel Cost","70568","70568"
"2018","Finance and Governance","Office of the City Manager","City Communications","Personal Services","General Fund","Tax Supported Funds","Hosp & Life Ins-Employees","Personnel Cost","59642","59642"
"2018","Finance and Governance","Office of the City Manager","City Communications","Personal Services","General Fund","Tax Supported Funds","FICA Benefits-City","Personnel Cost","43554","43554"
"2018","Finance and Governance","Office of the City Manager","City Communications","Personal Services","General Fund","Tax Supported Funds","FICA Benefits-City","Personnel Cost","19187","19187"
"2018","Finance and Governance","Office of the City Manager","City Communications","Personal Services","General Fund","Tax Supported Funds","Employee Pension","Personnel Cost","71932","71932"
"2018","Finance and Governance","Office of the City Manager","City Communications","Personal Services","General Fund","Tax Supported Funds","Employee Pension","Personnel Cost","32232","32232"
"2018","Finance and Governance","Office of the City Manager","City Communications","Personal Services","General Fund","Tax Supported Funds","Wages-Contract Employees","Personnel Cost","9600","9600"
"2018","Finance and Governance","Office of the City Manager","City Communications","Personal Services","General Fund","Tax Supported Funds","Wages-Reg Full Time Employees","Personnel Cost","559740","559740"
"2018","Finance and Governance","Office of the City Manager","City Communications","Personal Services","General Fund","Tax Supported Funds","Wages-Reg Full Time Employees","Personnel Cost","250812","250812"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Capital Outlay","Public Mass Transportation","Tax Supported Funds","Equipment","Operating Expense","25000","25000"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Commodities","General Fund","Tax Supported Funds","Motor Vehicle Gas Oil & Lubric","Operating Expense","2511","2511"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Commodities","General Fund","Tax Supported Funds","Gen.Office Supplies","Operating Expense","15000","15000"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Commodities","Public Mass Transportation","Tax Supported Funds","Copy Paper","Operating Expense","137","137"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Commodities","Public Mass Transportation","Tax Supported Funds","Gen.Office Supplies","Operating Expense","492","492"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Contractual Services","General Fund","Tax Supported Funds","Dues And Memberships","Operating Expense","5000","5000"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Contractual Services","General Fund","Tax Supported Funds","Dues And Memberships","Operating Expense","100000","100000"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Contractual Services","General Fund","Tax Supported Funds","Honorariums","Operating Expense","5000","5000"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Contractual Services","General Fund","Tax Supported Funds","Contributions","Operating Expense","50000","50000"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Contractual Services","General Fund","Tax Supported Funds","Rent Of Office Equipment","Operating Expense","26550","26550"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Contractual Services","General Fund","Tax Supported Funds","Office Equipment Repair & Main","Operating Expense","2000","2000"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Contractual Services","General Fund","Tax Supported Funds","Auto Equip Repair & Maintenanc","Operating Expense","2245","2245"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Contractual Services","General Fund","Tax Supported Funds","Wireless Phone Usage","Operating Expense","3269","3269"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Contractual Services","General Fund","Tax Supported Funds","Network Connectivity Charge","Operating Expense","38212","38212"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Contractual Services","General Fund","Tax Supported Funds","Desktop Phone Usage","Operating Expense","65105","65105"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Contractual Services","General Fund","Tax Supported Funds","Unemployment Compensation Insu","Operating Expense","1475","1475"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Contractual Services","General Fund","Tax Supported Funds","Public Official Liability","Operating Expense","5000","5000"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Contractual Services","General Fund","Tax Supported Funds","Property Insurance","Operating Expense","11184","11184"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Contractual Services","General Fund","Tax Supported Funds","Auto Liability Claims","Operating Expense","1828","1828"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Contractual Services","General Fund","Tax Supported Funds","Auto Insurance","Operating Expense","200","200"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Contractual Services","General Fund","Tax Supported Funds","Printing-Duplicating-Multilith","Operating Expense","45000","45000"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Contractual Services","General Fund","Tax Supported Funds","Traveling Expenses-Non Local","Operating Expense","35000","35000"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Contractual Services","General Fund","Tax Supported Funds","Postage","Operating Expense","6500","6500"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Contractual Services","General Fund","Tax Supported Funds","Local Meeting Expense","Operating Expense","35000","35000"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Contractual Services","General Fund","Tax Supported Funds","Parking Expense","Operating Expense","2500","2500"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Contractual Services","General Fund","Tax Supported Funds","Automobile Allowance","Operating Expense","2500","2500"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Contractual Services","General Fund","Tax Supported Funds","Consultant Services","Operating Expense","55000","55000"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Contractual Services","Public Mass Transportation","Tax Supported Funds","Dues And Memberships","Operating Expense","35000","35000"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Contractual Services","Public Mass Transportation","Tax Supported Funds","Contracts W/Non-Municipal Agen","Operating Expense","150000","150000"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Contractual Services","Public Mass Transportation","Tax Supported Funds","Wireless Phone Usage","Operating Expense","420","420"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Contractual Services","Public Mass Transportation","Tax Supported Funds","Network Connectivity Charge","Operating Expense","1701","1701"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Contractual Services","Public Mass Transportation","Tax Supported Funds","Desktop Phone Usage","Operating Expense","1657","1657"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Contractual Services","Public Mass Transportation","Tax Supported Funds","Printing-Duplicating-Multilith","Operating Expense","500","500"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Contractual Services","Public Mass Transportation","Tax Supported Funds","Postage","Operating Expense","300","300"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Contractual Services","Public Mass Transportation","Tax Supported Funds","Training Svs/Registrations","Operating Expense","500","500"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Personal Services","General Fund","Tax Supported Funds","Emp Charged-Out","Personnel Cost","-208354","-208354"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Personal Services","General Fund","Tax Supported Funds","Emp Charged-In","Personnel Cost","67447","67447"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Personal Services","General Fund","Tax Supported Funds","Life Insurance","Personnel Cost","897","897"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Personal Services","General Fund","Tax Supported Funds","Life Insurance","Personnel Cost","166","166"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Personal Services","General Fund","Tax Supported Funds","Hosp & Life Ins-Employees","Personnel Cost","98959","98959"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Personal Services","General Fund","Tax Supported Funds","Hosp & Life Ins-Employees","Personnel Cost","20118","20118"
"2018","Finance and Governance","Office of the City Manager","City Managers Office","Personal Services","General Fund","Tax Supported Funds","Management Automobile Allowanc","Personnel Cost","19200","19200"
