"parcel_number","property_class","property_status","inventory_type","zoned_as","address1","city","state","postal_code","county","neighborhood","council_district","sold_date","school_district","potential_use","demo_needed","market_value_year","market_value","square_footage","property_condition","structure_square_footage","number_of_bedrooms","number_of_full_baths","date_evaluated","location"
"JA14930103100000000","Residential Vacant","Acquired","Land Bank","R-2.5","414 Tullis Ave","Kansas City","MO","64125","Jackson","North Blue Ridge","4th",,"Kansas City Missouri 110","Side Yard","false","2019","6850.0","11032.012292","Vacant lot or land - usable",,,,,"POINT (-94.487749 39.108667)"
"JA49110020202000000","Residential Vacant","Acquired","Land Bank","R-7.5","7305 E 83rd St","Kansas City","MO","64138","Jackson","Oldham Farms","5th",,"Raytown 150",,"false","2019","14567.0","15696.552083","Vacant lot or land - little or no use",,,,,"POINT (-94.503657 38.973982)"
"JA32120172300000000","Residential Vacant","Acquired","Land Bank","R-7.5","10302 E US 40 Hwy","Kansas City","MO","64133","Jackson","Ashland Ridge","3rd",,"Kansas City Missouri 110",,"false","2019","42441.0","5910.041",,,,,,
"JA49320070100000000","Industrial Vacant","Acquired","Land Bank","M1-5","2615 E 85th St","Kansas City","MO","64132","Jackson","Legacy East","5th",,"Center 120","Public Purpose","false","2019","8400.0","6627.144875","Vacant lot or land - usable",,,,,"POINT (-94.55764 38.972531)"
"JA28230190700000000","Residential Improved","Disposed","Land Bank","R-2.5","1617 CYPRESS AVE","KANSAS CITY","MO","64127","Jackson","East Community Team North","3rd","2016-06-01T00:00:00.000","KANSAS CITY MISSOURI 110","Affordable Housing","false","2012","11608.0","5200.543958","Structure - fair condition","730","1","1",,"POINT (-94.530044 39.091903)"
"JA28240100800000000","Residential Vacant","Acquired","Land Bank","R-2.5","1421 Colorado Ave","Kansas City","MO","64127","Jackson","West Blue Valley","3rd",,"Kansas City Missouri 110",,"false","2019","9250.0","11270.546875","Vacant lot or land - usable",,,,"2014-01-22T00:00:00.000","POINT (-94.520213 39.095096)"
"JA31940120200000000","Residential Improved","Disposed","Land Bank","R-2.5","3649 E 57TH ST","Kansas City","MO","64130","Jackson","North Town Fork Creek","5th","2014-11-14T00:00:00.000","KANSAS CITY MISSOURI 110","Affordable Housing","false","2014","23531.0","5988.040035","Structure - fair condition",,,,,"POINT (-94.5423 39.022172)"
"JA28530062000000000","Residential Vacant","Acquired","Land Bank","B3-2","2328 ELMWOOD AVE","Kansas City","MO","64128","Jackson","East Community Team South","3rd",,"KANSAS CITY MISSOURI 110","Side Yard","false","2019","3250.0","6839.896146","Vacant lot or land - usable",,,,,"POINT (-94.529619 39.082325)"
"JA31330060800000000","Residential Improved","Acquired","Land Bank","R-2.5","2801 E 39th St","Kansas City","MO","64130","Jackson","Oak Park Southwest","3rd",,"Kansas City Missouri 110","Affordable Housing","false","2019","14772.0","2975.445729","Structure - fair condition","1156","3","1",,"POINT (-94.551189 39.055359)"
"JA31320193300000000","Residential Vacant","Acquired","Land Bank","R-2.5","3702 Chestnut Ave","Kansas City","MO","64128","Jackson","Oak Park Northwest","3rd",,"Kansas City Missouri 110","Assemblage","false","2019","1750.0","3152.77944444","Vacant lot or land - usable",,,,,"POINT (-94.551113 39.058722)"
"JA28910322400000000","Residential Vacant","Acquired","Land Bank","R-2.5","3026 ASKEW AVE","Kansas City","MO","64128","Jackson","Ingleside","3rd",,"KANSAS CITY MISSOURI 110","Assemblage, Side Yard","false","2019","2600.0","4611.444583","Vacant lot or land - usable",,,,,"POINT (-94.541331 39.070293)"
"JA28440211400000000","Residential Vacant","Disposed","Land Bank","R-2.5","2527 Bales Ave","Kansas City","MO","64127","Jackson","Washington Wheatley","3rd","2020-10-23T00:00:00.000","Kansas City Missouri 110","Side Yard","false","2019","2250.0","4013.32625","Vacant lot or land - usable",,,,,"POINT (-94.542008 39.079411)"
"JA28320131700000000","Residential Vacant","Disposed","Land Bank","R-6","2619 E 8th St","Kansas City","MO","64124","Jackson","Independence Plaza","3rd","2016-05-18T00:00:00.000","Kansas City Missouri 110","Side Yard","false","2012","1480.0","5590.012257","Vacant lot or land - usable",,,,,"POINT (-94.550302 39.103464)"
"JA28930314400000000","Residential Vacant","Disposed","Land Bank","R-2.5","3416 CHESTNUT AVE","KANSAS CITY","MO","64128","JACKSON","Oak Park Northwest","3rd","2016-07-06T00:00:00.000","KANSAS CITY MISSOURI 110","Assemblage","false","2015","1702.0","6938.773715","Vacant lot or land - usable",,,,,"POINT (-94.550844 39.063711)"
"JA48120093300000000","Residential Vacant","Acquired","Land Bank","R-6","1131 E 83RD TER","KANSAS CITY","MO","64131","JACKSON","Marlborough Heights/Marlborough Pride","5th",,"CENTER 120",,"true","2019","13400.0","8557.181215","Vacant lot or land - usable",,,,"2016-09-30T00:00:00.000","POINT (-94.574761 38.975763)"
"JA30130221100000001","Residential Improved","Disposed","Land Bank",,"4119 Tracy","Kansas city","MO","64110","Jackson",,"3rd","2014-05-27T00:00:00.000",,,"false",,,,"Structure - severely distressed",,,,,"POINT (-94.569869 39.05169)"
"JA46410030100000000","Commercial Vacant","Disposed","Land Bank","B1-1","6700 Cleveland Ave","Kansas City","MO","64132","Jackson","Self Help Neighborhood Council","5th","2015-03-05T00:00:00.000","Kansas City Missouri 110","Assemblage, Infill construction, Public Green Space","false","2012","6331.0","6980.779028","Vacant lot or land - usable",,,,,"POINT (-94.542606 39.004505)"
"JA27310044000000000","Residential Vacant","Acquired","Land Bank","R-2.5","803 Booth Ave","Kansas City","MO","64125","Jackson","North Blue Ridge","4th",,"Kansas City Missouri 110",,"false","2019","4450.0","6277.947708","Awaiting evaluation",,,,,"POINT (-94.482008 39.100563)"
"JA28940181800000000","Residential Vacant","Acquired","Land Bank","R-2.5","3517 E 33rd St","Kansas City","MO","64128","Jackson","Palestine West And Oak Park Northeast","3rd",,"Kansas City Missouri 110","Side Yard","false","2019","850.0","1498.14010417","Vacant lot or land - little or no use",,,,,"POINT (-94.542234 39.065898)"
"JA13830231500000000","Residential Vacant","Acquired","Land Bank","R-2.5","431 Spruce Ave","Kansas City","MO","64124","Jackson","South Indian Mound","4th",,"Kansas City Missouri 110","Assemblage","false","2019","10300.0","4227.29208333","Vacant lot or land - usable",,,,,"POINT (-94.531754 39.107954)"
"JA49420011500000000","Residential Vacant","Disposed","Land Bank","R-7.5","9106  INDIANA AVE","Kansas City","MO","64132","Jackson","Hidden Valley","5th","2017-04-11T00:00:00.000","HICKMAN MILLS 140","Assemblage","false","2014","11868.0","15933.366181","Vacant lot or land - usable",,,,,"POINT (-94.549375 38.960841)"
"JA31940140400000000","Residential Improved","Disposed","Land Bank","R-2.5","5709 Bales Ave","Kansas City","MO","64130","Jackson","North Town Fork Creek","5th","2016-09-09T00:00:00.000","Kansas City Missouri 110","Affordable Housing","false","2012","29528.0","6237.874549","Structure - fair condition",,"2","1","2014-01-20T00:00:00.000","POINT (-94.545194 39.021873)"
"JA28820110800000000","Residential Improved","Disposed","Land Bank","R-2.5","2814 Spruce Ave","Kansas City","MO","64128","Jackson","East Community Team South","3rd","2017-05-05T00:00:00.000","Kansas City Missouri 110","Affordable Housing","false","2012","19428.0","3952.944583","Structure - fair condition","944","2","1","2014-05-16T00:00:00.000","POINT (-94.533329 39.074115)"
"JA45430181400000000","Residential Vacant","Disposition in Process","Land Bank","R-7.5","7430  HULLWOOD AVE","Kansas City","MO","64133","Jackson","Park Farms","5th",,"RAYTOWN 150","Assemblage, Public Purpose","false","2019","10550.0","10043.338333","Vacant lot or land - usable",,,,,"POINT (-94.499859 38.988571)"
"31-630-12-07-00-0-00-000","Residential Vacant","ACQUIRED","LAND BANK","R-7.5","5814  E 51st st","KANSAS CITY","MO","64127","JACKSON","Brown Estates","5TH",,"RAYTOWN 150",,"false","2019","13150.0","43394.63",,,,,,
"JA29640320800000000","Urban Redevelopment (UR) vacant","Disposed","Land Bank","R-1.5","2619 Garfield Ave","Kansas City","MO","64127","Jackson","Wendell Phillips","3rd","2017-11-29T00:00:00.000","Kansas City Missouri 110","Assemblage","false","2012","1655.0","4629.678264","Vacant lot or land - usable",,,,,"POINT (-94.558228 39.078371)"
"JA28810081600000000","Residential Vacant","Acquired","Land Bank","B3-2","2857 RAYTOWN RD","Kansas City","MO","64127","Jackson","East Community Team South","3rd",,"KANSAS CITY MISSOURI 110","Side Yard","false","2019","14500.0","9303.11666667","Vacant lot or land - usable",,,,,"POINT (-94.523508 39.072861)"
"JA28830041300000000","Residential Vacant","Acquired","Land Bank","R-1.5","4901 E Linwood Blvd","Kansas City","MO","64128","Jackson","Knoches Park","3rd",,"Kansas City Missouri 110","Assemblage","false","2019","4950.0","10723.0917361","Vacant lot or land - usable",,,,,"POINT (-94.528152 39.067272)"
"JA31320053600000000","Residential Vacant","Disposed","Land Bank","R-2.5","3515 B South Benton St","Kansas City","MO","64128","Jackson","Oak Park Northwest","3rd","2017-04-10T00:00:00.000","Kansas City Missouri 110","Side Yard, Urban Agriculture","false","2012","43.0","208.799514","Vacant lot or land - usable",,,,,"POINT (-94.549773 39.061999)"
"JA28520342600000000","Residential Vacant","Acquired","Land Bank","R-2.5","2038 Chelsea Ave","Kansas City","MO","64127","Jackson","East Community Team North","3rd",,"Kansas City Missouri 110","Urban Agriculture","false","2019","5400.0","11999.3749653","Vacant lot or land - usable",,,,,"POINT (-94.526509 39.085523)"
"31-310-11-33-02-0-00-000","Residential Vacant","Disposed","LAND BANK","R-2.5","3636 MONROE AVE","KANSAS CITY","MO","64128","JACKSON","Palestine West And Oak Park Northeast","3RD","2018-07-31T00:00:00.000","KANSAS CITY MISSOURI 110",,"false",,"2007.0","5860.19",,,,,,"POINT (-94.540646 39.05979)"
"JA13730120800000000","Residential Vacant","Acquired","Land Bank","R-2.5","425 WHITE AVE","KANSAS CITY","MO","64123","Jackson","South Indian Mound","4th",,"KANSAS CITY MISSOURI 110","Assemblage, Side Yard","true","2019","10850.0","4436.198507","Vacant lot or land - usable","1166","3",,"2014-01-07T00:00:00.000","POINT (-94.511676 39.107842)"
"JA29840153300000000","Residential Vacant","Disposed","Land Bank","R-2.5","3227 Charlotte St","Kansas City","MO","64109","Jackson","North Hyde Park","4th","2014-08-27T00:00:00.000","Kansas City Missouri 110",,"false","2012","96.0","414.455938","Vacant lot or land - usable",,,,,"POINT (-94.575547 39.067634)"
"JA46410150500000000","RESIDENTIAL VACANT","ACQUIRED","Land Bank","R-2.5","3825 E 68th Ter","KANSAS CITY","MO","64132.0","JACKSON","Foxtown East","5th",,"KANSAS CITY MISSOURI 110",,"false","2019","6750.0","4631.82","Awaiting evaluation",,,,,"POINT (-94.541129 39.001857)"
"JA28610160100000000","Residential Vacant","Acquired","Land Bank","R-2.5","1900 Cambridge","Kansas City","MO","64126","Jackson","Central Blue Valley And Park Tower Gardens","3rd",,"Kansas City Missouri 110",,"false","2019","5100.0","67848.981597","Vacant lot or land - little or no use",,,,"2014-01-31T00:00:00.000","POINT (-94.5026 39.085712)"
"JA28440293300000000","Residential Improved","Target","Land Bank","R-2.5","2602 NORTON AVE","KANSAS CITY","MO","64127","Jackson","East Community Team South","3rd",,"KANSAS CITY MISSOURI 110","Affordable Housing","false","2019","14223.0","5607.725938","Structure - fair condition","784","2","1","2015-02-04T00:00:00.000","POINT (-94.53518 39.078114)"
"JA28920013400000000","Residential Improved","Disposed","Land Bank","R-5","3242 Lockridge St","Kansas City","MO","64128","Jackson","Santa Fe","3rd","2015-11-13T00:00:00.000","Kansas City Missouri 110","Affordable Housing","false","2012","1977.0","5844.090035","Structure - good condition","1726","5","1","2014-01-01T00:00:00.000","POINT (-94.543966 39.07567)"
"JA46920073100000000","Residential Vacant","Acquired","Land Bank","R-6","7742 Agnes Ave","Kansas City","MO","64132","Jackson","Marlborough East","5th",,"Center 120","Affordable Housing, Side Yard","false","2019","32850.0","21557.374722","Vacant lot or land - usable",,,,,"POINT (-94.552912 38.98536)"
"JA46920091500000000","Residential Vacant","Acquired","Land Bank","R-6","2702 E 79th St","Kansas City","MO","64132","Jackson","Marlborough East","5th",,"Center 120","Assemblage","false","2019","18350.0","9746.81680556","Vacant lot or land - usable",,,,,"POINT (-94.556397 38.98351)"
"JA31340041400000000","Residential Vacant","Acquired","Land Bank","R-2.5","3925 Cleveland Ave","Kansas City","MO","64130","Jackson","Vineyard Northwest","3rd",,"Kansas City Missouri 110","Assemblage","false","2019","2250.0","4021.623542","Vacant lot or land - usable",,,,,"POINT (-94.539829 39.05398)"
"JA31340020500000000","Residential Vacant","Acquired","Land Bank","R-2.5","4007 E 39th St","Kansas City","MO","64130","Jackson","Vineyard Northwest","3rd",,"Kansas City Missouri 110","Side Yard","false","2019","2450.0","4395.44305556","Vacant lot or land - usable",,,,,"POINT (-94.53699 39.054909)"
"JA28440170300000000","Residential Improved","Disposed","Land Bank","R-2.5","3600 E 25TH ST","KANSAS CITY","MO","64127","JACKSON","Washington Wheatley","3rd","2018-05-07T00:00:00.000","KANSAS CITY MISSOURI 110","Affordable Housing","false","2015","15709.0","3349.522361","Structure - fair condition","748","2","1","2016-11-08T00:00:00.000","POINT (-94.540658 39.080331)"
"JA29710091900000000","Residential Improved","Disposed","Land Bank","R-1.5","2404 E 29TH ST","KANSAS CITY","MO","64109","Jackson","Key Coalition","3rd","2015-09-28T00:00:00.000","KANSAS CITY MISSOURI 110","Affordable Housing, Assemblage, Infill construction","true","2012","86386.0","4412.830139","Structure - severely distressed",,,"6","2014-02-27T00:00:00.000","POINT (-94.554634 39.073544)"
"JA28820290200000000","Residential Improved","Acquired","Land Bank","R-2.5","3001 CYPRESS AVE","Kansas City","MO","64127","Jackson","Knoches Park","3rd",,"KANSAS CITY MISSOURI 110",,"false","2019","8934.0","3624.999583","Structure - fair condition",,,"1",,"POINT (-94.530695 39.070814)"
"JA48120051401000000","Residential Vacant","Acquired","Land Bank","R-6","1306 E 83RD TER","KANSAS CITY","MO","64131.0","JACKSON","Marlborough Heights/Marlborough Pride","5th",,"CENTER 120",,"false","2019","8620.0","11632.760451","Vacant lot or land - little or no use",,,,,"POINT (-94.574005 38.975733)"
"JA46420201400000000","Residential Vacant","Acquired","Land Bank","R-5","3000 E 70TH ST","KANSAS CITY","MO","64132","Jackson","Self Help Neighborhood Council","5th",,"KANSAS CITY MISSOURI 110","Side Yard, Urban Agriculture","true","2019","9000.0","6159.139653","Vacant lot or land - usable",,,,"2014-08-07T00:00:00.000","POINT (-94.551827 38.999616)"
"JA46410162200000000","Residential Vacant","Acquired","Land Bank","R-2.5","4016 E 69th St","Kansas City","MO","64132","Jackson","Foxtown East","5th",,"Kansas City Missouri 110","Side Yard","false","2019","7000.0","4810.171667","Vacant lot or land - usable",,,,,"POINT (-94.539771 39.000895)"
"JA28520320400000000","Residential Vacant","Acquired","Land Bank","R-2.5","2007 ELMWOOD AVE","Kansas City","MO","64109","Jackson","East Community Team North","3rd",,"KANSAS CITY MISSOURI 110","Assemblage, Side Yard","false","2019","2000.0","3557.714792","Vacant lot or land - usable",,,,,"POINT (-94.529332 39.086821)"
"JA28230220900000000","Residential Improved","Disposed","Land Bank","R-2.5","1617 LISTER AVE","KANSAS CITY","MO","64127","JACKSON","East Community Team North","3rd","2018-03-07T00:00:00.000","KANSAS CITY MISSOURI 110","Affordable Housing","false","2015","15375.0","2862.614722","Structure - fair condition",,,,,"POINT (-94.526836 39.091703)"
"JA28420196300000000","Residential Vacant","Acquired","Land Bank","R-2.5","1818 Kansas Ave","Kansas City","MO","64127","Jackson","Washington Wheatley","3rd",,"Kansas City Missouri 110",,"false","2019","2500.0","3360.07816","Vacant lot or land - usable",,,,"2014-02-14T00:00:00.000","POINT (-94.548413 39.089479)"
"JA31540141000000000","Residential Vacant","Disposed","Land Bank","R-5","5036 Oakley Ave","Kansas City","MO","64130","Jackson","Brown Estates","5th","2018-03-13T00:00:00.000","Kansas City Missouri 110","Public Green Space, Wildlife Conservation Area","false","2012","3000.0","20016.371389","Vacant lot or land - little or no use",,,,"2014-01-09T00:00:00.000","POINT (-94.519714 39.033144)"
"JA31520030300000000","Residential Vacant","Acquired","Land Bank","R-2.5","4507 E 43rd St","Kansas City","MO","64130","Jackson","Vineyard Northwest","3rd",,"Kansas City Missouri 110","Assemblage","true","2019","3850.0","6819.462778","Vacant lot or land - little or no use",,,,"2014-07-25T00:00:00.000","POINT (-94.531639 39.047483)"
"JA28930241300000000","Residential Vacant","Acquired","Land Bank","R-2.5","3327 COLLEGE","KANSAS CITY","MO","64128","Jackson","Oak Park Northwest","3rd",,"KANSAS CITY MISSOURI 110","Side Yard","false","2019","2450.0","4332.60208333","Vacant lot or land - usable",,,,,"POINT (-94.545012 39.065034)"
"JA46310080200000000","Residential Vacant","Acquired","Land Bank","R-2.5","3621 E 61st St","Kansas City","MO","64130","Jackson","South Town Fork Creek","5th",,"Kansas City Missouri 110","Infill construction","false","2019","14950.0","17133.0024653","Vacant lot or land - usable",,,,,"POINT (-94.543232 39.015342)"
"JA31320340100000000","RESIDENTIAL VACANT","ACQUIRED","Land Bank","R-2.5","3554 Montgall Ave","KANSAS CITY","MO","64128.0","JACKSON","Oak Park Northwest","3rd",,"KANSAS CITY MISSOURI 110",,"false","2019","2650.0","5004.97","Vacant lot or land - little or no use",,,,,"POINT (-94.552142 39.060804)"
"JA46320043200000000","Residential Vacant","Acquired","Land Bank","R-2.5","5916 1/2 Agnes","Kansas City","MO","99999","Jackson","South Town Fork Creek","5th",,"Kansas City Missouri 110","Side Yard","false","2019","200.0","135.296771","Vacant lot or land - little or no use",,,,"2014-02-06T00:00:00.000","POINT (-94.55119 39.018571)"
"JA28930310100000000","Residential Vacant","Acquired","Land Bank","R-2.5","3400 Chestnut Ave","Kansas City","MO","64128","Jackson","Oak Park Northwest","3rd",,"Kansas City Missouri 110","Assemblage","false","2019","3200.0","6326.77715278","Vacant lot or land - usable",,,,,"POINT (-94.55082 39.064226)"
"JA28710070200000000","INDUSTRIAL VACANT","Disposed","Land Bank","M1-5","6611 E US 40 HWY","KANSAS CITY","MO","64129.0","JACKSON","Leeds","3rd","2019-11-05T00:00:00.000","KANSAS CITY MISSOURI 110",,"false","2018","300.0","3185.0","Vacant lot or land - little or no use",,,,,"POINT (-94.501678 39.069424)"
"JA28810172100000000","Residential Improved","Disposed","Land Bank","R-2.5","5432 E 29th St","Kansas City","MO","64128","Jackson","South Blue Valley","3rd","2017-03-15T00:00:00.000","Kansas City Missouri 110","Affordable Housing","true","2012","14132.0","4495.4325","Structure - fair condition",,,"1","2014-10-23T00:00:00.000","POINT (-94.518834 39.072395)"
"31-210-08-25-00-0-00-000","Residential Vacant","ACQUIRED","LAND BANK","R-2.5","5614 E 36th ST","KANSAS CITY","MO","64124","JACKSON","Dunbar","3RD",,"KANSAS CITY MISSOURI 110",,"false","2019","3900.0","7617.14",,,,,,"POINT (-94.517504 39.059899)"
"JA31420180400000000","Residential Vacant","Acquired","Land Bank","R-2.5","4503 Agnes Ave","Kansas City","MO","64130","Jackson","Oak Park Southwest","3rd",,"Kansas City Missouri 110","Assemblage","true","2019","2150.0","3823.360694","Vacant lot or land - usable",,,,"2014-05-09T00:00:00.000","POINT (-94.550015 39.044258)"
"JA27310042300000000","Residential Vacant","Acquired","Land Bank","R-2.5","706 UTLEY AVE","KANSAS CITY","MO","64125","Jackson","North Blue Ridge","4th",,"KANSAS CITY MISSOURI 110",,"false","2019","3900.0","5189.628958","Vacant lot or land - usable",,,,,"POINT (-94.482613 39.10121)"
"JA28540155600000000","Residential Vacant","Acquired","Land Bank","R-2.5","5711 E 24th St","Kansas City","MO","64127","Jackson","South Blue Valley","3rd",,"Kansas City Missouri 110",,"false","2019","3750.0","7846.621215","Vacant lot or land - usable",,,,,"POINT (-94.516004 39.081017)"
"JA13840251400000000","Residential Vacant","Acquired","Land Bank","R-2.5","531 Colorado Ave","KANSAS CITY","MO","64124","JACKSON","South Indian Mound","4th",,"KANSAS CITY MISSOURI 110",,"false","2020","30858.0","3334.73",,,,,,"POINT (-94.520244 39.105969)"
"JA30710161000000000","Residential Vacant","Acquired","Land Bank","R-6","5217 WABASH AVE","Kansas City","MO","64130","Jackson","Blue Hills","5th",,"KANSAS CITY MISSOURI 110","Assemblage, Side Yard","true","2019","9050.0","5356.262222","Vacant lot or land - usable",,,,"2015-12-09T00:00:00.000","POINT (-94.55604 39.030987)"
"JA47740150600000000","Residential Vacant","Acquired","Land Bank","R-6","8113 Wabash Ave","KANSAS CITY","MO","64132","JACKSON","Marlborough Heights/Marlborough Pride","5th",,"CENTER 120",,"false","2020","20300.0","14710.22",,,,,,"POINT (-94.559144 38.979333)"
"JA30110303000000000","Residential Vacant","Acquired","Land Bank","R-2.5","3824  OLIVE ST","Kansas City","MO","64109","Jackson","Ivanhoe Northeast","3rd",,"KANSAS CITY MISSOURI 110","Side Yard","false","2019","10800.0","4809.863021","Vacant lot or land - usable",,,,,"POINT (-94.555741 39.05646)"
"JA46310033500000000","Residential Vacant","Disposed","Land Bank","R-2.5","3702 E 61ST ST","Kansas City","MO","64125","Jackson","South Town Fork Creek","5th","2018-08-23T00:00:00.000","KANSAS CITY MISSOURI 110","Affordable Housing","true","2017","6546.0","30004.097951","Vacant lot or land - usable",,,,"2015-12-10T00:00:00.000","POINT (-94.543196 39.015341)"
"JA29120160500000000","Commercial Vacant","Disposed","Land Bank","B3-2","1718 E 9th St","Kansas City","MO","64106","Jackson","Parkview","3rd","2018-01-04T00:00:00.000","Kansas City Missouri 110","Public Purpose","false","2012","27588.0","12772.115972","Vacant lot or land - usable",,,,,"POINT (-94.560739 39.102908)"
"JA49440073100000000","Residential Vacant","Acquired","Land Bank","R-7.5","3917 KINGSHIGHWAY","KANSAS CITY","MO","64137","Jackson","Oakwood","5th",,"HICKMAN MILLS 140","Infill construction","false","2019","39650.0","53251.7272917","Vacant lot or land - usable",,,,,"POINT (-94.542484 38.951528)"
"JA28540155800000000","Residential Vacant","Acquired","Land Bank","R-2.5","2414 Lawndale Ave","Kansas City","MO","64127","Jackson","South Blue Valley","3rd",,"Kansas City Missouri 110","Assemblage","false","2019","5900.0","13181.294965","Vacant lot or land - usable",,,,,"POINT (-94.516552 39.081022)"
"JA31230032000000000","Residential Improved","Disposed","Land Bank","R-2.5","3938 Lawn Ave","Kansas City","MO","64130","Jackson","Vineyard","3rd","2016-08-17T00:00:00.000","Kansas City Missouri 110","Affordable Housing","true","2012","36157.0","9022.26","Structure - fair condition",,"3","1","2014-01-13T00:00:00.000","POINT (-94.528764 39.054097)"
