"project_no","title","area","project_district","address_concatenation","finish_year","status","cost_in_millions","activity_type","use","office_sq_ft_in_1000_s","retail_sq_ft_in_1000_s","industrial_sq_ft_in_1000_s","hotel_rooms","parking_spaces","developer","also_in_1990_onward_database","none"
"148.00","Nazarene Publ. Addition","23","East","2923 Troost Av.
Kansas City, MO 
(39.07322445328879, -94.57116422947848)","1985","Completed","1.1","New","Industrial/Office/Showroom","8","0","20","0","0","Nazarene Publishing House","No",
"Area *","1","KCI / Airworld",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
,"7","Birmingham / Hunt Midwest",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"117.00","Interstate Building","11","Downtown","1300 Locust St.
Kansas City, MO 
(39.098414666443595, -94.57753167853703)","1984","Completed","3.8","Rehab","Office","47","0","0","0","0","William Pickett","No",
"187.00","Bloch School of Business","26","East","5200 Cherry St.
Kansas City, MO 
(39.03166544479705, -94.58058906002616)","1988","Completed","7.6","New","Educational","0","0","0","0","0","University Of Missouri","No",
"277.00","Raphael Hotel Renovation","19","Plaza","325 Ward Pkwy.
Kansas City, MO 
(39.03982363312059, -94.59149790056097)","1989","Completed","1.0","Rehab","Lodging","0","0","0","120","0","J.C. Nichols Co.","No",
"338.00","Marlborough School Rehab","26","East","1300 E 75th St.
Kansas City, MO 
(38.9915204900891, -94.57332997753655)","1988","Completed","1.1","Rehab","Educational","0","0","0","0","0","Kansas City School District","No",
"206.00","Crown Cen Hotel Renovation","15","Midtown","1 E Pershing Rd.
Kansas City, MO 
(39.08393451519896, -94.5834507624744)","1988","Completed","12.0","Rehab","Lodging","0","0","0","725","0","Crown Center Redevelopment Corp.","No",
"17.00","Mark Twain Tower","11","Downtown","106 W 11th St.
Kansas City, MO 
(39.10087860568973, -94.58462708025712)","1985","Completed","11.0","Rehab","Office","250","0","0","0","0","Old Hotel Devt.; Leo Eisenberg","No",
"310.00","Century Market Center","9","East","1150 N Century Av.
Kansas City, MO 
(39.12722302486657, -94.48959377622492)","1989","Completed","9.7","New","Storage / Distribution","0","0","133","0","0","Century Avenue Associates","No",
"298.00","Multivac Headquarters","1","North","11021 N Pomona Av.
Kansas City, MO 
(39.292946811487354, -94.67167245947309)","1990","Underway","5.0","New","Office","53","0","0","0","0","Multivac","Yes",
"178.00","Northwoods Office Park","3","North","5722 N Broadway
Kansas City, MO 
(39.198304933061614, -94.58576113848368)","1986","Completed","1.1","New","Office","10","0","0","0","0","Northwood Development Corp.","No",
"130.00","Baptist Medical Building","27","South","6666 Troost Av.
Kansas City, MO 
(39.00662368302154, -94.57501238873806)","1984","Completed","3.8","New","Medical","0","0","0","0","0","Modern Health Co.","No",
"210.00","Hilton Airport Renovation","1","North","8801 NW 112th St.
Kansas City, MO 
(39.296544099604546, -94.68294096450018)","1988","Completed","2.0","Rehab","Lodging","0","0","0","348","0","Hilton Plaza Inns","No",
"350.00","S.E. Middle School Addn.","26","East","6410 Swope Pkwy.
Kansas City, MO 
(39.010355886287975, -94.54249694049058)","1988","Completed","2.6","New","Educational","0","0","0","0","0","Kansas City School District","No",
"259.00","Embassy Suites Hotel","1","North","7640 NW Tiffany Springs Pkwy.
Kansas City, MO 
(39.27429044565663, -94.66659870846762)","1989","Completed","14.0","New","Lodging","0","0","0","240","0","John Q. Hammons Industries","No",
"168.00","Panorama Park - I-A","9","East","6010 Connecticut Av.
Kansas City, MO 
(39.13293866570304, -94.51158890999562)","1984","Completed","2.6","New","Industrial/Office/Showroom","23","0","29","0","0","Pancor Corp.","No",
"201.00","Two Rivers Psych. Hospital","25","East","5121 Raytown Rd.
Kansas City, MO 
(39.02931055859807, -94.47017935880842)","1986","Completed","8.0","New","Medical","0","0","0","0","0","Two Rivers Psychiatric Hospital","No",
"141.00","Jack Roach Cadillac","27","South","8011 State Line Rd.
Kansas City, MO 
(38.98299547408908, -94.60822529030594)","1985","Completed","1.5","New","Retail","0","15","0","0","0","Jack Roach Cadillac","No",
"161.00","Town & Country Shops","1","North","10022 N Executive Hills Blvd.
Kansas City, MO 
(39.27576760170184, -94.66898841062697)","1985","Completed","2.5","New","Retail","0","30","0","0","0","Executive Hills","No",
"49.00","Lov-It Creamery","7","North","7501 NE Parvin Rd.
Kansas City, MO 
(39.10295000044232, -94.58306000001886)","1985","Completed","3.0","New","Industrial","0","0","50","0","0","Lov-It Creamery","No",
"160.00","Super Food Barn","6","North","2415 NE Vivion Rd.
Kansas City, MO 
(39.184487001717734, -94.5514463200631)","1985","Completed","2.3","New","Retail","0","43","0","0","0","Surway Assocs.","No",
"87.00","Comfort Inn - Executive Pk","9","East","1051 N Cambridge Av.
Kansas City, MO 
(39.12677908013359, -94.49980302645355)","1987","Completed","2.0","New","Lodging","0","0","0","140","0","Peter Black","No",
"351.00","Faxon Elementary School","18","Midtown","3200 Paseo
Kansas City, MO 
(39.068485174516404, -94.56690090067906)","1990","Underway","3.4","New","Educational","0","0","0","0","0","Kansas City School District","Yes",
"133.00","Blue Ridge Mall","25","East","4200 Blue Ridge Blvd.
Kansas City, MO 
(39.044547451135884, -94.43887620718742)","1984","Completed","1.4","Rehab","Retail","0","960","0","0","0","Prudential Life Insurance Co.","No",
,"Office/Retail","primarily a combination of office and retail uses",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"199.00","Mrs. Winner's","26","East","6200 Troost Av.
Kansas City, MO 
(39.01449872477548, -94.57454568030869)","1986","Completed","1.5","New","Retail","0","3","0","0","0","M & W Management Corp.","No",
"Street","part of real or estimated address (e.g. Brighton Av.)","to convey specific location with commonly used geographic references","always","
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"223.00","Hyatt Regency Renovation","15","Midtown","2345 Mc Gee St.
Kansas City, MO 
(39.08464357869935, -94.58043779300161)","1988","Completed","6.5","Rehab","Lodging","0","0","0","732","0","Crown Center Redevelopment Corp.","No",
"71.00","Country Inn -KCI","1","North","11900 Plaza Circle
Kansas City, MO 
(39.30907251893149, -94.68269908146318)","1985","Completed","1.2","New","Lodging","0","0","0","44","0","Finney Hotel Corp.","No",
"102.00","Hewlett-Packard Center","25","East","6601 Winchester Av.
Kansas City, MO 
(39.0050884593261, -94.50518699813625)","1988","Completed","4.1","New","Office","72","0","0","0","0","Hewlett Packard Co.","No",
,"30 **","Bannister **",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
,"28","Ward Parkway South",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"231.00","Music Conserv. Ren./Add.","26","East","5228 Charlotte St.
Kansas City, MO 
(39.0321750650829, -94.57707116766261)","1988","Completed","5.5","New","Educational","0","0","0","0","0","University Of Missouri","No",
"305.00","Courtyard Hotel - Airport","1","North","7901 NW Tiffany Springs Pkwy.
Kansas City, MO 
(39.27237032345698, -94.67174440523542)","1990","Underway","10.0","New","Lodging","0","0","0","149","0","Marriott Corp.","Yes",
"180.00","Thirty-Eight Main","18","Midtown","3850 Main St.
Kansas City, MO 
(39.05744903496205, -94.58611956956945)","1986","Completed","2.0","Rehab","Office/Retail","30","30","0","0","0","Fred N. Coulson & Co.","No",
"46.00","Englewood Plaza","3","North","700 NW Englewood Rd.
Kansas City, MO 
(39.19581103910264, -94.59238822936999)","1986","Completed","6.0","New","Retail","0","130","0","0","0","Varnum/Armstrong/Deeter","No",
"11.00","Dunn Industries","11","Downtown","929 Holmes St.
Kansas City, MO 
(39.1029327725296, -94.57484732504366)","1984","Completed","1.0","New","Industrial","0","0","20","0","0","Dunn Industries","No",
"348.00","Northeast High Addition","20","East","415 Van Brunt Blvd.
Kansas City, MO 
(39.108918544631706, -94.52582041276122)","1988","Completed","4.8","New","Educational","0","0","0","0","0","Kansas City School District","No",
"Retail Sq. Ft. in 1000's","actual or estimated square feet of retail or commercial (e.g. restaurants, banks, cleaners) space","to show the magnitude of single projects or analyze the supply of retail space","when appropriate","
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"93.00","Ozark National Life","11","Downtown","500 E 9th St.
Kansas City, MO 
(39.103387714151495, -94.57687492436457)","1984","Completed","2.0","Rehab","Office","62","0","0","0","0","Ozark National Life Insurance","No",
"149.00","Plastic Sales & Manufac.","18","Midtown","3124 Gillham Plaza
Kansas City, MO 
(39.07004940470793, -94.5789807154332)","1985","Completed","4.0","Rehab","Industrial/Office/Showroom","16","0","100","0","0","Plastic Sales & Manufacturing","No",
"302.00","Ambassador - Office/Wareh.","1","North","10601 NW Ambassador Dr.
Kansas City, MO 
(39.285347540339785, -94.67555753063965)","1990","Underway","2.4","New","Industrial/Office/Showroom","7","0","28","0","0","Ambassador Properties","No",
,"13","Westside",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"Hotel Rooms","actual or estimated number of hotel rooms","to show the magnitude of single projects or analyze the supply of hotel rooms","when appropriate","
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"10.00","1220 Washington","11","Downtown","1220 Washington St.
Kansas City, MO 
(39.099259826036985, -94.59010395141559)","1986","Completed","7.5","New","Office","45","0","0","0","150","Zimmer Companies; Brookwood Rlty","No",
"120.00","Thayer Place","11","Downtown","822 Broadway
Kansas City, MO 
(39.10443914112454, -94.58825398101348)","1983","Completed","4.5","Rehab","Office","62","0","0","0","0","Roger L. Cohen; Alpert & Young","No",
"105.00","Executive Hills N. - B","1","North","10322 NW Prairie View Rd.
Kansas City, MO 
(39.28029335053509, -94.67492800521916)","1985","Completed","2.2","New","Industrial/Office/Showroom","20","0","39","0","0","Executive Hills","No",
"184.00","Childrens Mercy Annex","15","Midtown","2415 Locust St.
Kansas City, MO 
(39.08379484794068, -94.57832802926006)","1987","Completed","3.4","Rehab","Medical","0","0","0","0","0","Children's Mercy Hospital","No",
"69.00","Metro. Community College","17","Midtown","3200 Broadway
Kansas City, MO 
(39.069355099970394, -94.59005971443754)","1985","Completed","1.9","New","Office","27","0","0","0","0","Metropolitan Community Colleges","No",
"23.00","Mutual Benefit Life","15","Midtown","2323 Grand Av.
Kansas City, MO 
(39.08582395491925, -94.5815873717981)","1986","Completed","58.0","New","Office","375","0","0","0","900","Mutual Benefit Life; Shorenstien","No",
"121.00","Bryant Building","11","Downtown","1102 Grand Av.
Kansas City, MO 
(39.10097600096254, -94.58091546083516)","1984","Completed","1.5","Rehab","Office","150","0","0","0","0","Bay Colony Properties","No",
,"4","Nashua / Gashland",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"185.00","Eye Foundation Institute","15","Midtown","2300 Holmes St.
Kansas City, MO 
(39.08504154475378, -94.57582271759026)","1987","Completed","1.4","New","Medical","0","0","0","0","0","Felix Sabates; Eye Found. Inst.","No",
"322.00","Stein Mart","30","South","9117 Hillcrest Rd.
Kansas City, MO 
(38.96003301334436, -94.52003889273504)","1989","Completed","1.8","New","Retail","0","38","0","0","0","Stein Mart","No",
"53.00","AT&T Communications","26","East","2121 E 63rd St.
Kansas City, MO 
(39.012727060377756, -94.56189221935642)","1986","Completed","40.0","New","Office","360","0","0","0","0","AT&T","No",
"296.00","Midland Brake Headquarters","1","North","10940 N Pomona Av.
Kansas City, MO 
(39.291802453967065, -94.6715650841214)","1990","Underway","5.0","New","Office","49","0","0","0","0","Midland Brake Co.","No",
"163.00","Holmes Corporate Center -2","29","South","800 E 101st Te.
Kansas City, MO 
(38.9432814132752, -94.5814524734937)","1984","Completed","11.0","New","Office","100","0","0","0","0","Linclay Corp.","No",
"205.00","124th & State Line Center","29","South","12401 State Line Rd.
Kansas City, MO 
(38.90349064029223, -94.60790303302481)","1988","Completed","1.0","New","Retail","0","13","0","0","0","Block & Co.","No",
"285.00","1201 Walnut Building","11","Downtown","1201 Walnut St.
Kansas City, MO 
(39.09984658471962, -94.58200486844282)","1991","Underway","35.0","New","Office","530","0","0","0","2200","Copaken, White & Blitt","Yes",
"5.00","United Missouri Bank","11","Downtown","1010 Grand Av.
Kansas City, MO 
(39.10212628374598, -94.58085650031333)","1986","Completed","28.0","New","Office","255","0","0","0","300","United Missouri Bancshares","No",
"12.00","Rivergate Center","11","Downtown","600 Broadway
Kansas City, MO 
(39.10655867957212, -94.58817832829416)","1986","Completed","8.8","New","Office","130","0","0","0","360","Rivergate Assocs.","No",
"230.00","Executive Hills N. - 26D","1","North","7300 NW Tiffany Springs Pkwy.
Kansas City, MO 
(39.272939893990134, -94.66342571470805)","1988","Completed","5.5","New","Office","110","0","0","0","0","Executive Hills","No",
"307.00","Nichols Library Addition","26","East","700 E 51st St.
Kansas City, MO 
(39.034650191645405, -94.57906643366765)","1991","Underway","5.3","New","Educational","0","0","0","0","0","University Of Missouri","Yes",
"123.00","Wen-Pershing Building","18","Midtown","3100 Main St.
Kansas City, MO 
(39.07080527702993, -94.58533754466026)","1984","Completed","3.3","New","Office","55","0","0","0","0","Wendy's","No",
"Area *","one of 34 geographical areas of the city *","to quickly group projects by many areas of the city","always","
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"237.00","Hickman Business Cen. - 2","32","South","10330 Hickman Mills Dr.
Kansas City, MO 
(38.937966420082034, -94.53051487375416)","1987","Completed","1.8","New","Office","45","0","0","0","0","Varnum/Armstrong/Deeter","No",
"245.00","American Heartland Theater","15","Midtown","2450 Grand Av.
Kansas City, MO 
(39.08256840917318, -94.5818391819663)","1987","Completed","1.0","Rehab","Entertainment","0","0","0","0","0","Crown Center Redevelopment Corp.","No",
"217.00","Knightsbridge Bus. Center","32","South","5300 Longview Rd.
Kansas City, MO 
(38.91648161680206, -94.52886012122025)","1987","Completed","1.9","New","Office","26","0","0","0","0","Gingrich Real Estate Group","No",
"196.00","St. Joseph Radiology","29","South","1000 Carondelet Dr.
Kansas City, MO 
(38.93505261670714, -94.60166923271237)","1986","Completed","1.4","New","Medical","0","0","0","0","0","St. Joseph Hospital","No",
,"19","Plaza",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"97.00","Rockhill Medical Plaza","27","South","6650 Troost Av.
Kansas City, MO 
(39.00666562990028, -94.57497735488272)","1984","Completed","9.5","New","Medical","0","0","0","0","0","Block & Co.; Baptist Med. Cen.","No",
"50.00","Panorama Park - I","9","East","6020 Parretta La.
Kansas City, MO 
(39.10295000044232, -94.58306000001886)","1983","Completed","2.9","New","Industrial/Office/Showroom","26","0","31","0","0","Pancor Corp.","No",
"339.00","Swinney School Rehab","17","Midtown","1106 W 47th St.
Kansas City, MO 
(39.04262052463167, -94.60050910729456)","1988","Completed","1.9","Rehab","Educational","0","0","0","0","0","Kansas City School District","No",
"327.00","811 Main St. Rehab","11","Downtown","811 Main St.
Kansas City, MO 
(39.104407356956294, -94.58292381243024)","1989","Completed","4.0","Rehab","Office","244","0","0","0","0","Tower Properties","No",
"157.00","United Mo. Bank North","3","North","8300 NW Prairie View Rd.
Kansas City, MO 
(39.24512086596917, -94.65945067309491)","1985","Completed","1.3","New","Retail","0","10","0","0","0","United Missouri Bank Properties","No",
"110.00","AOC International","1","North","10991 N Airworld Dr.
Kansas City, MO 
(39.29199963590367, -94.6755288467819)","1986","Completed","1.8","New","Industrial/Office/Showroom","0","10","20","0","0","AOC International USA, Ltd.","No",
"286.00","River Market - Phase I","10","Downtown","20 E 5th St.
Kansas City, MO 
(39.10858579548085, -94.58163233789958)","1991","Underway","18.0","Rehab","Office/Retail","63","96","0","0","0","River Market Venture","Yes",
"337.00","Hartman School Rehab","27","South","8111 Oak St.
Kansas City, MO 
(38.980495358847634, -94.58545445652408)","1988","Completed","1.3","Rehab","Educational","0","0","0","0","0","Kansas City School District","No",
"108.00","Executive Hills N. - 12A","1","North","7700 NW Tiffany Springs Pkwy.
Kansas City, MO 
(39.27430380367069, -94.66782635010283)","1987","Completed","2.9","New","Office","36","0","0","0","0","Executive Hills","No",
,"Entertainment","primarily entertainment",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"249.00","BMA Tower Exterior","16","Midtown","3025 Southwest Tfwy.
Kansas City, MO 
(39.07264008953848, -94.59437812064671)","1987","Completed","2.0","Rehab","Office","0","0","0","0","0","Businessmen's Assurance Co.","No",
"Parking Spaces","actual or estimated number of parking spaces in parking garage projects; included for other projects if available","to show the magnitude of parking for garage projects and some other projects","always for garage projects; when available for other projects","
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"78.00","Rusty Pelican","28","South","8100 Ward Pkwy.
Kansas City, MO 
(38.98142166053782, -94.60666946319526)","1985","Completed","2.5","New","Retail","0","11","0","0","0","Rusty Pelican Restaurants","No",
"169.00","Panorama Park - II","9","East","6200 Connecticut Av.
Kansas City, MO 
(39.132771932469836, -94.50961931434313)","1986","Completed","3.0","New","Industrial/Office/Showroom","9","0","43","0","0","Pancor Corp.","No",
,"Midtown","between Downtown and Plaza, plus Central Industrial District",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"84.00","Park Place Hotel","9","East","1601 N Universal Av.
Kansas City, MO 
(39.137003202312755, -94.50514462151047)","1986","Completed","2.0","Rehab","Lodging","0","0","0","122","0","Executive Park","No",
,"34 **","South Longview **",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"63.00","Federal Empl. Credit Union","29","South","9300 Troost Av.
Kansas City, MO 
(38.95971148252831, -94.57751583776263)","1985","Completed","1.0","New","Office","19","0","0","0","0","Federal Employees Credit Union","No",
"44.00","Barry View Square","3","North","8300 NW Prairie View Rd.
Kansas City, MO 
(39.24512086596917, -94.65945067309491)","1985","Completed","5.5","New","Lodging","9","10","0","50","0","Ben Bolt","No",
"92.00","K.C. Auto Auction","7","North","3901 Great Midwest Dr.
Kansas City, MO 
(39.16599417415873, -94.48857164507695)","1985","Completed","2.0","New","Retail","0","13","0","0","0","Cox Communications","No",
"273.00","Historic Suites Hotel","11","Downtown","609 Central St.
Kansas City, MO 
(39.106361027773126, -94.58597023379212)","1989","Completed","5.9","Rehab","Lodging","0","0","0","101","88","Vista Construction Co.","No",
,"Public","primarily public",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"334.00","Ladd School Rehab","23","East","3640 Benton Blvd.
Kansas City, MO 
(39.06049904657419, -94.54647783977424)","1987","Completed","1.5","Rehab","Educational","0","0","0","0","0","Kansas City School District","No",
"135.00","Jay Wolfe Acura","29","South","1029 W 103rd St.
Kansas City, MO 
(38.941842498028336, -94.60386357846386)","1986","Completed","1.7","New","Retail","0","21","0","0","0","Jay Wolfe","No",
