"fiscal_year","service","department","program","revenue_category","recommended_amount","approved_amount","fund","fund_type","description","revenue_type"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","State Grants","0","0","Governmental Grants Fund","Governmental Grants Fund","Public Health Preparedness","State Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","State Grants","0","0","Governmental Grants Fund","Governmental Grants Fund","Public Health Preparedness","State Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","State Grants","0","0","Governmental Grants Fund","Governmental Grants Fund","Public Health Preparedness","State Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Neighborhood Services","Licenses & Permits","225","225","General Fund","General Fund","3Am Closing Apllication Fee","Licenses & Permits"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Trash and Recycling","Service Charges-General Gov't","0","0","General Fund","General Fund","Sale Of Refuse Coll Stickers","Service Charges-General Gov't"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Park Revenue","Miscellaneous Revenues","2000","2000","Parks and Recreation","Parks and Recreation","Miscellaneous Income","Miscellaneous Revenues"
"2019","Planning, Zoning, and Economic Development","City Planning and Development","Development Services","Service Charges-General Gov't","0","0","Arterial Street Impact Fee","Arterial Street Impact Fee","East Devel Impact Fee","Service Charges-General Gov't"
"2019","Finance and Governance","Office of the City Manager","City Manager Revenues","Service Charges-General Gov't","0","0","General Fund","General Fund","Adm Service Fees-Poll Ctrl Dep","Service Charges-General Gov't"
"2019","Transportation and Infrastructure","Public Works","Capital Projects","Licenses & Permits","1400000","1400000","Street Maintenance","Street Maintenance","St Degredation Permits","Licenses & Permits"
"2019","Finance and Governance","Finance","Finance Revenues","Property Taxes","0","0","Downtown Redevelopment District Debt","Downtown Redevelopment District Debt","Payments In Lieu Of Taxes","Property Taxes"
"2019","Planning, Zoning, and Economic Development","City Planning and Development","Development Management","Service Charges-General Gov't","7420","7420","Development Services","Development Services","Encroachment Licenses","Service Charges-General Gov't"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","Federal Grants","18330000","18330000","KC Airports","KC Airports","MKC-Other Grants","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Federal Grants","18432","18432","Governmental Grants Fund","Governmental Grants Fund","Blueprint for Safer Roadways","Federal Grants"
"2019","Planning, Zoning, and Economic Development","City Planning and Development","Development Services","Service Charges-Public Safety","0","0","Development Services","Development Services","Periodic & Reinspection","Service Charges-Public Safety"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","NHS Revenues","Federal Grants","0","0","Domestic Violence Shelter Operations","Domestic Violence Shelter Operations","Community Arrest Program","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","NHS Revenues","Federal Grants","0","0","Domestic Violence Shelter Operations","Domestic Violence Shelter Operations","Community Arrest Program","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Cultural Facilities","Service Charges-Parks & Rec","0","0","Museum","Museum","Cultural Arts Fees & Permits","Service Charges-Parks & Rec"
"2019","Transportation and Infrastructure","Public Works","Capital Projects","Licenses & Permits","100000","100000","Street Maintenance","Street Maintenance","Annual Street Closing Permits","Licenses & Permits"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","Miscellaneous Revenues","10000","10000","KC Airports","KC Airports","Recoveries On Damage Claims","Miscellaneous Revenues"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes - Contra","44200","44200","STIF Hotel President","STIF Hotel President","Power and Light Co-Emerg Contra","Utility Taxes - Contra"
"2019","Finance and Governance","Finance","Finance Revenues","Other Taxes","99900","99900","STIF Midtown","STIF Midtown","EAT-Zoo","Other Taxes"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Housing Services","Miscellaneous Revenues","6000","6000","General Fund","General Fund","Miscellaneous Income","Miscellaneous Revenues"
"2019","Transportation and Infrastructure","Public Works","Parking Control","Rental Income","0","0","Parking Garage","Parking Garage","Rental from Parking â€“ Contra","Rental Income"
"2019","Transportation and Infrastructure","Public Works","Parking Control","Rental Income","0","0","Parking Garage","Parking Garage","Rental from Parking â€“ Contra","Rental Income"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","KCI Airport","19076900","19076900","KC Airports","KC Airports","Parking - On Airport - Economy","KCI Airport"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","6000","6000","Parks and Recreation","Parks and Recreation","Aquatics-Swimming","Service Charges-Parks & Rec"
"2019","Finance and Governance","Finance","Finance Revenues","Property Taxes","2250000","2250000","General Fund","General Fund","Rr & Util Tax Real Prop-Curr","Property Taxes"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Service Charges-Sewer","115792","115792","Sewer","Sewer","Ferrelview Sewer Serv Charges","Service Charges-Sewer"
"2019","Finance and Governance","Finance","Finance Revenues","Earnings Tax - Contra","147800","147800","STIF Hotel President","STIF Hotel President","Earnings Tax W/H-Contra","Earnings Tax - Contra"
"2019","Transportation and Infrastructure","Public Works","Parking Control","Service Charges-Downtown Airport","0","0","Parking Garage","Parking Garage","Parking Lot Rent","Service Charges-Downtown Airport"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","7168","7168","Parks and Recreation","Parks and Recreation","Comm Ctr Sports","Service Charges-Parks & Rec"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Service Charges-Sewer","22879","22879","Water","Water","Platte PWSD #2 Cap Repymnt","Service Charges-Sewer"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Miscellaneous Revenues","200000","200000","Parks and Recreation","Parks and Recreation","Miscellaneous Income","Miscellaneous Revenues"
"2019","Finance and Governance","Finance","Finance Revenues","Property Taxes","23652","23652","Museum","Museum","Rr & Util Tax Pers Prop-Curr","Property Taxes"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","Richards Gebaur Airport","121000","121000","KC Airports","KC Airports","Other Service Charges","Richards Gebaur Airport"
"2019","Planning, Zoning, and Economic Development","Economic Development","Economic Development Management","Other Contributions","47730","47730","Convention and Tourism","Convention and Tourism","Cont-TIF Shoal Crk Prkwy Plan","Other Contributions"
"2019","Finance and Governance","Finance","Finance Revenues","Property Taxes","10167459","10167459","Health Levy","Health Levy","Pers Prop Tax-Current","Property Taxes"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Rental Income","75000","75000","Parks and Recreation","Parks and Recreation","Concession Rentals","Rental Income"
"2019","Finance and Governance","Finance","Finance Revenues","Property Taxes","1871415","1871415","General Fund","General Fund","Real Property Tax-Prior","Property Taxes"
"2019","Transportation and Infrastructure","Public Works","Parking Control","Rental Income","93596","93596","Parking Garage","Parking Garage","Rental From Parking Concession","Rental Income"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Federal Grants","0","0","Governmental Grants Fund","Governmental Grants Fund","HCF Aim4Peace","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Federal Grants","0","0","Governmental Grants Fund","Governmental Grants Fund","HCF Aim4Peace","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Rental Income","3000","3000","Parks and Recreation","Parks and Recreation","Concession Rentals","Rental Income"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Rental Income","3000","3000","Parks and Recreation","Parks and Recreation","Concession Rentals","Rental Income"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes - Contra","200","200","STIF East Village","STIF East Village","Natural Gas Co-Emerg Contra","Utility Taxes - Contra"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","Interest","602667","602667","KC Airports","KC Airports","Interest On Investments","Interest"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes","2240000","2240000","General Fund","General Fund","Telephone Co-Emerg","Utility Taxes"
"2019","Finance and Governance","Law","Law Revenues","Other Contributions","2000","2000","General Fund","General Fund","Reimb Legal Fees Conv Bureau","Other Contributions"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes - Contra","2900","2900","STIF Brush Creek-Blue Pkwy Town Center","STIF Brush Creek-Blue Pkwy Town Center","Natural Gas Co-Emerg Contra","Utility Taxes - Contra"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Neighborhood Services","Service Charges-General Gov't","280000","280000","General Fund","General Fund","Reg Ind Background Check Fees","Service Charges-General Gov't"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Federal Grants","0","0","Governmental Grants Fund","Governmental Grants Fund","MARC Violene Prevention","Federal Grants"
"2019","Public Safety","Fire","Systems Support","Service Charges-General Gov't","860000","860000","General Fund","General Fund","Fire Prevention Permits","Service Charges-General Gov't"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Rental Income","10200","10200","Parks and Recreation","Parks and Recreation","Concession Rentals","Rental Income"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Neighborhood Preservation","Service Charges-Public Safety","0","0","General Fund","General Fund","Ins Reimb DB Demo Costs","Service Charges-Public Safety"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Environmental Health Services","Service Charges-Health","25000","25000","Health Levy","Health Levy","Air Quality Settlements","Service Charges-Health"
"2019","Finance and Governance","Finance","Finance Revenues","State Grants","4200000","4200000","Street Maintenance","Street Maintenance","Vehicle Sales Tax","State Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","50000","50000","Parks and Recreation","Parks and Recreation","Misc Recreation Receipts","Service Charges-Parks & Rec"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","KCI Airport","3608836","3608836","KC Airports","KC Airports","Avia Serv Area Utilities","KCI Airport"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Service Charges-Water","160820876","160820876","Water","Water","Sale Of Water","Service Charges-Water"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","State Grants","0","0","Governmental Grants Fund","Governmental Grants Fund","04 AIDS Ryan White Title II","State Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","State Grants","0","0","Governmental Grants Fund","Governmental Grants Fund","04 AIDS Ryan White Title II","State Grants"
"2019","Finance and Governance","Finance","Finance Revenues","Earnings Tax","-2500000","-2500000","General Fund","General Fund","E-Tax Profit-Refund","Earnings Tax"
"2019","Finance and Governance","Finance","Finance Revenues","Other Taxes","145900","145900","TIF Special Allocation","TIF Special Allocation","EAT-County","Other Taxes"
"2019","Planning, Zoning, and Economic Development","Convention and Entertainment Facilities","Convention and Entertainment Facilities","Rental Income","2353","2353","Convention and Tourism","Convention and Tourism","Staffing","Rental Income"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Service Charges-Sewer","550000","550000","Sewer","Sewer","Sale of Crops","Service Charges-Sewer"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","KCI Airport","729600","729600","KC Airports","KC Airports","Car Rental - Lease - On Site","KCI Airport"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Service Charges-Sewer","0","0","Sewer","Sewer","Rent-City Owned Sewer Fac","Service Charges-Sewer"
"2019","Public Safety","Police","Police Revenues","Federal Grants","1686215","1686215","Police Drug Enforcement","Police Drug Enforcement","00 Co Contr-Police Drug Enforc","Federal Grants"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Service Charges-Sewer","4758745","4758745","Sewer","Sewer","Gladstone Sewer Serv Charges","Service Charges-Sewer"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Land Bank","Miscellaneous Revenues","290000","290000","Land Bank","Land Bank","Sale Of Property","Miscellaneous Revenues"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Neighborhood Preservation","Service Charges-Public Safety","200000","200000","General Fund","General Fund","Dangerous Building Board-Up","Service Charges-Public Safety"
"2019","Transportation and Infrastructure","Public Works","Parking Control","Rental Income","289864","289864","Parking Garage","Parking Garage","Rental From Parking Concession","Rental Income"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Miscellaneous Revenues","17800","17800","Stormwater","Stormwater","Reimb Services","Miscellaneous Revenues"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Service Charges-Sewer","0","0","Water","Water","Harrisonville Capital Repayment","Service Charges-Sewer"
"2019","Public Safety","Fire","Emergency Operations","Service Charges-Health","18500000","19700000","General Fund","General Fund","Ambulance Fees","Service Charges-Health"
"2019","Planning, Zoning, and Economic Development","Convention and Entertainment Facilities","Convention and Entertainment Facilities","Rental Income","36857","36857","Convention and Tourism","Convention and Tourism","Box Office Charges","Rental Income"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Housing Services","Federal Grants","0","0","Neighborhood Grants","Neighborhood Grants","06 Emergency Shelter-Fed HUD","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","State Grants","0","0","Governmental Grants Fund","Governmental Grants Fund","04 Tb Outreach","State Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","38427","38427","Parks and Recreation","Parks and Recreation","Ice Rink-Snack Bar","Service Charges-Parks & Rec"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","NHS Revenues","Federal Grants","0","0","HOME Investment","HOME Investment","HUD Grants","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","NHS Revenues","Federal Grants","0","0","HOME Investment","HOME Investment","HUD Grants","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","NHS Revenues","Federal Grants","0","0","HOME Investment","HOME Investment","HUD Grants","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","NHS Revenues","Federal Grants","0","0","HOME Investment","HOME Investment","HUD Grants","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","NHS Revenues","Federal Grants","0","0","HOME Investment","HOME Investment","HUD Grants","Federal Grants"
"2019","Transportation and Infrastructure","Public Works","Parking Control","Rental Income","366000","366000","Parking Garage","Parking Garage","Rental From Parking Concession","Rental Income"
"2019","Public Safety","Fire","Fire Revenues","Federal Grants","0","0","Fire Sales Tax","Fire Sales Tax","Assist to Firefighters (AFG)","Federal Grants"
"2019","Public Safety","Fire","Fire Revenues","Federal Grants","0","0","Fire Sales Tax","Fire Sales Tax","Assist to Firefighters (AFG)","Federal Grants"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes - Contra","30200","30200","STIF Brush Creek-Blue Pkwy Town Center","STIF Brush Creek-Blue Pkwy Town Center","Power and Light Co-Emerg Contra","Utility Taxes - Contra"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","State Grants","65879","65879","Governmental Grants Fund","Governmental Grants Fund","04 Tb Outreach","State Grants"
"2019","Finance and Governance","Finance","Finance Revenues","Earnings Tax - Contra","-15949106","-15949106","General Fund","General Fund","Earnings Tax W/H-Contra","Earnings Tax - Contra"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Miscellaneous Revenues","100000","100000","Water","Water","Recoveries On Damage Claims","Miscellaneous Revenues"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","KCI Airport","56595","56595","KC Airports","KC Airports","PX Boarding Bridge - NonSig","KCI Airport"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Trash and Recycling","Service Charges-General Gov't","0","0","General Fund","General Fund","Sale Of Recyclables","Service Charges-General Gov't"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Trash and Recycling","Service Charges-General Gov't","0","0","General Fund","General Fund","Sale Of Recyclables","Service Charges-General Gov't"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Trash and Recycling","Service Charges-General Gov't","0","0","General Fund","General Fund","Sale Of Recyclables","Service Charges-General Gov't"
"2019","Finance and Governance","Finance","Finance Revenues","Earnings Tax - Contra","121500","121500","STIF 12th and Wyandotte","STIF 12th and Wyandotte","Earnings Tax W/H-Contra","Earnings Tax - Contra"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Trash and Recycling","Service Charges-General Gov't","20000","20000","General Fund","General Fund","Neighborhood Dumpsters- Dem","Service Charges-General Gov't"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Service Charges-Sewer","236274","236274","Sewer","Sewer","Lake Waukomis Sewer Serv Charg","Service Charges-Sewer"
"2019","Finance and Governance","Law","Law Revenues","Miscellaneous Revenues","250000","250000","General Fund","General Fund","Recoveries On Damage Claims","Miscellaneous Revenues"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Service Charges-Sewer","944438","944438","Sewer","Sewer","Raytown Sewer Service Charges","Service Charges-Sewer"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Environmental Health Services","Service Charges-Health","0","0","Health Levy","Health Levy","Healthy Home Inspections Fees","Service Charges-Health"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes - Contra","3600","3600","Downtown Redevelopment District Debt","Downtown Redevelopment District Debt","Telephone Co-Emerg Contra","Utility Taxes - Contra"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Golf Course Operations","Service Charges-Parks & Rec","310000","310000","Golf Operations","Golf Operations","Restaurant-Shoal Creek","Service Charges-Parks & Rec"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","KCI Airport","11700","11700","KC Airports","KC Airports","Parking - Car Wash","KCI Airport"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Federal Grants","8000","8000","Governmental Grants Fund","Governmental Grants Fund","FDA Retail Program Standards M","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","8000","8000","Parks and Recreation","Parks and Recreation","Aquatics-Swimming","Service Charges-Parks & Rec"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Golf Course Operations","Service Charges-Parks & Rec","52000","52000","Golf Operations","Golf Operations","Driving Range-Minor Park","Service Charges-Parks & Rec"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Trash and Recycling","Service Charges-General Gov't","360000","360000","General Fund","General Fund","Sale Of Recyclables","Service Charges-General Gov't"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes","6000000","6000000","General Fund","General Fund","Water Utilities","Utility Taxes"
"2019","Finance and Governance","Finance","Finance Revenues","Sales Tax-Redirection","-2886900","-2886900","Public Safety Sales Tax","Public Safety Sales Tax","Sales Tax - Contra","Sales Tax-Redirection"
"2019","Finance and Governance","Finance","Finance Revenues","Property Taxes","282553","282553","Museum","Museum","Pers Prop Tax-Current","Property Taxes"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Service Charges-Sewer","265049","265049","Water","Water","Aires Power Plant Cap Repay","Service Charges-Sewer"
"2019","Transportation and Infrastructure","Public Works","Capital Projects","Licenses & Permits","13100","13100","Street Maintenance","Street Maintenance","Dumpster Permits","Licenses & Permits"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","18000","18000","Parks and Recreation","Parks and Recreation","Comm Ctr Services","Service Charges-Parks & Rec"
"2019","Finance and Governance","Finance","Finance Revenues","Convention & Tourism Taxes Redirection","0","0","STIF Uptown","STIF Uptown","Restaurant - Contra","Convention & Tourism Taxes Redirection"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes","54380000","49500000","General Fund","General Fund","Power And Light Companies","Utility Taxes"
"2019","Finance and Governance","Finance","Finance Revenues","Other Taxes","43300","43300","STIF Linwood Shopping Center","STIF Linwood Shopping Center","Proceeds from the CID Sales Tax","Other Taxes"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Miscellaneous Revenues","0","0","Water","Water","Tax Increment Revenues","Miscellaneous Revenues"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Service Charges-Sewer","3352259","3352259","Sewer","Sewer","N Kansas City Sewer Serv Chrg","Service Charges-Sewer"
"2019","Finance and Governance","Finance","Finance Revenues","Other Taxes","0","0","STIF Uptown","STIF Uptown","EAT-Zoo","Other Taxes"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","6400","6400","Parks and Recreation","Parks and Recreation","Comm Ctr Services","Service Charges-Parks & Rec"
"2019","Finance and Governance","Finance","Finance Revenues","Other Taxes","655500","655500","STIF Midtown","STIF Midtown","EAT-County","Other Taxes"
"2019","Finance and Governance","General Services","Facilities Management","Rental Income","0","0","General Fund","General Fund","Space Rental Charges","Rental Income"
"2019","Finance and Governance","General Services","Facilities Management","Rental Income","0","0","General Fund","General Fund","Space Rental Charges","Rental Income"
"2019","Finance and Governance","Office of the City Manager","Office of Creative Services","Service Charges-General Gov't","0","0","Convention and Tourism","Convention and Tourism","Film Development Program Fee","Service Charges-General Gov't"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Golf Course Operations","Service Charges-Parks & Rec","60000","60000","Golf Operations","Golf Operations","Driving Range-Shoal Creek","Service Charges-Parks & Rec"
"2019","Public Safety","Fire","Emergency Operations","Miscellaneous Revenues","500","500","General Fund","General Fund","Misc Non-Revenue Receipts","Miscellaneous Revenues"
"2019","Finance and Governance","Finance","Finance Revenues","Miscellaneous Revenues","538900","538900","Downtown Redevelopment District Debt","Downtown Redevelopment District Debt","Tax Increment Revenues","Miscellaneous Revenues"
"2019","Public Safety","Fire","Emergency Operations","Service Charges-Health","90930","90930","General Fund","General Fund","Ambulance Fees - Riverside","Service Charges-Health"
