Parcel Number,Property Class,Property Status,Inventory Type,Zoned As,Address,City,State,Postal Code,County,Neighborhood,Council District,Sold Date,School District,Potential Use,Demo Needed,Market Value Year,Market Value,Square Footage,Property Condition,Structure Square Footage,Number of Bedrooms,Number of Full Baths,Date evaluated,Location 1,Council Districts,County Boundary,Zip Codes,Neighborhood Census
JA28930032300000000,Commercial Vacant,Disposed,Land Bank,R-0.5,3137 BENTON BLVD,KANSAS CITY,MO,64128,JACKSON,Santa Fe,3rd,02/05/2018 12:00:00 AM,KANSAS CITY MISSOURI 110,Assemblage,N,2019,12400,4356.16,Vacant lot or land - usable,,,,,"3137 BENTON BLVD
KANSAS CITY, MO 64128
(39.068409, -94.549424)",3,7,36,77
JA28920061800000000,Residential Improved,Disposed,Land Bank,R-5,3200 E 28TH ST,Kansas City,MO,64128,Jackson,Santa Fe,3rd,07/17/2015 12:00:00 AM,KANSAS CITY MISSOURI 110,Affordable Housing,Y,2014,22514,8409.927708,Structure - fair condition,,,1,02/18/2015,"3200 E 28TH ST
Kansas City, MO 64128
(39.074611, -94.545816)",3,7,36,77
JA28920131300000000,Residential Improved,Disposed,Land Bank,R-5,3200 E 30TH ST,KANSAS CITY,MO,64128,Jackson,Santa Fe,3rd,06/17/2015 12:00:00 AM,KANSAS CITY MISSOURI 110,Affordable Housing,N,2012,24146,7678.574688,Structure - severely distressed,2171,4,2,01/02/2014,"3200 E 30TH ST
KANSAS CITY, MO 64128
(39.071452, -94.546026)",3,7,36,77
JA28920011800000000,Residential Vacant,Acquired,Land Bank,R-2.5,3201 E 27th St,Kansas City,MO,64128,Jackson,Santa Fe,3rd,,Kansas City Missouri 110,Assemblage,N,2019,2200,3947.902465,Vacant lot or land - usable,,,,,"3201 E 27th St
Kansas City, MO 64128
(39.076863, -94.545722)",3,7,95,233
JA28920131200000000,Residential Vacant,Acquired,Land Bank,R-5,3201 E 29th St,Kansas City,MO,64128,Jackson,Santa Fe,3rd,,Kansas City Missouri 110,Assemblage,N,2019,4300,7695.981597,Vacant lot or land - usable,,,,,"3201 E 29th St
Kansas City, MO 64128
(39.072478, -94.545945)",3,7,36,77
JA28920061700000000,Residential Vacant,Acquired,Land Bank,R-5,3201 Lockridge St,Kansas City,MO,64128,Jackson,Santa Fe,3rd,,Kansas City Missouri 110,Assemblage,N,2019,4700,8368.189097,Vacant lot or land - usable,,,,,"3201 Lockridge St
Kansas City, MO 64128
(39.075724, -94.545769)",3,7,36,77
28-920-13-14-00-0-00-000,Residential Vacant,Disposed,KCMHA,R-5,3204 E 30TH ST,Kansas City,MO,64128.0,Jackson,Santa Fe,3rd,12/03/2014 12:00:00 AM,KANSAS CITY MISSOURI 110,Side Yard,N,,1406,7762.212292,Vacant lot or land - usable,,,,,"3204 E 30TH ST
Kansas City, MO 64128.0
(39.071444, -94.545847)",3,7,36,77
JA28920131100000000,Residential Vacant,Acquired,Land Bank,R-5,3205 E 29th St,KANSAS CITY,MO,64128,JACKSON,Santa Fe,3rd,,KANSAS CITY MISSOURI 110,,N,2020,36554,7753.64,,,,,,"3205 E 29th St
KANSAS CITY, MO 64128
(39.072467, -94.545754)",3,7,36,77
JA28920240700000000,Residential Vacant,Acquired,Land Bank,R-2.5,3207 E 30TH TER,KANSAS CITY,MO,64128,Jackson,Santa Fe,3rd,,KANSAS CITY MISSOURI 110,"Side Yard, Urban Agriculture",N,2019,1500,2701.791181,Vacant lot or land - usable,,,,01/01/2014,"3207 E 30TH TER
KANSAS CITY, MO 64128
(39.070298, -94.545546)",3,7,36,77
JA28920223600000000,Residential Vacant,Acquired,Land Bank,R-2.5,3212 E 30th Ter,Kansas City,MO,64128,Jackson,Santa Fe,3rd,,Kansas City Missouri 110,Side Yard,Y,2019,2100,3767.830451,Vacant lot or land - little or no use,,,,01/01/2014,"3212 E 30th Ter
Kansas City, MO 64128
(39.070289, -94.545332)",3,7,36,77
JA28920011300000000,Residential Improved,Disposed,Land Bank,R-2.5,3215 E 27thST,Kansas City,MO,64128,Jackson,Santa Fe,3rd,04/11/2017 12:00:00 AM,Kansas City Missouri 110,Affordable Housing,N,2014,20230,5645,Structure - fair condition,,,,,"3215 E 27thST
Kansas City, MO 64128
(39.076845, -94.545122)",3,7,95,233
JA28920131700000000,Residential Improved,Disposed,Land Bank,R-5,3216 E 30TH ST,Kansas City,MO,64128,Jackson,Santa Fe,3rd,03/14/2017 12:00:00 AM,KANSAS CITY MISSOURI 110,Affordable Housing,N,2015,37094,7775.171701,Structure - fair condition,2022,3,,12/08/2015,"3216 E 30TH ST
Kansas City, MO 64128
(39.071417, -94.545303)",3,7,36,77
JA28920220200000000,Residential Vacant,Acquired,Land Bank,R-2.5,3219 E 30th St,Kansas City,MO,64128,Jackson,Santa Fe,3rd,,Kansas City Missouri 110,Side Yard,N,2019,2350,4232.76691,Vacant lot or land - usable,,,,,"3219 E 30th St
Kansas City, MO 64128
(39.071398, -94.544912)",3,7,36,77
JA28920130700000000,Residential Improved,Disposed,Land Bank,R-5,3221 E 29TH ST,Kansas City,MO,64128,Jackson,Santa Fe,3rd,07/17/2015 12:00:00 AM,KANSAS CITY MISSOURI 110,Affordable Housing,Y,2014,31351,7741.958993,Structure - fair condition,1590,4,2,08/21/2014,"3221 E 29TH ST
Kansas City, MO 64128
(39.072426, -94.545032)",3,7,36,77
JA28930011500000000,Residential Vacant,Disposed,Land Bank,R-2.5,3222 E 32ND ST,Kansas City,MO,64128,Jackson,Santa Fe,3rd,03/25/2019 12:00:00 AM,KANSAS CITY MISSOURI 110,Side Yard,N,2015,1276,4004.496181,Vacant lot or land - usable,,,,,"3222 E 32ND ST
Kansas City, MO 64128
(39.068703, -94.544753)",3,7,36,77
JA28930082500000000,RESIDENTIAL IMPROVED,Disposed,Land Bank,R-0.5,3222 E Linwood Blvd,KANSAS CITY,MO,64128.0,JACKSON,Santa Fe,3rd,10/18/2018 12:00:00 AM,KANSAS CITY MISSOURI 110,,N,2016,20546,4625.28,Structure - fair condition,,,15,,"3222 E Linwood Blvd
KANSAS CITY, MO 64128.0
(39.067783, -94.545022)",3,7,36,77
JA28920011100000000,Residential Improved,Disposed,Land Bank,R-2.5,3229 E 27TH ST,KANSAS CITY,MO,64128,Jackson,Santa Fe,3rd,07/17/2015 12:00:00 AM,KANSAS CITY MISSOURI 110,Affordable Housing,N,2012,15441,5685.556771,Structure - good condition,976,2,1,01/01/2014,"3229 E 27TH ST
KANSAS CITY, MO 64128
(39.076838, -94.544866)",3,7,95,233
JA28920013000000000,Residential Vacant,Acquired,Land Bank,R-5,3230 Lockridge St,Kansas City,MO,64128,Jackson,Santa Fe,3rd,,Kansas City Missouri 110,Side Yard,N,2019,3450,6143.295,Vacant lot or land - usable,,,,,"3230 Lockridge St
Kansas City, MO 64128
(39.075683, -94.544399)",3,7,36,77
JA28920060600000000,Residential Improved,Disposed,Land Bank,R-5,3239 LOCKRIDGE ST,Kansas City,MO,64128,Jackson,Santa Fe,3rd,12/03/2015 12:00:00 AM,KANSAS CITY MISSOURI 110,Affordable Housing,N,2015,33228,5956.367188,Structure - fair condition,,,,,"3239 LOCKRIDGE ST
Kansas City, MO 64128
(39.075675, -94.544137)",3,7,36,77
JA28920013400000000,Residential Improved,Disposed,Land Bank,R-5,3242 Lockridge St,Kansas City,MO,64128,Jackson,Santa Fe,3rd,11/13/2015 12:00:00 AM,Kansas City Missouri 110,Affordable Housing,N,2012,1977,5844.090035,Structure - good condition,1726,5,1,01/01/2014,"3242 Lockridge St
Kansas City, MO 64128
(39.07567, -94.543966)",3,7,36,77
JA28920060500000000,Residential Vacant,Disposed,Land Bank,R-5,3243 Lockridge St,Kansas City,MO,64128,Jackson,Santa Fe,3rd,12/03/2015 12:00:00 AM,Kansas City Missouri 110,Side Yard,N,2012,1457,8567.449896,Vacant lot or land - usable,,,,,"3243 Lockridge St
Kansas City, MO 64128
(39.075671, -94.544)",3,7,36,77
JA28920010500000000,Residential Improved,Reserved,Land Bank,R-2.5,3303 E 27th ST,kansas City,MO,64128,Jackson,Santa Fe,3rd,,Kansas City Missouri 110,Affordable Housing,N,2019,28696,5720.4,Structure - severely distressed,,,1,,"3303 E 27th ST
kansas City, MO 64128
(39.076811, -94.544142)",3,7,95,233
JA28930082800000000,Commercial Improved,Disposed,Land Bank,B1-1,3304 E LINWOOD BLVD,KANSAS CITY,MO,64128,JACKSON,Santa Fe,3rd,06/14/2016 12:00:00 AM,KANSAS CITY MISSOURI 110,Commercial Use,N,2015,13731,4063.827188,Structure - fair condition,,,,,"3304 E LINWOOD BLVD
KANSAS CITY, MO 64128
(39.067772, -94.544558)",3,7,36,77
