"fy","local_government_type","muni_name","www","_351_rate","_351_revenue","_1_info_revenue","_1_info__percentage","_2_reg_revenue","_2_reg__percentage","_3_ad_revenue","_3_ad__percentage","_4_art_revenue","_4_art__percentage","_5_hist_revenue","_5_hist__percentage","_9_sign_revenue","_9_sign__pecentage","_334_rate","_334_revenue"
"2019","city","City of College Station",,"0.07","5772984.23","2053595.1","0.36",,"0","260847.4","0.05","687976","0.12","25000","0",,"0",,
"2020","city","City of College Station",,"0.07","3831430","2184587","0.57",,"0","579367","0.15","1042476","0.27","25000","0.01",,"0",,
"2018","city","City of College Station",,"0.07","5737743.07","1879589.32","0.33",,"0","416653.65","0.07","680868","0.12","25000","0",,"0",,
"2020","city","City of Schulenburg",,"0.07","174463.69","80500","0.46",,"0","40000","0.23",,"0","15000","0.09",,"0",,
"2018","city","City of Schulenburg",,"0.07","199799","77000","0.39","0","0","40000","0.2","0","0","15000","0.08","0","0",,
"2021","city","City of Schulenburg",,"0.07","175208","65500","0.37","0","0","40000","0.23","0","0","21000","0.12","0","0",,
"2017","city","City of Schulenburg","https://schulenburgtx.org/wp-content/uploads/2018/02/HOTEL-MOTEL-TRANSPARENCY.pdf",,,,,,,,,,,,,,,,
"2017","city","City of Columbus","http://www.columbustexas.net/users/0001/docs/FY%202017%20HOT%20Report.pdf",,,,,,,,,,,,,,,,
"2020","city","City of Columbus","http://www.columbustexas.net/upload/page/0219/docs/FY%202020.pdf",,,,,,,,,,,,,,,,
"2021","city","City of Columbus","http://www.columbustexas.net/upload/page/0219/docs/FY%202021.pdf",,,,,,,,,,,,,,,,
"2018","city","City of Columbus","http://www.columbustexas.net/users/0001/docs/2018HOT.pdf",,,,,,,,,,,,,,,,
"2020","city","City of Weimar",,"0.05","6928.59",,"0",,"0",,"0",,"0",,"0",,"0",,
"2017","city","City of Weimar",,"0.05","10812",,"0",,"0","1965.46","0.18","8201.23","0.76",,"0","358","0.03",,
"2021","city","City of Weimar",,"0.05","9530","1975","0.21",,"0","5500","0.58",,"0",,"0",,"0",,
"2019","city","City of Weimar",,"0.05","9377.56",,"0",,"0","1061.13","0.11",,"0",,"0",,"0",,
"2018","city","City of Weimar",,"0.05","8325",,"0",,"0","580.38","0.07",,"0",,"0",,"0",,
"2017","city","City of Somerville",,"0.04","21019","7500","0.36",,"0","13519","0.64",,"0",,"0",,"0",,
"2019","city","City of Somerville",,"0.04","17120.4","12799","0.75","0","0","0","0","0","0","0","0","0","0",,
"2020","city","City of El Campo",,"0.07","154871","154871","1",,"0",,"0",,"0",,"0",,"0",,
"2020","city","City of Caldwell",,"0.007","41757.73","4093.9","0.1","12500","0.3","900","0.02",,"0","2500","0.06","0","0",,
"2021","city","City of Caldwell","https://www.caldwelltx.gov/departments/financial-services/transparency/",,,,,,,,,,,,,,,,
"2021","county","Burleson County",,"0.02","32812.8",,,,,,,,,,,,,,
"2017","city","City of El Campo",,"0.07","136575.1","136575","1",,"0",,"0",,"0",,"0",,"0",,
"2018","city","City of El Campo",,"0.07","208752","208752","1",,"0",,"0",,"0",,"0",,"0",,
"2021","city","City of Giddings",,"0.07","171810.37","97000","0.56",,"0",,"0","53000","0.31",,"0",,"0",,
"2020","city","City of Giddings",,"0.07","189930.89","118500","0.62",,"0","96500","0.51",,"0",,"0",,"0",,
"2019","city","City of Giddings",,"0.07","216330.96","95000","0.44",,"0","65000","0.3",,"0",,"0",,"0",,
"2017","city","City of Giddings",,"0.07","169568.57","123000","0.73",,"0","72000","0.42",,"0","29107.01","0.17",,"0",,
"2018","city","City of Giddings",,"0.07","150000","65000","0.43",,"0","55000","0.37",,"0","30000","0.2",,"0",,
"2019","city","City of Wharton",,"0.07","229048","231783","1.01",,"0","43623","0.19",,"0","5000","0.02",,"0",,
"2020","city","City of Wharton",,"0.07","193717","167358","0.86",,"0","12567","0.06","5000","0.03","2500","0.01",,"0",,
"2021","city","City of Wharton",,"0.07","244533.71","227895.67","0.93",,"0","9045.28","0.04",,"0","5021.55","0.02",,"0",,
"2017","city","City of Wharton",,"0.07","279785","231399","0.83",,"0","4679.27","0.02",,"0",,"0",,"0",,
"2018","city","City of Wharton",,"0.07","376852","351950","0.93",,"0","6400","0.02",,"0","18502","0.05",,"0",,
"2021","city","City of Lake Jackson",,"0.07","421451.38","118202.47","0.28",,"0",,"0","57063.25","0.14","171189.74","0.41",,"0",,
"2019","city","City of Lake Jackson",,"0.07","510517","147719","0.29",,"0",,"0","71313","0.14","213938","0.42",,"0",,
"2020","city","City of Lake Jackson",,"0.07","384272","115769","0.3",,"0",,"0","55889","0.15","199497","0.52",,"0",,
"2017","city","City of Lake Jackson",,"0.07","539553","148625","0.28",,"0",,"0","71750","0.13","215250","0.4",,"0",,
"2018","city","City of Fayetteville",,"0.07","19713.93",,"0",,"0","17160","0.87",,"0",,"0",,"0",,
"2021","city","City of Fayetteville",,"0.07","15143.71",,"0",,"0","6913.75","0.46","1767","0.12","4680","0.31",,"0",,
"2019","city","City of Fayetteville",,"0.07","14676.69",,"0",,"0","9953.75","0.68","3000","0.2","1900","0.13",,"0",,
"2021","county","Brazos County",,"0.02","1648560.65",,,,,,,,,,,,,"0.0075","612874.72"
"2019","city","City of West Columbia",,"0.07","43185.34","21592.68","0.5",,"0","6411.17","0.15",,"0","12366.76","0.29",,"0",,
"2017","city","City of West Columbia",,"0.07","64448.56","0","0","0","0","22764.61","0.35","500","0.01","35197.52","0.55","290","0",,
"2020","city","City of West Columbia",,"0.07","40215.59","20107.8","0.5",,"0","13900","0.35",,"0","4752.04","0.12","1353","0.03",,
"2018","city","City of West Columbia",,"0.07","63222.6","31322.8","0.5",,"0","9747.9","0.15",,"0","22574.29","0.36",,"0",,
"2021","city","City of West Columbia",,"0.07","53129.68","26564.84","0.5",,"0","4862.73","0.09",,"0","21357.07","0.4",,"0",,
"2021","city","City of Brenham",,"0.07","664979","340500","0.51",,"0",,"0",,"0",,"0",,"0",,
"2020","city","City of Breham",,"0.07","509519","619302","1.22",,"0",,"0",,"0",,"0",,"0",,
"2019","city","City of Brenham",,"0.07","777391","566950","0.73",,"0","7800","0.01",,"0",,"0","10000","0.01",,
"2017","city","City of Brenham",,"0.07","617291","287000","0.46",,"0","176312","0.29","13000","0.02","26688","0.04","50000","0.08",,
"2018","city","City of Brenham",,"0.07","671998","373651","0.56",,"0","184000","0.27","13000","0.02","20000","0.03","10000","0.01",,
"2021","city","City of Bay City",,"0.07","635950.55","318489.05","0.5","0","0","245798.63","0.39","66834.66","0.11","9788.25","0.02","0","0",,
"2020","city","City of Bay City",,"0.07","78292","500","0.01","300","0","11561","0.15","0","0","0","0","0","0",,
"2021","city","City of Carmine",,"0.07","992.96",,"0",,"0",,"0",,"0",,"0",,"0",,
"2020","city","City of Carmine","http://cityofcarmine.com/mandatory-postings.html",,,,,,,,,,,,,,,,
"2021","county","Washington County",,"0.07","154058.15",,,,,,,,,,,,,,
"2021","city","Town of Round Top",,"0.07","86690.32",,"0",,"0","64380.71","0.74",,"0",,"0",,"0",,
"2020","city","City of Eagle Lake","https://www.dropbox.com/s/9hwpc3dzlxxoo7o/2021%20HOT%20Report.pdf?dl=0",,,,,,,,,,,,,,,,
"2019","city","City of Eagle Lake","https://www.dropbox.com/s/6w6xncnkviupo3i/2020%20HOT%20Report.pdf?dl=0",,,,,,,,,,,,,,,,
"2021","village","Village of Surfside Beach",,"0.04","577450.12","64305.2","0.11","0","0","92312.91","0.16","1833.32","0","31154.55","0.05","2210.49","0",,
"2017","city","City of Bryan","https://docs.bryantx.gov/fiscal/HOT-Funds-Summary-FY2017-SB1221-Report.pdf",,,,,,,,,,,,,,,,
"2020","city","City of Bryan","https://www.bryantx.gov/financial-transparency/",,,,,,,,,,,,,,,,
"2021","city","City of Bryan","https://www.bryantx.gov/financial-transparency/",,,,,,,,,,,,,,,,
"2019","city","City of Bryan","https://www.bryantx.gov/financial-transparency/",,,,,,,,,,,,,,,,
"2020","city","City of Plano",,"0.07","6725576","3623767","0.54","20597","0","1140897","0.17","998125","0.15","817443","0.12","124747","0.02",,
"2017","city","City of Plano","http://www.plano.gov/871/Transparency",,,,,,,,,,,,,,,,
"2019","city","City of Plano",,"0.07","11474715","6863216","0.6","40079","0","1576655","0.14","993357","0.09","796130","0.07","26548","0",,
"2020","city","City of Kaufman",,"0.07","45027.5","26259.96","0.58",,"0","50","0","6052.75","0.13",,"0","98","0",,
"2019","city","City of Kaufman",,"0.07","47226.04","0","0","0","0","3778.83","0.08","29529.94","0.63","0","0","1861.34","0.04",,
"2021","city","City of Kaufman",,"0.07","50720","24230","0.48","0","0","0","0","25750","0.51","0","0","0","0",,
"2018","city","City of Kaufman",,"0.07","39070.12","0","0","0","0","1809.92","0.05","26261.57","0.67","0","0","1300","0.03",,
"2017","city","City of Kaufman",,"0.07","31824.98","11516.44","0.36","0","0","843.84","0.03","9496.53","0.3","0","0","3270","0.1",,
"2021","city","City of Anna",,"0.07","0",,,,,,,,,,,,,,
"2020","city","City of Anna",,"0.07","0",,,,,,,,,,,,,,
"2021","city","City of Farmers Branch",,"0.07","1683018",,"0",,"0","1008464.39","0.6",,"0","674553.61","0.4",,"0",,
"2018","city","City of Farmers Branch",,"0.07","2849666","5768","0",,"0","958594","0.34",,"0","1885303","0.66",,"0",,
"2019","city","City of Farmers Branch",,"0.07","3115374",,"0",,"0","1648967","0.53",,"0","1466407","0.47",,"0",,
"2017","city","City of Farmers Branch",,"0.07","2892655","321640","0.11",,"0","712118","0.25","817263","0.28","1041634","0.36",,"0",,
"2020","city","City of Farmers Branch",,"0.07","1797067",,"0",,"0","722830","0.4",,"0","1071237","0.6",,"0",,
"2018","town","Town of Fairview",,"0.07","351675",,"0",,"0","137788","0.39",,"0",,"0",,"0",,
"2021","town","Town of Fairview",,"0.07","160895",,"0",,"0","118150","0.73",,"0",,"0",,"0",,
"2019","city","City of Ennis",,"0.07","414248.19","240529.98","0.58",,"0","114359.68","0.28","10000","0.02","9960","0.02","1027.5","0",,
"2021","city","City of Ennis",,"0.07","439995","223679.95","0.51",,"0","60700.89","0.14","10400","0.02","9600","0.02",,"0",,
"2018","city","City of Ennis",,"0.07","381387.08","246804.85","0.65",,"0","92333.26","0.24","12500.01","0.03","12150","0.03","775","0",,
"2020","city","City of Ennis",,"0.07","323237.48","224656.89","0.7",,"0","79985.21","0.25","11000","0.03","10000","0.03",,"0",,
"2017","city","City of Ennis",,"0.07","346009.51","190839.43","0.55",,"0","87564.77","0.25","12800","0.04","15000","0.04",,"0",,
"2021","city","City of Flower Mound",,"0.07","302907.98",,"0",,"0",,"0",,"0",,"0",,"0",,
"2017","town","Town of Flower Mound",,"0.07","4151.27",,"0",,"0",,"0",,"0",,"0",,"0",,
"2019","city","City of Flower Mound",,"0.07","349306.79",,"0",,"0",,"0",,"0",,"0",,"0",,
"2018","city","City of Flower Mound",,"0.07","294994.7",,"0",,"0",,"0",,"0",,"0",,"0",,
"2020","town","Town of Flower Mound",,"0.07","251204.19",,,,,,,,,,,,,,
"2017","town","Town of Fairview",,"0.07",,,,,,,,,,,,,,,
"2021","city","City of Nevada","https://cityofnevadatx.org",,,,,,,,,,,,,,,,
"2021","city","City of Melissa",,"0.07","0","0",,"0",,"0",,"0",,"0",,"0",,,
"2018","city","City of Farmersville",,"0.07",,,,,,,,,,,,,,,
"2019","city","City of Farmersville",,"0.07",,,,,,,,,,,,,,,
"2020","city","City of Farmersville",,"0.07","193.65",,"0",,"0",,"0",,"0",,"0",,"0",,
"2018","city","City of Duncanville",,"0.07","752062.85","14400","0.02",,"0","35577","0.05","110000","0.15",,"0",,"0",,
"2019","city","City of Duncanville",,"0.007","856600","17760","0.02",,"0","340500","0.4","91556","0.11",,"0","150000","0.18",,
"2017","city","City of Duncanville",,"0.07","745416.88","40812.4","0.05",,"0","282123.31","0.38","5400","0.01",,"0",,"0",,
"2021","city","City of Duncanville",,"0.07","848912.06","17355","0.02","45000","0.05","33909","0.04","26000","0.03",,"0",,"0",,
"2020","city","City of Duncanville",,"0.07","667184.38","51920","0.08",,"0","98023.37","0.15","42475.9","0.06",,"0",,"0",,
"2017","city","City of Midlothian","http://www.midlothian.tx.us/443/Open-Government",,,,,,,,,,,,,,,,
"2021","city","City of Rockwall",,"0.07","972939.83","197350","0.2","79941","0.08","217088.48","0.22","163498.8","0.17","18974","0.02",,"0",,
"2019","city","City of Rockwall",,"0.07","860995","120855","0.14","20000","0.02","234798","0.27","20700","0.02","32500","0.04",,"0",,
"2018","city","City of Rockwall",,"0.07","421268.85",,"0","14500","0.03","336928.52","0.8","63190.33","0.15","6650","0.02",,"0",,
"2017","city","City of Rockwall",,"0.07","421572","88646","0.21","36485","0.09","254832","0.6","29109","0.07","12500","0.03",,"0",,
"2020","city","City of Rockwall",,"0.07","778818","128455","0.16","44500","0.06","129956","0.17","59984","0.08","32470","0.04",,"0",,
"2020","city","City of Richardson","https://www.cor.net/government/transparency-initiative/traditional-finances",,,,,,,,,,,,,,,,
"2018","city","City of Richardson","https://www.cor.net/government/transparency-initiative/traditional-finances",,,,,,,,,,,,,,,,
"2017","city","City of Richardson","http://www.cor.net/government/transparency-initiative/traditional-finances",,,,,,,,,,,,,,,,
"2019","city","City of Richardson","https://www.cor.net/government/transparency-initiative/traditional-finances",,,,,,,,,,,,,,,,
"2021","city","City of Richardson","https://www.cor.net/government/transparency-initiative/traditional-finances",,,,,,,,,,,,,,,,
"2021","city","City of Princeton","https://www.princetontx.gov/",,,,,,,,,,,,,,,,
"2020","city","City of Princeton",,"0.07",,,,,,,,,,,,,,,
"2017","city","City of Irving",,"0.07","20444357.01","8963329.33","0.44","81684.53","0","6221580.52","0.3","4666653.7","0.23","511108.93","0.03",,"0","0.02","5841244.85"
"2018","city","City of Irving",,"0.07","20633507.85","9040877.48","0.44","40691.47","0","6341075.13","0.31","4695026.06","0.23","515837.71","0.03",,"0","0.02","5895287.96"
"2019","city","City of Irving",,"0.07","21563864.81","9898556.64","0.46","138552","0.01","6233017.99","0.29","4766061.29","0.22","527676.89","0.02",,"0","0.02","6161104.23"
"2020","city","City of Irving",,"0.07","12661166.9","7377016.65","0.58","56950.43","0","1860193.08","0.15","3064839.46","0.24","302167.28","0.02",,"0","0.02","3617476.26"
"2021","city","City of Irving",,"0.07","12105262.81","6791779.93","0.56","10483.81","0","2069243.09","0.17","2943547.08","0.24","290208.9","0.02",,"0","0.02","3458646.5"
"2021","city","City of Plano",,"0.07","6945359","4425277","0.64","27021","0","1075273","0.15","800000","0.12","590767","0.09","27021","0",,
"2019","city","City of Royse City",,"0.07","98051",,"0",,"0","24249","0.25","14707","0.15","10878","0.11","577","0.01",,
"2017","city","City of The Colony",,"0.07","1275279","343516","0.27",,"0","55829","0.04","300000","0.24",,"0",,"0",,
"2018","city","City of Red Oak",,"0.07","169662.28","23905.42","0.14","73667.36","0.43",,"0",,"0",,"0",,"0",,
"2017","city","City of Red Oak",,"0.07","162361","22870.24","0.14","70495.5","0.43",,"0",,"0",,"0",,"0",,
"2019","city","City of Red Oak",,"0.07","195732","41343","0.21","153771","0.79","618","0",,"0",,"0",,"0",,
"2018","town","Town of Prosper",,"0.07","0",,,,,,,,,,,,,,
"2017","town","Town of Prosper",,"0.07",,,,,,,,,,,,,,,
"2019","town","Town of Prosper",,"0.07","0",,,,,,,,,,,,,,
"2021","city","City of Prosper",,"0.07","0","0",,"0",,"0",,"0",,"0",,"0",,,
"2020","town","Town of Prosper",,"0.007","0",,,,,,,,,,,,,,
"2019","city","City of Forney","https://www.forneytx.gov/588/Taxes",,,,,,,,,,,,,,,,
"2017","city","City of Forney","http://www.cityofforney.org/781/Hotel-Occupancy-Tax-Annual-Report",,,,,,,,,,,,,,,,
"2018","city","City of Forney","http://www.cityofforney.org",,,,,,,,,,,,,,,,
"2017","city","City of Terrell",,"0.06","370673","81526","0.22","28094","0.08","108500","0.29","58722","0.16","78235","0.21","0","0",,
"2019","city","City of Terrell",,"0.07","517833","169261","0.33",,"0","119959","0.23","34404","0.07","20567","0.04",,"0",,
"2018","city","City of Mckinney",,"0.07","1690070","670000","0.4",,"0","11000","0.01","15000","0.01",,"0","6037.35","0",,
"2019","city","City of Mckinney",,"0.07","1697672.81","712000","0.42",,"0","65093.3","0.04","15000","0.01",,"0","11652.71","0.01",,
"2017","city","City of Mckinney",,"0.07","1711718","610000","0.36","0","0","10500","0.01","15000","0.01","0","0","5995","0",,
"2020","city","City of Mckinney",,"0.07","1412982","828000","0.59",,"0","51300","0.04","25000","0.02",,"0",,"0",,
"2021","city","City of Mckinney",,"0.07","1785595","878000","0.49",,"0","247000","0.14","35000","0.02","380000","0.21",,"0",,
"2020","city","City of Mclendon Chisholm",,"0.07","2056.35",,"0",,"0",,"0",,"0",,"0",,"0",,
"2020","city","City of Wylie","https://www.wylietexas.gov/departments/finance/sales_tax.php",,,,,,,,,,,,,,,,
"2021","city","City of Wylie","https://www.wylietexas.gov/departments/finance/sales_tax.php",,,,,,,,,,,,,,,,
"2019","city","City of Wylie","https://www.wylietexas.gov/Departments/Finance/FY19%20Hotel%20Tax.pdf",,,,,,,,,,,,,,,,
"2018","city","City of Wylie","https://www.wylietexas.gov/departments/finance/sales_tax.php",,,,,,,,,,,,,,,,
"2017","city","City of Wylie",,"0.07","82308.66",,"0",,"0","15000","0.18","35000","0.43",,"0",,"0",,
"2017","city","City of Italy",,"0.0825","4453.99",,"0",,"0",,"0",,"0",,"0",,"0",,
"2021","city","City of Italy",,"0.07","7255.37",,"0",,"0",,"0",,"0","7259.79","1",,"0",,
"2020","city","City of Italy",,"0.07","5078.74",,"0",,"0",,"0",,"0",,"0",,"0",,
"2019","city","City of Italy",,"0.07","9136.25",,"0",,"0",,"0",,"0",,"0",,"0",,
"2018","city","City of Italy",,"0.06","5532.93",,"0",,"0",,"0",,"0",,"0",,"0",,
"2021","city","City of Carrollton",,"0.07","349527",,"0",,"0","229150","0.66",,"0",,"0",,"0",,
"2020","city","City of Carrollton",,"0.07","413595",,"0",,"0","413595","1",,"0",,"0",,"0",,
"2019","city","City of Carrollton",,"0.07","510427.87",,"0",,"0","510427.87","1",,"0",,"0",,"0",,
"2018","city","City of Carrollton",,"0.07","539529.92",,"0",,"0","539529.92","1",,"0",,"0",,"0",,
"2020","city","City of Addison",,"0.07","3240946.23","796480.45","0.25",,"0","1707727.4","0.53","736738.38","0.23",,"0",,"0",,
"2018","city","City of Addison",,"0.07","5552084.09","960041.47","0.17","0","0","3780153.74","0.68","797603.32","0.14","0","0","0","0",,
"2019","city","City of Addison",,"0.07","5427585.47","956507.48","0.18",,"0","3709691.68","0.68","761386.31","0.14",,"0",,"0",,
"2017","city","City of Addison",,"0.07","5954703.46","1211293.25","0.2","0","0","3599542.77","0.6","871971.44","0.15","0","0","0","0",,
"2021","city","City of Addison",,"0.07","2523560.47","242198.51","0.1",,"0","1729053.18","0.69","552308.78","0.22",,"0",,"0",,
"2019","city","City of Rowlett",,"0.07","71456.35",,"0",,"0","1931.49","0.03","60141.97","0.84",,"0",,"0",,
"2018","city","City of Rowlett",,"0.07","84717.38",,"0",,"0","53986.66","0.64","60154.95","0.71",,"0",,"0",,
"2021","city","City of Rowlett",,"0.07","84284.2",,"0",,"0","1.94","0","66550.08","0.79",,"0",,"0",,
"2020","city","City of Rowlett",,"0.07","16257.27",,"0",,"0","660.95","0.04","24339.05","1.5",,"0",,"0",,
"2017","city","City of Rowlett",,"0.07","92408.66",,"0",,"0","5846.97","0.06","10311.77","0.11",,"0",,"0",,
"2020","city","City of Coppell",,"0.07","423779.71","181184.33","0.43","0","0","0","0","3400","0.01","0","0","0","0",,
"2019","city","City of Coppell",,"0.07","330562.41","323914.74","0.98",,"0",,"0",,"0",,"0",,"0",,
"2021","city","City of Coppell",,"0.07","344743.66","60957.48","0.18","0","0","0","0","31600","0.09","0","0","0","0",,
"2017","city","City of Coppell",,"0.07","155108.69","0","0","0","0","0","0","0","0","0","0","0","0",,
"2018","city","City of Coppell",,"0.07","310575.08","310575.08","1","0","0","0","0","0","0","0","0","0","0",,
"2020","town","Town of Lakewood Village",,"0.09","3593.25",,"0",,"0",,"0",,"0",,"0",,"0",,
"2019","town","Town of Lakewood Village",,"0.09","1540.54",,"0",,"0","385.54","0.25",,"0",,"0","1155","0.75",,
"2021","city","City of Lakewood Village",,"0.09","6816.15",,"0",,"0","4926.71","0.72",,"0",,"0",,"0",,
"2017","town","Town of Lakewood Village",,"0.09",,,,,,,,,,,,,,,
"2021","city","City of Oak Point",,"0.07","1003.6",,"0",,"0","501.8","0.5",,"0",,"0","501.8","0.5",,
"2017","city","City of Frisco",,"0.07","4829349.85","1700949","0.35","1680","0","433216.73","0.09","125000","0.03",,"0",,"0",,
"2017","city","City of Cedar Hill",,"0.07","301690","19013","0.06",,"0","156635","0.52","8358","0.03","2271","0.01",,"0",,
"2018","city","City of Seagoville",,"0.04","22646",,"0",,"0","22646","1",,"0",,"0",,"0",,
"2019","city","City of Seagoville",,"0.04","49891",,"0",,"0","49891","1",,"0",,"0",,"0",,
"2017","city","City of Seagoville",,"0.04","40480.21",,"0",,"0","40480.21","1",,"0",,"0",,"0",,
"2020","city","City of Seagoville",,"0.04","20852.76","15000","0.72",,"0",,"0",,"0",,"0",,"0",,
"2021","city","City of Seagoville",,"0.04","26370.09","21000","0.8",,"0",,"0",,"0",,"0",,"0",,
"2021","city","City of Balch Springs",,"0.07","152761.28","37469.42","0.25",,"0",,"0","760.87","0.01",,"0",,"0",,
"2020","city","City of Balch Springs",,"0.07","119615.36","30231.37","0.25",,"0","3255.81","0.03",,"0","48000","0.4",,"0",,
"2017","city","City of Bach Springs",,"0.07","90386.08","15246","0.17",,"0","484.1","0.01","6111.89","0.07","2500","0.03",,"0",,
"2018","city","City of Balch Springs",,"0.07","81786.42","31675.12","0.39",,"0","209.45","0","4041.28","0.05","10776.95","0.13",,"0",,
"2019","city","City of Balch Springs",,"0.07","95081.35","34898.75","0.37",,"0","2247.49","0.02","4255.83","0.04","27500","0.29",,"0",,
"2019","city","City of Grand Prairie",,"0.07","1920318","1244000","0.65",,"0","494818","0.26","166500","0.09","15000","0.01",,"0",,
"2016","city","City of Grand Prairie",,"0.07","1834473","742683","0.4",,"0","895193","0.49","154000","0.08","11207","0.01","31526","0.02",,
"2018","city","City of Grand Prairie",,"0.07","1776781","672221","0.38",,"0","928060","0.52","166500","0.09","10000","0.01",,"0",,
"2017","city","City of Desoto",,"0.07","903183","186460","0.21",,"0","45000","0.05","87139.43","0.1",,"0","10000","0.01",,
"2020","city","City of Desoto",,"0.06","894319.5","317992","0.36","19987","0.02","26974","0.03","97844","0.11","136790","0.15","43718","0.05",,
