"fiscal_year","county","region","race_ethnicity","children_served_in_fbss_family_preservation_services","children_served_with_duplications_by_stage"
"2021","Bexar","8-San Antonio","Asian","15","18"
"2021","Bexar","8-San Antonio","Hispanic","6320","6421"
"2021","Bexar","8-San Antonio","Native American","3","3"
"2021","Bexar","8-San Antonio","Other","351","353"
"2021","Blanco","7-Austin","Anglo","1","1"
"2021","Blanco","7-Austin","Other","4","4"
"2021","Borden","9-Midland","Anglo","3","3"
"2021","Borden","9-Midland","Hispanic","2","2"
"2021","Bosque","7-Austin","Anglo","10","10"
"2021","Bosque","7-Austin","Hispanic","7","7"
"2021","Bosque","7-Austin","Other","4","4"
"2021","Bowie","4-Tyler","African American","94","94"
"2021","Bowie","4-Tyler","Anglo","87","88"
"2021","Bowie","4-Tyler","Hispanic","11","11"
"2021","Bowie","4-Tyler","Other","44","45"
"2021","Brazoria","6-Houston","African American","98","98"
"2021","Brazoria","6-Houston","Anglo","329","334"
"2021","Brazoria","6-Houston","Asian","6","6"
"2021","Brazoria","6-Houston","Hispanic","401","408"
"2021","Brazoria","6-Houston","Other","71","72"
"2021","Brazos","7-Austin","African American","67","67"
"2021","Brazos","7-Austin","Anglo","10","10"
"2021","Brazos","7-Austin","Hispanic","53","53"
"2021","Brazos","7-Austin","Other","6","6"
"2021","Brewster","10-El Paso","African American","2","2"
"2021","Brewster","10-El Paso","Anglo","4","4"
"2021","Brewster","10-El Paso","Hispanic","34","34"
"2021","Brewster","10-El Paso","Other","1","1"
"2021","Brooks","11-Edinburg","Anglo","1","1"
"2021","Brooks","11-Edinburg","Hispanic","83","87"
"2021","Brown","2-Abilene","African American","7","7"
"2021","Brown","2-Abilene","Anglo","102","102"
"2021","Brown","2-Abilene","Hispanic","54","54"
"2021","Brown","2-Abilene","Other","7","7"
"2021","Burleson","7-Austin","African American","1","1"
"2021","Burleson","7-Austin","Anglo","4","4"
"2021","Burleson","7-Austin","Other","1","1"
"2021","Burnet","7-Austin","African American","6","6"
"2021","Burnet","7-Austin","Anglo","54","54"
"2021","Burnet","7-Austin","Hispanic","26","27"
"2021","Burnet","7-Austin","Other","2","2"
"2021","Caldwell","7-Austin","African American","3","3"
"2021","Caldwell","7-Austin","Anglo","41","41"
"2021","Caldwell","7-Austin","Hispanic","103","108"
"2021","Caldwell","7-Austin","Other","17","17"
"2021","Calhoun","8-San Antonio","African American","1","1"
"2021","Calhoun","8-San Antonio","Anglo","23","24"
"2021","Calhoun","8-San Antonio","Hispanic","39","39"
"2021","Calhoun","8-San Antonio","Other","8","8"
"2021","Callahan","2-Abilene","African American","1","2"
"2021","Callahan","2-Abilene","Anglo","21","24"
"2021","Callahan","2-Abilene","Hispanic","3","3"
"2021","Callahan","2-Abilene","Other","1","1"
"2021","Cameron","11-Edinburg","Anglo","29","30"
"2021","Cameron","11-Edinburg","Asian","3","3"
"2021","Cameron","11-Edinburg","Hispanic","702","708"
"2021","Cameron","11-Edinburg","Other","14","14"
"2021","Camp","4-Tyler","African American","8","8"
"2021","Camp","4-Tyler","Anglo","24","25"
"2021","Camp","4-Tyler","Other","7","7"
"2021","Carson","1-Lubbock","Anglo","12","13"
"2021","Carson","1-Lubbock","Hispanic","5","5"
"2021","Cass","4-Tyler","African American","8","8"
"2021","Cass","4-Tyler","Anglo","63","70"
"2021","Cass","4-Tyler","Hispanic","5","5"
"2021","Cass","4-Tyler","Other","13","13"
"2021","Castro","1-Lubbock","Anglo","2","2"
"2021","Castro","1-Lubbock","Hispanic","19","19"
"2021","Chambers","6-Houston","African American","4","4"
"2021","Chambers","6-Houston","Anglo","33","33"
"2021","Chambers","6-Houston","Hispanic","6","6"
"2021","Chambers","6-Houston","Other","4","4"
"2021","Cherokee","4-Tyler","African American","31","31"
"2021","Cherokee","4-Tyler","Anglo","82","83"
"2021","Cherokee","4-Tyler","Hispanic","33","33"
"2021","Cherokee","4-Tyler","Other","21","21"
"2021","Childress","1-Lubbock","African American","5","5"
"2021","Childress","1-Lubbock","Anglo","23","23"
"2021","Childress","1-Lubbock","Hispanic","11","11"
"2021","Childress","1-Lubbock","Other","8","8"
"2021","Clay","2-Abilene","Anglo","41","45"
"2021","Clay","2-Abilene","Hispanic","5","5"
"2021","Clay","2-Abilene","Other","5","5"
"2021","Cochran","1-Lubbock","Anglo","1","1"
"2021","Cochran","1-Lubbock","Hispanic","10","18"
"2021","Cochran","1-Lubbock","Other","1","2"
"2021","Coke","9-Midland","Anglo","7","7"
"2021","Coke","9-Midland","Hispanic","4","4"
"2021","Coke","9-Midland","Other","4","7"
"2021","Coleman","2-Abilene","Anglo","17","17"
"2021","Coleman","2-Abilene","Hispanic","10","10"
"2021","Coleman","2-Abilene","Other","3","3"
"2021","Collin","3-Arlington","African American","192","201"
"2021","Collin","3-Arlington","Anglo","281","287"
"2021","Collin","3-Arlington","Asian","13","13"
"2021","Collin","3-Arlington","Hispanic","205","205"
"2021","Collin","3-Arlington","Native American","1","1"
"2021","Collin","3-Arlington","Other","75","75"
"2021","Collingsworth","1-Lubbock","Anglo","5","5"
"2021","Collingsworth","1-Lubbock","Hispanic","7","7"
"2021","Colorado","6-Houston","African American","19","19"
"2021","Colorado","6-Houston","Anglo","1","1"
"2021","Colorado","6-Houston","Hispanic","7","7"
"2021","Colorado","6-Houston","Other","3","3"
"2021","Comal","8-San Antonio","African American","8","8"
"2021","Comal","8-San Antonio","Anglo","157","157"
"2021","Comal","8-San Antonio","Asian","1","1"
"2021","Comal","8-San Antonio","Hispanic","162","162"
"2021","Comal","8-San Antonio","Other","12","12"
"2021","Comanche","2-Abilene","Anglo","18","18"
"2021","Comanche","2-Abilene","Hispanic","10","10"
"2021","Concho","9-Midland","African American","2","2"
"2021","Concho","9-Midland","Anglo","5","5"
"2021","Concho","9-Midland","Hispanic","6","6"
"2021","Cooke","3-Arlington","African American","5","5"
"2021","Cooke","3-Arlington","Anglo","66","66"
"2021","Cooke","3-Arlington","Asian","1","1"
"2021","Cooke","3-Arlington","Hispanic","45","45"
"2021","Cooke","3-Arlington","Native American","2","2"
"2021","Cooke","3-Arlington","Other","14","14"
"2021","Coryell","7-Austin","African American","31","31"
"2021","Coryell","7-Austin","Anglo","76","79"
"2021","Coryell","7-Austin","Hispanic","50","52"
"2021","Coryell","7-Austin","Other","12","13"
"2021","Crane","9-Midland","Hispanic","2","2"
"2021","Crockett","9-Midland","Hispanic","15","15"
"2021","Crockett","9-Midland","Other","1","1"
"2021","Crosby","1-Lubbock","Anglo","2","2"
"2021","Crosby","1-Lubbock","Hispanic","18","18"
"2021","Crosby","1-Lubbock","Other","2","2"
"2021","Culberson","10-El Paso","Anglo","1","1"
"2021","Culberson","10-El Paso","Hispanic","12","12"
"2021","Dallam","1-Lubbock","Anglo","9","9"
"2021","Dallam","1-Lubbock","Hispanic","24","24"
"2021","Dallam","1-Lubbock","Other","1","1"
"2021","Dallas","3-Arlington","African American","2106","2129"
"2021","Dallas","3-Arlington","Anglo","485","495"
"2021","Dallas","3-Arlington","Asian","43","43"
"2021","Dallas","3-Arlington","Hispanic","2013","2027"
"2021","Dallas","3-Arlington","Native American","2","2"
"2021","Dallas","3-Arlington","Other","270","270"
"2021","Dawson","9-Midland","African American","2","2"
"2021","Dawson","9-Midland","Anglo","6","6"
"2021","Dawson","9-Midland","Hispanic","25","26"
"2021","Deaf Smith","1-Lubbock","Anglo","7","7"
"2021","Deaf Smith","1-Lubbock","Hispanic","77","77"
"2021","Delta","4-Tyler","African American","1","1"
"2021","Delta","4-Tyler","Anglo","6","6"
"2021","Denton","3-Arlington","African American","216","216"
"2021","Denton","3-Arlington","Anglo","303","305"
"2021","Denton","3-Arlington","Asian","11","11"
"2021","Denton","3-Arlington","Hispanic","266","271"
"2021","Denton","3-Arlington","Other","70","70"
"2021","DeWitt","8-San Antonio","African American","6","6"
"2021","DeWitt","8-San Antonio","Anglo","13","13"
"2021","DeWitt","8-San Antonio","Hispanic","43","43"
"2021","DeWitt","8-San Antonio","Other","5","5"
"2021","Dickens","1-Lubbock","Anglo","2","2"
"2021","Dimmit","8-San Antonio","Anglo","3","3"
"2021","Dimmit","8-San Antonio","Hispanic","61","61"
"2021","Dimmit","8-San Antonio","Other","1","1"
"2021","Donley","1-Lubbock","African American","4","4"
"2021","Donley","1-Lubbock","Anglo","11","11"
"2021","Donley","1-Lubbock","Hispanic","4","4"
"2021","Duval","11-Edinburg","Hispanic","84","89"
"2021","Duval","11-Edinburg","Other","3","3"
"2021","Eastland","2-Abilene","African American","13","13"
"2021","Eastland","2-Abilene","Anglo","39","39"
"2021","Eastland","2-Abilene","Hispanic","10","10"
"2021","Eastland","2-Abilene","Other","2","2"
"2021","Ector","9-Midland","African American","20","21"
"2021","Ector","9-Midland","Anglo","120","122"
"2021","Ector","9-Midland","Hispanic","316","319"
"2021","Ector","9-Midland","Other","19","19"
"2021","Edwards","8-San Antonio","Hispanic","5","5"
"2021","Ellis","3-Arlington","African American","40","40"
"2021","Ellis","3-Arlington","Anglo","165","166"
"2021","Ellis","3-Arlington","Hispanic","107","107"
"2021","Ellis","3-Arlington","Other","30","30"
"2021","El Paso","10-El Paso","African American","89","96"
"2021","El Paso","10-El Paso","Anglo","162","164"
"2021","El Paso","10-El Paso","Hispanic","1960","1996"
"2021","El Paso","10-El Paso","Native American","10","10"
"2021","El Paso","10-El Paso","Other","69","69"
"2021","Erath","3-Arlington","African American","1","1"
"2021","Erath","3-Arlington","Anglo","86","86"
"2021","Erath","3-Arlington","Hispanic","52","52"
"2021","Erath","3-Arlington","Other","3","3"
"2021","Falls","7-Austin","African American","14","14"
"2021","Falls","7-Austin","Anglo","7","7"
"2021","Falls","7-Austin","Hispanic","7","7"
"2021","Falls","7-Austin","Other","3","3"
"2021","Fannin","3-Arlington","African American","7","7"
"2021","Fannin","3-Arlington","Anglo","67","67"
"2021","Fannin","3-Arlington","Hispanic","8","8"
"2021","Fannin","3-Arlington","Other","7","7"
"2021","Fayette","7-Austin","African American","7","7"
"2021","Fayette","7-Austin","Anglo","24","24"
"2021","Fayette","7-Austin","Hispanic","9","9"
"2021","Fayette","7-Austin","Other","5","5"
"2021","Fisher","2-Abilene","Anglo","8","8"
"2021","Fisher","2-Abilene","Hispanic","5","5"
"2021","Floyd","1-Lubbock","Hispanic","24","24"
"2021","Foard","2-Abilene","Anglo","2","2"
"2021","Fort Bend","6-Houston","African American","219","222"
"2021","Fort Bend","6-Houston","Anglo","98","98"
"2021","Fort Bend","6-Houston","Asian","22","22"
"2021","Fort Bend","6-Houston","Hispanic","329","331"
"2021","Fort Bend","6-Houston","Native American","1","1"
"2021","Fort Bend","6-Houston","Other","30","30"
"2021","Franklin","4-Tyler","African American","5","7"
"2021","Franklin","4-Tyler","Anglo","13","13"
"2021","Franklin","4-Tyler","Hispanic","5","5"
"2021","Franklin","4-Tyler","Other","4","4"
"2021","Freestone","7-Austin","African American","1","1"
"2021","Freestone","7-Austin","Anglo","6","6"
"2021","Freestone","7-Austin","Hispanic","2","2"
"2021","Freestone","7-Austin","Other","3","3"
"2021","Frio","8-San Antonio","Anglo","11","11"
"2021","Frio","8-San Antonio","Hispanic","97","97"
"2021","Frio","8-San Antonio","Other","11","11"
"2021","Gaines","9-Midland","Anglo","7","7"
"2021","Gaines","9-Midland","Hispanic","28","28"
"2021","Galveston","6-Houston","African American","306","308"
"2021","Galveston","6-Houston","Anglo","424","430"
"2021","Galveston","6-Houston","Asian","2","2"
"2021","Galveston","6-Houston","Hispanic","384","390"
"2021","Galveston","6-Houston","Native American","6","6"
"2021","Galveston","6-Houston","Other","90","92"
"2021","Garza","1-Lubbock","Anglo","9","9"
"2021","Garza","1-Lubbock","Hispanic","6","6"
"2021","Gillespie","8-San Antonio","Anglo","25","25"
"2021","Gillespie","8-San Antonio","Hispanic","40","46"
"2021","Gillespie","8-San Antonio","Other","3","3"
"2021","Goliad","8-San Antonio","African American","12","12"
"2021","Goliad","8-San Antonio","Anglo","13","13"
"2021","Goliad","8-San Antonio","Hispanic","12","12"
"2021","Goliad","8-San Antonio","Other","1","1"
"2021","Gonzales","8-San Antonio","Anglo","8","8"
"2021","Gonzales","8-San Antonio","Hispanic","28","28"
"2021","Gonzales","8-San Antonio","Other","1","1"
"2021","Gray","1-Lubbock","African American","3","3"
"2021","Gray","1-Lubbock","Anglo","50","50"
"2021","Gray","1-Lubbock","Asian","1","1"
"2021","Gray","1-Lubbock","Hispanic","53","53"
"2021","Gray","1-Lubbock","Other","7","7"
"2021","Grayson","3-Arlington","African American","29","29"
"2021","Grayson","3-Arlington","Anglo","165","170"
"2021","Grayson","3-Arlington","Hispanic","35","35"
"2021","Grayson","3-Arlington","Native American","1","1"
"2021","Grayson","3-Arlington","Other","27","27"
"2021","Gregg","4-Tyler","African American","150","156"
"2021","Gregg","4-Tyler","Anglo","148","148"
"2021","Gregg","4-Tyler","Asian","1","1"
"2021","Gregg","4-Tyler","Hispanic","46","46"
"2021","Gregg","4-Tyler","Other","30","30"
"2021","Grimes","7-Austin","African American","14","14"
"2021","Grimes","7-Austin","Anglo","2","2"
"2021","Grimes","7-Austin","Other","3","3"
"2021","Guadalupe","8-San Antonio","African American","24","25"
"2021","Guadalupe","8-San Antonio","Anglo","99","99"
"2021","Guadalupe","8-San Antonio","Hispanic","171","173"
"2021","Guadalupe","8-San Antonio","Other","17","17"
"2021","Hale","1-Lubbock","African American","6","6"
"2021","Hale","1-Lubbock","Anglo","27","29"
"2021","Hale","1-Lubbock","Hispanic","144","146"
"2021","Hale","1-Lubbock","Other","5","5"
"2021","Hall","1-Lubbock","African American","5","5"
"2021","Hall","1-Lubbock","Anglo","2","2"
"2021","Hall","1-Lubbock","Hispanic","20","20"
"2021","Hall","1-Lubbock","Other","1","1"
"2021","Hamilton","7-Austin","Anglo","20","20"
"2021","Hansford","1-Lubbock","Anglo","3","3"
"2021","Hardeman","2-Abilene","Anglo","5","5"
"2021","Hardin","5-Beaumont","African American","1","1"
"2021","Hardin","5-Beaumont","Anglo","44","44"
"2021","Hardin","5-Beaumont","Hispanic","6","6"
"2021","Hardin","5-Beaumont","Other","3","3"
"2021","Harris","6-Houston","African American","3012","3046"
"2021","Harris","6-Houston","Anglo","1012","1030"
"2021","Harris","6-Houston","Asian","51","51"
"2021","Harris","6-Houston","Hispanic","3654","3687"
"2021","Harris","6-Houston","Other","444","448"
"2021","Harrison","4-Tyler","African American","56","56"
"2021","Harrison","4-Tyler","Anglo","72","72"
"2021","Harrison","4-Tyler","Hispanic","17","17"
"2021","Harrison","4-Tyler","Other","14","14"
"2021","Hartley","1-Lubbock","Anglo","8","8"
"2021","Hartley","1-Lubbock","Hispanic","2","2"
"2021","Haskell","2-Abilene","Anglo","6","7"
"2021","Haskell","2-Abilene","Other","1","1"
"2021","Hays","7-Austin","African American","13","14"
"2021","Hays","7-Austin","Anglo","68","69"
"2021","Hays","7-Austin","Asian","1","1"
"2021","Hays","7-Austin","Hispanic","194","196"
"2021","Hays","7-Austin","Other","9","11"
"2021","Hemphill","1-Lubbock","Anglo","5","5"
"2021","Henderson","4-Tyler","African American","19","19"
"2021","Henderson","4-Tyler","Anglo","164","164"
"2021","Henderson","4-Tyler","Hispanic","48","48"
"2021","Henderson","4-Tyler","Other","11","11"
"2021","Hidalgo","11-Edinburg","Anglo","25","25"
"2021","Hidalgo","11-Edinburg","Hispanic","1720","1725"
"2021","Hidalgo","11-Edinburg","Other","18","18"
"2021","Hill","7-Austin","African American","9","9"
"2021","Hill","7-Austin","Anglo","40","40"
"2021","Hill","7-Austin","Hispanic","11","11"
"2021","Hill","7-Austin","Other","2","2"
"2021","Hockley","1-Lubbock","African American","6","7"
"2021","Hockley","1-Lubbock","Anglo","18","18"
"2021","Hockley","1-Lubbock","Hispanic","92","92"
"2021","Hockley","1-Lubbock","Other","8","8"
"2021","Hood","3-Arlington","African American","2","2"
"2021","Hood","3-Arlington","Anglo","106","110"
"2021","Hood","3-Arlington","Hispanic","33","33"
"2021","Hood","3-Arlington","Native American","3","3"
"2021","Hood","3-Arlington","Other","26","26"
"2021","Hopkins","4-Tyler","African American","10","10"
"2021","Hopkins","4-Tyler","Anglo","46","46"
"2021","Hopkins","4-Tyler","Hispanic","11","11"
"2021","Hopkins","4-Tyler","Other","7","7"
"2021","Houston","5-Beaumont","African American","13","13"
"2021","Houston","5-Beaumont","Anglo","23","23"
"2021","Houston","5-Beaumont","Hispanic","12","12"
"2021","Houston","5-Beaumont","Other","5","5"
"2021","Howard","9-Midland","Anglo","51","51"
"2021","Howard","9-Midland","Hispanic","34","34"
"2021","Howard","9-Midland","Other","3","3"
"2021","Hudspeth","10-El Paso","Anglo","6","6"
"2021","Hudspeth","10-El Paso","Hispanic","5","5"
"2021","Hudspeth","10-El Paso","Other","1","1"
"2021","Hunt","3-Arlington","African American","25","25"
"2021","Hunt","3-Arlington","Anglo","101","105"
"2021","Hunt","3-Arlington","Hispanic","41","41"
"2021","Hunt","3-Arlington","Other","20","20"
"2021","Hutchinson","1-Lubbock","African American","1","1"
"2021","Hutchinson","1-Lubbock","Anglo","92","93"
"2021","Hutchinson","1-Lubbock","Hispanic","30","30"
"2021","Hutchinson","1-Lubbock","Other","1","1"
"2021","Irion","9-Midland","Hispanic","4","4"
"2021","Jack","2-Abilene","Anglo","13","14"
"2021","Jack","2-Abilene","Hispanic","6","6"
"2021","Jackson","8-San Antonio","African American","4","4"
"2021","Jackson","8-San Antonio","Anglo","16","16"
"2021","Jackson","8-San Antonio","Hispanic","26","26"
"2021","Jackson","8-San Antonio","Other","5","8"
"2021","Jasper","5-Beaumont","African American","5","5"
"2021","Jasper","5-Beaumont","Anglo","57","57"
"2021","Jasper","5-Beaumont","Hispanic","9","13"
"2021","Jasper","5-Beaumont","Other","10","10"
"2021","Jeff Davis","10-El Paso","Hispanic","2","2"
"2021","Jefferson","5-Beaumont","African American","242","243"
"2021","Jefferson","5-Beaumont","Anglo","96","98"
"2021","Jefferson","5-Beaumont","Asian","1","1"
"2021","Jefferson","5-Beaumont","Hispanic","49","49"
"2021","Jefferson","5-Beaumont","Other","15","15"
"2021","Jim Hogg","11-Edinburg","Anglo","1","1"
"2021","Jim Hogg","11-Edinburg","Hispanic","45","45"
"2021","Jim Hogg","11-Edinburg","Other","2","2"
"2021","Jim Wells","11-Edinburg","Anglo","22","22"
"2021","Jim Wells","11-Edinburg","Hispanic","217","217"
"2021","Jim Wells","11-Edinburg","Other","5","5"
"2021","Johnson","3-Arlington","African American","18","18"
"2021","Johnson","3-Arlington","Anglo","391","396"
"2021","Johnson","3-Arlington","Asian","3","3"
"2021","Johnson","3-Arlington","Hispanic","97","99"
"2021","Johnson","3-Arlington","Native American","1","1"
"2021","Johnson","3-Arlington","Other","50","52"
"2021","Jones","2-Abilene","Anglo","25","25"
"2021","Jones","2-Abilene","Hispanic","27","27"
"2021","Jones","2-Abilene","Other","3","3"
"2021","Karnes","8-San Antonio","Anglo","1","1"
"2021","Karnes","8-San Antonio","Hispanic","32","32"
"2021","Karnes","8-San Antonio","Other","1","1"
"2021","Kaufman","3-Arlington","African American","172","178"
"2021","Kaufman","3-Arlington","Anglo","242","245"
"2021","Kaufman","3-Arlington","Asian","3","3"
"2021","Kaufman","3-Arlington","Hispanic","93","95"
"2021","Kaufman","3-Arlington","Other","45","46"
"2021","Kendall","8-San Antonio","Anglo","29","29"
"2021","Kendall","8-San Antonio","Hispanic","18","18"
"2021","Kendall","8-San Antonio","Other","4","4"
"2021","Kerr","8-San Antonio","African American","1","1"
"2021","Kerr","8-San Antonio","Anglo","94","94"
"2021","Kerr","8-San Antonio","Hispanic","69","69"
"2021","Kerr","8-San Antonio","Other","6","6"
"2021","Kimble","9-Midland","Hispanic","7","10"
"2021","Kinney","8-San Antonio","Anglo","5","5"
"2021","Kinney","8-San Antonio","Hispanic","7","7"
"2021","Kleberg","11-Edinburg","African American","2","2"
"2021","Kleberg","11-Edinburg","Anglo","12","12"
"2021","Kleberg","11-Edinburg","Hispanic","174","175"
"2021","Kleberg","11-Edinburg","Other","6","6"
"2021","Knox","2-Abilene","Anglo","3","3"
"2021","Knox","2-Abilene","Hispanic","6","6"
"2021","Lamar","4-Tyler","African American","76","76"
"2021","Lamar","4-Tyler","Anglo","128","128"
"2021","Lamar","4-Tyler","Hispanic","16","16"
"2021","Lamar","4-Tyler","Native American","1","1"
"2021","Lamar","4-Tyler","Other","38","38"
"2021","Lamb","1-Lubbock","African American","2","2"
"2021","Lamb","1-Lubbock","Anglo","11","11"
"2021","Lamb","1-Lubbock","Hispanic","44","44"
"2021","Lamb","1-Lubbock","Other","1","1"
"2021","Lampasas","7-Austin","African American","2","2"
"2021","Lampasas","7-Austin","Anglo","28","29"
"2021","Lampasas","7-Austin","Hispanic","20","20"
"2021","Lampasas","7-Austin","Other","2","2"
"2021","La Salle","8-San Antonio","Anglo","3","3"
"2021","La Salle","8-San Antonio","Hispanic","45","45"
"2021","Lavaca","8-San Antonio","African American","4","4"
"2021","Lavaca","8-San Antonio","Anglo","28","28"
"2021","Lavaca","8-San Antonio","Hispanic","20","20"
"2021","Lavaca","8-San Antonio","Other","7","7"
"2021","Lee","7-Austin","African American","10","10"
"2021","Lee","7-Austin","Anglo","4","4"
"2021","Lee","7-Austin","Hispanic","7","7"
"2021","Lee","7-Austin","Other","3","3"
"2021","Leon","7-Austin","Anglo","4","4"
"2021","Leon","7-Austin","Asian","4","4"
"2021","Liberty","6-Houston","African American","12","12"
"2021","Liberty","6-Houston","Anglo","73","74"
"2021","Liberty","6-Houston","Hispanic","38","38"
"2021","Liberty","6-Houston","Other","7","7"
"2021","Limestone","7-Austin","African American","12","12"
"2021","Limestone","7-Austin","Anglo","17","17"
"2021","Limestone","7-Austin","Hispanic","2","2"
"2021","Limestone","7-Austin","Other","7","7"
"2021","Lipscomb","1-Lubbock","Anglo","10","10"
"2021","Lipscomb","1-Lubbock","Hispanic","6","6"
"2021","Live Oak","11-Edinburg","African American","1","1"
"2021","Live Oak","11-Edinburg","Anglo","4","4"
"2021","Live Oak","11-Edinburg","Hispanic","31","31"
"2021","Live Oak","11-Edinburg","Other","1","1"
"2021","Llano","7-Austin","African American","1","1"
"2021","Llano","7-Austin","Anglo","51","54"
"2021","Llano","7-Austin","Hispanic","14","14"
"2021","Llano","7-Austin","Other","13","13"
"2021","Lubbock","1-Lubbock","African American","162","166"
"2021","Lubbock","1-Lubbock","Anglo","278","278"
"2021","Lubbock","1-Lubbock","Asian","6","6"
"2021","Lubbock","1-Lubbock","Hispanic","652","667"
"2021","Lubbock","1-Lubbock","Native American","2","2"
"2021","Lubbock","1-Lubbock","Other","68","76"
"2021","Lynn","1-Lubbock","Hispanic","21","21"
"2021","Madison","7-Austin","African American","4","4"
"2021","Madison","7-Austin","Anglo","10","10"
"2021","Madison","7-Austin","Other","1","1"
"2021","Marion","4-Tyler","African American","2","2"
"2021","Marion","4-Tyler","Anglo","26","26"
"2021","Marion","4-Tyler","Other","5","5"
"2021","Martin","9-Midland","Hispanic","5","5"
"2021","Matagorda","6-Houston","African American","33","33"
"2021","Matagorda","6-Houston","Anglo","33","33"
"2021","Matagorda","6-Houston","Hispanic","85","88"
"2021","Matagorda","6-Houston","Other","11","11"
"2021","Maverick","8-San Antonio","Anglo","5","5"
"2021","Maverick","8-San Antonio","Hispanic","147","155"
"2021","Maverick","8-San Antonio","Other","2","2"
"2021","McCulloch","9-Midland","Anglo","15","15"
"2021","McCulloch","9-Midland","Hispanic","12","12"
"2021","McLennan","7-Austin","African American","231","236"
"2021","McLennan","7-Austin","Anglo","160","161"
"2021","McLennan","7-Austin","Hispanic","277","277"
"2021","McLennan","7-Austin","Other","59","63"
"2021","McMullen","11-Edinburg","Anglo","1","1"
"2021","Medina","8-San Antonio","African American","4","4"
"2021","Medina","8-San Antonio","Anglo","59","61"
"2021","Medina","8-San Antonio","Hispanic","181","184"
"2021","Medina","8-San Antonio","Other","13","13"
"2021","Menard","9-Midland","Anglo","2","2"
"2021","Midland","9-Midland","African American","58","59"
"2021","Midland","9-Midland","Anglo","56","56"
"2021","Midland","9-Midland","Hispanic","256","257"
"2021","Midland","9-Midland","Other","14","14"
"2021","Milam","7-Austin","African American","3","3"
"2021","Milam","7-Austin","Anglo","25","25"
"2021","Milam","7-Austin","Hispanic","5","5"
"2021","Milam","7-Austin","Other","2","2"
"2021","Mitchell","2-Abilene","African American","13","13"
"2021","Mitchell","2-Abilene","Anglo","8","8"
"2021","Mitchell","2-Abilene","Hispanic","24","24"
"2021","Mitchell","2-Abilene","Other","3","3"
"2021","Montague","2-Abilene","African American","1","1"
"2021","Montague","2-Abilene","Anglo","91","103"
"2021","Montague","2-Abilene","Hispanic","23","23"
"2021","Montague","2-Abilene","Other","3","3"
"2021","Montgomery","6-Houston","African American","53","53"
"2021","Montgomery","6-Houston","Anglo","298","305"
"2021","Montgomery","6-Houston","Asian","2","2"
"2021","Montgomery","6-Houston","Hispanic","151","153"
"2021","Montgomery","6-Houston","Other","26","26"
"2021","Moore","1-Lubbock","African American","1","1"
"2021","Moore","1-Lubbock","Anglo","11","11"
"2021","Moore","1-Lubbock","Hispanic","59","59"
"2021","Moore","1-Lubbock","Other","5","5"
"2021","Morris","4-Tyler","African American","15","15"
"2021","Morris","4-Tyler","Anglo","24","24"
"2021","Morris","4-Tyler","Hispanic","5","5"
