"fiscal_year","source_of_report","program","number_of_reporters"
"2020","Financial Institution","CPS","30"
"2020","Friend-Neighbor","CPS","9150"
"2020","Institutional Personnel","CPS","409"
"2020","Law Enforcement","CPS","49378"
"2020","Legal/Court","CPS","4285"
"2020","Medical Personnel","CPS","48771"
"2020","Other","CPS","19538"
"2020","Parent","CPS","22155"
"2020","Parent's Paramour","CPS","1016"
"2020","Provider","CPS","816"
"2020","Relative","CPS","22776"
"2020","Religious Entity","CPS","459"
"2020","School","CPS","49408"
"2020","State Agency","CPS","1765"
"2020","Unrelated Home Member","CPS","502"
"2020","Victim","CPS","970"
"2020","All Sources","CPS","274411"
"2020","24 Hour Care Provider","DCI","24"
"2020","Anonymous","DCI","112"
"2020","Blank/Unknown","DCI","74"
"2020","Community Agency","DCI","85"
"2020","DFPS Staff","DCI","167"
"2020","Day Care Provider","DCI","422"
"2020","Fictive Kin","DCI","1"
"2020","Friend-Neighbor","DCI","36"
"2020","Institutional Personnel","DCI","2"
"2020","Law Enforcement","DCI","330"
"2020","Legal/Court","DCI","7"
"2020","Medical Personnel","DCI","354"
"2020","Other","DCI","270"
"2020","Parent","DCI","748"
"2020","Parent's Paramour","DCI","6"
"2020","Provider","DCI","10"
"2020","Relative","DCI","109"
"2020","Religious Entity","DCI","1"
"2020","School","DCI","111"
"2020","State Agency","DCI","12"
"2020","Victim","DCI","2"
"2020","All Sources","DCI","2883"
"2020","24 Hour Care Provider","RCI","289"
"2020","Anonymous","RCI","89"
"2020","Blank/Unknown","RCI","202"
"2020","Community Agency","RCI","758"
"2020","DFPS Staff","RCI","1250"
"2020","Day Care Provider","RCI","42"
"2020","Fictive Kin","RCI","1"
"2020","Friend-Neighbor","RCI","33"
"2020","Institutional Personnel","RCI","318"
"2020","Law Enforcement","RCI","319"
"2020","Legal/Court","RCI","92"
"2020","Medical Personnel","RCI","700"
"2020","Other","RCI","596"
"2020","Parent","RCI","253"
"2020","Parent's Paramour","RCI","6"
"2020","Provider","RCI","52"
"2020","Relative","RCI","88"
"2020","Religious Entity","RCI","4"
"2020","School","RCI","347"
"2020","State Agency","RCI","83"
"2020","Unrelated Home Member","RCI","13"
"2020","Victim","RCI","79"
"2020","All Sources","RCI","5614"
"2020","All Sources","All Programs","418847"
"2019","24 Hour Care Provider","APS","14"
"2019","Anonymous","APS","2741"
"2019","Blank/Unknown","APS","3665"
"2019","Community Agency","APS","16227"
"2019","DFPS Staff","APS","1218"
"2019","Day Care Provider","APS","55"
"2019","Fictive Kin","APS","39"
"2019","Financial Institution","APS","5673"
"2019","Friend-Neighbor","APS","5599"
"2019","Institutional Personnel","APS","407"
"2019","Law Enforcement","APS","7468"
"2019","Legal/Court","APS","505"
"2019","Medical Personnel","APS","27269"
"2019","Other","APS","9688"
"2019","Parent","APS","1317"
"2019","Parent's Paramour","APS","20"
"2019","Provider","APS","6033"
"2019","Relative","APS","16881"
"2019","Religious Entity","APS","185"
"2019","School","APS","992"
"2019","State Agency","APS","504"
"2019","Unrelated Home Member","APS","453"
"2019","Victim","APS","11367"
"2019","All Sources","APS","118320"
"2019","24 Hour Care Provider","API","18"
"2019","Anonymous","API","943"
"2019","Blank/Unknown","API","536"
"2019","Community Agency","API","3202"
"2019","DFPS Staff","API","360"
"2019","Day Care Provider","API","25"
"2019","Fictive Kin","API","1"
"2019","Financial Institution","API","161"
"2019","Friend-Neighbor","API","376"
"2019","Institutional Personnel","API","3068"
"2019","Law Enforcement","API","477"
"2019","Legal/Court","API","140"
"2019","Medical Personnel","API","2846"
"2019","Other","API","1778"
"2019","Parent","API","524"
"2019","Parent's Paramour","API","1"
"2019","Provider","API","2236"
"2019","Relative","API","984"
"2019","Religious Entity","API","7"
"2019","School","API","244"
"2019","State Agency","API","220"
"2019","Unrelated Home Member","API","222"
"2019","Victim","API","5960"
"2019","All Sources","API","24329"
"2019","24 Hour Care Provider","CPS","534"
"2019","Anonymous","CPS","11882"
"2019","Blank/Unknown","CPS","8121"
"2019","Community Agency","CPS","13485"
"2019","DFPS Staff","CPS","7981"
"2019","Day Care Provider","CPS","1956"
"2019","Fictive Kin","CPS","159"
"2019","Financial Institution","CPS","19"
"2019","Friend-Neighbor","CPS","8586"
"2019","Institutional Personnel","CPS","494"
"2019","Law Enforcement","CPS","49119"
"2019","Legal/Court","CPS","4990"
"2019","Medical Personnel","CPS","52225"
"2019","Other","CPS","20950"
"2019","Parent","CPS","21619"
"2019","Parent's Paramour","CPS","994"
"2019","Provider","CPS","849"
"2019","Relative","CPS","22766"
"2019","Religious Entity","CPS","604"
"2019","School","CPS","66737"
"2019","State Agency","CPS","1925"
"2019","Unrelated Home Member","CPS","497"
"2019","Victim","CPS","919"
"2019","All Sources","CPS","297411"
"2019","24 Hour Care Provider","DCI","44"
"2019","Anonymous","DCI","134"
"2019","Blank/Unknown","DCI","68"
"2019","Community Agency","DCI","110"
"2019","DFPS Staff","DCI","249"
"2019","Day Care Provider","DCI","635"
"2019","Fictive Kin","DCI","2"
"2019","Friend-Neighbor","DCI","40"
"2019","Institutional Personnel","DCI","3"
"2019","Law Enforcement","DCI","465"
"2019","Legal/Court","DCI","20"
"2019","Medical Personnel","DCI","532"
"2019","Other","DCI","355"
"2019","Parent","DCI","1113"
"2019","Parent's Paramour","DCI","6"
"2019","Provider","DCI","11"
"2019","Relative","DCI","164"
"2019","Religious Entity","DCI","5"
"2019","School","DCI","202"
"2019","State Agency","DCI","21"
"2019","Unrelated Home Member","DCI","2"
"2019","Victim","DCI","4"
"2019","All Sources","DCI","4185"
"2019","24 Hour Care Provider","RCI","312"
"2019","Anonymous","RCI","94"
"2019","Blank/Unknown","RCI","180"
"2019","Community Agency","RCI","818"
"2019","DFPS Staff","RCI","1120"
"2019","Day Care Provider","RCI","45"
"2019","Fictive Kin","RCI","4"
"2019","Friend-Neighbor","RCI","19"
"2019","Institutional Personnel","RCI","365"
"2019","Law Enforcement","RCI","255"
"2019","Legal/Court","RCI","113"
"2019","Medical Personnel","RCI","710"
"2019","Other","RCI","609"
"2019","Parent","RCI","249"
"2019","Parent's Paramour","RCI","1"
"2019","Provider","RCI","61"
"2019","Relative","RCI","86"
"2019","Religious Entity","RCI","9"
"2019","School","RCI","440"
"2019","State Agency","RCI","79"
"2019","Unrelated Home Member","RCI","6"
"2019","Victim","RCI","69"
"2019","All Sources","RCI","5644"
"2019","All Sources","All Programs","449889"
"2018","24 Hour Care Provider","APS","13"
"2018","Anonymous","APS","3509"
"2018","Blank/Unknown","APS","2995"
"2018","Community Agency","APS","15940"
"2018","DFPS Staff","APS","1372"
"2018","Day Care Provider","APS","73"
"2018","Fictive Kin","APS","37"
"2018","Financial Institution","APS","5196"
"2018","Friend-Neighbor","APS","5655"
"2018","Institutional Personnel","APS","470"
"2018","Law Enforcement","APS","7450"
"2018","Legal/Court","APS","565"
"2018","Medical Personnel","APS","26967"
"2018","Other","APS","9578"
"2018","Parent","APS","1350"
"2018","Parent's Paramour","APS","31"
"2018","Provider","APS","6392"
"2018","Relative","APS","16837"
"2018","Religious Entity","APS","184"
"2018","School","APS","977"
"2018","State Agency","APS","516"
"2018","Unrelated Home Member","APS","466"
"2018","Victim","APS","11275"
"2018","All Sources","APS","117848"
"2018","24 Hour Care Provider","API","12"
"2018","Anonymous","API","1081"
"2018","Blank/Unknown","API","507"
"2018","Community Agency","API","3223"
"2018","DFPS Staff","API","379"
"2018","Day Care Provider","API","26"
"2018","Fictive Kin","API","3"
"2018","Financial Institution","API","127"
"2018","Friend-Neighbor","API","388"
"2018","Institutional Personnel","API","3190"
"2018","Law Enforcement","API","396"
"2018","Legal/Court","API","150"
"2018","Medical Personnel","API","2772"
"2018","Other","API","1782"
"2018","Parent","API","488"
"2018","Parent's Paramour","API","3"
"2018","Provider","API","2627"
"2018","Relative","API","1052"
"2018","Religious Entity","API","5"
"2018","School","API","241"
"2018","State Agency","API","274"
"2018","Unrelated Home Member","API","204"
"2018","Victim","API","4549"
"2018","All Sources","API","23479"
"2018","24 Hour Care Provider","CPS","510"
"2018","Anonymous","CPS","16822"
"2018","Blank/Unknown","CPS","8073"
"2018","Community Agency","CPS","12514"
"2018","DFPS Staff","CPS","8802"
"2018","Day Care Provider","CPS","1986"
"2018","Fictive Kin","CPS","108"
"2018","Financial Institution","CPS","16"
"2018","Friend-Neighbor","CPS","9137"
"2018","Institutional Personnel","CPS","441"
"2018","Law Enforcement","CPS","48104"
"2018","Legal/Court","CPS","4832"
"2018","Medical Personnel","CPS","53807"
"2018","Other","CPS","21579"
"2018","Parent","CPS","22124"
"2018","Parent's Paramour","CPS","1032"
"2018","Provider","CPS","1012"
"2018","Relative","CPS","23619"
"2018","Religious Entity","CPS","580"
"2018","School","CPS","64405"
"2018","State Agency","CPS","2119"
"2018","Unrelated Home Member","CPS","530"
"2018","Victim","CPS","835"
"2018","All Sources","CPS","302987"
"2018","24 Hour Care Provider","DCI","43"
"2018","Anonymous","DCI","209"
"2018","Blank/Unknown","DCI","72"
"2018","Community Agency","DCI","112"
"2018","DFPS Staff","DCI","280"
"2018","Day Care Provider","DCI","672"
"2018","Fictive Kin","DCI","3"
"2018","Financial Institution","DCI","1"
"2018","Friend-Neighbor","DCI","53"
"2018","Institutional Personnel","DCI","5"
"2018","Law Enforcement","DCI","484"
"2018","Legal/Court","DCI","18"
"2018","Medical Personnel","DCI","630"
"2018","Other","DCI","349"
"2018","Parent","DCI","1007"
"2018","Parent's Paramour","DCI","4"
"2018","Provider","DCI","7"
"2018","Relative","DCI","168"
"2018","Religious Entity","DCI","10"
"2018","School","DCI","175"
"2018","State Agency","DCI","17"
"2018","Unrelated Home Member","DCI","1"
"2018","All Sources","DCI","4320"
"2018","24 Hour Care Provider","RCI","320"
"2018","Anonymous","RCI","144"
"2018","Blank/Unknown","RCI","123"
"2018","Community Agency","RCI","686"
"2018","DFPS Staff","RCI","1259"
"2018","Day Care Provider","RCI","43"
"2018","Fictive Kin","RCI","1"
"2018","Financial Institution","RCI","1"
"2018","Friend-Neighbor","RCI","30"
"2018","Institutional Personnel","RCI","292"
"2018","Law Enforcement","RCI","230"
"2018","Legal/Court","RCI","105"
"2018","Medical Personnel","RCI","600"
"2018","Other","RCI","510"
"2018","Parent","RCI","290"
"2018","Parent's Paramour","RCI","1"
"2018","Provider","RCI","77"
"2018","Relative","RCI","92"
"2018","Religious Entity","RCI","6"
"2018","School","RCI","370"
"2018","State Agency","RCI","59"
"2018","Unrelated Home Member","RCI","8"
"2018","Victim","RCI","49"
"2018","All Sources","RCI","5296"
"2018","All Sources","All Programs","453930"
"2017","24 Hour Care Provider","APS","14"
"2017","Anonymous","APS","4157"
"2017","Blank/Unknown","APS","2025"
"2017","Community Agency","APS","15814"
"2017","DFPS Staff","APS","1237"
"2017","Day Care Provider","APS","120"
"2017","Fictive Kin","APS","17"
"2017","Financial Institution","APS","3643"
"2017","Friend-Neighbor","APS","5968"
"2017","Institutional Personnel","APS","413"
"2017","Law Enforcement","APS","6239"
"2017","Legal/Court","APS","501"
"2017","Medical Personnel","APS","25720"
"2017","Other","APS","9370"
"2017","Parent","APS","1382"
"2017","Parent's Paramour","APS","28"
"2017","Provider","APS","6541"
"2017","Relative","APS","17395"
"2017","Religious Entity","APS","214"
"2017","School","APS","864"
"2017","State Agency","APS","520"
"2017","Unrelated Home Member","APS","536"
"2017","Victim","APS","12898"
"2017","All Sources","APS","115616"
"2017","24 Hour Care Provider","API","14"
"2017","Anonymous","API","1211"
"2017","Blank/Unknown","API","329"
"2017","Community Agency","API","3224"
"2017","DFPS Staff","API","418"
"2017","Day Care Provider","API","68"
"2017","Fictive Kin","API","1"
"2017","Financial Institution","API","90"
"2017","Friend-Neighbor","API","371"
"2017","Institutional Personnel","API","3375"
"2017","Law Enforcement","API","431"
"2017","Legal/Court","API","176"
"2017","Medical Personnel","API","2817"
"2017","Other","API","1674"
"2017","Parent","API","511"
"2017","Parent's Paramour","API","6"
"2017","Provider","API","2320"
"2017","Relative","API","1118"
"2017","Religious Entity","API","11"
"2017","School","API","261"
"2017","State Agency","API","305"
"2017","Unrelated Home Member","API","215"
"2017","Victim","API","4861"
"2017","All Sources","API","23807"
"2017","24 Hour Care Provider","CPS","583"
"2017","Anonymous","CPS","18722"
"2017","Blank/Unknown","CPS","6177"
"2017","Community Agency","CPS","11308"
"2017","DFPS Staff","CPS","8784"
"2017","Day Care Provider","CPS","2039"
"2017","Fictive Kin","CPS","85"
"2017","Financial Institution","CPS","8"
"2017","Friend-Neighbor","CPS","11052"
"2017","Institutional Personnel","CPS","377"
"2017","Law Enforcement","CPS","44387"
"2017","Legal/Court","CPS","4646"
"2017","Medical Personnel","CPS","53282"
"2017","Other","CPS","22747"
"2017","Parent","CPS","23813"
"2017","Parent's Paramour","CPS","1048"
"2017","Provider","CPS","1039"
"2017","Relative","CPS","26177"
"2017","Religious Entity","CPS","579"
"2017","School","CPS","57306"
"2017","State Agency","CPS","2092"
"2017","Unrelated Home Member","CPS","588"
"2017","Victim","CPS","966"
"2017","All Sources","CPS","297805"
"2017","24 Hour Care Provider","DCI","36"
"2017","Anonymous","DCI","261"
"2017","Blank/Unknown","DCI","75"
"2017","Community Agency","DCI","92"
"2017","DFPS Staff","DCI","306"
"2017","Day Care Provider","DCI","708"
"2017","Financial Institution","DCI","2"
"2017","Friend-Neighbor","DCI","71"
"2017","Institutional Personnel","DCI","1"
"2017","Law Enforcement","DCI","460"
"2017","Legal/Court","DCI","18"
"2017","Medical Personnel","DCI","592"
"2017","Other","DCI","353"
"2017","Parent","DCI","1028"
"2017","Parent's Paramour","DCI","3"
"2017","Provider","DCI","11"
"2017","Relative","DCI","154"
"2017","Religious Entity","DCI","7"
"2017","School","DCI","174"
"2017","State Agency","DCI","11"
"2017","Unrelated Home Member","DCI","5"
"2017","Victim","DCI","1"
"2017","All Sources","DCI","4369"
"2017","24 Hour Care Provider","RCI","333"
"2017","Anonymous","RCI","140"
"2017","Blank/Unknown","RCI","85"
"2017","Community Agency","RCI","631"
"2017","DFPS Staff","RCI","1315"
"2017","Day Care Provider","RCI","62"
"2017","Friend-Neighbor","RCI","35"
"2017","Institutional Personnel","RCI","281"
"2017","Law Enforcement","RCI","209"
"2017","Legal/Court","RCI","106"
"2017","Medical Personnel","RCI","676"
"2017","Other","RCI","458"
"2017","Parent","RCI","255"
"2017","Parent's Paramour","RCI","1"
"2017","Provider","RCI","107"
"2017","Relative","RCI","103"
"2017","Religious Entity","RCI","1"
"2017","School","RCI","391"
"2017","State Agency","RCI","54"
"2017","Unrelated Home Member","RCI","18"
"2017","Victim","RCI","76"
"2017","All Sources","RCI","5337"
"2017","All Sources","All Programs","446934"
"2016","24 Hour Care Provider","APS","45"
"2016","Anonymous","APS","3161"
"2016","Blank/Unknown","APS","62"
"2016","Community Agency","APS","15513"
"2016","DFPS Staff","APS","1500"
"2016","Day Care Provider","APS","172"
"2016","Financial Institution","APS","2996"
"2016","Friend-Neighbor","APS","6289"
"2016","Institutional Personnel","APS","344"
"2016","Law Enforcement","APS","5711"
"2016","Legal/Court","APS","532"
"2016","Medical Personnel","APS","25777"
"2016","Other","APS","8806"
"2016","Parent","APS","1528"
"2016","Parent's Paramour","APS","24"
"2016","Provider","APS","6649"
"2016","Relative","APS","18107"
"2016","Religious Entity","APS","189"
"2016","School","APS","806"
"2016","State Agency","APS","634"
"2016","Unrelated Home Member","APS","566"
"2016","Victim","APS","13144"
"2016","All Sources","APS","112555"
"2016","24 Hour Care Provider","API","24"
"2016","Anonymous","API","1019"
"2016","Blank/Unknown","API","22"
"2016","Community Agency","API","2973"
"2016","DFPS Staff","API","449"
"2016","Day Care Provider","API","72"
"2016","Financial Institution","API","83"
"2016","Friend-Neighbor","API","453"
"2016","Institutional Personnel","API","3572"
"2016","Law Enforcement","API","414"
"2016","Legal/Court","API","165"
"2016","Medical Personnel","API","2966"
"2016","Other","API","1557"
"2016","Parent","API","488"
"2016","Parent's Paramour","API","3"
"2016","Provider","API","1825"
"2016","Relative","API","1110"
"2016","Religious Entity","API","13"
"2016","School","API","243"
"2016","State Agency","API","357"
"2016","Unrelated Home Member","API","206"
"2016","Victim","API","4846"
"2016","All Sources","API","22860"
"2016","24 Hour Care Provider","CPS","672"
"2016","Anonymous","CPS","14148"
"2016","Blank/Unknown","CPS","330"
"2016","Community Agency","CPS","11451"
"2016","DFPS Staff","CPS","8217"
"2016","Day Care Provider","CPS","2056"
"2016","Financial Institution","CPS","14"
"2016","Friend-Neighbor","CPS","12820"
"2016","Institutional Personnel","CPS","382"
"2016","Law Enforcement","CPS","42381"
"2016","Legal/Court","CPS","4581"
"2016","Medical Personnel","CPS","54755"
"2016","Other","CPS","21905"
"2016","Parent","CPS","25487"
"2016","Parent's Paramour","CPS","1250"
"2016","Provider","CPS","1099"
"2016","Relative","CPS","29073"
"2016","Religious Entity","CPS","548"
"2016","School","CPS","57320"
"2016","State Agency","CPS","2341"
"2016","Unrelated Home Member","CPS","680"
"2016","Victim","CPS","1098"
"2016","All Sources","CPS","292608"
"2016","24 Hour Care Provider","DCI","27"
"2016","Anonymous","DCI","183"
"2016","Blank/Unknown","DCI","3"
"2016","Community Agency","DCI","111"
"2016","DFPS Staff","DCI","287"
"2016","Day Care Provider","DCI","717"
"2016","Friend-Neighbor","DCI","85"
"2016","Institutional Personnel","DCI","5"
"2016","Law Enforcement","DCI","491"
"2016","Legal/Court","DCI","17"
"2016","Medical Personnel","DCI","564"
"2016","Other","DCI","368"
"2016","Parent","DCI","1008"
"2016","Parent's Paramour","DCI","4"
"2016","Provider","DCI","10"
"2016","Relative","DCI","166"
"2016","Religious Entity","DCI","3"
"2016","School","DCI","132"
"2016","State Agency","DCI","16"
"2016","Unrelated Home Member","DCI","5"
"2016","Victim","DCI","6"
"2016","All Sources","DCI","4208"
"2016","24 Hour Care Provider","RCI","332"
"2016","Anonymous","RCI","92"
"2016","Blank/Unknown","RCI","8"
"2016","Community Agency","RCI","718"
"2016","DFPS Staff","RCI","1238"
"2016","Day Care Provider","RCI","51"
"2016","Financial Institution","RCI","1"
"2016","Friend-Neighbor","RCI","38"
"2016","Institutional Personnel","RCI","239"
"2016","Law Enforcement","RCI","203"
"2016","Legal/Court","RCI","122"
"2016","Medical Personnel","RCI","693"
"2016","Other","RCI","368"
"2016","Parent","RCI","259"
"2016","Parent's Paramour","RCI","1"
"2016","Provider","RCI","107"
"2016","Relative","RCI","86"
"2016","Religious Entity","RCI","8"
"2016","School","RCI","435"
"2016","State Agency","RCI","41"
"2016","Unrelated Home Member","RCI","13"
"2016","Victim","RCI","62"
"2016","All Sources","RCI","5115"
"2016","All Sources","All Programs","437346"
"2015","24 Hour Care Provider","APS","17"
"2015","Anonymous","APS","3234"
"2015","Blank/Unknown","APS","77"
"2015","Community Agency","APS","15530"
"2015","DFPS Staff","APS","1503"
"2015","Day Care Provider","APS","177"
"2015","Financial Institution","APS","2678"
"2015","Friend-Neighbor","APS","6449"
"2015","Institutional Personnel","APS","367"
"2015","Law Enforcement","APS","5664"
"2015","Legal/Court","APS","423"
"2015","Medical Personnel","APS","24465"
"2015","Other","APS","8266"
"2015","Parent","APS","1464"
"2015","Parent's Paramour","APS","28"
"2015","Provider","APS","7669"
"2015","Relative","APS","18252"
"2015","Religious Entity","APS","206"
"2015","School","APS","733"
"2015","State Agency","APS","850"
"2015","Unrelated Home Member","APS","496"
"2015","Victim","APS","13297"
"2015","All Sources","APS","111845"
"2015","24 Hour Care Provider","API","16"
"2015","Anonymous","API","668"
"2015","Blank/Unknown","API","15"
"2015","Community Agency","API","1173"
"2015","DFPS Staff","API","322"
"2015","Day Care Provider","API","25"
"2015","Friend-Neighbor","API","107"
"2015","Institutional Personnel","API","3556"
"2015","Law Enforcement","API","202"
"2015","Legal/Court","API","135"
"2015","Medical Personnel","API","1592"
"2015","Other","API","798"
"2015","Parent","API","367"
"2015","Parent's Paramour","API","1"
"2015","Provider","API","407"
"2015","Relative","API","258"
"2015","Religious Entity","API","3"
"2015","School","API","164"
"2015","State Agency","API","255"
"2015","Unrelated Home Member","API","140"
"2015","Victim","API","2984"
"2015","All Sources","API","13188"
"2015","24 Hour Care Provider","CPS","568"
"2015","Anonymous","CPS","13669"
"2015","Blank/Unknown","CPS","224"
"2015","Community Agency","CPS","10120"
"2015","DFPS Staff","CPS","7770"
"2015","Day Care Provider","CPS","1983"
"2015","Financial Institution","CPS","20"
"2015","Friend-Neighbor","CPS","12704"
"2015","Institutional Personnel","CPS","334"
"2015","Law Enforcement","CPS","40235"
"2015","Legal/Court","CPS","4516"
"2015","Medical Personnel","CPS","50154"
"2015","Other","CPS","20430"
"2015","Parent","CPS","25198"
"2015","Parent's Paramour","CPS","1284"
"2015","Provider","CPS","1166"
"2015","Relative","CPS","29240"
"2015","Religious Entity","CPS","584"
"2015","School","CPS","53681"
"2015","State Agency","CPS","1906"
"2015","Unrelated Home Member","CPS","616"
"2015","Victim","CPS","1043"
"2015","All Sources","CPS","277445"
"2015","24 Hour Care Provider","DCI","24"
"2015","Anonymous","DCI","165"
"2015","Blank/Unknown","DCI","3"
"2015","Community Agency","DCI","93"
"2015","DFPS Staff","DCI","294"
"2015","Day Care Provider","DCI","689"
"2015","Friend-Neighbor","DCI","82"
"2015","Institutional Personnel","DCI","5"
"2015","Law Enforcement","DCI","401"
"2015","Legal/Court","DCI","13"
"2015","Medical Personnel","DCI","486"
"2015","Other","DCI","286"
"2015","Parent","DCI","917"
"2015","Parent's Paramour","DCI","3"
"2015","Provider","DCI","6"
"2015","Relative","DCI","119"
"2015","Religious Entity","DCI","3"
"2015","School","DCI","123"
"2015","State Agency","DCI","12"
"2015","Unrelated Home Member","DCI","1"
"2015","Victim","DCI","2"
"2015","All Sources","DCI","3727"
"2015","24 Hour Care Provider","RCI","288"
