Agency Number,Agency Name,Solicitation Number,Class Code,Item Code,Category,Quantity,"Unit of Sale (Each, Lot, Package, etc.)",Description,Contact Name,Contact Phone,Contact Email,Comments,Specs and Drawings,Agency Terms and Conditions,Solicitation Document,Estimated Worth
644,Texas Juvenile Justice Department,TJJD EVN Wash Stations,670,55,Commodities,2,ea,Portable hand wash stations,Sheree Case,940-641-0693,sheree.case@tjjd.texas.gov,,,https://data.texas.gov/views/dxdw-hs8h/files/1d25aa3e-9760-444e-a342-7f2806047c9b?filename=TJJD_T%26Cs.pdf,https://data.texas.gov/views/dxdw-hs8h/files/b7f9e59f-f0f7-4f78-b0d2-8ac06c52b0d9?filename=TJJD+EVN_Wash_Stations.pdf,
644,Texas Juvenile Justice Department,TJJD GNS Microwaves,045,52,Commodities,4,ea,0.7 Cu ft counter top microwave,Sheree Case,940-641-0930,sheree.case@tjjd.texas.gov,,,https://data.texas.gov/views/dxdw-hs8h/files/a4a6c4ec-fdd8-465e-8efa-70ff4df2d70d?filename=TJJD_T%26Cs.pdf,https://data.texas.gov/views/dxdw-hs8h/files/d588207c-a40b-4a7e-9782-0d27dfef2b5c?filename=TJJD+GNS_Microwaves.pdf,
644,Texas Juvenile Justice Department,TJJD HWI Dryer,045,94,Commodities,1,ea,HE Front load electric dryer energy star white color,Sheree Case,940-641-0930,sheree.case@tjjd.texas.gov,,,https://data.texas.gov/views/dxdw-hs8h/files/c661e725-351f-4f3e-a0c7-44af29b091d9?filename=TJJD_T%26Cs.pdf,https://data.texas.gov/views/dxdw-hs8h/files/12fefa0c-43e4-424e-a8a0-73f49009ecde?filename=TJJD+HWI_Dryer.pdf,
644,Texas Juvenile Justice Department,TJJD EVN Wipes,485,83,Commodities,240,ea,"Disinfecting wipes, Lysol, 80 count",Sheree Case,940-641-0693,sheree.case@tjjd.texas.gov,,,https://data.texas.gov/views/dxdw-hs8h/files/c2aa61b5-05bb-4963-b6bc-05a9e2fc0744?filename=TJJD_T%26Cs.pdf,https://data.texas.gov/views/dxdw-hs8h/files/54ee0c3d-06bb-4c21-93cb-b2f93796f1c3?filename=TJJD+EVN_Wipes.pdf,
644,Texas Juvenile Justice Department,TJJD GNS Desks,425,20,Commodities,4,ea,Metro Classic Double Pedestal Desk,Sheree Case,940-641-0693,sheree.case@tjjd.texas.gov,,,https://data.texas.gov/views/dxdw-hs8h/files/e1021d6e-bfbc-46c2-976c-54f68a300794?filename=TJJD_T%26Cs.pdf,https://data.texas.gov/views/dxdw-hs8h/files/87f9b53b-cbf8-496e-8c21-a726d0f17bd0?filename=TJJD+GNS_Desks.pdf,
644,Texas Juvenile Justice Department,TJJD GNS Games,037,84,Commodities,25,ea,Games and toys,Sheree Case,940-641-0693,sheree.case@tjjd.texas.gov,,,https://data.texas.gov/views/dxdw-hs8h/files/773a058b-7b8e-4676-b039-0431787b74e0?filename=TJJD_T%26Cs.pdf,https://data.texas.gov/views/dxdw-hs8h/files/afe89eea-d782-4c4a-923d-48f75d021ea3?filename=TJJD+GNS_Games.pdf,
644,Texas Juvenile Justice Department,TJJD GNS Utility Cart,207,23,Commodities,4,ea,Plastic Storage Utility Cart,Sheree Case,940-641-0930,sheree.case@tjjd.texas.gov,,,https://data.texas.gov/views/dxdw-hs8h/files/f0f2c84e-d97c-4e93-b513-13ab3bc71a1f?filename=TJJD_T%26Cs.pdf,https://data.texas.gov/views/dxdw-hs8h/files/6bf8e3f8-bf1a-45ba-bca5-0ffc2221297a?filename=TJJD+GNS_Carts.pdf,
644,Texas Juvenile Justice Department,TJJD GNS TV's,840,60,Commodities,4,ea,"Samsung 60 HG32NF 32"" LED-LCD HDTV",Sheree Case,940-641-0930,sheree.case@tjjd.texas.gov,,,https://data.texas.gov/views/dxdw-hs8h/files/0bb96210-b148-4cab-9823-d5d3c41c5725?filename=TJJD_T%26Cs.pdf,https://data.texas.gov/views/dxdw-hs8h/files/cfa72fbc-b7a8-4839-a160-7f17e2b0b4d2?filename=TJJD+GNS_TVs.pdf,
644,Texas Juvenile Justice Department,TJJD HWI Fridge/Freezer,045,66,Commodities,1,ea,"Artic Air or comparable 49 cu ft 82"" reach in fridge/freezer combo",Sheree Case,940-641-0930,sheree.case@tjjd.texas.gov,,,https://data.texas.gov/views/dxdw-hs8h/files/a59c5888-a1da-4c53-b24c-ac8854e332b9?filename=TJJD_T%26Cs.pdf,https://data.texas.gov/views/dxdw-hs8h/files/4fedf317-2a96-44bf-9e98-69dff6fcbb10?filename=TJJD+HWI_Fridge_Freezer.pdf,
644,Texas Juvenile Justice Department,TJJD HWI Washer,045,94,Commodities,1,ea,HE Top Load Washer 4.5 cu ft in white,Sheree Case,940-641-0930,sheree.case@tjjd.texas.gov,,,https://data.texas.gov/views/dxdw-hs8h/files/27d72e46-4253-4a78-8379-ca0eb240d0aa?filename=TJJD_T%26Cs.pdf,https://data.texas.gov/views/dxdw-hs8h/files/acdc6ece-6680-4c43-acc3-e4068ec22798?filename=TJJD+HWI_Washer.pdf,
644,Texas Juvenile Justice Department,TJJD MCL Tables,425,20,Commodities,20,ea,Computer table - 30x60x29,Sheree Case,940-641-0930,sheree.case@tjjd.texas.gov,,,https://data.texas.gov/views/dxdw-hs8h/files/dc4ac997-2b27-4b22-a79d-536d66d8a183?filename=TJJD_T%26Cs.pdf,https://data.texas.gov/views/dxdw-hs8h/files/6f1f1721-bbd2-4f1a-bfc5-0a9c1749bdb7?filename=TJJD+MCL_Tables.pdf,
644,Texas Juvenile Justice Department,TJJD EVN Storage Boxes,100,06,Commodities,26,packs," 6 quart Storage Box, white lid with clear base",Sheree Case,940-641-0930,sheree.case@tjjd.texas.gov,,,https://data.texas.gov/views/dxdw-hs8h/files/88fc24b8-4dcc-4ed8-813c-319306058dd1?filename=TJJD_T%26Cs.pdf,https://data.texas.gov/views/dxdw-hs8h/files/32010eee-f670-4333-af49-277998a83cbb?filename=TJJD+EVN_Storage_Boxes.pdf,
701,Texas Education Agency,701-0000047812,"640,207,204","43,67,32",Commodities ,10,Ea,Office Supplies,Tina Velasco,512-936-6111,tina.velasco@tea.texas.gov,,,https://data.texas.gov/views/dxdw-hs8h/files/6609229c-6f2b-4d7f-bae1-4918a200f191?filename=Purchase+Order+Terms+and+Conditions.pdf,https://data.texas.gov/views/dxdw-hs8h/files/697ab30b-8f13-4663-ac98-28f370b85f7e?filename=IFB-701-0000047812.pdf,
644,Texas Juvenile Justice Department,TJJD HMF Conference Table,045,66,Commodities,1,ea,Contemporary Oval Racetrack Conference Table - 6 ft,Sheree Case,940-641-0930,sheree.case@tjjd.texas.gov,,,https://data.texas.gov/views/dxdw-hs8h/files/6ba46745-479f-4ecf-831e-79df1a59c3a0?filename=TJJD_T%26Cs.pdf,https://data.texas.gov/views/dxdw-hs8h/files/27322fce-5a73-438d-a360-6b44120498ae?filename=TJJD+HMF_Conf+Table.pdf,
644,Texas Juvenile Justice Department,TJJD HMF Fridge,045,66,Commodities,1,ea,20.2 cu ft Top Freezer Refrigerator - Stainless,Sheree Case,940-641-0930,sheree.case@tjjd.texas.gov,,,https://data.texas.gov/views/dxdw-hs8h/files/51282dcf-1d8f-4002-aada-74340354c866?filename=TJJD_T%26Cs.pdf,https://data.texas.gov/views/dxdw-hs8h/files/28055654-e241-42e4-a445-1c2212d699e6?filename=TJJD+HMF_Fridge.pdf,
644,Texas Juvenile Justice Department,TJJD HMF TV,840,60,Commodities,1,ea,"Vizio M-series HDR Smart TV 65""",Sheree Case,940-641-0930,sheree.case@tjjd.texas.gov,,,https://data.texas.gov/views/dxdw-hs8h/files/759c1d47-5238-414c-80b4-2670a7e287c7?filename=TJJD_T%26Cs.pdf,https://data.texas.gov/views/dxdw-hs8h/files/bbcfc43c-2625-4f47-9875-4ab955d62e9e?filename=TJJD+HMF_TV.pdf,
761,Texas A&M International University,761-21-001,037,52,Promotional,,Ea,,Annie Gutierrez,,ann.gutierrez@tamiu.edu,,,,https://data.texas.gov/views/dxdw-hs8h/files/c78b949d-8437-4bca-876c-a1e61a28492e?filename=761-20-01+SCCE+Promotionals.pdf,
761,Texas A&M International University,761-21-02,037,52,Commodities,,Ea,Promotional,Annie Gutierrez,,ann.gutierrez@tamiu.edu,,,,https://data.texas.gov/views/dxdw-hs8h/files/e3a0a8e4-cb04-471b-92a1-cc7b6a9a8c04?filename=761-20-02+ATHD+Promotionals.pdf,
761,Texas A&M International University,761-21-03,037,52,Commodities,,Ea,"Promotionals, Seeds",Annie Gutierrez,,ann.gutierrez@tamiu.edu,,,,https://data.texas.gov/views/dxdw-hs8h/files/b330f1a2-669e-45d4-8b5c-5bebd7bf8ba5?filename=761-20-03+VPIA+Promotionals.pdf,
644,Texas Juvenile Justice Department,TJJD HSC Furniture,420,62,Commodities,24,ea,Lounge Furniture,Sheree Case,940-641-0930,sheree.case@tjjd.texas.gov,,,https://data.texas.gov/views/dxdw-hs8h/files/bf40781c-81f6-45d2-bd6e-ac36c0598874?filename=TJJD_T%26Cs.pdf,https://data.texas.gov/views/dxdw-hs8h/files/5adb1d7d-2c57-4818-a923-ece08da2e488?filename=TJJD+HSC_Furniture.pdf,
401,Texas Military Department,401-21-19205,839,12,Telephone Accessories,3,ea,"Plastic corded headset; black, MFG part: 78714101 Plantronics",Rhonda Gips,512-782-6129,rhonda.gips@military.texas.gov,,,,https://data.texas.gov/views/dxdw-hs8h/files/7ce32916-7eb6-4e23-865f-c8a5a61d9c3d?filename=401-21-19205+Pricing+Request.doc,
754,Texas State University,754-HMSDCSPOTBID-21,345,74,PPE,,,Disposable Masks,HUB,512-245-2521,hub@txstate.edu,,,https://data.texas.gov/views/dxdw-hs8h/files/f3a4516d-519f-4c91-adc5-8e1fc0abd1e5?filename=Purchase%2BOrder%2BTerms%2BConditions.pdf,https://data.texas.gov/views/dxdw-hs8h/files/1d22ae8d-7474-43c8-a0f6-4114e05a330e?filename=FY21+-+Spot+Bid+Fair+disposable+masks.pdf,
753,Sam Houston State University,IFB101,,,,,,Access,,,,,,,https://data.texas.gov/views/dxdw-hs8h/files/260f5554-16b5-48e7-bc39-eab75a290b6b?filename=IFB+101-Access.pdf,
754,Texas State University,754-HMSDCSPOTBID-21-2,345,74,,,,Face shields,HUB,512-245-2521,hub@txstate.edu,PPE,,https://data.texas.gov/views/dxdw-hs8h/files/05f7bf01-ccef-4e15-89e8-e1e8e7cc4a88?filename=Purchase%2BOrder%2BTerms%2BConditions.pdf,https://data.texas.gov/views/dxdw-hs8h/files/8e1b062f-ca82-4b54-9f87-2702c62633bd?filename=FY21+-+Spot+Bid+Fair+Face+Shields.pdf,
753,Sam Houston State Univesity,IFB 102,,,,,,Auto,Sadak,936-294-1955,sadakath@shsu.edu,,,,https://data.texas.gov/views/dxdw-hs8h/files/722eb67a-6661-469d-a0b0-4c97ce3e8dd2?filename=IFB+102+Auto.pdf,
753,Sam Houston State University,IFB103,,,,,,Tile,Sadak,9362941955,sadakath@shsu.edu,,,,https://data.texas.gov/views/dxdw-hs8h/files/48a3b6ca-3d2c-4bab-85e7-6a35453a986f?filename=IFB+103+Tile.pdf,
753,Sam Houston State University,IFB104,,,,,,Medical Gloves,Sadak,936-2941-955,sadakath@shsu.edu,,,,https://data.texas.gov/views/dxdw-hs8h/files/dd7e03eb-2b83-4dee-a00a-8c785377f04c?filename=IFB+104+Med+Gloves.pdf,
753,Sam Houston State University,IFB105,,,,,,Trash Liners,Sadak,936-294-1955,sadakath@shsu.edu,,,,https://data.texas.gov/views/dxdw-hs8h/files/a55233cf-6148-439d-866c-4db9041bd672?filename=IFB+105+Liners.pdf,
753,Sam Houston State University,IFB106,,,,,,Paper Towels,Sadak,936-294-1955,sadakath@shsu.edu,,,,https://data.texas.gov/views/dxdw-hs8h/files/016af517-5fe9-4b93-94f5-9df45fa9d452?filename=IFB+106+Paper.pdf,
753,Sam Houston State University,IFB107,,,,,,Cleaning Supplies,Sadak,936-294-1955,sadakath@shsu.edu,,,,https://data.texas.gov/views/dxdw-hs8h/files/0498d36c-67c0-4540-b202-82c5b7e31ccb?filename=IFB+107+Cust.+Cleaner+%26+Supplies.pdf,
753,Sam Houston State University,IFB108,,,,,,Lighting,Sadak,936-294-1955,sadakath@shsu.edu,,,,https://data.texas.gov/views/dxdw-hs8h/files/929d55f4-7e11-4291-85e6-4a7d36039f8c?filename=IFB+108+lighting.pdf,
753,Sam Houston State University,IFB109,,,,,,Filters,Sadak,936-294-1955,sadakath@shsu.edu,,,,https://data.texas.gov/views/dxdw-hs8h/files/3569562d-fe2d-4ce8-b490-926acabaf417?filename=IFB+109+Filters.pdf,
753,Sam Houston State University,IFB110,,,,,,Plumbing,Sadak,936-294-1955,sadakath@shsu.edu,,,,https://data.texas.gov/views/dxdw-hs8h/files/49a6a7eb-2dc2-4ebb-8968-bd1be9b5205a?filename=IFB+110+plumbing.pdf,
401,Texas Military Department,401-21-19168,605,63,Office Supplies,2,gross,Pencil and pencil sharpener,Kelly Kobrock,979-234-3531,kkobrock@riceraiders.net,,,,https://data.texas.gov/views/dxdw-hs8h/files/98d367bd-3c8f-4b0c-a773-d2a7de8e1220?filename=401-21-19168+Pricing+Request.doc,
401,Texas Military Department,401-21-19153,615,37,storage boxes,5,ctn,Storage Box with lid,Bernie Garza,512-782-1332,bernie.garza@military.texas.gov,,,,https://data.texas.gov/views/dxdw-hs8h/files/421db601-8ab3-4d74-83f2-24020e231386?filename=401-21-19153+Pricing+Request.doc,
401,Texas Military Department,401-21-19304,207,72,commodity,4,ea,toner cartridge; black,Clifford Wilhoit,512-782-6129,rhonda.gips@military.texas.gov,,,,https://data.texas.gov/views/dxdw-hs8h/files/465c2bd8-c692-4dea-8d68-ee7b1ec02590?filename=401-21-19304+Pricing+Request.doc,
401,Texas Military Department,401-21-19281,207,47,comm,,,,,,,,,,,
401,Texas Military Department,401-21-19281,207,47,commodity,20,ea,Keyed laptop wedge lock,Margil Garcia,512-782-6129,rhonda.gips@military.texas.gov,,,,https://data.texas.gov/views/dxdw-hs8h/files/3c66737f-46be-42d4-b711-a7b324cdf5a1?filename=401-21-19281+Pricing+Request.doc,
320,Texas Workforce Commission,29502,360,28,Commodity ,75,Each,,Linda Alphonse,512-936-3327,linda.alphonse@twc.state.tx.us,,,https://data.texas.gov/views/dxdw-hs8h/files/0ec3dbba-601b-44d8-98f2-2b389a9aeb88?filename=Terms+and+Conditions.pdf,https://data.texas.gov/views/dxdw-hs8h/files/2a2190d2-13e8-4a95-8966-eb5922fa55d8?filename=29502.docx,
761,Texas A&M International University,761-21-04,037,52,Commodities,,Ea,Promotional,Annie Gutierrez,,ann.gutierrez@tamiu.edu,,,,https://data.texas.gov/views/dxdw-hs8h/files/6092806f-aa61-4088-8c90-e9c8cac58173?filename=761-20-04+REC+Promotionals.pdf,
320,Texas Workforce Commission,29524,710,52,Commodities,10,Each,,Linda Alphonse,512-936-3327,linda.alphonse@twc.state.tx.us,,,https://data.texas.gov/views/dxdw-hs8h/files/73554b28-d6b6-4baf-821c-2d2adba4b7b4?filename=Terms+and+Conditions.pdf,https://data.texas.gov/views/dxdw-hs8h/files/3ac61988-6906-4594-98da-b74bba2080dc?filename=29524.docx,
320,Texas Workforce Commission,29528,855,60,Commodities,20,Each,,Linda Alphonse,512-936-3327,linda.alphonse@twc.state.tx.us,,,https://data.texas.gov/views/dxdw-hs8h/files/5d38fda9-8818-4732-b7a7-52608da9457b?filename=Terms+and+Conditions.pdf,https://data.texas.gov/views/dxdw-hs8h/files/a41f54fc-0cfa-4f2b-945c-9df151ae7300?filename=29528.docx,
551,Texas Department of Agriculture,0000001826,,,,,lot,"2021 GO TEXAN Magnets .019"" thick magnet (or stronger);  Size: 3.5"" x 2""; full color",Jack Hammond,512-463-5936,jack.hammond@texasagriculture.gov,See specifications on solicitation document ,,,https://data.texas.gov/views/dxdw-hs8h/files/f43a97b4-9ec9-4f1a-88ad-bc8c42113542?filename=2021+GO+TEXAN+Magnets+QR+-+0000001826.pdf,
320,Texas Workforce Commission,29525,855,60,Commodity,,,,Marcus Garcia,512-936-3331,marcus.garcia@twc.state.tx.us,,,https://data.texas.gov/views/dxdw-hs8h/files/1b985b66-59fb-4b74-bb30-8731452b475a?filename=TWC+Terms+%26+Conditions.pdf,https://data.texas.gov/views/dxdw-hs8h/files/39724abd-8659-4447-a26e-cd4e99560097?filename=PR29525.docx,
320,Texas Workforce Commission,29530,450,06,Commodity,,,,Marcus Garcia,512-936-3331,marcus.garcia@twc.state.tx.us,,,https://data.texas.gov/views/dxdw-hs8h/files/65c2bea5-2978-47cf-9444-f2fd39845db0?filename=TWC+Terms+%26+Conditions.pdf,https://data.texas.gov/views/dxdw-hs8h/files/faa59db0-f833-4f4b-9d6e-d9f6af98557a?filename=PR29530.docx,
320,Texas Workforce Commission,29553,645,33,Commodity,40,Casrton,Paper,Marcus Garcia,512-936-3331,marcus.garcia@twc.state.tx.us,,,https://data.texas.gov/views/dxdw-hs8h/files/a172bb3b-4a6c-42ed-8745-14171140d52b?filename=TWC+Terms+%26+Conditions.pdf,https://data.texas.gov/views/dxdw-hs8h/files/32779b7d-0b22-4d5f-8531-0ab1697f8faf?filename=PR29553.docx,
448,Office of Injured Employee Counsel,PR2586,838,85,Commodities,10,Each,Headset,Natlee Fresch,,natlee.fresch@tdi.texas.gov,,,https://data.texas.gov/views/dxdw-hs8h/files/d11aac45-d8e4-49ea-bc8b-611bf7ee2331?filename=TDI-OIEC+Terms_eff+2-1-2020.pdf,https://data.texas.gov/views/dxdw-hs8h/files/d84f336f-55cf-4cbf-ad39-a599df594f56?filename=HMSDC+solicitation+PR2586.docx,
448,Office of Injured Employee Counsel,PR2588,530,46,Commodities,4,Each,UAG Rugged Case for IPAD,Natlee Fresch,,natlee.fresch@tdi.texas.gov,,,https://data.texas.gov/views/dxdw-hs8h/files/c07588f4-68c8-4078-b9d8-8071a331d62b?filename=TDI-OIEC+Terms_eff+2-1-2020.pdf,https://data.texas.gov/views/dxdw-hs8h/files/de190cbf-98f8-40a5-a227-ac38ef3cbeaf?filename=HMSDC+solicitation+PR2588.docx,
454,Texas Department of Insurance,PR26086,445,39,Commodities,21,Each,Hand Tools,Natlee Fresch,,natlee.fresch@tdi.texas.gov,,,https://data.texas.gov/views/dxdw-hs8h/files/6038d477-2ce5-4588-a766-5c77961923f5?filename=TDI-OIEC+Terms_eff+2-1-2020.pdf,https://data.texas.gov/views/dxdw-hs8h/files/cef70841-4447-4dd2-8bdd-472fa975584a?filename=HMSDC+solicitation+PR26086.docx,
454,Texas Department of Insurance,PR26208,615,60,Commodities,60,Each,Wrenchiting Pad,Natlee Fresch,,natlee.fresch@tdi.texas.gov,,,https://data.texas.gov/views/dxdw-hs8h/files/37760628-6fba-4694-9c8b-5a6d54482d3a?filename=TDI-OIEC+Terms_eff+2-1-2020.pdf,https://data.texas.gov/views/dxdw-hs8h/files/66e21310-027d-49c9-9b6c-cf24c2f6fabf?filename=HMSDC+solicitation+PR26208.docx,
720,University of Texas System,HSMDC-SBF,204,54,Commodities,4,each,Dell Mobile Precision 3550 ,Christopher Palacios,512-579-5143 ,purchasing@utsystem.edu,,,,https://data.texas.gov/views/dxdw-hs8h/files/2cc81dd7-40fb-4a66-97f1-07b894d1c90a?filename=UTSystem+HSMDC-SBF.docx,8000
362,Texas Lottery Commission,RQ21-0110/21-0127,665,77,Commodities ,12,PK,"PN: TFC1014 Bag, Security Transport, 10x14, Large, To/From White Block, Clear Secure Closure, 250/Pack.",MARIA COLON,(512) 344-5402,MARIA.COLON@LOTTERY.STATE.TX.US,See solicitation documentation for specifics,,,https://data.texas.gov/views/dxdw-hs8h/files/0eb0fc14-e4f4-42e1-819b-efd5e4f91b64?filename=RFQ+21-0110.21-0127.pdf,
362,Texas Lottery Commission,RQ21-0110/21-0127,615,62,Commodities ,24,Ea,"PN: BSN26741 Notebook, Steno, 70 Sheets, Wire Bound, Gregg Ruled, 6”x 9”, Green Paper, Stiff Back, 1 EA",MARIA COLON,(512) 344-5402,MARIA.COLON@LOTTERY.STATE.TX.US,See solicitation documentation for specifics,,,https://data.texas.gov/views/dxdw-hs8h/files/12996132-4522-488f-909c-5ebd4e555867?filename=RFQ+21-0110.21-0127.pdf,
362,Texas Lottery Commission,RQ21-0110/21-0127,615,71,Commodities ,10,Box,"PN: SMD68210 Smead Self-Adhesive Fasteners, 1” Size Capacity, Brown, Metal, 100/Box.",MARIA COLON,(512) 344-5402,MARIA.COLON@LOTTERY.STATE.TX.US,See solicitation documentation for specifics,,,https://data.texas.gov/views/dxdw-hs8h/files/84b61d9a-ef40-4fa4-8dbb-4e0b2c97a34f?filename=RFQ+21-0110.21-0127.pdf,
745,,,,,,,,,,,,,,,,
