Agency Number,Agency Name,Solicitation Number,Category,Quantity,"Unit of Sale (Each, Lot, Package, etc.)",Description,Estimated Worth,Contact Name,Contact Phone,Contact Email,Comments,Specs and Drawings,Agency Terms and Conditions,Solicitation Document
802,Texas Parks and Wildlife Department,863-07-42504,7330,88,,All Terrain and Mud Terrain Tires,,Shonta Smith,281.931.6456,shonta.smith@tpwd.texas.gov,,,,https://data.texas.gov/views/hxv2-6hcs/files/93f6fb96-81fc-4e6b-bd63-236ead65b083?filename=863-07-42504_LE.docx
802,Texas Parks and Wildlife Department,073-05-42505_IF,7330,1,,V-Front Cargo Wagon,,Patsy Berry,254.867.7973,patsy.berry@tpwd.texas.gov,,,,https://data.texas.gov/views/hxv2-6hcs/files/dac9b2ec-520a-4528-adf0-47e1328ad60b?filename=073-05-42505_IF.docx
802,Texas Parks and Wildlife Department,200-44-42419_SP,7334,,,Uniform Pants and Shirts,,Tammy Dunham,(512) 389-4752,tammy.dunham,,,,https://data.texas.gov/views/hxv2-6hcs/files/a5394d67-637c-4a67-bccf-cef7078dcd86?filename=200-44-42419_SP.pdf
802,Texas Parks and Wildlife Department,425-60-42372_PC,7334,2,,Ergonomic Office Chairs,,Cassandra Johnson,(512) 389-4784,cassandra.johnnson@tpwd.texas.gov,,,,https://data.texas.gov/views/hxv2-6hcs/files/d9d96f05-e65b-4484-b28b-6cd08acdebc6?filename=425-60-42372_PC_PR.docx
802,Texas Parks and Wildlife Department,425-17-42371_PC,7334,4,,Uplift Height Adjustable Sit/Stand Desks,,Cassandra Johnson,(512) 389-4784,cassandra.johnson@tpwd.texas.gov,,,,https://data.texas.gov/views/hxv2-6hcs/files/919a0da6-2965-42cd-9dd1-a5dd1d2a199f?filename=425-17-42371_PC_PR.docx
802,Texas Parks and Wildlife Department,425-06-42375_FR_EO,7334,30,,Ergonomic Conference Chairs,,Cassandra Johnson,(512) 389-4784,cassandra.johnson@tpwd.texas.gov,,,,https://data.texas.gov/views/hxv2-6hcs/files/919bc8d5-ffb8-45b7-be4c-8763a228babe?filename=425-06-42375_PC.docx
802,Texas Parks and Wildlife Department,680-08-42433_SP,7334,,,"Ballistic Carriers, Mag Inserts and Plates",,Kathleen Foust,(512) 389-8718,kathleen.foust@tpwd.texas.gov,,,,https://data.texas.gov/views/hxv2-6hcs/files/0744319d-d56e-4f4e-9d75-16bdecfa41af?filename=680-08_42433_SP_PR.pdf
802,Texa Parks and Wildlife Department,493-96-42502_IF,7373,1,,Handheld Water Quality Sondes,,Kristi Glenewinkel,(512) 389-4551,kristi.glenewinkel@tpwd.texas.gov,,,,https://data.texas.gov/views/hxv2-6hcs/files/819b8a63-0c17-4dff-919e-cbba4f3d0259?filename=493-96-42502_IF.docx
802,Texas Parks and Wildlife Department,690-43-42329_CF,7373,1,,Standby Diesel Generator Set,,Shannon Quaranta,(512) 389-4725,shannon.quaranta@tpwd.texas.gov,,,,https://data.texas.gov/views/hxv2-6hcs/files/6d24172a-649d-4a57-8e63-ec78e10e053c?filename=690-43-42329_CF_PR.docx
802,Texas Parks and Wildlife Department,020-89-42324_CF,7373,1,,Climate Controlled Utility Tractor,,Amy Ringstaff,512.389.4725,amy.ringstaff@pwd.texas.gov,,,,https://data.texas.gov/views/hxv2-6hcs/files/e30231f1-0915-4506-a118-f42aa9fe482b?filename=020-89-42324_CF_PR.pdf
802,TEXAS PARKS AND WILDLIFE DEPARTMENT,100-31_95005_IF,7373000,1,Each,Used Oil and Antifreeze Storage System,14000.00,Michele Nations,9407792301,michele.nations@tpwd.texas.gov,,,,https://data.texas.gov/views/hxv2-6hcs/files/4a9bc0e4-3731-43e7-8f6a-32fd57e39c52?filename=100-31_95005_IF.pdf
802,Texas Parks and Wildlife Department,204-60-42369_PC,7377,3,,"24"" Computer Monitors",,Cassandra Johnson,(512) 389-4784,cassandra.johnson@tpwd.texas.gov,,,,https://data.texas.gov/views/hxv2-6hcs/files/4891df82-299a-40d9-a13c-35a772c8b743?filename=204-60-43269_PC_PR.docx
362,TEXAS LOTTERY COMMMISSION,RQ18-0757A,75,1,Each,"8 in. Releasable UV Black Nylon Cable Ties – 100 Pack, Item #AL-08-50-RL-0-C",,SIDNEY VALLE,(512) 344-5210,SIDNEY.VALLE@LOTTERY.STATE.TX.US,,,,https://data.texas.gov/views/hxv2-6hcs/files/e2f8e8df-7f06-44dc-b343-5cf311c50047?filename=RFQ+18-0757A.pdf
551,TEXAS DEPARTMENT OF AGRICULTURE,8-08659,ADVERTISING,,EACH,TRANSPORTATION ADVERTISING,,ASHLEY MILLEGAN,512-463-1102,ashley.millegan@texasagriculture.gov,,,https://data.texas.gov/views/hxv2-6hcs/files/1e270910-a156-4545-8923-551afdf9c570?filename=Purchase+Order+Terms+and+Conditions.pdf,https://data.texas.gov/views/hxv2-6hcs/files/e6d72a13-9aae-4cf4-a27b-a1e4a388514a?filename=8-08659+DPAP+Transportation+Advertisements.pdf
551,TEXAS DEPARTMENT OF AGRICULTURE,8-09147,ADVERTISING,,EACH,POST CARDS,,DEBBIE WALL,512-463-7731,debbie.wall@texasagriculture.gov,,,https://data.texas.gov/views/hxv2-6hcs/files/efb8e2a4-b625-4a4a-87eb-5e1947c24be1?filename=Purchase+Order+Terms+and+Conditions.pdf,https://data.texas.gov/views/hxv2-6hcs/files/f9d081b7-e4e8-4200-abb5-3d383dbea60a?filename=8-09147+GO+TEXAN+informational+cards+2018.pdf
551,TEXAS DEPARTMENT OF AGRICULTURE,8-09177,AUTOMOBILES,3,EACH,CHEVROLET MALIBU SEDANS,,JAMONE FIELDS,512-463-4697,jamone.fields@texasagriculture.gov,,,https://data.texas.gov/views/hxv2-6hcs/files/9c70ad15-2879-47a5-8ddd-a58cc907eb2f?filename=Purchase+Order+Terms+and+Conditions.pdf,https://data.texas.gov/views/hxv2-6hcs/files/e39cfaa4-b4bf-45f3-8768-74f473331c57?filename=8-09177+VEHICLES.pdf
732,Texas A&M University-Kingsville,B800020,AWARD- PROMO ITEMS,500,EACH,PROMO ITEMS - BACKPACKS,8600.00,RACHEL BUENTELLO,361-593-4068,rachel.buentello@tamuk.edu,,,,https://data.texas.gov/views/hxv2-6hcs/files/e99091dd-a6d0-4e04-ad2d-ba7a8edc88be?filename=B800020.pdf
323,Teacher Retirement System,323-SBF - 00013,Building Air Filter,168,each,Pleated Filter - size 20x25x2 - Merv 11 - Product #102-500-021,1086.00,LaTresa Stroud,512-542-6307,latresa.stroud@trs.texas.gov,,,,
323,Teacher Retirement System,323-SBF - 00012,Building Air Filter,120,each,Pleated Filter - size 16x25x2 - Merv 11 - Product #102-500-017,648.00,LaTresa Stroud,512-542-6307,latresa.stroud@trs.texas.gov,,,,
323,Teacher Retirement System,323-SBF - 00011,Building Air Filter,72,each,Pleated Filter - size 12x24x2 - Merv 11 - Product #102-500-012,314.00,LaTresa Stroud,512-542-6307,latresa.stroud@trs.texas.gov,,,,
644,Texas Juvenile Justice Department,REQ0039445,Building Construction/Special Trade,1,job,rebuilding of structure,,Brittany williams,325-646-7704,brittany.williams@tjjd.texas.gov,please review specificationa and drawings,https://data.texas.gov/views/hxv2-6hcs/files/07d5d87d-f0a3-4d1f-b411-3bc5137ad4b6?filename=Specs+and+Drawing+040318.pdf,https://data.texas.gov/views/hxv2-6hcs/files/58535b60-d7f7-49cb-9556-790707306373?filename=T+and+C.docx,https://data.texas.gov/views/hxv2-6hcs/files/53c77839-e073-439d-8cad-b0c1f339d43e?filename=Request+for+Quotation+RJ+0039445+.docx
764,Texas A&M University-Texarkana,764-18-203000-0013,C,4,each,"Toner Cartridges, various",,Cynthia Henderson,903-223-3053,cynthia.henderson@tamut.edu,All freight charges must be included with bid pricing submitted,https://data.texas.gov/views/hxv2-6hcs/files/138087a8-93f4-4f94-abba-ead6578e3fbc?filename=ACCESS.2018.CoverPage.041618.doc,https://data.texas.gov/views/hxv2-6hcs/files/ca922810-2c03-4c5c-add2-a87119b7e920?filename=Terms+and+Conditions+of+Purchase.TAMUT.FY2018.pdf,https://data.texas.gov/views/hxv2-6hcs/files/3e87b9ae-9058-4b1d-8614-895c81b525e9?filename=764-18-203000-0013_toner.pdf
103,Texas Legislative Council,103-18-APS 25446,Cable Enclosure,100,Each,Cable Enclosure,1100.00,Craig O'Brien,512-463-1155 x 1129,craig.obrien@tlc.texas.gov,No substitutions allowed on this IFB,,,https://data.texas.gov/views/hxv2-6hcs/files/1194e54b-648c-4c8a-bebc-ec175e46ddde?filename=103-18-APS+25446.pdf
103,Texas Legislative Council,103-18-APS 25433,Card Printer,1,Lot,Equipment for Badge Station,2344.00,Craig O'Brien,512-463-1155 x 1129,craig.obrien@tlc.texas.gov,,,,https://data.texas.gov/views/hxv2-6hcs/files/6e2e3407-b0e7-4fec-a981-3c98c035d89d?filename=103-18-APS+25433.pdf
305,General Land Office,X0015289,Chairs Metal,7,EACH,"RealSpace Modern Comfort Series Winsley Mid-back bonded leather chair, Black, Office Depot Item #388262",,Angela Wallace,512-463-5189,angela.wallace@glo.texas.gov,"if bidding ""equal"" product, please provide all documentation including pictures",,https://data.texas.gov/views/hxv2-6hcs/files/efac72f0-bc32-4de6-8100-3f8b97771fa0?filename=PO+Terms+and+Conditions+5.0.pdf,https://data.texas.gov/views/hxv2-6hcs/files/118b58d8-1064-48e8-aa2a-d03f9e2f1789?filename=X0015289_Realspace+Chair.doc
756,Sul Ross State University,756-001,cleaning supplies,6,ea,lysol spray,,lizette nava,432-837-8004,lnava@sulross.edu,,,https://data.texas.gov/views/hxv2-6hcs/files/4af92357-c3f6-45ef-a3e9-a7d342b66c45?filename=terms+and+conditions.pdf,
756,Sul Ross State University,756-001,cleaning supplies,8,ea,germ-x,,lizette nava,432-837-8004,lnava@sulross.edu,,,https://data.texas.gov/views/hxv2-6hcs/files/95ba556c-2df1-4a9a-be94-ffb7e1eb6c20?filename=terms+and+conditions.pdf,
103,Texas Legislative Council,103-18-APS 25424.5,Coils,17,Boxes,Various Black Coils,211.00,Craig O'Brien,512-463-1155 x 1129,craig.obrien@tlc.texas.gov,,,,https://data.texas.gov/views/hxv2-6hcs/files/862f8b81-6606-4773-b47f-122fb041ede6?filename=103-18-APS+25424.5.pdf
802,Texas Parks and Wildlife Department,802-18-42548SP,Com,,,,,,5123894914,,,,,
761,Texas A&M International University,761-18-018,Comm,120,ea,,,,,,,,,
644,Texas Juvenile Justice Department,Gainesville Mower,Commdity,1,EACH,Pro-turn 400 Series Mower,,Jackie Schmaltz,940-665-0701,jackie.schmaltz@tjjd.texas.gov,"please review attached specification, will accept comparable.",https://data.texas.gov/views/hxv2-6hcs/files/f40b4ed0-caab-4a9d-8276-c2a1601b7673?filename=Specs+on+Mower.docx,https://data.texas.gov/views/hxv2-6hcs/files/24d72443-d7ba-4264-9872-823a7f3229ae?filename=T+and+C.docx,https://data.texas.gov/views/hxv2-6hcs/files/cadda03c-6c75-4105-80dd-c3cab979df49?filename=Request+for+Bid+Mower.docx
580,Texas Water Devopment Board,580-18-0408,Commodies,3,Spools,1000 Ft. Spool #325 braided Kevlar,175.00,Lynn Taylor,512-463-7825,lynn.taylor@twdb.texas.gov,,,,https://data.texas.gov/views/hxv2-6hcs/files/2522288b-cb87-4705-87e8-466b0becfff3?filename=180408.xlsx
580,Texas Water Development Board,580-18-0300,Commodites,25,EA,25 Belkin 3-button Wired USB Optical Mouse with 5-foot Cord and 10 Logitech Wireless Keyboard and Mouse Combo.,540.00,Lynn Taylor,512-463-7825,lynn.taylor@twdb.texas.gov,,,,https://data.texas.gov/views/hxv2-6hcs/files/cbb2b95f-0b10-4a83-8603-8495d4bc6319?filename=180300.xlsx
580,Texas Water Development Board,580-18-0525,Commodites,20,EA,DVI to DisplayPort Adapters,150.00,Lynn Taylor,512-463-7825,lynn.taylor@twdb.texas.gov,,,,https://data.texas.gov/views/hxv2-6hcs/files/526262a7-3b48-46c7-9217-33f6260d808a?filename=180525.xlsx
761,Texas A&M International University,761-18-025,commodities,,,Shirts,,Annie Gutierrez,956-326-2346,ann.gutierrez@tamiu.edu,,,,https://data.texas.gov/views/hxv2-6hcs/files/3895ee55-14a6-48ee-a867-4d8c08bf6452?filename=761-18-025+Screen+Printed+Gold+Shirts.pdf
761,Texas A&M International University,761-18-014,commodities,,,Shirts,,Annie Gutierrez,956-326-2346,ann.gutierrez@tamiu.edu,,,,https://data.texas.gov/views/hxv2-6hcs/files/cb5eed01-af2e-4af1-9e50-fd5ac814f2f6?filename=761-18-014+Screen+Printed+Black+Shirts.pdf
761,Texas A&M International University,761-18-024,commodities,,,Shirts,,Annie Gutierrez,956-326-2346,ann.gutierrez@tamiu.edu,,,,https://data.texas.gov/views/hxv2-6hcs/files/ff42e7f1-5751-4b36-980a-caad5b40232c?filename=761-18-024+Screen+Printed+Maroon+Shirts.pdf
761,Texas A&M International University,761-18-020,commodities,,,Promotional Items,,Annie Gutierrez,956-326-2347,ann.gutierrez@tamiu.edu ,,,,https://data.texas.gov/views/hxv2-6hcs/files/028d4a13-70b2-4923-a247-a55a6651e14a?filename=761-18-020+Promotional+Items.pdf
802,Texas Parks and Wildlife Dept.,802-18-42574_EO,commodities,3,lot,Video recorder & accessories,460.00,Patty Vela,512-389-4458,patty.vela@tpwd.texas.gov,,https://data.texas.gov/views/hxv2-6hcs/files/7851ff4c-ffbc-4a07-8c54-56bd4718bc6f?filename=Camcorder_accessories_specs.pdf,https://data.texas.gov/views/hxv2-6hcs/files/f7b4b583-9840-4cae-8765-a99f2124fb16?filename=T%26C.pdf,https://data.texas.gov/views/hxv2-6hcs/files/cd3a23b1-7376-4235-a069-10b3bff3e1c4?filename=802-18-42574_EO.pdf
761,Texas A&M International Univeristy,761-18-027,commodities ,3,,Dell Optiplex,,Annie Gutierrez,956-326-2346,ann.gutierrez@tamiu.edu,,,,https://data.texas.gov/views/hxv2-6hcs/files/53e7ea27-b6f5-4902-92d9-11872121e092?filename=761-18-027+DellOptiplex.pdf
644,Texas Juvenile Justice Department,REQ0039496,Commodities,49,EACH,Armless Chairs and Corner chairs,,Jackie Schmaltz,940-665-0701,jackie.schmaltz@tjjd.texas.gov,"Review specifications carefull, will accept only Moduform",https://data.texas.gov/views/hxv2-6hcs/files/14e10d0c-136b-42d4-a9b0-b35efc94cdbf?filename=Specs+for+chairs.docx,https://data.texas.gov/views/hxv2-6hcs/files/c0dd7a47-8204-4c5a-8a30-e208e26790df?filename=T+and+C.docx,https://data.texas.gov/views/hxv2-6hcs/files/7d3cb29a-fbd8-466a-afcd-6e3ba3d1cc2f?filename=Request+for+Bid+REQ0039496.docx
580,Texas Water Development Board,580-18-0367,Commodities,1,EA,"Replacement Vacuum belt for Bissell 2031093, 2 pack",7.00,,,,,,,
808,Texas Historical Commission,HR0025,Commodities,200,EA,Exclamation Stress Balls,,Charlotte Craig,512-936-4198,charlotte.craig@thc.texas.gov,,,https://data.texas.gov/views/hxv2-6hcs/files/688d95d0-85b6-461b-99ee-ac8dd795eb58?filename=PO+T%26Cs+%28Updated+3-30-2017%29.pdf,https://data.texas.gov/views/hxv2-6hcs/files/c4a5b45e-25c7-4c46-a073-716c05089b10?filename=HR0025+PROMOTIONAL.pdf
808,Texas Historical Commission,SS0044,Commodities,1,EA,DRAFTING STOOL,,Charlotte Craig,512-936-4198,charlotte.craig@thc.texas.gov,,,https://data.texas.gov/views/hxv2-6hcs/files/6c4499fe-0f4a-45ec-8870-ab2eb3fe5275?filename=PO+T%26Cs+%28Updated+3-30-2017%29.pdf,https://data.texas.gov/views/hxv2-6hcs/files/c8241e2f-8df6-4236-ab1d-2cc2a6345b7d?filename=SS0044+OFFICE+STOOL.pdf
808,Texas Historical Commission,SS0045,Commodities,1,EA,WORKFIT SIT-STAND DESK,,Charlotte Craig,512-936-4198,charlotte.craig@thc.texas.gov,,,https://data.texas.gov/views/hxv2-6hcs/files/da9799e7-9d66-4a6f-9bac-03a3a0113909?filename=PO+T%26Cs+%28Updated+3-30-2017%29.pdf,https://data.texas.gov/views/hxv2-6hcs/files/4f435784-bae5-4258-a4ca-9d2713753c11?filename=SS0045+OFFICE.pdf
808,Texas Historical Commission,SS0045,Commodities,1,EA,ANTI-FATIGUE MAT,,Charlotte Craig,512-936-4198,charlotte.craig@thc.texas.gov,,,https://data.texas.gov/views/hxv2-6hcs/files/1bbbbb14-9271-46cd-a7e5-1affd3e12de2?filename=PO+T%26Cs+%28Updated+3-30-2017%29.pdf,https://data.texas.gov/views/hxv2-6hcs/files/7bbaa275-87a0-412f-83ed-c6d5118e6371?filename=SS0045+OFFICE.pdf
808,Texas Historical Commission,HPD0060,Commodities,8,EA,EASEL BAG BLACK,,Charlotte Craig,512-936-4198,charlotte.craig@thc.texas.gov,,,https://data.texas.gov/views/hxv2-6hcs/files/ef1005f1-b698-4dc5-a6bf-6e18d3ebca6a?filename=PO+T%26Cs+%28Updated+3-30-2017%29.pdf,https://data.texas.gov/views/hxv2-6hcs/files/81128a07-1290-48f8-b049-e0b8a1d5a3cf?filename=HPD0060+OFFICE+ITEMS.pdf
808,Texas Historical Commission,HPD0060,Commodities,1,EA,STAND UP ADJUSTABLE DESK,,Charlotte Craig,512-936-4198,charlotte.craig@thc.texas.gov,,,https://data.texas.gov/views/hxv2-6hcs/files/2546faa2-f94b-4360-8461-f482444460f3?filename=PO+T%26Cs+%28Updated+3-30-2017%29.pdf,https://data.texas.gov/views/hxv2-6hcs/files/b66760c6-b708-4f48-afda-b874301638d4?filename=HPD0060+OFFICE+ITEMS.pdf
808,Texas Historical Commission,LMI0043,Commodities,8,EA,CONAIR HAIR DRYER,,Charlotte Craig,512-936-4198,charlotte.craig@thc.texas.gov,,,https://data.texas.gov/views/hxv2-6hcs/files/a374ae48-6e1c-4c79-a86b-7371fe399886?filename=PO+T%26Cs+%28Updated+3-30-2017%29.pdf,https://data.texas.gov/views/hxv2-6hcs/files/bb43b30f-0899-4edd-b8dd-efa4801eaae3?filename=LMI0043+HAIR+DRYER.pdf
808,Texas Historical Commission,LMI0043,Commodities,1,PKG,HAIR DRYER BAGS PKS/10,,Charlotte Craig,512-936-4198,charlotte.craig@thc.texas.gov,,,https://data.texas.gov/views/hxv2-6hcs/files/2c797b1f-7d5c-4742-82e8-13c06cb0c3ef?filename=PO+T%26Cs+%28Updated+3-30-2017%29.pdf,https://data.texas.gov/views/hxv2-6hcs/files/cc91646d-75fc-45db-a287-de04fa9697ea?filename=LMI0043+HAIR+DRYER.pdf
808,Texas Historical Commission,HR0024,Commodities,1,EA,IMAGE SCANNER,,Charlotte Craig,512-936-4198,charlotte.craig@thc.texas.gov,,,https://data.texas.gov/views/hxv2-6hcs/files/41b8685b-c514-4df2-b685-c529b15ee8da?filename=PO+T%26Cs+%28Updated+3-30-2017%29.pdf,https://data.texas.gov/views/hxv2-6hcs/files/14040370-fec6-4e01-89bf-a3ac22480423?filename=HR0024+SCANNER.pdf
808,Texas Historical Commission,INFO0041,Commodities,1,EA,HOOVER VACUUM,,Charlotte Craig,512-936-4198,charlotte.craig@thc.texas.gov,,,https://data.texas.gov/views/hxv2-6hcs/files/722f4d38-20b3-4539-9c82-79539195140e?filename=PO+T%26Cs+%28Updated+3-30-2017%29.pdf,https://data.texas.gov/views/hxv2-6hcs/files/ecca7f80-a1b5-4da3-b2b6-e419d1ee40cb?filename=INFO0041+VACUUM.pdf
320,Texas Workforce Commission,14295A,Commodities,1,PK,"Wipes, Clorox Disinfecting  ",40.00,Gaye Smith,512-936-3481,dawn.smith@twc.state.tx.us,"6 ea per pkg, 75 wipes per container",,https://data.texas.gov/views/hxv2-6hcs/files/5ebd801c-8172-47c4-91aa-e7d503c69681?filename=Terms+and+Conditions+11-1-2017+%28003%29.docx,
320,Texas Workforce Commission,14295B,Commodities,1,PK,"#576025-Correction Pen, All Purpose",5.00,Gaye Smith,512-936-3481,dawn.smith@twc.state.tx.us,"2 ea per pkg, 7 ml size",,https://data.texas.gov/views/hxv2-6hcs/files/5d8d18c6-1af4-41ba-a0a2-18ffe0292b0b?filename=Terms+and+Conditions+11-1-2017+%28003%29.docx,
320,Texas Workforce Commission,14295C,Commodities,10,EA,BIC Wite-Out EZ Correction Tape,17.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,"1/16"" x 472"", Pink Ribbon Dispenser, MFG #BICWOTAP1SGK",,https://data.texas.gov/views/hxv2-6hcs/files/6fd86ae2-ef0f-4be9-936a-a77ee37d8c58?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
320,Texas Workforce Commission,14295D,Commodities,5,EA,Post-it Notes Cube,32.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,"3 x 3, Blue Ice, 490 sheets, MFG #MMM2056PP",,https://data.texas.gov/views/hxv2-6hcs/files/3109f9ad-479c-480f-ac54-727144851e1f?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
320,Texas Workforce Commission,14295E,Commodities,6,PKG,Avery Permanent Glue Stick,6.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,MFG #191,,https://data.texas.gov/views/hxv2-6hcs/files/a03b1a86-0dfd-4275-8521-7ad0051c9bf1?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
808,Texas Historical Commission,808-18-HR0026,Commodities,2,EA,TABLE TOP BANNER ,,Charlotte Craig,512-936-4198,charlotte.craig@thc.texas.gov,,,https://data.texas.gov/views/hxv2-6hcs/files/f00de6a1-811c-4a76-92b5-7c6e7fb2ef52?filename=PO+T%26Cs+%28Updated+3-30-2017%29.pdf,https://data.texas.gov/views/hxv2-6hcs/files/1fe0c811-278a-4486-bc45-f2bad055c0aa?filename=HR0026+BANNER.pdf
320,Texas Workforce Commission,14461C,Commodities,10,BOX,"File Folder, Reinforced, 2/5 Cut Right Position Tab",23.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,"Letter, Manila, 100/BX, MFG #SMD10386",,https://data.texas.gov/views/hxv2-6hcs/files/0f9147a5-1ff6-451d-90d7-7f905990bae8?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
320,Texas Workforce Commission,14461D,Commodities,4,Carton,"Archive Storage Box, Removeable Lid, Letter/Legal",58.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,"15 x 12 x10, Recycled, 25/CRTN, MFG #S-6521",,https://data.texas.gov/views/hxv2-6hcs/files/ff98d8f7-325e-459b-8abf-0e642f823085?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
320,Texas Workforce Commission,14461E,Commodities,1,BOX,"Power Duster, 10 oz., 6/BX",45.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,MFG #NSN3982473,,https://data.texas.gov/views/hxv2-6hcs/files/8e7c0810-31eb-41fa-9a69-d7f586451bc1?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
320,Texas Workforce Commission,14461F,Commodities,1,EACH,"Wastebasket, 28 Qt./7 Gal. Rectangular",5.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,"Black, MFG #2818BK",,https://data.texas.gov/views/hxv2-6hcs/files/29aa7c3a-42e0-4980-a926-0e228938087e?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
320,Texas Workforce Commission,14461G,Commodities,5,EACH,"Rubber Bands, #19, 1 Lb. Bag",7.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,MFG #855730,,https://data.texas.gov/views/hxv2-6hcs/files/62c58164-112d-46ec-8924-0572547e9558?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
303,Texas Facilities Commission,303-8-01280,Commodities,10,EA,"MousePad Pro Memory Foam, Mouse Pad with Wrist Rest, 9 x 10 x 1, Black",,Rico Gamino,512-936-3567,rico.gamino@tfc.state.tx.us,,,,https://data.texas.gov/views/hxv2-6hcs/files/9d467499-4cc2-4dfd-a964-372ec1a60542?filename=IFB+303-8-01280+Office+Supplies.pdf
320,Texas Workforce Commission,14461H,Commodities,6,Roll,"Commercial Grade Packaging Tape, 1.88"" x 54.6 yds. ",4.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,"3"" Core, Clear, MFG #MMM3750",,https://data.texas.gov/views/hxv2-6hcs/files/c792e168-3431-4a9f-9f4b-6a4aee5f71ef?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
