"license_type","license_number","business_name","license_expiration_date_mmddccyy","mailing_address_line1","mailing_address_line2","mailing_address_city_state_zip","owner_telephone"
"Cosmetology Wig Salon","757017","HOUSTON LACE FRONT WIGS MY TRENDY PLACE","06/23/2023","3631 WINSTROME CT",,"KATY TX 77449-4718",
"Cosmetology Wig Salon","778311","TRANSITIONS WITH APOLLO","04/05/2021","PO BOX 53394",,"LUBBOCK TX 79453-3394",
"Cosmetology Wig Salon","777424","ELEGANCE HAIR DESIGNS","03/08/2023","PO BOX 672",,"LUBBOCK TX 79408-0672",
"Cosmetology Wig Salon","400908","PEGGY'S WIG SALON","04/30/2022","PO BOX 2433",,"VICTORIA TX 77902-2433",
"Cosmetology Wig Salon","767979","WOMEN'S HEALTH BOUTIQUE","03/10/2022","3115 W PARKER RD STE 270",,"PLANO TX 75023-8129",
"Cosmetology Wig Salon","676295","HAIR CLUB FOR MEN LLC","02/28/2022","STE 111","1499 W PALMETTO PARK RD","BOCA RATON FL 33486-3311",
"Cosmetology Wig Salon","733813","ABBA WIGS AND ALL CRANIAL NEEDS","12/14/2022","1105 KRAMER LN",,"AUSTIN TX 78758-4308",
"Cosmetology Wig Salon","750872","WIG SALON","07/08/2022","711 WYNNEWOOD VILLAGE SHP CTR",,"DALLAS TX 75224-1831",
"Cosmetology Wig Salon","817558","TRANSITIONS WITH APOLLO","03/02/2023","PO BOX 53394",,"LUBBOCK TX 79453-3394",
"Cosmetology Wig Salon","796564","HAIR SOLUTIONS BY SHARON","01/22/2021","4959 S HULEN ST",,"FORT WORTH TX 76132-1407",
"Cosmetology Wig Salon","740206","MIMI'S WIG BOUTIQUE","07/09/2022","7522 CAMPBELL RD STE 112",,"DALLAS TX 75248-1726",
"Cosmetology Vocational/High School","702033","BAY CITY HIGH SCHOOL","01/12/2023","400 7TH ST",,"BAY CITY TX 77414-4840",
"Cosmetology Vocational/High School","705087","JOHN A DUBISKI CAREER HIGH SCHOOL","09/17/2022","2990 S STATE HIGHWAY 161",,"GRAND PRAIRIE TX 75052-7247",
"Cosmetology Vocational/High School","702820","HUNTSVILLE HS COSMETOLOGY","10/14/2022","441 FM 2821 RD E",,"HUNTSVILLE TX 77320-9223",
"Cosmetology Vocational/High School","705465","GREENVILLE HIGH SCHOOL","03/05/2023","3515 LIONS LAIR RD",,"GREENVILLE TX 75402",
"Cosmetology Vocational/High School","705542","LA FERIA COSMETOLOGY ACADEMY","06/07/2023","203 E OLEANDER",,"LA FERIA TX 78559-5102",
"Cosmetology Vocational/High School","702076","BIRDVILLE CENTER OF TECHNOLOGY","02/25/2023","7020 MID CITIES BLVD",,"NORTH RICHLAND HILLS TX 76180",
"Cosmetology Vocational/High School","705458","NAVASOTA HIGH SCHOOL","02/02/2023","1 RATTLER DR",,"NAVASOTA TX 77868-3321",
"Cosmetology Vocational/High School","702082","BUINGER CAREER & TECH EDUCATION ACADEMY","12/31/2022","1849 CENTRAL DR BLDG E",,"BEDFORD TX 76022-6096",
"Cosmetology Vocational/High School","702092","MILLER CAREER & TECHNOLOGY CENTER","04/08/2023","1734 KATYLAND DR",,"KATY TX 77493-1751",
"Cosmetology Vocational/High School","702104","LEANDER HIGH SCHOOL","12/31/2022","PO BOX 218",,"LEANDER TX 78646-0218",
"Cosmetology Vocational/High School","702157","SKYLINE HIGH SCHOOL","07/28/2022","7777 FORNEY RD",,"DALLAS TX 75227-2505",
"Cosmetology Vocational/High School","705356","MANOR SENIOR HIGH SCHOOL","08/09/2022","14832 N FM 973 RD",,"MANOR TX 78653-3540",
"Cosmetology Vocational/High School","702096","LA GRANGE HIGH SCHOOL","12/31/2022","PO BOX 100",,"LA GRANGE TX 78945-0100",
"Cosmetology Vocational/High School","702473","CAREER & TECHNOLOGY INSTITUTE","12/31/2022","104 PROFIT DR",,"VICTORIA TX 77901-7346",
"Cosmetology Vocational/High School","702056","LAGRONE ACADEMY","12/31/2022","1504 LONG RD",,"DENTON TX 76207-4234",
"Cosmetology Vocational/High School","702142","ROBERT E LEE HIGH SCHOOL","04/07/2023","1809 MARKET ST",,"BAYTOWN TX 77520-6543",
"Cosmetology Vocational/High School","702214","SEMINOLE HIGH SCHOOL","08/24/2022","2100 NW AVENUE D",,"SEMINOLE TX 79360-3006",
"Cosmetology Vocational/High School","702564","LANGHAM CREEK HIGH SCHOOL","12/31/2022","PO BOX 692003",,"HOUSTON TX 77269-2003",
"Cosmetology Vocational/High School","702804","DESOTO HIGH SCHOOL","08/11/2022","600 EAGLE DR",,"DESOTO TX 75115-6006",
"Cosmetology Vocational/High School","702128","NORTH SIDE HIGH SCHOOL","01/22/2023","2211 MCKINLEY AVE E108",,"FORT WORTH TX 76164-7739",
"Cosmetology Vocational/High School","702126","NACOGDOCHES HIGH SCHOOL","08/18/2022","4310 APPLEBY SAND RD",,"NACOGDOCHES TX 75965-2232",
"Cosmetology Vocational/High School","702072","GALENA PARK HIGH SCHOOL","01/20/2023","1001 PARKSIDE DR",,"GALENA PARK TX 77547-2943",
"Cosmetology Vocational/High School","702155","SEGUIN HIGH SCHOOL","12/31/2022","1315 E CEDAR ST",,"SEGUIN TX 78155-3903",
"Cosmetology Vocational/High School","702118","MCALLEN HIGH SCHOOL","01/26/2023","2021 LA VISTA AVE",,"MCALLEN TX 78501-6130",
"Cosmetology Vocational/High School","705140","EASTLAKE HIGH SCHOOL","01/31/2023","13000 EMERALD PASS AVE",,"HORIZON CITY TX 79928-7295",
"Cosmetology Vocational/High School","702108","LIT CYPRESS-MAURICEVILLE H S","04/24/2023","7327 HIGHWAY 87 N",,"ORANGE TX 77632-9278",
"Cosmetology Vocational/High School","702075","GROVETON HIGH SCHOOL","12/31/2022","PO BOX 700",,"GROVETON TX 75845-0700",
"Cosmetology Vocational/High School","702042","BURBANK HIGH SCHOOL","04/06/2023","1002 EDWARDS",,"SAN ANTONIO TX 78204-2621",
"Cosmetology Vocational/High School","705505","CRANDALL ISD","11/12/2022","400 W LEWIS ST",,"CRANDALL TX 75114",
"Cosmetology Vocational/High School","702268","LEGACY SENIOR HIGH SCHOOL","04/29/2023","3500 NEELY AVE",,"MIDLAND TX 79707-5810",
"Cosmetology Vocational/High School","702100","LANCASTER HIGH SCHOOL","04/03/2023","200 E WINTERGREEN RD",,"LANCASTER TX 75134-3477",
"Cosmetology Vocational/High School","705168","PRINCETON ISD CATE CENTER","08/23/2022","321 PANTHER PKWY",,"PRINCETON TX 75407-9183",
"Cosmetology Vocational/High School","702533","HARLINGEN CISD COSMETOLOGY","03/21/2023","207 E JACKSON ST",,"HARLINGEN TX 78550-6847",
"Cosmetology Vocational/High School","702049","CONROE VOC HIGH SCHOOL","01/06/2023","1712 WILSON RD",,"CONROE TX 77304-2028",
"Cosmetology Vocational/High School","702058","DUNCANVILLE HIGH SCHOOL","10/15/2022","900 W CAMP WISDOM RD",,"DUNCANVILLE TX 75116-3021",
"Cosmetology Vocational/High School","705066","PALMVIEW HIGH SCHOOL","04/08/2023","3901 N LA HOMA RD",,"PALMVIEW TX 78574-5752",
"Cosmetology Vocational/High School","705445","LUBBOCK-COOPER HIGH SCHOOL","10/02/2022","910 WOODROW ROAD",,"LUBBOCK TX 79423-4724",
"Cosmetology Vocational/High School","705304","CANEY CREEK HIGH SCHOOL","01/24/2023","13470 FM 1485 RD",,"CONROE TX 77306-8119",
"Cosmetology Vocational/High School","705088","CYPRESS LAKES HIGH SCHOOL","08/20/2022","PO BOX 692003",,"HOUSTON TX 77269-2003",
"Cosmetology Vocational/High School","705222","SHEARS OF STEELE","09/18/2022","606 N WALNUT ST",,"ROANOKE TX 76262-6108",
"Cosmetology Vocational/High School","702164","STILWELL TECHNICAL CENTER","03/17/2023","3501 SGT LUCIEN ADAMS BLVD",,"PORT ARTHUR TX 77642-6461",
"Cosmetology Vocational/High School","702111","LUBBOCK PUBLIC SCHOOLS","03/20/2023","2004 19TH ST",,"LUBBOCK TX 79401-4606",
"Cosmetology Vocational/High School","705139","MARSHALL HIGH SCHOOL","12/14/2022","PO BOX 43",,"MARSHALL TX 75671-0043",
"Cosmetology Vocational/High School","702064","EL CAMPO HIGH SCHOOL","12/31/2022","700 W NORRIS ST",,"EL CAMPO TX 77437-2432",
"Cosmetology Vocational/High School","702102","NAVARRO HIGH SCHOOL","02/11/2023","1201 PAYTON GIN RD",,"AUSTIN TX 78758-6616",
"Cosmetology Vocational/High School","702028","ANDREWS ISD","01/18/2023","405 NW 3RD ST",,"ANDREWS TX 79714-5014",
"Cosmetology Vocational/High School","705004","CYPRESS-SPRINGS HIGH SCHOOL","12/25/2022","PO BOX 692003",,"HOUSTON TX 77269-2003",
"Cosmetology Vocational/High School","702174","WAXAHACHIE HIGH SCHOOL","12/31/2022","3001 W HIGHWAY 287 BYP",,"WAXAHACHIE TX 75167-8411",
"Cosmetology Vocational/High School","702123","MILBY HIGH SCHOOL","01/31/2023","1601 BROADWAY ST",,"HOUSTON TX 77012-3721",
"Cosmetology Vocational/High School","705303","HAMILTON HIGH SCHOOL COSMETOLOGY","11/10/2022","611 S COLLEGE ST",,"HAMILTON TX 76531-2504",
"Cosmetology Vocational/High School","702167","TEMPLE HIGH SCHOOL","03/01/2023","415 N 31ST ST",,"TEMPLE TX 76504-2426",
"Cosmetology Vocational/High School","705275","POTEET HIGH SCHOOL","09/08/2022","3300 POTEET DR",,"MESQUITE TX 75150-4760",
"Cosmetology Vocational/High School","705125","TECHNOLOGY, EXPLORATION & CAREER CENTER","08/23/2022","2553 PARKER RD",,"THE COLONY TX 75056-5672",
"Cosmetology Vocational/High School","705231","RAINS HIGH COSMETOLOGY SCHOOL","02/08/2023","PO BOX 247",,"EMORY TX 75440-0247",
"Cosmetology Vocational/High School","702140","RICE HIGH SCHOOL","12/31/2022","PO BOX 338",,"ALTAIR TX 77412-0338",
"Cosmetology Vocational/High School","705056","MAGNOLIA WEST HIGH SCHOOL","04/12/2023","42202 FM 1774 RD",,"MAGNOLIA TX 77354-4204",
"Cosmetology Vocational/High School","702169","TEXAS CITY HIGH SCHOOL","03/25/2023","1431 9TH AVE N",,"TEXAS CITY TX 77590-5447",
"Cosmetology Vocational/High School","702267","RIO GRANDE CITY HIGH SCHOOL","02/18/2023","5726 N FM 755",,"RIO GRANDE CITY TX 78582-9825",
"Cosmetology Vocational/High School","705503","WEST ORANGE STARK HIGH SCHOOL","11/05/2022","1400 NEWTON ST",,"ORANGE TX 77630-6735",
"Cosmetology Vocational/High School","702101","LANIER HIGH SCHOOL","01/19/2023","1514 W CESAR E CHAVEZ BLVD",,"SAN ANTONIO TX 78207-3936",
"Cosmetology Vocational/High School","705302","TAFT HIGH SCHOOL","09/20/2022","5900 EVERS RD",,"SAN ANTONIO TX 78238-1606",
"Cosmetology Vocational/High School","702115","MAGNOLIA HIGH SCHOOL","12/31/2022","PO BOX 428",,"MAGNOLIA TX 77353-0428",
"Cosmetology Vocational/High School","702741","JOHN JAY HIGH SCHOOL","01/12/2023","7611 MARBACH RD",,"SAN ANTONIO TX 78227-1608",
"Cosmetology Vocational/High School","702348","SOCORRO HIGH SCHOOL","01/31/2023","10150 ALAMEDA AVE",,"SOCORRO TX 79927-1600",
"Cosmetology Vocational/High School","705195","MERCEDES ISD COSMETOLOGY DEPT","08/23/2022","PO BOX 419",,"MERCEDES TX 78570-0419",
"Cosmetology Vocational/High School","705338","NEW CANEY HIGH SCHOOL","02/12/2023","21650 LOOP 494",,"NEW CANEY TX 77357-8240",
"Cosmetology Vocational/High School","705084","CLEAR VIEW HIGH SCHOOL","07/21/2022","500 S WALNUT ST",,"WEBSTER TX 77598-5122",
"Cosmetology Vocational/High School","705398","CURLY Q'S","08/05/2022","4260 RANCH ROAD 967",,"BUDA TX 78610-3380",
"Cosmetology Vocational/High School","702161","SPRING BRANCH GUTHRIE CENTER","12/31/2022","10660 HAMMERLY BLVD",,"HOUSTON TX 77043-2302",
"Cosmetology Vocational/High School","705273","TYLER ISD CAREER AND TECHNOLOGY CENTER","08/25/2022","3013 EARL CAMPBELL PKWY",,"TYLER TX 75701-8407",
"Cosmetology Vocational/High School","702775","RED OAK HIGH SCHOOL","12/31/2022","P O BOX 9000",,"RED OAK TX 75154-6518",
"Cosmetology Vocational/High School","702740","EDCOUCH-ELSA CAREER & TECH CENTER","01/25/2023","PO BOX 127",,"EDCOUCH TX 78538-0127",
"Cosmetology Vocational/High School","702084","JAMES REESE CAREER AND TECHNICAL SCHOOL","03/17/2023","16431 LEXINGTON BOULEVARD",,"SUGAR LAND TX 77479-2308",
"Cosmetology Vocational/High School","702341","TECC-WEST","03/02/2023","1250-A FM 3040",,"LEWISVILLE TX 75067",
"Cosmetology Vocational/High School","702094","KLEIN HIGH SCHOOL","12/31/2022","16715 STUEBNER AIRLINE RD",,"SPRING TX 77379-7376",
"Cosmetology Vocational/High School","702260","WEST MESQUITE HIGH SCHOOL","12/31/2022","2500 MEMORIAL BLVD",,"MESQUITE TX 75149-3702",
"Cosmetology Vocational/High School","702024","ALDINE HIGH SCHOOL","11/29/2022","11101 AIRLINE DR",,"HOUSTON TX 77037-1113",
"Cosmetology Vocational/High School","705226","SOMERSET HIGH SCHOOL","08/23/2022","PO BOX 279",,"SOMERSET TX 78069-0279",
"Cosmetology Vocational/High School","702098","LA MARQUE HIGH SCHOOL","02/03/2023","397 DUROUX RD",,"LA MARQUE TX 77568-3461",
"Cosmetology Vocational/High School","705233","DONNA NORTH HIGH SCHOOL","12/13/2022","7250 N VAL VERDE RD",,"DONNA TX 78537-2767",
"Cosmetology Vocational/High School","705386","BURKBURNETT HIGH SCHOOL","02/28/2023","109 W KRAMER RD",,"BURKBURNETT TX 76354-2608",
"Cosmetology Vocational/High School","702798","CLINT HIGH SCHOOL","10/18/2022","14521 HORIZON BLVD",,"EL PASO TX 79928-8564",
"Cosmetology Vocational/High School","705372","LULING HIGH SCHOOL","03/08/2023","218 E TRAVIS ST",,"LULING TX 78648-2900",
"Cosmetology Vocational/High School","705277","SABINE PASS SCHOOL","11/18/2022","PO BOX 1148",,"SABINE PASS TX 77655-1148",
"Cosmetology Vocational/High School","702119","MCKINNEY HIGH SCHOOL","12/31/2022","1400 WILSON CREEK PKWY",,"MC KINNEY TX 75069-5320",
"Cosmetology Vocational/High School","705362","LEE HIGH SCHOOL","08/20/2022","1400 JACKSON KELLER RD",,"SAN ANTONIO TX 78213-3206",
"Cosmetology Vocational/High School","702374","LA JOYA I S D","12/31/2022","604 N COYOTE DR",,"LA JOYA TX 78560-4009",
"Cosmetology Vocational/High School","702806","CONROE CAREER-TECH COSMETOLOGY","01/25/2023","27330 OAK RIDGE SCHOOL RD",,"CONROE TX 77385-9042",
"Cosmetology Vocational/High School","702171","TRIMBLE TECH HIGH SCHOOL","01/22/2023","1003 W CANNON ST UNIT 275",,"FORT WORTH TX 76104-3030",
"Cosmetology Vocational/High School","702492","TRIMBLE TECH HIGH SCHOOL","01/22/2023","1003 W CANNON ST",,"FORT WORTH TX 76104-3030",
"Cosmetology Vocational/High School","702089","JERSEY VILLAGE HIGH SCHOOL","12/31/2022","PO BOX 692003",,"HOUSTON TX 77269-2003",
"Cosmetology Vocational/High School","702544","BISD CAREER CENTER","03/02/2023","2330 NORTH ST",,"BEAUMONT TX 77702-1723",
"Cosmetology Vocational/High School","702122","MIDLAND I S D","02/22/2023","906 W ILLINOIS AVE",,"MIDLAND TX 79701-6154",
"Cosmetology Vocational/High School","702381","DONNA HIGH SCHOOL","12/31/2022","2301 E WOOD AVE",,"DONNA TX 78537-0629",
"Cosmetology Vocational/High School","705249","ROYAL HIGH SCHOOL","11/16/2022","PO BOX 469",,"PATTISON TX 77466-0469",
"Cosmetology Vocational/High School","705124","PORTER HIGH SCHOOL","08/06/2022","22625 SANDY LN",,"PORTER TX 77365-5594",
"Cosmetology Vocational/High School","705311","VETERANS MEMORIAL HIGH SCHOOL","02/27/2023","7618 E EVANS RD",,"SAN ANTONIO TX 78266-3000",
"Cosmetology Vocational/High School","702023","ABILENE HIGH SCHOOL","02/01/2023","2800 N 6TH ST",,"ABILENE TX 79603-7125",
"Cosmetology Vocational/High School","705167","MT VERNON ISD","08/09/2022","509 TEXAS HIGHWAY 37",,"MOUNT VERNON TX 75457-3605",
"Cosmetology Vocational/High School","705090","CYPRESS FALLS HIGH SCHOOL","08/20/2022","PO BOX 692003",,"HOUSTON TX 77269-2003",
"Cosmetology Vocational/High School","705091","CYPRESS CREEK HIGH SCHOOL","09/26/2022","PO BOX 692003",,"HOUSTON TX 77269-2003",
"Cosmetology Vocational/High School","702560","BISD SCHOOL OF COSMETOLOGY","12/31/2022","1905 E 6TH STREET",,"BROWNSVILLE TX 78520-7906",
"Cosmetology Vocational/High School","702138","R L TURNER HIGH SCHOOL","03/25/2023","1600 S JOSEY LN",,"CARROLLTON TX 75006-8937",
"Cosmetology Vocational/High School","702662","SAN ELIZARIO HIGH SCHOOL","09/01/2022","PO BOX 920",,"SAN ELIZARIO TX 79849-0920",
"Cosmetology Vocational/High School","705417","BREWER HIGH SCHOOL","01/16/2023","1025 W LOOP 820 N",,"FORT WORTH TX 76108-1055",
"Cosmetology Vocational/High School","705378","BRADY ISD","02/18/2023","1003 W 11TH ST",,"BRADY TX 76825-5306",
"Cosmetology Vocational/High School","705278","SANTA MARIA ISD SCHOOL OF COSMETOLOGY","03/30/2023","PO BOX 448",,"SANTA MARIA TX 78592-0448",
"Cosmetology Vocational/High School","705308","MARLIN HIGH SCHOOL","02/15/2023","130 COLEMAN ST",,"MARLIN TX 76661-2811",
"Cosmetology Vocational/High School","705053","MOUNTAIN VIEW HIGH SCHOOL","09/18/2022","14964 GREG DR",,"EL PASO TX 79938-9213",
"Cosmetology Vocational/High School","702281","KLEIN OAK HIGH SCHOOL","12/31/2022","22603 NORTHCREST DR",,"SPRING TX 77389-4451",
"Cosmetology Vocational/High School","702666","DUNBAR HIGH SCHOOL","01/22/2023","5700 RAMEY AVE",,"FORT WORTH TX 76112-7959",
"Cosmetology Vocational/High School","702106","LIBERTY EYLAU HIGH SCHOOL","12/31/2022","2905 LEOPARD DR",,"TEXARKANA TX 75501-7817",
"Cosmetology Vocational/High School","705336","A.C. JONES HIGH SCHOOL","02/18/2023","1902 N ADAMS ST",,"BEEVILLE TX 78102-2707",
"Cosmetology Vocational/High School","702238","BILL R JOHNSON CAREER & TECH ED CENTER","11/13/2022","1900 LONGHORN TRAIL",,"FT WORTH TX 76036",
"Cosmetology Vocational/High School","702737","EL DORADO HIGH SCHOOL","01/31/2023","12401 EDGEMERE BLVD",,"EL PASO TX 79938-4484",
"Cosmetology Vocational/High School","705436","CUERO HIGH SCHOOL","07/23/2022","920 E BROADWAY ST",,"CUERO TX 77954-2131",
"Cosmetology Vocational/High School","702175","WEATHERFORD HIGH SCHOOL","12/31/2022","2121 BETHEL RD",,"WEATHERFORD TX 76087-9449",
"Cosmetology Vocational/High School","705272","POTEET HIGH SCHOOL COSMETOLOGY","07/21/2022","PO BOX 138",,"POTEET TX 78065-0138",
"Cosmetology Vocational/High School","702081","HUMBLE HIGH SCHOOL","01/10/2023","1700 WILSON RD",,"HUMBLE TX 77338-6118",
"Cosmetology Vocational/High School","702129","PALACIOS HIGH SCHOOL","02/02/2023","100 SHARK DR",,"PALACIOS TX 77465-3630",
"Cosmetology Vocational/High School","702150","SAM HOUSTON HIGH SCHOOL","09/01/2022","4635 E HOUSTON ST",,"SAN ANTONIO TX 78220-1717",
"Cosmetology Vocational/High School","705395","GONZALES HIGH SCHOOL","07/10/2022","1801 N SARAH DEWITT DR",,"GONZALES TX 78629-2868",
"Cosmetology Vocational/High School","702052","CY-FAIR HIGH SCHOOL","01/23/2023","PO BOX 692003",,"HOUSTON TX 77269-2003",
"Cosmetology Vocational/High School","702077","HARLANDALE HIGH SCHOOL","06/26/2022","114 E GERALD AVE",,"SAN ANTONIO TX 78214-2119",
"Cosmetology Vocational/High School","702720","CYPRESS RIDGE HIGH SCHOOL","12/31/2022","PO BOX 692003",,"HOUSTON TX 77269-2003",
"Cosmetology Vocational/High School","705481","PSJA COSMETOLOGY AT BALLEW","08/13/2022","704 WEST RIDGE ROAD",,"SAN JUAN TX 78589",
"Cosmetology Vocational/High School","705143","JUAREZ-LINCOLN HIGH SCHOOL","01/28/2023","801 N COYOTE DR",,"LA JOYA TX 78560-4010",
"Cosmetology Vocational/High School","702124","MISSION HIGH SCHOOL","09/01/2022","1802 W 18TH ST",,"MISSION TX 78572-2753",
"Cosmetology Vocational/High School","705228","SAN BENITO HIGH SCHOOL","09/05/2022","240 N CROCKETT ST",,"SAN BENITO TX 78586-4608",
"Cosmetology Vocational/High School","705400","COMMUNITY ISD","09/01/2022","PO BOX 400",,"NEVADA TX 75173-0400",
"Cosmetology Vocational/High School","705225","JB HENSLER COLLEGE & CAREER ACADEMY","08/22/2022","7380 LEWIS LN",,"MANVEL TX 77578-4738",
"Cosmetology Vocational/High School","705537","WHARTON HIGH SCHOOL","05/26/2023","1 TIGER AVE",,"WHARTON TX 77488-2932",
"Cosmetology Vocational/High School","705019","JOSHUA ISD","07/09/2022","909 S BROADWAY ST",,"JOSHUA TX 76058-3155",
