Agency Number,Agency Name,Solicitation Number,Class Code,Item Code,Category,Quantity,"Unit of Sale (Each, Lot, Package, etc.)",Description,Estimated Worth (OLD),Contact Name,Contact Phone,Contact Email,Comments,Specs and Drawings,Agency Terms and Conditions,Solicitation Document,Estimated Worth
752,University of North Texas (Denton),IFB-752-20-2001-GO,,,,80,,Robot - Teachin Aide,,Greg Obar,9403695647,greg.obar@untsystem.edu,,https://data.texas.gov/views/uk2f-keq4/files/26590e60-4889-4de9-bb48-e931b15ab945?filename=IFB-752-20-1001-GO.pdf,,,
752,University of North Texas (Denton),IFB-752-20-2002-GO,,,,,,Bed Bug Treatments 2020 -2021 for Residence Halls,,Greg Obar,940.369.5647,greg.obar@untsystem.edu,,,,https://data.texas.gov/views/uk2f-keq4/files/af1f31fc-c394-497c-bc3b-997f2925f056?filename=IFB-752-20-1002-GO.pdf,
763,UNT Health Science Center,IFB-763-20-2001-GO,,,,,,Lab Animal Diet Items,,Greg Obar,940.369.5647,greg.obar@untsystem.edu,,https://data.texas.gov/views/uk2f-keq4/files/97bba58f-9cac-4f47-ae58-45e564f60bc1?filename=IFB-763-20-2001-GO.pdf,,,
763,UNT Health Science Center,IFB-763-20-2002-GO,,,,,,Lab Animal Bedding Items,,Greg Obar,940.369.5647,greg.obar@untsystem.edu,,https://data.texas.gov/views/uk2f-keq4/files/bdc5bd2a-fba3-482c-bef1-b92c6e765fa1?filename=IFB-763-20-2002-GO.pdf,,,
763,UNT Health Science Center,IFB-763-20-2003-GO,,,,,,Lab Animal Enrichment,,Greg Obar,940.369.5647,greg.obar@untsystem.edu,,https://data.texas.gov/views/uk2f-keq4/files/eaaa76e9-5d48-4f54-b68b-f886da8e45eb?filename=IFB-763-20-2003-GO.pdf,,,
763,UNT Health Science Center,IFB-763-20-2004-GO,,,,,,Lab Animal PPE Items,,Greg Obar,940.369.5647,greg.obar@untsystem.edu,,https://data.texas.gov/views/uk2f-keq4/files/4b209778-bd55-4279-9300-738a568a04cd?filename=IFB-763-20-2004-GO.pdf,,,
763,UNT Health Science Center,IFB-763-20-2005-GO,,,,,,Lab Animal Supplies,,Greg Obar,940.369.5647,greg.obar@untsystem.edu,,https://data.texas.gov/views/uk2f-keq4/files/805efb86-7ec2-420d-b83f-7713dc6759e9?filename=IFB-763-20-2005-GO.pdf,,,
763,UNT Health Science Center,IFB-763-20-2006-GO,,,,,,Lab Animal Chemical Items,,Greg Obar,940.369.5647,greg.obar@untsystem.edu,,https://data.texas.gov/views/uk2f-keq4/files/fd4bd4b0-a727-4c1d-aa41-f33289ee7011?filename=IFB-763-20-2006-GO.pdf,,,
769,UNT System,IFB-769-20-3001-GO,,,,,,Promotional Items,,Greg Obar,940.369.5647,greg.obar@untsystem.edu,,https://data.texas.gov/views/uk2f-keq4/files/38ea5ba6-75ce-45e2-a589-ea0ba18b0de9?filename=IFB-769-20-3001-GO.pdf,,,
773,UNT Dallas,IFB-773-20-4001-GO,,,,,,Janitorial Supplies - UNT Dallas Campus,,Greg Obar,940.369.5647,greg.obar@untsystem.edu,,https://data.texas.gov/views/uk2f-keq4/files/519f6337-8010-4f91-a50e-737c85fba04d?filename=IFB-773-20-4001-GO.pdf,,,
773,UNT Dallas,IFB-773-20-4002-GO,,,,,,Janitorial Supplies - UNT Dallas Law Center,,Greg Obar,940.369.5647,greg.obar@untsystem.edu,,https://data.texas.gov/views/uk2f-keq4/files/ad59d7da-af26-425f-93bb-d160ebeda1f5?filename=IFB-773-20-4002-GO.pdf,,,
773,UNT Dallas,IFB-773-20-4003-GO,,,,,,Promotional Items,,Greg Obar,940.369.5647,greg.obar@untsystem.edu,,https://data.texas.gov/views/uk2f-keq4/files/c19e6993-7ab6-4595-af3f-5b02558b5104?filename=IFB-773-20-4003-GO.pdf,,,
551,Texas Department of Agriculture,0000001375,685,25,,16,each,Lyon Technologies High-Intensity Egg Candler 120V,4576.00,Jack Hammond,,Jack.Hammond@texasagricuclture.gov,See bid sheet for specifications.  Cost per each not to exceed $286.00 each,,https://data.texas.gov/views/uk2f-keq4/files/73398aff-a91d-4f32-9688-182a8b6ab300?filename=TDA_Terms_and_Conditions__as_of__9.1.2019.pdf,https://data.texas.gov/views/uk2f-keq4/files/9f80bc95-d8b3-4f63-944e-44af5fcb61af?filename=SPOT+Bid+Fair+FY20+-+REQ+0000001375+-+Egg+Candlers+%28002%29.doc,
752,University of North Texas (Denton),IFB-752-20-2003-GO,,,,,,International Mail Processing,,Greg Obar,940.369.5647,greg.obar@untsystem.edu,,,,https://data.texas.gov/views/uk2f-keq4/files/15abf290-9f0c-4a07-8b31-68866f84de17?filename=IFB-752-20-1003-GO.pdf,
773,UNT Dallas,IFB-773-20-4004-GO,,,,,,Dell Computer Needs at UNT Dallas Main Campus,,Greg Obar,940.369.5647,greg.obar@untsystem.edu,,https://data.texas.gov/views/uk2f-keq4/files/57350562-a79d-4e77-aea1-3013a50e47b6?filename=IFB-773-20-4004-GO.pdf,,,
773,UNT Dallas,IFB-773-20-4005-GO,,,,,,Dell Computer Needs at UNT Dallas College of Law,,Greg Obar,940.369.5647,greg.obar@untsystem.edu,,https://data.texas.gov/views/uk2f-keq4/files/4aa0fa0d-997e-43e8-b945-e8a53fd738bb?filename=IFB-773-20-4005-GO.pdf,,,
773,UNT Dallas,IFB-773-20-4006-GO,,,,,,Gaming Tables and Chairs for UNT Dallas,,Greg Obar,940.369.5647,greg.obar@untsystem.edu,,https://data.texas.gov/views/uk2f-keq4/files/0cc4a250-36e9-406a-90e5-812268716bd2?filename=IFB-773-20-4006-GO.pdf,,,
362,Texas Lottery Commission,RQ20-1072,839,85,Commodities ,2,each,Jabra Biz 1500 Duo Direct Connect Headset. Model: 1519-0157+1200,,"Debbie Pina, Purchasing Manager ",(512) 344-5367,debbie.pina@lottery.state.tx.us,,,,https://data.texas.gov/views/uk2f-keq4/files/a449457d-8167-4ab6-ab56-239ca666bbab?filename=RFQ+20-1072.pdf,
362,Texas Lottery Commission,RQ20-1072,204,48,Commodities ,5,Each,Microsoft Natural Ergonomic Keyboard 4000. Part#: B2M-00012 ,,"Debbie Pina, Purchasing Manager ",(512) 344-5367,debbie.pina@lottery.state.tx.us,,,,https://data.texas.gov/views/uk2f-keq4/files/95f15874-f1c8-4a54-842e-9c70dc98a694?filename=RFQ+20-1072.pdf,
362,Texas Lottery Commission,RQ20-1072,204,68,Commodities ,5,Each,Evoluen VerticalMouse 4 Small (VM4S),,"Debbie Pina, Purchasing Manager ",(512) 344-5367,debbie.pina@lottery.state.tx.us,,,,https://data.texas.gov/views/uk2f-keq4/files/b2b55045-2f4e-49a6-bf46-a1f005990efe?filename=RFQ+20-1072.pdf,
362,Texas Lottery Commission,RQ20-1072,204,76,Commodities ,5,Each,HP Smart Tank Plus 551 Wireless Color Inkjet All-in-One printer. Model #: 6HF11A#B1H,,"Debbie Pina, Purchasing Manager ",(512) 344-5367,debbie.pina@lottery.state.tx.us,,,,https://data.texas.gov/views/uk2f-keq4/files/e144c3ce-7922-44b6-95e3-e39b35f57324?filename=RFQ+20-1072.pdf,
362,Texas Lottery Commission,RQ20-1072,204,68,Commodities ,5,Each,HP OfficeJet Pro 9015 All-in-One Printer. Model #: 1KR42A#B1H ,,"Debbie Pina, Purchasing Manager ",(512) 344-5367,debbie.pina@lottery.state.tx.us,,,,https://data.texas.gov/views/uk2f-keq4/files/f8e1e46f-7f31-4cf0-877c-8d69c0079390?filename=RFQ+20-1072.pdf,
362,Texas Lottery Commission,RQ20-1072,204,32,Commodities ,5,Each,"LaCie Rugged USB-C 5TB External Hard Drive Portable HDD - USB 3.0, Drop Shock Dust Rain REsistant Shuttle Drive, for Mac and PC",,"Debbie Pina, Purchasing Manager ",(512) 344-5367,debbie.pina@lottery.state.tx.us,,,,https://data.texas.gov/views/uk2f-keq4/files/c041aa03-7e00-48af-bea8-5ca5209167ca?filename=RFQ+20-1072.pdf,
362,Texas Lottery Commission,RQ20-1071,839,85,Commodities ,10,Each,Wireless Bluetooth Headsets - Logitech H800 Wireless Headset - Bluetooth Enabled – Mfr Part #: 981-000337,,"Debbie Pina, Purchasing Manager ",(512) 344-5367,debbie.pina@lottery.state.tx.us,,,,https://data.texas.gov/views/uk2f-keq4/files/f1628d47-e2bd-45e3-a8ae-a6432bc8d5ad?filename=RFQ+20-1071.pdf,
362,Texas Lottery Commission,RQ20-1070,204,77,Commodities ,1,Each,HP Color LaserJet Pro MFP M479fdn,,"Debbie Pina, Purchasing Manager ",(512) 344-5367,debbie.pina@lottery.state.tx.us,,,,https://data.texas.gov/views/uk2f-keq4/files/378a41c3-a97b-4cec-b379-24102f8aa880?filename=RFQ+20-1070.pdf,
362,Texas Lottery Commission,RQ20-1070,204,77,Commodities ,2,Each,HP LaserJet Pro MFP M227fdn,,"Debbie Pina, Purchasing Manager ",(512) 344-5367,debbie.pina@lottery.state.tx.us,,,,https://data.texas.gov/views/uk2f-keq4/files/75d6fe70-47a5-4891-b760-36bf99aaee75?filename=RFQ+20-1070.pdf,
362,Texas Lottery Commission,RQ20-1070,204,13,Commodities,10,Each,Manhattan 355346 6ft. 4K UHD High Speed HDMI Male to HDMI Male. SKU: 355346,,"Debbie Pina, Purchasing Manager ",(512) 344-5367,debbie.pina@lottery.state.tx.us,,,,https://data.texas.gov/views/uk2f-keq4/files/37eeae7a-2940-4695-b947-a50152becd7b?filename=RFQ+20-1070.pdf,
362,Texas Lottery Commission,RQ20-1070,204,13,Commodities ,10,Each,USB 2.0 A Male / B Male Cable - 10 ft. SKU: 620-10,,"Debbie Pina, Purchasing Manager ",(512) 344-5367,debbie.pina@lottery.state.tx.us,,,,https://data.texas.gov/views/uk2f-keq4/files/61f03bce-a151-4631-8904-e00ca1d4fea5?filename=RFQ+20-1070.pdf,
769,UNT System,IFB-769-20-3002-GO,,,,,,Apple Macbook Pro and Accessories,,Greg Obar,940.369.5647,greg.obar@untsystem.edu,,,,https://data.texas.gov/views/uk2f-keq4/files/58cf662d-119f-4c8f-8434-7badac948243?filename=IFB-769-20-3002-GO.pdf,
769,UNT System,IFB-769-20-3003-GO,,,,,,Dell Computers for UNTS Finance,,Greg Obar,940.369.5647,greg.obar@untsystem.edu,,,,https://data.texas.gov/views/uk2f-keq4/files/0ebc48c2-f545-4c01-9d5c-30da557c2e41?filename=IFB-769-20-3003-GO.pdf,
362,Texas Lottery Commission,RQ20-1070,204,13,Commodities,15,Each,"Anker 4-Port USB 3.0 Hub, Ultra-Slim Data USB Hub with 2ft. Extended Cable. ASIN: B07L32B9C2",,"Debbie Pina, Purchasing Manager ",(512) 344-5367,debbie.pina@lottery.state.tx.us,,,,https://data.texas.gov/views/uk2f-keq4/files/4c46a37e-b3fb-4b44-9387-b1a00a3d1e03?filename=RFQ+20-1070.pdf,
362,Texas Lottery Commission,RQ20-1062,204,91,Commodities ,1,Each,Video Backup Server - PowerEdge R7515 - amer r7515 13734 as per the attached configuration.,,"Debbie Pina, Purchasing Manager ",(512) 344-5367,debbie.pina@lottery.state.tx.us,,,,https://data.texas.gov/views/uk2f-keq4/files/59618839-523d-4d3d-af05-ac632b32bcb1?filename=RFQ+20-1062.pdf,
716,Texas A&M Engineering Extension Service (TEEX),TTF2-1,615,,commodities,,each,Various Office Supplies,,Yvette Tschirhart,,yvette.tschirhart@teex.tamu.edu,,,,https://data.texas.gov/views/uk2f-keq4/files/a16a7183-c8a7-46c1-8a72-f06baaee90dd?filename=ACCESS+Spot+Bid+Request+TTF2-1.docx,
716,Texas A&M Engineering Extension Service (TEEX),TTF1-1,615,,commodities,,each,Various Office Supplies,,Yvette Tschirhart,,yvette.tschirhart@teex.tamu.edu,,,,https://data.texas.gov/views/uk2f-keq4/files/7b4f6b73-83cb-4ace-a52a-8cf1e9036895?filename=ACCESS+Spot+Bid+Request+TTF1-1.docx,
716,Texas A&M Engineering Extension Service,25-1,475,,commodities,,each,"Duct Tape, Sealing Tape, Nitrile Gloves, Hand Sanitizer, Copy Paper",,Yvette Tschirhart,,yvette.tschirhart@teex.tamu.edu,,,,https://data.texas.gov/views/uk2f-keq4/files/75b4d887-1084-4e1f-81ed-b3411e68435b?filename=ACCESS+Spot+Bid+Request+25-1.docx,
362,Texas Lottery Commission,RQ20-1079,485,51,Commodities ,12,Cases,"PN: 100850916 Disinfectant Cleaner, Unscented, 32 oz. Cleaner Container Size, Bottle Cleaner Container Type, by Diversey, Non-corrosive and Non-irritating to skin and eyes at dilution, No PPE Required, 30 Second Contact Time, 12/Case",,"Debbie Pina, Purchasing Manager ",(512) 344-5367,debbie.pina@lottery.state.tx.us,,,,https://data.texas.gov/views/uk2f-keq4/files/2a43e8aa-4aad-4c9d-8e9b-7170a6c64e05?filename=RFQ+20-1079.pdf,
362,Texas Lottery Commission,RQ20-1079,485,51,Commodities ,2,Cases,"PN: NSN5562834 Hand Sanitizer Foam Refill, 1200Ml, 3/Case",,"Debbie Pina, Purchasing Manager ",(512) 344-5367,debbie.pina@lottery.state.tx.us,,,,https://data.texas.gov/views/uk2f-keq4/files/9ec9aa8e-bf9d-4b09-a51e-86adfe4f64be?filename=RFQ+20-1079.pdf,
362,Texas Lottery Commission,RQ20-1079,485,51,Commodities ,10,Pack,"PN: RAC93010CT Brand Disinfecting Wipes Ocean Fresh Scent 7 x 8 White 110 Canister, 6/Pack",,"Debbie Pina, Purchasing Manager ",(512) 344-5367,debbie.pina@lottery.state.tx.us,,,,https://data.texas.gov/views/uk2f-keq4/files/5e9bbece-5445-41cb-8024-4079483b037f?filename=RFQ+20-1079.pdf,
362,Texas Lottery Commission,RQ20-1079,485,51,Commodities ,12,Cases,"PN: 102403, Disinfectant Cleaner, Clean Floral, 32 oz. Cleaner Container Size, Bottle Cleaner Container Type, by Spartan, Noncorrosive and Non-irritating to skin and eyes at dilution, No PPE Required, 30 Second Contact Time, 12/Case",,"Debbie Pina, Purchasing Manager ",(512) 344-5367,debbie.pina@lottery.state.tx.us,,,,https://data.texas.gov/views/uk2f-keq4/files/819beb43-c765-4f19-9017-53c6e445ee63?filename=RFQ+20-1079.pdf,
751,Texas A&M University-Commerce,2020-0001,204,53,Commodities,65,Each,Dell Optiplex 7470 All-in-One,75000.00,Travis Ball,903-886-5060,Travis.Ball@tamuc.edu,,,,https://data.texas.gov/views/uk2f-keq4/files/0416c6d3-25f3-4d4c-8514-8901eba06b15?filename=Invitiation+for+Bids-All+In+Ones+2020-0001.pdf,
711,Texas A&M University,711-20-2001-SSC,670,55,,20,Each,SLOAN REGAL FLUSH VALVE DIAPHRAGM KIT (SEE GRAINGER 4LW52)  SLOAN A42A ONLY,650.00,Cindy Gillar,9798459010,c-gillar@tamu.edu,Email bid responses to hubprogram@tamu.edu,,https://data.texas.gov/views/uk2f-keq4/files/18d42c7f-54ac-4bd3-9fb3-8c7115227ad3?filename=tamu-bid-terms.pdf,https://data.texas.gov/views/uk2f-keq4/files/13ec1196-72de-4aab-9cd6-d5d65bf721c3?filename=711-20-2001-SSC.pdf,
711,Texas A&M University,711-20-2004-UES,485,16,,10,Each,"SIMPLEGREEN 1 GALLON CONCENTRATE SIMPLE GREEN[REG] LIQUID CLEANER/DEGREASER,  (FASTENAL # 620351-131414) SIMPLE GREEN 2710200613005 ONLY",183.30,Cindy Gillar,9798459010,c-gillar@tamu.edu,Email bid responses to hubprogram@tamu.edu,,https://data.texas.gov/views/uk2f-keq4/files/22384116-9db2-4ead-ac44-92b8d35c65d6?filename=tamu-bid-terms.pdf,https://data.texas.gov/views/uk2f-keq4/files/1e7071e1-5506-4e32-abbb-f0799f3ddf0b?filename=711-20-2004-UES.pdf,
711,Texas A&M University,711-20-2001-SSC,670,55,,12,each,IN-SINK-ERATOR BADGER 5 GARBAGE DISPOSAL (SEE GRAINGER 5H877)    IN-SINK-ERATOR BADGER 5 ONLY,1458.00,CINDY GILLAR,9798459010,C-GILLAR@TAMU.EDU,,,https://data.texas.gov/views/uk2f-keq4/files/12225a77-97ec-47fd-bf87-d485ca628575?filename=tamu-bid-terms.pdf,https://data.texas.gov/views/uk2f-keq4/files/7ad4dd8c-9bbc-4c9c-80ed-700e24c1f4d3?filename=711-20-2001-SSC.pdf,
763,UNT Health Science Center,IFB-763-20-2010-GO,,,,,,Campus Tree Pruning 2020,,Greg Obar,940.369.5647,greg.obar@untsystem.edu,,,,https://data.texas.gov/views/uk2f-keq4/files/f1e8a23f-5acf-40d8-b31d-430f4f96996b?filename=IFB-763-20-2010-GO.pdf,
716,Texas A&M Engineering Extension Service (TEEX),45-1,645,,commodities,20,cases,"20# Copy Bond Paper 8.5x11 (2 different brands, see attached bid document)",800.00,Yvette Tschirhart,,yvette.tschirhart@teex.tamu.edu,,,,https://data.texas.gov/views/uk2f-keq4/files/71b1d458-5a85-42de-8411-83d683f3c791?filename=ACCESS+Spot+Bid+Request+45-1.docx,
716,Texas A&M Engineering Extension Service,45-2,207,72,commodities,48,bx,HP Laserjet Toner,7200.00,Yvette Tschirhart,,yvette.tschirhart@teex.tamu.edu,,,,https://data.texas.gov/views/uk2f-keq4/files/b0e139d8-8dc7-4401-b54b-1d743df7eec0?filename=ACCESS+Spot+Bid+Request+45-2.docx,
711,Texas A&M University,711-20-2001-SSC,670,55,,20,Each,CHICAGO KITCHEN FAUCET WITH SPRAYER (SEE GRAINGER 29RR69) CHICAGO 432-ABCP ONLY,2830.00,Cindy Gillar,9798459010,c-gillar@tamu.edu,Email bid responses to hubprogram@tamu.edu,,https://data.texas.gov/views/uk2f-keq4/files/9cfa926f-0841-4066-8639-b9465365493e?filename=tamu-bid-terms.pdf,https://data.texas.gov/views/uk2f-keq4/files/ffe51f1c-ccc5-4bcd-8657-faf746bca71a?filename=711-20-2001-SSC.pdf,
711,Texas A&M University,711-20-2001-SSC,670,55,,100,Each,"KISSLER BRASS 1-1/2"" TOILET SPUD, INCLUDING WASHER (SEE GRAINGER 23YV78) KISSLER 57-0520 (OR EQUIVALENT)",1140.00,Cindy Gillar,9798459010,c-gillar@tamu.edu,Email bid responses to hubprogram@tamu.edu,,https://data.texas.gov/views/uk2f-keq4/files/b4ad8014-f334-4b62-a744-5ce17cf9560b?filename=tamu-bid-terms.pdf,https://data.texas.gov/views/uk2f-keq4/files/dbc4b2bd-4b55-4aea-9120-c9b073b54533?filename=711-20-2001-SSC.pdf,
711,Texas A&M University,711-20-2001-SSC,670,55,,100,Each,SLOAN REGAL FLUSH VALVE REBUILD KIT  (SEE GRAINER 2VEE5) SLOAN REGAL R1003A ONLY,3075.00,Cindy Gillar,9798459010,c-gillar@tamu.edu,Email bid responses to hubprogram@tamu.edu,,https://data.texas.gov/views/uk2f-keq4/files/1e8474b8-d449-4371-9657-886d42785b6c?filename=tamu-bid-terms.pdf,https://data.texas.gov/views/uk2f-keq4/files/98cc1d5a-be8a-4b80-b0e1-fdfd7598ecac?filename=711-20-2001-SSC.pdf,
711,Texas A&M University,711-20-2001-SSC,670,55,,50,Each,"SLOAN REGAL FLUSH VALVE DIAPHRAGM KIT, SOLD EACH (SEE GRAINGER 5P213) SLOAN A38A ONLY",1337.50,Cindy Gillar,9798459010,c-gillar@tamu.edu,Email bid responses to hubprogram@tamu.edu,,https://data.texas.gov/views/uk2f-keq4/files/ae393097-be15-45b0-a014-4bcf5f943574?filename=tamu-bid-terms.pdf,https://data.texas.gov/views/uk2f-keq4/files/24336c1a-3cf3-4bf0-8e0f-42e606b4d6c2?filename=711-20-2001-SSC.pdf,
763,UNT Health Science Center,IFB-763-20-2013-GO,,,,,,Air Filters,,Greg Obar,940.369.5647,greg.obar@untsystem.edu,,,,https://data.texas.gov/views/uk2f-keq4/files/3e93c44f-ad3f-4fe4-ae9c-33d121e1f915?filename=IFB-763-20-2013-GO.pdf,
716,Texas A&M Engineering Extension Service,45-3,385,14,commodities,,Cases,"Coffee, Creamer, Sugar, Spoons, Foam Cups",,Yvette Tschirhart,,yvette.tschirhart@teex.tamu.edu,,,,https://data.texas.gov/views/uk2f-keq4/files/2ce46877-5e33-40bb-9faa-b31be330b649?filename=ACCESS+Spot+Bid+Request+45-3.docx,
711,Texas A&M University,711-20-2001-SSC,670,55,,30,Each,SLOAN REGAL FLUSH VALVE DIAPHRAGM KIT (SEE GRAINGER 5P212)  SLOAN A37A ONLY,795.00,Cindy Gillar,9798459010,c-gillar@tamu.edu,Email bid responses to hubprogram@tamu.edu,,https://data.texas.gov/views/uk2f-keq4/files/7a48a473-7697-40b4-828d-70aa8d8564cb?filename=tamu-bid-terms.pdf,https://data.texas.gov/views/uk2f-keq4/files/3caef798-ba31-4daa-89c0-1e2d6c0d2d4e?filename=711-20-2001-SSC.pdf,
711,Texas A&M University,711-20-2001-SSC,670,55,,20,Each,"SOLAN ROYAL FLUSHOMETER 3.5GPF FLUSH VALVE, SOLD EACH (SEE GRAINGER 5P009)  SLOAN ROYAL 110-3.5 ONLY",3920.00,Cindy Gillar,9798459010,c-gillar@tamu.edu,Email bid responses to hubprogram@tamu.edu,,https://data.texas.gov/views/uk2f-keq4/files/c5994681-d714-40a4-a539-021cb3b55c7b?filename=tamu-bid-terms.pdf,https://data.texas.gov/views/uk2f-keq4/files/70670b98-f132-4e56-b33d-601affbe8bbc?filename=711-20-2001-SSC.pdf,
711,Texas A&M University,711-20-2001-SSC,670,55,,20,Each,ACORN SV16 SHOWER REPLACEMENT CARTRIDGE (SEE GRAINGER 54EK63)  ACORN 7800-175-001 ONLY,1960.00,Cindy Gillar,9798459010,c-gillar@tamu.edu,Email bid responses to hubprogram@tamu.edu,,https://data.texas.gov/views/uk2f-keq4/files/2de4c98e-15f8-442f-b829-83ea22772030?filename=tamu-bid-terms.pdf,https://data.texas.gov/views/uk2f-keq4/files/7fa2303e-0f87-4a33-bc04-47990284b3da?filename=711-20-2001-SSC.pdf,
711,Texas A&M University,711-20-2004-UES,485,16,,100,Each,CRC CABLE CLEANER (GRAINGER 4YPJ4)  CRC INDUSTRIES 02069 ONLY,4112.00,Cindy Gillar,9798459010,c-gillar@tamu.edu,Email bid responses to hubprogram@tamu.edu,,https://data.texas.gov/views/uk2f-keq4/files/d2bcefea-08fa-4844-a5f7-70e6e8dc4294?filename=tamu-bid-terms.pdf,https://data.texas.gov/views/uk2f-keq4/files/d517cf47-0eed-4da9-832d-3366349ad2c7?filename=711-20-2004-UES.pdf,
711,Texas A&M University,711-20-2001-SSC,670,55,,30,Each,ACORN SV16 SHOWER REPLACEMENT CARTRIDGE W/ BONNET (SEE GRAINGER 54EK65) ACORN 7800-502-001 ONLY,3885.00,Cindy Gillar,9798459010,c-gillar@tamu.edu,Email bid responses to hubprogram@tamu.edu,,https://data.texas.gov/views/uk2f-keq4/files/39cb01ef-dc46-4024-a2a0-35ba5e368457?filename=tamu-bid-terms.pdf,https://data.texas.gov/views/uk2f-keq4/files/966e9815-1669-4156-9538-c384bed85325?filename=711-20-2001-SSC.pdf,
