"rowid","fiscal_year","fund","fund_description","project_id","project_description","dept","department_description","actuals","budget"
"2013-117-9330040-3300","2013","12","BICYCLE TAX","9330040","PLANNING","3300","PROJECTS TRAFFIC ENG","1005.00","87285.00"
"2013-117-9330041-3300","2013","12","BICYCLE TAX","9330041","TRAIL ST CROSSING SFTY IMPROV","3300","PROJECTS TRAFFIC ENG","0.00","38204.00"
"2013-117-9330043-3300","2013","12","BICYCLE TAX","9330043","BICYCLE FRIENDLY COMMUNITIES","3300","PROJECTS TRAFFIC ENG","0.00","18953.00"
"2013-117-9330045-3300","2013","12","BICYCLE TAX","9330045","PROJECT MANAGEMENT ENGINEERING","3300","PROJECTS TRAFFIC ENG","5172.16","18082.00"
"2013-117-9330051-3300","2013","12","BICYCLE TAX","9330051","GM-BIKE MAP ONLINE","3300","PROJECTS TRAFFIC ENG","0.00","34950.00"
"2013-117-9330054-3300","2013","12","BICYCLE TAX","9330054","URBAN TRAIL CONSTRUCTION","3300","PROJECTS TRAFFIC ENG","2821.00","3582.00"
"2013-117-9400318-5000","2013","12","BICYCLE TAX","9400318","TRAIL WAYFINDING SIGNAGE","5000","PROJECTS PARKS AND REC","0.00","9895.00"
"2013-117-9400390-5000","2013","12","BICYCLE TAX","9400390","PROJECT MANAGEMENT TRAILS","5000","PROJECTS PARKS AND REC","0.00","24800.00"
"2013-117-9400407-5000","2013","12","BICYCLE TAX","9400407","TRAIL BICYCLE COUNTING EQUIP","5000","PROJECTS PARKS AND REC","9752.92","28000.00"
"2013-118-9160028-5901","2013","12","TRAILS OPEN SPACE PARKS FUND","9160028","SALES AND USE TAX REFUNDS","5901","TOPS TRAILS","25297.52","0.00"
"2013-118-9400040-5902","2013","12","TRAILS OPEN SPACE PARKS FUND","9400040","LAND ACQUISITION","5902","TOPS OPEN SPACE","31592.51","50000.00"
"2013-118-9400085-5901","2013","12","TRAILS OPEN SPACE PARKS FUND","9400085","ROCK ISL TRL SHKS RN PP GRNWY","5901","TOPS TRAILS","100.00","196913.00"
"2013-118-9400089-5901","2013","12","TRAILS OPEN SPACE PARKS FUND","9400089","TRAILS ACQUISITION AND CONSTR","5901","TOPS TRAILS","23310.00","23310.00"
"2013-118-9400095-5904","2013","12","TRAILS OPEN SPACE PARKS FUND","9400095","ADMINISTRATION","5904","TOPS ADMIN","0.00","720.00"
"2013-118-9400106-5903","2013","12","TRAILS OPEN SPACE PARKS FUND","9400106","PROJECTS TO BE DETERMINED","5903","TOPS PARKS","0.00","1001.00"
"2013-118-9400115-5901","2013","12","TRAILS OPEN SPACE PARKS FUND","9400115","ROCK ISLAND TRAIL ACQUISITION","5901","TOPS TRAILS","0.00","11390.00"
"2013-118-9400118-5901","2013","12","TRAILS OPEN SPACE PARKS FUND","9400118","ROCKRIMMON TRAIL CONST","5901","TOPS TRAILS","18226.00","18226.00"
"2013-118-9400119-5901","2013","12","TRAILS OPEN SPACE PARKS FUND","9400119","ROCKRIMMON TRAIL PLANNING","5901","TOPS TRAILS","2453.00","2453.00"
"2013-118-9400120-5901","2013","12","TRAILS OPEN SPACE PARKS FUND","9400120","SAND CRK TRAIL PLN ACQ DEV","5901","TOPS TRAILS","79253.23","746418.00"
"2013-118-9400131-5901","2013","12","TRAILS OPEN SPACE PARKS FUND","9400131","MIDLAND TRAIL","5901","TOPS TRAILS","0.00","775763.00"
"2013-118-9400175-5901","2013","12","TRAILS OPEN SPACE PARKS FUND","9400175","SKYLINE TRAIL","5901","TOPS TRAILS","1511.00","140000.00"
"2013-118-9400241-5901","2013","12","TRAILS OPEN SPACE PARKS FUND","9400241","TRAIL CROSSINGS SFTY IMPROV","5901","TOPS TRAILS","17059.80","43742.00"
"2013-118-9400302-5902","2013","12","TRAILS OPEN SPACE PARKS FUND","9400302","BLODGETT OS IMPROVEMENTS","5902","TOPS OPEN SPACE","0.00","15252.00"
"2013-118-9400309-5902","2013","12","TRAILS OPEN SPACE PARKS FUND","9400309","RED ROCKS CANYON","5902","TOPS OPEN SPACE","1006807.00","1006807.00"
"2013-118-9400315-5901","2013","12","TRAILS OPEN SPACE PARKS FUND","9400315","S SHOOKS RUN TRAIL PP COSTILLA","5901","TOPS TRAILS","100.00","358350.00"
"2013-118-9400330-5905","2013","12","TRAILS OPEN SPACE PARKS FUND","9400330","MAINTENANCE SALARY","5905","TOPS MAINTENANCE","0.00","0.00"
"2013-118-9400343-5901","2013","12","TRAILS OPEN SPACE PARKS FUND","9400343","UNIVERSITY PRK TRAIL PHASE II","5901","TOPS TRAILS","315.00","113484.00"
"2013-118-9400344-5901","2013","12","TRAILS OPEN SPACE PARKS FUND","9400344","COTTONWOOD TRAIL PHASE II","5901","TOPS TRAILS","69131.71","1521738.00"
"2013-118-9400348-5902","2013","12","TRAILS OPEN SPACE PARKS FUND","9400348","RED ROCK MASTR PLAN IMPLEMEN","5902","TOPS OPEN SPACE","8211.20","242425.00"
"2013-118-9400356-5901","2013","12","TRAILS OPEN SPACE PARKS FUND","9400356","TEMPLETON GAP TRAIL","5901","TOPS TRAILS","23000.00","193973.00"
"2013-118-9400363-5902","2013","12","TRAILS OPEN SPACE PARKS FUND","9400363","OPEN SPACE TRAIL DEVELOPMENT","5902","TOPS OPEN SPACE","0.00","28114.00"
"2013-118-9400370-5903","2013","12","TRAILS OPEN SPACE PARKS FUND","9400370","MEMORIAL PARK HANDBALL CRTS","5903","TOPS PARKS","46440.38","50000.00"
"2013-118-9400381-5903","2013","12","TRAILS OPEN SPACE PARKS FUND","9400381","VENEZIA COM PRK DEV PHASE I","5903","TOPS PARKS","37.74","1994580.00"
"2013-118-9400396-5901","2013","12","TRAILS OPEN SPACE PARKS FUND","9400396","MANITOU INCLINE","5901","TOPS TRAILS","17268.75","97210.00"
"2013-118-9400398-5901","2013","12","TRAILS OPEN SPACE PARKS FUND","9400398","GM-MASON BOEHMER TRAIL","5901","TOPS TRAILS","5811.00","6250.00"
"2013-118-9400399-5903","2013","12","TRAILS OPEN SPACE PARKS FUND","9400399","GM-MCREYNOLDS DAY USE","5903","TOPS PARKS","1323.02","5477.00"
"2013-118-9400402-5903","2013","12","TRAILS OPEN SPACE PARKS FUND","9400402","VILLAGE GREEN IRRIG REPLACMENT","5903","TOPS PARKS","277620.00","283000.00"
"2013-118-9400408-5901","2013","12","TRAILS OPEN SPACE PARKS FUND","9400408","MILTON PROBY TRAIL EXTENSION","5901","TOPS TRAILS","0.00","75000.00"
"2013-118-9400409-5901","2013","12","TRAILS OPEN SPACE PARKS FUND","9400409","SAND CRK TRL AIRPORT UNDERPASS","5901","TOPS TRAILS","115664.84","125000.00"
"2013-118-9400410-5901","2013","12","TRAILS OPEN SPACE PARKS FUND","9400410","SAND CRK TRL CONSTIT PALMER PR","5901","TOPS TRAILS","0.00","555000.00"
"2013-118-9400411-5901","2013","12","TRAILS OPEN SPACE PARKS FUND","9400411","SAND CRK TRL HANCOCK CROSSING","5901","TOPS TRAILS","4103.50","395000.00"
"2013-118-9400412-5901","2013","12","TRAILS OPEN SPACE PARKS FUND","9400412","SAND CRK TRL STETHILL DUBLIN","5901","TOPS TRAILS","10725.00","325000.00"
"2013-118-9400413-5903","2013","12","TRAILS OPEN SPACE PARKS FUND","9400413","MEMORIAL PARK TENNIS LIGHTING","5903","TOPS PARKS","115822.00","117000.00"
"2013-118-9400416-5903","2013","12","TRAILS OPEN SPACE PARKS FUND","9400416","ARTIFICIAL TURF FIELDS","5903","TOPS PARKS","1161871.53","2180000.00"
"2013-118-9400417-5903","2013","12","TRAILS OPEN SPACE PARKS FUND","9400417","PLAYGROUND RENOVATION","5903","TOPS PARKS","0.00","250000.00"
"2013-118-9400418-5903","2013","12","TRAILS OPEN SPACE PARKS FUND","9400418","IRRIGATION RENOVATION","5903","TOPS PARKS","216226.47","250000.00"
"2013-118-9400419-5903","2013","12","TRAILS OPEN SPACE PARKS FUND","9400419","TENNIS COURT REPLACEMENT","5903","TOPS PARKS","779236.40","1030000.00"
"2013-118-9400422-5902","2013","12","TRAILS OPEN SPACE PARKS FUND","9400422","UTE VALLEY ACQUISITION","5902","TOPS OPEN SPACE","2541419.72","2622500.00"
"2013-119-9400001-5000","2013","12","CONSERVATION TRUST","9400001","LOTTERY PARKS MAINTENANCE","5000","PROJECTS PARKS AND REC","40412.24","39437.00"
"2013-119-9400016-5000","2013","12","CONSERVATION TRUST","9400016","SIDWLK PROJ TO BE DETERMINED","5000","PROJECTS PARKS AND REC","5115.75","5116.00"
"2013-119-9400019-5000","2013","12","CONSERVATION TRUST","9400019","TRAILS","5000","PROJECTS PARKS AND REC","7420.44","22271.00"
"2013-119-9400029-5000","2013","12","CONSERVATION TRUST","9400029","EMERG REPAIR","5000","PROJECTS PARKS AND REC","18447.12","45028.00"
"2013-119-9400332-5000","2013","12","CONSERVATION TRUST","9400332","MAINT OF OUTDOOR SCULPTURE","5000","PROJECTS PARKS AND REC","0.00","6369.00"
"2013-119-9400378-5000","2013","12","CONSERVATION TRUST","9400378","RED ROCK LANDFILL MONITOR","5000","PROJECTS PARKS AND REC","14975.86","22344.00"
"2013-119-9400396-5000","2013","12","CONSERVATION TRUST","9400396","MANITOU INCLINE","5000","PROJECTS PARKS AND REC","0.00","50000.00"
"2013-119-9400401-5000","2013","12","CONSERVATION TRUST","9400401","PEDESTRIAN BRIDGE REPAIRS","5000","PROJECTS PARKS AND REC","33200.00","106975.00"
"2013-119-9400402-5000","2013","12","CONSERVATION TRUST","9400402","VILLAGE GREEN IRRIG REPLACMENT","5000","PROJECTS PARKS AND REC","16818.92","46928.00"
"2013-119-9400414-5000","2013","12","CONSERVATION TRUST","9400414","MASTER PLN PRKS-TRLS-OPEN SP","5000","PROJECTS PARKS AND REC","35463.30","175000.00"
"2013-119-9400417-5000","2013","12","CONSERVATION TRUST","9400417","PLAYGROUND RENOVATION","5000","PROJECTS PARKS AND REC","0.00","650000.00"
"2013-119-9400420-5000","2013","12","CONSERVATION TRUST","9400420","TURF REDUCTION","5000","PROJECTS PARKS AND REC","123175.08","467000.00"
"2013-119-9400421-5000","2013","12","CONSERVATION TRUST","9400421","BUILDING RENOVATION","5000","PROJECTS PARKS AND REC","49190.00","250000.00"
"2013-151-9160022-1300","2013","12","PUBLIC SPACE AND DEVELOPMENT","9160022","FOR FINANCE JOURNALS","1300","PROJECTS FINANCE","4782.09","0.00"
"2013-151-9400369-5000","2013","12","PUBLIC SPACE AND DEVELOPMENT","9400369","MON VALLEY PRK MICKELSON AREA","5000","PROJECTS PARKS AND REC","0.00","46218.00"
"2013-151-9400370-5000","2013","12","PUBLIC SPACE AND DEVELOPMENT","9400370","MEMORIAL PARK HANDBALL CRTS","5000","PROJECTS PARKS AND REC","285357.00","285857.00"
"2013-151-9400381-5000","2013","12","PUBLIC SPACE AND DEVELOPMENT","9400381","VENEZIA COM PRK DEV PHASE I","5000","PROJECTS PARKS AND REC","0.00","824148.00"
"2013-151-9400405-5000","2013","12","PUBLIC SPACE AND DEVELOPMENT","9400405","SAND CREEK LAND ACQUISITION","5000","PROJECTS PARKS AND REC","0.00","54100.00"
"2013-166-9160015-1300","2013","12","LODGERS AND AUTO RENTAL TAX","9160015","TRANSFER TO GEN FUND","1300","PROJECTS FINANCE","928866.43","866000.00"
"2013-166-9160022-1300","2013","12","LODGERS AND AUTO RENTAL TAX","9160022","FOR FINANCE JOURNALS","1300","PROJECTS FINANCE","290.40","0.00"
"2013-166-9160024-1300","2013","12","LODGERS AND AUTO RENTAL TAX","9160024","COPPER WEB EVENTS CALENDAR","1300","PROJECTS FINANCE","39000.00","39000.00"
"2013-166-9160032-1300","2013","12","LODGERS AND AUTO RENTAL TAX","9160032","ECONOMIC DEVELOP AGENCIES","1300","PROJECTS FINANCE","145000.00","165000.00"
"2013-166-9160033-1300","2013","12","LODGERS AND AUTO RENTAL TAX","9160033","COLO SPGS PHILHARMONIC","1300","PROJECTS FINANCE","90000.00","90000.00"
"2013-166-9160034-1300","2013","12","LODGERS AND AUTO RENTAL TAX","9160034","BALLOON CLASSIC","1300","PROJECTS FINANCE","6339.90","6596.00"
"2013-166-9520004-4900","2013","12","LODGERS AND AUTO RENTAL TAX","9520004","TOUR PROMO","4900","PROJECTS ECON DEVELOP","2781745.71","2696000.00"
"2013-166-9730003-7300","2013","12","LODGERS AND AUTO RENTAL TAX","9730003","PIKES PEAK HILL CLIMB","7300","PROJECTS PIKES PEAK","25000.00","25000.00"
"2013-166-9730005-7300","2013","12","LODGERS AND AUTO RENTAL TAX","9730005","PP MARATHON AND ASCENT","7300","PROJECTS PIKES PEAK","8000.00","8000.00"
"2013-166-9730010-7300","2013","12","LODGERS AND AUTO RENTAL TAX","9730010","PIKES PEAK CYCLING HILL CLIMB","7300","PROJECTS PIKES PEAK","3470.00","5000.00"
"2013-166-9730011-7300","2013","12","LODGERS AND AUTO RENTAL TAX","9730011","PIKES PEAK GATEWAY VIS CNTR","7300","PROJECTS PIKES PEAK","0.00","0.00"
"2013-167-9400090-5000","2013","12","STREET TREE FEE FUND","9400090","TREES","5000","PROJECTS PARKS AND REC","113.43","23760.00"
"2013-170-9050008-1100","2013","12","CABLE FRANCHISE","9050008","SPRINGS TV","1100","PROJECTS CITY MANGEMENT","414100.16","434940.00"
"2013-170-9160022-1300","2013","12","CABLE FRANCHISE","9160022","FOR FINANCE JOURNALS","1300","PROJECTS FINANCE","256.10","0.00"
"2013-170-9870001-8700","2013","12","CABLE FRANCHISE","9870001","PEOPLESOFT PROJECT","8700","PROJECTS INFO TECHNOLOGY","531336.42","574142.00"
"2013-170-9870007-8700","2013","12","CABLE FRANCHISE","9870007","S CO EDUC TV CONSORTIUM","8700","PROJECTS INFO TECHNOLOGY","214811.88","223036.00"
"2013-171-9090024-2200","2013","12","PUBLIC SAFETY SALES TAX","9090024","VENTILATION IMPROVEMENTS","2200","PROJECTS FIRE","103925.10","175535.00"
"2013-171-9090033-2200","2013","12","PUBLIC SAFETY SALES TAX","9090033","STETSON RIDGE FIRE STATION 21","2200","PROJECTS FIRE","2885110.10","3459755.00"
"2013-171-9160028-1300","2013","12","PUBLIC SAFETY SALES TAX","9160028","SALES AND USE TAX REFUNDS","1300","PROJECTS FINANCE","101190.28","0.00"
"2013-202-9080013-4800","2013","12","CITY FUNDED CIP","9080013","ENTERPRISE LAND MGMT SYS SFTWR","4800","PROJECTS DEVELOPMENT REVIEW","199615.09","455352.00"
"2013-202-9090003-2200","2013","12","CITY FUNDED CIP","9090003","FIRE FAC RPR","2200","PROJECTS FIRE","150040.00","150040.00"
"2013-202-9090034-2200","2013","12","CITY FUNDED CIP","9090034","CIMINIO DR MAINTENANCE","2200","PROJECTS FIRE","227271.00","227271.00"
"2013-202-9090036-2200","2013","12","CITY FUNDED CIP","9090036","SELF-CONTAINED BREATHING APP","2200","PROJECTS FIRE","500000.00","500000.00"
"2013-202-9100023-2100","2013","12","CITY FUNDED CIP","9100023","POC CARPET REPLACEMENT","2100","PROJECTS POLICE","37779.00","40000.00"
"2013-202-9100024-2100","2013","12","CITY FUNDED CIP","9100024","POC UNIVERSAL POWER SUPPLY","2100","PROJECTS POLICE","116575.00","140000.00"
"2013-202-9150001-8000","2013","12","CITY FUNDED CIP","9150001","PRIORITIZED CIP PROJECTS","8000","PROJECTS FACIL ENG","119432.41","192433.00"
"2013-202-9160001-1300","2013","12","CITY FUNDED CIP","9160001","EMERGENCY REPAIRS","1300","PROJECTS FINANCE","117129.51","141324.00"
"2013-202-9160022-1300","2013","12","CITY FUNDED CIP","9160022","FOR FINANCE JOURNALS","1300","PROJECTS FINANCE","21096.14","0.00"
"2013-202-9160025-1300","2013","12","CITY FUNDED CIP","9160025","CAB REPAIRS PAYMENT 1 OF 15","1300","PROJECTS FINANCE","174211.38","174233.00"
"2013-202-9160027-1300","2013","12","CITY FUNDED CIP","9160027","REPLC WAHSATCH DATA CTR PYMNT","1300","PROJECTS FINANCE","1225246.00","1225246.00"
"2013-202-9270001-4000","2013","12","CITY FUNDED CIP","9270001","COMMUNITY CTR MAINTENANCE","4000","PROJECTS NEIGHBORHOOD","53403.48","65339.00"
"2013-202-9310018-3100","2013","12","CITY FUNDED CIP","9310018","ARTERIAL REIMBURSEMENTS","3100","PROJECTS CITY ENGINEERING","100000.00","100000.00"
"2013-202-9310027-3100","2013","12","CITY FUNDED CIP","9310027","DANGEROUS STRUCTURES","3100","PROJECTS CITY ENGINEERING","29804.94","36332.00"
"2013-202-9310032-3100","2013","12","CITY FUNDED CIP","9310032","SIDEWALK REP","3100","PROJECTS CITY ENGINEERING","8467.74","11896.00"
"2013-202-9310063-3100","2013","12","CITY FUNDED CIP","9310063","DRNG STUDIES","3100","PROJECTS CITY ENGINEERING","0.00","6936.00"
"2013-202-9310077-3100","2013","12","CITY FUNDED CIP","9310077","GRNT MTCH WOODMEN RD WIDENING","3100","PROJECTS CITY ENGINEERING","0.00","619913.00"
"2013-202-9310198-3100","2013","12","CITY FUNDED CIP","9310198","MISC CHANNEL STORM SEWER RPR","3100","PROJECTS CITY ENGINEERING","0.00","12962.00"
"2013-202-9310209-3100","2013","12","CITY FUNDED CIP","9310209","CSU CONSTITUTION CIR DR INTER","3100","PROJECTS CITY ENGINEERING","0.00","5973.00"
"2013-202-9310211-3100","2013","12","CITY FUNDED CIP","9310211","CSU WDMN CORIDR I25 TO PWRS P1","3100","PROJECTS CITY ENGINEERING","-157235.00","439564.00"
"2013-202-9310212-3100","2013","12","CITY FUNDED CIP","9310212","NORTHGATE BLVD REALIGNMENT","3100","PROJECTS CITY ENGINEERING","0.00","1395570.00"
"2013-202-9310221-3100","2013","12","CITY FUNDED CIP","9310221","CSU PROBY PARKWAY","3100","PROJECTS CITY ENGINEERING","0.00","24190.00"
"2013-202-9310222-3100","2013","12","CITY FUNDED CIP","9310222","CSU 2004 HES","3100","PROJECTS CITY ENGINEERING","23948.00","23948.00"
"2013-202-9310229-3100","2013","12","CITY FUNDED CIP","9310229","CSU AUSTIN BLUFFS CORRIDOR","3100","PROJECTS CITY ENGINEERING","-995000.00","0.00"
"2013-202-9310230-3100","2013","12","CITY FUNDED CIP","9310230","CSU VINCENT DR BRIDGE","3100","PROJECTS CITY ENGINEERING","471593.32","483734.00"
"2013-202-9310235-3100","2013","12","CITY FUNDED CIP","9310235","INFRASTRUCTURE DAMAGE REPAIR","3100","PROJECTS CITY ENGINEERING","16799.43","33371.00"
"2013-202-9310239-1300","2013","12","CITY FUNDED CIP","9310239","CSU HANCOCK AVE BRIDGE REPLACE","1300","PROJECTS FINANCE","12675.00","0.00"
"2013-202-9310239-3100","2013","12","CITY FUNDED CIP","9310239","CSU HANCOCK AVE BRIDGE REPLACE","3100","PROJECTS CITY ENGINEERING","216034.28","216035.00"
"2013-202-9310241-3100","2013","12","CITY FUNDED CIP","9310241","CSU FILLMORE CORRIDOR","3100","PROJECTS CITY ENGINEERING","143924.90","590076.00"
"2013-202-9310957-3100","2013","12","CITY FUNDED CIP","9310957","GM-PRNTR PARKSIDE RND","3100","PROJECTS CITY ENGINEERING","62381.00","62381.00"
"2013-202-9310958-3100","2013","12","CITY FUNDED CIP","9310958","GM-HANCOCK BIKE LANES","3100","PROJECTS CITY ENGINEERING","50000.00","50000.00"
"2013-202-9310959-3100","2013","12","CITY FUNDED CIP","9310959","GM-PLATTE AVE TEJON ST","3100","PROJECTS CITY ENGINEERING","11491.00","11491.00"
"2013-202-9310960-3100","2013","12","CITY FUNDED CIP","9310960","GM-S NEV AVE I25 RAMPS","3100","PROJECTS CITY ENGINEERING","30415.00","30415.00"
"2013-202-9320032-3200","2013","12","CITY FUNDED CIP","9320032","ROAD AND BRIDGE IMPROVEMENTS","3200","PROJECTS STREETS","1477425.45","2000000.00"
"2013-202-9330004-3300","2013","12","CITY FUNDED CIP","9330004","SIGNAL ADDTN","3300","PROJECTS TRAFFIC ENG","74349.28","355505.00"
"2013-202-9330047-3300","2013","12","CITY FUNDED CIP","9330047","GM-GRNT MTCH ADVANCED DETECTN","3300","PROJECTS TRAFFIC ENG","70412.00","70412.00"
"2013-202-9330048-3300","2013","12","CITY FUNDED CIP","9330048","TRAF SIGN FED MANDATES","3300","PROJECTS TRAFFIC ENG","201378.40","201379.00"
"2013-202-9330049-3300","2013","12","CITY FUNDED CIP","9330049","TRAF SIGNAL FED MANDATES","3300","PROJECTS TRAFFIC ENG","145377.00","145512.00"
"2013-202-9330235-3300","2013","12","CITY FUNDED CIP","9330235","INFRASTRUCTURE DAMAGE REPAIR","3300","PROJECTS TRAFFIC ENG","11129.41","85500.00"
"2013-202-9339033-3300","2013","12","CITY FUNDED CIP","9339033","AUSTIN BLUFFS CORR ITS II","3300","PROJECTS TRAFFIC ENG","0.00","0.00"
"2013-202-9340005-3500","2013","12","CITY FUNDED CIP","9340005","GM-RT9 PED ACSS BKLANE","3500","PROJECTS TRANSIT","0.00","139613.00"
"2013-202-9370008-3700","2013","12","CITY FUNDED CIP","9370008","STORMWATER IMPROVEMENTS","3700","PROJECTS GEN FUND STRMWTR","1298883.26","2000000.00"
"2013-202-9400393-5000","2013","12","CITY FUNDED CIP","9400393","GM-PP GRNWY IMPROV","5000","PROJECTS PARKS AND REC","23239.90","102781.00"
"2013-202-9870015-8700","2013","12","CITY FUNDED CIP","9870015","ELECTRONIC DOCUMENT MGMT SYS","8700","PROJECTS INFO TECHNOLOGY","147750.24","393273.00"
"2013-202-9870016-8700","2013","12","CITY FUNDED CIP","9870016","POLICE OPER CTR UPGRADES PYMNT","8700","PROJECTS INFO TECHNOLOGY","408186.00","408186.00"
"2013-202-9870017-8700","2013","12","CITY FUNDED CIP","9870017","INFO TECH MAINT PAYMENT","8700","PROJECTS INFO TECHNOLOGY","701258.91","701259.00"
"2013-460-9730001-7300","2013","12","PIKES PEAK AMERICAS MTN","9730001","EROSION","7300","PROJECTS PIKES PEAK","265298.05","589480.00"
"2013-460-9730006-7300","2013","12","PIKES PEAK AMERICAS MTN","9730006","PIKES PEAK TOLLGATE","7300","PROJECTS PIKES PEAK","13227.13","13842.00"
"2013-460-9730007-7300","2013","12","PIKES PEAK AMERICAS MTN","9730007","SUMMIT HOUSE ROOF","7300","PROJECTS PIKES PEAK","37206.12","102155.00"
"2013-460-9730009-7300","2013","12","PIKES PEAK AMERICAS MTN","9730009","GTWY CANOPY BUS OFF RENOVATE","7300","PROJECTS PIKES PEAK","397260.00","400000.00"
"2013-470-9750009-7500","2013","12","PARKING SYSTEM GROSS INCOME","9750009","CIP DOWNTOWN","7500","PROJECTS PARKING","1990750.06","2403724.00"
"2013-470-9750013-7500","2013","12","PARKING SYSTEM GROSS INCOME","9750013","ONGOING PARKING MAINTENANCE","7500","PROJECTS PARKING","68247.40","164775.00"
