"name","description","publication_stage","audience","approval_status","provenance","type","tags","url","api_endpoint","creation_date_utc","last_data_updated_date_utc","domain","derived_view","visits","downloads","row_count","column_count","license","attribution","attribution_link","published_version_uid","common_core_is_quality_data","common_core_publisher","common_core_temporal","common_core_contact_name","common_core_contact_email","common_core_license","common_core_issued","common_core_references","common_core_public_access","common_core_bureau_code","common_core_program_code","common_core_described_by","common_core_update_frequency","common_core_identifier","common_core_homepage","common_core_access_level","common_core_geographic","common_core_theme"
"Enriched Citation API","The Enriched Citation API provides the IP5 (EPO, JPO, KIPO, CNIPA, and USPTO) and the Public with greater insight into the patent evaluation process. It allows users to quickly view information about which references, or prior art, were cited in specific patent application Office Actions, including: bibliographic information of the reference, the claims that the prior art was cited against, and the relevant sections that the examiner relied upon.","published","public","approved","official","href","references,statutes,api,ai,machine learning,claims,office action,prior art,citation,enriched,ip5,uspto","https://uspto.data.commerce.gov/d/mksi-7xza",,"2020-01-28T15:51:00.000","2020-01-28T16:17:00.000","uspto.data.commerce.gov","false","6","0",,,"Public Domain U.S. Government","Patents","https://developer.uspto.gov/api-catalog/uspto-enriched-citation-api",,"true","US Patent and Trademark Office, Department of Commerce","1/1/2020","Scott Beliveau","Developer@uspto.gov","Public Domain U.S. Government","2019-04-12T00:00:00.000",,"public","006:51","006:070","https://developer.uspto.gov/ds-api-docs/index.html?url=https%3A//developer.uspto.gov/ds-api/swagger/docs/enriched_cited_reference_metadata.json","R/P1D","ODP-ENCITE-API","https://developer.uspto.gov/api-catalog",,,"uspto ip5 enriched citation prior art office action claims machine learning ai statutes references api"
"EU countries only","This tab-delimited file, assignees2014_5yr.tsv 1,876,658 bytes, prepared from the U.S. Patent and Trademark Office (USPTO), Technology Assessment and Forecast (TAF) database, displays a listing of organizations receiving the most utility patents (i.e., patents for invention) during the indicated 5 year time period. Each displayed annual count corresponds to the count of patents received in a calendar year (January 1 to December 31). It will import into a Microsoft Excel spreadsheet. Available here: https://eipweb.uspto.gov/PTMT/assignees2014_5yr.txt This file generally contains the contents of the PTMT report, DRILL-DOWN Utility Patent Report, Patenting by Geographic Origin (State and Country) - Breakout By Organization, available on the USPTO Web Site at: http://www.uspto.gov/web/offices/ac/ido/oeip/taf/stcasg/regions_stcorg.htm","published","public","approved","community","filter","ptmt,taf,uspto,assessment,forecasting,monitoring,patent,patenting by companies,patenting by organizations,statistics,team,technology","https://uspto.data.commerce.gov/d/c2nr-sn5u","https://uspto.data.commerce.gov/resource/c2nr-sn5u.json","2015-11-25T17:58:00.000","2020-01-10T16:59:00.000","uspto.data.commerce.gov","true","966","596",,,"Public Domain U.S. Government","Patents/Patent Technology Monitoring Team",,,"true","US Patent and Trademark Office, Department of Commerce","2010-01-01/2014-12-31","Paul Harrison, Patent Technology Monitoring Team (PTMT)","OEIP@uspto.gov","http://creativecommons.org/publicdomain/mark/1.0","2004-04-30T00:00:00.000","http://www.uspto.gov/web/offices/ac/ido/oeip/taf/stcasg/regions_stcorg.htm","public","006:51","006:070","https://eipweb.uspto.gov/PTMT/readme_assignees2014_5yr.txt","R/P1Y","PTMT-0001a","http://www.uspto.gov/web/offices/ac/ido/oeip/taf/reports.htm",,,"Patent Grant"
"Patent Examination Data System API","Retrieve and download multiple publically-available Public PAIR records of USPTO patent applications (does not include Image File Wrapper (IFW) PDF images).","published","public","approved","official","href","api,uspto,xml,json,pair,public,examination,patent application,published,patent","https://uspto.data.commerce.gov/d/wtx3-k5er",,"2020-01-30T18:50:00.000","2020-01-30T19:02:00.000","uspto.data.commerce.gov","false","5","0",,,"Public Domain U.S. Government","Patents","https://developer.uspto.gov/api-catalog/ped",,"true","US Patent and Trademark Office, Department of Commerce","2001/2020","Walter Lamb","IPD@uspto.gov","Public Domain U.S. Government","2018-09-17T00:00:00.000","https://ped.uspto.gov/peds/","public","006:51","006:070","https://ped.uspto.gov/peds/#/apiDocumentation","R/P1D","ODP-PEDS-API","https://developer.uspto.gov/api-catalog",,"address","uspto patent grant application pre-grant pgpub json xml api"
"EU top applicants 2010-2014","This tab-delimited file, assignees2014_5yr.tsv 1,876,658 bytes, prepared from the U.S. Patent and Trademark Office (USPTO), Technology Assessment and Forecast (TAF) database, displays a listing of organizations receiving the most utility patents (i.e., patents for invention) during the indicated 5 year time period. Each displayed annual count corresponds to the count of patents received in a calendar year (January 1 to December 31). It will import into a Microsoft Excel spreadsheet. Available here: https://eipweb.uspto.gov/PTMT/assignees2014_5yr.txt This file generally contains the contents of the PTMT report, DRILL-DOWN Utility Patent Report, Patenting by Geographic Origin (State and Country) - Breakout By Organization, available on the USPTO Web Site at: http://www.uspto.gov/web/offices/ac/ido/oeip/taf/stcasg/regions_stcorg.htm","published","public","approved","community","filter","ptmt,taf,uspto,assessment,forecasting,monitoring,patent,patenting by companies,patenting by organizations,statistics,team,technology","https://uspto.data.commerce.gov/d/n6bb-z8ae","https://uspto.data.commerce.gov/resource/n6bb-z8ae.json","2015-11-25T18:04:00.000","2020-01-10T16:57:00.000","uspto.data.commerce.gov","true","767","223",,,"Public Domain U.S. Government","Patents/Patent Technology Monitoring Team",,,"true","US Patent and Trademark Office, Department of Commerce","2010-01-01/2014-12-31","Paul Harrison, Patent Technology Monitoring Team (PTMT)","OEIP@uspto.gov","http://creativecommons.org/publicdomain/mark/1.0","2004-04-30T00:00:00.000","http://www.uspto.gov/web/offices/ac/ido/oeip/taf/stcasg/regions_stcorg.htm","public","006:51","006:070","https://eipweb.uspto.gov/PTMT/readme_assignees2014_5yr.txt","R/P1Y","PTMT-0001a","http://www.uspto.gov/web/offices/ac/ido/oeip/taf/reports.htm",,,"Patent Grant"
"EU top applicants 2014","This tab-delimited file, assignees2014_5yr.tsv 1,876,658 bytes, prepared from the U.S. Patent and Trademark Office (USPTO), Technology Assessment and Forecast (TAF) database, displays a listing of organizations receiving the most utility patents (i.e., patents for invention) during the indicated 5 year time period. Each displayed annual count corresponds to the count of patents received in a calendar year (January 1 to December 31). It will import into a Microsoft Excel spreadsheet. Available here: https://eipweb.uspto.gov/PTMT/assignees2014_5yr.txt This file generally contains the contents of the PTMT report, DRILL-DOWN Utility Patent Report, Patenting by Geographic Origin (State and Country) - Breakout By Organization, available on the USPTO Web Site at: http://www.uspto.gov/web/offices/ac/ido/oeip/taf/stcasg/regions_stcorg.htm","published","public","approved","community","filter","ptmt,taf,uspto,assessment,forecasting,monitoring,patent,patenting by companies,patenting by organizations,statistics,team,technology","https://uspto.data.commerce.gov/d/ihyv-cdkq","https://uspto.data.commerce.gov/resource/ihyv-cdkq.json","2015-11-25T18:00:00.000","2020-01-10T16:57:00.000","uspto.data.commerce.gov","true","775","3192",,,"Public Domain U.S. Government","Patents/Patent Technology Monitoring Team",,,"true","US Patent and Trademark Office, Department of Commerce","2010-01-01/2014-12-31","Paul Harrison, Patent Technology Monitoring Team (PTMT)","OEIP@uspto.gov","http://creativecommons.org/publicdomain/mark/1.0","2004-04-30T00:00:00.000","http://www.uspto.gov/web/offices/ac/ido/oeip/taf/stcasg/regions_stcorg.htm","public","006:51","006:070","https://eipweb.uspto.gov/PTMT/readme_assignees2014_5yr.txt","R/P1Y","PTMT-0001a","http://www.uspto.gov/web/offices/ac/ido/oeip/taf/reports.htm",,,"Patent Grant"
"Historical Patent Data Files for Academia and Researchers (1840 - 2014)","Contains four research datasets containing time series and micro-level data by National Bureau of Economic Research (NBER) technology sub-category on applications, grants, and in-force patents spanning two centuries of innovation.","published","public","approved","official","href","technology,nber,micro-level,time series,patent application,patent,uspto,stata,dta,csv","https://uspto.data.commerce.gov/d/9dmu-xmw8",,"2017-09-14T18:41:00.000","2020-01-10T16:42:00.000","uspto.data.commerce.gov","false","244","2",,,"Public Domain U.S. Government","Chief Economist","https://www.uspto.gov/learning-and-resources/ip-policy/economic-research/research-datasets",,"true","US Patent and Trademark Office, Department of Commerce","1840/2014","Nicholas Pairolero","IPD@uspto.gov","http://creativecommons.org/publicdomain/mark/1.0","2015-06-25T00:00:00.000","https://www.uspto.gov/learning-and-resources/ip-policy/economic-research/research-datasets","public","006:51","006:070","http://ssrn.com/abstract=2616724",,"OCE-PT-00006","https://www.uspto.gov/learning-and-resources/electronic-data-products/historical-patent-data-files",,,"patent application historical time series micro-level nber dta csv"
"Lengthy Sequence Listings (2017 - Present)","Contains issued and published sequences that were too large to be loaded into the Publication Site for Issued and Published Sequences (PSIPS). Documents are organized by calendar year. Please note the file size before beginning a download.","published","public","approved","official","href","psips,published,genetic,gene,listing,sequence,lengthy,uspto","https://uspto.data.commerce.gov/d/5efe-22eq",,"2017-09-14T11:22:00.000","2020-01-10T15:56:00.000","uspto.data.commerce.gov","false","60","2",,,"Public Domain U.S. Government","Patents/STIC",,,"true","US Patent and Trademark Office, Department of Commerce","2017/2020","Christopher Leithiser","IPD@uspto.gov","http://creativecommons.org/publicdomain/mark/1.0","2017-02-09T00:00:00.000","http://seqdata.uspto.gov","public","006:51","006:070","http://seqdata.uspto.gov",,"EIP-LSEQP-OL","https://bulkdata.uspto.gov/data2/lengthysequencelisting/2020",,,"lengthy genetic sequence listing"
"Office Action Citations API","Contains detailed information derived from the Office Actions issued by patent examiners to applicants during the patent examination process. The ?Office Action? is a written notification to the applicant of the examiner?s decision on patentability. It generally discloses the reasons for any rejections, objections, or requirements and includes relevant information or references that the applicant may find useful for responding to the examiner and deciding whether to continue prosecuting the application.

This API allows for daily refresh and retrieval of citation data from Office Actions mailed from June 1, 2018 to 180 days prior to the current date. It uses information derived from citations referenced on the Form PTO-892, Form PTO-1449, and text of Office Actions.","published","public","approved","official","href","citations,api,office actions,patent application,patent,uspto","https://uspto.data.commerce.gov/d/qbau-7yym",,"2020-01-27T18:00:00.000","2020-01-28T16:21:00.000","uspto.data.commerce.gov","false","21","0",,,"Public Domain U.S. Government","Patents","https://developer.uspto.gov/api-catalog/uspto-office-action-citations-api",,"true","US Patent and Trademark Office, Department of Commerce","2018-06-01/2020","Scott Beliveau","Developer@uspto.gov","Public Domain U.S. Government","2018-03-01T00:00:00.000","https://bulkdata.uspto.gov/data/patent/office/actions/bigdata/2017/USPTO%20Patent%20Prosecution%20Research%20Data_Unlocking%20Office%20Action%20Traits.pdf","public","006:51","006:070","https://developer.uspto.gov/ds-api-docs/index.html?url=https%3A//developer.uspto.gov/ds-api/swagger/docs/oa_citations.json/v2","R/P1D","ODP-OAC-API","https://developer.uspto.gov/api-catalog",,,"uspto patent patent application office actions citations api"
"Office Action Rejections API","Contains detailed information derived from the Office Actions issued by patent examiners to applicants during the patent examination process. The ?Office Action? is a written notification to the applicant of the examiner?s decision on patentability. It generally discloses the reasons for any rejections, objections, or requirements and includes relevant information or references that the applicant may find useful for responding to the examiner and deciding whether to continue prosecuting the application.

This API allows for daily refresh and retrieval of rejection data from Office Actions mailed from June 1, 2018 to 180 days prior to the current date. It contains document level data including the type of actions taken on claims in the Office Action.","published","public","approved","official","href","api,claims,rejections,office actions,patent application,patent,uspto","https://uspto.data.commerce.gov/d/iw3b-ijyx",,"2020-01-28T13:13:00.000","2020-01-28T16:20:00.000","uspto.data.commerce.gov","false","12","0",,,"Public Domain U.S. Government","Patents","https://developer.uspto.gov/api-catalog/uspto-office-action-rejection-api",,"true","US Patent and Trademark Office, Department of Commerce","2019-06-26/2020","Scott Beliveau","Developer@uspto.gov","Public Domain U.S. Government","2018-03-01T00:00:00.000","https://bulkdata.uspto.gov/data/patent/office/actions/bigdata/2017/USPTO%20Patent%20Prosecution%20Research%20Data_Unlocking%20Office%20Action%20Traits.pdf","public","006:51","006:070","https://developer.uspto.gov/ds-api-docs/index.html?url=https%3A//developer.uspto.gov/ds-api/swagger/docs/oa_rejections.json/v2","R/P1D","ODP-OAR-API","https://developer.uspto.gov/api-catalog",,,"uspto patent patent application office actions claims rejections api"
"Patent and Patent Application Claims Research Dataset for Academia and Researchers (1976 - 2014)","Contains detailed information on claims from U.S. patents granted between January 1976 and December 2014 and U.S. patent applications published between March 15, 2001 and December 2014. The dataset is derived from the Patent Grant Full Text and Patent Application Full Text bulk data files. The Office of Chief Economist (OCE) applied a Python algorithm to identify individual claims as well as the dependency relationship between claims. From the parsed claims text, OCE created six data files containing individually-parsed claims, claim-level statistics, and document-level statistics, including newly-developed measures of patent scope.","published","public","approved","official","href","claims,patent application,patent,uspto,stata,dta,csv","https://uspto.data.commerce.gov/d/brfh-jh86",,"2017-09-14T17:10:00.000","2020-01-10T16:38:00.000","uspto.data.commerce.gov","false","55","2",,,"Public Domain U.S. Government","Chief Economist","https://www.uspto.gov/learning-and-resources/ip-policy/economic-research/research-datasets",,"true","US Patent and Trademark Office, Department of Commerce","1976/2014","Nicholas Pairolero","IPD@uspto.gov","http://creativecommons.org/publicdomain/mark/1.0","2016-10-07T00:00:00.000","https://www.uspto.gov/learning-and-resources/ip-policy/economic-research/research-datasets","public","006:51","006:070","http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2844964",,"OCE-PT-00002","https://www.uspto.gov/learning-and-resources/electronic-data-products/patent-claims-research-dataset",,,"patent patent application claims dta csv"
"Patent and Trademark Practitioners (Intellectual Property (IP) Agent/Attorney/Barrister/Lawyer)","Registered patent practitioners are individuals who have passed the USPTO's registration exam and met the qualifications to represent patent applicants before the USPTO.

Trademark practitioners are attorneys who are active members in good standing of the bar of the highest court of any State.

NOTE:  Because Trademark attorneys need not apply for registration to practice trademark law before the USPTO, the USPTO does not maintain a roster of trademark attorneys. The names of attorneys who specialize in trademark law may be found in the telephone yellow pages, or by contacting a local bar association. Most state bar websites offer a searchable online registry of their attorneys, and many bar associations operate attorney referral service programs.","published","public","approved","community","href","roster,practitioner,patent,license,lawyer,attorney,application,agent,uspto","https://uspto.data.commerce.gov/d/f8jb-cggt",,"2015-03-25T20:42:00.000","2020-01-10T15:52:00.000","uspto.data.commerce.gov","false","560","67",,,"Public Domain U.S. Government","Office of Enrollment and Discipline (OED)",,,"true","US Patent and Trademark Office, Department of Commerce","1/1/2020","Christopher Leithiser","OED@uspto.gov","http://creativecommons.org/publicdomain/mark/1.0","1938-01-01T00:00:00.000","https://www.uspto.gov/learning-and-resources/patent-and-trademark-practitioners","public","006:51","006:070",,"R/P1D","OED-0001P-OL","https://www.uspto.gov/learning-and-resources/patent-and-trademark-practitioners",,,"patent practitioner agent attorney barrister lawyer"
"Patent Application Bibliographic Text (2001 - Present)","Contains the bibliographic text (front page) of each patent application (non-provisional utility and plant) published weekly (Thursdays) from March 15, 2001 to present (excludes images/drawings). Subset of the Patent Application Full Text Data.","published","public","approved","community","href","text,pgpubs,publication,pre-grant,patent,page,front,bibliographic,patent application,xml,uspto,thursday","https://uspto.data.commerce.gov/d/dfif-y6z8",,"2015-03-25T20:42:00.000","2020-01-10T15:46:00.000","uspto.data.commerce.gov","false","180","35",,,"Public Domain U.S. Government","Patents",,,"true","US Patent and Trademark Office, Department of Commerce","2001-03-15/2020","Christopher Leithiser","IPD@uspto.gov","http://creativecommons.org/publicdomain/mark/1.0","2001-03-15T00:00:00.000",,"public","006:51","006:070","https://www.uspto.gov/learning-and-resources/xml-resources","R/P1W","EIP-5100P-OL","https://bulkdata.uspto.gov/#appls",,,"published patent application; pre-grant publications; pgpubs; bibliographic; xml"
"Patent Application Full Text (2001 - Present)","Contains the full text of each patent application (non-provisional utility and plant) published weekly (Thursdays) from March 15, 2001 to present (excludes images/drawings). Subset of the Patent Application Full Text Data with Embedded TIFF Images.","published","public","approved","community","href","text,pgpubs,publication,pre-grant,patent,mathematical expressions,genetic sequence,tables,complex work units,chemical structures,full text,patent application,xml,uspto,thursday","https://uspto.data.commerce.gov/d/jrn7-t6a3",,"2015-03-25T20:42:00.000","2020-01-10T15:44:00.000","uspto.data.commerce.gov","false","149","37",,,"Public Domain U.S. Government","Patents",,,"true","US Patent and Trademark Office, Department of Commerce","2001-03-15/2020","Christopher Leithiser","IPD@uspto.gov","http://creativecommons.org/publicdomain/mark/1.0","2001-03-15T00:00:00.000",,"public","006:51","006:070","https://www.uspto.gov/learning-and-resources/xml-resources","R/P1W","EIP-5450P-OL","https://bulkdata.uspto.gov/#appls",,,"published patent application; pre-grant publications; pgpubs; full text; xml"
"Patent Application Full Text Data with Embedded TIFF Images (2001 - Present)","Contains the full text, images/drawings, and complex work units (tables, mathematical expressions, chemical structures, and genetic sequence data) of each patent application (non-provisional utility and plant) published weekly (Thursdays) from March 15, 2001 to present.","published","public","approved","community","href","pgpubs,publication,pre-grant,patent,mathematical expressions,images,external cambridgesoft corp chemdraw cdx files,tiff,mathematica notebook nb files,mdl information systems mol files,mathml markup,cals markup,genetic sequence,tables,complex work units,chemical structures,full text,patent application,xml,uspto,thursday","https://uspto.data.commerce.gov/d/ps7k-6cyr",,"2015-03-25T20:42:00.000","2020-01-10T15:41:00.000","uspto.data.commerce.gov","false","114","27",,,"Public Domain U.S. Government","Patents",,,"true","US Patent and Trademark Office, Department of Commerce","2001-03-15/2020","Christopher Leithiser","IPD@uspto.gov","http://creativecommons.org/publicdomain/mark/1.0","2001-03-15T00:00:00.000","http://www.wipo.int/export/sites/www/standards/en/pdf/03-36-01.pdf","public","006:51","006:070","https://www.uspto.gov/learning-and-resources/xml-resources","R/P1W","EIP-5400P-OL","https://bulkdata.uspto.gov/#appls",,,"published patent application; pre-grant publications; pgpubs; full text; xml; tiff images"
