County,FIPS Code,FIPS State and County Code,County Seat,Established,Location,Counties
Garfield,045,08045,Glenwood Springs,1883-02-10,"Glenwood Springs, CO
(39.54602999968489, -107.32369999975504)",1449
Larimer,069,08069,Fort Collins,1861-11-01,"Fort Collins, CO
(40.581469999740875, -105.07625999999885)",1012
Clear Creek,019,08019,Georgetown,1861-11-01,"Georgetown, CO
(39.705999999600465, -105.69583999971604)",1439
Lake,065,08065,Leadville,1861-11-01,"Leadville, CO
(39.25077000033542, -106.29264000023568)",1010
Broomfield,014,08014,Broomfield,2001-11-15,"Broomfield, CO
(39.92086000008908, -105.070579999767)",86
Conejos,021,08021,Conejos,1861-11-01,"Conejos, CO
(37.08849999997517, -106.02061000015124)",1440
Custer,027,08027,Westcliffe,1877-03-09,"Westcliffe, CO
(38.13602999998466, -105.46708000034158)",1442
Washington,121,08121,Akron,1887-02-09,"Akron, CO
(40.159139999611455, -103.21205999996886)",37
Phillips,095,08095,Holyoke,1889-03-27,"Holyoke, CO
(40.58507000028044, -102.30224999993737)",33
Las Animas,071,08071,Trinidad,1866-02-09,"Trinidad, CO
(37.16772000017801, -104.50818000010679)",1013
Cheyenne,017,08017,Cheyenne Wells,1889-03-25,"Cheyenne Wells, CO
(38.819519999848296, -102.34807999999185)",1399
Park,093,08093,Fairplay,1861-11-01,"Fairplay, CO
(39.223500000025126, -105.99986000013877)",1062
Bent,011,08011,Las Animas,1870-02-11,"Las Animas, CO
(38.067279999672394, -103.21996000005379)",84
Jefferson,059,08059,Golden,1861-11-01,"Golden, CO
(39.756649999797844, -105.22495000044199)",1008
Otero,089,08089,La Junta,1889-03-25,"La Junta, CO
(37.987450000117576, -103.54311999998788)",1060
Teller,119,08119,Cripple Creek,1899-03-23,"Cripple Creek, CO
(38.74751000028647, -105.17941999983299)",1071
Dolores,033,08033,Dove Creek,1881-03-04,"Dove Creek, CO
(37.76375999982429, -108.90601999962314)",1445
Crowley,025,08025,Ordway,1911-05-29,"Ordway, CO
(38.21451999979831, -103.75045999992892)",87
Fremont,043,08043,Cañon City,1861-11-01,"Cañon City, CO
(38.442741, -105.239685)",1448
Sedgwick,115,08115,Julesburg,1889-04-09,"Julesburg, CO
(40.986200000329916, -102.26286000008878)",36
Hinsdale,053,08053,Lake City,1874-02-10,"Lake City, CO
(38.031669999670896, -107.31443999990591)",28
Gilpin,047,08047,Central City,1861-11-01,"Central City, CO
(39.799060000418876, -105.51312999974954)",89
Kiowa,061,08061,Eads,1889-04-11,"Eads, CO
(38.48137000022547, -102.78578000024669)",29
El Paso,041,08041,Colorado Springs,1861-11-01,"Colorado Springs, CO
(38.83345000011758, -104.82181000033108)",1447
Yuma,125,08125,Wray,1889-03-15,"Wray, CO
(40.07894999964293, -102.22008999995336)",1073
Grand,049,08049,Hot Sulphur Springs,1874-02-02,"Hot Sulphur Springs, CO
(40.07282999980481, -106.1029100002961)",1450
Eagle,037,08037,Eagle,1883-02-11,"Eagle, CO
(39.655640000186054, -106.82788000016171)",1446
San Miguel,113,08113,Telluride,1883-03-02,"Telluride, CO
(37.938099999615474, -107.81094999984248)",1069
Kit Carson,063,08063,Burlington,1889-04-11,"Burlington, CO
(39.30165999990925, -102.27199999980002)",1009
Denver,031,08031,Denver,1902-11-15,"Denver, CO
(39.740009999562005, -104.99225999969906)",1444
Pueblo,101,08101,Pueblo,1861-11-01,"Pueblo, CO
(38.26385999983927, -104.61236999977552)",34
Baca,009,08009,Springfield,1889-04-16,"Springfield, CO
(37.413710000016636, -102.61654999958267)",1397
San Juan,111,08111,Silverton,1876-01-31,"Silverton, CO
(37.805130000149575, -107.6709699999654)",1068
Saguache,109,08109,Saguache,1866-12-29,"Saguache, CO
(38.0887600000741, -106.1411199996881)",1067
Pitkin,097,08097,Aspen,1881-02-23,"Aspen, CO
(39.190020000223, -106.818179999807)",1063
Gunnison,051,08051,Gunnison,1877-03-09,"Gunnison, CO
(38.54493999998118, -106.92685000012727)",1005
Prowers,099,08099,Lamar,1889-04-11,"Lamar, CO
(38.08767999973236, -102.61916000033358)",1064
Montezuma,083,08083,Cortez,1889-04-16,"Cortez, CO
(37.35466000005914, -108.55366000030864)",1058
Summit,117,08117,Breckenridge,1861-11-01,"Breckenridge, CO
(39.48219000006861, -106.04717999965709)",1070
