"release_number","event_id","facility_id","site_name","address","city","zip","state","county","status","release_date","closure_date","no_further_action_type","contact","phone","email","latitude","longitude","latitude_longitude","release_source","release_cause","reimbursement_total","release_record_link"
"REL-010460","31","8261","Cowen Transfer & Storage","3235 N El Paso","Colorado Springs","80907","CO","El Paso","Closed",,"2/6/1998","Pre-RBCA","Dennis Hotovec","303-318-4357","cdle_ops_public_record_center@state.co.us","38.879941","-104.812605","38.879941, -104.812605",,,,"https://socgov18.force.com/s/release/a183h000003KXyg"
"REL-005216","32","4567","AT&T Prospect Valley Rs Co0450","40821 Hwy 52","Roggen","80652","CO","Weld","Closed","11/7/1994","12/29/1995","Pre-RBCA","Ed Larock","303-318-4357","cdle_ops_public_record_center@state.co.us","40.073261","-104.285157","40.073261, -104.285157",,,,"https://socgov18.force.com/s/release/a183h000003KWc6"
"REL-007394","33","1410","Macaluso Oil Co","306 Central Ave","Dolores","81323","CO","Montezuma","Closed","11/2/1995",,"Administrative","Vinny Secondo","303-318-4357","cdle_ops_public_record_center@state.co.us","37.473678","-108.504939","37.473678, -108.504939","Overfill - spill bucket",,,"https://socgov18.force.com/s/release/a183h000003KXBE"
"REL-011584","34","2492","The Colorado College","1144 Glen Ave","Colorado Springs","80905","CO","El Paso","Closed","9/10/1990","5/14/1997","Pre-RBCA","Dennis Hotovec","303-318-4357","cdle_ops_public_record_center@state.co.us","38.850543","-104.830319","38.850543, -104.830319",,,,"https://socgov18.force.com/s/release/a183h000003KYGo"
"REL-008391","35","13095","Mesa County Facilities Mng","636 South Ave","Grand Junction","81501","CO","Mesa","Closed","5/3/1994","5/27/1994","Pre-RBCA","Donna Stoner","303-318-4357","cdle_ops_public_record_center@state.co.us","39.063718","-108.562149","39.063718, -108.562149",,,,"https://socgov18.force.com/s/release/a183h000003KXRJ"
"REL-013074","36","1685","Youmans Store","Gunnison CR 29","Powderhorn","81243","CO","Gunnison","Closed","8/12/1993","5/23/1996","Pre-RBCA","Ed Larock","303-318-4357","cdle_ops_public_record_center@state.co.us","38.278776","-107.108823","38.278776, -107.108823",,,,"https://socgov18.force.com/s/release/a183h000003KYeq"
"REL-000969","37","12008","CDOW Headquarters","6060 N Broadway","Commerce City","80022","CO","Adams","Closed","11/12/1992","7/6/1995","Pre-RBCA","Ed Larock","303-318-4357","cdle_ops_public_record_center@state.co.us","39.806268","-104.985507","39.806268, -104.985507",,,,"https://socgov18.force.com/s/release/a183h000003KVVb"
"REL-005918","38","9702","Fort Collins Main Central Office","124 W Magnolia Ave","Fort Collins","80524","CO","Larimer","Closed",,"5/20/1993","Pre-RBCA","Doug Pratto","303-318-4357","cdle_ops_public_record_center@state.co.us","40.58319","-105.078456","40.58319, -105.078456",,,,"https://socgov18.force.com/s/release/a183h000003KWnQ"
"REL-006340","39","12983","Grant Middle School","1751 S Washington St","Denver","80210","CO","Denver","Closed",,,"Administrative","Scott Pieratt","303-318-4357","cdle_ops_public_record_center@state.co.us","39.685455","-104.979837","39.685455, -104.979837",,,,"https://socgov18.force.com/s/release/a183h000003KWuE"
"REL-000824","40","5436","Rex Oil","107 W 7th St","Loveland","80537","CO","Larimer","Closed","11/18/1992","7/18/2001","Tier I","Greg Johnson","303-318-4357","cdle_ops_public_record_center@state.co.us","40.398722","-105.077455","40.398722, -105.077455",,,,"https://socgov18.force.com/s/release/a183h000003KVTG"
"REL-000106","41","9052","7-Eleven #19565","421 Hwy 24 S","Buena Vista","81211","CO","Chaffee","Closed","12/17/1994","3/21/1995","Pre-RBCA","Edgar Ethington","303-318-4357","cdle_ops_public_record_center@state.co.us","38.837514","-106.129514","38.837514, -106.129514",,,,"https://socgov18.force.com/s/release/a183h000003KVHg"
"REL-011705","42","13397","Tobias Property","3738 Morrison Rd","Denver","80219","CO","Denver","Closed","5/2/1995","6/19/1995","Pre-RBCA","Cindy Silva-Burbach","303-318-4357","cdle_ops_public_record_center@state.co.us","39.707689","-105.03678","39.707689, -105.03678",,,,"https://socgov18.force.com/s/release/a183h000003KYIl"
"REL-011034","43","815","Goodyear Auto Center #8120","17226 S Golden Rd","Golden","80401","CO","Jefferson","Closed",,"7/22/1997","Pre-RBCA","Julie Cotter","303-318-4357","cdle_ops_public_record_center@state.co.us","39.739009","-105.19685","39.739009, -105.19685",,,,"https://socgov18.force.com/s/release/a183h000003KY7w"
"REL-000970","44","12008","CDOW Headquarters","6060 N Broadway","Commerce City","80022","CO","Adams","Closed",,"6/9/1999","Pre-RBCA","Jennifer Steffes","303-318-4357","cdle_ops_public_record_center@state.co.us","39.806268","-104.985507","39.806268, -104.985507",,,,"https://socgov18.force.com/s/release/a183h000003KVVc"
"REL-003575","45","11121","United Rental","9215 Federal Blvd","Denver","80221","CO","Adams","Closed","2/16/1994","6/1/1994","Pre-RBCA","Doug Pratto","303-318-4357","cdle_ops_public_record_center@state.co.us","39.864084","-105.025608","39.864084, -105.025608",,,,"https://socgov18.force.com/s/release/a183h000003KWBd"
"REL-003953","47","10619","Bob's Service","1414 Santa Fe Trail","Trinidad","81082","CO","Las Animas","Closed","7/31/1996","9/9/1998","Pre-RBCA","Jennifer Steffes","303-318-4357","cdle_ops_public_record_center@state.co.us","37.159306","-104.511698","37.159306, -104.511698",,,,"https://socgov18.force.com/s/release/a183h000003KWHj"
"REL-012535","48","4609","Citaula Brothers #7","803 Riverside Ave","Fort Collins","80524","CO","Larimer","Closed","5/10/1996","4/27/2000","Pre-RBCA","Jane Bral","303-318-8510","jane.bral@state.co.us","40.580971","-105.063172","40.580971, -105.063172",,,,"https://socgov18.force.com/s/release/a183h000003KYW9"
"REL-003242","49","539","CDOW Crystal River Hatchery","2957 Hwy 133","Carbondale","81623","CO","Garfield","Closed","6/10/1992","6/12/1992","Pre-RBCA","Mark Walker","303-318-4357","cdle_ops_public_record_center@state.co.us","39.378143","-107.203842","39.378143, -107.203842",,,,"https://socgov18.force.com/s/release/a183h000003KW6G"
"REL-003408","50","7468","CDOT Thornton","7800 N I-25","Thornton","80229","CO","Adams","Closed","5/23/1994","6/30/1995","Pre-RBCA","Andy Flurkey","303-318-4357","cdle_ops_public_record_center@state.co.us","39.809523","-104.983267","39.809523, -104.983267",,,,"https://socgov18.force.com/s/release/a183h000003KW8w"
"REL-001839","51","12093","Eleanor Olmsted Property","736 Main St","Longmont","80501","CO","Boulder","Closed","11/10/1992","3/8/1995","Pre-RBCA","Mark Walker","303-318-4357","cdle_ops_public_record_center@state.co.us","40.17222","-105.10222","40.17222, -105.10222",,,,"https://socgov18.force.com/s/release/a183h000003KVjd"
"REL-011139","52","12536","Sterling Regional Medcenter","615 Fairhurst St","Sterling","80751","CO","Logan","Closed","11/22/1991","11/12/1993","Pre-RBCA","Ed Larock","303-318-4357","cdle_ops_public_record_center@state.co.us","40.612822","-103.22058","40.612822, -103.22058",,,,"https://socgov18.force.com/s/release/a183h000003KY9d"
"REL-009998","53","2757","Hutchings Enterprises Bldg #1","8100 Dahlia St","Henderson","80640","CO","Adams","Closed","12/2/1990","4/17/1996","Pre-RBCA","Jennifer Steffes","303-318-4357","cdle_ops_public_record_center@state.co.us","39.844258","-104.928182","39.844258, -104.928182",,,,"https://socgov18.force.com/s/release/a183h000003KXrE"
"REL-001058","54","1679","Everyday Store #5715","300 E Pagosa St","Pagosa Springs","81147","CO","Archuleta","Closed","9/8/1995","8/24/2000","Pre-RBCA","Scott Winters","303-318-4357","cdle_ops_public_record_center@state.co.us","37.269641","-106.998235","37.269641, -106.998235",,,,"https://socgov18.force.com/s/release/a183h000003KVX2"
"REL-005394","55","3767","Carousel Ice Cream","2500 N Federal Blvd","Denver","80211","CO","Denver","Closed","11/1/1990","9/16/2003","Tier I","Tim Kelley","303-318-4357","cdle_ops_public_record_center@state.co.us","39.753895","-105.024781","39.753895, -105.024781",,,,"https://socgov18.force.com/s/release/a183h000003KWey"
"REL-012324","56","6527","US West","12680 CR 58","Greeley","80634","CO","Weld","Closed","7/22/1993","11/3/1994","Pre-RBCA","Ed Larock","303-318-4357","cdle_ops_public_record_center@state.co.us","40.406029","-104.820042","40.406029, -104.820042",,,,"https://socgov18.force.com/s/release/a183h000003KYSk"
"REL-007679","57","19841","JAP Convenience Store","3116 S Parker Rd","Aurora","80014","CO","Arapahoe","Closed",,,"Administrative","Robert Shoup","303-318-4357","cdle_ops_public_record_center@state.co.us","39.660133","-104.852043","39.660133, -104.852043",,,,"https://socgov18.force.com/s/release/a183h000003KXFp"
"REL-009203","58","6764","Pedota Greenhouses","4580 Garrison St","Wheat Ridge","80033","CO","Jefferson","Closed",,"8/17/1993","Pre-RBCA","Doug Pratto","303-318-4357","cdle_ops_public_record_center@state.co.us","39.78072","-105.100211","39.78072, -105.100211",,,,"https://socgov18.force.com/s/release/a183h000003KXeP"
"REL-005174","59","4606","AT&T Cedarwood R S","89 M NW  Of Cedarwood","Pueblo","81001","CO","Pueblo","Closed","9/11/1993","10/20/1994","Pre-RBCA","Edgar Ethington","303-318-4357","cdle_ops_public_record_center@state.co.us",,,",",,,,"https://socgov18.force.com/s/release/a183h000003KWbQ"
"REL-004958","60","6508","Amoco #5211","2990 S Broadway","Englewood","80110","CO","Arapahoe","Closed","10/2/1996","7/9/1997","Pre-RBCA","Jennifer Steffes","303-318-4357","cdle_ops_public_record_center@state.co.us","39.662642","-104.987214","39.662642, -104.987214",,,,"https://socgov18.force.com/s/release/a183h000003KWXw"
"REL-008097","61","1882","Lowry Air Force Base","8496 E Academy Pkwy","Denver","80230","CO","Denver","Closed","2/26/1992","3/16/2004","Tier I","Jane Bral","303-318-8510","jane.bral@state.co.us","39.719067","-104.896966","39.719067, -104.896966","Tank",,,"https://socgov18.force.com/s/release/a183h000003KXMZ"
"REL-010449","62","7851","Sears Roebuck & Co","205 E Foothills Pkwy","Fort Collins","80525","CO","Larimer","Closed","12/7/1993","9/9/1997","Pre-RBCA","Dennis Hotovec","303-318-4357","cdle_ops_public_record_center@state.co.us","40.542014","-105.075096","40.542014, -105.075096",,,,"https://socgov18.force.com/s/release/a183h000003KXyV"
"REL-008098","63","1882","Lowry Air Force Base","8496 E Academy Pkwy","Denver","80230","CO","Denver","Closed","2/26/1992","1/17/2002","Tier I","Steve Noel","303-318-4357","cdle_ops_public_record_center@state.co.us","39.719067","-104.896966","39.719067, -104.896966",,,,"https://socgov18.force.com/s/release/a183h000003KXMa"
"REL-008821","64","10794","Garnsey & Wheeler Co","804 W Main","New Castle","81647","CO","Garfield","Closed","10/25/1993","1/5/1994","Pre-RBCA","Donna Stoner","303-318-4357","cdle_ops_public_record_center@state.co.us","39.570818","-107.540555","39.570818, -107.540555",,,,"https://socgov18.force.com/s/release/a183h000003KXYF"
"REL-006239","65","12955","Good Times Burgers","2175 Sheridan Blvd","Edgewater","80214","CO","Jefferson","Closed","4/26/1994","3/23/1995","Pre-RBCA","Andy Flurkey","303-318-4357","cdle_ops_public_record_center@state.co.us","39.749251","-105.05334","39.749251, -105.05334",,,,"https://socgov18.force.com/s/release/a183h000003KWsb"
"REL-012350","67","9652","Century Tel - La Junta Central Ofc","610 Colorado Ave","La Junta","81050","CO","Otero","Closed","8/30/1994","2/15/1995","Pre-RBCA","Dennis Hotovec","303-318-4357","cdle_ops_public_record_center@state.co.us","37.982301","-103.54317","37.982301, -103.54317",,,,"https://socgov18.force.com/s/release/a183h000003KYTA"
"REL-008102","68","1882","Lowry Air Force Base","8496 E Academy Pkwy","Denver","80230","CO","Denver","Closed","2/26/1992","2/9/1995","Pre-RBCA","Andy Flurkey","303-318-4357","cdle_ops_public_record_center@state.co.us","39.719067","-104.896966","39.719067, -104.896966",,,,"https://socgov18.force.com/s/release/a183h000003KXMe"
"REL-009155","69","13383","Parkway Market Center","6000 Dahlia St","Commerce City","80022","CO","Adams","Closed",,"5/25/1995","Pre-RBCA","Ed Larock","303-318-4357","cdle_ops_public_record_center@state.co.us","39.805193","-104.931206","39.805193, -104.931206",,,,"https://socgov18.force.com/s/release/a183h000003KXdd"
"REL-002889","70","5384","Cliff Brice Station","701 W 4th St","Pueblo","81003","CO","Pueblo","Closed","9/8/1995","12/12/1995","Pre-RBCA","Andy Flurkey","303-318-4357","cdle_ops_public_record_center@state.co.us","38.270837","-104.616686","38.270837, -104.616686",,,,"https://socgov18.force.com/s/release/a183h000003KW0Z"
"REL-004437","71","6460","Twin Star Energy #535","16920 E Quincy Ave","Aurora","80015","CO","Arapahoe","Closed","10/2/1996","7/8/1997","Pre-RBCA","Jennifer Steffes","303-318-4357","cdle_ops_public_record_center@state.co.us","39.638041","-104.789866","39.638041, -104.789866",,,,"https://socgov18.force.com/s/release/a183h000003KWPX"
"REL-009756","72","8479","Rawhide Energy Station","2700 E Larimer CR 82","Wellington","80549","CO","Larimer","Closed",,"7/22/1994","Pre-RBCA","Robert Shoup","303-318-4357","cdle_ops_public_record_center@state.co.us","40.841348","-105.026233","40.841348, -105.026233",,,,"https://socgov18.force.com/s/release/a183h000003KXnK"
"REL-008491","73","12909","Mill Site #29 - Mountain Casino Properties","110 Main St","Black Hawk","80422","CO","Gilpin","Closed","4/13/1992","12/17/1997","Pre-RBCA","Dennis Hotovec","303-318-4357","cdle_ops_public_record_center@state.co.us","39.801642","-105.493382","39.801642, -105.493382",,,,"https://socgov18.force.com/s/release/a183h000003KXSv"
"REL-004383","74","1628","Belleview Service Center","1800 W Sheri Ln","Littleton","80120","CO","Arapahoe","Closed","4/9/1992","11/18/1994","Pre-RBCA","Larry Delin","303-318-4357","cdle_ops_public_record_center@state.co.us","39.622811","-105.008458","39.622811, -105.008458",,,,"https://socgov18.force.com/s/release/a183h000003KWOf"
"REL-011223","75","8047","Stop N Save #3","723 Horizon Dr","Grand Junction","81506","CO","Mesa","Closed","1/31/1991","2/25/2022","Tier II","John Ritchie","303-318-8548","john.ritchie@state.co.us","39.109701","-108.542561","39.109701, -108.542561","Historical contamination","Other",,"https://socgov18.force.com/s/release/a183h000003KYAz"
"REL-010835","76","8233","King Soopers #40 Fuel Center","198 S Union Blvd","Lakewood","80228","CO","Jefferson","Closed",,"5/24/1996","Pre-RBCA","Ed Larock","303-318-4357","cdle_ops_public_record_center@state.co.us","39.712029","-105.132709","39.712029, -105.132709",,,,"https://socgov18.force.com/s/release/a183h000003KY4j"
"REL-008879","77","4363","Spradley Lincoln Mercury","2500 W 104th Ave","Denver","80234","CO","Adams","Closed",,"8/7/1996","Pre-RBCA","Eric Gillespie","303-318-4357","cdle_ops_public_record_center@state.co.us","39.884148","-105.017356","39.884148, -105.017356",,,,"https://socgov18.force.com/s/release/a183h000003KXZB"
"REL-003366","79","7437","CDOT Las Animas","52 Bent Ave","Las Animas","81054","CO","Bent","Closed","12/23/1989","7/21/2000","Pre-RBCA","Eric Gillespie","303-318-4357","cdle_ops_public_record_center@state.co.us","38.073068","-103.219899","38.073068, -103.219899",,,,"https://socgov18.force.com/s/release/a183h000003KW8G"
"REL-010173","80","12241","Rulison Compressor Station","10 Mi S Of Silt","Silt","81652","CO","Garfield","Closed","11/19/1992","12/11/1992","Pre-RBCA","Edgar Ethington","303-318-4357","cdle_ops_public_record_center@state.co.us","39.452","-107.903","39.452, -107.903",,,,"https://socgov18.force.com/s/release/a183h000003KXu3"
"REL-008103","81","1882","Lowry Air Force Base","8496 E Academy Pkwy","Denver","80230","CO","Denver","Closed","2/26/1992","6/7/1995","Pre-RBCA","Andy Flurkey","303-318-4357","cdle_ops_public_record_center@state.co.us","39.719067","-104.896966","39.719067, -104.896966",,,,"https://socgov18.force.com/s/release/a183h000003KXMf"
"REL-011106","82","12510","State Steamplant PSC","1341 Sherman St","Denver","80203","CO","Denver","Closed","11/27/1991","1/28/1992","Pre-RBCA","Lisa Weers","303-318-4357","cdle_ops_public_record_center@state.co.us","39.737797","-104.984977","39.737797, -104.984977",,,,"https://socgov18.force.com/s/release/a183h000003KY96"
"REL-005941","83","3724","Conocar Service Center","1395 Peoria St","Aurora","80011","CO","Adams","Closed","5/1/1989","9/12/2007","Tier II","Mike Kwiecinski","303-318-4357","cdle_ops_public_record_center@state.co.us","39.738528","-104.847451","39.738528, -104.847451",,,,"https://socgov18.force.com/s/release/a183h000003KWnn"
"REL-008104","84","1882","Lowry Air Force Base","8496 E Academy Pkwy","Denver","80230","CO","Denver","Closed","2/26/1992","5/9/2000","Pre-RBCA","Steve Noel","303-318-4357","cdle_ops_public_record_center@state.co.us","39.719067","-104.896966","39.719067, -104.896966",,,,"https://socgov18.force.com/s/release/a183h000003KXMg"
"REL-006111","85","12772","Geneva Financial Corp","4001 W 32nd Ave","Denver","80212","CO","Denver","Closed","8/6/1993","6/24/1994","Pre-RBCA","Kathy Kosklin","303-318-4357","cdle_ops_public_record_center@state.co.us","39.762364","-105.039627","39.762364, -105.039627",,,,"https://socgov18.force.com/s/release/a183h000003KWqX"
"REL-001837","86","11550","Eldora Mountain Resort","2861 Eldora Ski Rd 140","Nederland","80466","CO","Boulder","Closed","1/27/1992","12/3/1993","Pre-RBCA","Joe'l Lambe","303-318-4357","cdle_ops_public_record_center@state.co.us","39.936816","-105.58111","39.936816, -105.58111",,,,"https://socgov18.force.com/s/release/a183h000003KVjb"
"REL-001117","87","10633","Clear Creek Distributing","I-70 Exit 243 Hidden Valley","Idaho Springs","80452","CO","Clear Creek","Closed","10/26/1993","4/19/2005","Tier II","John Gould","303-318-4357","cdle_ops_public_record_center@state.co.us","39.747595","-105.461926","39.747595, -105.461926",,,,"https://socgov18.force.com/s/release/a183h000003KVXz"
"REL-012900","88","2958","Crested Butte Mountain Resorts","12 Snowmass Rd Whetstone Bldg","Crested Butte","81224","CO","Gunnison","Closed","9/10/1996","9/13/1996","Pre-RBCA","Robert Shoup","303-318-4357","cdle_ops_public_record_center@state.co.us","38.898902","-106.965861","38.898902, -106.965861",,,,"https://socgov18.force.com/s/release/a183h000003KYc2"
"REL-011649","89","12357","Thompson Garage","810 N 11th Ave","Greeley","80631","CO","Weld","Closed","8/7/1991","11/14/1997","Pre-RBCA","Dennis Hotovec","303-318-4357","cdle_ops_public_record_center@state.co.us","40.442729","-104.696679","40.442729, -104.696679",,,,"https://socgov18.force.com/s/release/a183h000003KYHr"
"REL-004261","90","13716","Auto Repair Shop","218 3rd St","Paonia","81428","CO","Delta","Closed",,"11/6/1997","Pre-RBCA","Steve Noel","303-318-4357","cdle_ops_public_record_center@state.co.us","38.868705","-107.596854","38.868705, -107.596854",,,,"https://socgov18.force.com/s/release/a183h000003KWMh"
"REL-007188","91","5266","K&s Automotive","3042 W Pikes Peak Ave","Colorado Springs","80909","CO","El Paso","Closed",,"2/9/1995","Pre-RBCA","Cindy Silva-Burbach","303-318-4357","cdle_ops_public_record_center@state.co.us","38.853648","-104.871221","38.853648, -104.871221",,,,"https://socgov18.force.com/s/release/a183h000003KX7u"
