"bill_number","title","sponsors","action_taken_by_the_governor"
"HB14-1099","Optometrists Prescription Drug Authority","Schafer / Aguilar","Signed 3/14/2014"
"HB14-1100","Motor Vehicle Title Branding","Swalm & Pabon / Grantham","Signed 4/18/2014"
"HB14-1101","Community Solar Garden Business Personal Property Tax Exemption","Tyler / Schwartz","Signed 5/9/2014"
"HB14-1102","Gifted Education Programs","Peniston / Kerr","Signed 6/5/2014"
"HB14-1103","Securities Criteria Legal Investment Public Funds","Pabon / Harvey","Signed 3/27/2014"
"HB14-1105","Tax Exempt Gas Sales Between Governmental Entities","Mitsch Bush / Todd","Signed 4/7/2014"
"HB14-1107","Electronic Tax Notices","Tyler / Newell","Signed 4/25/2014"
"HB14-1108","Copayments For Physical Rehabilitation Services","Primavera / Tochtrop","Vetoed 3/28/2014"
"HB14-1111","Retirees On Municipal Volunteer Firefighter Pension Boards","Foote / Jones","Signed 3/7/2014"
"HB14-1112","Authorize Clerks To Redact Social Security Numbers","Lebsock / Ulibarri & Roberts","Signed 3/14/2014"
"HB14-1118","Advanced Placement Incentives Pilot Program","Wilson / Todd","Signed 6/5/2014"
"HB14-1119","Tax Credit For Donating Food To Charitable Organization","McLachlan / Hodge & Roberts","Signed 5/30/2014"
"HB14-1121","County Highway Contract Bid Notice Requirements","Kraft-Tharp & Gerou / Jahn","Signed 3/14/2014"
"HB14-1122","Keep Legal Marijuana From Those Under 21","Kagan / Newell","Signed 3/17/2014"
"HB14-1123","Rule Review Bill","Labuda / Brophy","Signed 5/15/2014"
"HB14-1125","HOAs Publish Member Info With Permission","Mitsch Bush / Balmer","Signed 3/27/2014"
"HB14-1129","State Provide Utilities Facility Info To Local Government","Lebsock / Hodge","Signed 3/27/2014"
"HB14-1130","Foreclosure Cure Remit Unpaid Fees To Borrower","McCann / Ulibarri","Signed 5/9/2014"
"HB14-1136","Regulation Of Continuing Professional Education","Primavera / Todd","Signed 4/7/2014"
"HB14-1141","Confidentiality Social Security Numbers","Coram / Roberts","Signed 4/18/2014"
"HB14-1142","Prohibit Electronic Sale Of Lottery Tickets","DelGrosso / Grantham & Nicholson","Signed 4/11/2014"
"HB14-1144","Deputy District Attorney Compensation And Training","Gardner / Johnston","Signed 5/15/2014"
"HB14-1146","Prohibit Greyhound Racing","Becker / Tochtrop","Signed 3/10/2014"
"HB14-1148","Victims' Rights Act Cleanup","Fields / Jahn","Signed 4/4/2014"
"HB14-1152","Passive Surveillance Records","Lawrence / Scheffel","Signed 4/4/2014"
"HB14-1156","Eligibility Age School Lunch Protection Program","Moreno / Ulibarri","Signed 6/3/2014"
"HB14-1159","Biogas System Components Sales & Use Tax Exemption","Young & Dore / Schwartz & Crowder","Signed 5/17/2014"
"HB14-1160","Divisible Load Overweight Vehicle Permits","Mitsch Bush & Coram / Todd & Herpin","Signed 4/4/2014"
"HB14-1161","Preserve & Expand Amtrak Interstate Rail Service","Garcia / Crowder","Signed 5/14/2014"
"HB14-1162","Protect Rape Victim Where Child Conceived","Landgraf / Carroll","Signed 5/9/2014"
"HB14-1163","Clarify Enterprise Zone Investment Tax Credit Cap","Hullinghorst / Heath","Signed 3/27/2014"
"HB14-1164","Nonpartisan Elections Not Coordinated County Clerk","Hullinghorst/Ulibarri","Signed 2/18/2014"
"HB14-1166","Renewal Of Concealed Handgun Permits","Vigil / Tochtrop","Signed 3/14/2014"
"HB14-1169","Sunset Volunteer Firefighter Advisory Committee","Dore & Garcia / Tochtrop","Signed 3/27/2014"
"HB14-1170","Lease-purchase Authority For CBI Pueblo Lab","Garcia / Steadman","Signed 5/14/2014"
"HB14-1171","Medical Evidence In Sexual Assault Cases Rules","McNulty / Roberts","Signed 3/27/2014"
"HB14-1172","DPS DOC Background Check Process","Lawrence / Steadman","Signed 3/21/2014"
"HB14-1173","Sunset Controlled Substances Abuse Act","Ginal & McCann / Newell","Signed 5/31/2014"
"HB14-1174","Sunset Continue Natural Areas Council","Mitsch Bush / Schwartz & Jones","Signed 3/14/2014"
"HB14-1175","Minority K-12 Teachers Study Strategy Report","Fields & Pabon / Johnston","Signed 6/6/2014"
"HB14-1176","Emissions Program Audit Cycle","Ryden / Tochtrop","Signed 4/25/2014"
"HB14-1177","Meetings Boards Of Commissioners Larger Counties","Swalm / Tochtrop","Signed 3/27/2014"
"HB14-1178","Sales & Use Tax Exemption For Space Flight Property","Ferrandino & DelGrosso / Hodge & Grantham","Signed 5/20/2014"
"HB14-1180","Sunset Continue Hunting Fishing Outfitters","Becker/Tochtrop","Signed 6/6/2014"
"HB14-1181","Sunset Continue Nurse-physician Advisory Task Force","Schafer / Kefalas","Signed 5/9/2014"
"HB14-1182","Public Education Accountability 2015-16 School Year","Hamner / Kerr","Signed 4/4/2014"
"HB14-1183","Veterans Full Employment","Fields / Jones","Signed 3/27/2014"
"HB14-1184","Elect Pueblo Conservancy District Board Flood Mitigation","Vigil / Grantham","Signed 4/4/2014"
"HB14-1185","Issuance of Travel Insurance Policies","Kraft-Tharp / Jahn","Signed 5/15/2014"
"HB14-1186","Release Medical Records To Third Parties And Fees","Schafer / Aguilar","Signed 4/18/2014"
"HB14-1188","Use of Outdoor Advertising Program Revenues","Ryden / Tochtrop","Signed 3/27/2014"
"HB14-1190","School District Financial Capacity Capital Construction Grants","Ryden / King","Signed 3/14/2014"
"HB14-1191","Hit And Run Medina Alert Program","Conti / King","Signed 3/25/2014"
"HB14-1193","Research Retrieval Fees Public Records Under CORA","Salazar / Kefalas","Signed 5/2/2014"
"HB14-1194","Recreate Legislative Digital Policy Advisory Committee","Joint Budget Committee","Signed 5/15/2014"
"HB14-1195","Diversion Of Insurance Premium Taxes To Cash Funds","Joint Budget Committee","Signed 4/11/2014"
"HB14-1199","Consumer Goods Service Contracts Regulation Changes","Williams / Jahn & Balmer","Signed 5/15/2014"
"HB14-1202","Local Accountability Requirements For School Districts","Scott / Todd & Scheffel","Signed 6/6/2014"
"HB14-1203","Funding For Digital Trunked Radio System Maintenance","Joint Budget Committee","Signed 5/2/2014"
"HB14-1204","Flexibility For Rural School Districts","Wilson / Grantham","Signed 5/31/2014"
"HB14-1205","Veterans Assistance Grant Program","Ryden / Crowder","Signed 5/26/2014"
"HB14-1206","Modify Charitable Solicitations Act","Conti / Ulibarri","Signed 4/11/2014"
"HB14-1207","CDPHE Household Medication Take-back Program","Young / Aguilar & Newell","Signed 5/21/2014"
"HB14-1208","Authorizing Multi-district Administrative Units","Wright & Hamner / Zenzinger & King","Signed 3/27/2014"
"HB14-1210","County & Agency Agreement Fire Costs On State Land","Gerou / Roberts","Signed 4/11/2014"
"HB14-1211","Ensuring Access To Complex Rehabilitation Medicaid","Young / Tochtrop","Signed 5/22/2014"
"HB14-1213","Pharmacy Benefit Manager Requirements","Kraft-Tharp / Crowder","Signed 6/6/2014"
"HB14-1214","Increased Penalties Emergency Medical Service Providers","Gerou / Balmer","Signed 6/5/2014"
"HB14-1215","Federal Home Loan Bank Rights In Collateral Of Insurer","Ginal / Tochtrop","Signed 3/21/2014"
"HB14-1216","Safety Markings For Rural Towers Under 200 Feet","Sonnenberg / Brophy","Signed 5/17/2014"
"HB14-1221","Sunset Fire Supression Contractor Regulation","Exum & Rankin / Tochtrop","Signed 5/15/2014"
"HB14-1222","Clean Energy Project Private Activity Bonds","McLachlan / Schwartz & Roberts","Signed 5/30/2014"
"HB14-1223","Reclassify Dolores County As Category V County","Coram / Roberts","Signed 3/27/2014"
"HB14-1224","Service-disabled Veteran Owned Small Business Set Aside","Gardner / Herpin","Signed 3/21/2014"
"HB14-1227","Sunset Continue Dental Examiners Board","Ginal / Nicholson","Signed 6/6/2014"
"HB14-1228","Court-ordered Driving School Evaluation Repeal","Peniston & Szabo / Tochtrop & King","Signed 6/5/2014"
"HB14-1229","Retail Marijuana Fingerprint Check Local Authority","Kagan & Wright / Johnston & King","Signed 3/17/2014"
"HB14-1232","Supplemental Appropriation Dept of Agriculture","Joint Budget Committee","Signed 2/27/2014"
"HB14-1233","Supplemental Appropriation Dept Of Corrections","Joint Budget Committee","Signed 2/27/2014"
"HB14-1234","Supplemental Appropriation Dept of Education","Joint Budget Committee","Signed 2/27/2014"
"HB14-1235","Supplemental Appropriation Office of Governor, Lt. Governor & OSPB","Joint Budget Committee","Signed 2/27/2014"
"HB14-1236","Supplemental Appropriation HCPF","Joint Budget Committee","Signed 2/27/2014"
"HB14-1237","Supplemtnal Appropriation Dept of Higher Education","Joint Budget Committee","Signed 2/27/2014"
"HB14-1238","Supplemental Appropriation Dept of Human Services","Joint Budget Committee","Signed 2/27/2014"
"HB14-1239","Supplemental Appropriation Judicial Dept","Joint Budget Committee","Signed 2/27/2014"
"HB14-1240","Supplemental Appropriation Dept of Law","Joint Budget Committee","Signed 2/27/2014"
"HB14-1241","Supplemental Appropriation Dept Of Local Affairs","Joint Budget Committee","Signed 3/11/2014"
"HB14-1242","Supplemental Appropriaiton Dept of Natural Resources","Joint Budget Committee","Signed 2/27/2014"
"HB14-1243","Supplemental Appropriation Dept of Personnel & Administration","Joint Budget Committee","Signed 2/27/2014"
"HB14-1244","Supplemental Appropriation Dept of Public Health & Environment","Joint Budget Committee","Signed 2/27/2014"
"HB14-1245","Supplemental Appropriation Dept of Public Safety","Joint Budget Committee","Signed 2/27/2014"
"HB14-1246","Supplemental Appropriation Dept of Revenue","Joint Budget Committee","Signed 2/27/2014"
"HB14-1247","Supplemental Appropriaiton Dept of State","Joint Budget Committee","Signed 2/27/2014"
"HB14-1248","Suppl Approp Dept of Treasury","Joint Budget Committee","Signed 2/27/2014"
"HB14-1249","Suppl Approp Capital Construction","Joint Budget Committee","Signed 2/27/2014"
"HB14-1250","School Dist Payments For Floods & Total Program","Joint Budget Committee","Signed 2/27/2014"
"HB14-1251","School Finance FY 2013-14 Adjustments","Joint Budget Committee","Signed 2/27/2014"
"HB14-1252","Intellectual & Dev Disab Services System Capacity","Joint Budget Committee","Signed 2/27/2014"
"HB14-1254","Limit HOA Transfer Fees & Late Payment Penalties","Labuda / Balmer","Signed 4/18/2014"
"HB14-1256","Higher Ed Employment Contracts For Librarians","Fischer / Kerr","Signed 3/27/2014"
"HB14-1260","Penalties For Sex Offenses Against A Child Under 12","Foote / Johnston","Signed 6/5/2014"
"HB14-1265","Bingo Raffles Reorganization Cleanup","Moreno / Roberts","Signed 4/4/2014"
"HB14-1266","Value-based Crime Threshold Level Changes","McCann & Gardner / Newell & King","Signed 5/9/2014"
"HB14-1267","Local Government & Black-footed Ferrets","Fischer / Jones","Signed 5/17/2014"
"HB14-1269","Marketplace Fairness & Small Business Protection","Court & Williams / Johnston","Signed 6/6/2014"
"HB14-1270","Sunset Pet Animal Care Facilities","Lebsock / Tochtrop","Signed 6/6/2014"
"HB14-1271","Mental Health Duty To Warn Target Entities","Melton / Newell","Signed 4/7/2014"
"HB14-1273","Human Trafficking","McCann & Wright / Newell & Schwartz","Signed 5/29/2014"
"HB14-1274","Modify State Bank Management Limitations","Kraft-Tharp & Holbert / Jahn","Signed 4/7/2014"
"HB14-1275","Real Property Purchase Shooting Range","Duran & Coram / Jahn & Roberts","Signed 5/31/2014"
"HB14-1276","Grant Program To Train High School Students In CPR","Primavera / Hodge","Signed 5/16/2014"
"HB14-1277","Military Family Relief Fund Eligibility","Melton / Todd","Signed 4/25/2014"
"HB14-1278","Sunset Work Comp Physician Accreditation Program","Rosenthal / Tochtrop","Signed 5/31/2014"
"HB14-1279","Income Tax Credit For Business Personal Property","Primavera & Young / Heath & Scheffel","Signed 6/5/2014"
"HB14-1280","Agritourism Limited Civil Liablity","Dore / Schwartz","Signed 6/6/2014"
"HB14-1281","Terminal Patients Investigational Drugs","Ginal & Joshi / Rivera & Aguilar","Signed 5/17/2014"
"HB14-1282","Insurance Transactions in a Foreign Language","Pabon / Tochtrop","Signed 4/18/2014"
"HB14-1283","Modify Prescription Drug Monitoring Program","McCann / Newell & Kefalas","Signed 5/21/2014"
"HB14-1284","Legislative License Plate Registration Number","Tyler & Coram / Todd & Crowder","Signed 5/9/2014"
"HB14-1286","Treasurer Loan Gifts Governor Receives For Display","Melton / Steadman","Signed 4/25/2014"
"HB14-1287","BEST Moneys For Disaster Damaged Public Schools","Young / Nicholson & Lambert","Signed 5/17/2014"
"HB14-1288","Student Immunizations Prior to School Attendance","Pabon/Aguilar","Signed 5/21/2014"
"HB14-1289","Reinvest Government Moneys FDIC Insured Accounts","McNulty / Johnston","Signed 4/25/2014"
"HB14-1290","Telepharmacy Remote Pharmacy Outlet","Becker / Roberts","Signed 5/9/2014"
"HB14-1291","Permit Charter Schools Hire Armed School Security","McLachlan & Humphrey / Renfroe & Tochtrop","Signed 5/9/2014"
"HB14-1292","The Student Success Act","Hamner & Murray / Johnston & Ulibarri","Signed 5/21/2014"
"HB14-1293","FY 2014-15 Legislative Dept Appropriation Bill","Hullinghorst / Heath","Signed 3/21/2014"
"HB14-1294","Student Data Privacy Act","Murray / Steadman & Jahn","Signed 6/6/2014"
"HB14-1295","Foreclosure Loan Single Contact No Dual Tracking","McCann / Ulibarri","Signed 5/9/2014"
"HB14-1298","Financing Of Public Schools","Hamner & Buckner / Kerr & Steadman","Signed 5/21/2014"
"HB14-1299","Motor Vehicle Age Salvage Brand","Tyler / Todd","Signed 4/25/2014"
"HB14-1300","GF Transfer To CO State Fair Authority Cash Fund","Garcia & Duran / Steadman","Signed 5/14/2014"
"HB14-1301","Safe Routes To School Program State Funding","Mitsch Bush / Kerr","Signed 6/3/2014"
"HB14-1302","Add Judgment Remedy In Fraudulent Transfer Action","Buckner / Johnsotn","Signed 5/2/2014"
"HB14-1303","Legislature Take Public Testimony Remote Locations","Scott & Ferrandino / Schwartz","Signed 5/31/2014"
"HB14-1307","Recategorize Mineral County As Class V County","Vigil / Crowder","Signed 5/9/2014"
"HB14-1308","Extend Overexpenditure & Appropriation Transfers","Joint Budget Committee","Signed 4/18/2014"
"HB14-1309","Repurposing DOC Day Surgery Center","Gardner / Steadman","Signed 6/6/2014"
"HB14-1310","Funding Breathalyzers For Law Enforcement","Ginal & Gardner / King & Johnston","Signed 5/31/2014"
"HB14-1311","Job Creation & Main Street Revitalization Act","Garcia & Dore / Steadman & Crowder","Signed 5/14/2014"
"HB14-1312","Continue Foreclosure Deferment Program","Williams / Ulibarri","Signed 5/9/2014"
"HB14-1313","Pet Animal License Rabies Vaccination Requirement","McLachlan / Nicholson","Signed 6/6/2014"
"HB14-1314","School District & Charter School Mill Levy Overrides","Pettersen / Kerr","Signed 5/15/2014"
"HB14-1315","Ins Co Model Act Reinsurance Credit Netting Agrmnt","Gardner/Scheffel","Signed 5/31/2014"
"HB14-1317","Colorado Child Care Assistance Program Changes","Duran / Nicholson & Kefalas","Signed 5/22/2014"
"HB14-1319","Outcomes-based Funding For Higher Education","Ferrandino & Holbert / Lambert & Todd","Signed 5/9/2014"
"HB14-1321","Membership Task Force Drunk Impaired Driving","Young / King","Signed 6/6/2014"
"HB14-1322","Changes To Probate Code","McLachlan / Roberts","Signed 5/31/2014"
"HB14-1323","Restrict Government Access Personal Medical Information","Primavera / Lundberg & Kefalas","Signed 5/31/2014"
"HB14-1326","Tax Incentives For Alternative Fuel Trucks","Primavera & Scott / Hodge","Signed 6/6/2014"
"HB14-1327","Measures Expand Deployment Communication Networks","Williams & Murray / Scheffel & Tochtrop","Signed 5/9/2014"
"HB14-1328","Connect Colorado Broadband Act","Williams & Coram / Nicholson & Crowder","Signed 5/10/2014"
"HB14-1329","Deregulate Internet Protocol Emerging Tech Telecom","Williams & Murray / Kerr & Scheffel","Signed 5/9/2014"
"HB14-1330","Updating Telecommunications Technology Language","Williams / Tochtrop","Signed 5/9/2014"
"HB14-1331","Regulate Basic Local Exchange Service","Williams & Murray / Nicholson & Kerr","Signed 5/9/2014"
"HB14-1333","Water Conservation Bd Construction Fund Projects","Fischer & Coram / Schwartz & Harvey","Signed 6/6/2014"
"HB14-1334","Petroleum Cleanup & Redevelopment Fund","Hamner & Scott / Jahn & King","Signed 6/6/2014"
"HB14-1335","Contributions To Candidates Not Major Political Parties","Moreno / Jones","Signed 5/2/2014"
"HB14-1336","2014-15 Long Appropriations Bill","Duran / Steadman","Signed 4/30/2014"
"HB14-1337","Increase The General Fund Reserve","Joint Budget Committee","Signed 4/21/2014"
"HB14-1338","Regional Centers Task Force And Utilization Study","Joint Budget Committee","Signed 5/31/2014"
"HB14-1339","Create Hazardous Substance Site Response Fund","Joint Budget Committee","Signed 5/31/2014"
"HB14-1340","State Toxicology Laboratory","Joint Budget Committee","Signed 4/18/2014"
"HB14-1341","Department Of State Cash Fund Repayment Transfer","Joint Budget Committee","Signed 4/18/2014"
"HB14-1342","Transfers Of Money Related To Capital Construction","Duran / Steadman","Signed 5/2/2014"
"HB14-1343","Firefighter Peace Officer PTSD Work Comp Coverage","Singer & Wright/Tochtrop","Signed 6/6/2014"
"HB14-1344","Electronic Delivery Of Insurance Documents","Rosenthal / Tochtrop","Signed 5/15/2014"
"HB14-1345","Higher Ed Funding Transfer Authority","Joint Budget Committee","Signed 5/9/2014"
"HB14-1347","Seven-day Court Time Intervals","Court / Newell","Signed 5/15/2014"
"HB14-1348","Extend Effective Date Of Definition Of Retail Sale","Ferrandino / Heath","Signed 5/31/2014"
"HB14-1349","Prop Tax Exempt Nonprofit Entity Fed Tax Credits","Hullinghorst & DelGrosso / Heath","Signed 5/17/2014"
"HB14-1350","Modifications To Regional Tourism Act","Ferrandino / Kerr","Signed 5/31/2014"
"HB14-1351","Maintain State's Relationship With US Military","Nordberg & Ryden / Todd & Herpin","Signed 5/14/2014"
"HB14-1352","Update Waste Tire Management System","Tyler & Coram/Todd & King","Signed 6/6/2014"
"HB14-1353","Uniform Powers Of Appointment Act","Gardner / Johnston","Signed 5/15/2014"
"HB14-1354","County Clerk Standing Jud Review SOS Election Action","Buckner & Gardner / Aguilar & Crowder","Signed 5/9/2014"
"HB14-1355","Reentry Programs For Adult Parolees","Kagan & Gardner / Guzman & King","Signed 6/6/2014"
"HB14-1356","Strengthen Penalty Authority Oil & Gas Commn","Foote / Jones","Signed 6/6/2014"
"HB14-1357","In-home Support Services In Medicaid Program","Young / Aguilar","Signed 5/22/2014"
"HB14-1358","Sunset Review In-home Support Services","Young & Joshi / Aguilar","Signed 5/22/2014"
"HB14-1359","Synchronize Multiple Prescriptions","Ginal / Aguilar","Signed 5/17/2014"
"HB14-1360","Sunset Review Licensure Of Home Care Agencies","Young / Aguilar","Signed 6/6/2014"
"HB14-1361","Regulation Of Marijuana Concentrates","McNulty & Singer / Guzman & King","Signed 5/21/2014"
"HB14-1362","Great-grandparent Visitation Of Grandchildren","Moreno / Ulibarri","Signed 6/6/2014"
"HB14-1363","Revisor's Bill","Gardner / Roberts","Signed 5/31/2014"
"HB14-1365","Junior College Officers & Ag Advises CO Mountain College","Hamner & Wilson / Schwartz & Baumgardner","Signed 6/5/2014"
"HB14-1366","Sale Of Edible Marijuana Products","Singer & McNulty / Johnston & King","Signed 5/21/2014"
"HB14-1367","Autocycles, Motorcycles, & Motor Vehicles","Tyler/Brophy","Signed 5/31/2014"
"HB14-1368","Transition Youth Development Disability To Adult Services","May & Gerou / Hodge","Signed 5/31/2014"
"HB14-1369","Durable Medical Equipment Supplier License","Young/Crowder & Jahn","Signed 5/22/2014"
"HB14-1371","Wellhead Point Of Property Valuation & Taxation","Young / Grantham","Law without signature. Took effect 6/7/2014"
"HB14-1372","Unauthorized Advertising For Adoption Purposes","Conti & McCann / Marble","Signed 5/22/2014"
"HB14-1373","Senior & Disabled Veteran Property Tax Exemption","Lebsock & Scott / Crowder & Zenzinger","Signed 5/26/2014"
"HB14-1374","On-demand Air Carrier Sales & Use Tax Exemption","Holbert & Kraft-Tharp / Hodge & Scheffel","Signed 6/6/2014"
"HB14-1375","Urban Redevelopment Fairness Act","DelGrosso / Tochtrop & King","Vetoed 6/6/2014"
"HB14-1376","Analysis Of Student Opportunity Gaps","Buckner & Moreno / Ulibarri","Signed 5/31/2014"
"HB14-1378","Posting Intimate Photos On The Internet","Stephens & Pabon / King & Hodge","Signed 5/29/2014"
"HB14-1379","Clarification Of Spousal Maintenance Provisions","McCann / Kerr","Signed 5/31/2014"
"HB14-1380","CO Coroners Standards And Training Board","Gardner & Fields / Nicholson","Signed 6/6/2014"
"HB14-1381","Requirements For A School Closure Plan","Fields / Todd","Signed 6/6/2014"
"HB14-1382","K-12 On-line Education","Young & Wilson / Kerr & Roberts","Signed 6/5/2014"
"HB14-1383","Workers' Compensation Physician Choice","Williams / Tochtrop & Ulibarri","Signed 6/5/2014"
"HB14-1384","Higher Education Tuition Assistance","Pettersen & McNulty / Ulibarri & Crowder","Signed 6/6/2014"
"HB14-1385","Academic Growth Awards To Mirror Athletic Awards","Priola & Peniston / Johnston & Rivera","Signed 5/29/2014"
"HB14-1387","Revision Of All Capital Related Statutes","Szabo & Fischer / Schwartz","Signed 6/6/2014"
"HB14-1388","Civil Damages Unlawful Termination Of A Pregnancy","Foote & Pettersen / Steadman","Signed 6/6/2014"
"HB14-1390","Legal Standing Of Public Open Meetings Law","Duran & Gardner/Brophy & Zenzinger","Signed 6/6/2014"
"HB14-1391","Authority Of Public Treasurer To Pay By Check","Becker & Priola/Kerr & Hill","Signed 6/5/2014"
"HB14-1393","Clarify Treatment Of Fed Funds For TABOR Purposes","Joint Budget Committee","Signed 5/31/2014"
"HB14-1394","Allocation Of Tobacco Settlement Disputed Payments","Duran / Lambert","Signed 6/6/2014"
"HB14-1395","Information Technology Budget Requests","Gerou/Lambert","Signed 5/31/2014"
