"bill_number","title","date_signed"
"HB13-1147","Voter Registration At Public Higher Ed Institution","04/18/2013 Governor Action - Signed"
"HB13-1152","Nursing Facility Per Diem Rates","05/03/2013 Governor Action - Signed"
"HB13-1153","Ownership Tax Rental Mobile Machinery Electronic","05/11/2013 Governor Action - Signed"
"HB13-1154","Crimes Against Pregnant Women Act","06/05/2013 Governor Action - Signed"
"HB13-1155","Correct HB12-1268 Provisions That Effect Transfers","03/14/2013 Governor Action - Signed"
"HB13-1156","Adult Pretrial Diversion Program","05/28/2013 Governor Action - Signed"
"HB13-1157","Uniform State Law Governs Remittance Transfers","04/04/2013 Governor Action - Signed"
"HB13-1158","Cottage Foods Act","04/04/2013 Governor Action - Signed"
"HB13-1159","Use Cell Phones To Present Evidence Of Insurance","04/04/2013 Governor Action - Signed"
"HB13-1160","Consolidate Theft Statutes With New Penalties","06/05/2013 Governor Action - Signed"
"HB13-1163","Sexual Assault Victim Emergency Payment Program","05/13/2013 Governor action - signed"
"HB13-1164","Extend Unwanted Horse Tax Checkoff","03/22/2013 Governor Action - Signed"
"HB13-1165","Creation Of A Manufacturing Career Pathway","05/28/2013 Governor Action - Signed"
"HB13-1166","Repeal Crimes With Marital Status As Element","03/22/2013 Governor Action - Signed"
"HB13-1167","Secretary Of State Collect Business Information","05/03/2013 Governor Action - Signed"
"HB13-1168","Recognize Unincorporated Acequia Ditches","03/29/2013 Governor Action - Signed"
"HB13-1171","Emergency Use Of Epinephrine Injectors In Schools","05/28/2013 Governor action - signed"
"HB13-1179","Agency & OSPB Deadlines To Submit Approp Documents","04/18/2013 Governor Action - Signed"
"HB13-1180","Allocation Of Tobacco Litigation Settlement Moneys","05/11/2013 Governor Action - Signed"
"HB13-1181","Tobacco Program Cash Funds","03/22/2013 Governor Action - Signed"
"HB13-1182","Legislative Digital Policy Advisory Committee","05/23/2013 Governor action - signed"
"HB13-1183","Extend Conservation Easement Tax Credit Cap","05/23/2013 Governor Action - Signed"
"HB13-1184","Supplier Database Cash Fund","03/22/2013 Governor Action - Signed"
"HB13-1185","Low-income Energy Assistance Transfer From Sev Tax","03/22/2013 Governor Action - Signed"
"HB13-1186","Special District Meetings Notices & Transparency","04/04/2013 Governor Action - Signed"
"HB13-1190","Contrib To Intermediary Org For Enter Zone Project","05/03/2013 Governor Action - Signed"
"HB13-1191","Nutrient Grant Domestic Wastewater Treatment Plant","05/10/2013 Governor action - signed"
"HB13-1193","Advanced Industries Export Acceleration Program","05/23/2013 Governor action - signed"
"HB13-1194","In-state Tuition For Military Dependants","05/28/2013 Governor Action - Signed"
"HB13-1195","Human Trafficking","05/28/2013 Governor action - signed"
"HB13-1196","Report Waste-prevention Methods Accountable Care","05/11/2013 Governor Action - Signed"
"HB13-1198","Colorado Commission Of Indian Affairs","03/22/2013 Governor Action - Signed"
"HB13-1199","Nursing Home Provider Fee Statute","03/22/2013 Governor Action - Signed"
"HB13-1200","Uniform Deployed Parents Custody Visitation Act","05/10/2013 Governor Action - Signed"
"HB13-1202","Counseling Relating To Scope Of Treatment Medicaid","04/08/2013 Governor Action - Signed"
"HB13-1203","List Of Contracts Between Political Subdivisions","03/15/2013 Governor Action - Signed"
"HB13-1204","Uniform Premarital And Marital Agreements Act","05/17/2013 Governor Action - Signed"
"HB13-1204","Uniform Premarital And Marital Agreements Act","05/18/2013 Governor action - signed"
"HB13-1205","Investment Of State Moneys By The State Treasurer","04/26/2013 Governor Action - Signed"
"HB13-1206","Expand Authority For Business Incentive Agreements","06/05/2013 Governor Action - Signed"
"HB13-1208","Incentives Offered By Creative Districts","04/19/2013 Governor Action - Signed"
"HB13-1209","Child Support Revisions","04/04/2013 Governor Action - Signed"
"HB13-1210","Right To Legal Counsel In Plea Negotiations","05/28/2013 Governor Action - Signed"
"HB13-1219","Statutory Changes To K-12 Education","04/04/2013 Governor Action - Signed"
"HB13-1220","Confidentiality K-12 Educator Performance Data","05/03/2013 Governor Action - Signed"
"HB13-1221","Standards For The Audit Of Pharmacies","04/08/2013 Governor Action - Signed"
"HB13-1222","Family Care Act Family Medical Leave Eligibility","05/03/2013 Governor Action - Signed"
"HB13-1223","Carriers Requirement To Submit Cost","04/26/2013 Governor Action - Signed"
"HB13-1224","Prohibiting Large-capacity Ammunition Magazines","03/20/2013 Governor Action - Signed"
"HB13-1225","Homeowner's Insurance Reform Act","05/10/2013 Governor action - signed"
"HB13-1228","Payment For Background Checks For Gun Transfers","03/20/2013 Governor Action - Signed"
"HB13-1229","Background Checks For Gun Transfers","03/20/2013 Governor Action - Signed"
"HB13-1230","Compensation For Persons Wrongly Incarcerated","06/05/2013 Governor Action - Signed"
"HB13-1232","Warrior Transition Battalion Fishing Licenses","04/04/2013 Governor Action - Signed"
"HB13-1233","Insurance Transactions Foreign Language","05/10/2013 Governor Action - Signed"
"HB13-1234","Lease-purchase Authority For DOA Ofc Consolidation","05/10/2013 Governor action - signed"
"HB13-1235","Valuations Of Property Prior To State Purchase","06/05/2013 Governor Action - Signed"
"HB13-1237","Special Olympics Colorado Tax Checkoff","04/19/2013 Governor Action - Signed"
"HB13-1238","Transfer Funds For Med Marijuana Enforcement","05/28/2013 Governor Action - Signed"
"HB13-1239","Creation Of A Statewide Youth Development Plan","05/28/2013 Governor action - signed"
"HB13-1240","Penalties For Persistent Drunk Drivers","05/28/2013 Governor Action - Signed"
"HB13-1241","Statewide Victim Information & Notification System","05/28/2013 Governor action - signed"
"HB13-1242","Repeal Mandatory Sentence Bail Condition Violation","05/28/2013 Governor Action - Signed"
"HB13-1243","Court Orders For Parenting Time Findings Of Fact","04/18/2013 Governor Action - Signed"
"HB13-1245","Funding Colorado Health Benefit Exchange","05/23/2013 Governor action - signed"
"HB13-1246","Modify Prop Tax Exemptions For Nonprofit Orgs","05/11/2013 Governor Action - Signed"
"HB13-1247","Innovative Motor Vehicle Income Tax Credit","05/15/2013 Governor Action - Signed"
"HB13-1247","Innovative Motor Vehicle Income Tax Credit","05/16/2013 Governor action - signed"
"HB13-1248","Irrigation Water Leasing Municipal Pilot Projects","05/13/2013 Governor Action - Signed"
"HB13-1250","Administer County Landscape Management","05/17/2013 Governor Action - Signed"
"HB13-1250","Administer County Landscape Management","05/18/2013 Governor action - signed"
"HB13-1252","Petroleum Storage Tank Redevelopment Fund","05/18/2013 Governor action - signed"
"HB13-1254","Restorative Justice","05/28/2013 Governor action - signed"
"HB13-1257","Developing Local-level Educator Evaluation Systems","05/17/2013 Governor Action - Signed"
"HB13-1257","Developing Local-level Educator Evaluation Systems","05/18/2013 Governor action - signed"
"HB13-1258","Community And Law Enforcement Trust Act","04/26/2013 Governor Action - Signed"
"HB13-1259","Civil Actions Protection Orders & Domestic Orders","05/14/2013 Governor Action - Signed"
"HB13-1260","Bingo Raffle Increase Games Occasions","05/28/2013 Governor action - signed"
"HB13-1262","Allow Fraud Reports To Insurance-funded Entities","05/28/2013 Governor Action - Signed"
"HB13-1263","Private Occupational School Requirements","05/11/2013 Governor Action - Signed"
"HB13-1265","Enter Zone Bus Facility Employee Tax Credit","05/03/2013 Governor Action - Signed"
"HB13-1266","Health Insurance Alignment Federal Law","05/13/2013 Governor action - signed"
"HB13-1271","Child Abuse Reporting Hotline & Child Welfare Rules","05/14/2013 Governor Action - Signed"
"HB13-1272","RTD & SCFD Sales & Use Tax Base Same As State","05/28/2013 Governor action - signed"
"HB13-1274","State Bd Of Land Commissioners Real Prop Inv","06/05/2013 Governor Action - Signed"
"HB13-1276","HOA Debt Collection Limitations","05/28/2013 Governor Action - Signed"
"HB13-1277","HOA Reg License Common Interest Community Managers","05/28/2013 Governor action - signed"
"HB13-1278","Oil Spills Gas Releases Reporting","05/11/2013 Governor Action - Signed"
"HB13-1280","Target Reserve Req Waiver For Building Reg Fund","06/05/2013 Governor Action - Signed"
"HB13-1281","Medicaid Management Info System Approp Two Years","05/11/2013 Governor action - signed"
"HB13-1282","Gov May Repay Transfers To Disaster Emergency Fund","05/11/2013 Governor Action - Signed"
"HB13-1283","Species Conservation Trust Fund","06/05/2013 Governor Action - Signed"
"HB13-1284","Make Article 9 UCC Security Interests Uniform","06/05/2013 Governor Action - Signed"
"HB13-1286","Suspend State Recovery Audits","05/28/2013 Governor Action - Signed"
"HB13-1287","Extend CO Job Growth Incentive Tax Credit 5 Years","05/13/2013 Governor action - signed"
"HB13-1288","Establish Statewide Uniform Sales & Use Tax Base","05/28/2013 Governor action - signed"
"HB13-1289","Electronic Motor Vehicle Info Transfer","06/05/2013 Governor Action - Signed"
"HB13-1290","Modernize Stop-loss Health Insurance","05/28/2013 Governor Action - Signed"
"HB13-1291","Colorado Early Head Start Grant Program","05/28/2013 Governor action - signed"
"HB13-1292","Keep Jobs In Colorado Act","05/24/2013 Governor Action - Signed"
"HB13-1292","Keep Jobs In Colorado Act","05/25/2013 Governor action - signed"
"HB13-1293","Gov To Create Exec Branch Climate Change Position","05/28/2013 Governor action - signed"
"HB13-1294","Judicial Dept & CGIA","05/28/2013 Governor Action - Signed"
"HB13-1295","Simplify Sales Tax For Marketplace Fairness Act","05/28/2013 Governor action - signed"
"HB13-1296","Civil Commitments And Task Force","05/16/2013 Governor action - signed"
"HB13-1297","Ft Lewis & School Of Mines Invest Authority","05/23/2013 Governor action - signed"
"HB13-1298","Employment Policies For Nonclassified Employees","05/28/2013 Governor Action - Signed"
"HB13-1299","Changes To The SMART Government Act Of 2010","06/05/2013 Governor Action - Signed"
"HB13-1300","Revisor's Bill","05/28/2013 Governor Action - Signed"
"HB13-1301","Procurement Technical Assistance Centers","05/24/2013 Governor action - signed"
"HB13-1302","Special District Consolidation","05/28/2013 Governor action - signed"
"HB13-1303","Create The Voter Access & Modernized Elections Act","05/10/2013 Governor Action - Signed"
"HB13-1305","Address Possible Tobacco Settlement Payment Reducs","05/28/2013 Governor Action - Signed"
"HB13-1307","Legal Description In Real Property Title Documents","05/28/2013 Governor action - signed"
"HB13-1308","Cell Phone Info To Police In Emergency Situation","05/13/2013 Governor action - signed"
"HB13-1310","Pharmacy Intern Definition Repeal","05/28/2013 Governor Action - Signed"
"HB13-1311","Clarify Definition Of Veterinary Premises","05/28/2013 Governor action - signed"
"HB13-1314","Transfer Developmental Disabilities To HCPF","05/28/2013 Governor Action - Signed"
"HB13-1315","Higher Ed Undergrad Student Health Ins Requirement","05/28/2013 Governor action - signed"
"HB13-1317","Implement Amendment 64 Majority Recommendation","05/28/2013 Governor Action - Signed"
"HB13-1318","Retail Marijuana Taxes","05/28/2013 Governor action - signed"
"HB13-1319","Assessment Ratio For Residential Real Property","05/28/2013 Governor Action - Signed"
"HB13-1320","Support For Meritorious Colorado Students","06/05/2013 Governor Action - Signed"
"HB13-1323","Dept Corr Request Clarification Of Mittimus","05/28/2013 Governor Action - Signed"
"HB13-1324","Add GA Members Statewide Internet Portal Auth Bd","05/28/2013 Governor action - signed"
"HB13-1325","Inferences For Marijuana And Driving Offenses","05/28/2013 Governor Action - Signed"
"HJR13-1007","Water Projects Eligibility Lists","02/19/2013 Governor Action - Signed"
"SB13-001","Colorado Working Families Economic Opportunity Act","06/05/2013 Governor action - signed"
"SB13-002","Designate BOCES As Local Education Agencies","03/22/2013 Governor Action - Signed"
"SB13-004","Electronic Renewal Senior Identification Card","05/16/2013 Governor action - signed"
"SB13-005","Fort Carson Police Officers Peace Officer Status","04/08/2013 Governor Action - Signed"
"SB13-007","Eliminate Repeal Of CCJJ","05/28/2013 Governor action - signed"
"SB13-008","Eliminate Waiting Period Under CHP+","03/29/2013 Governor Action - Signed"
"SB13-010","Dean Allopathic Osteopathic Sch Commn Family Med","03/22/2013 Governor Action - Signed"
"SB13-011","Colorado Civil Union Act","03/21/2013 Governor Action - Signed"
"SB13-012","Child Abuse Reporting Youth Sports Organizations","03/22/2013 Governor Action - Signed"
"SB13-013","Secret Service Limited Peace Officer Authority","04/19/2013 Governor Action - Signed"
"SB13-014","Immunity For Admin Emer Drugs To Overdose Victims","05/10/2013 Governor Action - Signed"
"SB13-015","Local Board Of Ed Meeting Electronic Participation","03/22/2013 Governor Action - Signed"
"SB13-018","Permissible Use Of Credit Information By Employers","04/19/2013 Governor Action - Signed"
"SB13-019","Promote Water Conservation","05/18/2013 Governor action - signed"
"SB13-023","Increase Damages Caps Under CGIA","04/19/2013 Governor Action - Signed"
"SB13-025","Collective Bargaining Firefighters","06/05/2013 Governor action - signed"
"SB13-026","Update Michael Skolnik Medical Transparency Act","05/24/2013 Governor Action - Signed"
"SB13-026","Update Michael Skolnik Medical Transparency Act","05/25/2013 Governor action - signed"
"SB13-027","RTD Mass Transit Station Parking Facilities","04/26/2013 Governor Action - Signed"
"SB13-028","Track Utility Data High Performance State Building","03/22/2013 Governor Action - Signed"
"SB13-029","Habitat For Humanity Of CO Tax Checkoff Creation","03/15/2013 Governor Action - Signed"
"SB13-030","Additional Review Of Rules Promulgated By Agencies","04/08/2013 Governor Action - Signed"
"SB13-031","Tuition For Dropout Recovery Program Students","03/15/2013 Governor Action - Signed"
"SB13-032","Life And Health Insurance Protection Association","03/15/2013 Governor Action - Signed"
"SB13-033","In-state Classification CO High School Completion","04/29/2013 Governor Action - Signed"
"SB13-036","Repeal The Annual Revenue Resolution","01/31/2013 Governor Action - Signed"
"SB13-038","Emergency Provider And Rescue Unit Confidentiality","03/22/2013 Governor Action - Signed"
"SB13-039","Regulate Audiology Practice","05/24/2013 Governor Action - Signed"
"SB13-039","Regulate Audiology Practice","05/25/2013 Governor action - signed"
"SB13-040","Complete Cemetery Expansion At Homelake Center","05/24/2013 Governor action - signed"
"SB13-041","Protect Water Storage Long-term Use","04/08/2013 Governor Action - Signed"
"SB13-042","Foreign Asst Med Professor Renew Physician License","04/19/2013 Governor Action - Signed"
"SB13-043","On-premises Alcohol Consumption Prohibit Removal","05/10/2013 Governor Action - Signed"
"SB13-044","Prepaid Inpatient Health Plan Incentives","03/22/2013 Governor Action - Signed"
"SB13-046","Dialysis Clinic Authorization Treat Outpatients","03/22/2013 Governor Action - Signed"
"SB13-047","Youth In Foster Care And Identity Theft Protection","05/28/2013 Governor action - signed"
"SB13-048","Authorize Local Government Use Of HUTF For Transit","04/26/2013 Governor Action - Signed"
"SB13-050","Recycling Resources Economic Opportunity Fund","06/05/2013 Governor Action - Signed"
"SB13-053","Exchange Of Student Data K-12 And Postsecondary","04/08/2013 Governor Action - Signed"
"SB13-058","Permanent Disability Parking Privileges","04/19/2013 Governor Action - Signed"
"SB13-059","Peace Officers Obtain Liquor License","04/08/2013 Governor Action - Signed"
"SB13-060","Civil Air Patrol Motor Vehicle License Plate","05/13/2013 Governor action - signed"
"SB13-067","Extend Public Lands Off-road Vehicle Law","04/04/2013 Governor Action - Signed"
"SB13-070","Alternative Fuel Fleet Vehicles","04/26/2013 Governor Action - Signed"
"SB13-071","Student ID Number For Adult Education Programs","04/19/2013 Governor Action - Signed"
"SB13-072","No Final Well Permit Req Denver Basin Designated","03/15/2013 Governor Action - Signed"
"SB13-073","General Permits Stormwater Rule-making","06/05/2013 Governor action - signed"
"SB13-074","Irrigation Water Right Historical Use Acreage","04/04/2013 Governor Action - Signed"
"SB13-075","Promote Water Conservation Of Designated Ground Water","03/15/2013 Governor Action - Signed"
"SB13-076","Use Of Archived Material For Leg Branch","04/26/2013 Governor Action - Signed"
"SB13-077","Probate Code Omnibus","05/11/2013 Governor action - signed"
"SB13-078","Erroneously Located Water Diversion Points","03/22/2013 Governor Action - Signed"
"SB13-079","Rule Review Bill","05/11/2013 Governor Action - Signed"
"SB13-080","FPPA Limitation On Liability","03/22/2013 Governor Action - Signed"
"SB13-081","Vehicle Regis Penalty Statement Repeal Spec Plate","04/08/2013 Governor Action - Signed"
"SB13-082","Wildfire Matters Review Committee","06/05/2013 Governor Action - Signed"
"SB13-083","Prescribed Burn Prog Div Fire Prevention & Control","05/23/2013 Governor Action - Signed"
"SB13-085","Suppl Approp Dept Of Agriculture","02/19/2013 Governor Action - Signed"
"SB13-086","Suppl Approp Dept Of Corrections","02/19/2013 Governor Action - Signed"
"SB13-087","Suppl Approp Dept Of Education","02/19/2013 Governor Action - Signed"
"SB13-088","Suppl Approp Office Of Gov, Lt Gov, & OSPB","02/19/2013 Governor Action - Signed"
"SB13-089","Suppl Approp Dept Of Health Care Pol & Fin","02/19/2013 Governor Action - Signed"
"SB13-090","Suppl Approp Dept Of Higher Ed","02/19/2013 Governor Action - Signed"
"SB13-091","Suppl Approp Dept Of Human Services","03/22/2013 Governor Action - Signed"
"SB13-092","Suppl Approp Judicial Dept","02/19/2013 Governor Action - Signed"
"SB13-093","Suppl Approp Dept Of Labor & Employment","02/19/2013 Governor Action - Signed"
"SB13-094","Suppl Approp Dept Of Law","02/19/2013 Governor Action - Signed"
"SB13-095","Suppl Approp Legislative Dept","02/19/2013 Governor Action - Signed"
"SB13-096","Suppl Approp Dept Of Local Affairs","02/19/2013 Governor Action - Signed"
"SB13-097","Suppl Approp Dept Of Military Affairs","02/19/2013 Governor Action - Signed"
"SB13-098","Suppl Approp Dept Of Natural Resources","02/19/2013 Governor Action - Signed"
"SB13-099","Suppl Approp Dept Of Personnel","02/19/2013 Governor Action - Signed"
"SB13-100","Suppl Approp Dept Of Public Health & Environment","02/19/2013 Governor Action - Signed"
"SB13-101","Suppl Approp Dept Of Public Safety","02/19/2013 Governor Action - Signed"
"SB13-102","Suppl Approp Dept Of Regulatory Agencies","02/19/2013 Governor Action - Signed"
"SB13-103","Suppl Approp Dept Of Revenue","02/19/2013 Governor Action - Signed"
"SB13-104","Suppl Approp Dept Of State","02/19/2013 Governor Action - Signed"
"SB13-105","Suppl Approp Dept Of Transportation","02/19/2013 Governor Action - Signed"
"SB13-106","Suppl Approp Dept Of The Treasury","02/19/2013 Governor Action - Signed"
"SB13-107","Suppl Approp Capital Construction","02/19/2013 Governor Action - Signed"
"SB13-108","Mid-year School Finance Adjustments","04/08/2013 Governor Action - Signed"
"SB13-109","State Agency Indirect Cost Recovery","03/08/2013 Governor Action - Signed"
"SB13-110","Wildland Fire Cost Recovery Fund","02/19/2013 Governor Action - Signed"
"SB13-111","Require Reports Of Elder Abuse And Exploitation","05/16/2013 Governor action - signed"
"SB13-112","Cap 2012-13 School Land Revenues Transfers","03/22/2013 Governor Action - Signed"
"SB13-113","Natural Resource Damage Recovery Fund","03/29/2013 Governor Action - Signed"
"SB13-114","Investigation & Application Fees Racing Cash Fund","03/08/2013 Governor Action - Signed"
"SB13-115","Waste Tire Fee Administration Cash Fund","03/08/2013 Governor Action - Signed"
"SB13-116","Psychologists Evaluate Defendant's Mental State","04/08/2013 Governor Action - Signed"
"SB13-118","Seller Financing Mortgage Loan Originator Exempt","03/22/2013 Governor Action - Signed"
"SB13-119","Clarify Title Ins Certificate Of Tax Reqmnt","05/11/2013 Governor Action - Signed"
