"business_name","city","state","species","county","email","phone"
"Cabela's Wholesale, LLC","Lone Tree","Colorado","Brown Trout,Cutbow Trout,Rainbow Trout,Black Crappie,Bluegill,Channel Catfish,Common Carp,Largemouth Bass,Smallmouth Bass,Walleye,Wiper,Cutthroat Trout",,"bmichaels@basspro.com",
"Cabela's Wholesale, LLC","Thornton","Colorado","Brown Trout,Cutbow Trout,Rainbow Trout,Black Crappie,Bluegill,Brook Trout,Channel Catfish,Common Carp,Cutthroat Trout,Largemouth Bass,Smallmouth Bass,Walleye,Wiper",,"bmichaels@basspro.com",
"Cannibal Canyon Custom Meat Processing","Marvel","Colorado","Triploid Grass Carp","La Plata","durdbabcock@gmail.com","9705882276"
"CEM Lake Management","Littleton","Colorado","Triploid Grass Carp","Douglas","russ@cemlake.com","7206351350"
"COLORADO CATCH","Sanford","Colorado","Bluegill,Channel Catfish,Fathead Minnow,Largemouth Bass,Tilapia,Triploid Grass Carp,Wiper","Conejos","colocatch@gojade.org","7192744058"
"Colorado Gators, Inc.","Mosca","Colorado","Channel Catfish,Common Carp,Green Sunfish,Largemouth Bass,Rainbow Trout,Smallmouth Bass,Tilapia,Waterdog","Alamosa","colog8rs@gmail.com","7193782612"
"Colorado Trout Unlimited","Denver","Colorado","Rainbow Trout","Denver","bianca.mcgrathmartinez@tu.org","7203941017"
"CRYSTAL SPRINGS TROUT FARM","Hotchkiss","Colorado","Brook Trout,Brown Trout,Cutbow Trout,Cutthroat Trout,Rainbow Trout,Tiger Trout","Delta","strohcstf@peoplepc.com","9706409864"
"Electra Sporting Club","Durango","Colorado","Brook Trout,Brown Trout,Rainbow Trout","La Plata","electra.sporting@gmail.com","9702591048"
"Four Corners Freshfish, LLC","Dolores","Colorado","Bluegill,Largemouth Bass,Tilapia,Channel Catfish",,"scot@fourcornersfreshfish.com","9705604007"
"FOUR SEASONS TROUT FARM","Cedaredge","Colorado","Rainbow Trout,Brook Trout","Delta",,"3038563029"
"Frontier Trout Ranch","Saguache","Colorado","Brook Trout,Brown Trout,Cutbow Trout,Cutthroat Trout,Golden Trout,Lake Trout,Rainbow Trout,Splake,Arctic Char,Tiger Trout,Triploid Grass Carp","Saguache","kermitkrantz@att.net","9132267557"
"Kate's Awesome Tree Service","Broomfield","Colorado","Arctic Char","Broomfield","kate.mcroy@state.co.us","3034375292"
"Keeton Industries Inc.","Wellington","Colorado","Brook Trout,Brown Trout,Cutthroat Trout,Fathead Minnow,Largemouth Bass,Rainbow Trout,Smallmouth Bass,Tilapia,Barramundi,Triploid Grass Carp","Larimer","luke@keetonaqua.com","9705687754"
"Kembel Excavation","Fort Morgan","Colorado","Black Crappie,Bluegill,Brown Trout,Channel Catfish,Fathead Minnow,Gizzard Shad,Green Sunfish,Largemouth Bass,Redear Sunfish,Smallmouth Bass,Striped Bass,Tiger Muskie,Walleye,Yellow Perch,Wiper","Morgan","Kylekembel@me.com","9703807949"
"Landry's Downtown Aquarium, Inc.","Denver","Colorado","Arctic Char,Arctic Grayling,Black Crappie,Bluegill,Brook Trout,Brown Trout,Channel Catfish,Common Carp,Crayfish,Cutthroat Trout,Flathead Catfish,Gizzard Shad,Green Sunfish,Kokanee Salmon,Largemouth Bass,Longnose Sucker,Mountain Whitefish,Northern Pike,Rainbow Trout,Redear Sunfish,Smallmouth Bass,Splake,Striped Bass,Tiger Muskie,Walleye,White Crappie,White Sucker,Wiper,Yellow Perch,Barramundi,Blue Catfish,Fathead Minnow,Triploid Grass Carp,Golden Trout","Denver","rbrynda@ldry.com","3035614450"
"LILEY FISHERIES & AQUATIC CONSULTING","Boulder","Colorado","Black Crappie,Bluegill,Brook Trout,Brown Trout,Channel Catfish,Cutthroat Trout,Fathead Minnow,Gizzard Shad,Golden Shiner,Green Sunfish,Largemouth Bass,Rainbow Trout,Smallmouth Bass,Tiger Muskie,Triploid Grass Carp,Walleye,Wiper,Yellow Perch,Cutbow Trout,Northern Pike,Tiger Trout,Trout Hybrid","Boulder","jeremy@lileyfisheries.com","3034492303"
"Mt. Massive Lakes, Inc.","Leadville","Colorado","Arctic Char,Brook Trout,Brown Trout,Cutbow Trout,Cutthroat Trout,Lake Trout,Rainbow Trout,Splake,Tiger Trout,Trout Hybrid","Lake","BryanHamacher@gmail.com","7192935423"
"PJ Marina LLC","Sterling","Colorado","Fathead Minnow,Golden Shiner","Logan","james.fix63@gmail.com","9704662279"
"Rainbow Springs Vet & Phish","Durango","Colorado","Brook Trout,Brown Trout,Cutthroat Trout,Rainbow Trout,Triploid Grass Carp,Trout Hybrid","La Plata","chasingrainbowtrout@yahoo.com","9707792713"
"Roadrunner Bait","Colorado Springs","Colorado","Bluegill,Fathead Minnow,Golden Shiner,Yellow Perch,Crayfish,Waterdog","El Paso","roadrunnerbait@comcast.net","7196359572"
"Shavano Valley Crop","Montrose","Colorado","Rainbow Trout,Brook Trout,Cutbow Trout,Triploid Grass Carp","Montrose","fym567@gmail.com","9702493053"
"Silver Springs Trout Farm Inc","Montrose","Colorado","Brook Trout,Cutbow Trout,Cutthroat Trout,Rainbow Trout,Triploid Grass Carp,Trout Hybrid","Montrose","silverspringstroutfarm@yahoo.com","9702495888"
"SOLitude Lake Management","Denver","Colorado","estewart@solitudelake.com","Adams","nbrowning@solitudelake.com","8884805253"
"Sunfish Fish Farms","Beaver","Colorado","Black Crappie,Bluegill,Channel Catfish,Fathead Minnow,Largemouth Bass,Redear Sunfish,Smallmouth Bass","Beaver","bkn6769826@aol.com","8013763571"
"Sweetwater Fisheries Group","Wellington","Colorado","Brook Trout,Brown Trout,Cutbow Trout,Cutthroat Trout,Fathead Minnow,Largemouth Bass,Rainbow Trout,Smallmouth Bass,Tiger Trout,Triploid Grass Carp","Larimer","jason@sweetwaterfisheries.com","9702275933"
"The Tackle Box","Hasty","Colorado","Fathead Minnow,Golden Shiner,Waterdog,Crayfish","Bent","Jmtacklebox@yahoo.com","7193363474"
"Torres Fisheries","Weston","Colorado","Brown Trout,Rainbow Trout,Cutbow Trout,Triploid Grass Carp","Denver","rj.santistevan@gmail.com","7198595284"
