DAMID,Dam Name,DIV,WD,County,PM,Township,Range,Section,Q160,Q40,UTM x,UMT y,Location Accuracy,Latdecdeg,Longdecdeg,Primary Name,Primary Contact,Project Type,Received,Rejected,Approved,COMPANY,Status,Days Under SEO Review,More Information,Location
070224,RALSTON,1,7,JEFFERSON,S,2.0 S,70.0 W,32,SE,NE,479363,4409067,GPS,39.831358,-105.241183,DENVER BOARD OF WATER COMMISSIONERS,DARREN BRINKER,MODIFICATION OF AN EXISTING DAM,10/26/2020,,06/09/2021,"DENVER WATER W/ INPUT FROM AECOM, WHEELER FOR GEO",COMPLETION CERTIFICATION AND TEMPORARY FILL REQUEST (COMPLETION PHASE),83,https://dwr.state.co.us/Tools/DamSafety/Dams/070224,"(39.831358, -105.241183)"
200102,BEAVER PARK,3,20,RIO GRANDE,N,39.0 N,3.0 E,28,SE,NW,352865.9,4162310,GPS,37.596117,-106.666687,"COLORADO PARKS AND WILDLIFE (TAYLOR, MARGARET)",MARGARET TAYLOR,REPAIR PROJECT FOR AN EXISTING DAM,09/23/2009,,10/05/2009,URS CORPORATION,FINAL INSPECTION / PUNCHLIST VERIFICATION (CONSTRUCTION PHASE),7,https://dwr.state.co.us/Tools/DamSafety/Dams/200102,"(37.596117, -106.666687)"
060121,GOOSE LAKE,1,6,BOULDER,S,1.0 N,73.0 W,19,SE,SW,448378.9,4431139,GPS,40.028896,-105.60501,"CITY OF BOULDER (CLARK, KEVIN)",KEVIN CLARK,MODIFICATION OF AN EXISTING DAM,06/26/1989,,06/26/1989,,PLANS APPROVED (DESIGN PHASE),0,https://dwr.state.co.us/Tools/DamSafety/Dams/060121,"(40.028896, -105.60501)"
370106,SYLVAN LAKE,5,37,EAGLE,S,7.0 S,83.0 W,6,NE,NW,350731,4371482.5,GPS,39.480001,-106.735571,"COLORADO PARKS AND WILDLIFE (TAYLOR, MARGARET)",MARGARET TAYLOR,MODIFICATION OF AN EXISTING DAM,09/07/2001,,07/17/2002,"COLORADO RIVER ENGINEERING, INC.",PRECON MEETING / CONSTRUCTION STARTED (CONSTRUCTION PHASE),188,https://dwr.state.co.us/Tools/DamSafety/Dams/370106,"(39.480001, -106.735571)"
070105,UPPER SEA OF STORMS,1,7,GILPIN,S,2.0 S,72.0 W,20,SE,SW,459947,4411889,Digitized,39.85609,-105.468254,"MACSOVITS, MAC ",MAC MACSOVITS,REPAIR PROJECT FOR AN EXISTING DAM,01/07/2021,,06/09/2021,"W.W. WEELER & ASSOCIATES, INC.",FINAL APPROVAL (AS-BUILTS AVAILABLE) (COMPLETION PHASE),93,https://dwr.state.co.us/Tools/DamSafety/Dams/070105,"(39.85609, -105.468254)"
620121,FISH CREEK #2,4,62,GUNNISON,N,46.0 N,6.0 W,6,SW,NE,275254.6,4238339.3,GPS,38.265003,-107.568896,"CIMARRON CANAL & RESERVOIR CO. (DISTEL, ALLEN)",ALLEN DISTEL,REPAIR PROJECT FOR AN EXISTING DAM,12/11/2018,,08/19/2019,"J-U-B ENGINEERS, INC.",PRECON MEETING / CONSTRUCTION STARTED (CONSTRUCTION PHASE),147,https://dwr.state.co.us/Tools/DamSafety/Dams/620121,"(38.265003, -107.568896)"
400135,CEDAR MESA,4,40,DELTA,S,11.0 S,94.0 W,36,SW,SE,253664.9,4326110.4,GPS,39.049358,-107.846531,"CEDAR MESA RESERVOIR CO. (FRITCHMAN, ERIK)",ERIK FRITCHMAN,MODIFICATION OF AN EXISTING DAM,08/07/2001,,02/27/2002,KNIGHT-PIESOLD,PRECON MEETING / CONSTRUCTION STARTED (CONSTRUCTION PHASE),140,https://dwr.state.co.us/Tools/DamSafety/Dams/400135,"(39.049358, -107.846531)"
110234,DROZ CREEK,2,11,CHAFFEE,N,48.0 N,8.0 E,6,NE,SE,402333.6,4255660.5,GPS,38.443892,-106.119176,BRENT JUILLERET,BRENT JUILLERET,MODIFICATION OF AN EXISTING DAM,03/23/2020,,08/10/2020,SMALL HYDRO CONSULTING LLC,PRECON MEETING / CONSTRUCTION STARTED (CONSTRUCTION PHASE),91,https://dwr.state.co.us/Tools/DamSafety/Dams/110234,"(38.443892, -106.119176)"
100406,CHAPEL HILLS #1,2,10,EL PASO,S,13.0 S,66.0 W,4,NW,NE,518581.3,4311435.2,GPS,38.951674,-104.785574,CITY OF COLORADO SPRINGS-ENG. DIVISION,TIM BIOLCHINI,NEW DAM,06/08/1982,,06/08/1982,,PLANS APPROVED (DESIGN PHASE),0,https://dwr.state.co.us/Tools/DamSafety/Dams/100406,"(38.951674, -104.785574)"
600107,BRIDAL VEIL,4,60,SAN MIGUEL,N,42.0 N,8.0 W,29,NW,NE,255972.1,4195554.4,GPS,37.874816,-107.774477,"NEWMONT MINING CORPORATION (FISKE, LARRY)",LARRY FISKE,REPAIR PROJECT FOR AN EXISTING DAM,07/10/2002,,07/17/2002,MONTGOMERY WATSON HARZA,PRECON MEETING / CONSTRUCTION STARTED (CONSTRUCTION PHASE),7,https://dwr.state.co.us/Tools/DamSafety/Dams/600107,"(37.874816, -107.774477)"
090131,POLLY A. DEANE,1,9,JEFFERSON,S,5.0 S,69.0 W,20,NE,SW,488141,4384001,GPS,39.605676,-105.138149,"BERGEN DITCH & RESERVOIR COMPANY (EASTON, ROBERT)",ROBERT EASTON,MODIFICATION OF AN EXISTING DAM,,,08/17/1987,,PLANS APPROVED (DESIGN PHASE),0,https://dwr.state.co.us/Tools/DamSafety/Dams/090131,"(39.605676, -105.138149)"
030316,ROCKY RIDGE,1,3,LARIMER,S,8.0 N,69.0 W,14,NE,NE,493222,4501638,GPS,40.665592,-105.080199,"WATER SUPPLY & STORAGE CO. (FRICK, DONALD)",DONALD FRICK,MODIFICATION OF AN EXISTING DAM,,,,"ANDERSON CONSULTING ENGINEERS, INC.",PRELIMINARY REPORT/PLAN SUBMITTED (DESIGN PHASE),0,https://dwr.state.co.us/Tools/DamSafety/Dams/030316,"(40.665592, -105.080199)"
080407,BURGESS #2,1,8,TELLER,S,12.0 S,69.0 W,20,SW,SW,488163.4,4315398.3,GPS,38.987503,-105.136685,"SPRING VALLEY PROPERTY OWNERS & REC. CORP. (GORDON, SHAUN)",SHAUN GORDON,NEW DAM,04/17/1967,,04/17/1967,,PLANS APPROVED (DESIGN PHASE),0,https://dwr.state.co.us/Tools/DamSafety/Dams/080407,"(38.987503, -105.136685)"
580109,GARDNER PARK,6,58,ROUTT,S,1.0 N,86.0 W,14,SW,SW,327907,4435255,User supplied,40.04999,-107.017502,GARDNER PARK RESERVOIR COMPANY,"SCHAFFNER, ANDI & FRANK",NEW DAM,,,06/27/1908,,RESUBMITTED / TAKEN OFF HOLD (DESIGN PHASE),0,https://dwr.state.co.us/Tools/DamSafety/Dams/580109,"(40.04999, -107.017502)"
020304,MILTON LAKE,1,2,WELD,S,3.0 N,65.0 W,11,SW,NW,530814,4454289,GPS,40.238481,-104.637757,"FARMERS RESERVOIR AND IRRIGATION COMPANY (EDGAR, SCOTT)",SCOTT EDGAR,REPAIR PROJECT FOR AN EXISTING DAM,03/02/1982,,03/02/1982,"HYDRO-TRIAD, LTD",PLANS APPROVED (DESIGN PHASE),0,https://dwr.state.co.us/Tools/DamSafety/Dams/020304,"(40.238481, -104.637757)"
720234,UPPER HIGHLINE,5,72,MESA,U,2.0 N,3.0 W,5,SW,NW,168225.5,4353792.8,GPS,39.270007,-108.845566,"COLORADO PARKS AND WILDLIFE (TAYLOR, MARGARET)",MARGARET TAYLOR,REPAIR PROJECT FOR AN EXISTING DAM,02/16/2014,,03/04/2014,"WESTERN ENGINEERS, INC.","COMPLETION DOCS RECEIVED (REPORT, FIRST FILL, MONITORING, EAP, AS-CONST DRAWINGS) (COMPLETION PHASE)",12,https://dwr.state.co.us/Tools/DamSafety/Dams/720234,"(39.270007, -108.845566)"
360105,GOOSE PASTURE TARN,5,36,SUMMIT,S,7.0 S,77.0 W,7,SE,NE,411192.6,4367778.7,GPS,39.455008,-106.032226,TOWN OF BRECKENRIDGE (LAURA LYNCH),LAURA LYNCH,MODIFICATION OF AN EXISTING DAM,10/18/2019,,04/09/2021,W.W. WHEELER & ASSOCIATES,REGULAR CONSTRUCTION INSPECTION (CONSTRUCTION PHASE),143,https://dwr.state.co.us/Tools/DamSafety/Dams/360105,"(39.455008, -106.032226)"
030211,KITCHELL,1,3,LARIMER,S,7.0 N,68.0 W,14,SE,NW,502633.2,4491394.8,GPS,40.573338,-104.968903,"KITCHELL RESERVOIR COMPANY (GRABER, LESA)",LESA GRABER,MODIFICATION OF AN EXISTING DAM,07/15/2021,,,APPLEGATE GROUP,RETURNED TO ENGINEER FOR CORRECTIONS (DESIGN PHASE),155,https://dwr.state.co.us/Tools/DamSafety/Dams/030211,"(40.573338, -104.968903)"
040249,CHIMNEY HOLLOW SADDLE DAM,1,4,LARIMER,S,4.0 N,70.0 W,9,SW,SE,479777,4463846,GPS,40.324905,-105.238057,,,NEW DAM,03/21/2018,,02/04/2020,MWH/STANTEC,PRECON MEETING / CONSTRUCTION STARTED (CONSTRUCTION PHASE),189,https://dwr.state.co.us/Tools/DamSafety/Dams/040249,"(40.324905, -105.238057)"
470315,WESTERN DIVIDE,6,47,JACKSON,,,,,,,,,,,,,,NEW DAM,,,,"NORTH PARK ENGINEERING & CONSULTING, INC.",PRELIMINARY DESIGN REVIEW MEETING (DESIGN PHASE),0,https://dwr.state.co.us/Tools/DamSafety/Dams/470315,
570314,PILOTS POND,6,57,ROUTT,S,7.0 N,87.0 W,24,NW,SW,322027.9,4491236.2,GPS,40.552784,-107.10195,"WOLF MOUNTAIN RANCH (WALTRIP, ROBERT)",ROBERT WALTRIP,REPAIR PROJECT FOR AN EXISTING DAM,08/23/2019,,10/29/2019,"APPLEGATE GROUP, INC.",CONSTRUCTION SHUT-DOWN INSPECTION (CONSTRUCTION PHASE),34,https://dwr.state.co.us/Tools/DamSafety/Dams/570314,"(40.552784, -107.10195)"
030217,LONG DRAW,1,3,LARIMER,S,6.0 N,75.0 W,11,NE,SW,434542,4483931,GPS,40.503517,-105.77256,"WATER SUPPLY & STORAGE CO. (FRICK, DONALD)",DONALD FRICK,REPAIR PROJECT FOR AN EXISTING DAM,09/25/2018,,08/03/2019,AECOM,PLANS APPROVED (DESIGN PHASE),98,https://dwr.state.co.us/Tools/DamSafety/Dams/030217,"(40.503517, -105.77256)"
670236,TWO BUTTES,2,67,BACA,S,28.0 S,46.0 W,1,SE,NW,717229.4,4168271.6,GPS,37.635929,-102.538116,COLORADO PARKS AND WILDLIFE,ERIC EISINGER,MODIFICATION OF AN EXISTING DAM,08/09/2021,,02/17/2022,AECOM,SUBSTANTIAL COMPLETION INSPECTION (CONSTRUCTION PHASE),94,https://dwr.state.co.us/Tools/DamSafety/Dams/670236,"(37.635929, -102.538116)"
060211,GROSS,1,6,BOULDER,S,1.0 S,71.0 W,21,SW,NW,469342.1,4422084,GPS,39.948336,-105.358902,DENVER BOARD OF WATER COMMISSIONERS,DARREN BRINKER,MODIFICATION OF AN EXISTING DAM,10/02/2019,,09/27/2020,STANTEC,REGULAR CONSTRUCTION INSPECTION (CONSTRUCTION PHASE),117,https://dwr.state.co.us/Tools/DamSafety/Dams/060211,"(39.948336, -105.358902)"
530210,SHOSHONE DIVERSION DAM,5,53,GARFIELD,S,5.0 S,87.0 W,30,NW,SE,311586.7,4384311.8,GPS,39.58784,-107.194057,"XCEL ENERGY (MARTINEZ, PATRICK)",PATRICK MARTINEZ,REPAIR PROJECT FOR AN EXISTING DAM,04/01/2022,,04/08/2022,"W.W. WHEELER & ASSOCIATES, INC",CONSTRUCTION OBSERVATION PLAN APPROVAL (CONSTRUCTION PHASE),6,https://dwr.state.co.us/Tools/DamSafety/Dams/530210,"(39.58784, -107.194057)"
100442,McCULLOUGH,2,10,EL PASO,S,12.0 S,67.0 W,34,NW,NW,510058.8,4313084.3,GPS,38.966673,-104.883899,COLORADO SPRINGS UTILITIES (ANDY FUNCHESS),ANDY FUNCHESS,NEW DAM,,,05/23/1988,,PLANS APPROVED (DESIGN PHASE),0,https://dwr.state.co.us/Tools/DamSafety/Dams/100442,"(38.966673, -104.883899)"
020322,SIGNAL #1,1,2,ADAMS,S,1.0 S,67.0 W,4,NW,NE,508778.4,4427679,GPS,39.999256,-104.897176,TODD CREEK VILLAGE METRO DISTRICT,DON SOMMERS,MODIFICATION OF AN EXISTING DAM,01/06/2016,,,"TESSARA WATER, LLC",PROJECT CANCELLED (DESIGN PHASE),195,https://dwr.state.co.us/Tools/DamSafety/Dams/020322,"(39.999256, -104.897176)"
670223,QUEEN,2,67,KIOWA,S,20.0 S,47.0 W,36,SW,NW,706837.6,4238601.9,GPS,38.271673,-102.63556,AMITY MUTUAL IRR. CO. (TERRY HOWLAND),TERRY HOWLAND,REPAIR PROJECT FOR AN EXISTING DAM,09/17/2020,,06/14/2022,RJH CONSULTANTS INC.,PLANS APPROVED (DESIGN PHASE),87,https://dwr.state.co.us/Tools/DamSafety/Dams/670223,"(38.271673, -102.63556)"
170101,ADOBE CREEK,2,17,BENT,S,21.0 S,52.0 W,7,SW,NE,650485,4233286.9,GPS,38.235006,-103.280565,FORT LYON CANAL CO.,CURTIS SNIFF- SUPERINTENDENT,MODIFICATION OF AN EXISTING DAM,03/07/2018,,09/09/2018,W. W. WHEELER AND ASSOCIATES INC.,REGULAR CONSTRUCTION INSPECTION (CONSTRUCTION PHASE),153,https://dwr.state.co.us/Tools/DamSafety/Dams/170101,"(38.235006, -103.280565)"
530114,HOLDEN,5,53,ROUTT,S,1.0 N,84.0 W,16,NW,SE,344621.1,4435359.4,GPS,40.054173,-106.821683,"LONE CREEK LAND COMPANY (LAUGHLIN, CHRIS)",CHRIS LAUGHLIN,ENLARGEMENT OF AN EXISTING DAM,02/12/2021,,03/26/2022,APPLEGATE GROUP INC.,PLANS APPROVED (DESIGN PHASE),385,https://dwr.state.co.us/Tools/DamSafety/Dams/530114,"(40.054173, -106.821683)"
020101,BARR LAKE,1,2,ADAMS,S,1.0 S,66.0 W,23,NW,NE,521677.5,4422695,GPS,39.954119,-104.746219,"FARMERS RESERVOIR AND IRRIGATION COMPANY (EDGAR, SCOTT)",SCOTT EDGAR,MODIFICATION OF AN EXISTING DAM,08/01/2022,,,SMR&C,DATE RECEIVED (DESIGN PHASE),42,https://dwr.state.co.us/Tools/DamSafety/Dams/020101,"(39.954119, -104.746219)"
060211,GROSS,1,6,BOULDER,S,1.0 S,71.0 W,21,SW,NW,469342.1,4422084,GPS,39.948336,-105.358902,DENVER BOARD OF WATER COMMISSIONERS,DARREN BRINKER,MODIFICATION OF AN EXISTING DAM,07/12/2005,,11/23/2005,DENVER WATER,PRECON MEETING / CONSTRUCTION STARTED (CONSTRUCTION PHASE),121,https://dwr.state.co.us/Tools/DamSafety/Dams/060211,"(39.948336, -105.358902)"
450130,R-3 BOTTOM POND,5,38,GARFIELD,S,6.0 S,87.0 W,36,SW,SE,322693,4372684,GPS,39.485504,-107.061709,"VAN ORDSTRAND, MARY V",MARY V VAN ORDSTRAND,MODIFICATION OF AN EXISTING DAM,04/01/2010,,04/13/2010,HIGH COUNTRY ENGINEERING,PLANS APPROVED (DESIGN PHASE),12,https://dwr.state.co.us/Tools/DamSafety/Dams/450130,"(39.485504, -107.061709)"
070102,LOWER BEAVER BROOK,1,7,CLEAR CREEK,S,4.0 S,72.0 W,14,NE,NW,464758,4395209,GPS,39.706018,-105.411117,"LOOKOUT MOUNTAIN WATER DISTRICT (SNYDER, DEAN)",DEAN SNYDER,NEW DAM,09/23/2020,,04/09/2021,GEI,"COMPLETION DOCS RECEIVED (REPORT, FIRST FILL, MONITORING, EAP, AS-CONST DRAWINGS) (COMPLETION PHASE)",86,https://dwr.state.co.us/Tools/DamSafety/Dams/070102,"(39.706018, -105.411117)"
100227,PALMER LAKE #2,2,10,EL PASO,S,11.0 S,67.0 W,7,NW,NW,505138.7,4329354.7,GPS,39.113339,-104.940568,TOWN OF PALMER LAKE,STEVE ORCUTT,REPAIR PROJECT FOR AN EXISTING DAM,,,09/11/1989,"GILBERT, MEYER & SAMS",PLANS APPROVED (DESIGN PHASE),0,https://dwr.state.co.us/Tools/DamSafety/Dams/100227,"(39.113339, -104.940568)"
040248,CHIMNEY HOLLOW,1,4,LARIMER,S,5.0 N,70.0 W,33,NE,SE,480030,4467559,GPS,40.358362,-105.235195,,,NEW DAM,03/21/2018,,02/04/2020,MWH/STANTEC,REGULAR CONSTRUCTION INSPECTION (CONSTRUCTION PHASE),189,https://dwr.state.co.us/Tools/DamSafety/Dams/040248,"(40.358362, -105.235195)"
510105,EAST BRANCH,5,51,GRAND,S,2.0 S,78.0 W,25,SW,SW,407410.2,4410928.8,GPS,39.843337,-106.082233,"FREEPORT MCMORAN (HICKMAN, RON)",RON HICKMAN,REPAIR PROJECT FOR AN EXISTING DAM,08/08/2022,,09/08/2022,"W.W. WHEELER AND ASSOCIATES, INC.",PLANS APPROVED (DESIGN PHASE),21,https://dwr.state.co.us/Tools/DamSafety/Dams/510105,"(39.843337, -106.082233)"
030334,WATSON LAKE,1,3,LARIMER,S,8.0 N,69.0 W,30,NW,SW,485715.6,4498181.6,GPS,40.634362,-105.168923,COLORADO PARKS AND WILDLIFE,ERIC EISINGER,REPAIR PROJECT FOR AN EXISTING DAM,01/03/2012,,07/02/2013,COLORADO PARKS AND WILDLIFE,FINAL INSPECTION / PUNCHLIST VERIFICATION (CONSTRUCTION PHASE),363,https://dwr.state.co.us/Tools/DamSafety/Dams/030334,"(40.634362, -105.168923)"
050134,HIGHLAND #2 (SOUTH),1,5,BOULDER,S,3.0 N,69.0 W,5,SW,SE,487663.4,4455230,GPS,40.247435,-105.145065,HIGHLAND DITCH COMPANY (WADE GONZALES),WADE GONZALES,REPAIR PROJECT FOR AN EXISTING DAM,,,04/06/1999,SMITH GEOTECHNICAL ENGINEERING CONSULT.,PLANS APPROVED (DESIGN PHASE),0,https://dwr.state.co.us/Tools/DamSafety/Dams/050134,"(40.247435, -105.145065)"
080408,BURGESS #3,1,8,TELLER,S,12.0 S,69.0 W,19,SE,SE,487681,4315351,Digitized,38.987073,-105.142249,"SPRING VALLEY PROPERTY OWNERS & REC. CORP. (GORDON, SHAUN)",SHAUN GORDON,NEW DAM,03/26/1969,,03/26/1969,,PLANS APPROVED (DESIGN PHASE),0,https://dwr.state.co.us/Tools/DamSafety/Dams/080408,"(38.987073, -105.142249)"
070227,ST. MARYS LAKE,1,7,CLEAR CREEK,S,2.0 S,74.0 W,35,NW,SW,444772,4409379,GPS,39.832625,-105.645438,"COORS BREWING CO. LAND & WATER RESOURCES (SANTANGELO, NEAL)",NEAL SANTANGELO,REPAIR PROJECT FOR AN EXISTING DAM,,,,APPLEGATE GROUP,SCOPING MEETING (DESIGN PHASE),0,https://dwr.state.co.us/Tools/DamSafety/Dams/070227,"(39.832625, -105.645438)"
510127,WILLIAMS FORK,5,51,GRAND,S,1.0 N,79.0 W,23,SE,NW,397144.9,4432338,GPS,40.035006,-106.20557,DENVER BOARD OF WATER COMMISSIONERS,DARREN BRINKER,MODIFICATION OF AN EXISTING DAM,08/22/2007,,09/26/2007,URS CORPORATION,PRECON MEETING / CONSTRUCTION STARTED (CONSTRUCTION PHASE),35,https://dwr.state.co.us/Tools/DamSafety/Dams/510127,"(40.035006, -106.20557)"
700108,DEBEQUE WATER STATION POND 2,5,70,MESA,,,,,,,,,,,,"BLACK HILLS PLATEAU PRODUCTION (HURLBUT, BRETT)",BRETT HURLBUT,NEW DAM,10/06/2014,,05/06/2015,WWC ENGINEERING,PROJECT CANCELLED (DESIGN PHASE),209,https://dwr.state.co.us/Tools/DamSafety/Dams/700108,
470204,MEXICAN CREEK,6,47,JACKSON,S,6.0 N,81.0 W,9,SW,SE,373598.8,4484216.6,GPS,40.499047,-106.491704,"SPICER RANCHES, LTD. (MEYRING, COY)",COY MEYRING,ENLARGEMENT OF AN EXISTING DAM,,,,W. W. WHEELER & ASSOCIATES,PRELIMINARY DESIGN REVIEW MEETING (DESIGN PHASE),0,https://dwr.state.co.us/Tools/DamSafety/Dams/470204,"(40.499047, -106.491704)"
050323,HIGHLAND #2 (NORTH),1,5,BOULDER,S,3.0 N,69.0 W,5,NE,SW,488232.4,4456046,GPS,40.254794,-105.13839,HIGHLAND DITCH COMPANY (WADE GONZALES),WADE GONZALES,MODIFICATION OF AN EXISTING DAM,,,01/16/1909,,PLANS APPROVED (DESIGN PHASE),0,https://dwr.state.co.us/Tools/DamSafety/Dams/050323,"(40.254794, -105.13839)"
190116,NORTH LAKE,2,19,LAS ANIMAS,S,32.0 S,68.0 W,19,SW,NE,496550.6,4121497.6,GPS,37.24001,-105.038896,"CITY OF TRINIDAD (VALENTINE, MIKE)",MIKE VALENTINE,REPAIR PROJECT FOR AN EXISTING DAM,03/19/2018,,08/20/2018,"RJH CONSULTANTS, INC.",FINAL INSPECTION / PUNCHLIST VERIFICATION (CONSTRUCTION PHASE),106,https://dwr.state.co.us/Tools/DamSafety/Dams/190116,"(37.24001, -105.038896)"
120218,VICTOR #2,2,12,TELLER,S,15.0 S,69.0 W,3,NE,SE,491989.4,4292182.4,GPS,38.778335,-105.092238,CITY OF VICTOR,NATHAN HENDERSON,MODIFICATION OF AN EXISTING DAM,03/12/2021,,12/01/2021,JDS-HYDRO CONSULTANTS,PLANS APPROVED (DESIGN PHASE),12,https://dwr.state.co.us/Tools/DamSafety/Dams/120218,"(38.778335, -105.092238)"
430205,BAXTER,6,43,GARFIELD,S,5.0 S,103.0 W,17,SE,SE,158672.2,4393079.2,GPS,39.619444,-108.976123,"CRIPPLE COWBOY COW OUTFIT (HILL, JON)",JON D. HILL,REPAIR PROJECT FOR AN EXISTING DAM,,,,WWC ENGINEERING,PRELIMINARY DESIGN REVIEW MEETING (DESIGN PHASE),0,https://dwr.state.co.us/Tools/DamSafety/Dams/430205,"(39.619444, -108.976123)"
030534,GLADE RESERVOIR,1,3,LARIMER,,,,,,,,,,,,,,NEW DAM,,,,BLACK & VEATCH CORPORATION/AECOM JV,PRELIMINARY DESIGN REVIEW MEETING (DESIGN PHASE),0,https://dwr.state.co.us/Tools/DamSafety/Dams/030534,
100311,WOODMOOR LAKE,2,10,EL PASO,S,11.0 S,67.0 W,14,NW,NE,512057.6,4327697.7,GPS,39.098339,-104.860566,WOODMOOR WATER AND SANITATION DISTRICT NO.1 (JESSIE SHAFFER),JESSIE SHAFFER,REPAIR PROJECT FOR AN EXISTING DAM,,,04/28/2022,AECOM,SUBSTANTIAL COMPLETION INSPECTION (CONSTRUCTION PHASE),9,https://dwr.state.co.us/Tools/DamSafety/Dams/100311,"(39.098339, -104.860566)"
510125,SYLVAN,5,51,GRAND,S,1.0 S,78.0 W,4,SW,SE,404040.6,4426511.8,GPS,39.983338,-106.123897,"SHAW, PAT ",PAT SHAW,NEW DAM,,,09/08/1909,,RESUBMITTED / TAKEN OFF HOLD (DESIGN PHASE),99,https://dwr.state.co.us/Tools/DamSafety/Dams/510125,"(39.983338, -106.123897)"
470210,POLE MOUNTAIN,6,47,JACKSON,S,6.0 N,81.0 W,9,NW,SW,372936.8,4485049.3,Digitized,40.506439,-106.499681,"GONDOLA RESOURCES, LLC",,MODIFICATION OF AN EXISTING DAM,12/19/1985,,12/19/1985,,PLANS APPROVED (DESIGN PHASE),0,https://dwr.state.co.us/Tools/DamSafety/Dams/470210,"(40.506439, -106.499681)"
