Licensee Name,Doing Business As,License Type,Expiration,Street Address,City,State,Zip,Location,Counties
BAEHR LTD,8TH AVE TAVERN,Tavern (city),03/06/2023,509 EAST 8TH AVENUE #8,Durango,CO,81301,"509 EAST 8TH AVENUE #8
Durango, CO 81301
(37.267432, -107.872458)",1011
CST METRO LLC,CIRCLE K #2740633,Fermented Malt Beverage Off (city),05/17/2023,1012 SUMMIT RD,Frisco,CO,80443,"1012 SUMMIT RD
Frisco, CO 80443
(39.590662, -106.095493)",1070
M DEL R C INCORPORATED,LA MARIPOSA LYONS,Hotel & Restaurant (city),10/13/2022,112 E MAIN ST,Lyons,CO,80540,"112 E MAIN ST
Lyons, CO 80540",
RUIKKA INC,LARIAT LODGE BREWING CO,Brew Pub (county),08/13/2023,27618 FIREWEED DRIVE,Evergreen,CO,80439,"27618 FIREWEED DRIVE
Evergreen, CO 80439
(39.639418, -105.31359)",1008
ANJATO ENTERPRISES LLC,HOT SPOT SMOKEHOUSE,Tavern (city),10/16/2022,620 MAIN STREET,Peetz,CO,80747,"620 MAIN STREET
Peetz, CO 80747
(40.962132, -103.112726)",1014
TONY'S TAPS LLC,PAGOSA BREWING CO,Brew Pub (county),05/14/2023,118 N PAGOSA BLVD,Pagosa Springs,CO,811478470,"118 N PAGOSA BLVD
Pagosa Springs, CO 811478470
(37.255539, -107.079498)",1396
BAMB LLC,BARRY'S ON BROADWAY LLC,Tavern (city),04/19/2023,58 N BROADWAY,Denver,CO,802033915,"58 N BROADWAY
Denver, CO 802033915
(39.717729, -104.987506)",1444
JC CELLARS,JEFF COHN CELLARS,Winery Direct Shipper's Permit,03/13/2023,1200 AMERICAN WAY,Windsor,CA,95492,"1200 AMERICAN WAY
Windsor, CA 95492
(38.530073, -122.800042)",1339
KUM & GO LC,KUM & GO #313,Fermented Malt Beverage Off (city),12/17/2022,5480 E 120TH AVE,Thornton,CO,80241,"5480 E 120TH AVE
Thornton, CO 80241
(39.913958, -104.923476)",82
HOUSE OF CHIN INC,HOUSE OF CHIN,Beer & Wine (city),07/01/2023,820 HIGHWAY 92,Delta,CO,81416,"820 HIGHWAY 92
Delta, CO 81416
(38.749755, -108.061162)",1443
HOMETOWN LIQUOR LLC,HOMETOWN LIQUOR,Liquor Store (city),11/03/2022,119 N INTEROCEAN AVE,Holyoke,CO,80734,"119 N INTEROCEAN AVE
Holyoke, CO 80734
(40.586031, -102.302275)",33
"BROOKLYN WINERY, LLC",BROOKLYN WINERY,Winery Direct Shipper's Permit,09/10/2022,213 N 8TH ST,Brooklyn,NY,11211,"213 N 8TH ST
Brooklyn, NY 11211
(40.71716, -73.95515)",2090
357 FOOD & BEVERAGES LLP,357 RELOADED,Hotel & Restaurant (county),09/29/2022,3235 I-70 BUSINESS LOOP SUITE C,Clifton,CO,81520,"3235 I-70 BUSINESS LOOP SUITE C
Clifton, CO 81520
(39.091195, -108.453954)",1015
"DESPARDA WINES, LLC",DESPARADA,Winery Direct Shipper's Permit,06/12/2023,PO Box 5058,Paso Robles,CA,93447,"PO Box 5058
Paso Robles, CA 93447",
COVFEFE LIMITED,DRIP DENVER,Tavern (city),10/16/2022,955 LINCOLN STREET SUITE G,Denver,CO,80203,"955 LINCOLN STREET SUITE G
Denver, CO 80203
(39.731324, -104.986118)",1444
THE PLATINUM CLEAVER LLC,PANTUSO'S RISTORANTE,Hotel & Restaurant (city),11/16/2022,755 HORIZON DRIVE,Grand Junction,CO,81506,"755 HORIZON DRIVE
Grand Junction, CO 81506
(39.11384, -108.53844)",1015
"G&M FAMBIZ, INC",POWDERHORN LIQUOR,Liquor Store (city),11/20/2022,12078 EAST MISSISSIPPI AVENUE,Aurora,CO,80012,"12078 EAST MISSISSIPPI AVENUE
Aurora, CO 80012
(39.696541, -104.847958)",1395
CANVAS AND COCKTAILS INC,CANVAS AND COCKTAILS,Lodging & Entertainment (City),11/17/2022,8405 PARK MEADOWS CENTER DRIVE #1178,Lone Tree,CO,80124,"8405 PARK MEADOWS CENTER DRIVE #1178
Lone Tree, CO 80124
(39.562137, -104.877177)",3133
SODEXO AMERICA LLC,SODEXO,Related Facility Permit (City),10/08/2022,"600 N ADAMS ST, UNIVERSITY CENTER",Gunnison,CO,81230,"600 N ADAMS ST, UNIVERSITY CENTER
Gunnison, CO 81230",
CHIPOTLE MEXICANGRILL INC,CHIPOTLE MEXICAN GRILL,Hotel & Restaurant (city),10/27/2022,3170 SOUTH WADSWORTH BLVD,Lakewood,CO,80227,"3170 SOUTH WADSWORTH BLVD
Lakewood, CO 80227
(39.660123, -105.081379)",1008
MARRIOTT RESORTS HOSPITALITY CORPORATION,MARRIOTT RESORTS HOSPITALITY CORPORATION,Lodging & Entertainment (City),12/18/2022,655 COLUMBINE ROAD,Breckenridge,CO,80424,"655 COLUMBINE ROAD
Breckenridge, CO 80424
(39.475005, -106.046066)",1070
OURAY LIQUORS LLC,OURAY LIQUORS LLC,Liquor Store (city),10/24/2022,611 MAIN STREET,Ouray,CO,81427,"611 MAIN STREET
Ouray, CO 81427
(38.023087, -107.671497)",1061
SUNCOR ENERGY SALES INC,SHELL,Fermented Malt Beverage Off (city),11/19/2022,7970 WADSWORTH BOULEVARD,Arvada,CO,800032110,"7970 WADSWORTH BOULEVARD
Arvada, CO 800032110
(39.840966, -105.081725)",1008
BEST PIZZA LLC,MOD PIZZA,Beer & Wine (city),11/21/2022,160 EAST CHEYENNE ROAD SUITE 100,Colorado Springs,CO,80906,"160 EAST CHEYENNE ROAD SUITE 100
Colorado Springs, CO 80906
(38.806712, -104.822803)",1447
"BANGKOK THAI FOOD II, LLC",BANGKOK THAI FOOD II,Hotel & Restaurant (city),11/04/2022,3333 SOUTH WADSWORTH BLVD #A101,Lakewood,CO,80227,"3333 SOUTH WADSWORTH BLVD #A101
Lakewood, CO 80227
(39.656583, -105.081488)",1008
DJV RESTAURANT CONCEPTS,REVIVAL,Hotel & Restaurant (city),11/04/2022,630 EAST 17TH AVENUE,Denver,CO,80203,"630 EAST 17TH AVENUE
Denver, CO 80203
(39.743274, -104.979023)",1444
ALJP ENTERPRISES LLC,UVA WINE BAR,Hotel & Restaurant (city),10/20/2022,1268 INTERQUEST PKWY SUITE 160,Colorado Springs,CO,80921,"1268 INTERQUEST PKWY SUITE 160
Colorado Springs, CO 80921
(38.990908, -104.802284)",1447
COYOTE'S SOUTHWESTERN GRILL INC,PALOMINO MEXICAN RESTAURANT,Hotel & Restaurant (city),10/19/2022,3390 23RD AVENUE,Evans,CO,806201727,"3390 23RD AVENUE
Evans, CO 806201727
(40.381501, -104.715672)",1072
THE MOUNTAIN FOUNTAIN LLC,THE MOUNTAIN FOUNTAIN,Fermented Malt Beverage Off (county),08/21/2022,11809 NORTH 75TH STREET,Longmont,CO,80503,"11809 NORTH 75TH STREET
Longmont, CO 80503
(40.18907, -105.178127)",85
NEIL JOHNSON,DURANGO DELI TAVERN,Tavern (county),09/30/2022,1000 AIRPORT ROAD ROOM #166,Durango,CO,81303,"1000 AIRPORT ROAD ROOM #166
Durango, CO 81303
(37.159902, -107.750929)",1011
TABLES LLC,TABLES,Takeout & Delivery Permit,11/08/2022,2253 - 2267 KEARNEY ST,Denver,CO,802073921,"2253 - 2267 KEARNEY ST
Denver, CO 802073921
(39.750596, -104.917542)",1444
MAISON DE LA VIE,GOLDEN MOON DISTILLERY,Takeout & Delivery Permit,10/17/2022,1111 MINERS ALLEY,Golden,CO,80401,"1111 MINERS ALLEY
Golden, CO 80401
(39.755859, -105.222589)",1008
FAMILY FOOD TOWN INC,FAMILY FOOD TOWN INC,Fermented Malt Beverage Off (city),11/02/2022,112 W 3RD ST,Palisade,CO,815260000,"112 W 3RD ST
Palisade, CO 815260000
(39.110301, -108.351357)",1015
RLJ II-MH DENVER WHITE LODGING SERVICE,MARRIOTT DENVER SOUTH,Hotel & Restaurant (city),09/13/2022,10345 PARK MEADOWS DRIVE,Lone Tree,CO,80124,"10345 PARK MEADOWS DRIVE
Lone Tree, CO 80124
(39.541982, -104.870978)",3133
BREWERY RICKOLI LTD,RICKOLI'S,Wholesale Beer (malt liquor),10/25/2022,4335 WADSWORTH BLVD,Wheat Ridge,CO,80033,"4335 WADSWORTH BLVD
Wheat Ridge, CO 80033
(39.775853, -105.081517)",1008
INDUSTRIA SV LLC,GOOSETOWN TAVERN,Hotel & Restaurant (city),11/02/2022,3242 E COLFAX AVE,Denver,CO,80206,"3242 E COLFAX AVE
Denver, CO 80206
(39.740147, -104.948518)",1444
"CHIPOTLE MEXICAN GRILL, INC",CHIPOTLE MEXICAN GRILL #3257,Hotel & Restaurant (city),07/24/2022,7303 NORTH FEDERAL BOULEVARD,Westminster,CO,80030,"7303 NORTH FEDERAL BOULEVARD
Westminster, CO 80030
(39.828891, -105.025037)",82
URBAN PALATE LLC,OAK AT 14TH,Hotel & Restaurant (city),12/07/2022,1400 PEARL ST,Boulder,CO,803025307,"1400 PEARL ST
Boulder, CO 803025307
(40.018492, -105.277141)",85
BEYE LOTZ GRAND JCTN VFW POST #1247,VFW POST #1247,Tavern (city),12/31/2022,1404 UTE AVENUE,Grand Junction,CO,815014621,"1404 UTE AVENUE
Grand Junction, CO 815014621
(39.065344, -108.548755)",1015
HANA MATSURI INC,HANA MATSURI SUSHI,Hotel & Restaurant (city),11/11/2022,2821 W 120TH AVE STE 300,Westminster,CO,80234,"2821 W 120TH AVE STE 300
Westminster, CO 80234
(39.91413, -105.021491)",82
ARAMARK ENTERTAINMENT LLC,OGDEN THEATRE,Tavern (city),12/15/2022,935 EAST COLFAX AVENUE,Denver,CO,80218,"935 EAST COLFAX AVENUE
Denver, CO 80218
(39.740016, -104.975281)",1444
BAR SMITH LLC,BAR MAX,Hotel & Restaurant (city),10/28/2022,2412 EAST COLFAX AVENUE,Denver,CO,80206,"2412 EAST COLFAX AVENUE
Denver, CO 80206
(39.740164, -104.958501)",1444
"GOODBIRD KITCHEN SOUTH BROADWAY, LLC",THE POST CHICKEN & BEER,Hotel & Restaurant (city),11/15/2022,2200 SOUTH BROADWAY,Denver,CO,80210,"2200 SOUTH BROADWAY
Denver, CO 80210
(39.676402, -104.9875)",1444
SPANKY'S WINE & LIQUOR LLC,SPANKY'S LIQUOR WORLD,Liquor Store (city),11/20/2022,1415 HWY 50 W,Pueblo,CO,81008,"1415 HWY 50 W
Pueblo, CO 81008
(38.308985, -104.626106)",34
DYER STRAITS WINE COMPANY LLC,DYER STRAITS WINE CO,Winery Direct Shipper's Permit,09/10/2022,335 WEST LANE,Angwin,CA,94508,"335 WEST LANE
Angwin, CA 94508
(38.563947, -122.464778)",1172
AZZAMCO INC,FREEWAY BOWL FUN CENTER,Lodging & Entertainment (City),11/18/2022,1900 MAIN ST,Grand Junction,CO,815018043,"1900 MAIN ST
Grand Junction, CO 815018043
(39.067322, -108.542239)",1015
SONNY'S HOSPITALITY LLC,SONNY'S MEDITERRANEAN,Hotel & Restaurant (city),11/04/2022,2622 WEST 32ND AVENUE UNIT 100,Denver,CO,80211,"2622 WEST 32ND AVENUE UNIT 100
Denver, CO 80211
(39.762032, -105.019624)",1444
LEISERV LLC,BOWLERO HEATHER RIDGE,Hotel & Restaurant (city),12/10/2022,2200 S PEORIA,Aurora,CO,800141147,"2200 S PEORIA
Aurora, CO 800141147
(39.676675, -104.847162)",1395
MANNINGS INC,MANNING'S STEAKS AND SPIRITS,Hotel & Restaurant (city),11/04/2022,11100 WEST ALAMEDA AVENUE,Lakewood,CO,80226,"11100 WEST ALAMEDA AVENUE
Lakewood, CO 80226
(39.710683, -105.122969)",1008
"SPARK GALLERY, INC",SPARK GALLERY,Art Gallery Permit,11/04/2022,900 SANTA FE DR,Denver,CO,80204,"900 SANTA FE DR
Denver, CO 80204
(39.730894, -104.998638)",1444
GMRI  INC,OLIVE GARDEN ITALIAN RESTAURANT THE  #1242,Hotel & Restaurant (city),01/01/2023,5380 SOUTH WADSWORTH BLVD,Lakewood,CO,801232227,"5380 SOUTH WADSWORTH BLVD
Lakewood, CO 801232227
(39.619792, -105.091076)",1008
MAISON DE LA VIE LTD,GOLDEN MOON DISTILLERY,Manufacturer (distillery & rectifier),10/17/2022,1111 MINERS ALLEY,Golden,CO,80401,"1111 MINERS ALLEY
Golden, CO 80401
(39.755859, -105.222589)",1008
DADDY BEAR LLC,R AND R LOUNGE,Tavern (city),12/04/2022,4958 EAST COLFAX AVENUE,Denver,CO,802201208,"4958 EAST COLFAX AVENUE
Denver, CO 802201208
(39.740075, -104.929503)",1444
A& SOLUTIONS LLC,LIQUOR CITY,Liquor Store (city),11/04/2022,1506 NORTH ACADEMY BLVD,Colorado Springs,CO,80909,"1506 NORTH ACADEMY BLVD
Colorado Springs, CO 80909
(38.8547, -104.756469)",1447
A & B LIQUOR LLC,A & B LIQUOR,Liquor Store (city),11/04/2022,804 EAST OLIVE,Lamar,CO,81052,"804 EAST OLIVE
Lamar, CO 81052
(38.088507, -102.609891)",1064
T3 LIQUOR CORP,T3 LIQUORS,Liquor Store (city),11/11/2022,508 WEST BASELINE ROAD,Lafayette,CO,80026,"508 WEST BASELINE ROAD
Lafayette, CO 80026
(40.000225, -105.097006)",85
FKM LLC,B-LIQUORS,Liquor Store (city),11/04/2022,2841 WEST 120TH AVENUE #300,Westminster,CO,80234,"2841 WEST 120TH AVENUE #300
Westminster, CO 80234
(39.914135, -105.021802)",82
RIVA RE HOLDINGS LLC,RESIDENCE INN BRECKENRIDGE,Hotel & Restaurant (city),11/15/2022,600 SOUTH RIDGE STREET,Breckenridge,CO,80424,"600 SOUTH RIDGE STREET
Breckenridge, CO 80424
(39.476216, -106.043629)",1070
MAHOGANY LOG LLC,CROW BAR,Tavern (city),12/21/2022,4395 YATES STREET,Denver,CO,80212,"4395 YATES STREET
Denver, CO 80212
(39.776421, -105.050884)",1444
CONSTELLATION BRANDS US OPERATIONS INC,MISSION BELL WINERY,Winery Direct Shipper's Permit,12/18/2022,12267 ROAD 24,Madera,CA,93637,"12267 ROAD 24
Madera, CA 93637
(36.923343, -120.11045)",1196
"FUNKWERKS, LLC",FUNKWERKS,Manufacturer (brewery),10/31/2022,1900 E LINCOLN AVE UNIT B,Fort Collins,CO,805242750,"1900 E LINCOLN AVE UNIT B
Fort Collins, CO 805242750
(40.582852, -105.042555)",1012
BRUSH ART CENTER LLC,BRUSH ART CENTER,Beer & Wine (city),11/08/2022,117 CLAYTON STREET,Brush,CO,80723,"117 CLAYTON STREET
Brush, CO 80723
(40.254942, -103.62316)",1059
BOWLES CAFE INC,BOWLES CAFE,Hotel & Restaurant (county),11/21/2022,5925 SOUTH ZANG STREET UNIT 16,Littleton,CO,801274643,"5925 SOUTH ZANG STREET UNIT 16
Littleton, CO 801274643
(39.608012, -105.146063)",1008
T S MALONEY INC,OLDE SCHOOLHOUSE CAFE & SALOON,Tavern (county),10/30/2022,46778 HWY 550 N,Durango,CO,81301,"46778 HWY 550 N
Durango, CO 81301
(37.591558, -107.824073)",1011
DESAI BROTHERS LLC,B & B WINE & SPIRITS,Liquor Store (city),12/07/2022,837 CHEYENNE MEADOWS RD,Colorado Springs,CO,809064929,"837 CHEYENNE MEADOWS RD
Colorado Springs, CO 809064929
(38.777808, -104.811877)",1447
CAMBRIDGE TRS INC,SONESTA SUITES COLORADO SPRINGS,Hotel & Restaurant (city),11/05/2022,3880 NORTH ACADEMY BOULEVARD,Colorado Springs,CO,80917,"3880 NORTH ACADEMY BOULEVARD
Colorado Springs, CO 80917
(38.887, -104.757069)",1447
MINERS SALOON LLC,MINERS SALOON,Tavern (city),11/11/2022,1109 MINERS ALLEY,Golden,CO,80401,"1109 MINERS ALLEY
Golden, CO 80401
(39.755873, -105.222602)",1008
J & J LIQUOR LLC,J & J LIQUOR LLC,Liquor Store (city),11/26/2022,111 WEST 15TH STREET,Eads,CO,81036,"111 WEST 15TH STREET
Eads, CO 81036
(38.477948, -102.781903)",29
CALVILLO INC,CALVILLO'S,Hotel & Restaurant (city),10/27/2022,400 MAIN ST,Alamosa,CO,811012618,"400 MAIN ST
Alamosa, CO 811012618
(37.468185, -105.862358)",83
BOTTLE ROCKET WINEWORKS LLC,BOTTLE ROCKET WINEWORKS,Wholesale (vinous & spirituous),09/29/2022,5050 OSAGE STREET SUITE 100,Denver,CO,80221,"5050 OSAGE STREET SUITE 100
Denver, CO 80221
(39.787444, -105.005139)",1444
ROUTT CO YAMPA VALLEY REGIONAL  AIRPORT,THE WAY STATION,Tavern (city),12/10/2022,11005 RCR 51A,Hayden,CO,81639,"11005 RCR 51A
Hayden, CO 81639
(40.481403, -107.202035)",1066
MKP CORPORATION,WEST EVANS LIQUOR,Liquor Store (city),11/12/2022,2020 W EVANS AVE,Englewood,CO,801101020,"2020 W EVANS AVE
Englewood, CO 801101020
(39.678647, -105.011597)",1444
MONTROSE ELKS ASSOCIATION INC,MONTROSE ELKS CLUB,Lodging & Entertainment (City),12/06/2022,801 SOUTH HILLCREST DRIVE,Montrose,CO,81401,"801 SOUTH HILLCREST DRIVE
Montrose, CO 81401
(38.479615, -107.856619)",32
MANTELLI,MANTELLI'S,Tavern (city),12/25/2022,137 W MAIN,Trinidad,CO,810822617,"137 W MAIN
Trinidad, CO 810822617
(37.168355, -104.506004)",1013
BERG HARVEST LLC,BERG HARVEST MERCANTILE,Beer & Wine (city),11/18/2022,73 SAMUEL WADE ROAD,Paonia,CO,81428,"73 SAMUEL WADE ROAD
Paonia, CO 81428
(38.868755, -107.601767)",1443
"QUADY NORTH WINERY, LLC",QUADY NORTH,Winery Direct Shipper's Permit,11/15/2022,42 WEST STEWART AVENUE,Medford,OR,97501,"42 WEST STEWART AVENUE
Medford, OR 97501
(42.312871, -122.862667)",2367
CMCD INDUSTRIES LLC,WILLIAMS TAVERN,Tavern (city),11/22/2022,421-423 EAST 17TH AVENUE,Denver,CO,80203,"421-423 EAST 17TH AVENUE
Denver, CO 80203
(39.743282, -104.981414)",1444
H & F INC,CHINA TOWN,Hotel & Restaurant (city),08/23/2022,2830 HIGHWAY 82,Glenwood Springs,CO,81601,"2830 HIGHWAY 82
Glenwood Springs, CO 81601
(39.52344, -107.321894)",1449
CHIN CHIN INC,CHIN CHIN,Hotel & Restaurant (county),11/20/2022,3210 I-70 B UNIT O,Clifton,CO,81520,"3210 I-70 B UNIT O
Clifton, CO 81520",
SUCCESS FOODS MANAGEMENT GROUP LLC,TORCHY'S TACOS,Hotel & Restaurant (city),10/29/2022,6325 EAST HAMPDEN AVENUE,Denver,CO,80222,"6325 EAST HAMPDEN AVENUE
Denver, CO 80222
(39.653196, -104.915887)",1444
CST METRO LLC,CIRCLE K #2744098,Fermented Malt Beverage Off (city),11/08/2022,4596 SOUTH BROADWAY,Englewood,CO,801135724,"4596 SOUTH BROADWAY
Englewood, CO 801135724
(39.63342, -104.987807)",1395
SUSHI YA CORPORATION,WASABI JAPANESE RESTAURANT,Hotel & Restaurant (city),12/03/2022,311 S MAIN ST UNIT E,Breckenridge,CO,80424,"311 S MAIN ST UNIT E
Breckenridge, CO 80424
(39.478844, -106.045525)",1070
CHISINRICA-RESTOBAR-1 LLC,CHISINRICA-RESTOBAR-1 LLC,Tavern (city),11/18/2022,1643 SOUTH BROADWAY,Denver,CO,80210,"1643 SOUTH BROADWAY
Denver, CO 80210
(39.68675, -104.987614)",1444
TU CASA LLC,FIREBOX SPORTS BAR,Tavern (city),09/11/2022,106 OAK RIDGE DRIVE UNIT 101,Gypsum,CO,81637,"106 OAK RIDGE DRIVE UNIT 101
Gypsum, CO 81637
(39.645638, -106.94735)",1446
GARCIA'S BROTHERS INC,TAQUERIA LOS GORDOS,Hotel & Restaurant (city),08/05/2022,1030-1034 S SABLE BLVD,Aurora,CO,80012,"1030-1034 S SABLE BLVD
Aurora, CO 80012
(39.697913, -104.819239)",1395
SOUTHSIDE BENDERZ LLC,SOUTHSIDE BENDERZ,Hotel & Restaurant (city),03/11/2023,182 AVON ROAD SUITE 208,Avon,CO,81620,"182 AVON ROAD SUITE 208
Avon, CO 81620
(39.633083, -106.522165)",1446
KWOK'S LLC,CANTON CHINESE RESTAURANT,Hotel & Restaurant (county),11/08/2022,5055 SOUTH KIPLING STREET  UNIT C3,Littleton,CO,80127,"5055 SOUTH KIPLING STREET UNIT C3
Littleton, CO 80127
(39.625142, -105.110087)",1008
HIGHGATE HOTELS LP & GRAND PRIX FIXED LESSEE LLC,RESIDENCE INN DENVER DOWNTOWN,Hotel & Restaurant (city),11/22/2022,2777 ZUNI STREET,Denver,CO,80211,"2777 ZUNI STREET
Denver, CO 80211
(39.757479, -105.015845)",1444
MYTHS & LEGENDS INC,QUINCY BAR & GRILL,Tavern (city),11/26/2022,609 MAIN STREET,Grand Junction,CO,815012707,"609 MAIN STREET
Grand Junction, CO 815012707
(39.067354, -108.562396)",1015
1616 CHAMPA LLC,LANE GUEST RANCH,Hotel & Restaurant (county),11/04/2022,11957 HIGHWAY 7,Allenspark,CO,80510,"11957 HIGHWAY 7
Allenspark, CO 80510
(40.231249, -105.53101)",85
NEW FAIRVIEW LNG INC,SATURDAY NIGHT LIVE,Tavern (county),10/27/2022,7950 NORTH FEDERAL BLVD,Westminster,CO,80030,"7950 NORTH FEDERAL BLVD
Westminster, CO 80030
(39.840924, -105.024789)",82
RULE 105 BREWING COMPANY LLC,RULE 105 BREWING CO,Wholesale Beer (malt liquor),11/18/2022,4731 WEST 10TH STREET UNIT G,Greeley,CO,80634,"4731 WEST 10TH STREET UNIT G
Greeley, CO 80634
(40.421574, -104.757326)",1072
AKELOM CORPORATION,CHAMBERS LIQUOR MART AURORA,Liquor Store (city),11/27/2022,15201 EAST COLFAX AVENUE,Aurora,CO,800115724,"15201 EAST COLFAX AVENUE
Aurora, CO 800115724
(39.740148, -104.810789)",1395
SMASHBURGER ACQUISITION DENVER LLC,SMASHBURGER #1753,Beer & Wine (city),11/09/2022,5302 DTC BLVD SUITE 500,Greenwood Village,CO,80111,"5302 DTC BLVD SUITE 500
Greenwood Village, CO 80111
(39.619167, -104.889752)",1395
LAS DELICIAS RESTAURANTS INC,LAS DELICIAS # 2,Hotel & Restaurant (county),10/25/2022,7610 CONIFER ROAD,Denver,CO,802214139,"7610 CONIFER ROAD
Denver, CO 802214139
(39.834893, -104.987467)",82
D O D ENTERPRISES INC,HIGHWAY 3 ROADHOUSE,Hotel & Restaurant (city),11/06/2022,955 HWY 3,DURANGO,CO,813016545,"955 HWY 3
DURANGO, CO 813016545
(37.250233, -107.86995)",1011
1914 HOUSE LLC,1914 HOUSE,Hotel & Restaurant (county),10/20/2022,121 2ND AVENUE,Niwot,CO,80544,"121 2ND AVENUE
Niwot, CO 80544
(40.103372, -105.172543)",85
HAWI INC,LAAU'S TACO SHOP,Hotel & Restaurant (city),10/30/2022,830 NORTH TEJON STE 110,Colorado Springs,CO,809034739,"830 NORTH TEJON STE 110
Colorado Springs, CO 809034739
(38.84623, -104.822881)",1447
WALMART INC.,WALMART STORE #1231,Fermented Malt Beverage Off (city),11/17/2022,9901 GRANT STREET,Thornton,CO,80229,"9901 GRANT STREET
Thornton, CO 80229
(39.876241, -104.983746)",82
STEAMBOAT SPRINGS - MAMBO  LLC,MAMBO ITALIANO,Hotel & Restaurant (city),11/19/2022,521 LINCOLN AVE,Steamboat Springs,CO,80487,"521 LINCOLN AVE
Steamboat Springs, CO 80487
(40.484581, -106.831991)",1066
MB HOSPITALITY (RIBROOM) LP,RESIDENCE INN DENVER BROOMFIELD AND FAIRFIELD INN & SUITES DENVER/BROOMFIELD,Lodging & Entertainment (City),09/28/2022,455 ZANG STREET,Broomfield,CO,80021,"455 ZANG STREET
Broomfield, CO 80021
(39.926327, -105.131837)",86
