"point","permitnum","address","applicant","category","description","proposedusecode","proposedusedescription","permitteddiscretionary","landusedistrict","landusedistrictdescription","concurrent_loc","statuscurrent","applieddate","decisiondate","releasedate","mustcommencedate","canceledrefuseddate","decision","decisionby","sdabnumber","sdabhearingdate","sdabdecision","sdabdecisiondate","communitycode","communityname","ward","quadrant","latitude","longitude","locationcount","locationtypes","locationaddresses","locationsgeojson","locationswkt"
"POINT (-113.95057985596397 51.134911314776296)","DP2022-06450","669 SAVANNA BV NE","TRUMAN HOMES 1995","Mixed Use - Other Areas","REVISION: MULTI-RESIDENTIAL DEVELOPMENT (PHASING CHANGES RELATED TO DP2021-4803)","C2050","MULTI-RESIDENTIAL DEVELOPMENT","Discretionary","M-X1 d100","Multi-Residential - Low Profile Support Commercial",,"Application Received","2022-09-12T00:00:00.000",,,,,,,,,,,"SAD","SADDLE RIDGE","5","NE","51.135","-113.951","1","Titled Parcel","669 SAVANNA BV NE","{""type"":""Point"",""coordinates"":[-113.9505799,51.1349113]}","POINT (-113.95057985596397 51.134911314776296)"
"POINT (-114.15639646980348 51.17654227313881)","DP2022-06449","147 SAGE BANK GV NW",,"Residential - Secondary Suite","NEW: SECONDARY SUITE (SECONDARY SUITE)","C2626","SECONDARY SUITE","Discretionary","R-1N","Residential - Narrow Parcel One Dwelling",,"New","2022-09-12T00:00:00.000",,,,,,,,,,,"SGH","SAGE HILL","2","NW","51.177","-114.156","2","Titled Parcel;Building","147 SAGE BANK GV NW;147 SAGE BANK GV NW","{""type"":""MultiPoint"",""coordinates"":[[-114.1563965,51.1765423],[-114.1562988,51.1765799]]}","MULTIPOINT ((-114.15639646980348 51.17654227313881),(-114.15629884798675 51.176579925919036))"
"POINT (-113.95383378089547 51.12589607443957)","DP2022-06448","704 SADDLECREEK WY NE",,"Relaxation - Existing - Compliance Follow-Up","RELAXATION: SINGLE DETACHED DWELLING (EXISTING) - BUILDING SETBACK FROM SIDE PROPERTY LINE","C2730","SINGLE DETACHED DWELLING","Permitted with a Relaxation","R-1N","Residential - Narrow Parcel One Dwelling",,"Under Review","2022-09-12T00:00:00.000",,,,,,,,,,,"SAD","SADDLE RIDGE","5","NE","51.126","-113.954","1","Titled Parcel","704 SADDLECREEK WY NE","{""type"":""Point"",""coordinates"":[-113.9538338,51.1258961]}","POINT (-113.95383378089547 51.12589607443957)"
"POINT (-113.98889496613411 51.03339251902136)","DP2022-06447","2025 33 ST SE","SHINYU TATTOO","Home Occupation Class 2","TEMPORARY USE: HOME OCCUPATION - CLASS 2 (TATTOO PARLOUR)","C1730","HOME OCCUPATION - CLASS 2","Discretionary","R-C1","Residential - Contextual One Dwelling",,"New","2022-09-12T00:00:00.000",,,,,,,,,,,"SOV","SOUTHVIEW","9","SE","51.033","-113.989","2","Titled Parcel;Building","2025 33 ST SE;2025 33 ST SE","{""type"":""MultiPoint"",""coordinates"":[[-113.988895,51.0333925],[-113.9890052,51.0335327]]}","MULTIPOINT ((-113.98889496613411 51.03339251902136),(-113.98900522625975 51.03353265268759))"
"POINT (-113.94857534476492 51.12705803463652)","DP2022-06446","179 SADDLEBACK RD NE",,"Relaxation - Existing - Compliance Follow-Up","RELAXATION: DECK (EXISTING) - PROJECTION INTO REAR SETBACK","C1455","DECK","Permitted with a Relaxation","R-2","Residential - One/Two Dwelling",,"Under Review","2022-09-12T00:00:00.000",,,,,,,,,,,"SAD","SADDLE RIDGE","5","NE","51.127","-113.949","1","Titled Parcel","179 SADDLEBACK RD NE","{""type"":""Point"",""coordinates"":[-113.9485753,51.127058]}","POINT (-113.94857534476492 51.12705803463652)"
"POINT (-114.0917933484254 51.07064401839166)","DP2022-06445","1336 20 AV NW","AXIOM GEOMATICS","Relaxation - Existing - Compliance Follow-Up","RELAXATION: SINGLE DETACHED DWELLING (EXISTING) - BUILDING SETBACK FROM SIDE PROPERTY LINE, DECK (EXISTING) - HEIGHT","C1455; C2730","DECK; SINGLE DETACHED DWELLING","Permitted with a Relaxation","R-CG","Residential - Grade-Oriented Infill",,"Under Review","2022-09-12T00:00:00.000",,,,,,,,,,,"CAP","CAPITOL HILL","7","NW","51.071","-114.092","2","Titled Parcel;Building","1336 20 AV NW;1336 20 AV NW","{""type"":""MultiPoint"",""coordinates"":[[-114.0917933,51.070644],[-114.0917967,51.0707427]]}","MULTIPOINT ((-114.0917933484254 51.07064401839166),(-114.09179671117036 51.070742650688))"
"POINT (-114.04820209132221 50.98683198307694)","DP2022-06443","7500 6 ST SE","OUTFRONT MEDIA CANADA","Signs - Discretionary Use - Third Party Signs","SIGN - CLASS G: DIGITAL THIRD PARTY SIGN ","C2721","SIGN - CLASS G","Discretionary","I-G","Industrial - General",,"Under Review","2022-09-12T00:00:00.000",,,,,,,,,,,"EFV","EAST FAIRVIEW INDUSTRIAL","11","SE","50.987","-114.048","2","Titled Parcel;Building","7500 6 ST SE;7500 6 ST SE","{""type"":""MultiPoint"",""coordinates"":[[-114.0482021,50.986832],[-114.0480671,50.9868387]]}","MULTIPOINT ((-114.04820209132221 50.98683198307694),(-114.04806714698886 50.98683871811434))"
"POINT (-114.00122042165033 51.07392703702266)","DP2022-06442","2410 24 ST NE","OUTFRONT MEDIA CANADA","Signs - Discretionary Use - Third Party Signs","SIGN - CLASS G: DIGITAL THIRD PARTY ADVERTISING SIGN","C2721","SIGN - CLASS G","Discretionary","I-C","Industrial - Commercial",,"Application Received","2022-09-12T00:00:00.000",,,,,,,,,,,"SUN","SUNRIDGE","10","NE","51.074","-114.001","1","Titled Parcel","2410 24 ST NE","{""type"":""Point"",""coordinates"":[-114.0012204,51.073927]}","POINT (-114.00122042165033 51.07392703702266)"
"POINT (-113.91204435456585 51.16255409925292)","DP2022-06440","12011 84 ST NE","PEN TO SHOVEL PROJECT SERVICES","Change of Use - With Change to Site Plan","CHANGES TO SITE PLAN: VEHICLE STORAGE - RECREATIONAL (PARKING RECONFIGURATION), SIGN - CLASS C (FREESTANDING SIGN - 1)","C2690","SIGN - CLASS C","Discretionary","DC","Direct Control (1P2007)",,"Hold","2022-09-12T00:00:00.000",,,,,,,,,,,"05E","RESIDUAL WARD 5 - SUB AREA 5E","5","NE","51.163","-113.912","1","Titled Parcel","12011 84 ST NE","{""type"":""Point"",""coordinates"":[-113.9120444,51.1625541]}","POINT (-113.91204435456585 51.16255409925292)"
"POINT (-113.9698212080319 51.03247931536207)","DP2022-06439","2420 44 ST SE",,"Relaxation - New - Residential","RELAXATION: OTHER (FRONT DRIVEWAY (FRONT ACCESS)) - LENGTH","C9999","OTHER","Permitted with a Relaxation","R-C1","Residential - Contextual One Dwelling",,"Hold","2022-09-12T00:00:00.000",,,,,,,,,,,"FLN","FOREST LAWN","9","SE","51.032","-113.970","2","Titled Parcel;Building","2420 44 ST SE;2420 44 ST SE","{""type"":""MultiPoint"",""coordinates"":[[-113.9698212,51.0324793],[-113.969682,51.0324798]]}","MULTIPOINT ((-113.9698212080319 51.03247931536207),(-113.96968200367606 51.03247979174846))"
"POINT (-114.12188019262302 51.18255686334954)","DP2022-06438","201 EVANSBOROUGH WY NW",,"Residential - Secondary Suite","NEW: SECONDARY SUITE (SECONDARY SUITE)","C2626","SECONDARY SUITE","Discretionary","R-1N","Residential - Narrow Parcel One Dwelling",,"New","2022-09-12T00:00:00.000",,,,,,,,,,,"EVN","EVANSTON","2","NW","51.183","-114.122","2","Titled Parcel;Building","201 EVANSBOROUGH WY NW;201 EVANSBOROUGH WY NW","{""type"":""MultiPoint"",""coordinates"":[[-114.1218802,51.1825569],[-114.1218678,51.1825076]]}","MULTIPOINT ((-114.12188019262302 51.18255686334954),(-114.12186780508297 51.18250764961756))"
"POINT (-114.0154379499665 50.98384980335485)","DP2022-06437","#3 7740 18 ST SE",,"Signs - Permitted Use","NEW: SIGN - CLASS B (FASCIA SIGNS - 4)","C2680","SIGN - CLASS B","Permitted","C-C1","Commercial - Community 1",,"New","2022-09-12T00:00:00.000",,,,,,,,,,,"OGD","OGDEN","9","SE","50.984","-114.015","24","Titled Parcel;Building;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite","7740 18 ST SE;7740 18 ST SE;#60 7740 18 ST SE;#58 7740 18 ST SE;#56 7740 18 ST SE;#54 7740 18 ST SE;#68 7740 18 ST SE;#24 7740 18 ST SE;#3 7740 18 ST SE;#28 7740 18 ST SE;#21 7740 18 ST SE;#34 7740 18 ST SE;#46 7740 18 ST SE;#36 7740 18 ST SE;#50 7740 18 ST SE;#20 7740 18 ST SE;#40 7740 18 ST SE;#16 7740 18 ST SE;#30 7740 18 ST SE;#10 7740 18 ST SE;#26 7740 18 ST SE;#38 7740 18 ST SE;#42 7740 18 ST SE;#27 7740 18 ST SE","{""type"":""MultiPoint"",""coordinates"":[[-114.0154379,50.9838498],[-114.0141726,50.9840407],[-114.0146407,50.9833696],[-114.014575,50.9833742],[-114.0145101,50.9833742],[-114.0144453,50.9833742],[-114.0141726,50.9840407],[-114.0141849,50.9839239],[-114.0141726,50.9840407],[-114.0141199,50.983787],[-114.0141726,50.9840407],[-114.0142165,50.9836837],[-114.0141206,50.9833907],[-114.0142164,50.9836461],[-114.0143157,50.9833741],[-114.0141726,50.9840407],[-114.0142162,50.9835709],[-114.0142023,50.9840607],[-114.0140776,50.9836634],[-114.0142606,50.9844977],[-114.0141197,50.983856],[-114.0142163,50.9836085],[-114.0141205,50.9835311],[-114.0141726,50.9840407]]}","MULTIPOINT ((-114.0154379499665 50.98384980335485),(-114.01417258086671 50.98404069188749),(-114.014640690297 50.983369597475765),(-114.0145749515094 50.98337423545718),(-114.0145101369727 50.983374207566065),(-114.01444530819427 50.98337417964076),(-114.01417258086671 50.98404069188749),(-114.0141848788787 50.983923930520646),(-114.01417258086671 50.98404069188749),(-114.01411987963859 50.983787032314986),(-114.01417258086671 50.98404069188749),(-114.01421646543993 50.98368366455493),(-114.01412058543633 50.9833906797162),(-114.01421639698741 50.983646060114474),(-114.01431565063486 50.98337411469237),(-114.01417258086671 50.98404069188749),(-114.01421623160446 50.98357086921596),(-114.014202253104 50.98406068165929),(-114.01407757216211 50.98366344527241),(-114.01426055144307 50.98449768800982),(-114.0141197438874 50.983855966327425),(-114.01421631429587 50.983608464665345),(-114.01412049986743 50.98353113679762),(-114.01417258086671 50.98404069188749))"
"POINT (-114.11485390929032 51.061322744828374)","DP2022-06436","2215 JUNIPER RD NW",,"Residential - Additions 10 sq metres and under","ADDITION: SINGLE DETACHED DWELLING (ADDITION)","C2730","SINGLE DETACHED DWELLING","Discretionary","R-C1","Residential - Contextual One Dwelling",,"New","2022-09-12T00:00:00.000",,,,,,,,,,,"WHL","WEST HILLHURST","7","NW","51.061","-114.115","2","Titled Parcel;Building","2215 JUNIPER RD NW;2215 JUNIPER RD NW","{""type"":""MultiPoint"",""coordinates"":[[-114.1148539,51.0613227],[-114.1149573,51.0612738]]}","MULTIPOINT ((-114.11485390929032 51.061322744828374),(-114.11495725741628 51.06127380213717))"
"POINT (-113.95081657207567 51.16235658119655)","DP2022-06435","162B SKYVIEW RANCH BV NE",,"Residential - Secondary Suite","NEW: SECONDARY SUITE (SECONDARY SUITE)","C2626","SECONDARY SUITE","Permitted with a Relaxation","R-2","Residential - One/Two Dwelling",,"New","2022-09-12T00:00:00.000",,,,,,,,,,,"SKR","SKYVIEW RANCH","5","NE","51.162","-113.951","3","Titled Parcel;Building;Building Suite","162 SKYVIEW RANCH BV NE;162 SKYVIEW RANCH BV NE;162B SKYVIEW RANCH BV NE","{""type"":""MultiPoint"",""coordinates"":[[-113.9508166,51.1623566],[-113.9506729,51.1623466],[-113.9507111,51.1623207]]}","MULTIPOINT ((-113.95081657207567 51.16235658119655),(-113.9506728991963 51.16234663219741),(-113.95071107085369 51.16232070443959))"
"POINT (-114.17006754935898 51.179314450338936)","DP2022-06434","#130 750 NOLAN HILL BV NW","AERO SIGN & PRINT","Signs - Permitted Use","NEW: SIGN - CLASS B (FASCIA SIGN)","C2680","SIGN - CLASS B","Permitted","C-N2","Commercial - Neighbourhood 2",,"New","2022-09-12T00:00:00.000",,,,,,,,,,,"NOL","NOLAN HILL","2","NW","51.179","-114.170","3","Titled Parcel;Building;Building Suite","730 NOLAN HILL BV NW;750 NOLAN HILL BV NW;#130 750 NOLAN HILL BV NW","{""type"":""MultiPoint"",""coordinates"":[[-114.1700675,51.1793145],[-114.1695191,51.1797042],[-114.1694505,51.1795778]]}","MULTIPOINT ((-114.17006754935898 51.179314450338936),(-114.16951911953052 51.179704241309864),(-114.16945053446823 51.17957781298656))"
"POINT (-114.1470681937338 51.03740812745449)","DP2022-06433","1907 KELWOOD DR SW",,"Relaxation - Existing - Compliance Follow-Up","RELAXATION: ACCESSORY RESIDENTIAL BUILDING (EXISTING PERGOLA) - SEPARATION FROM MAIN RESIDENTIAL BUILDING, BUILDING SETBACK FROM SIDE PROPERTY LINE","C2730","SINGLE DETACHED DWELLING","Permitted with a Relaxation","R-C1","Residential - Contextual One Dwelling",,"Under Review","2022-09-12T00:00:00.000",,,,,,,,,,,"GDL","GLENDALE","6","SW","51.037","-114.147","2","Titled Parcel;Building","1907 KELWOOD DR SW;1907 KELWOOD DR SW","{""type"":""MultiPoint"",""coordinates"":[[-114.1470682,51.0374081],[-114.1472062,51.0374076]]}","MULTIPOINT ((-114.1470681937338 51.03740812745449),(-114.14720619904206 51.03740761210156))"
"POINT (-114.04998103356183 50.98244780503905)","DP2022-06432","607 79 AV SE","LEADING OUTDOOR","Signs - Discretionary Use - Third Party Signs","TEMPORARY USE: SIGN - CLASS G (DIGITAL THIRD PARTY ADVERTISING SIGN)","C2721","SIGN - CLASS G","Discretionary","I-C","Industrial - Commercial",,"Hold","2022-09-12T00:00:00.000",,,,,,,,,,,"FVI","FAIRVIEW INDUSTRIAL","11","SE","50.982","-114.050","1","Titled Parcel","607 79 AV SE","{""type"":""Point"",""coordinates"":[-114.049981,50.9824478]}","POINT (-114.04998103356183 50.98244780503905)"
"POINT (-114.01476520563988 50.997284020988396)","DP2022-06431","6404 18A ST SE","HEIRLOOM HOMES","Residential - Multi-Family","REVISION: ROWHOUSE BUILDING, SECONDARY SUITE","C2540; C2626","ROWHOUSE BUILDING; SECONDARY SUITE","Discretionary","R-CG","Residential - Grade-Oriented Infill",,"Application Received","2022-09-12T00:00:00.000",,,,,,,,,,,"OGD","OGDEN","9","SE","50.997","-114.015","2","Titled Parcel;Building","6408 18A ST SE;6404 18A ST SE","{""type"":""MultiPoint"",""coordinates"":[[-114.0147652,50.997284],[-114.0146499,50.9974879]]}","MULTIPOINT ((-114.01476520563988 50.997284020988396),(-114.01464994782167 50.99748787036641))"
"POINT (-113.98686168355214 50.88206127081559)","DP2022-06430","41 CRANRIDGE HT SE",,"Residential - Secondary Suite","NEW: SECONDARY SUITE","C2626","SECONDARY SUITE","Discretionary","R-1","Residential - One Dwelling",,"Under Review","2022-09-12T00:00:00.000",,,,,,,,,,,"CRA","CRANSTON","12","SE","50.882","-113.987","2","Titled Parcel;Building","41 CRANRIDGE HT SE;41 CRANRIDGE HT SE","{""type"":""MultiPoint"",""coordinates"":[[-113.9868617,50.8820613],[-113.9867042,50.8821178]]}","MULTIPOINT ((-113.98686168355214 50.88206127081559),(-113.98670418212693 50.88211777301775))"
"POINT (-114.2644943987195 51.08196582144138)","DP2022-06429","53 CRESTRIDGE VW SW",,"Relaxation - Existing - Compliance Follow-Up","RELAXATION: WINDOW WELL (EXISTING) - PROJECTION INTO SIDE SETBACK","B8172","SINGLE-DETACHED DWELLING","Permitted with a Relaxation","DC","DIRECT CONTROL DISTRICT                                 ",,"Under Review","2022-09-12T00:00:00.000",,,,,,,,,,,"CRM","CRESTMONT","1","SW","51.082","-114.264","2","Titled Parcel;Building","53 CRESTRIDGE VW SW;53 CRESTRIDGE VW SW","{""type"":""MultiPoint"",""coordinates"":[[-114.2644944,51.0819658],[-114.2646383,51.0820858]]}","MULTIPOINT ((-114.2644943987195 51.08196582144138),(-114.26463826115655 51.082085831949875))"
"POINT (-113.94092960051975 51.10104392640429)","DP2022-06428","13 FALTON DR NE",,"Residential - Secondary Suite","NEW: SECONDARY SUITE (SECONDARY SUITE (BASEMENT)) - PARKING STALL","C2626","SECONDARY SUITE","Permitted","R-C2","Residential - Contextual One/Two Dwelling",,"Under Review","2022-09-12T00:00:00.000",,,,,,,,,,,"FAL","FALCONRIDGE","5","NE","51.101","-113.941","2","Titled Parcel;Building","13 FALTON DR NE;13 FALTON DR NE","{""type"":""MultiPoint"",""coordinates"":[[-113.9409296,51.1010439],[-113.9411038,51.1010156]]}","MULTIPOINT ((-113.94092960051975 51.10104392640429),(-113.94110384178946 51.10101555307532))"
"POINT (-114.13353574119199 50.9608372442458)","DP2022-06427","628 CEDARILLE WY SW",,"Relaxation - Existing - Compliance Follow-Up","RELAXATION: ACCESSORY RESIDENTIAL BUILDING (EXISTING PERGOLA) - SEPARATION FROM MAIN RESIDENTIAL BUILDING, BUILDING SETBACK FROM SIDE PROPERTY LINE","C2730","SINGLE DETACHED DWELLING","Permitted with a Relaxation","R-C1","Residential - Contextual One Dwelling",,"Under Review","2022-09-12T00:00:00.000",,,,,,,,,,,"CED","CEDARBRAE","11","SW","50.961","-114.134","2","Titled Parcel;Building","628 CEDARILLE WY SW;628 CEDARILLE WY SW","{""type"":""MultiPoint"",""coordinates"":[[-114.1335357,50.9608372],[-114.1335045,50.9609178]]}","MULTIPOINT ((-114.13353574119199 50.9608372442458),(-114.13350451296667 50.96091784713812))"
"POINT (-114.09713574772532 51.04155050165988)","DP2022-06425","1602 13 AV SW",,"Residential - Multi-Family - Minor and Rowhouses","NEW: MULTI-RESIDENTIAL DEVELOPMENT (1 BUILDING)","C2050","MULTI-RESIDENTIAL DEVELOPMENT","Discretionary","M-CG d72","Multi-Residential - Contextual Grade-Oriented  ",,"Hold","2022-09-12T00:00:00.000",,,,,,,,,,,"SNA","SUNALTA","8","SW","51.042","-114.097","2","Titled Parcel;Building","1602 13 AV SW;1602 13 AV SW","{""type"":""MultiPoint"",""coordinates"":[[-114.0971357,51.0415505],[-114.0971458,51.0416526]]}","MULTIPOINT ((-114.09713574772532 51.04155050165988),(-114.09714582884912 51.04165256279555))"
"POINT (-113.93978537715203 51.07870879158746)","DP2022-06424","832 PINECLIFF DR NE","SKIN4LIFE BEAUTY BAR","Home Occupation Class 2","TEMPORARY USE: HOME OCCUPATION - CLASS 2 (COSMETIC SKIN TREATMENT)","C1730","HOME OCCUPATION - CLASS 2","Discretionary","R-C1","Residential - Contextual One Dwelling",,"Under Review","2022-09-11T00:00:00.000",,,,,,,,,,,"PIN","PINERIDGE","10","NE","51.079","-113.940","2","Titled Parcel;Building","832 PINECLIFF DR NE;832 PINECLIFF DR NE","{""type"":""MultiPoint"",""coordinates"":[[-113.9397854,51.0787088],[-113.9399051,51.078713]]}","MULTIPOINT ((-113.93978537715203 51.07870879158746),(-113.93990512028039 51.078712979464065))"
"POINT (-113.9633646096364 51.14382469890205)","DP2022-06423","130 CITYSIDE CM NE",,"Residential - Secondary Suite","NEW: SECONDARY SUITE (BASEMENT)","C2626","SECONDARY SUITE","Discretionary","DC","Direct Control (1P2007)",,"Hold","2022-09-11T00:00:00.000",,,,,,,,,,,"CSC","CITYSCAPE","5","NE","51.144","-113.963","2","Titled Parcel;Building","130 CITYSIDE CM NE;130 CITYSIDE CM NE","{""type"":""MultiPoint"",""coordinates"":[[-113.9633646,51.1438247],[-113.9634923,51.143821]]}","MULTIPOINT ((-113.9633646096364 51.14382469890205),(-113.96349227526912 51.143821035111344))"
"POINT (-114.1082678381013 51.08870102600212)","DP2022-06422","4032 19 ST NW",,"Relaxation - New - Residential","RELAXATION: DRIVEWAY (ACCESS FROM 19 ST)","C9999","OTHER","Discretionary","R-C1","Residential - Contextual One Dwelling",,"Hold","2022-09-11T00:00:00.000",,,,,,,,,,,"COL","COLLINGWOOD","4","NW","51.089","-114.108","2","Titled Parcel;Building","4032 19 ST NW;4032 19 ST NW","{""type"":""MultiPoint"",""coordinates"":[[-114.1082678,51.088701],[-114.1081347,51.088686]]}","MULTIPOINT ((-114.1082678381013 51.08870102600212),(-114.10813465390916 51.088686046613596))"
