"tradename","address","licencetypes","comdistnm","jobstatusdesc","jobcreated","longitude","latitude"
"QUALITY CHINESE MEDICAL CENTRE","#135 1518 CENTRE ST NE","MASSAGE CENTRE (COMMERCIAL)","CRESCENT HEIGHTS","Renewal Licensed","2006-06-26T00:00:00.000","-114.06168285619546","51.06532136801152"
"HE & SHE HAIRCUTTERS","#100 5858 SIGNAL HILL CE SW","PERSONAL SERVICE","SIGNAL HILL","Renewal Licensed","2016-05-25T00:00:00.000","-114.17435666597208","51.01954039808736"
"GLOBAL ANALYZER SYSTEMS","#5 1411 25 AV NE","MANUFACTURER","SOUTH AIRWAYS","Pending Renewal","2011-11-10T00:00:00.000","-114.02306668968771","51.07464123684037"
"DOT FOODS CANADA","#10 225 42 AV SE","FOOD SERVICE - PREMISES","MANCHESTER INDUSTRIAL","Renewal Licensed","2017-12-07T00:00:00.000","-114.05897618883935","51.015274791719"
"SILK ROAD DANCE","#100 10333 SOUTHPORT RD SW","SCHOOL (PROV. NOT REQUIRED)","SOUTHWOOD","Licensed","2022-03-09T00:00:00.000","-114.07282784777239","50.96266155088486"
"CAKEWORKS","#126 3132 26 ST NE","RETAIL DEALER - PREMISES","SUNRIDGE","Renewal Licensed","1997-05-13T00:00:00.000","-113.99734223189556","51.080375240810916"
"CLINIC OF DISTINCTIVE THERAPIES","#306 638 11 AV SW","PERSONAL SERVICE","BELTLINE","Renewal Licensed","2003-03-13T00:00:00.000","-114.07605449144067","51.04301458363954"
"MEGABOX","#920 999 36 ST NE","RETAIL DEALER - PREMISES","FRANKLIN","Renewal Licensed","2015-05-19T00:00:00.000","-113.98468493624357","51.06157247881525"
"MY DONAIR","#25 1200 37 ST SW","FOOD SERVICE - PREMISES (SEATING)","ROSSCARROCK","Licensed","2022-04-11T00:00:00.000","-114.1403658030017","51.04164348306546"
"Q BODY SPA","#102 9705B HORTON RD SW","MASSAGE CENTRE (COMMERCIAL)","HAYSBORO","Renewal Licensed","2018-04-02T00:00:00.000","-114.07538169680258","50.96767698149373"
"SPROG & SPROCKET","4003 23 ST NE","RETAIL DEALER - PREMISES (MAIL ORDER)","NORTH AIRWAYS","Renewal Licensed","2017-04-06T00:00:00.000","-114.00527265927907","51.08849112657367"
"AVENUE MUSIC","4020 16 ST SW","SCHOOL (PROV. NOT REQUIRED)","ALTADORE","Licensed","2022-03-24T00:00:00.000","-114.10016184960543","51.018554392413755"
"MARLBOROUGH VET CLINIC","#186 1440 52 ST NE","RETAIL DEALER - PREMISES","MARLBOROUGH PARK","Renewal Licensed","2008-04-25T00:00:00.000","-113.9557839064309","51.063521522306715"
"ALBERTA SIDING PROJECTS","3411B 10 ST SE","CONTRACTOR (NO PROVINCIAL LICENCE REQUIRED)","HIGHFIELD","Licensed","2022-04-20T00:00:00.000","-114.03870817859074","51.024335046794704"
"VINT HAUS (THE)","#36 12204 40 ST SE","RETAIL DEALER - PREMISES","EAST SHEPARD INDUSTRIAL","Renewal Licensed","2018-07-09T00:00:00.000","-113.97313712771998","50.94055442552655"
"CALGARY CO-OP CANNABIS HAMPTONS","#614 1000 HAMPTONS DR NW","CANNABIS STORE","HAMPTONS","Pending Renewal","2018-04-24T00:00:00.000","-114.13038335981743","51.14267638314904"
"COACH HILL VETERINARY HOSPITAL","6424 OLD BANFF COACH RD SW","RETAIL DEALER - PREMISES","PATTERSON","Renewal Licensed","1995-05-15T00:00:00.000","-114.17991471309614","51.06088156535256"
"EUROPEAN SPA","#103 1905 CENTRE ST NW","BODY RUB CENTRE (GRANDFATHERED MASSAGE CENTRE COMMERCIAL)","TUXEDO PARK","Pending Renewal","2004-07-21T00:00:00.000","-114.06290701387496","51.06916029716016"
"DUCKTOES COMPUTER SERVICES","902 CENTRE ST NE","RETAIL DEALER - PREMISES","CRESCENT HEIGHTS","Renewal Licensed","2011-01-04T00:00:00.000","-114.06219133887411","51.05993998616232"
"EDIBLE ARRANGEMENTS","35 HIGH ST SE","FOOD SERVICE - PREMISES (NO SEATING)","MCKENZIE TOWNE","Renewal Licensed","2018-07-04T00:00:00.000","-113.9607846795601","50.91578352057066"
"CUSTOM METAL CONTRACTING","#49 5342 72 AV SE","CONTRACTOR","GREAT PLAINS","Renewal Licensed","2006-04-13T00:00:00.000","-113.95620508419906","50.990463439182186"
"SPARKLE LAUNDRY MART","#132 5403 CROWCHILD TR NW","RETAIL DEALER - PREMISES","VARSITY","Renewal Licensed","2014-08-27T00:00:00.000","-114.16577486491884","51.103782837572794"
"SIRENA SALON & SPA","#133 8220 CENTRE ST NE","RETAIL DEALER - PREMISES","BEDDINGTON HEIGHTS","Renewal Licensed","2015-01-13T00:00:00.000","-114.06915589226682","51.12640564264216"
"TASTY BOX (CGY-784)","#104 4655 54 AV NE","FULL SERVICE FOOD VEHICLE","WESTWINDS","Renewal Licensed","2021-07-19T00:00:00.000","-113.96787045952247","51.10200651712385"
"OSP MICROCHECK","#6 820 28 ST NE","MANUFACTURER","FRANKLIN","Renewal Licensed","2018-07-18T00:00:00.000","-113.99183765596788","51.059680566807955"
"CLINIC OF DISTINCTIVE THERAPIES","#306 638 11 AV SW","MASSAGE CENTRE (COMMERCIAL)","BELTLINE","Renewal Licensed","2003-03-13T00:00:00.000","-114.07605449144067","51.04301458363954"
"CANADA RUG","#3 2220 32 AV NE","WHOLESALER","NORTH AIRWAYS","Renewal Licensed","2018-07-05T00:00:00.000","-114.00756072354532","51.08219178623009"
"INS MARKET","#1121 3800 MEMORIAL DR NE","RETAIL DEALER - PREMISES","MARLBOROUGH","Renewal Licensed","2018-05-24T00:00:00.000","-113.97913796427554","51.054273591844314"
"PHOENIX CONTACT","#160 110 QUARRY PARK BV SE","WHOLESALER","DOUGLASDALE/GLEN","Renewal Licensed","2012-11-13T00:00:00.000","-114.00659025112118","50.96389226975325"
"DEANE HOUSE","806 9 AV SE","ENTERTAINMENT ESTABLISHMENT","INGLEWOOD","Renewal Licensed","2016-09-08T00:00:00.000","-114.04202426579526","51.043780438781376"
"SUGAR HAIR SALON","#330 9737 MACLEOD TR SW","PERSONAL SERVICE","HAYSBORO","Renewal Licensed","2017-08-23T00:00:00.000","-114.0735243933808","50.96741648862948"
"SWEET DELIGHTS","#150 1623 CENTRE ST NW","FOOD SERVICE - PREMISES","CRESCENT HEIGHTS","Renewal Licensed","1997-05-30T00:00:00.000","-114.06336675695552","51.066722141567126"
"DAILY LIQUOR","7531 MACLEOD TR SW","LIQUOR STORE","KINGSLAND","Renewal Licensed","2001-09-11T00:00:00.000","-114.07240046306131","50.98609179365569"
"SUBWAY GLENMORE LANDING","#102A 1600 90 AV SW","FOOD SERVICE - PREMISES (SEATING)","BAYVIEW","Renewal Licensed","2013-04-04T00:00:00.000","-114.09886164919202","50.97407360155546"
"F45 SYMONS VALLEY","#110 74 SAGE HILL PZ NW","PERSONAL SERVICE (FITNESS CONDITIONING)","SAGE HILL","Renewal Licensed","2019-08-14T00:00:00.000","-114.14529877043171","51.16958734132022"
"MADE BY MARCUS","#121 1013 17 AV SW","FOOD SERVICE - PREMISES (SEATING)","MOUNT ROYAL LOWER","Renewal Licensed","2016-06-20T00:00:00.000","-114.0849841765183","51.03754780181498"
"MAC'S CONVENIENCE STORE #2063","838 68 ST NE","TOBACCO RETAILER","ABBEYDALE","Renewal Licensed","2018-03-23T00:00:00.000","-113.93438031773817","51.05915751726299"
"MUSTARD SEED SOCIETY (THE)","#1B 102 11 AV SE","FOOD SERVICE - PREMISES","BELTLINE","Renewal Licensed","2003-03-27T00:00:00.000","-114.0629814840712","51.042634434231275"
"OSP MICROCHECK","#6 820 28 ST NE","WHOLESALER","FRANKLIN","Renewal Licensed","2018-07-18T00:00:00.000","-113.99183765596788","51.059680566807955"
"QUALITY CHINESE MEDICAL CENTRE","#135 1518 CENTRE ST NE","PERSONAL SERVICE","CRESCENT HEIGHTS","Renewal Licensed","2006-06-26T00:00:00.000","-114.06168285619546","51.06532136801152"
"END OF THE ROLL CALGARY NORTH","1924 32 AV NE","CONTRACTOR (NO PROVINCIAL LICENCE REQUIRED)","NORTH AIRWAYS","Renewal Licensed","2003-05-02T00:00:00.000","-114.01248908292543","51.08188747665142"
"RESTYLE UNISEX SALON AND SPA","#1520 6004 COUNTRY HILLS BV NE","PERSONAL SERVICE","SKYVIEW RANCH","Licensed","2022-07-11T00:00:00.000","-113.9518613073004","51.15535855554479"
"ERDOS STUDIO SALON","#328 508 24 AV SW","PERSONAL SERVICE (INDEPENDENT CHAIR OPERATOR)","CLIFF BUNGALOW","Move in Progress","2017-06-07T00:00:00.000","-114.07174373811769","51.03198361000476"
"FERGUS & BIX RESTAURANT AND BEER MARKET","#2000 873 85 ST SW","FOOD SERVICE - PREMISES (SEATING)","WEST SPRINGS","Renewal Licensed","2008-06-25T00:00:00.000","-114.21204468661374","51.05990267277056"
"PETRO CANADA","#304 1625 210 AV SE","MOTOR VEHICLE REPAIR AND SERVICE (2-PROV N/R)","LEGACY","Licensed","2022-04-19T00:00:00.000","-114.02474853871742","50.86304898953262"
"QUALITY CHINESE MEDICAL CENTRE","#135 1518 CENTRE ST NE","RETAIL DEALER - PREMISES","CRESCENT HEIGHTS","Renewal Licensed","2006-06-26T00:00:00.000","-114.06168285619546","51.06532136801152"
"BETHLEHEM MASSAGE","3511 17 AV SE","MASSAGE CENTRE (COMMERCIAL)","SOUTHVIEW","Renewal Licensed","2016-11-17T00:00:00.000","-113.98365970558484","51.03750949631849"
"SWEET DELIGHTS","#150 1623 CENTRE ST NW","RETAIL DEALER - PREMISES","CRESCENT HEIGHTS","Renewal Licensed","1997-05-30T00:00:00.000","-114.06336675695552","51.066722141567126"
"PACLEASE EKW CALGARY","7777 66 ST SE","MOTOR VEHICLE DEALER - PREMISES","GREAT PLAINS","Renewal Licensed","2018-08-07T00:00:00.000","-113.93923282526501","50.983428373351096"
"Q BODY SPA","#102 9705B HORTON RD SW","RETAIL DEALER - PREMISES","HAYSBORO","Renewal Licensed","2018-04-02T00:00:00.000","-114.07538169680258","50.96767698149373"
"END OF THE ROLL CALGARY NORTH","1924 32 AV NE","RETAIL DEALER - PREMISES","NORTH AIRWAYS","Renewal Licensed","2003-05-02T00:00:00.000","-114.01248908292543","51.08188747665142"
"BRINDLEBERRY ACRES","#1110 47 LEGACY VW SE","PHOTOGRAPHER","LEGACY","Renewal Licensed","2019-08-30T00:00:00.000","-114.00960232792676","50.862350842200904"
"CHRISTINE KLASSEN GALLERY","#200 321 50 AV SE","RETAIL DEALER - PREMISES","MANCHESTER INDUSTRIAL","Renewal Licensed","2014-06-18T00:00:00.000","-114.05863567520096","51.0083354064606"
"CAREWELL PHARMACY","#104 580 ACADIA DR SE","FOOD SERVICE - PREMISES","ACADIA","Renewal Licensed","2017-06-06T00:00:00.000","-114.04793605088301","50.964538384801145"
"HOT WATER POOLS & SPAS","#8 603 77 AV SE","CLEANING SERVICE (COMMERCIAL & RESIDENTIAL)","FAIRVIEW INDUSTRIAL","Renewal Licensed","2017-08-21T00:00:00.000","-114.0511996542138","50.983911549659915"
"BOSTON PIZZA","#100 5255 RICHMOND RD SW","FOOD SERVICE - PREMISES (SEATING)","GLAMORGAN","Renewal Licensed","2008-07-28T00:00:00.000","-114.16244605895314","51.01727092162761"
"RUNWAY HAIR DESIGN COMPANY","2925 RICHMOND RD SW","PERSONAL SERVICE","RICHMOND","Renewal Licensed","2019-08-20T00:00:00.000","-114.12897523984776","51.025557646707085"
"OSTEOPATHIC WELLNESS CENTER","#212 2120 KENSINGTON RD NW","MASSAGE CENTRE (COMMERCIAL)","WEST HILLHURST","Renewal Licensed","2003-08-01T00:00:00.000","-114.10913972895702","51.052858197854015"
"RADIO BLOCK TATTOO","#100 1215 1 ST SW","PERSONAL SERVICE (TATTOO)","BELTLINE","Renewal Licensed","2018-06-23T00:00:00.000","-114.06610695854407","51.040770411875855"
"FERGUS & BIX RESTAURANT AND BEER MARKET","#2000 873 85 ST SW","OUTDOOR PATIO","WEST SPRINGS","Renewal Licensed","2008-06-25T00:00:00.000","-114.21204468661374","51.05990267277056"
"MAC'S CONVENIENCE STORE #2063","838 68 ST NE","RETAIL DEALER - PREMISES","ABBEYDALE","Renewal Licensed","2018-03-23T00:00:00.000","-113.93438031773817","51.05915751726299"
"STUDIO DAYNE","#205 8855 MACLEOD TR SW","PERSONAL SERVICE (INDEPENDENT CHAIR OPERATOR)","HAYSBORO","Licensed","2022-04-11T00:00:00.000","-114.07288271615975","50.97463743825049"
"APEX LIMITED PARTNERSHIP","#300 1710 14 AV NW","CONTRACTOR","HOUNSFIELD HEIGHTS/BRIAR HILL","Renewal Licensed","2003-10-01T00:00:00.000","-114.10052923194014","51.06544480429998"
"KP TECHNOLOGIES","#2 3521 78 AV SE","ALARM AGENCY","FOOTHILLS","Licensed","2022-02-02T00:00:00.000","-113.9846226172844","50.98192138518755"
"INDIAN DESI TADKA","#307 7 WESTWINDS CR NE","FOOD SERVICE - PREMISES (SEATING)","WESTWINDS","Licensed","2022-04-25T00:00:00.000","-113.97017116904425","51.106511314493616"
"KOODO","#340K 751 3 ST SW","RETAIL DEALER - PREMISES","DOWNTOWN COMMERCIAL CORE","Renewal Licensed","2019-05-22T00:00:00.000","-114.07073134261232","51.04619216564327"
"FIFTH AVENUE PHYSIOTHERAPY*","#250 400 4 AV SW","MASSAGE CENTRE (COMMERCIAL)","DOWNTOWN COMMERCIAL CORE","Pending Renewal","2004-06-15T00:00:00.000","-114.07083813279402","51.05004642041015"
"INDIAN DESI TADKA","#307 7 WESTWINDS CR NE","ALCOHOL BEVERAGE SALES (RESTAURANT)","WESTWINDS","Licensed","2022-04-25T00:00:00.000","-113.97017116904425","51.106511314493616"
"SIRENA SALON & SPA","#133 8220 CENTRE ST NE","PERSONAL SERVICE","BEDDINGTON HEIGHTS","Renewal Licensed","2015-01-13T00:00:00.000","-114.06915589226682","51.12640564264216"
"33 ACRES BREWING CALGARY","#120 224 12 AV SW","ALCOHOL BEVERAGE MANUFACTURER","BELTLINE","Licensed","2022-04-06T00:00:00.000","-114.06739554032833","51.042186692586014"
"TAS ESTHETICS","#300 1918 KENSINGTON RD NW","PERSONAL SERVICE (INDEPENDENT CHAIR OPERATOR)","WEST HILLHURST","Licensed","2022-07-28T00:00:00.000","-114.10444245579468","51.052757911976784"
"CANA ENERGY SERVICES","#100 5720 4 ST SE","CONTRACTOR (NO PROVINCIAL LICENCE REQUIRED)","MANCHESTER INDUSTRIAL","Licensed","2022-04-11T00:00:00.000","-114.05274154801043","51.00287574681926"
"CAKEWORKS","#126 3132 26 ST NE","FOOD SERVICE - PREMISES","SUNRIDGE","Renewal Licensed","1997-05-13T00:00:00.000","-113.99734223189556","51.080375240810916"
"33 ACRES BREWING CALGARY","#120 224 12 AV SW","ALCOHOL BEVERAGE SALES (RESTAURANT)","BELTLINE","Licensed","2022-04-06T00:00:00.000","-114.06739554032833","51.042186692586014"
"LESS STRESS FOR BODY, MIND & SOUL","#220 19 ROYAL VISTA LI NW","MASSAGE CENTRE (COMMERCIAL)","ROYAL VISTA","Renewal Licensed","2019-06-25T00:00:00.000","-114.20491322618157","51.15101734436053"
"SURE-FIT MECHANICAL","#143 3953 112 AV SE","CONTRACTOR (NO PROVINCIAL LICENCE REQUIRED)","EAST SHEPARD INDUSTRIAL","Renewal Licensed","2019-07-18T00:00:00.000","-113.98031332458466","50.951493112676616"
"RESTYLE UNISEX SALON AND SPA","#1520 6004 COUNTRY HILLS BV NE","MASSAGE CENTRE (COMMERCIAL)","SKYVIEW RANCH","Licensed","2022-07-11T00:00:00.000","-113.9518613073004","51.15535855554479"
"EDIBLE ARRANGEMENTS","35 HIGH ST SE","RETAIL DEALER - PREMISES","MCKENZIE TOWNE","Renewal Licensed","2018-07-04T00:00:00.000","-113.9607846795601","50.91578352057066"
"CHONG FAT RESTAURANT","#28 132 3 AV SE","ALCOHOL BEVERAGE SALES (DRINKING ESTABLISHMENT)","CHINATOWN","Renewal Licensed","1996-06-25T00:00:00.000","-114.06083271433397","51.05060133722302"
"COUNTRY LIVING FURNISHINGS","#A 3919 RICHMOND RD SW","RETAIL DEALER - PREMISES","GLAMORGAN","Renewal Licensed","2018-07-11T00:00:00.000","-114.14329142495761","51.02063188874048"
"DAILY KING CONVENIENCE STORE","840 5 AV SW","FOOD SERVICE - PREMISES","DOWNTOWN COMMERCIAL CORE","Renewal Licensed","2007-05-22T00:00:00.000","-114.0805077624049","51.049167221616536"
"MEDICINE SHOPPE PHARMACY","#3105 230 EVERSYDE BV SW","RETAIL DEALER - PREMISES","EVERGREEN","Renewal Licensed","2011-05-20T00:00:00.000","-114.11007503133288","50.908706865114176"
"RUNWAY HAIR DESIGN COMPANY","2925 RICHMOND RD SW","RETAIL DEALER - PREMISES","RICHMOND","Renewal Licensed","2019-08-20T00:00:00.000","-114.12897523984776","51.025557646707085"
"MONDIAL GRANITE AND MARBLE","#12 11133 40 ST SE","WHOLESALER","EAST SHEPARD INDUSTRIAL","Renewal Licensed","2008-06-19T00:00:00.000","-113.97798666256426","50.95490236806441"
"INDEPENDENT ARTISTS*","736 10 AV SW","EXOTIC ENTERTAINMENT AGENCY","BELTLINE","Renewal Licensed","2019-09-23T00:00:00.000","-114.07847172870613","51.044057152603436"
"OGDEN WHISTLE PUB (THE)","7025 OGDEN RD SE","ALCOHOL BEVERAGE SALES (DRINKING EST/RESTAURANT)","OGDEN","Pending Renewal","2011-09-30T00:00:00.000","-114.0006424850347","50.98911306854421"
"HOT WATER POOLS & SPAS","#8 603 77 AV SE","CONTRACTOR (NO PROVINCIAL LICENCE REQUIRED)","FAIRVIEW INDUSTRIAL","Renewal Licensed","2017-08-21T00:00:00.000","-114.0511996542138","50.983911549659915"
"BILL'S PEKING HOUSE","#335 16061 MACLEOD TR SE","ALCOHOL BEVERAGE SALES (RESTAURANT)","SHAWNESSY","Licensed","2022-04-21T00:00:00.000","-114.06482938180793","50.90707599552851"
"LA PREP","511 10 AV SW","FOOD SERVICE - PREMISES (SEATING)","BELTLINE","Renewal Licensed","2015-05-12T00:00:00.000","-114.07222161228495","51.04341416351365"
"A TOUCH OF WOOD CONSTRUCTION","#1 1255 45 AV NE","CONTRACTOR","MCCALL","Renewal Licensed","2014-08-19T00:00:00.000","-114.0339525464758","51.09312148430423"
"BOSTON PIZZA","#100 5255 RICHMOND RD SW","OUTDOOR PATIO","GLAMORGAN","Renewal Licensed","2008-07-28T00:00:00.000","-114.16244605895314","51.01727092162761"
"QUEEN PEOPLES PHARMACY","#32 4604 37 ST SW","RETAIL DEALER - PREMISES","RUTLAND PARK","Pending Renewal","2020-06-08T00:00:00.000","-114.13993430532918","51.013032956985114"
"BURGER KING #10889","11 CROWFOOT TC NW","FOOD SERVICE - PREMISES (SEATING)","ARBOUR LAKE","Renewal Licensed","2008-06-17T00:00:00.000","-114.19863379607658","51.12654980349782"
"DATACO UTILITIES","#1 5918 5 ST SE","CONTRACTOR (NO PROVINCIAL LICENCE REQUIRED)","MANCHESTER INDUSTRIAL","Renewal Licensed","2016-03-30T00:00:00.000","-114.05070638607077","50.99990199457383"
"CALGARY GOLDMART","1506A 14 ST SW","SECONDHAND DEALER","BELTLINE","Renewal Licensed","2012-04-25T00:00:00.000","-114.09429797377389","51.03913963721831"
"LA POSH BEAUTY SUPPLY","#100 222 58 AV SW","PERSONAL SERVICE","MANCHESTER","Licensed","2022-01-07T00:00:00.000","-114.06760303224794","51.001657661713516"
"MODULEX CANADA","#112 2719 7 AV NE","CONTRACTOR (NO PROVINCIAL LICENCE REQUIRED)","MERIDIAN","Licensed","2022-04-20T00:00:00.000","-113.99515464841903","51.05830375238263"
"PHO HOANG VIETNAMESE RESTAURANT","1113 FALCONRIDGE DR NE","FOOD SERVICE - PREMISES (SEATING)","FALCONRIDGE","Renewal Licensed","2014-06-03T00:00:00.000","-113.95569239318202","51.09831394935962"
"K TOWN FRIED CHICKEN","919B CENTRE ST NW","ALCOHOL BEVERAGE SALES (RESTAURANT)","CRESCENT HEIGHTS","Renewal Licensed","2019-06-19T00:00:00.000","-114.0630493265265","51.0603294731979"
"FOREST LAWN PHARMACY","#105 4909 17 AV SE","RETAIL DEALER - PREMISES","FOREST LAWN INDUSTRIAL","Renewal Licensed","2014-05-16T00:00:00.000","-113.96348770005719","51.03653675760129"
"FUEL FOR GOLD","#298D 402 COLLEGIATE BV NW","CHARITABLE ORGANIZATION","UNIVERSITY HEIGHTS","Renewal Licensed","2011-07-06T00:00:00.000","-114.13171442136425","51.07820916619586"
"MIDRISE SHELL","3 MILLRISE BV SW","FUEL SALES/STORAGE","MILLRISE","Renewal Licensed","2019-06-13T00:00:00.000","-114.07590062818737","50.92045401857851"
"HIGH END WHOLESALE VEHICLES","#8 8305 BOWNESS RD NW","MOTOR VEHICLE DEALER - PREMISES","BOWNESS","Renewal Licensed","2011-08-15T00:00:00.000","-114.20614584592947","51.08898905834593"
"HIDDEN CORNER","#B 100 3 AV SE","FOOD SERVICE - PREMISES (SEATING)","CHINATOWN","Licensed","2022-04-18T00:00:00.000","-114.06242023651868","51.050452439439496"
"BREWER'S APPRENTICE (THE)","448 8 AV SE","ALCOHOL BEVERAGE SALES (DRINKING EST/RESTAURANT)","DOWNTOWN EAST VILLAGE","Renewal Licensed","2017-05-18T00:00:00.000","-114.05366419725722","51.045561035134725"
"SUNRISE RESTAURANT","#O 4710 17 AV SE","ALCOHOL BEVERAGE SALES (RESTAURANT)","FOREST LAWN","Renewal Licensed","1997-06-20T00:00:00.000","-113.9661083797894","51.03886811117853"
"MANDEEZ XCLUSIF","#1247 3800 MEMORIAL DR NE","RETAIL DEALER - PREMISES","MARLBOROUGH","Renewal Licensed","2006-06-28T00:00:00.000","-113.97885746700611","51.05569284700412"
"WORKSHOP STUDIOS","#3 2501 ALYTH RD SE","MANUFACTURER","ALYTH/BONNYBROOK","Renewal Licensed","2018-06-07T00:00:00.000","-114.02472530281712","51.031335922124576"
"PACLEASE EKW CALGARY","7777 66 ST SE","MOTOR VEHICLE REPAIR AND SERVICE (1)","GREAT PLAINS","Renewal Licensed","2018-08-07T00:00:00.000","-113.93923282526501","50.983428373351096"
"BIG T'S BBQ & SMOKEHOUSE","2138 CROWCHILD TR NW","ALCOHOL BEVERAGE SALES (RESTAURANT)","BANFF TRAIL","Renewal Licensed","2008-05-13T00:00:00.000","-114.11680095064297","51.07034700008022"
"DEANE HOUSE","806 9 AV SE","FOOD SERVICE - PREMISES (SEATING)","INGLEWOOD","Renewal Licensed","2016-09-08T00:00:00.000","-114.04202426579526","51.043780438781376"
"MIDRISE SHELL","3 MILLRISE BV SW","RETAIL DEALER - PREMISES","MILLRISE","Renewal Licensed","2019-06-13T00:00:00.000","-114.07590062818737","50.92045401857851"
"ISO BLANKET","#43 4511 GLENMORE TR SE","MANUFACTURER","SOUTH FOOTHILLS","Renewal Licensed","2014-07-16T00:00:00.000","-113.96866359412506","50.978802318369425"
"BILL'S PEKING HOUSE","#335 16061 MACLEOD TR SE","FOOD SERVICE - PREMISES (SEATING)","SHAWNESSY","Licensed","2022-04-21T00:00:00.000","-114.06482938180793","50.90707599552851"
"BIG T'S BBQ & SMOKEHOUSE","2138 CROWCHILD TR NW","OUTDOOR PATIO","BANFF TRAIL","Renewal Licensed","2008-05-13T00:00:00.000","-114.11680095064297","51.07034700008022"
"EL FURNITURE WAREHOUSE","107 8 AV SW","ALCOHOL BEVERAGE SALES (RESTAURANT)","DOWNTOWN COMMERCIAL CORE","Renewal Licensed","2018-02-08T00:00:00.000","-114.06351612418689","51.04528671016977"
"ALTADIGITAL COMPUTER SERVICES","#5 3916 64 AV SE","ALARM AGENCY","FOOTHILLS","Renewal Licensed","2016-05-09T00:00:00.000","-113.97747991364983","50.99701768320162"
"BRITCAN DART SUPPLIES","#101 1803 60 ST SE","RETAIL DEALER - PREMISES","FOREST LAWN INDUSTRIAL","Renewal Licensed","2017-07-04T00:00:00.000","-113.94806366529745","51.03756459807127"
"HULA POKE","#215 520 3 AV SW","FOOD SERVICE - PREMISES (NO SEATING)","EAU CLAIRE","Renewal Licensed","2019-08-22T00:00:00.000","-114.07211311580654","51.05085990312888"
"HOT WATER POOLS & SPAS","#8 603 77 AV SE","RETAIL DEALER - PREMISES","FAIRVIEW INDUSTRIAL","Renewal Licensed","2017-08-21T00:00:00.000","-114.0511996542138","50.983911549659915"
