"name","board","email","address","city","province","postal_cod","phone_no","fax_no","grades","postsecond","data_source","elem","junior_h","senior_h","the_geom"
"Father Scollen School","The Calgary Roman Catholic Separate School Division","fatherscollen@cssd.ab.ca","6839 TEMPLE DR NE","Calgary","AB","T1Y5N4","(403) 500-2088",,"Elementary/Junior High","N","N","Y","Y","Y","POINT (-113.9419616 51.0930203)"
"North Haven School","The Calgary School Division","northhaven@cbe.ab.ca","4922 NORTH HAVEN DR NW","Calgary","AB","T2K2K2","(403) 777-6220",,"Elementary","N","N","Y","N","N","POINT (-114.0866128 51.0975091)"
"Bow Valley College",,"info@bowvalleycollege.ca","332 6 AV SE","Calgary","AB","T2G4S6","(403)410-1400",,,"Y","Y",,,,"POINT (-114.0561994 51.0476951)"
"Glamorgan Community Kindergarten Society","Glamorgan Community Kindergarten Society","GCKindergarten1959@gmail.com","4715 45 ST SW","Calgary","AB","T3E3W5","(403) 249-5275",,"ECS","N","N","N","N","N","POINT (-114.1532222 51.0121123)"
"St. Rupert School","The Calgary Roman Catholic Separate School Division","strupert@cssd.ab.ca","111 RUNDLEHILL DR NE","Calgary","AB","T1Y2W9","(403) 500-2044",,"Elementary","N","N","Y","N","N","POINT (-113.9705283 51.0768976)"
"Fairview School","The Calgary School Division","fairview@cbe.ab.ca","7840 FAIRMOUNT DR SE","Calgary","AB","T2H0Y1","(403) 777-7900",,"Elementary/Junior High","N","N","Y","Y","Y","POINT (-114.05945 50.9839856)"
"St. Thomas More School","The Calgary Roman Catholic Separate School Division","stthomasmore@cssd.ab.ca","6110 TEMPLE DR NE","Calgary","AB","T1Y5V4","(403) 500-2081",,"Elementary","N","N","Y","N","N","POINT (-113.9455354 51.085415)"
"Ranchlands School","The Calgary School Division","ranchlands@cbe.ab.ca","610 RANCHLANDS BV NW","Calgary","AB","T3G2C5","(403) 777-6350",,"Elementary","N","N","Y","N","N","POINT (-114.1792097 51.1187048)"
"Canadian Montessori School","The Canadian Montessori School Ltd.","admin@calgarymontessorischool.com","1112 70 AV SW","Calgary","AB","T2V0P6","(403) 862-8551",,"Elementary","N","N","Y","N","N","POINT (-114.0882622 50.9907447)"
"Ecole de la Rose Sauvage","The Southern Francophone Education Region",,"2512 4 ST NW","Calgary","AB","T2M2Z9","(403) 230-3112",,"Junior High/Senior High","N","N","N","Y","Y","POINT (-114.0703034 51.0748446)"
"Catherine Nichols Gunn School","The Calgary School Division","cngunn@cbe.ab.ca","6625 4 ST NE","Calgary","AB","T2K5C7","(403) 777-6620",,"Elementary","N","N","Y","N","N","POINT (-114.057895 51.1116437)"
"Mountain Park School","The Calgary School Division","mountainpark@cbe.ab.ca","312 MT DOUGLAS CL SE","Calgary","AB","T2Z4Y1","(403) 777-6442",,"Elementary/Junior High","N","N","Y","Y","Y","POINT (-113.9818799 50.9237983)"
"Citadel Park School","The Calgary School Division","citadel@cbe.ab.ca","808 CITADEL DR NW","Calgary","AB","T3G4B8","(403) 777-8063",,"Elementary","N","N","Y","N","N","POINT (-114.1742345 51.1454511)"
"SAIT - Mayland Heights Campus",,,"1940 CENTRE AV NE","Calgary","AB","T2E0A7","(403)210-4150",,,"Y","Y",,,,"POINT (-114.0094141 51.0530023)"
"St. Angela Elementary","The Calgary Roman Catholic Separate School Division","stangela@cssd.ab.ca","231 6 ST NE","Calgary","AB","T2E3Y1","(403) 500-2011",,"Elementary","N","N","Y","N","N","POINT (-114.0488198 51.0544219)"
"South Middle School Campus","Foundations for the Future Charter Academy Charter School Society",,"8710 ANCOURT RD SE","Calgary","AB","T2H1V2","(403) 259-3175",,"Elementary/Junior High","N","N","Y","Y","Y","POINT (-114.053305 50.9752902)"
"Woodlands School","The Calgary School Division","woodlands@cbe.ab.ca","88 WOODGREEN DR SW","Calgary","AB","T2W4W9","(403) 777-8640",,"Elementary","N","N","Y","N","N","POINT (-114.1069696 50.9389352)"
"St. Elizabeth Seton","The Calgary Roman Catholic Separate School Division","stelizabethseton@cssd.ab.ca","10845 HIDDEN VALLEY DR NW","Calgary","AB","T3A6K3","(403) 500-2105",,"Elementary/Junior High","N","N","Y","Y","Y","POINT (-114.1104364 51.1511018)"
"St. Cecilia (Bilingual) Elementary School","The Calgary Roman Catholic Separate School Division","stcecilia@cssd.ab.ca","610 AGATE CR SE","Calgary","AB","T2J0Z3","(403) 500-2040",,"Elementary","N","N","Y","N","N","POINT (-114.0504111 50.9652961)"
"Janus Academy","Janus Academy Society","contact@janusacademy.org","2223 SPILLER RD SE","Calgary","AB","T2G4G9","(403) 262-3333",,"Elementary/Junior High","N","N","Y","Y","Y","POINT (-114.0457894 51.0331886)"
"Terrace Road School","The Calgary School Division","terraceroad@cbe.ab.ca","2103 46 ST NW","Calgary","AB","T3B1B3","(403) 777-6080",,"Elementary","N","N","Y","N","N","POINT (-114.1579317 51.0745019)"
"Henry Wise Wood High School","The Calgary School Division","henrywisewood@cbe.ab.ca","910 75 AV SW","Calgary","AB","T2V0S6","(403) 253-2261",,"Senior High","N","N","N","N","N","POINT (-114.0846844 50.9863406)"
"Mount Royal University - Holy Cross Campus",,"externalrelations@mtroyal.ca","2210 2 ST SW","Calgary","AB","T2S3C3","(403)503-4886",,,"Y","Y",,,,"POINT (-114.0670812 51.0324335)"
"St. Andrew School","The Calgary Roman Catholic Separate School Division","standrew@cssd.ab.ca","4331 41 AV SW","Calgary","AB","T3E1G2","(403) 500-2031",,"Elementary","N","N","Y","N","N","POINT (-114.1477242 51.0163628)"
"St. Catherine Elementary School","The Calgary Roman Catholic Separate School Division","stcatherine@cssd.ab.ca","11 CANATA CL SW","Calgary","AB","T2W1P6","(403) 500-2061",,"Elementary","N","N","Y","N","N","POINT (-114.0864888 50.9438465)"
"V.I.K. Academy Midnapore","V.I.K. Society of Alberta","julie@vikacademy.com","15422 BANNISTER RD SE","Calgary","AB","T2X2X7","(403) 351-5960",,"ECS","N","N","N","N","N","POINT (-114.0658121 50.9150362)"
"University School","The Calgary School Division","university@cbe.ab.ca","3015 UTAH DR NW","Calgary","AB","T2N3Z9","(403) 777-6240",,"Elementary","N","N","Y","N","N","POINT (-114.1332756 51.0698082)"
"Access Academy","Access International College (Calgary) Incorporated","info@accessacademy.ca","2451 DIEPPE AV SW","Calgary","AB","T3E7K1","(403) 455-3033",,"Senior High","N","N","N","N","N","POINT (-114.1190388 51.0192866)"
"Guardian Angel School","The Calgary Roman Catholic Separate School Division","guardianangel@cssd.ab.ca","20 ASPEN HILLS DR SW","Calgary","AB","T3H0G5","(403) 500-2111",,"Elementary","N","N","Y","N","N","POINT (-114.2164654 51.0406287)"
"McKenzie Highlands School","The Calgary School Division","mckenziehighlands@cbe.ab.ca","25 MCKENZIE TOWNE DR SE","Calgary","AB","T2Z4B7","(403) 817-3544",,"Elementary/Junior High","N","N","Y","Y","Y","POINT (-113.9700732 50.9109937)"
"William Aberhart High School","The Calgary School Division","williamaberhart@cbe.ab.ca","3009 MORLEY TR NW","Calgary","AB","T2M4G9","(403) 289-2551",,"Senior High","N","N","N","N","N","POINT (-114.1153375 51.0786695)"
"Hidden Valley School","The Calgary School Division",,"10959 HIDDEN VALLEY DR NW","Calgary","AB","T3A6J2","(403) 777-7236",,"Elementary","N","N","Y","N","N","POINT (-114.11959 51.1502538)"
"Mother Mary Greene School","The Calgary Roman Catholic Separate School Division","mothermarygreene@cssd.ab.ca","115 EDENWOLD DR NW","Calgary","AB","T3A3S8","(403) 500-2095",,"Elementary","N","N","Y","N","N","POINT (-114.1392446 51.1243068)"
"Brentwood School","The Calgary School Division","brentwood@cbe.ab.ca","1231 NORTHMOUNT DR NW","Calgary","AB","T2L0C9","(403) 777-6130",,"Elementary","N","N","Y","N","N","POINT (-114.123858 51.0904895)"
"W.H.Cushing Workplace School","The Calgary School Division","whcushing@cbe.ab.ca","622 1 ST SW","Calgary","AB","T2P1M6","(403) 777-8900",,"Unknown","N","N","N","N","N","POINT (-114.0649132 51.046824)"
"St. Helena School","The Calgary Roman Catholic Separate School Division","sthelena@cssd.ab.ca","320 64 AV NW","Calgary","AB","T2K0L8","(403) 500-2049",,"Junior High","N","N","N","Y","Y","POINT (-114.0677619 51.1115067)"
"Pacekids Programs South","Pacekids Society for Kids with Special Needs","info@pacekids.ca","5211 MACLEOD TR SW","Calgary","AB","T2H0J3","(403) 234-7876",,"ECS","N","N","N","N","N","POINT (-114.0690521 51.0080697)"
"Sunalta School","The Calgary School Division","sunalta@cbe.ab.ca","536 SONORA AV SW","Calgary","AB","T3C2J9","(403) 777-8590",,"Elementary","N","N","Y","N","N","POINT (-114.1108977 51.0413434)"
"Alternative High School","The Calgary School Division","alternative@cbe.ab.ca","5003 20 ST SW","Calgary","AB","T2T5A5","(403) 777-7730",,"Senior High","N","N","N","N","N","POINT (-114.10996 51.0096595)"
"Crescent Heights High School","The Calgary School Division","crescentheights@cbe.ab.ca","1019 1 ST NW","Calgary","AB","T2M2S2","(403) 276-5521",,"Senior High","N","N","N","N","N","POINT (-114.0660914 51.0614898)"
"St. Clare","The Calgary Roman Catholic Separate School Division","stclare@cssd.ab.ca","12455 COVENTRY HILLS WY NE","Calgary","AB","T3K5Z4","(403) 500-2102",,"Elementary","N","N","Y","N","N","POINT (-114.0453956 51.1647425)"
"Yufeng Chinese School","Yufeng Chinese School Centre","yufengchineseschool@telus.net","169 CITADEL RIDGE CL NW","Calgary","AB","T3G4V5","(403) 681-8617",,"Elementary/Junior High/Senior High","N","N","Y","Y","Y","POINT (-114.1834692 51.1460943)"
"Providence Children's Centre - Beddington","Providence Child Development Society","general@providencechildren.com","183 BEDFORD DR NE","Calgary","AB","T3K2N9","(403) 255-5577",,"ECS","N","N","N","N","N","POINT (-114.0559922 51.1262176)"
"Royal Oak School","The Calgary School Division","royaloak@cbe.ab.ca","9100 ROYAL BIRCH BV NW","Calgary","AB","T3G5R8",,,"Elementary","N","N","Y","N","N","POINT (-114.2220693 51.1455728)"
"St. Henry Elementary School","The Calgary Roman Catholic Separate School Division","sthenry@cssd.ab.ca","7423 10 ST NW","Calgary","AB","T2K1H5","(403) 500-2059",,"Elementary","N","N","Y","N","N","POINT (-114.0801778 51.1175975)"
"Providence Children's Centre - Midnapore","Providence Child Development Society","general@providencechildren.com","14707 BANNISTER RD SE","Calgary","AB","T2X1Z2","(403) 255-5577",,"ECS","N","N","N","N","N","POINT (-114.0697392 50.9209202)"
"The Holy House of Our Lady and St. John","The Gilbertine Institute of Catholic Studies","holyhousecalgary@gmail.com","1423 8 AV SE","Calgary","AB","T2G0N1","(403) 265-5072",,"Unknown","N","N","N","N","N","POINT (-114.0292505 51.0400236)"
"Sam Livingston School","The Calgary School Division","samlivingston@cbe.ab.ca","12011 BONAVENTURE DR SE","Calgary","AB","T2J3G7","(403) 777-6890",,"Elementary","N","N","Y","N","N","POINT (-114.0612703 50.9454482)"
"Nickle School","The Calgary School Division","nickle@cbe.ab.ca","2500 LAKE BONAVISTA DR SE","Calgary","AB","T2J2Y6","(403) 777-7720",,"Elementary/Junior High","N","N","Y","Y","Y","POINT (-114.0614348 50.9407367)"
"Master's Academy","The Palliser School Division",,"4414 CROWCHILD TR SW","Calgary","AB","T2T5J4","(403) 242-7034",,"Elementary","N","N","Y","N","N","POINT (-114.1165459 51.0153024)"
"Montessori Children's House Academy Ltd #1","Montessori Children's House Charity Foundation of Calgary",,"2411 4 ST NW","Calgary","AB","T2M2Z8","(403) 220-1122",,"ECS","N","N","N","N","N","POINT (-114.0727571 51.0736721)"
"New Heights School and Learning Services","New Heights School and Learning Services Society","info@newheightscalgary.com","4041 BRESKENS DR SW","Calgary","AB","T3E7M1","(403) 240-1312",,"Elementary/Junior High/Senior High","N","N","Y","Y","Y","POINT (-114.1221707 51.0184736)"
"Battalion Park School","The Calgary School Division","battalionpark@cbe.ab.ca","369 SIENNA PARK DR SW","Calgary","AB","T3H4S2","(403) 777-7187",,"Elementary","N","N","Y","N","N","POINT (-114.181901 51.0235669)"
"Fish Creek School","The Calgary School Division","fishcreek@cbe.ab.ca","1039 SUNCASTLE DR SE","Calgary","AB","T2X2Z1","(403) 777-6400",,"Elementary","N","N","Y","N","N","POINT (-114.0328114 50.9015051)"
"Stanley Jones School","The Calgary School Division","Stanleyjones@cbe.ab.ca","950 6 ST NE","Calgary","AB","T2E8M3","(403) 777-6800",,"Elementary/Junior High","N","N","Y","Y","Y","POINT (-114.0477073 51.0599054)"
"St. Anthony","The Calgary Roman Catholic Separate School Division","stanthony@cssd.ab.ca","4811 6 ST SW","Calgary","AB","T2S2N5","(403) 500-2013",,"Elementary/Junior High/Senior High","N","N","Y","Y","Y","POINT (-114.0792951 51.0101077)"
"Elboya School","The Calgary School Division","elboya@cbe.ab.ca","4804 6 ST SW","Calgary","AB","T2S2N3","(403) 777-7760",,"Elementary/Junior High","N","N","Y","Y","Y","POINT (-114.0782137 51.0108834)"
"Western Canada High School","The Calgary School Division","westerncanada@cbe.ab.ca","641 17 AV SW","Calgary","AB","T2S0B5","(403) 228-5363",,"Senior High","N","N","N","N","N","POINT (-114.0775476 51.0369948)"
"Italian School of Calgary","Centro Linguistico E Culturale Italiano Calgary","clcic@shaw.ca","416 1 AV NE","Calgary","AB","T2E0B4","(403) 264-6349",,"Junior High/Senior High","N","N","N","Y","Y","POINT (-114.0531472 51.0537463)"
"St. Alphonsus Elementary Junior High School","The Calgary Roman Catholic Separate School Division","stalphonsus@cssd.ab.ca","928 RADNOR AV NE","Calgary","AB","T2E5H5","(403) 500-2016",,"Elementary/Junior High","N","N","Y","Y","Y","POINT (-114.041415 51.0647336)"
"Connect Charter School","Connect Charter School Society","office@connectcharter.ca","5915 LEWIS DR SW","Calgary","AB","T3E5Z4","(403) 282-2890",,"Elementary/Junior High","N","N","Y","Y","Y","POINT (-114.1357584 51.0003735)"
"Calgary Waldorf School","Calgary Waldorf School Society","schooladministrator@calgarywaldorf.org","515 COUGAR RIDGE DR SW","Calgary","AB","T3H5G9","(403) 287-1868",,"Elementary/Junior High","N","N","Y","Y","Y","POINT (-114.2183262 51.0723494)"
"Westbrook Outreach","The Calgary School Division","discoveringchoices@cbe.ab.ca","1002 37 ST SW","Calgary","AB","T3C1S1","(403) 777-8020",,"Senior High","N","N","N","N","N","POINT (-114.1403068 51.044288)"
"Bishop McNally High School","The Calgary Roman Catholic Separate School Division","bishopmcnally@cssd.ab.ca","5700 FALCONRIDGE BV NE","Calgary","AB","T3J3N4","(403) 500-2091",,"Senior High","N","N","N","N","N","POINT (-113.9537059 51.1030304)"
"Valley Creek School","The Calgary School Division","valleycreek@cbe.ab.ca","10951 HIDDEN VALLEY DR NW","Calgary","AB","T3A6J2","(403) 777-7995",,"Elementary/Junior High","N","N","Y","Y","Y","POINT (-114.1166729 51.1502338)"
"Lester B. Pearson High School","The Calgary School Division","lesterbpearson@cbe.ab.ca","3020 52 ST NE","Calgary","AB","T1Y5P4","(403) 280-6565",,"Senior High","N","N","N","N","N","POINT (-113.9563976 51.0769499)"
"Canyon Meadows School","The Calgary School Division","canyonmeadows@cbe.ab.ca","395 CANTERBURY DR SW","Calgary","AB","T2W1J1","(403) 777-8600",,"Elementary","N","N","Y","N","N","POINT (-114.0780912 50.9474104)"
"Dr. Gladys McKelvie Egbert","The Calgary School Division","drgladysmegbert@cbe.ab.ca","6033 MADIGAN DR NE","Calgary","AB","T2A5G9","(403) 777-7780",,"Elementary/Junior High","N","N","Y","Y","Y","POINT (-113.9415291 51.0588922)"
"St. Patrick School","The Calgary Roman Catholic Separate School Division","stpatrick@cssd.ab.ca","6006 RUNDLEHORN DR NE","Calgary","AB","T1Y2X1","(403) 500-2076",,"Elementary","N","N","Y","N","N","POINT (-113.9467028 51.07199)"
"MAC Islamic School - Calgary Chapter","Muslim Association of Canada","info@macislamicschool.ca","6415 RANCHVIEW DR NW","Calgary","AB","T3G1B5","(403) 454-7879",,"Elementary","N","N","Y","N","N","POINT (-114.1799322 51.1148369)"
"Chinook Park School","The Calgary School Division","chinookpark@cbe.ab.ca","1312 75 AV SW","Calgary","AB","T2V0S6","(403) 777-8480",,"Elementary","N","N","Y","N","N","POINT (-114.0893703 50.9864478)"
"Step By Step Early Intervention Program","Step By Step Early Intervention Society","info@stepbystepeip.ca","5855 9 ST SE","Calgary","AB","T2H1Z9","(587) 893-7429",,"ECS","N","N","N","N","N","POINT (-114.0414759 51.0030325)"
"Dr. Oakley School","The Calgary School Division","droakley@cbe.ab.ca","3904 20 ST SW","Calgary","AB","T2T4Z9","(403) 777-8300",,"Elementary/Junior High/Senior High","N","N","Y","Y","Y","POINT (-114.1084354 51.0192722)"
"Early Discoveries Childhood Services","Early Discoveries Childhood Services Ltd.","edcs@earlydiscoveries.ca","4625 VARSITY DR NW","Calgary","AB","T3A0Z9","(403) 239-3444",,"ECS","N","N","N","N","N","POINT (-114.1534494 51.0922311)"
"Panorama Hills School","The Calgary School Division","panoramahills@cbe.ab.ca","1057 PANORAMA HILLS DR NW","Calgary","AB","T3K0S4","(403) 777-6061",,"Elementary","N","N","Y","N","N","POINT (-114.0859214 51.155814)"
"St. Margaret School","The Calgary Roman Catholic Separate School Division","saint.margaret@cssd.ab.ca","3320 CAROL DR NW","Calgary","AB","T2L0K7","(403) 500-2025",,"Elementary/Junior High","N","N","Y","Y","Y","POINT (-114.0976374 51.0821353)"
"North Point School for Boys","North Point School for Boys","info@northpoint.school","2445 23 AV SW","Calgary","AB","T2T0W3","(403) 744-5214",,"Unknown","N","N","N","N","N","POINT (-114.1174839 51.0325564)"
"Senator Patrick Burns School","The Calgary School Division","senatorpatrickburns@cbe.ab.ca","2155 CHILCOTIN RD NW","Calgary","AB","T2L0X2","(403) 777-7400",,"Elementary/Junior High","N","N","Y","Y","Y","POINT (-114.1155367 51.0882111)"
"Acadia School","The Calgary School Division",,"9603 5 ST SE","Calgary","AB","T2J1K4","(403) 777-8440",,"Elementary","N","N","Y","N","N","POINT (-114.0539269 50.9676106)"
"John Costello Catholic School","The Calgary Roman Catholic Separate School Division","Johncostello@cssd.ab.ca","300 STRATHCONA DR SW","Calgary","AB","T3H1N9","(403) 500-2003",,"Elementary","N","N","Y","N","N","POINT (-114.1807075 51.0488326)"
"Manmeet Singh Bhullar School","The Calgary School Division","manmeetsinghbhullar@cbe.ab.ca","1027 MARTINDALE BV NE","Calgary","AB","T3J4Z1","(403) 817-3568",,"Elementary","N","N","Y","N","N","POINT (-113.9594225 51.1233068)"
"St. Mary's High School","The Calgary Roman Catholic Separate School Division","stmarys@cssd.ab.ca","111 18 AV SW","Calgary","AB","T2S0B8","(403) 500-2024",,"Senior High","N","N","N","N","N","POINT (-114.0640176 51.0366143)"
"Riverside School","The Calgary School Division","langevin@cbe.ab.ca","107 6A ST NE","Calgary","AB","T2E0B7","(403) 777-7350",,"Elementary/Junior High","N","N","Y","Y","Y","POINT (-114.0477096 51.0528507)"
"Woodbine School","The Calgary School Division","woodbine@cbe.ab.ca","27 WOODFIELD WY SW","Calgary","AB","T2W5E1","(403) 777-8630",,"Elementary","N","N","Y","N","N","POINT (-114.1289426 50.9365329)"
"Rundle College Senior High School","Rundle College Society","contactus@rundle.ab.ca","7375 17 AV SW","Calgary","AB","T3H3W5","(403) 250-7180",,"Senior High","N","N","N","N","N","POINT (-114.1939221 51.0368941)"
"Alberta Ballet School","The Alberta Ballet Company","schoolreception@albertaballet.com","906 12 AV SW","Calgary","AB","T2R1K7","(403) 245-2274",,"Junior High/Senior High","N","N","N","Y","Y","POINT (-114.082058 51.042251)"
"Sir John A Macdonald School","The Calgary School Division","sirjohnamacdonald@cbe.ab.ca","6600 4 ST NW","Calgary","AB","T2K1C2","(403) 777-7670",,"Junior High","N","N","N","Y","Y","POINT (-114.0700457 51.111477)"
"Maria Montessori School - cSPACE King Edward Location","Maria Montessori Education Centre of Calgary, Ltd.","info@mmec.ca","1721 29 AV SW","Calgary","AB","T2T6T7","(403) 668-8538",,"Unknown","N","N","N","N","N","POINT (-114.1008834 51.0272699)"
"John G Diefenbaker High School","The Calgary School Division","johngdiefenbaker@cbe.ab.ca","6620 4 ST NW","Calgary","AB","T2K1C2","(403) 274-2240",,"Senior High","N","N","N","N","N","POINT (-114.0701312 51.1127974)"
"Nelson Mandela High School","The Calgary School Division","nelsonmandelahigh@cbe.ab.ca","45 SADDLETOWNE CI NE","Calgary","AB","T3J4W3","(403) 817-3500",,"Senior High","N","N","N","N","N","POINT (-113.9488457 51.1219806)"
"Calgary Christian School","The Palliser School Division","mike.thiesen@pallisersd.ab.ca","2839 49 ST SW","Calgary","AB","T3E3X9","(403) 242-2896",,"Elementary","N","N","Y","N","N","POINT (-114.1589506 51.0274677)"
"Eric Harvie School","The Calgary School Division","ericharvie@cbe.ab.ca","357 TUSCANY DR NW","Calgary","AB","T3L3C9","(403) 817-3532",,"Elementary","N","N","Y","N","N","POINT (-114.2511111 51.1280419)"
"St. Luke Bilingual Elementary School","The Calgary Roman Catholic Separate School Division","stluke@cssd.ab.ca","1232 NORTHMOUNT DR NW","Calgary","AB","T2L0E1","(403) 500-2039",,"Elementary","N","N","Y","N","N","POINT (-114.1226868 51.0908267)"
"Queen Elizabeth School","The Calgary School Division","queenelizabethelem@cbe.ab.ca","402 18 ST NW","Calgary","AB","T2N2G5","(403) 777-6789",,"Elementary","N","N","Y","N","N","POINT (-114.1019611 51.0554584)"
"Our Lady of Grace School","The Calgary Roman Catholic Separate School Division","ourladyofgrace@cssd.ab.ca","736 EVANSTON DR NW","Calgary","AB","T3P0N7","(403) 500-2124",,"Elementary/Junior High","N","N","Y","Y","Y","POINT (-114.1204866 51.1793394)"
"Sir John Franklin School","The Calgary School Division","sirjohnfranklin@cbe.ab.ca","2215 8 AV NE","Calgary","AB","T2E0T7","(403) 777-7610",,"Elementary/Junior High","N","N","Y","Y","Y","POINT (-114.0079231 51.0596772)"
"Horizon Leadership Academy","The Palliser School Division",,"2452 BATTLEFORD AV SW","Calgary","AB","T3E7K9","(403) 607-0817",,"Elementary/Junior High","N","N","Y","Y","Y","POINT (-114.1190467 51.0176444)"
"Thomas B Riley School","The Calgary School Division","thomasbriley@cbe.ab.ca","3915 69 ST NW","Calgary","AB","T3B2J9","(403) 777-7260",,"Elementary/Junior High","N","N","Y","Y","Y","POINT (-114.1890516 51.0875292)"
"Evergreen School","The Calgary School Division",,"367 EVERSTONE DR SW","Calgary","AB","T2Y0L3",,,"Elementary","N","N","Y","N","N","POINT (-114.1065198 50.9169239)"
"Prince of Peace School","The Calgary Roman Catholic Separate School Division","princeofpeace@cssd.ab.ca","43 AUBURN MEADOWS BV SE","Calgary","AB","T3M2C9","(403) 500-2125",,"Elementary/Junior High","N","N","Y","Y","Y","POINT (-113.9498421 50.8932639)"
"Providence Children's Centre - Falconridge","Providence Child Development Society","general@providencechildren.com","116 FALSBY WY NE","Calgary","AB","T3J1C4","(403) 255-5577",,"ECS","N","N","N","N","N","POINT (-113.9575475 51.100254)"
"St. Jerome Elementary School","The Calgary Roman Catholic Separate School Division","stjerome@cssd.ab.ca","11616 PANORAMA HILLS BV NW","Calgary","AB","T3K5S3","(403) 500-2115",,"Elementary","N","N","Y","N","N","POINT (-114.0792827 51.1577112)"
"Menno Simons Christian School","The Palliser School Division","office@mennosimons.ab.ca","7000 ELKTON DR SW","Calgary","AB","T3H4Y7","(403) 531-0745",,"Elementary/Junior High","N","N","Y","Y","Y","POINT (-114.188501 51.0242003)"
"Northeast Elementary Campus","Foundations for the Future Charter Academy Charter School Society","susan.oseen@ffca-calgary.com","1140 MAYLAND DR NE","Calgary","AB","T2E6C8",,,"Elementary","N","N","Y","N","N","POINT (-114.0112907 51.0641943)"
"Haysboro Catholic High School","The Calgary Roman Catholic Separate School Division","bishopgrandin@cssd.ab.ca","111 HADDON RD SW","Calgary","AB","T2V2Y2","(403) 500-2047",,"Senior High","N","N","N","N","N","POINT (-114.078741 50.9754378)"
"Niitsitapi Learning Centre","The Calgary School Division","niitsitapilearningcentre@cbe.ab.ca","3743 DOVER RIDGE DR SE","Calgary","AB","T2B2E1","(403) 817-3404",,"Elementary","N","N","Y","N","N","POINT (-113.9793371 51.0205887)"
"Monsignor A. J. Hetherington Elementary School","The Calgary Roman Catholic Separate School Division","msgrhetherington@cssd.ab.ca","4 CORAL SPRINGS BV NE","Calgary","AB","T3J3J3","(403) 500-2036",,"Elementary","N","N","Y","N","N","POINT (-113.9340476 51.0995523)"
"Mount Royal University - City Centre Campus",,"externalrelations@mtroyal.ca","833 4 AV SW","Calgary","AB","T2P3T5","(403)440-5531",,,"Y","Y",,,,"POINT (-114.0803108 51.0495528)"
"Sibylla Kiddle School","The Calgary School Division","SibyllaKiddle@cbe.ab.ca",,"Calgary","AB",,"(403) 817-3432",,"Unknown","N","N","N","N","N","POINT (-113.9708023 50.8778625)"
"Trinity Christian School","The Palliser School Division",,"295 MIDPARK WY SE","Calgary","AB","T2X2A8","(403) 254-6682",,"Elementary/Junior High","N","N","Y","Y","Y","POINT (-114.0622404 50.9093282)"
"Varsity Acres School","The Calgary School Division","varsityacres@cbe.ab.ca","4255 40 ST NW","Calgary","AB","T3A0H7","(403) 777-6090",,"Elementary","N","N","Y","N","N","POINT (-114.1482182 51.0910144)"
"School of East Indian Languages and Performing Arts","School of East Indian Languages and Performing Arts of Calgary","office@silpa.ca","376 SILVERADO BV SW","Calgary","AB","T2X0N9","(403) 280-5110",,"Unknown","N","N","N","N","N","POINT (-114.0875454 50.8837415)"
