"ref_date","geo","dguid","components_of_population","sex","age_group","uom","value"
"2016/2017","All census metropolitan areas and census agglomerations, Canada",,"Net temporary emigration","Both sexes","All ages","Persons","25228"
"2017/2018","All census metropolitan areas and census agglomerations, Canada",,"Net temporary emigration","Both sexes","All ages","Persons","25510"
"2018/2019","All census metropolitan areas and census agglomerations, Canada",,"Net temporary emigration","Both sexes","All ages","Persons","25887"
"2019/2020","All census metropolitan areas and census agglomerations, Canada",,"Net temporary emigration","Both sexes","All ages","Persons","14561"
"2020/2021","All census metropolitan areas and census agglomerations, Canada",,"Net temporary emigration","Both sexes","All ages","Persons","5085"
"2001/2002","All census metropolitan areas and census agglomerations, Canada",,"Net interprovincial migration","Both sexes","All ages","Persons","5550"
"2002/2003","All census metropolitan areas and census agglomerations, Canada",,"Net interprovincial migration","Both sexes","All ages","Persons","2643"
"2003/2004","All census metropolitan areas and census agglomerations, Canada",,"Net interprovincial migration","Both sexes","All ages","Persons","2028"
"2004/2005","All census metropolitan areas and census agglomerations, Canada",,"Net interprovincial migration","Both sexes","All ages","Persons","3854"
"2005/2006","All census metropolitan areas and census agglomerations, Canada",,"Net interprovincial migration","Both sexes","All ages","Persons","5113"
"2006/2007","All census metropolitan areas and census agglomerations, Canada",,"Net interprovincial migration","Both sexes","All ages","Persons","2784"
"2007/2008","All census metropolitan areas and census agglomerations, Canada",,"Net interprovincial migration","Both sexes","All ages","Persons","206"
"2008/2009","All census metropolitan areas and census agglomerations, Canada",,"Net interprovincial migration","Both sexes","All ages","Persons","403"
"2009/2010","All census metropolitan areas and census agglomerations, Canada",,"Net interprovincial migration","Both sexes","All ages","Persons","418"
"2010/2011","All census metropolitan areas and census agglomerations, Canada",,"Net interprovincial migration","Both sexes","All ages","Persons","1450"
"2011/2012","All census metropolitan areas and census agglomerations, Canada",,"Net interprovincial migration","Both sexes","All ages","Persons","1844"
"2012/2013","All census metropolitan areas and census agglomerations, Canada",,"Net interprovincial migration","Both sexes","All ages","Persons","1318"
"2013/2014","All census metropolitan areas and census agglomerations, Canada",,"Net interprovincial migration","Both sexes","All ages","Persons","1938"
"2014/2015","All census metropolitan areas and census agglomerations, Canada",,"Net interprovincial migration","Both sexes","All ages","Persons","2121"
"2015/2016","All census metropolitan areas and census agglomerations, Canada",,"Net interprovincial migration","Both sexes","All ages","Persons","-271"
"2016/2017","All census metropolitan areas and census agglomerations, Canada",,"Net interprovincial migration","Both sexes","All ages","Persons","-374"
"2017/2018","All census metropolitan areas and census agglomerations, Canada",,"Net interprovincial migration","Both sexes","All ages","Persons","-391"
"2018/2019","All census metropolitan areas and census agglomerations, Canada",,"Net interprovincial migration","Both sexes","All ages","Persons","-1153"
"2019/2020","All census metropolitan areas and census agglomerations, Canada",,"Net interprovincial migration","Both sexes","All ages","Persons","-1550"
"2020/2021","All census metropolitan areas and census agglomerations, Canada",,"Net interprovincial migration","Both sexes","All ages","Persons","-4086"
"2001/2002","All census metropolitan areas and census agglomerations, Canada",,"Net intraprovincial migration","Both sexes","All ages","Persons","5236"
"2002/2003","All census metropolitan areas and census agglomerations, Canada",,"Net intraprovincial migration","Both sexes","All ages","Persons","1456"
"2003/2004","All census metropolitan areas and census agglomerations, Canada",,"Net intraprovincial migration","Both sexes","All ages","Persons","-1152"
"2004/2005","All census metropolitan areas and census agglomerations, Canada",,"Net intraprovincial migration","Both sexes","All ages","Persons","-898"
"2005/2006","All census metropolitan areas and census agglomerations, Canada",,"Net intraprovincial migration","Both sexes","All ages","Persons","355"
"2006/2007","All census metropolitan areas and census agglomerations, Canada",,"Net intraprovincial migration","Both sexes","All ages","Persons","250"
"2007/2008","All census metropolitan areas and census agglomerations, Canada",,"Net intraprovincial migration","Both sexes","All ages","Persons","1558"
"2008/2009","All census metropolitan areas and census agglomerations, Canada",,"Net intraprovincial migration","Both sexes","All ages","Persons","6560"
"2009/2010","All census metropolitan areas and census agglomerations, Canada",,"Net intraprovincial migration","Both sexes","All ages","Persons","-509"
"2010/2011","All census metropolitan areas and census agglomerations, Canada",,"Net intraprovincial migration","Both sexes","All ages","Persons","6078"
"2011/2012","All census metropolitan areas and census agglomerations, Canada",,"Net intraprovincial migration","Both sexes","All ages","Persons","18089"
"2012/2013","All census metropolitan areas and census agglomerations, Canada",,"Net intraprovincial migration","Both sexes","All ages","Persons","9709"
"2013/2014","All census metropolitan areas and census agglomerations, Canada",,"Net intraprovincial migration","Both sexes","All ages","Persons","11317"
"2014/2015","All census metropolitan areas and census agglomerations, Canada",,"Net intraprovincial migration","Both sexes","All ages","Persons","7661"
"2015/2016","All census metropolitan areas and census agglomerations, Canada",,"Net intraprovincial migration","Both sexes","All ages","Persons","3539"
"2016/2017","All census metropolitan areas and census agglomerations, Canada",,"Net intraprovincial migration","Both sexes","All ages","Persons","4428"
"2017/2018","All census metropolitan areas and census agglomerations, Canada",,"Net intraprovincial migration","Both sexes","All ages","Persons","-4159"
"2018/2019","All census metropolitan areas and census agglomerations, Canada",,"Net intraprovincial migration","Both sexes","All ages","Persons","-6762"
"2019/2020","All census metropolitan areas and census agglomerations, Canada",,"Net intraprovincial migration","Both sexes","All ages","Persons","-17212"
"2020/2021","All census metropolitan areas and census agglomerations, Canada",,"Net intraprovincial migration","Both sexes","All ages","Persons","-33603"
"2001/2002","All census metropolitan areas and census agglomerations, Canada",,"Net non-permanent residents","Both sexes","All ages","Persons","31687"
"2002/2003","All census metropolitan areas and census agglomerations, Canada",,"Net non-permanent residents","Both sexes","All ages","Persons","34977"
"2003/2004","All census metropolitan areas and census agglomerations, Canada",,"Net non-permanent residents","Both sexes","All ages","Persons","9388"
"2004/2005","All census metropolitan areas and census agglomerations, Canada",,"Net non-permanent residents","Both sexes","All ages","Persons","8245"
"2005/2006","All census metropolitan areas and census agglomerations, Canada",,"Net non-permanent residents","Both sexes","All ages","Persons","24291"
"2006/2007","All census metropolitan areas and census agglomerations, Canada",,"Net non-permanent residents","Both sexes","All ages","Persons","25237"
"2007/2008","All census metropolitan areas and census agglomerations, Canada",,"Net non-permanent residents","Both sexes","All ages","Persons","48647"
"2008/2009","All census metropolitan areas and census agglomerations, Canada",,"Net non-permanent residents","Both sexes","All ages","Persons","68594"
"2009/2010","All census metropolitan areas and census agglomerations, Canada",,"Net non-permanent residents","Both sexes","All ages","Persons","33705"
"2010/2011","All census metropolitan areas and census agglomerations, Canada",,"Net non-permanent residents","Both sexes","All ages","Persons","15669"
"2011/2012","All census metropolitan areas and census agglomerations, Canada",,"Net non-permanent residents","Both sexes","All ages","Persons","53423"
"2012/2013","All census metropolitan areas and census agglomerations, Canada",,"Net non-permanent residents","Both sexes","All ages","Persons","46801"
"2013/2014","All census metropolitan areas and census agglomerations, Canada",,"Net non-permanent residents","Both sexes","All ages","Persons","31364"
"2014/2015","All census metropolitan areas and census agglomerations, Canada",,"Net non-permanent residents","Both sexes","All ages","Persons","-14172"
"2015/2016","All census metropolitan areas and census agglomerations, Canada",,"Net non-permanent residents","Both sexes","All ages","Persons","31695"
"2016/2017","All census metropolitan areas and census agglomerations, Canada",,"Net non-permanent residents","Both sexes","All ages","Persons","101102"
"2017/2018","All census metropolitan areas and census agglomerations, Canada",,"Net non-permanent residents","Both sexes","All ages","Persons","156166"
"2018/2019","All census metropolitan areas and census agglomerations, Canada",,"Net non-permanent residents","Both sexes","All ages","Persons","164242"
"2019/2020","All census metropolitan areas and census agglomerations, Canada",,"Net non-permanent residents","Both sexes","All ages","Persons","78468"
"2020/2021","All census metropolitan areas and census agglomerations, Canada",,"Net non-permanent residents","Both sexes","All ages","Persons","-47712"
"2001/2002","All census metropolitan areas and census agglomerations, Canada",,"Residual deviation","Both sexes","All ages","Persons","904"
"2002/2003","All census metropolitan areas and census agglomerations, Canada",,"Residual deviation","Both sexes","All ages","Persons","446"
"2003/2004","All census metropolitan areas and census agglomerations, Canada",,"Residual deviation","Both sexes","All ages","Persons","-158"
"2004/2005","All census metropolitan areas and census agglomerations, Canada",,"Residual deviation","Both sexes","All ages","Persons","-1014"
"2005/2006","All census metropolitan areas and census agglomerations, Canada",,"Residual deviation","Both sexes","All ages","Persons","-5775"
"2006/2007","All census metropolitan areas and census agglomerations, Canada",,"Residual deviation","Both sexes","All ages","Persons","-27834"
"2007/2008","All census metropolitan areas and census agglomerations, Canada",,"Residual deviation","Both sexes","All ages","Persons","-27840"
"2008/2009","All census metropolitan areas and census agglomerations, Canada",,"Residual deviation","Both sexes","All ages","Persons","-27670"
"2009/2010","All census metropolitan areas and census agglomerations, Canada",,"Residual deviation","Both sexes","All ages","Persons","-27781"
"2010/2011","All census metropolitan areas and census agglomerations, Canada",,"Residual deviation","Both sexes","All ages","Persons","-28719"
"2011/2012","All census metropolitan areas and census agglomerations, Canada",,"Residual deviation","Both sexes","All ages","Persons","-30466"
"2012/2013","All census metropolitan areas and census agglomerations, Canada",,"Residual deviation","Both sexes","All ages","Persons","-30522"
"2013/2014","All census metropolitan areas and census agglomerations, Canada",,"Residual deviation","Both sexes","All ages","Persons","-30661"
"2014/2015","All census metropolitan areas and census agglomerations, Canada",,"Residual deviation","Both sexes","All ages","Persons","-30862"
"2015/2016","All census metropolitan areas and census agglomerations, Canada",,"Residual deviation","Both sexes","All ages","Persons","-27119"
"2001/2002","All census metropolitan areas, Canada",,"Births","Both sexes","All ages","Persons","229549"
"2002/2003","All census metropolitan areas, Canada",,"Births","Both sexes","All ages","Persons","232028"
"2003/2004","All census metropolitan areas, Canada",,"Births","Both sexes","All ages","Persons","237893"
"2004/2005","All census metropolitan areas, Canada",,"Births","Both sexes","All ages","Persons","239489"
"2005/2006","All census metropolitan areas, Canada",,"Births","Both sexes","All ages","Persons","244658"
"2006/2007","All census metropolitan areas, Canada",,"Births","Both sexes","All ages","Persons","255205"
"2007/2008","All census metropolitan areas, Canada",,"Births","Both sexes","All ages","Persons","263411"
"2008/2009","All census metropolitan areas, Canada",,"Births","Both sexes","All ages","Persons","267728"
"2009/2010","All census metropolitan areas, Canada",,"Births","Both sexes","All ages","Persons","268219"
"2010/2011","All census metropolitan areas, Canada",,"Births","Both sexes","All ages","Persons","267441"
"2011/2012","All census metropolitan areas, Canada",,"Births","Both sexes","All ages","Persons","269021"
"2012/2013","All census metropolitan areas, Canada",,"Births","Both sexes","All ages","Persons","271816"
"2013/2014","All census metropolitan areas, Canada",,"Births","Both sexes","All ages","Persons","272018"
"2014/2015","All census metropolitan areas, Canada",,"Births","Both sexes","All ages","Persons","272973"
"2015/2016","All census metropolitan areas, Canada",,"Births","Both sexes","All ages","Persons","274126"
"2016/2017","All census metropolitan areas, Canada",,"Births","Both sexes","All ages","Persons","271546"
"2017/2018","All census metropolitan areas, Canada",,"Births","Both sexes","All ages","Persons","269761"
"2018/2019","All census metropolitan areas, Canada",,"Births","Both sexes","All ages","Persons","267421"
"2019/2020","All census metropolitan areas, Canada",,"Births","Both sexes","All ages","Persons","266822"
"2020/2021","All census metropolitan areas, Canada",,"Births","Both sexes","All ages","Persons","258326"
"2001/2002","All census metropolitan areas, Canada",,"Deaths","Both sexes","All ages","Persons","141199"
"2002/2003","All census metropolitan areas, Canada",,"Deaths","Both sexes","All ages","Persons","143429"
"2003/2004","All census metropolitan areas, Canada",,"Deaths","Both sexes","All ages","Persons","146369"
"2004/2005","All census metropolitan areas, Canada",,"Deaths","Both sexes","All ages","Persons","147047"
"2005/2006","All census metropolitan areas, Canada",,"Deaths","Both sexes","All ages","Persons","142139"
"2006/2007","All census metropolitan areas, Canada",,"Deaths","Both sexes","All ages","Persons","147500"
"2007/2008","All census metropolitan areas, Canada",,"Deaths","Both sexes","All ages","Persons","149316"
"2008/2009","All census metropolitan areas, Canada",,"Deaths","Both sexes","All ages","Persons","150150"
"2009/2010","All census metropolitan areas, Canada",,"Deaths","Both sexes","All ages","Persons","150383"
"2010/2011","All census metropolitan areas, Canada",,"Deaths","Both sexes","All ages","Persons","155202"
"2011/2012","All census metropolitan areas, Canada",,"Deaths","Both sexes","All ages","Persons","153127"
"2012/2013","All census metropolitan areas, Canada",,"Deaths","Both sexes","All ages","Persons","159004"
"2013/2014","All census metropolitan areas, Canada",,"Deaths","Both sexes","All ages","Persons","160476"
"2014/2015","All census metropolitan areas, Canada",,"Deaths","Both sexes","All ages","Persons","167834"
"2015/2016","All census metropolitan areas, Canada",,"Deaths","Both sexes","All ages","Persons","166227"
"2016/2017","All census metropolitan areas, Canada",,"Deaths","Both sexes","All ages","Persons","174423"
"2017/2018","All census metropolitan areas, Canada",,"Deaths","Both sexes","All ages","Persons","181210"
"2018/2019","All census metropolitan areas, Canada",,"Deaths","Both sexes","All ages","Persons","180425"
"2019/2020","All census metropolitan areas, Canada",,"Deaths","Both sexes","All ages","Persons","192141"
"2020/2021","All census metropolitan areas, Canada",,"Deaths","Both sexes","All ages","Persons","196650"
"2001/2002","All census metropolitan areas, Canada",,"Immigrants","Both sexes","All ages","Persons","243876"
"2002/2003","All census metropolitan areas, Canada",,"Immigrants","Both sexes","All ages","Persons","188333"
"2003/2004","All census metropolitan areas, Canada",,"Immigrants","Both sexes","All ages","Persons","224867"
"2004/2005","All census metropolitan areas, Canada",,"Immigrants","Both sexes","All ages","Persons","229666"
"2005/2006","All census metropolitan areas, Canada",,"Immigrants","Both sexes","All ages","Persons","242342"
"2006/2007","All census metropolitan areas, Canada",,"Immigrants","Both sexes","All ages","Persons","223991"
"2007/2008","All census metropolitan areas, Canada",,"Immigrants","Both sexes","All ages","Persons","232305"
"2008/2009","All census metropolitan areas, Canada",,"Immigrants","Both sexes","All ages","Persons","226472"
"2009/2010","All census metropolitan areas, Canada",,"Immigrants","Both sexes","All ages","Persons","249067"
"2010/2011","All census metropolitan areas, Canada",,"Immigrants","Both sexes","All ages","Persons","239259"
"2011/2012","All census metropolitan areas, Canada",,"Immigrants","Both sexes","All ages","Persons","237584"
"2012/2013","All census metropolitan areas, Canada",,"Immigrants","Both sexes","All ages","Persons","242768"
"2013/2014","All census metropolitan areas, Canada",,"Immigrants","Both sexes","All ages","Persons","242770"
"2014/2015","All census metropolitan areas, Canada",,"Immigrants","Both sexes","All ages","Persons","217333"
"2015/2016","All census metropolitan areas, Canada",,"Immigrants","Both sexes","All ages","Persons","289373"
"2016/2017","All census metropolitan areas, Canada",,"Immigrants","Both sexes","All ages","Persons","244257"
"2017/2018","All census metropolitan areas, Canada",,"Immigrants","Both sexes","All ages","Persons","276035"
"2018/2019","All census metropolitan areas, Canada",,"Immigrants","Both sexes","All ages","Persons","285559"
"2019/2020","All census metropolitan areas, Canada",,"Immigrants","Both sexes","All ages","Persons","257652"
"2020/2021","All census metropolitan areas, Canada",,"Immigrants","Both sexes","All ages","Persons","208359"
"2001/2002","All census metropolitan areas, Canada",,"Emigrants","Both sexes","All ages","Persons","39188"
"2002/2003","All census metropolitan areas, Canada",,"Emigrants","Both sexes","All ages","Persons","45497"
"2003/2004","All census metropolitan areas, Canada",,"Emigrants","Both sexes","All ages","Persons","48968"
"2004/2005","All census metropolitan areas, Canada",,"Emigrants","Both sexes","All ages","Persons","48707"
"2005/2006","All census metropolitan areas, Canada",,"Emigrants","Both sexes","All ages","Persons","52363"
"2006/2007","All census metropolitan areas, Canada",,"Emigrants","Both sexes","All ages","Persons","56925"
"2007/2008","All census metropolitan areas, Canada",,"Emigrants","Both sexes","All ages","Persons","57692"
