"address","host_organization","notes","title","event_type","event_group","more_info_url","all_dates","next_date_times","longitude","latitude","point"
"89 Canova Road SW",,"An easy to follow, low intensity class designed for those with any type of limited mobility. Also includes low intensity cardio to build endurance. Call 403-268-3800 to register (free).","Balance & Strength (Gentle 2)",,"Event","https://liveandplay.calgary.ca/?redirect=/liveandplay","Oct 4 2022 10:30 - 11:30 a.m.","October 4 2022 10:30 - 11:30 a.m.","-114.089522","50.948447","POINT (-114.089522 50.948447)"
"6715 Centre Street NW",,"Welcome to the Fall 2022 Calgary AfterSchool at Thornhill Aquatic&amp; Recreation Centre!

Calgary AfterSchool Program:

Calgary AfterSchool is a city-wide initiative that offers youth positive, constructive activities after school, which ultimately helps build stronger and safer communities for youth to develop into successful adults, all while following current Alberta Health Services COVID-19 protocols.

After school programs provide benefits for children and youth that include:

&bull; Lower stress levels for working parents (know where their children are and what they are doing).

&bull; Increased recreation opportunities.

&bull; More opportunities to develop social, physical, leadership and creative skills.

Cost: FREE

&bull; During program hours, facility access and program instruction are free to those who want to participate.

Age: Youth 11-15 years

Program Hours:

Mondays, Wednesdays &amp; Fridays, September 19 &ndash; December 23, 2022

Mon/Wed 3:15 &ndash; 6:15 p.m. &amp; Fridays 12:15 &ndash; 3:15 p.m.

This program follows CCSD school calendar and is not offered when school is not running (i.e.: All STAT and PD days, teacher&rsquo;s convention, winter/spring/summer break etc.). Please ask the site for specific details.

How to Register:

&bull; Youth will visit Thornhill Pool during the program times listed and will be asked to fill in a participant information","RecCAS",,"Event","https://www.calgary.ca/csps/cns/children-and-youth/calgary-afterschool/calgary-afterschool.html","Sept 23 2022 12:15 - 3:15 p.m.<br>Sept 30 2022 12:15 - 3:15 p.m.<br>Oct 7 2022 12:15 - 3:15 p.m.<br>Oct 14 2022 12:15 - 3:15 p.m.<br>Oct 21 2022 12:15 - 3:15 p.m.<br>Oct 28 2022 12:15 - 3:15 p.m.<br>Nov 4 2022 12:15 - 3:15 p.m.<br>Nov 11 2022 12:15 - 3:15 p.m.<br>Nov 18 2022 12:15 - 3:15 p.m.<br>Nov 25 2022 12:15 - 3:15 p.m.<br>Dec 2 2022 12:15 - 3:15 p.m.<br>Dec 9 2022 12:15 - 3:15 p.m.<br>Dec 16 2022 12:15 - 3:15 p.m.<br>Dec 23 2022 12:15 - 3:15 p.m.","September 23 2022 12:15 - 3:15 p.m.","-114.065182","51.112666","POINT (-114.065182 51.112666)"
"221 12 Avenue SW",,"Share your knowledge, experience and skills in both hand and machine sewing, as well as meet others in our community.&nbsp; Registration required.

Register at activebeltline@calgary.ca

For more information please contact: Silvia Ross, Community Social Worker at silvia.ross@calgary.ca or text 403-540-0160

Accessibility barriers:&nbsp; Multiple staircases to access program space.&nbsp; Street parking only.","Sew Social",,"Event","https://www.calgary.ca/csps/recreation/active-beltline.html","Sept 15 2022 12:30 - 2:30 p.m.<br>Sept 22 2022 12:30 - 2:30 p.m.<br>Sept 29 2022 12:30 - 2:30 p.m.<br>Oct 6 2022 12:30 - 2:30 p.m.<br>Oct 13 2022 12:30 - 2:30 p.m.<br>Oct 20 2022 12:30 - 2:30 p.m.","September 15 2022 12:30 - 2:30 p.m.","-114.067013","51.041313","POINT (-114.067013 51.041313)"
"3363 Spruce Drive SW",,"Spend time with fellow friends enjoying tea and biscuits. Experiment with watercolour paint through a series of quick exercises designed to release your artistic spirit.&nbsp;

Call 403-249-3773 to register. For 65+ only.","Afternoon Creativi-tea",,"Event","https://www.trumba.com/calendars/map-feeds?eventid=162305032","Oct 7 2022 1 - 3:30 p.m.","October 7 2022 1 - 3:30 p.m.","-114.135552","51.046423","POINT (-114.135552 51.046423)"
"810 13 Avenue NE",,"A moderate intensity fitness class to improve cardio, strength, balance and flexibility. You must book a spot for this class. Call 403-268-3800 to register (free).","50+ Fitness (Gentle 3)",,"Event","https://liveandplay.calgary.ca/?redirect=/liveandplay","Oct 6 2022 1 - 1:45 p.m.","October 6 2022 1 - 1:45 p.m.","-114.045486","51.064649","POINT (-114.045486 51.064649)"
"810 13 Avenue NE",,"A gentle fitness class for individuals with significant limitations to exercise. The focus is on improving mobility, posture and balance. Call 403-268-3800 to register (free).","Living Healthy - Easy Going (Gentle 1)",,"Event","https://liveandplay.calgary.ca/?redirect=/liveandplay","Oct 3 2022 10:45 - 11:30 a.m.","October 3 2022 10:45 - 11:30 a.m.","-114.045486","51.064649","POINT (-114.045486 51.064649)"
"221 12 Avenue SW",,"Looking to improve your personal strength stability, agility, or flexibility?&nbsp; Preparing to compete or recovering from an injury?&nbsp; Drop into Beltline Community Hub to work out for free!&nbsp; We have a wide range of free weights and modern strength training equipment to hep you meet your goals.&nbsp;&nbsp;","CANCELLED - Weight Room Drop In",,"Event","https://www.calgary.ca/csps/recreation/active-beltline.html","Sept 30 2022 12 - 3 p.m.","September 30 2022 12 - 3 p.m.","-114.067013","51.041313","POINT (-114.067013 51.041313)"
"800 Macleod Trail SE",,"UPDATE: new meeting","Green Line Board","BCC / Board meeting","City Business","https://www.trumba.com/calendars/map-feeds?eventid=156985614","Oct 14 2022 1 - 5 p.m.<br>Nov 30 2022 1 - 5 p.m.","October 14 2022 1 - 5 p.m.","-114.056551","51.04606","POINT (-114.056551 51.04606)"
"221 12 Avenue SW",,"Looking to improve your personal strength stability, agility, or flexibility?&nbsp; Preparing to compete or recovering from an injury?&nbsp; Drop into Beltline Community Hub to work out for free!&nbsp; We have a wide range of free weights and modern strength training equipment to hep you meet your goals.&nbsp;&nbsp;","Weight Room Drop In",,"Event","https://www.calgary.ca/csps/recreation/active-beltline.html","Sept 16 2022 12 - 3 p.m.<br>Sept 23 2022 12 - 3 p.m.<br>Oct 7 2022 12 - 3 p.m.<br>Oct 14 2022 12 - 3 p.m.<br>Oct 21 2022 12 - 3 p.m.","September 16 2022 12 - 3 p.m.","-114.067013","51.041313","POINT (-114.067013 51.041313)"
"523 27 Avenue NW",,"Enjoy an afternoon celebrating Active Aging Week in studio with an artist who will take you on an art adventure. No previous experience needed. Tea afterwards. For 65+ only

Call 403-221-3682 to register.&nbsp;","Live to be Creative",,"Event","https://www.trumba.com/calendars/map-feeds?eventid=162304984","Oct 5 2022 1 - 3:30 p.m.","October 5 2022 1 - 3:30 p.m.","-114.072677","51.076785","POINT (-114.072677 51.076785)"
