"project_id","project_name","project_description","project_street_address","project_address_city","project_address_zip","current_phase","project_details_url","location_data","location_method","council_districts","regions","current_phase_type","latitude","longitude","address"
"20025542.02.01.03","Joint Use Water Facilities with Bellevue","Redmond is a joint owner of several water facilities with the City of Bellevue.  The following project has been identified in the Bellevue Water System Plan (NE 40th Street Tank rehabilitation).  The facility is located in Bellevue and the project will be prioritized and implemented by Bellevue. Redmond will participate financially and programmatically as a joint owner on the projects. ",,,,,,,,,"Neighborhood","Neighborhood",,,
"20020222.01","Joint Use Water Facilities with Kirkland","Redmond is a joint owner of several water facilities with the City of Kirkland.  The following projects have been identified in the Kirkland Water System Plan:  Rosehill Supply Station 3 Improvements, Water System Security Improvements and the North Rosehill Booster Pump Station Replacement.  These facilities are located in Kirkland and the projects will be prioritized and implemented by Kirkland.  Redmond will participate financially and programmatically as a joint owner on the projects. ",,,,,,,,,"Neighborhood","Neighborhood","47.70423529","-122.1646732",
"20025528.04.01.03","Keller Farm Wetland Bank","Purchase property for a wetland mitigation bank.  Public-private partnership opportunity with the City acquiring the property and a private entity developing and selling mitigation credits.  Selling of credits would repay the City for purchase, Perrigo Creek would be daylighted, and the agricultural area returned to stream buffer and wetland areas.  Restoration of this section of Bear Creek is a top priority in the City's Salmon Recovery Plan.
",,,,,,,,,"Neighborhood","Neighborhood","47.67841086","-122.0982717",
"20021402.04.01.03","Mackey Creek Rehabilitation","Add large woody debris, enhance in-stream complexity and improve fish passage. Fence banks for buffer protection will be coordinated with Parks Farrel-McWhirter Restroom Improvement.",,,,,,,,,"Neighborhood","Neighborhood","47.69591333","-122.0812578",
"20025526.04.01.03","Monticello Creek Flow Control, Local Improvement District (LID) & Water Quality Treatment","Install flow control and water quality controls in the contributing drainage area as part of efforts to rehabilitate the Creek.  Specific projects will be identified following completion of the stream basin plan.",,,,,,,,,"Neighborhood","Neighborhood","47.70657651","-122.1037093",
"20020804.01.01.03","NE 116th Street and 172nd Avenue NE Roundabout","In addition to a roundabout at 172nd Avenue NE this project constructs sidewalks, bicycle lanes and turn lanes to connect the existing facilities to a safe and complete street for the growing north Redmond residential area.  The project is important for several reasons:  greatly improves safety for all users of the intersection, provides traffic calming for both 172nd and 116th by reducing speeds through the roundabout, completes the sidewalk and bike connections through the intersection and connects to the completed portions of 116th east and west of the intersection, provides a distinctive gateway feature at the key North Redmond intersection.  Current and anticipated levels of vehicular, pedestrian and bicycle users warrants traffic control improvements to this intersection to meet safety needs. ",,,,,,,,,"Neighborhood","Neighborhood","47.70382814","-122.1124287",
"20021120.04.01.03","NE 76th Street Groundwater Protection","Construct detention and water quality facilities and conveyance pipe to address existing system capacity and water quality issues, as well as accommodate stormwater currently being infiltrated in the wellhead protection zone.
",,,,,,,,,"Neighborhood","Neighborhood","47.67136584","-122.1011659",
"20025529.04.01.03","NE 95th Street Bridge Replacement","Stormwater:  The NE 95th Street Bridge over Bear Creek is a 20 foot span wooden bridge that has gone beyond its useful life and needs to be replaced for vehicular use and widened to accommodate pedestrian and bicycle access and to relieve a major constriction for salmon that does not meet State requirements.  This project is in the conceptual design phase.  It is anticipated that the current budget will not be sufficient to build the project. ",,,,,,,,,"Neighborhood","Neighborhood","47.68559865","-122.0888037",
"20011602.17.01.03","NE 95th Street Bridge Replacement","Transportation: The NE 95th Street Bridge over Bear Creek is a 20 foot span wooden bridge that has gone beyond its useful life and needs to be replaced for vehicular use and widened to accommodate pedestrian and bicycle access and to relieve a major constriction for salmon that does not meet State requirements.  This project is in the conceptual design phase.  It is anticipated that the current budget will not be sufficient to build the project. ",,,,,,,,,"Neighborhood","Neighborhood","47.68559865","-122.0888037",
"80011302","Neighborhood  Fund Program




","Neighborhood improvements support communities in terms of physical improvements and community building.  This includes the Neighborhood Spotlight Fund, which is used primarily to combine neighborhood projects with City CIP projects, as well as the Neighborhood Matching Grant Fund, which allows small grants of $5,000 for neighborhood improvements when matched by the community through donations of cash, materials, professional services or labor.",,,,,,,,,"Citywide","Citywide",,,
"20021505.01.01.03","Neighborhood Traffic Calming Program","The Neighborhood Traffic Calming Program implements and fulfills safety policies specified in the Comprehensive Plan and Transportation Master Plan.  It investigates and evaluates neighborhood traffic safety problems using a two-phase Ò3EÕsÓ (education, enforcement & engineering) approach; and where needed, coordinates design, development and implementation of context sensitive mitigation solutions.  Other activities include:  consulting and advising on traffic calming as it relates to City standards, best-practices for transportation policy, neighborhood planning, Capital Investment Program (CIP) and private development projects; investigating traffic safety issues pertaining to school walk routes, pedestrian safety and crosswalk marking; coordinating with Redmond Police (enforcement component), Traffic Safety Specialist (education component), Redmond Fire Department and Lake WA School District; and chairing the intra-departmental Traffic Safety Committee.",,,,,,,,,"Citywide","Citywide",,,
"20025539.08.01.03","Operations Center Valve Replacement","Replacement of the valves in the Novelty Hill Operations Center.",,,,,,,,,"Neighborhood","Neighborhood","47.69313923","-122.0390224",
"0.01","Overhead ","City General Fund and Information Technology overhead charges to Transportation, Parks and General Government.",,,,,,,,,"Citywide","Citywide",,,
"20020993.01.01.03","Overlake Access Ramp - Preliminary Design","Eastbound off-ramp from SR 520 under 148th Avenue NE and connecting directly to 152nd Avenue NE.  This project is a key element of the City's plans for the Overlake Urban Center and is in collaboration with the Washington State Department of Transportation (WSDOT) and the City of Bellevue. ",,,,,,,,,"Overlake","Overlake","47.63521617","-122.1381357",
"20020806.04.03.03","Overlake Facility #2 - Station Vault","Construct a large regional stormwater infiltration vault at the light rail station.  To be built by Sound Transit as part of their station construction.",,,,,,,,,"Overlake","Overlake","47.63625762","-122.1385999",
"20020806.04.02.03","Overlake Stormwater Facilities - South Vault","Construct a large regional stormwater detention vault south of NE 24th Street.  This is the first facility proposed in the Overlake surcharge area.  Regulations require that this project be completed by 2015.",,,,,,,,,"Overlake","Overlake","47.62862471","-122.1403657",
"20021207.01.01.03","Overlake Village Station Pedestrian Bridge - Design","Provide a new pedestrian and bike connection over SR 520 between the Overlake Village light rail station and the Microsoft campus.
",,,,,,,,,"Overlake","Overlake","47.63745051","-122.1379634",
"55555555.08","Parks Administration Costs","2.75 FTEs in Park Planning & Administration are charged to CIP.",,,,,,,,,"Citywide","Citywide",,,
"17-SV97","Willows Road Rehabilitation","Rehabilitate and overlay pavement surface to extend useful life of roadway.               

Project timeframe:  2017 - 2019",,,,,,,,,"Neighborhood","Neighborhood","47.6959625857531","-122.151722299978",
"55555555.09","Parks Arts Recreation Culture Conservation (PARCC) Plan Update","Citywide functional plan update for parks as required by City ordinance and state regulations.  The funding will support statistically valid survey, mailings and outreach for at least six public meetings and three sets of steering committee meetings.  Consultant assistance for art chapter on Citywide art plan, including gateways, art in park, art in public realm throughout City will also be included.",,,,,,,,,"Citywide","Citywide",,,
"55555555.03","Parks Debt Payment for Downtown Park","Acquisition of park land.",,,,,,,,,"Downtown","Downtown","47.67438066","-122.1246046",
"20011506.17.01.03","Pavement Management Program","The Redmond Pavement Management (RPM) Program is a comprehensive street preservation program that includes all pavement related activities on our 144 miles of pavement.  At its core is a database/geographic information system (GIS) that tracks the history of construction and maintenance as well as surface conditions that are surveyed every other year.  The yearly street repair and resurfacing project selects street segments that are most in need of resurfacing or reconstruction. ",,,,,,,,,"Citywide","Citywide",,,
"20021507.01.01.03","Pedestrian Program","The Pedestrian Program helps create a quality walking environment which will encourage more people to get out walking.  This is accomplished by completing missing links in the pedestrian system in accordance with the Transportation Management Program to provide new pedestrian connections in and between neighborhoods, improve transit access, improve pedestrian safety and enhance an energy efficient transportation alternative to driving.  The Targeted Safety Improvement Program, Bicycle Program and Pedestrian Program will be coordinated and managed together to best prioritize the projects needed during the biennium.  Combining these programs will also be beneficial to leverage grants.",,,,,,,,,"Citywide","Citywide",,,
"50020812.05.01.03","Perrigo Park - Phase II","Perrigo Park is one of three City community parks providing sports fields, playgrounds, trails and a large picnic shelter.  Recently collected data show more than 3,000 people per week use this park in the spring, with numbers escalating in the summer.  Recent road improvements on 196th Street have eliminated on-street parking near the park.  A parking lot addition is needed to accomodate user demand.",,,,,,,,,"Neighborhood","Neighborhood","47.6824338","-122.0795657",
"20010953","Preserve City Buildings


","The dollars in this offer will be used for major maintenance projects that have been identified as critical to keep the City buildings at the level expected by the citizens of Redmond and necessary for the employees who work there. ",,,,,,,,,"Citywide","Citywide",,,
"20025505.02.01.03","Pressure Reducing Valve (PRV) and Meter Vault Program 


","Program for replacing aging or undersized pressure reducing valves and large meters and vaults.  Many pressure reducing valves and large meters are reaching the end of their useful life.  An asset management inspection program is currently underway to determine the condition of the pressure reducing valve stations. After completion of the inspection program, the needs for replacement will be documented and prioritized.  The large meter stations will be inspected and prioritized following the pressure reducing valves. ",,,,,,,,,"Citywide","Citywide",,,
"22222222.06","Property Management","Property management and associated costs for Sammamish River Business Park.",,,,,,,,,"Citywide","Citywide",,,
"77777777.01","Public Safety Building Upgrades - Phase II




","The Public Safety Building Improvement Phase II project is a comprehensive building repair and upgrade to extend the service life of the building another thirty years.Ê This project includes finishing roof upgrades of the original building and weatherproofing of the building envelope and upgrades to the structural, electrical and mechanical systems to meet current codes for energy efficiency, acoustics and seismic requirements.Ê This project also includes enhancements to the buildingÕs sub-drainage system to eliminate flooding in the building garage. ",,,,,,,,,"Citywide","Citywide",,,
"22222222.03","Public Works Trust Fund Loan Debt Service","Pay back of outstanding debt to the Public Works Trust Fund Loans that funded construction of the Willows Road to 116th and 161st Avenue NE Extension projects.",,,,,,,,,"Citywide","Citywide",,,
"20021314.01.01.03","Redmond Central Connector - Phase II","Transportation:  The Redmond Central Connector - Phase II Project implements the Downtown Transportation Master Plan and a key element of the Parks, Arts, Recreation, Culture Conservation (PARCC) Plan.  The project constructs 1.1 miles of hard-surfaced trail along the former Burlington Northern Santa Fe (BNSF) railroad corridor.  The project will have side trails and street connections, create park spaces, include integrated art and will be based on the Redmond Central Connector Master Plan.",,,,,,,,,"Neighborhood","Neighborhood","47.68138896","-122.1408343",
"20020712.04.01.03","Redmond Way Water Quality Facility","Construct Downtown Regional Facility water quality vault to treat 250 acres of downtown surcharge area that discharges to the Sammamish River near Redmond Way.",,,,,,,,,"Downtown","Downtown","47.67368108","-122.1320389",
"22222222.07","Revenue Bond Debt Service




","Pay outstanding debt for revenue bonds issued to fund the 2008 upgrades to the City's water and wastewater systems as well as 2014 Revenue Bonds to fund Overlake Stormwater Facilities capital projects.",,,,,,,,,"Citywide","Citywide",,,
"20025537.04.01.03","Sammamish River Enhancements - 90th to Willows Creek","Regrade both banks of approximately 2,200 feet of the Sammamish River to enhance in-stream habitat.  Remove invasive weeds and install native trees and shrubs to improve stream buffers and cool the water for salmon.  This project may also provide compensatory storage fee in lieu of opportunities for downtown development.
",,,,,,,,,"Downtown","Downtown","47.68696075","-122.1327241",
"20031131.17.01.04","Sound Transit Eastlink","Sound Transit is moving forward rapidly with  design for extension of light rail from Downtown Seattle to the two stations in RedmondÕs Overlake Urban Center.  This effort requires substantial City attention to Sound TransitÕs design to achieve a light rail system that is consistent with RedmondÕs interests.  This requires both City staff time and access to consultants who are experienced in light rail design and operation and how it fits with land use.  The key areas of RedmondÕs interest are:  station access (e.g. pedestrian and bike facilities, additional street and access connections, and transit), station design, how the system will fit with future development and efforts to extend light rail to Downtown Redmond. ",,,,,,,,,"Overlake","Overlake","47.64596856","-122.139321",
"20025541.02.01.03","Southeast Redmond Booster Pump Station Replacement","Replacement of pump components, variable frequency drives (VFDs), telemetry system, control panel and building deficiencies.",,,,,,,,,"Neighborhood","Neighborhood","47.66634543","-122.0949025",
"20010734.17.01.05","SR202/124th Street - Habitat Monitoring","Ten years of annual monitoring of habitat improvements required for construction of SR 202/124th Intersection Improvements. 
",,,,,,,,,"Neighborhood","Neighborhood","47.71114936","-122.1317765",
"20020245.04.02.03","Stormwater Pond B and NE 84th Conveyance","The existing NE 84th Street has no stormwater infrastructure for the roadway.  The project would construct a new stormwater collection and conveyance system and Phase I of the Southeast Regional stormwater pond B for flow control and water quality treatment.  The goal is to improve conditions for Bear/Evans Creek.  The project will be coordinated with Union Hill Road Phase III.
",,,,,,,,,"Neighborhood","Neighborhood","47.67794647","-122.0869794",
"20020245.04.03.03","Stormwater Pond D","Construct regional stormwater pond on King County Cadman site.  This pond provides water quality and/or flow control for Bear/Evans Creek.  Coordinated with Union Hill Road Phase III.
",,,,,,,,,"Neighborhood","Neighborhood","47.67529698","-122.08449",
"20021317.04.01.03","Stormwater Right of Way (ROW) Infrastructure Replacement Program




","The focus of this program is to identify and provide funding to design and construct improvements, rehabilitation or replacement of existing stormwater facilities that are coincident with Transportation Program projects or associated with larger Transportation efforts.  Projects are identified on an annual basis in coordination with Transportation.",,,,,,,,,"Citywide","Citywide",,,
"20021316.04.01.03","Stormwater Small Capital Projects Program


","The Stormwater Small Capital Projects Program addresses the rehabilitation or replacement of existing facilities via small stormwater and stream/habitat projects that cost less than $150,000 and are often combined into a larger package for construction.  These projects are reviewed and prioritized on an annual basis. The focus for the 2015-2016 biennium is on small habitat projects and emergency stormwater projects.
",,,,,,,,,"Citywide","Citywide",,,
"20021320.04.01.03","Stream Buffer Enhancement Program




","The Stream Buffer Enhancement Program focuses on preservation and restoration (planting) of stream buffer areas which are two of the highest priorities identified in the Chinook Salmon Recovery Plan.  Overall top priorities include the Bear/Evans basin and the priority Class II streams due to temperature impairments.  This program is designed to be flexible to take advantage of opportunities to coordinate with volunteers and neighborhood groups, as well as City projects and other agencies.",,,,,,,,,"Citywide","Citywide",,,
"20021508.01.01.03","Street Lighting Program","The Street Lighting Program is used to fund improvements to the City's street lighting system.  The funds support activities such as design and construction of new street lights at key locations where additional illumination would benefit safety and user accessibility.  Funding from the program is also added to other CIP projects to help complete missing links in the street light system.",,,,,,,,,"Citywide","Citywide",,,
"20021509.01.01.03","Targeted Safety Program","Annual construction of improvements to ensure the highest priority safety needs are regularly met for all travel choices.Ê This program identifies existing and potential traffic safety problem areas and implements projects to prevent incidents, injuries, deaths and their related losses through proactive collision prevention; reactive collision response; and multi-modal safety consistent with the Transportation Master Plan.  The Targeted Safety Improvement Program, Bicycle Program and Pedestrian Program will be coordinated and managed together to best prioritize the projects needed during the biennium.  Combining these programs will also be beneficial to leverage grants.",,,,,,,,,"Citywide","Citywide",,,
"20021330.02.01.03","Telemetry System Upgrades","Water: Program for updating and/or replacing the control system that runs the water and wastewater systems. The telemetry system links all major water and sewer facilities and monitors and controls the facilities.  The telemetry system is an independent computer network that operates, monitors and directs the control devices that are distributed throughout the City and Novelty Hill, and are interconnected using the phone system.  The technology of the computers, controllers, software and phone system are continually evolving and need upgrade or replacement similar to a home computer.",,,,,,,,,"Citywide","Citywide",,,
"20021330.09.04.03","Telemetry System Upgrades","UPD Wastewater: Program for updating and/or replacing the control system that runs the water and wastewater systems. The telemetry system links all major water and sewer facilities and monitors and controls the facilities.  The telemetry system is an independent computer network that operates, monitors and directs the control devices that are distributed throughout the City and Novelty Hill, and are interconnected using the phone system.  The technology of the computers, controllers, software and phone system are continually evolving and need upgrade or replacement similar to a home computer.",,,,,,,,,"Citywide","Citywide",,,
"20021330.08.03.03","Telemetry System Upgrades","UPD Water: Program for updating and/or replacing the control system that runs the water and wastewater systems. The telemetry system links all major water and sewer facilities and monitors and controls the facilities.  The telemetry system is an independent computer network that operates, monitors and directs the control devices that are distributed throughout the City and Novelty Hill, and are interconnected using the phone system.  The technology of the computers, controllers, software and phone system are continually evolving and need upgrade or replacement similar to a home computer.",,,,,,,,,"Citywide","Citywide",,,
"20021330.03.02.03","Telemetry System Upgrades","Wastewater: Program for updating and/or replacing the control system that runs the water and wastewater systems. The telemetry system links all major water and sewer facilities and monitors and controls the facilities.  The telemetry system is an independent computer network that operates, monitors and directs the control devices that are distributed throughout the City and Novelty Hill, and are interconnected using the phone system.  The technology of the computers, controllers, software and phone system are continually evolving and need upgrade or replacement similar to a home computer.",,,,,,,,,"Citywide","Citywide",,,
"20021319.04.01.03","Tosh Creek Flow Control and Water Quality","Install flow control and water quality treatment in the contributing drainage area as part of rehabilitating Tosh Creek upstream of West Lake Sammamish Parkway. Specific projects will be identified following completion of the stream basin plan.",,,,,,,,,"Overlake","Overlake","47.65283764","-122.1237319",
"20011601.17.01.03","Traffic Signal Central Control System","Replaces existing signal control system.  This system monitors traffic signals in the City and allows modifications to their operation remotely from City Hall.",,,,,,,,,"Citywide","Citywide",,,
"20011510.17.01.04","Transportation Concurrency Program","The Transportation Concurrency Program funds the City's state-mandated concurrency tracking system and the generation of transportation performance monitoring information.  This includes maintenance of traffic forecast models, analysis of data and model results for decision making, use of data to forecast future conditions on the transportation system and the production of performance measures for the annual Community Indicators report. ",,,,,,,,,"Citywide","Citywide",,,
"55555555.07","Turf Replacement Program","Ongoing program to repair and replace artificial turf in existing community parks.  ",,,,,,,,,"Citywide","Citywide",,,
"20020943.01.01.03","Union Hill Phase III","Widen Union Hill Rd from 188th Place NE to east City limits.  Improvements include two through lanes in each direction, left turn lanes, bike lanes, curb, gutter, sidewalks, street lights, storm drainage, water detention and treatment facilities, retaining wall, underground power and utility pole relocation, right-of-way and
easement acquisition.",,,,,,,,,"Neighborhood","Neighborhood","47.67566255","-122.0858028",
"20025508.03.01.03","Wastewater Connection to King County - Avondale","The existing connecting sewer trunk is a 24-27 inch trunk that was constructed in 1987 when much of the service area for the trunk was in unincorporated King County.  County policy at that time restricted planning sewers for the county area so the connection to the Metro Trunk was limited to a 10 foot length of 18 inch pipe. The wastewater trunk is at capacity and needs to be replaced. ",,,,,,,,,"Neighborhood","Neighborhood","47.67496098","-122.1080412",
"20022222.01","Wastewater Pump Station Improvements","Many components of the City's wastewater pump stations have reached the end of their useful life and need to be addressed.  Throughout the next six years pump stations 2, 3, 5, 6, 10, 11, 12, 13, 14, and 15 will be upgraded, replaced or abandoned.  This work includes the installation of new wet well and vaults and complete replacement of pumps, motors, valves, controls, generator and all accessory equipment.",,,,,,,,,"Neighborhood","Neighborhood","47.63670957","-122.0923369",
