"permit_number","location","additional_reference","parcel_number","permit_type","work_class","apply_date","issue_date","project_name","permit_details","work_description","valuation","sq_ft","number_of_units","owner","applicant","contractor","contractor_phone","company","tenant","lender","designer_of_record","total_fees"
"PLUM-2013-00896","10740 154TH PL NE
Redmond, WA 98052
(47.695959048000475, -122.13440924499969)","LOT 25","8895800250","Plumbing - OTC","Residential","2013-02-05T00:00:00.000","2013-02-05T00:00:00.000","MONDAVIO","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/PLUM-2013-00896","3 bathtubs/ 1 clothes washer/ 1 dishwasher/ 1 garbage disposal/ 2 hose bibs/ 1 shower/valve replacements/ 6 sinks (bathroom)/ (1) sink (kitchen)/ (1) sink (utility & laundry tray)/ 4 toilets/ (1) wtr service.  22 fixtures.","9760","4497.00",,,"Donald McCain",,"4254518188","COSMOS CONSTRUCTION CORP.",,,,"349.2"
"BLDG-2013-00905","17325 NE 85TH PL
REDMOND, WA 98052
(47.678929466000454, -122.10535905399968)","BLDG B 104","125059022","Multi-Family","Remodel","2013-02-05T00:00:00.000","2013-02-05T00:00:00.000","EAGLE RIM APARTMENTS","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2013-00905","Remodel 160 sq ft. kitchen - 4 units per building/ B-104/ B103/ B203/ B204.  This replaces expired permit B100457.","2000","0.00","4",,"Christian Hansen",,"2062288593","SALTAIRE CRAFTSMEN LLC",,,,"90.34"
"B120732","9911 WILLOWS RD NE
REDMOND, WA 98052
(47.6885836080005, -122.14886550999972)","MICROSOFT WILLOWS-BLDG D STE 120","9430050050","Commercial","Tenant Improvement","2012-12-21T00:00:00.000","2013-02-05T00:00:00.000","1908 Microsoft Willows-Bldg D","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/B120732","CONVERT EXISTING STORAGE AREA OF PERMITTED SPACE INTO A CANOPY MOCK UP WITH METAL STUD FRAMING AND GYPSUM BOARD FINISH AREA OF CONSTRUCTION 28 SF.","25000","0.00","1",,"IMPORT IMPORT",,"2127904215","J T Magen & Co Inc.",,,,"565.22"
"B120573","5109 157TH PL NE
REDMOND, WA 98052
(47.654450425000505, -122.13131159399973)","LOT 8","1425059208","Residential","New","2012-09-28T00:00:00.000","2013-02-06T00:00:00.000","MARYMOOR COURT LOT 4","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/B120573","MARYMOORE COURTE LOT 8 - CONSTRUCTION OF A NEW 2 STORY FIRE-SPRINKLERED SFR CONSISITING OF 3221 SQ FT DWELLING/ 50 SQ FT COVERED PORCH/ 55 SQ FT COVERED DECK/ 606 SQ FT GARAGE FOR A TOTAL OF 3/832 SQ FT.","341856.52","3832.00","1",,"Kim Bansemer",,"4258213400","SSHI LLC -",,,,"6589.47"
"B120565","5231 157TH PL NE
REDMOND, WA 98052
(47.65470494700048, -122.13135480799968)","MARYMOOR COURT LOT 5","1425059205","Residential","New","2012-09-27T00:00:00.000","2013-02-06T00:00:00.000","ANSPACH SHORT PLAT","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/B120565","Construction of an new 2 story fire-sprinklered SFR consisting of 2903 sq ft dwelling/ 406 sq ft garage/ 114 sq ft covered porch for a total of 3423 sq ft.","310731.25","3423.00","1",,"Kim Bansemer",,"4258213400","SSHI LLC -",,"None","Randy Skiles","22190.38"
"B120567","5217 157TH PL NE
REDMOND, WA 98052
(47.6546758660005, -122.1313505229997)","LOT 6","1425059206","Residential","New","2012-09-27T00:00:00.000","2013-02-07T00:00:00.000","ANSPACH SHORT PLAT","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/B120567","MARYMOOR COURT LOT 6 - CONSTRUCTION OF A NEW TWO-STORY/ FIRE SPRINKLERED SINGLE FAMILY RESIDENCE CONSISTING OF 3221 SQ FT DWELLING SPACE/ 606 SQ FT GARAGE/ 50 SQ FT COVERED PORCH/ 55 SQ FT UPPER FLOOR COVERED DECK. TOTAL AREA OF CONSTRUCTION 3818 SQ FT","341326.34","3142.00","1",,"IMPORT IMPORT",,"4258213400","SSHI LLC -",,,,"22380.08"
"FIRE-2013-00976","3460 157TH AVE NE
REDMOND, WA 98052
(47.64049963600047, -122.13056272499972)","MICROSOFT-BLDG 8 RM 1109","5503000130","Fire Sprinkler - Commercial","Quick Start","2013-02-08T00:00:00.000","2013-02-08T00:00:00.000","MICROSOFT-BLDG 8","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-00976","Modify existing dry sprinkler system for new wallas","0","0.00",,,"Shaina Morgan",,"2539262290","PATRIOT FIRE PROTECTION/ INC.",,,,"211.65"
"B130004","16564 CLEVELAND ST
REDMOND, WA 98052
(47.67224968500051, -122.1196992079997)","D","1225059030","Commercial","Tenant Improvement","2013-01-03T00:00:00.000","2013-02-11T00:00:00.000","6191 REDMOND SQUARE BLDG C","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/B130004","NON-STRUCTURAL TENANT IMPROVMENT OF AN EXISTING SPACE/ PROVIDING NEW WALLS AND FINISHES.  NO CHANGE OF USE AND ALL WORK IS INTERIOR.  NO CHANGE TO EXISTING EXITING.  AREA OF CONSTRUCTION IS 1958 SQ FT.","40000","1958.00","1",,"Clover Schuler",,,,,,,"565.22"
"BLDG-2013-00641","8461 169TH AVE NE
REDMOND, WA 98052
(47.67344914400047, -122.11514980099969)","LOT 1 UNITS 101 & 102","125059114","Residential","New","2013-01-25T00:00:00.000","2013-02-19T00:00:00.000","Shaughnessy Heights-Lot 1","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2013-00641","Downhill duplex building type 1 includes 5181 sq ft dwelling/ 720 sq ft garage/ 498 sq ft covered porch/deck/patios.This permit includes all options. Option A: Mirrored PlanOption B: Rec Rm on lower level of DD1 Unit adds 456 sq ftOption C: Rec Room on lower level of DD2 unit adds 578 sq ft","585704.71","2779.00","2",,"Jenkins Chan",,"4259498041","HILLCREST 2 LP",,,,"23720.86"
"PLUM-2013-01231","5110 157TH PL NE
REDMOND, WA 98052
(47.65446304900047, -122.1312334639997)","LOT 1","1425059202","Plumbing - OTC","Residential","2013-02-19T00:00:00.000","2013-02-19T00:00:00.000","ANSPACH SHORT PLAT","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/PLUM-2013-01231","(1) Kitchen Sink/ (1) Dishwasher/ (1) Clothes Washer/ (4) Bathroom Sink/ (3) Toilet/ (1) Bathtubs/ (3) Shower/Valve Replacement/ (1) Laundry Tray & Utility Sink/ (1) Electric Water Heater/ (2) Hose Bibs/ (1) Water Service","5000","3142.00",,,"Kim Bansemer",,"3607945557","UNITED PLUMBING",,,,"308.91"
"BLDG-2013-01339","17325 NE 85TH PL
REDMOND, WA 98052
(47.678929466000454, -122.10535905399968)","EAGLE RIM APTS PHASE II BLDG M - Units 226/ 225/ 126/ 125","125059022","Multi-Family","Remodel","2013-02-20T00:00:00.000","2013-02-20T00:00:00.000","EAGLE RIM APARTMENTS","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2013-01339","Remodel 160 sq ft kitchen - 4 units per bldg./ Bldg M units 226/225/ 126/ 125.  This OTC permit replaces expired permit B100468.","2000","316.00","4",,"Christian Hansen",,"2062288593","SALTAIRE CRAFTSMEN LLC",,,,"90.34"
"B120674","15602 NE 107TH CT
REDMOND, WA 98052
(47.69622598300049, -122.13131691099971)","LOT  2","8135000195","Residential","New","2012-11-21T00:00:00.000","2013-02-20T00:00:00.000","Redmond Lane Short Plat (Fullbright)","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/B120674","CONSTRUCTION OF A NEW 2 STORY FIRE-SPRINKLERED SFR CONSISTING OF 3631 SQ FT DWELLING/ 210 SQ FT COVERED PORCH/ 464 SQ FT GARAGE FOR A TOTAL OF 4305 SQ FT.","384811.83","4305.00","1",,"Zuri Hector",,"2063904033","MILESTONE NW LLC",,,,"5059.55"
"MECH-2013-01477","17825 NE 117TH CT
REDMOND, WA 98052
(47.70466022800048, -122.10088582599968)","116TH STREET SHORT PLAT LOT 3","2526059213","Mechanical - OTC","Residential","2013-02-26T00:00:00.000","2013-02-26T00:00:00.000","NE 116TH STREET SHORT PLAT","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/MECH-2013-01477","(1) Gas Appliance and Piping = water heater (2) Gas Piping Only = range and dryer (1) Heating Equipment Including Ductwork/ (6) Vent Fans","8200","4420.00",,,"Karen Kliemann",,"2535370655","KLIEMANN BROTHERS HEATING & A/C",,,,"210.51"
"FIRE-2013-01494","8383 158TH AVE NE
REDMOND, WA 98052
(47.67757899100047, -122.1302898349997)","DDG - STE 380","7198900050","Fire Sprinkler - Commercial","Quick Start","2013-02-26T00:00:00.000","2013-02-26T00:00:00.000","584 OPPORTUNITY BLDG","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-01494","Fire System West is adding and/or relocating sprinklers to accomodate for tenant improvements.","0","0.00",,,"Phi Le",,"2538331248","FIRE SYSTEMS WEST/ INC.",,,,"211.65"
"B120709","8383 158TH AVE NE
Redmond, WA 98052
(47.67757899100047, -122.1302898349997)","SUITE 380 DDG ARCHITECTS","7198900050","Commercial","Tenant Improvement","2012-12-11T00:00:00.000","2013-02-26T00:00:00.000","584 OPPORTUNITY BLDG","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/B120709","ALL INTERIOR - CONSTRUCT NEW CONFERENCE RM/ INSTALL ONE NEW CABINET W/SINK/ INSTALL NEW FLOORING AND INSTALL NEW INTERIOR LIGHTING IN EXISTING SUSPENDED CEILING GRID.  AREA OF CONSTRUCTION 2/109 SF.","60000","2109.00","1","C/O Kennedy Wilson","Dean Adamson",,"2535845308","JOSEPH LAHFDANY GENERAL CONTRACTOR INC","Joe Donahou",,,"565.22"
"SITE-2013-01506","8400 167TH AVE NE
REDMOND, WA 98052
(47.6780099450005, -122.11800996199969)",,"125059124","Civil Site Construction Permit","Plat","2013-02-26T00:00:00.000","2013-02-26T00:00:00.000","The Retreat","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/SITE-2013-01506","THE RETREAT/Robert Pantley Construction of 14 new townhome units within four buildings and associated site and landscape improvements","0","0.00",,,"Robert Pantley","Paul Beck","4258907488","Natural and Built Environments LLC",,,,"34487.76"
"F120416","16345 CLEVELAND ST
Redmond, WA 98052
(47.67313913100048, -122.12216736999972)",,"7198800016","Fire Sprinkler - Commercial","New System","2012-09-12T00:00:00.000","2013-02-26T00:00:00.000","CENTER POINTE","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/F120416","INSTALL NEW FIRE SPRINKLER SYSTEM -  WET & DRY SPRINKLER SYSTEM PER NFPA 13 - 2/216 HEADS/ TWO RISER/SUPPLIES/ ONE STANDPIPE SYSTEM (2 STAIRWAYS)","0","0.00",,,"Bill McKay",,"4254835657","ADVANCED FIRE PROTECTION/ INC.",,,,"5456.29"
"B120743","8809 148TH AVE NE
Redmond, WA 98052
(47.68166689800046, -122.14401669899968)","SENSITECH/PLAYNEWORK W WILLOWS BLDG E","9286900050","Commercial","Tenant Improvement","2012-12-28T00:00:00.000","2013-02-27T00:00:00.000","SENSITECH INC","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/B120743","SENSITECH IS DOWNSIZING ON 2ND FLOOR & PLAYNETWORK IS REMODELING 1ST FLOOR AND EXPANDING ON 2ND FLOOR.  INTERIOR CHANGES - NEW INTERIOR PARTITIONS/ NEW DOORS/ NEW RELITE/ NEW ELEVATOR/ 2 HCP RESTROOMS/ NO CHANGE OF USE.  AREA OF CONSTRUCTION IS 6/734 SQ FT. REMOVE INTERIOR STAIRS AND INFILL FLOOR.","254000","6734.00","1",,"IMPORT IMPORT",,"4257759400","DAVIS SCHUELLER INC",,,,"1521.22"
"FIRE-2013-05586","14820 NE 36TH ST
Redmond, WA 98052
(47.64144550500049, -122.1415870409997)",,"6448300010","Fire Life Safety","Tenant","2013-06-24T00:00:00.000","2013-03-01T00:00:00.000","6259/ MICROSOFT #99","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-05586","MICROSOFT  BLDG # 99 & CHILLER PLANT/CAFETERIA","0","0.00",,,,,,,"Roy Wechselberger",,,"700"
"FIRE-2013-02843","17825 NE 65TH ST
Redmond, WA 98052
(47.663959013000465, -122.10237925099972)","C-100","1225059189","Fire Life Safety","Tenant","2013-04-10T00:00:00.000","2013-03-01T00:00:00.000","118","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-02843","PROCAR NW/ INC.","0","0.00",,,,,,,,,,"200"
"FIRE-2013-03723","8004 AVONDALE WAY NE
Redmond, WA 98052
(47.67534932500047, -122.10802889199971)",,"125059046","Fire Life Safety","Tenant","2013-05-08T00:00:00.000","2013-03-01T00:00:00.000","203 AA AUTO SERVICE","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-03723","AA AUTO SERVICE CTR & DETAIL/ INC.","0","0.00",,,,,,,,,,"200"
"FIRE-2013-05474","7822 178TH PL NE
Redmond, WA 98052
(47.67395967300047, -122.10213957699972)","# 1","1225059004","Fire Life Safety","Tenant","2013-06-20T00:00:00.000","2013-03-01T00:00:00.000","254 ASSOCIATED PETROLEUM P.  /SCHULTZ DISTRIB. ","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-05474","ASSOCIATED PETROLEUM PRODUCTS INC","0","0.00",,,,,,,"Taryn Miller",,,"100"
"FIRE-2013-03998","2122 152ND AVE NE
Redmond, WA 98052
(47.629929810000476, -122.1377393409997)",,"2625059046","Fire Life Safety","Tenant","2013-05-14T00:00:00.000","2013-03-01T00:00:00.000","5049 SILVER CLOUD INN","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-03998","SILVER CLOUD INN","0","0.00",,,,,,,"Attn: Accn'ts Payable Christopher Marzec",,,"100"
"FIRE-2013-05560","8102 161ST AVE NE
REDMOND, WA 98052
(47.675519944000484, -122.12549655799972)","201","6719700370","Fire Life Safety","Tenant","2013-06-21T00:00:00.000","2013-03-01T00:00:00.000","660 NOR-WEST BLDG","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-05560","JARRETT/ GARY W./ DDS","0","0.00",,,,,,,"Gary & Cynthia Jarrett",,,"100"
"FIRE-2013-05614","4111 156TH AVE NE
Redmond, WA 98052
(47.646805832000496, -122.13245972199968)",,"1425059068","Fire Life Safety","Tenant","2013-06-24T00:00:00.000","2013-03-01T00:00:00.000","4260/ MICROSOFT #50 GARAGE","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-05614","MICROSOFT/ GARAGE FOR BLDG 50","0","0.00",,,,,,,,,,"100"
"FIRE-2013-05562","8105 166TH AVE NE
Redmond, WA 98052
(47.67576990800046, -122.11915993999969)","103","6719700370","Fire Life Safety","Tenant","2013-06-21T00:00:00.000","2013-03-01T00:00:00.000","660 NOR-WEST BLDG","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-05562","EASTSIDE DENTAL ARTS","0","0.00",,,,,,,"Lester Brown",,,"100"
"FIRE-2013-02834","17825 NE 65TH ST
Redmond, WA 
(47.663959013000465, -122.10237925099972)","C-115","1225059189","Fire Life Safety","Tenant","2013-04-10T00:00:00.000","2013-03-01T00:00:00.000","118","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-02834","JIM'S AUTOMOTIVE","0","0.00",,,,,,,"Jim Mineo",,,"200"
"FIRE-2013-03416","15212 NE 95TH ST
Redmond, WA 98052
(47.685839703000454, -122.1373498689997)",,"9430500100","Fire Life Safety","Tenant","2013-04-29T00:00:00.000","2013-03-01T00:00:00.000","52 Lake WA School District","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-03416","SCHOOL SUPPORT SERVICES","0","0.00",,,,,,,"Attn: Accounts Payable Richard Ellison",,,"600"
