Permit Number,Location,Additional Reference,Permit Type,Work Class,Issue Date,Project Name,Permit Details,Work Description,Valuation,Number of Units,Owner,Applicant,Contractor,Company,Tenant,Total Fees,Zip Codes
BLDG-2019-04386,"16525 NE 47TH ST
REDMOND, WA 98052",,Residential,New,07/23/2019,_Duke's Landing-Lot 10,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-04386,RNEW - Dukes Landing - Lot 10 - Gardner Plan - Contemporary Elevation - Construction of a new 2 story plus basement/ garage right/ fire sprinkled single-family residence including 3/517 sf of dwelling area/ a 762 sf garage/ a 87 sf covered entry porch/ a 101 sf balcony and a 241 sf covered porch. Total area of construction = 4/708 sf.,465644.15,1,TOLL BROS./ INC.,Kyle Jesus,CAMWEST/ A TOLL BROTHERS CO,CAMWEST/ A TOLL BROTHERS CO,,11738.51,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
MECH-2019-04380,"18001 UNION HILL RD
REDMOND, WA 98052
(47.67613, -122.097182)",,Mechanical Plan Review,Commercial,07/01/2019,3509_UPS TRUCK WASH,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/MECH-2019-04380,UPS - Truck Wash - replace (2) existing RTU's with new - Customer paid for (2) rooftop HVAC units.,19000,,BT-OH LLC,Kim Lange,,HERMANSON COMPANY LLP,,733.22,17806
,,,,,,,,,,,,,,,,,
FIRE-2013-07859,"4604 148TH AVE NE
REDMOND, WA 98052
(47.651097, -122.143121)",,Fire Life Safety,Tenant,08/01/2019,Allied Steel Fabricators (4604 148th),https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-07859,Allied Steel Fabricators (4604),0,,,,,,,4408.13,17806
BLDG-2019-00512,"11235 165TH CT NE
REDMOND, WA 98052
(47.701388, -122.120325)",,Residential,Accessory Structure,07/03/2019,8658_DEVORE JOHN,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-00512,RES. ACC. STRUCTURE - Construct a new/ detached/ unheated garage. Area of work: 1080 sq ft.,49593.6,1,JOHN DEVORE,George Belmore,Legacy Buildings LLC,LEGACY BUILDINGS LLC,,1452.46,17806
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
FIRE-2019-03903,"13488 NE 110TH PL
REDMOND, WA 98052",,Fire Sprinkler - Residential,New System,07/10/2019,_Terrene at 132nd-Lot 10,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2019-03903,Terrene @ 132ND - Lot 10 - Install a NFPA 13D flow through system. 29 heads,0,,TERRENE,Mike Hutchinson,,EVERGREEN FIRE PROTECTION/ INC.,,548.48,
FIRE-2013-07915,"15169 NE 24TH ST
REDMOND, WA 98052
(47.631489, -122.138772)",,Fire Life Safety,Tenant,08/01/2019,Pho Hoa,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-07915,Pho Hoa,0,,,,,,,300.73,17806
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ROW-2019-05121,"4580 150TH AVE NE
REDMOND, WA 98052
(47.650849, -122.140438)",,Right of Way,ROW,07/17/2019,ROW Zayo,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/ROW-2019-05121,New underground 213'.  Pull through existing conduit 251'.,0,,,Rich Powers,,,,508.21,17806
,,,,,,,,,,,,,,,,,
FIRE-2013-09976,"11351 WILLOWS RD NE
REDMOND, WA 98052
(47.702362, -122.152874)",,Fire Life Safety,Tenant,08/01/2019,Universal Avionics,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-09976,Universal Avionics,0,,,,,,,2102.22,17806
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ELEC-2019-05257,"17474 NE 98TH WAY
REDMOND, WA 98052
(47.687557, -122.106669)",,Electrical - OTC,Residential,07/18/2019,17589_TU QIANG+JUAN LI-TTEES,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/ELEC-2019-05257,SOPA #59936 - Li residence garage  (425) 258-5127  - INSTALLATION OF A CIRCUIT TO ACCOMMODATE AN EV CHARGER Customer Paid For:(1) Circuits,850,,Qiang Tu,Darin Ford,,SEAHURST ELECTRIC INC,,195.32,17806
,,,,,,,,,,,,,,,,,
ROW-2019-05187,"16547 NE 48TH CT
REDMOND, WA 98052
(47.652355, -122.119102)",,Right of Way,ROW,07/22/2019,ROW Frontier,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/ROW-2019-05187,Pull 79 feet/ hand dig 59 feet/ bore 30 feet,0,,,Krystal Buoy,,,,508.21,17806
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
FIRE-2019-05188,"10785 WILLOWS RD NE
REDMOND, WA 98052
(47.697235, -122.151892)",,Fire Fixed Suppression,New System,07/24/2019,SEA119 WCD,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2019-05188,Facebook - Kitchen hood,0,,Preylock Redmond LLC,Keith purnell,,JOHNSON CONTROLS FIRE PROTECTION LP,,576.72,17806
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ROW-2019-05553,"3925 156TH AVE NE
REDMOND, WA 98052
(47.645381, -122.132407)",,Right of Way,ROW,07/31/2019,ROW PSE-Power,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/ROW-2019-05553,Crew to set up along the eb turn lane of NE 40th Street to excavate and remove existing vault at PV2 and install new vault with sloped riser to match grade of sidewalk in same location.  Excavate 10' on east and west sides of vault to pull out existing wire from vault.,0,,,JEREMY EUSEBIO,,,,508.21,17806
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
FIRE-2018-05537,"12101 172ND AVE NE
REDMOND, WA 98052
(47.7083, -122.110746)",,Fire Life Safety,Building,07/01/2019,(LWSD) Clara Barton Elementary School,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2018-05537,(LWSD) Clara Barton Elementary School,0,,,,,,,201.48,17806
ELEC-2019-05575,"16490 NE 47TH ST
REDMOND, WA 98052
(47.65158, -122.118826)",,Electrical - OTC,Residential,07/31/2019,_Duke's Landing-Lot 2,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/ELEC-2019-05575,SOPA #60109 Dukes Landing Lot 2 - Data/ phone/ cable and security Customer Paid For:(1) Low Voltage,2500,,TOLL BROS./ INC.,Shannon Ford,,BOBS HEATING & AIR CNDTNG LLC,,121.73,17806
FIRE-2019-04833,"4306 156TH AVE NE
REDMOND, WA 98052
(47.647925, -122.132256)",BLDG YY,Fire Alarm,Existing System Modification,07/17/2019,1343_Avalon Bay Eaves Campus Bldg YY,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2019-04833,Avalon Bay Eaves Campus Bldg YY-THE SCOPE OF THIS PROJECT IS TO REPLACE THE EXISTING FIRE ALARM CONTROL PANEL. PAID FOR CONTROL PANEL AND 1 DEVICE,0,,,Scott Jerke,,SMITH FIRE SYSTEMS INC,,780.7,17806
ELEC-2019-04907,"4724 165TH PL NE
REDMOND, WA 98052",,Electrical - OTC,Residential,07/03/2019,_Duke's Landing-Lot 19,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/ELEC-2019-04907,SOPA #59704 Duke's Landing � Lot 19 � NEW 200 AMP SFR; NEW 100 AMP TEMP POLE; UFER Customer Paid For:(1) Temporary Service/ (1) Service - New/ (1) Ground Ufer - per inspector visit,10000,,TOLL BROS./ INC.,Provident Electric,,PROVIDENT ELECTRIC INC,,295.66,
ELEC-2019-04756,"15606 NE 40TH ST
REDMOND, WA 98052
(47.646039, -122.132133)",BLDG H,Electrical - OTC,Multi-Family,07/02/2019,Avalon Bay Eaves Campus-Bldg H,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/ELEC-2019-04756,Avalon Bay Eaves Campus-Bldg H - The scope of this project is to replace the existing fire alarm control panel. Paid for 1 Fire Alarm.,1546,,,Scott Jerke,,SMITH FIRE SYSTEMS INC,,141.78,17806
MECH-2019-05405,"7432 140TH PL NE
REDMOND, WA 98052
(47.671475, -122.152482)",,Mechanical - OTC,Residential,07/24/2019,12350_RAO VIVEK RESHMA,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/MECH-2019-05405,Mehta Residence - Install earthquake protection valve on back side of home - Customer paid for (1) gas piping.,500,,VIVEK+MEHTA RESHMA RAO,Reshma Mehta,,BJ's HEATING/ SHEET METAL,,127.52,17806
PLUM-2019-05229,"14820 REDMOND WAY
REDMOND, WA 98052
(47.675167, -122.142414)",BLDG 7 127,Plumbing - OTC,Multi-Family,07/17/2019,SAMMAMISH RIDGE APTS-BLDG 7,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/PLUM-2019-05229,SOPA #59924  BLDG 7 127  HALL CLOSET 4256367084 THE SUMMIT UNIT 7-127  Paid for 1 Electric Water Heater,1456,,,FAST PERMITS,,FAST WATER HEATER CO,,127.74,17806
WTR-2019-05153,"15422 NE 52ND CT
REDMOND, WA 98052
(47.654669, -122.133221)",,Water Meter,Install - Residential,07/16/2019,Project Dream Short Plat,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/WTR-2019-05153,RNEW � Project Dream � Lot 1 � Veeravailli - Construction of a new 2 story/ Garage Right/ fire sprinkled single-family residence including 4/010 sf of dwelling area/ a 583 sf garage/ a 38 sf covered entry porch/ and 39 sf uncovered front deck. Total area of construction = 4/670 sf.,496052.06,,Sreedhar Veeravalli,Sreedhar Veeravalli,BONTERRA CONSTRUCTION,BONTERRA CONSTRUCTION,,9132.34,17806
ELEC-2019-05568,"12066 159TH AVE NE
REDMOND, WA 98052",,Electrical - OTC,Residential,07/31/2019,_Greystone IV-Lot 178,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/ELEC-2019-05568,SOPA #60101 Greystone IV - Lot 178 -NEW 200 AMP SFR; NEW 100 AMP TEMP POLE; UFER; LOW VOLT Customer Paid For:(1) Low Voltage/ (1) Temporary Service/ (1) Service - New/ (1) Ground Ufer - per inspector visit,10000,,Greystone Builders LLC,Provident Electric,,PROVIDENT ELECTRIC INC,,322.42,
MECH-2019-05103,"11965 159TH AVE NE
REDMOND, WA 98052",,Mechanical - OTC,Residential,07/11/2019,_Kensington Lane-Lot 7,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/MECH-2019-05103,SOPA #59838 Kensington Lane-Lot 7. Paid for 1 Fireplace/Insert/Wood or Pellet Stove,3007.38,,Steve Burnstead Construction LLC,Kimo Combs,,CRESSY DOOR COMPANY,,127.52,
MECH-2019-05390,"7601 159TH PL NE
REDMOND, WA 98052
(47.671902, -122.127802)",,Mechanical Plan Review,Mixed Use,07/26/2019,_BLACKBIRD,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/MECH-2019-05390,Blackbird - Mini-split add - Addition of mini-split ductless wall mounted units to select residential units per plans as well as the addition of the associated exterior heat pumps to the rooftop.  Original permit was MECH-2018-06482. Customer paid for (22) ductless heads and (22) heat pumps.,110000,,,Halie Schultz,,EMERALD AIRE INC,,3405.7,17806
BLDG-2019-04386,"16525 NE 47TH ST
REDMOND, WA 98052",,Residential,New,07/23/2019,_Duke's Landing-Lot 10,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-04386,RNEW - Dukes Landing - Lot 10 - Gardner Plan - Contemporary Elevation - Construction of a new 2 story plus basement/ garage right/ fire sprinkled single-family residence including 3/517 sf of dwelling area/ a 762 sf garage/ a 87 sf covered entry porch/ a 101 sf balcony and a 241 sf covered porch. Total area of construction = 4/708 sf.,465644.15,1,TOLL BROS./ INC.,Kyle Jesus,CAMWEST/ A TOLL BROTHERS CO,CAMWEST/ A TOLL BROTHERS CO,,11738.51,
ROW-2019-05042,"4500 150TH AVE NE
REDMOND, WA 98052
(47.650569, -122.14043)",,Right of Way,ROW,07/11/2019,row microsoft,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/ROW-2019-05042,Locate two paved-over existing utility vault lids/ raise to road grade.,0,,,Desire George,,,,508.21,17806
FIRE-2013-06501,"8900 161ST AVE NE
REDMOND, WA 98052
(47.681585, -122.125529)",165,Fire Life Safety,Tenant,07/01/2019,MOD Pizza,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-06501,MOD Pizza,0,,,,,,,300.73,17806
ELEC-2019-05472,"3850 148TH AVE NE
REDMOND, WA 98052
(47.643558, -122.142888)",,Electrical - OTC,Commercial,07/29/2019,527_MICROSOFT-BLDG 117 (STUDIO H),https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/ELEC-2019-05472,SOPA #60039 - Microsoft bldg. 117 Rm 2605 taking Meter readings for the Quarterly inspection of UPS Battery system PER OEM specs. Customer Paid For:(1) Circuits 425-766-1801,50,,Microsoft Corporation,Richard Wilson,,CB RICHARD ELLIS INC,,84.42,17806
ELEC-2019-04882,"16450 NE 99TH ST
REDMOND, WA 98052
(47.688885, -122.120379)",,Electrical - OTC,Residential,07/02/2019,11159_NELSON RONALD,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/ELEC-2019-04882,Nelson Residence - lower floor - rewire bottom floor rec room for revised lighting and receptacles.  Customer paid for (2) new circuits.,860,,RONALD A+TAMRA A NELSON,Mohammad Mirzanejad,,REZELECTRIC LLC,,195.32,17806
MECH-2019-04709,"8410 154TH AVE NE
REDMOND, WA 98052
(47.676919, -122.134521)",,Mechanical Plan Review,Commercial,07/24/2019,Westpark-Bldg C 1st & 2nd Floor,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/MECH-2019-04709,Change of Occupancy - Westpark - Bldg C - Floors 1 & 2 - Four roof mounted VRF condensing units. Four roof mounted server room AC units. Twelve rooftop units. Three roof mounted DOAS units. Fiftytwo indoor VRF fan coil units. One toilet roof mounted exhaust fan. Two pantry roof mounted exhaust fans. One fume hood roof mounted exhaust fan. Ductwork/ grilles/ diffusers/ and control devices for partial TI of floors 1 and 2. Gas piping for 4 AC/ 12 AH/ 1 Gas water heater/ 3 DOAS Units. Paid for 4 Air conditioner/ 12 Air Handlers/ 3 ductworks system/ 4 exhaust fan/ 53 fan coil units/ 20 gas piping/ 1 gas water heater/ 3 DOAS units and 5 Condensing units.,1951000,,KEPPEL-KBS WESTPARK LLC/ATT,Rob Johnson,,UNIVERSITY MECHANICAL CONTRACTORS/ INC.,,43627.53,17806
FIRE-2019-05131,"11996 159TH AVE NE
REDMOND, WA 98052",,Fire Sprinkler - Residential,New System,07/17/2019,_Greystone IV-Lot 145,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2019-05131,Greystone IV-Lot 145 - Install NFPA 13D 20136 multipurpose fire sprinkler system. 44 heads,0,,Greystone Builders LLC,Jennifer Gibbs,,PELTRAM PLUMBING LLC,,649.85,
FIRE-2019-04556,"2010 148TH AVE NE
REDMOND, WA 98052
(47.627929, -122.143029)",,Fire Sprinkler - Commercial,Existing System Modification,07/19/2019,Sears Auto Center-Retail Improvements,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2019-04556,Sears Auto Center Overlake Retail - Add and relocate sprinklers/ install new backflow on existing riser and dry pipe system to exterior seating area. (133) heads and (1) riser,0,,,Donald Koval,,VIKING AUTOMATIC SPRINKLER CO,,998.87,17806
MECH-2019-04331,"8271 154TH AVE NE
REDMOND, WA 98052
(47.676417, -122.13435)",,Mechanical Plan Review,Commercial,07/08/2019,895_WESTPARK BUSINESS PARK-BLDG D,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/MECH-2019-04331,Westpark Building D - Replace (1) old AAON Rooftop package unite for (1) new Trane rooftop package unit.,20650,,KEPPEL-KBS WESTPARK LLC/ATT,David Denisiuk,,PACIFIC AIR CONTROL INC,,791.95,17806
PLUM-2019-05495,"15660 NE 36TH ST
REDMOND, WA 98052
(47.642506, -122.128866)",,Plumbing - OTC,Commercial,07/26/2019,Microsoft-Bldg 19 All Gender RR,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/PLUM-2019-05495,Microsoft - BLDG 19 - All Gender RR 1st & 2nd Floor plus kitchenettes - Plumbing work associated with replacing existing lavs/ installing kitchenette sinks/ installing floor drains and installing fixtures for two new single use restrooms within an existing building. Includes (2) floor drains/ (14) sinks(bathroom)/ (2) sinks(kitchen) and (2)toilets.  Total of (20) fixtures.,40000,,MICROSOFT CORPORATION,Emil Caga-anan,,ACCO ENGINEERED SYSTEMS DBA BELLEVUE MECHANICAL,,750.46,17806
ELEC-2019-05523,"4420 148TH AVE NE
REDMOND, WA 98052
(47.649194, -122.14302)",,Electrical - OTC,Commercial,07/30/2019,944_MICROSOFT-BLDG 127,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/ELEC-2019-05523,SOPA #60071 - Microsoft BLDG 127 Reconfigure Burton Smith 2nd Floor 206-963-7014 - Provide and install (10) various port Cat6 Patch Panels Customer Paid For:(10) Low Voltage,3229.45,,MICROSOFT CORPORATION,Phyllis Reich,Cochran/ Inc,COCHRAN INC,,188.6,17806
ELEC-2019-04771,"4306 156TH AVE NE
REDMOND, WA 98052
(47.647925, -122.132256)",BLDG VV,Electrical - OTC,Multi-Family,07/02/2019,1340_Avalon Bay Eaves Campus Bldg VV,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/ELEC-2019-04771,Avalon Bay Eaves Campus Bldg VV-The scope of this project is to replace the existing fire alarm control panel. Paid for 1 Fire Alarm.,1546,,,Scott Jerke,,SMITH FIRE SYSTEMS INC,,141.78,17806
FIRE-2019-05009,"15301 NE 90TH ST
REDMOND, WA 98052
(47.682205, -122.135665)",170,Fire Alarm,Quick Start No Transmitter,07/10/2019,EMB Management-Suite 170,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2019-05009,SOPA #59759  EMB-Suite 170 ADDING 6) AUDIO VISUAL FIRE ALARM NOTIFICATION DEVICES TO EXISTING FA SYSTEM. PLANS ON SITE,0,,KEPPEL-KBS WESTPARK LLC/ATT,Jules Mayer,,WESTERN STATES FIRE PROTECTION INC,,475.97,17806
MECH-2019-04869,"9129 161ST PL NE
REDMOND, WA 98052
(47.683296, -122.12689)",,Mechanical - OTC,Multi-Family,07/12/2019,1788_MEADOWVIEW VILLAGE BLDG 13,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/MECH-2019-04869,SOPA #59620 - Meadowview BLDG 13 Unit 1301 Customer paid for (1) Air Furnace 4257470677,3600,,Javier Lopez Ullod,Muhammad Faisal,,ALL HI TECH HEATING & AIR CONDITIONING  LLC,,127.52,17806
FIRE-2019-04818,"15606 NE 40TH ST
REDMOND, WA 98052
(47.646039, -122.132133)",BLDG L,Fire Alarm,Existing System Modification,07/16/2019,Avalon Bay Eaves Campus-Bldg L,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2019-04818,Avalon Bay Eaves Campus-Bldg L -THE SCOPE OF THIS PROJECT IS TO REPLACE THE EXISTING FIRE ALARM CONTROL PANEL. PAID FOR CONTROL PANEL AND 1 DEVICE,0,,,Scott Jerke,,SMITH FIRE SYSTEMS INC,,780.7,17806
