Location,Apply Date,Issue Date,Project Name,Permit Details,Work Description,Valuation,Sq Ft,Company,Zip Codes
"16525 NE 47TH ST
REDMOND, WA 98052",07/02/2019,07/23/2019,_Duke's Landing-Lot 10,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-04386,RNEW - Dukes Landing - Lot 10 - Gardner Plan - Contemporary Elevation - Construction of a new 2 story plus basement/ garage right/ fire sprinkled single-family residence including 3/517 sf of dwelling area/ a 762 sf garage/ a 87 sf covered entry porch/ a 101 sf balcony and a 241 sf covered porch. Total area of construction = 4/708 sf.,465644.15,4708,CAMWEST/ A TOLL BROTHERS CO,
"16525 NE 47TH ST
REDMOND, WA 98052",07/02/2019,07/23/2019,_Duke's Landing-Lot 10,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-04386,RNEW - Dukes Landing - Lot 10 - Gardner Plan - Contemporary Elevation - Construction of a new 2 story plus basement/ garage right/ fire sprinkled single-family residence including 3/517 sf of dwelling area/ a 762 sf garage/ a 87 sf covered entry porch/ a 101 sf balcony and a 241 sf covered porch. Total area of construction = 4/708 sf.,465644.15,4708,CAMWEST/ A TOLL BROTHERS CO,
"15417 NE 52ND CT
REDMOND, WA 98052
(47.654683, -122.133243)",07/01/2019,08/15/2019,_Project Dream-Lot 5,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-04837,Project Dream-Lot 5- 2 story fore sprinkled/ Pacharu plan/ garage right. Dwelling 4189 SF/ Garage 631 SF/ Covered patio 221 SF and covered porch 40 SF. Total 5081 SF,529005.91,5081,BONTERRA CONSTRUCTION,17806
"17801 NE 117TH CT
REDMOND, WA 98052
(47.704705, -122.101124)",06/25/2019,08/12/2019,_116th St Short Plat-Lot 8,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-01331,RNEW - 116th St Short Plat - Lot 8 - Construction of a new 2 story plus basement/ fire sprinkled/ garage right/ SFR - 4/532 SF Dwelling - 455 SF Garage - 131 SF Covered Rear Deck - 87 SF Covered Front Porch - 5/205 SF Total,558542.92,5205,EKAM CONSTRUCTION,17806
"12090 159TH CT NE
REDMOND, WA 98052",06/20/2019,07/11/2019,_Greystone IV-Lot 158,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-04513,RNEW � Greystone IV � Lot 158 � Plan #4867 B - Construction of a new 2 story/ Garage Right/ fire sprinkled single-family residence including 3/806 sf of dwelling area/ a 443 sf garage/ a 65 sf covered entry porch and a 244 sf covered Patio. Total area of construction = 4/558 sf.,478366.22,4558,GREYSTONE BUILDERS LLC,
"12080 159TH CT NE
REDMOND, WA 98052",06/20/2019,07/11/2019,_Greystone IV-Lot 157,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-04512,RNEW � Greystone IV � Lot 157 � Plan #4810 A - Construction of a new 2 story/ Garage Right/ fire sprinkled single-family residence including 3/634 sf of dwelling area/ a 570 sf garage/ a 155 sf covered entry porch and a 81 sf covered patio. Total area of construction = 4/440 sf.,460450.54,4440,GREYSTONE BUILDERS LLC,
"12080 159TH CT NE
REDMOND, WA 98052",06/20/2019,07/11/2019,_Greystone IV-Lot 157,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-04512,RNEW � Greystone IV � Lot 157 � Plan #4810 A - Construction of a new 2 story/ Garage Right/ fire sprinkled single-family residence including 3/634 sf of dwelling area/ a 570 sf garage/ a 155 sf covered entry porch and a 81 sf covered patio. Total area of construction = 4/440 sf.,460450.54,4440,GREYSTONE BUILDERS LLC,
"12090 159TH CT NE
REDMOND, WA 98052",06/20/2019,07/11/2019,_Greystone IV-Lot 158,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-04513,RNEW � Greystone IV � Lot 158 � Plan #4867 B - Construction of a new 2 story/ Garage Right/ fire sprinkled single-family residence including 3/806 sf of dwelling area/ a 443 sf garage/ a 65 sf covered entry porch and a 244 sf covered Patio. Total area of construction = 4/558 sf.,478366.22,4558,GREYSTONE BUILDERS LLC,
"15439 NE 52ND CT
REDMOND, WA 98052
(47.654652, -122.133156)",06/17/2019,08/07/2019,_Project Dream-Lot 4,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-04373,Dream Short plat Lot 4 - Plan Uppala. Fire sprinkled/ 2 story Garage right. Dwelling 4206 SF/ Garage 571 SF/ Covered front porch 49 SF/ Covered patio 170 SF/ Total 4996 SF,526056.38,4996,BONTERRA CONSTRUCTION,17806
"12086 159TH AVE NE
REDMOND, WA 98052",06/11/2019,07/08/2019,_Greystone IV-Lot 176,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-04236,RNEW - Greystone IV - Lot 176 - Plan ID# 4050.6.0B - Construction of a new 2 story plus habitable attic/ garage right fire sprinkled single-family residence including 4/069 sf of dwelling area/ a 685 sf garage/ a 75 sf covered entry porch and a 234 sf covered patio. Total area of construction = 5/063 sf.,520026.31,5063,GREYSTONE BUILDERS LLC,
"12086 159TH AVE NE
REDMOND, WA 98052",06/11/2019,07/08/2019,_Greystone IV-Lot 176,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-04236,RNEW - Greystone IV - Lot 176 - Plan ID# 4050.6.0B - Construction of a new 2 story plus habitable attic/ garage right fire sprinkled single-family residence including 4/069 sf of dwelling area/ a 685 sf garage/ a 75 sf covered entry porch and a 234 sf covered patio. Total area of construction = 5/063 sf.,520026.31,5063,GREYSTONE BUILDERS LLC,
"11996 159TH AVE NE
REDMOND, WA 98052",06/07/2019,06/28/2019,_Greystone IV-Lot 145,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-04133,Greystone IV-Lot 145 - 2 story plus habitable attic/ fire sprinkled/ garage right - plan LS4050.6.0A/ Elevation A. Dwelling: 4/004 sf/ Garage: 449 sf/ Covered Entry Porch: 60 sf/ Covered Patio: 234 sf. Total: 4/747 sf,500864.84,4747,GREYSTONE BUILDERS LLC,
"12085 159TH CT NE
REDMOND, WA 98052",06/05/2019,06/26/2019,Greystone PRD Phase 4,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-04053,Greystone IV-Lot 183 - Fire sprinkled 2 story+habitable attic/ garage left. Plan - LS4040.7.0B Elevation B Dwelling:3881SF/ Garage:418 SF/ Covered Entry Porch:131SF/ Covered Patio: 233SF/ Total: 4/663 SF,486038.91,4663,GREYSTONE BUILDERS LLC,
"16481 NE 47TH ST
REDMOND, WA 98052",05/31/2019,06/21/2019,_Duke's Landing-Lot 5,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-03728,RNEW � Duke's Landing � Lot 5 � Enatai Craftsman - Construction of a new 2-stories + basement/ garage right/ fire sprinkled single-family residence including 3/934 sf of dwelling area/ a 680 sf garage/ a 64 sf covered entry porch/ a 146 sf porte cochere/ a 92 sf covered front deck and a 290 sf covered rear porch. Total area of construction = 5/206 sf.,518730.58,5206,CAMWEST/ A TOLL BROTHERS CO,
"4724 165TH PL NE
REDMOND, WA 98052",05/24/2019,06/17/2019,_Duke's Landing-Lot 19,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-02982,RNEW � Duke's Landing � Lot 19 � Ballard w/ Basement Plan - Construction of a new 3 story/ Garage Left/ fire sprinkled single-family residence including 4/221 sf of dwelling area/ a 421 sf garage/ a 52 sf covered entry porch/ a 124 sf covered front deck and a 220 sf covered rear deck. Total area of construction = 5/038 sf.,530050.91,5038,CAMWEST/ A TOLL BROTHERS CO,
"12070 159TH CT NE
REDMOND, WA 98052",05/14/2019,06/11/2019,_Greystone IV-Lot 156,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-03488,RNEW � Greystone IV � Lot 156 � Plan LS 4040.7.0A - Construction of a new 2-stories plus habitable attic/ garage right/ fire sprinkled single-family residence including 3/752 sf of dwelling area/ a 418 sf garage/ a 129 sf covered entry porch and a 233 sf covered patio. Total area of construction = 4/532 sf.,473683.04,4532,GREYSTONE BUILDERS LLC,
"12060 159TH CT NE
REDMOND, WA 98052",05/02/2019,05/22/2019,_Greystone IV-Lot 155,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-03164,Greystone IV-Lot 155 Fire sprinkled 2 story/ garage right plan 4838.6 Elevation B. Dwelling 3/757 SF/ garage 538 SF/ covered porch 71 SF / covered patio 125 SF. total 4/491 SF,471201.95,4491,GREYSTONE BUILDERS LLC,
"11397 174TH AVE NE
REDMOND, WA 98052",05/02/2019,09/06/2019,_Hawthorne Lane-Lot 23,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-03126,Hawthorne Lane-Lot 23 Fire sprinkled/ 2-story plus habitable attic/ plan HP 5-garage right. Dwelling 3/410 sq. ft./ covered entry porch 50 sq. ft./ covered patio 104 sq. ft. and garage 410 sq. ft. Total area - 3/974 sq. ft.,422851.26,3974,RICK BURNSTEAD CONSTRUCTION LLC,
"11409 174TH AVE NE
REDMOND, WA 98052",05/01/2019,07/11/2019,_Hawthorne Lane-Lot 24,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-03081,Hawthorne Lane-Lot 24. Fire Sprinkled -2 story with habitable attic/ Plan HP-6/ garage left. Dwelling 3/413 sq. ft./ covered entry porch 106 sq. ft./ covered patio 66 sq. ft. and garage 430 sq. ft. Total area  4/015 sq. ft.,425047.63,4015,RICK BURNSTEAD CONSTRUCTION LLC,
"11409 174TH AVE NE
REDMOND, WA 98052",05/01/2019,07/11/2019,_Hawthorne Lane-Lot 24,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-03081,Hawthorne Lane-Lot 24. Fire Sprinkled -2 story with habitable attic/ Plan HP-6/ garage left. Dwelling 3/413 sq. ft./ covered entry porch 106 sq. ft./ covered patio 66 sq. ft. and garage 430 sq. ft. Total area  4/015 sq. ft.,425047.63,4015,RICK BURNSTEAD CONSTRUCTION LLC,
"11431 174TH AVE NE
REDMOND, WA 98052",04/25/2019,06/27/2019,_Hawthorne Lane-Lot 25,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-02924,Hawthorne Lane-Lot 25 Plan HP-2. Fire sprinkled/ garage right/ 2-story plus habitable attic. Dwelling 3/497 SF/ covered porch 52 SF/ Covered patio area 150 SF/ and garage area of 440 SF.  Total - 4/139 SF,436812.63,4139,RICK BURNSTEAD CONSTRUCTION LLC,
"11453 174TH AVE NE
REDMOND, WA 98052",04/22/2019,06/06/2019,_Hawthorne Lane-Lot 26,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-02809,RNEW � Hawthorne Lane � Lot #26 � Plan HP-1M - Construction of a new 2 story + loft/ Garage Left/ fire sprinkled single-family residence including 3/341 sf of dwelling area/ a 424 sf garage/ a 37 sf covered entry porch and a 99 sf covered patio. Total area of construction = 3/901 sf.,414550.27,3901,RICK BURNSTEAD CONSTRUCTION LLC,
"15912 NE 120TH ST
REDMOND, WA 98052",04/19/2019,05/09/2019,_Greystone IV-Lot 179,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-02774,Greystone IV-Lot 179 Fire sprinkled/ 2 story garage right/ plan LS4867.5.1A. Dwelling 3/805 SF/ Garage 443 SF/ Covered entry porch 66 SF/ Covered deck 228 SF/ deck stairs and landing 37 SF. Total 4/579 SF.,479386.15,4579,GREYSTONE BUILDERS LLC,
"6834 141ST CT NE
REDMOND, WA 98052
(47.666406, -122.151292)",04/15/2019,05/28/2019,_Grass Lawn-Lot 1,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-02597,Grass Lawn-Lot 1 2 story fire sprinkled/ garage left Plan 2A. Dwelling 2/958 SF/ garage - 297 SF/ covered front porch - 128 SF/ Covered patio/ 166 SF. Total SF 3/649.,376984.1,3649,MILESTONE NORTHWEST LLC,17806
"11990 159TH AVE NE
REDMOND, WA 98052",04/10/2019,05/02/2019,_Greystone IV-Lot 144,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-02454,Greystone IV-Lot 144 - Fire Sprinkled Garage left 2 story- plan LS4810.6B. Dwelling: 3/646 SF/ Garage: 570 SF/ Covered Entry Porch: 50 SF/  = Total   4/266 SF,452239.3,4266,GREYSTONE BUILDERS LLC,
"15814 NE 51ST ST
REDMOND, WA 98052
(47.654523, -122.129621)",04/09/2019,07/02/2019,_RKK Short Plat-Lot 1,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-01786,RNEW � RKK Short Plat � Lot 1 - Construction of a new 3 story fire-sprinklered single family house. House includes 5/221 SF of dwelling area/ 448 SF garage/ 113 SF covered entry porch/ 212 SF covered rear patio and 168 SF uncovered front deck. Total area of construction = 6/162 SF,650480.87,6162,,17806
"15422 NE 52ND CT
REDMOND, WA 98052
(47.654669, -122.133221)",04/09/2019,06/10/2019,_Project Dream-Lot 1,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-02426,RNEW � Project Dream � Lot 1 � Veeravailli - Construction of a new 2 story/ Garage Right/ fire sprinkled single-family residence including 4/010 sf of dwelling area/ a 583 sf garage/ a 38 sf covered entry porch/ and 39 sf uncovered front deck. Total area of construction = 4/670 sf.,496052.06,4670,BONTERRA CONSTRUCTION,17806
"11885 159TH AVE NE
REDMOND, WA 98052
(47.706183, -122.12669)",04/08/2019,07/16/2019,_Kensington Lane-Lot 13,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-02387,RNEW � Kensington Lane � Lot 13 � Plan #KL-13 - Construction of a new 2 story/ garage left/ fire sprinkled single-family residence including 1/422 sf of dwelling area/ a 239 sf garage/ a 57 sf covered entry porch and a 88 sf covered patio. Total area of construction = 1806 sf.,183627.98,1806,STEVE BURNSTEAD CONSTRUCTION LLC,17806
"11885 159TH AVE NE
REDMOND, WA 98052
(47.706183, -122.12669)",04/08/2019,07/16/2019,_Kensington Lane-Lot 13,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-02387,RNEW � Kensington Lane � Lot 13 � Plan #KL-13 - Construction of a new 2 story/ garage left/ fire sprinkled single-family residence including 1/422 sf of dwelling area/ a 239 sf garage/ a 57 sf covered entry porch and a 88 sf covered patio. Total area of construction = 1806 sf.,183627.98,1806,STEVE BURNSTEAD CONSTRUCTION LLC,17806
"6960 141ST CT NE
REDMOND, WA 98052",04/05/2019,05/30/2019,_Grass Lawn-Lot 6,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-02369,RNEW – Grass lawn – Lot 6 – Plan 4 - Construction of a new 2 story/ Garage Right/ fire sprinkled single-family residence including 3/061 sf of dwelling area/ a 425 sf garage/ a 120 sf covered entry porch and a 209 sf covered Patio. Total area of construction = 3/815 sf.,392040.71,3815,MILESTONE NORTHWEST LLC,
"6974 141ST CT NE
REDMOND, WA 98052",04/04/2019,07/24/2019,_Grass Lawn-Lot 5,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-02330,RNEW � Grass Lawn � Lot 5 � Plan 3 - Construction of a new 2 story/ Garage Left/ fire sprinkled single-family residence including 3/468 sf of dwelling area/ a 433 sf garage/ a 131 sf covered entry porch and a 231 sf covered rear patio. Total area of construction = 4/263 sf.,441385.24,4263,MILESTONE NORTHWEST LLC,
"6974 141ST CT NE
REDMOND, WA 98052",04/04/2019,07/24/2019,_Grass Lawn-Lot 5,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-02330,RNEW � Grass Lawn � Lot 5 � Plan 3 - Construction of a new 2 story/ Garage Left/ fire sprinkled single-family residence including 3/468 sf of dwelling area/ a 433 sf garage/ a 131 sf covered entry porch and a 231 sf covered rear patio. Total area of construction = 4/263 sf.,441385.24,4263,MILESTONE NORTHWEST LLC,
"11970 159TH AVE NE
REDMOND, WA 98052",04/04/2019,04/25/2019,_Greystone IV-Lot 142,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-02333,RNEW – Greystone IV – 142 – 1103-142-LS4858.6.0A - Construction of a new 2 Story/ Garage Left/ fire sprinkled single-family residence including 3/610 sf of dwelling area/ a 453 sf garage/ a 47 sf covered entry porch and a 94 sf covered patio. Total area of construction = 4/204 sf.,447384.5,4204,GREYSTONE BUILDERS LLC,
"6928 141ST CT NE
REDMOND, WA 98052",04/01/2019,04/26/2019,_Grass Lawn-Lot 4,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-02179,RNEW – Grass Lawn – Lot 4 – Plan 1B - Construction of a new 2 story/ Garage Right/ fire sprinkled single-family residence including 3/243 sf of dwelling area/ a 427 sf garage/ a 163 sf covered entry porch and a 226 sf covered rear patio. Total area of construction = 4/059 sf.,416370.25,4059,MILESTONE NW LLC,
"11925 159TH AVE NE
REDMOND, WA 98052",03/28/2019,08/28/2019,_Kensington Lane-Lot 9,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-02005,Kensington Lane-Lot 9 Fire sprinkled Plan KL-4A. garage left/ 2 story habitable attic. Dwelling 3239 SF/ Garage 432 SF/ Covered Front Porch 36 SF. Total:3/707 SF.,397906.33,3707,STEVE BURNSTEAD CONSTRUCTION LLC,
"16487 NE 47TH ST
REDMOND, WA 98052",03/27/2019,04/18/2019,_Duke's Landing-Lot 6,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-01546,RNEW - Duke's Landing - Lot 6 - Gardner Floor Plan - Contemporary Elevation - 2-strories + basement Garage Right - Fire sprinkled single-family residence - 3/517 SF Dwelling/ 762 SF 3 Car Garage/ 87 SF Covered Entry Porch/ 101 SF Covered Front Balcony/ 241 SF Covered Rear Patio - Total area of construction 4/708 SF,465644.15,4708,CAMWEST/ A TOLL BROTHERS CO,
"6910 141ST CT NE
REDMOND, WA 98052",03/27/2019,04/26/2019,_Grass Lawn-Lot 3,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-01977,Grass Lawn-Lot 3 Fire Sprinkled- 2 story/ garage left/ Milestone NW Plan 2B. Dwelling 2/963 SF/ Garage 400 SF/ Covered front porch 140/ Covered rear patio 144 SF. Total 3/647 SF,377186.21,3647,MILESTONE NW LLC,
"13804 NE 98TH ST
KIRKLAND, WA 98033",03/26/2019,08/09/2019,_Rose Hill-Lot 29 Model Home,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-01933,Rose Hill-Lot 29 Model Home AKA Prelude at Rose Hill Plat currently under review. Fire Sprinkled 2 story Garage Right/ Plan 2/612 Elevation A. Dwelling: 2/612 SF/ Garage: 376 SF/ Covered Front Porch: 58 SF/ Total: 3/046 SF.,323644.84,3046,BENCHMARK COMMUNITIES LLC,
"11955 159TH AVE NE
REDMOND, WA 98052",03/22/2019,05/30/2019,_Kensington Lane-Lot 8,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-01861,RNEW – Kensington Lane – Lot 8 – Plan KL-3A - Construction of a new 2 story with loft area/habitable attic/ Garage Right/ fire sprinkled single-family residence including 3/521 SF of dwelling area/ a 432 SF garage/ a 36 SF covered entry porch and a 105 SF uncovered deck. Total area of construction = 4/094 SF,434852.23,4094,STEVE BURNSTEAD CONSTRUCTION LLC,
"15922 NE 120TH ST
REDMOND, WA 98052",03/21/2019,04/15/2019,_Greystone IV-Lot 180,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-01810,Greystone IV-Lot 180 2-storie Fire sprinkled PLan 4862.6 Elevation A. Garage left. Dwelling 3/469 SF/ Garage 440 SF/ Covered entry porch 58 SF/ Covered deck 198 SF. Total 4/165 SF.,436348.99,4165,GREYSTONE BUILDERS LLC,
"15442 NE 52ND CT
REDMOND, WA 98052
(47.654648, -122.133139)",03/18/2019,05/03/2019,_Project Dream-Lot 2,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-01688,RNEW – Project Dream – Lot 2 – Plan Abraham - Construction of a new 2 Story/ Garage Left/ Fire sprinkled - Single-family residence - 4/221 SF of dwelling area - 689 SF garage - 70 SF covered front porch - 164 SF covered rear patio. Total area of construction = 5/144 SF Revision before issuance - Move great room wall at back porch. Reduce dwelling 8 sf/ and increase covered rear patio 8 sf. New totals: 4/213 sf dwelling/ 689 sf garage/ 70 sf covered porch/ and 172 sf covered rear patio. Total area of construction 5/144 sf.,533475.71,5144,BONTERRA CONSTRUCTION,17806
"3550 172ND AVE NE
REDMOND, WA 98052
(47.641664, -122.110916)",03/08/2019,03/28/2019,_Harvey Short Plat-Lot 2,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-01497,Harvey Short Plat - Lot 2 - Plan 5053 Elevation B - Fire sprinkled 2 story garage right  Dwelling 3/941 SF/ Garage 631 SF/ Covered entry porch 66 SF and Covered patio 309 SF.  Total area of construction = 4/947 SF,506087.67,4947,CR HOME BUILDERS LLC,17806
"11975 159TH AVE NE
REDMOND, WA 98052",03/08/2019,06/04/2019,_Kensington Lane-Lot 6,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-01507,RNEW - Kensington Lane (AKA Strom) - Lot 6 - Plan KL-4A - Construction of a new 2 story plus habitable attic/ garage left/ fire sprinkled single family residence including 3/239 sf of dwelling area/ a 432 sf garage and a 36 sf covered front porch.  Total area of construction = 3/707 sf.,397906.33,3707,STEVE BURNSTEAD CONSTRUCTION LLC,
"15932 NE 120TH ST
REDMOND, WA 98052",03/07/2019,04/17/2019,_Greystone IV-Lot 181,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-01470,RNEW - Greystone IV - Lot 181 - Plan #11103-181-LD4810.6.0B - Construction of a new 2 story/ garage left fire sprinkled single family residence including 3/628 sf dwelling area/  529 sf garage/ 43 sf covered entry porch and 143 sf covered deck. Total area of construction = 4/343 sf.,455288.92,4343,GREYSTONE BUILDERS LLC,
"15447 NE 52ND CT
REDMOND, WA 98052
(47.654647, -122.133123)",02/28/2019,05/01/2019,_Project Dream-Lot 3,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-01291,PROJECT DREAM/ LOT 3 - Thiruveedu - New Fire sprinkled. Garage right - Dwelling 4/135 SF/ Garage 702 SF/ Covered patio 154 SF/ Covered Porch 86 SF. Total SF 5/077.,524909.69,5077,BONTERRA CONSTRUCTION,17806
