"rowid","permit_number","property_address","street_number","street_direction","street_name","street_type","unit_number","council_district","issued_date","issued_year","issued_month","finaled_date","finaled_year","finaled_month","permit_year","status","description","value","use","icc_value","type_of_work","contractor_name","contractor_address","cofo_date","parcel_number","total_sq_ft","applicant","number_of_dwellings","number_of_dwelling_units","residential_permit","latitude","longitude","location"
"BLD2016-03231","BLD2016-03231","5516 S WILDROSE ","5516","S","WILDROSE",,,"6","2016-05-26T00:00:00.000","2016","May",,,,"2016","Finaled","ADDENDA: UPDATE SIDE YARD SETBACKS/HOME LOCATION ON LOT. REFERENCE MAIN PERMIT BLD2016-02781",,"RES","0","Res (OTH) -- Non-Structural","JCH CONSTRUCTION","8601 N SCOTTSDALE RD #220 SCOTTSDALE AZ 85253 ",,"30435338",,,,,"N","33.315178","-111.611861","POINT (-111.611861 33.315178)"
"BLD2017-03542","BLD2017-03542","1641 S STAPLEY DR","1641","S","STAPLEY","DR","104+","3","2017-07-06T00:00:00.000","2017","Jul","2017-12-07T00:00:00.000","2017","Dec","2017","Issued","TENANT IMPROVENT - EXPANDING 2,180 SF INTO SUITE 105, ADDING NEW NON-BEARING WALLS, FINISHES, CEILINGS, FLOORING, DOORS, NEW PLUMBING, MECHANICAL AND ELECTRICAL. 238 SF PATIO AREA ALSO WITH 16 OCCUPANTS.","100000","COM","413841.78","Com (OTH) -- Renovations/Remodels","SINGLE SOURCE CONSTRUCTION","22304 S 214TH ST QUEEN CREEK AZ 85142 ",,"13910014",,"GREG SORRELS",,,"N","33.384408","-111.802923","POINT (-111.802923 33.384408)"
"MST2016-00120","MST2016-00120","  PULTE HOMES PLAN #4019-7 ADDENDA ",,,"PULTE HOMES PLAN #4019-7 ADDENDA",,,"0","2016-06-21T00:00:00.000","2016","Jun",,,,"2016","Finaled","ADDENDA TO MST2016-00032 - UPDATE PT SLAB THICKNESS TO 7-1/2"" FOR NEW PARCELS 12 & 15, SEE CASE NOTES FOR SOILS REPORT. ",,"RES","0","Res (SFR) -- Single Family (Detached)","PULTE HOMES CORPORATION","16767 N PERIMETER DR SCOTTSDALE AZ 85260 ",,"MASTER PLAN",,"PULTE HOMES CORPORATION",,,"N",,,
"BLD2016-04491","BLD2016-04491","3001 N SONORAN HILLS ","3001","N","SONORAN HILLS",,,"5","2016-07-19T00:00:00.000","2016","Jul","2016-12-21T00:00:00.000","2016","Dec","2016","Finaled","MASTER PLAN 612.2 FOR RYLAND HOMES IN LAS SENDAS FOR 2 STORY, 2 CAR GARAGE, NARROW LOT DEVELOPMENT. RESIDENCES HAVE TILE ROOFS, WOOD FRAMING AND POST-TENSIONED SLABS.",,"RES","261407.29","Res (SFR) -- Single Family (Detached)","THE RYLAND GROUP INC","890 W ELLIOT ROAD, STE 101 GILBERT AZ 85233 ","2016-12-20T00:00:00.000","21920427",,"TYLER CURTIS","1","1","Y","33.47001","-111.676743","POINT (-111.676743 33.47001)"
"BLD2016-07380","BLD2016-07380","9851 E THEIA DR","9851","E","THEIA","DR",,"6","2016-11-28T00:00:00.000","2016","Nov",,,,"2016","Issued","MASTER PLAN # 135.1840 FOR SINGLE STORY 1861 S.F. RESIDENCE WITH 2 CAR GARAGE. POST TENSION SLAB AND FOAM INSULATION WITH INTUMESCENT COATING IN THE ATTIC REQUIRE SPECIAL INSPECTION.",,"RES","242932.68","Res (SFR) -- Single Family (Detached)","MERITAGE HOMES OF AZ","8800 E RAINTREE DR STE 300 SCOTTSDALE AZ 85260 ","2017-04-28T00:00:00.000","31215015",,"MERITAGE HOMES OF AZ","1","1","Y","33.318606","-111.620033","POINT (-111.620033 33.318606)"
"BLD2017-01926","BLD2017-01926","5001 E MAIN ST","5001","E","MAIN","ST","425 DOUGLAS RD","2","2017-03-15T00:00:00.000","2017","Mar","2018-02-07T00:00:00.000","2018","Feb","2017","Issued","REPLACE EXISTING 100 AMP PEDESTAL WITH 100 AMP H-FRAME ALL IN ONE METER-SOCKET",,"COM","0","Com (OTH) -- Electrical","CIRTCELE ELECTRIC","1919 N ROSEMONT MESA AZ 85205 ",,"14034113",,"CIRTCELE ELECTRIC",,,"N","33.414375","-111.724678","POINT (-111.724743 33.413033)"
"BLD2017-04712","BLD2017-04712","4753 S AILERON LN","4753","S","AILERON","LN",,"6","2017-08-09T00:00:00.000","2017","Aug",,,,"2017","Issued","MARACAY HOMES #4552 AT EASTMARK PARCEL 7-20.   TWO STORY RESIDENCE FRAME BUILT WITH STUCCO FINISH.  CONCRETE TILE ROOF OVER PRE-ENGINEERED WOOD ROOF TRUSSES. PLANS INCLUDE FIRE SPRINKLERS.",,"RES","475442.3","Res (SFR) -- Single Family (Detached)","MARACAY HOMES","15279 N. SCOTTSDALE RD. #300 SCOTTSDALE AZ 85254 ",,"30432115",,"MARACAY HOMES","1","1","Y","33.328696","-111.613598","POINT (-111.613598 33.328696)"
"MST2016-00147","MST2016-00147","  TAYLOR MORRISON HOMES #8045.TN ADDE ",,,"TAYLOR MORRISON HOMES #8045.TN ADDE",,,"0","2016-08-11T00:00:00.000","2016","Aug",,,,"2016","Finaled","ADDENDA TO MST2016-00012 TO ADD FIRE SPRINKLERS AS AN OPTION. ",,"RES","0","Res (OTH) -- Fire Sprinklers","VALLEY FIRE SPRINKLER INC","16211 N SCOTTSDALE RD STE A6A #431 SCOTTSDALE AZ 85254 ",,"MASTER PLAN",,"VALLEY FIRE SPRINKLER INC",,,"N",,,
"BLD2015-07253","BLD2015-07253","1101 N VAL VISTA DR","1101","N","VAL VISTA","DR",,"2","2016-01-12T00:00:00.000","2016","Jan",,,,"2015","Finaled","ADDENDA TO BLD2014-00316 TO CONSTRUCT CONDUITS FOR SRP STREET CROSSINGS",,"COM","0","Com (OTH) -- Public Works/Utilities","KELCO CONTRACTING, LLC","936 E JAVELINA #1 MESA AZ 85204 ",,"14004004",,"TAYLOR MORRISON/ARIZONA INC",,,"N","33.435538","-111.753281","POINT (-111.753281 33.435538)"
"BLD2016-02996","BLD2016-02996","6835 E POSADA CIR","6835","E","POSADA","CIR",,"6","2016-05-16T00:00:00.000","2016","May",,,,"2016","Issued","MASTER PLAN #230.1903 FOR KB HOME @HIGLEY HEIGHTS FOR TWO STORY 1903 S.F. HOME WITH 2 CAR GARAGE. HOUSE HAS A POST TENSION SLAB.  FIRE SPRINKLER PLAN OPTION FOR KB HOMES  MASTER PLAN #1903  MST2015-00051. SEE ADDENDUM MST2015-00138.",,"RES","249691.86","Res (SFR) -- Single Family (Detached)","KB HOME PHOENIX INC","10429 S 51ST STREET SUITE 100 PHOENIX AZ 85044 ",,"30417820",,"KB HOMES","1","1","Y","33.359197","-111.686414","POINT (-111.686414 33.359197)"
"BLD2016-04529","BLD2016-04529","1450 N ALMAR ","1450","N","ALMAR",,,"1","2016-11-17T00:00:00.000","2016","Nov",,,,"2016","Issued","DEFERRED:INSTALL NEW FIRE SPRINKLER SYSTEM IN NEW SINGLE FAMILY RESIDENCE.
REFERENCE MAIN PERMIT #BLD216-00591",,"RES","0","Res (OTH) -- Fire Sprinklers","VALLEY FIRE SPRINKLER INC","16211 N SCOTTSDALE RD STE A6A #431 SCOTTSDALE AZ 85254 ",,"14113218",,"VALLEY FIRE SPRINKLER INC",,,"N","33.442584","-111.7607","POINT (-111.7607 33.442584)"
"BLD2016-07836","BLD2016-07836","10039 E RAY RD","10039","E","RAY","RD",,"6","2017-03-14T00:00:00.000","2017","Mar",,,,"2016","Issued","CONSTRUCT CURB AND GUTTER, SIDEWALK, STREET LIGHITNG, LANDSCAPING, PAVING, SEWER, WATER, GAS, DRY UTILITIES, GRADING, GRADING, DRAINAGE AND OTHER PERTINENT INFRASTRUCTURE FOR ENCORE AT EASTMARK PARCEL 9-6. TWO NEW SINGLE PHASE ELECTRIC METERS. PARCEL 9-6 PERIMETER WALL PLANS ON SEPARATE PERMIT BLD2016-01344.","1500","COM","0","Com (OTH) -- Public Works/Utilities","AV HOMES","8601 N SCOTTSDALE RD #220 SCOTTSDALE AZ 85253 ",,"30435035",,"AV HOMES",,,"N","33.320998","-111.616902","POINT (-111.616902 33.320998)"
"BLD2017-04831","BLD2017-04831","10553 E SEBRING AVE","10553","E","SEBRING","AVE",,"6","2017-09-21T00:00:00.000","2017","Sep",,,,"2017","Issued","MASTER PLAN 3502 FOR EASTMARK BENTON PARK. SINGLE STORY BUILDING, 3 BEDROOMS 2 BATHS AND BONUS ROOM. 1627 SF LIVABLE, TOTAL UNDER THE ROOF: 2307 (W/OPTIONS 2395), 2394 ( 2777)) AND 2395 SF (2475sf). FRAME CONSTRUCTION CONCRETE TILE ROOF BATT INSULATION. ALL NEW UTILLITIES, GAS DEVELOPED LENGHT = 56 FT (STANDARD PLAN), 94 FT WITH OPTIONS., SPLIT SYSTEM HVAC, WATER DEVELOPED LENGHT 116 FT.",,"RES","228899.26","Res (SFR) -- Single Family (Detached)","MATTAMY ARIZONA CONSTRUCTION, LLC","9200 E PIMA CENTER PKWY #230 SCOTTSDALE AZ 85258 ",,"30494511",,"MATTAMY HOMES","1","1","Y","33.332787","-111.60566","POINT (-111.60566 33.332787)"
"BLD2015-00670","BLD2015-00670","822 N PARKCREST CIR","822","N","PARKCREST","CIR",,"2","2016-12-16T00:00:00.000","2016","Dec",,,,"2015","Approved","NEW DRIVEWAY APPROACH",,"RES","0","Res (OTH) -- Non-Structural",,"   ",,"14002129",,"SANDRA RAPER",,,"N","33.430625","-111.733468","POINT (-111.733468 33.430625)"
"BLD2016-00472","BLD2016-00472","2126 N CHESTNUT CIR","2126","N","CHESTNUT","CIR",,"1","2016-01-27T00:00:00.000","2016","Jan",,,,"2016","Issued","MINOR ELECTRICAL, INSTALL NEW LIGHTING CAM LIGHTS AND RELATED WIRING.","1000","RES","0","Res (OTH) -- Electrical","TRAVEK INC  ","7641 E GRAY RD, STE H SCOTTSDALE AZ 85260 ",,"14107333",,"TEEMU RAISANEN",,,"N","33.454477","-111.784179","POINT (-111.784179 33.454477)"
"BLD2016-03287","BLD2016-03287","4839 S RHODIUM LN","4839","S","RHODIUM","LN",,"6","2016-06-07T00:00:00.000","2016","Jun","2016-08-22T00:00:00.000","2016","Aug","2016","Finaled","CONSTRUCT A 544 SF SWIMMING POOL NO SPA/NO HEAT.","41169","RES","0","Res (MSC) -- Swimming Pool","PRESIDENTIAL POOLS & SPAS, LLC","525 E BASELINE RD GILBERT AZ 85233 ",,"30432185",,"PRESIDENTIAL POOLS & SPAS LLC",,,"N","33.327304","-111.611442","POINT (-111.611442 33.327304)"
"BLD2017-01954","BLD2017-01954","10062 E THEOREM DR","10062","E","THEOREM","DR",,"6","2017-03-29T00:00:00.000","2017","Mar",,,,"2017","Issued","MASTER PLAN #3582 FOR A SINGLE STORY 1844 S.F. RESIDENCE WITH A TWO CAR GARAGE IN EASTMARK. POST TENSION SLABS, SEE ADDENDA TO MST2015-00169.",,"RES","240003.69","Res (SFR) -- Single Family (Detached)","SHEA HOMES","8800 N GAINEY CENTER DR STE 350 SCOTTSDALE AZ 85258 ","2017-09-13T00:00:00.000","30432364",,"SHEA HOMES","1","1","Y","33.329913","-111.616313","POINT (-111.616313 33.329913)"
"BLD2015-02452","BLD2015-02452","4257 S DANTE CIR","4257","S","DANTE","CIR",,"6","2016-03-02T00:00:00.000","2016","Mar","2016-09-29T00:00:00.000","2016","Sep","2015","Finaled","ADD 30' x 30' DETACHED SHOP WITH ELECTRIC-CONCRETE TILE ROOF TO MATCH EXISTING HOUSE OVER SCISSOR TRUSSES -STUCCO OVER 9' TALL FRAME WALLS","0","RES","40167","Res (OTH) -- Additions",,"   ",,"31208547",,"CODY FROLANDER",,,"N","33.337504","-111.597786","POINT (-111.597786 33.337504)"
"BLD2015-07284","BLD2015-07284","1858 W BASELINE RD","1858","W","BASELINE","RD",,"3","2016-01-13T00:00:00.000","2016","Jan",,,,"2015","Issued","KITCHEN EQUIPMENT - HOOD SUPPRESSION SYSTEM APPROVED BLD2015-05067","1200","COM","0","Com (OTH) -- Mechanical","METRO FIRE EQUIPMENT INC","63 S HAMILTON PL GILBERT AZ 85233 ",,"30502909",,"METRO FIRE EQUIPMENT INC",,,"N","33.379419","-111.875358","POINT (-111.875358 33.379419)"
"BLD2016-04544","BLD2016-04544","2107 N CITRUS COVE ","2107","N","CITRUS COVE",,,"1","2016-07-14T00:00:00.000","2016","Jul","2016-12-22T00:00:00.000","2016","Dec","2016","Finaled","DETACHED CABANA SHALL COMPLY WITH CONDITIONS OF APPROVAL PER PLN2016-00129, Z13-013 & Z14-002. ADDED EXTENDED PORCH A,B,C UNDER MST2016-00051 TO DETACHED GARAGE AND DETACHED CABANA A,B,C. REF MST2012-00015 FOR DETACHED GARAGE.",,"RES","26700.42","Res (OTH) -- Additions","MBI BUILDERS LLC","3321 E BASELINE RD GILBERT AZ 85234 ",,"14115002",,"MBI BUILDERS LLC",,,"N","33.453899","-111.758195","POINT (-111.758195 33.453899)"
"BLD2017-05163","BLD2017-05163","10608 E SEBRING AVE","10608","E","SEBRING","AVE",,"6","2017-10-12T00:00:00.000","2017","Oct",,,,"2017","Issued","MASTER PLAN 3504 FOR EASTMARK BENTON PARK. SFR 2-STORY 2069 & 2082 SF LIVABLE SPACE.3 BEDROOMS, LOFT, FLEX SPACE, 2-CAR GARAGE.2.5 BATHS. FRAME CONSTRUCTION,  WESTERN ONE KOTE STUCCO SYSTEM AND R-13 BATT INSULATION ON EXTERIOR WALLS; FLAT CONCRETE TILE ROOF WITH R-30 BATT INSULATION ON CEILING. ALL NEW UTILITIES: WATER DEVELOPED LENGHT=104 FT, GAS DEVELOPED LENGHT=74 FT. 160,000 BTUs STANDARD DEMAND, 340,000 BTUs WITH OPTIONS.",,"RES","288520.75","Res (SFR) -- Single Family (Detached)","MATTAMY ARIZONA CONSTRUCTION, LLC","9200 E PIMA CENTER PKWY #230 SCOTTSDALE AZ 85258 ",,"30494491",,"MATTAMY HOMES","1","1","Y","33.333216","-111.605236","POINT (-111.605236 33.333216)"
"BLD2015-07300","BLD2015-07300","2940 N BRIGHTON ","2940","N","BRIGHTON",,,"5","2016-01-05T00:00:00.000","2016","Jan","2016-06-17T00:00:00.000","2016","Jun","2015","Finaled","NSFR #902 SINGLE STORY HOME WITH 2 CAR GARAGE. WOOD FRAMED, CONCRETE TILE ROOFS, SIDE COURTYARD AND FRONT COURTYARD. GARAGE ACCESS FROM THE BACK. 3/4"" WATER METER, NO GAS.",,"RES","221978.84","Res (SFR) -- Single Family (Detached)","THE RYLAND GROUP INC","890 W ELLIOT ROAD, STE 101 GILBERT AZ 85233 ",,"21920401",,"RYLAND HOMES","1","1","Y","33.469164","-111.677338","POINT (-111.677338 33.469164)"
"BLD2016-01547","BLD2016-01547","10901 E PUEBLO AVE","10901","E","PUEBLO","AVE",,"6","2016-03-14T00:00:00.000","2016","Mar",,,,"2016","Issued","UPGRADE OF EXISTING SES TO TOP FED SES FOR SOLAR INSTALLATION. ALL WORK TO BE DONE UNDER THE 2005 NEC AND TO SRP SPECIFICATIONS.","2200","RES","0","Res (OTH) -- Electrical","SUN VALLEY SOLAR SOLUTIONS","3235 N ARIZONA AVE #D7 CHANDLER AZ 85225 ",,"22074005B",,"EVAN JERPBACK",,,"N","33.400357","-111.595251","POINT (-111.595251 33.400357)"
"BLD2016-04562","BLD2016-04562","1210 W GUADALUPE RD","1210","W","GUADALUPE","RD",,"3","2016-07-14T00:00:00.000","2016","Jul",,,,"2016","Issued","ELECTRICAL PERMIT TO RELOCATE CABINET OUTLETS. TO BE INSTALLED PER NEC 2005 AND SRP STANDARDS. NO PLANS REQUIRED.","750","COM","0","Com (OTH) -- Electrical","UMC BUILDERS LLC","12417 W VARNEY RD EL MIRAGE AZ 85335 ",,"30505506C",,"UMC BUILDERS LLC",,,"N","33.364474","-111.859573","POINT (-111.859573 33.364474)"
"BLD2016-05921","BLD2016-05921","857 N DOBSON RD","857","N","DOBSON","RD",,"1","2016-09-12T00:00:00.000","2016","Sep","2016-10-26T00:00:00.000","2016","Oct","2016","Finaled","PBI - OTC PERMIT TO DEMO BANK TO PREPARE A VANILLA SHELL FOR NEW TENANT.  ","5000","COM","76731.2","Com (OTH) -- Renovations/Remodels","CHAMBERLIN POWER LLC","7675 E DALE LN SCOTTSDALE AZ 85266 ",,"13533542",,"CHAMBERLIN POWER LLC",,,"N","33.432489","-111.865679","POINT (-111.865679 33.432489)"
"BLD2017-04845","BLD2017-04845","250 N 79TH PL","250","N","79TH","PL",,"5","2017-08-24T00:00:00.000","2017","Aug",,,,"2017","Issued","MASTER PLAN P659 FOR A ONE STORY 1422 S.F. RESIDENCE WITH A 2 CAR GARAGE IN THE VILLAS OF MONTANA VISTA.  MAXIMUM LOT COVERAGE IS 50%. OPTIONS TO ADD 272 S.F. PATIO EXTENSION. REFER TO MST2015-00196. THESE OPTIONS WILL ONLY BE OFFERED AND BUILT ON LOTS WHERE THE MAXIMUM 50% COVERAGE IS MAINTAINED.    ",,"RES","216261.33","Res (SFR) -- Single Family (Detached)","RICHMOND AMERICAN HOMES","16427 N SCOTTSDALE RD SUITE 175 SCOTTSDALE AZ 85254-1583 ",,"21824306",,"RICHMOND AMERICAN HOMES","1","1","Y","33.420205","-111.660821","POINT (-111.660821 33.420205)"
"BLD2015-07353","BLD2015-07353","1940 S VAL VISTA DR","1940","S","VAL VISTA","DR","101","2","2016-01-28T00:00:00.000","2016","Jan",,,,"2015","Finaled","DEFERRED FIRE SPRINKLERS - REF BLD2015-05939",,"COM","0","Com (OTH) -- Deferred Fire Sprinklers","TROJAN FIRE PROTECTION","9538 W BUTLER PEORIA AZ 85315 ",,"14065217A",,"BRAD HICKS",,,"N","33.379696","-111.754593","POINT (-111.754593 33.379696)"
"BLD2016-05944","BLD2016-05944","720 E AUTO CENTER DR","720","E","AUTO CENTER","DR","101","3","2016-10-26T00:00:00.000","2016","Oct",,,,"2016","Finaled","DEFERRED FIRE SPRINKLERS - REF BLD2016-04990. SPRINKLERS FOR OFFICE AREA (56 PENDENT) AND EVAP COOLERS (13 ESFR) ONLY.",,"COM","0","Com (OTH) -- Deferred Fire Sprinklers","RCI SYSTEMS, INC","1220 W GENEVA DR TEMPE AZ 85282 ",,"13912055",,"RCI SYSTEMS, INC",,,"N","33.385103","-111.815638","POINT (-111.815638 33.385103)"
"BLD2016-07881","BLD2016-07881","5000 E MCDOWELL RD","5000","E","MCDOWELL","RD",,"5","2016-12-09T00:00:00.000","2016","Dec","2017-04-04T00:00:00.000","2017","Apr","2016","Finaled","AFP PROGRAM: REMOVE 93000 SQ FT OF PAVEMENT AND REPLACE WITH NEW CONCRETE",,"COM","0","Com (OTH) -- Renovations/Remodels","FCI CONSTRUCTORS INC","PO BOX 2176 LITCHFIELD PARK AZ 85340 ",,"14137003D",,"BOEING",,,"N","33.46931","-111.724316","POINT (-111.724316 33.46931)"
"BLD2017-00970","BLD2017-00970","2023 N STEELE CIR","2023","N","STEELE","CIR",,"5","2017-03-02T00:00:00.000","2017","Mar",,,,"2017","Finaled","RELOCATING POOL AND RAMADA TO THE WEST PER HOA. REF BLD2017-00203 & BLD2017-00201.",,"RES","0","Res (MSC) -- Swimming Pool",,"   ",,"21949564",,"ROBERT VILLALOBOS",,,"N","33.452247","-111.645923","POINT (-111.645923 33.452247)"
"BLD2017-02003","BLD2017-02003","616 E SOUTHERN AVE","616","E","SOUTHERN","AVE",,"4","2017-03-20T00:00:00.000","2017","Mar","2018-01-03T00:00:00.000","2018","Jan","2017","Issued","OTC PER TCA - CONVERTING TWO ELECTRICAL METERS INTO ONE. METERS FOR 101 AND 102 WILL BE REMOVED.",,"COM","0","Com (OTH) -- Electrical","CASA MARAVILLA CUSTOM BUILDERS, LLC","3748 E. MARE COURT PHOENIX AZ 85044 ",,"13928096E",,"CASA MARAVILLA",,,"N","33.393553","-111.818007","POINT (-111.818007 33.393553)"
"BLD2005-09440","BLD2005-09440","10136 E SOUTHERN AVE","10136","E","SOUTHERN","AVE","1089+","6","2016-04-06T00:00:00.000","2016","Apr","2017-01-09T00:00:00.000","2017","Jan","2005","Issued","BUILDING # 15.  BLDG. TYPE  "" E "",  3 STORY, 12 PLEX,  WOOD CONSTRUCTION, TRUSSES, TILE ROOF, STUCCO FINISH, POST TESION SLAB ( 7 TOTAL ).",,"COM","1635512.76","Com (MFR) -- Ten or More Family","BG BUILDERS, LLC","11525 E ROSELLE AVE MESA AZ 85212 ",,"22073607",,,,,"Y","33.394471","-111.612525","POINT (-111.612525 33.394471)"
"BLD2016-01595","BLD2016-01595","4606 S ANITOLE WAY","4606","S","ANITOLE","WAY",,"6","2016-04-27T00:00:00.000","2016","Apr",,,,"2016","Finaled","ADDENDA TO BLD2016-01082. MOVE HOUSE TOWARD NORTH SIDE & REVISE SETBACK DIMENSIONS",,"RES","0","Res (SFR) -- Single Family (Detached)",,"   ",,"30494227",,"WRH CONSTRUCTION, INC",,,"N","33.331727","-111.604413","POINT (-111.604413 33.331727)"
"BLD2016-03354","BLD2016-03354","2041 N SOSSAMAN RD","2041","N","SOSSAMAN","RD",,"5","2016-12-08T00:00:00.000","2016","Dec",,,,"2016","Issued","INSTALL ONE STREET LIGHT ON SOSSAMAN",,"COM","0","Com (OTH) -- Public Works/Utilities","CISSELL ELECTRIC INC","899 W HIGHLAND ST CHANDLER AZ 85225 ",,"21926096P",,"PORCHLIGHT HOMES",,,"N","33.452399","-111.666978","POINT (-111.666978 33.452399)"
