"inventory_id","department","name","description","data_classfication","creation_date","publication_status","dataset_id","dataset_link","domain","category","contact_email","source_system","data_change","data_classification_comment"
"39","Economic Development","Employment and Labor Force","The Employment Dataset shows several current and historical annual statistics regarding the labor force, employment and unemployment in the City of Mesa.
Sources:Population Data - United States Census Bureau -https://www.census.gov/topics/population/data.html
Employment Data - Bureau of Labor Statistics - http://www.bls.gov/data/ 
Local Area Unemployment Statistics (LAUS) - https://www.bls.gov/lau/
To see how these terms are defined and what they include, please visit the Terms Glossary from the United State Department of Labor’s Bureau of Labor Statistics (BLS), which can be found at the following web address: http://www.bls.gov/bls/glossary.htm","Public","2018-03-21T09:57:00.000","published","f7ya-r76p","https://data.mesaaz.gov/d/f7ya-r76p","data.mesaaz.gov","Neighborhoods","xEconomicDevelopmentData@MesaAZ.gov",,"yearly",
"62","Environmental Management and Sustainability","Solid Waste Customer Call Time","Dataset covers call response times for Solid Waste customer service team. This measure is to track the amount of time a caller spends in the electronic queue before speaking with a customer service specialist. Calls are from residents, businesses and contractors requesting paid trash and recycling services. The City of Mesa competes with private haulers for these open-market services","Public",,"Reviewed",,,,"Environmental Management and Sustainability","xEnvironmentalManagementAndSustainabilityData@MesaAZ.gov","Aspect","Daily",
"40","Economic Development","Annual Income","The Annual Income dataset shows Household Income ranges for the City of Mesa, and some comparative numbers from other neighboring communities as well as Maricopa County. Source is American FactFinder at census.gov. See source link below. Saved query is found in attachments. Change file name from *.txt to *.aff and retrieve using the ""Load Search or Query"" button on the main page at http://factfinder.census.gov. 

Census money income is defined as income received on a regular basis (exclusive of certain money receipts such as capital gains) before payments for personal income taxes, social security, union dues, medicare deductions, etc. 
Therefore, money income does not reflect the fact that some families receive part of their income in the form of noncash benefits, such as food stamps, health benefits, subsidized housing, and goods produced and consumed on the farm. In addition, money income does not reflect the fact that noncash benefits are also received by some nonfarm residents which may take the form of the use of business transportation and facilities, full or partial payments by business for retirement programs, medical and educational expenses, etc. 

Data users should consider these elements when comparing income levels. Moreover, users should be aware that for many different reasons there is a tendency in household surveys for respondents to underreport their income. Based on an analysis of independently derived income estimates, the Census Bureau determined that respondents report income earned from wages or salaries much better than other sources of income and that the reported wage and salary income is nearly equal to independent estimates of aggregate income. 
Census also derives alternative income measures that systematically remove or add various income components such as deducting payroll taxes and federal and state income taxes and including the value of specific noncash benefits, food stamps, school lunches, housing subsidies, health insurance programs, and return on home equity. 
These alterna...","Public","2018-03-21T13:31:00.000","published","khxd-y947","https://data.mesaaz.gov/d/khxd-y947","data.mesaaz.gov","Neighborhoods","xEconomicDevelopmentData@MesaAZ.gov",,"yearly",
"41","Economic Development","Commercial Vacancy - All Properties","The Commercial Vacancy - All Properties dataset shows a variety of current and historical data points regarding the commercial real estate availability, vacancy, and absorption across the entire City of Mesa for all commercial properties such as Retail, Office, Flex, etc). Multi-Family vacancy rates are reported in a separate dataset (https://data.mesaaz.gov/d/rabe-bhdq) because of differences in data collection and reporting.  Commercial vacancy data is collected by a third-party source, CoStar, a commercial real estate database. CoStar is widely accepted as the trusted, industry standard for commercial real estate data, and while the City of Mesa believes this information to be accurate, we do not claim to have verified every and all information provided. If you require further explanation of some of the real estate terms used in the dataset, please visit the CoStar Terms Glossary below, which explains each term in greater detail. CoStar Terms Glossary: https://www.costar.com/about/support/costar-glossary","Public","2018-01-23T15:48:00.000","published","nh8c-ittg","https://data.mesaaz.gov/d/nh8c-ittg","data.mesaaz.gov","Zoning & Property","xEconomicDevelopmentDAta@MesaAZ.gov",,"Quarterly",
"42","Economic Development","Mesa Office of Economic Development Assisted Jobs Created","The OED Assisted Job Creation Dataset shows the total number of jobs, the average wage of jobs, and the number of “high wage” jobs that the City of Mesa Office of Economic Development (OED) has assisted in attracting and retaining to/in Mesa.
This data is from FY 2007-2008 going forward. 
Source: City of Mesa - Office of Economic Development. These numbers are aggregated from the companies and projects that Mesa OED has interacted with directly, and assisted in attracting to Mesa, or retaining in Mesa. 
It is important to recognize that these numbers do not represent all of the jobs created or retained in the city for that year, but rather illustrate jobs that the City of Mesa OED has assisted in creating and attracting to Mesa. 
A “High-Wage Job” is considered to be a job paying above $44,096/year and is determined by taking 125% of the 2015 Maricopa County Median Wage, which is a standard used by the Arizona Commerce Authority, a statewide economic development agency. Mesa OED uses this same standard to help qualify a “high-wage” job, as it is directly tied to the Maricopa County Median Wage levels.","Public","2018-01-29T15:18:00.000","published","r6ev-aghn","https://data.mesaaz.gov/d/r6ev-aghn","data.mesaaz.gov","City Operations","xEconomicDevelopmentData@MesaAZ.gov",,"yearly",
"43","Economic Development","Commercial Vacancy - Multi-Family","The Commercial Vacancy Multi-Family (MF) dataset shows a variety of current and historical data points regarding the commercial real estate availability, vacancy, and absorption across the entire City of Mesa for all MF properties.  This dataset was collected from a third-party source, CoStar, which is a commercial real estate database. CoStar is widely accepted as the trusted, industry standard for commercial real estate data, and while the City of Mesa believes this information to be accurate, we do not claim to have verified every and all information provided. If you require further explanation of some of the real estate terms used in the dataset, please visit the CoStar Terms Glossary below, which explains each term in greater detail. CoStar Terms Glossary: https://www.costar.com/about/support/costar-glossary","Public","2018-01-23T16:45:00.000","published","rabe-bhdq","https://data.mesaaz.gov/d/rabe-bhdq","data.mesaaz.gov","Zoning & Property","xEconomicDevelopmentData@MesaAZ.gov",,"Quarterly",
"44","Economic Development","Business Breakdown","The Business Breakdown Dataset shows the number of businesses and employees from a wide variety of unique industries throughout Mesa. This data is pulled annually from the ESRI Community Analyst database.","Public","2018-01-25T17:57:00.000","published","sqy8-jq9v","https://data.mesaaz.gov/d/sqy8-jq9v","data.mesaaz.gov","Neighborhoods","xEconomicDevelopmentData@MesaAZ.gov",,"yearly",
"45","Economic Development","Mesa Employers By Census Tract","Information about employers and employees in the City of Mesa by industry and census tract. Data is collected annually by Maricopa Association of Governments (MAG) from a variety of sources.  NOTE: Location of employees are generalized based on the center point of census tract and are NOT an exact location.","Public","2018-10-23T09:14:00.000","published","v2de-gsm7","https://data.mesaaz.gov/d/v2de-gsm7","data.mesaaz.gov","Neighborhoods","xEconomicDevelopmentData@MesaAZ.gov",,"Annually","Business Level information is available to Economic Development Team only"
"63","Environmental Management and Sustainability","Household Hazardous Materials","Describes items dropped off at the City’s Household Hazardous Materials center. Many items that are used or found in our homes do not belong in the trash barrel, or recycle barrel, and should not be poured down the drain or poured into the street.  Not all waste is hazardous. Instead, these items can be reused, recycled or disposed of properly to prevent pollution.  City of Mesa residents should bring these hazardous and other accepted items to the Household Hazardous Materials (HHM) Facility for proper disposal.","Sensitive",,"Reviewed",,,,"Environmental Management and Sustainability","xEnvironmentalManagementAndSustainabilityData@MesaAZ.gov","Local database","Daily",
"46","Economic Development","Annual Income - Median and Per Capita","The Annual Income - Median and Per Capita dataset shows Median Household Income and Per Capita Income for the City of Mesa, and some comparative numbers from other neighboring communities as well as Maricopa County.
Census money income is defined as income received on a regular basis (exclusive of certain money receipts such as capital gains) before payments for personal income taxes, social security, union dues, medicare deductions, etc. 
Therefore, money income does not reflect the fact that some families receive part of their income in the form of noncash benefits, such as food stamps, health benefits, subsidized housing, and goods produced and consumed on the farm. In addition, money income does not reflect the fact that noncash benefits are also received by some nonfarm residents which may take the form of the use of business transportation and facilities, full or partial payments by business for retirement programs, medical and educational expenses, etc. 

Data users should consider these elements when comparing income levels. Moreover, users should be aware that for many different reasons there is a tendency in household surveys for respondents to underreport their income. Based on an analysis of independently derived income estimates, the Census Bureau determined that respondents report income earned from wages or salaries much better than other sources of income and that the reported wage and salary income is nearly equal to independent estimates of aggregate income. 
Census also derives alternative income measures that systematically remove or add various income components such as deducting payroll taxes and federal and state income taxes and including the value of specific noncash benefits, food stamps, school lunches, housing subsidies, health insurance programs, and return on home equity. 
These alternative measures are derived from information collected in Census surveys along with information from other agencies such as the Centers for Medicare and Medicaid Services (CMS), the U.S. Bureau of ...","Public","2018-03-21T13:31:00.000","published","vagb-mau5","https://data.mesaaz.gov/d/vagb-mau5","data.mesaaz.gov","Neighborhoods","xEconomicDevelopmentData@MesaAZ.gov",,"yearly",
"47","Economic Development","Total Employees and Businesses","The Total Employees and Businesses Dataset is a snapshot of the total number of businesses that are currently in Mesa, as well as the total number of employees that work in Mesa. 
Source: ESRI Community Analyst. 
It is important to note that in this dataset, a “Full-Time Employee (FTE)” in Mesa is someone who may not necessarily live in Mesa, however, they are employed at a business that is located in Mesa. This is a distinct difference between the “Employment” number in Mesa, which is stated in the “Employment Dataset.” Employment refers to the total number of Mesa residents that are employed, within or outside of the City of Mesa.","Public","2018-01-25T19:51:00.000","published","xt2b-s4bi","https://data.mesaaz.gov/d/xt2b-s4bi","data.mesaaz.gov","Neighborhoods","xEconomicDevelopmentData@MesaAZ.gov",,"yearly",
"48","Energy Resources","Electric Consumption","Monthly electric consumption data in kWh and customer counts within the City of Mesa's electric service territory broken down by Rate Classification (i.e. Residential, Commercial, Other Public Authority, Interdepartmental). Consumption totals are for the month in which they are billed to the customer (“Billing Month”). Due to the constant reading of utility meters throughout the month, much of the consumption occurs in the month prior to the Billing Month.","Public","2018-01-30T10:48:00.000","published","4sxb-naxg","https://data.mesaaz.gov/d/4sxb-naxg","data.mesaaz.gov","Energy & Utilities","xEnergyResourcesData@MesaAZ.gov",,"monthly",
"49","Energy Resources","Natural Gas Consumption","Monthly natural gas consumption data in Therms by Rate Classification (i.e. Residential, Commercial, Other Public Authority, Interdepartmental) and customer counts within the City of Mesa natural gas service territory. 

Consumption totals are for the month in which they are billed to the customer (“Billing Month”). Due to the constant reading of utility meters throughout the month, much of the consumption occurs in the month prior to the Billing Month.","Public","2018-01-30T11:24:00.000","published","t9u6-caye","https://data.mesaaz.gov/d/t9u6-caye","data.mesaaz.gov","Energy & Utilities","xEnergyResourcesData@MesaAZ.gov",,"monthly",
"50","Energy Resources","Electric and Gas Utility Service Work Orders and Outages","Information about Electric and Gas service work orders, maintenance, outages, including location, duration, reponse time,","Not Documented",,"Not Documented",,,,"Energy & Utilities","xEnergyResourcesData@MesaAZ.gov",,"daily",
"51","Energy Resources","Electric and Gas Meter Accuracy","Information about testing of meters measuring electric customer energy consumption","Not Documented",,"Not Documented",,,,"Energy & Utilities","xEnergyResourcesData@MesaAZ.gov",,"daily",
"52","Energy Resources","Electric substation capacity","Information about electric utility substation capacity and availabe for use","Not Documented",,"Not Documented",,,,"Energy & Utilities","xEnergyResourcesData@MesaAZ.gov",,"daily",
