"company","position","country","email_hosts","domain","location_1"
"Dagbladet","Project Mgr","NORWAY","dagbladet.no","no","
Oslo,  
(59.913869, 10.752245)"
"Samsung Electronics","Homayoon Shahinfar","USA","yahoo.com","com","
San Jose, CA 
(37.338208, -121.886329)"
"Viget","FED","USA","viget.com","com","
Falls Church, VA 
(38.882334, -77.171091)"
"M/C/C","Ad Coord","USA","mccom.com","com","
Dallas, TX 
(32.776664, -96.796988)"
"GE Aviation","Sr Designer","USA","gmail.com","com","
San Francisco, CA 
(37.77493, -122.419416)"
"M/C/C","Account Coord","USA","mccom.com","com","
Dallas, TX 
(32.776664, -96.796988)"
"Karbonat","Partner & Creative Director","TURKEY","karbonat.com","com","
Besiktas,  
(40.912522, 42.874365)"
"SXSW Photographer","Photography","USA","yahoo.com","com","
Dallas, TX 
(32.776664, -96.796988)"
"180LA","PR","USA","180la.com","com","
Santa Monica, CA 
(34.019454, -118.491191)"
"The Mirage Hotel & Casino","VP Mktg & Advertising","USA","mirage.com","com","
Las Vegas, NV 
(36.169941, -115.13983)"
,"Michelle Dennis","USA","gmail.com","com","
Austin, TX 
(30.267153, -97.743061)"
"Duety","Founder/CEO","COLOMBIA","duety.co","co","
Bogota, CUN 
(4.710989, -74.072092)"
"Quadrant SMA LLC","Production Dir","USA","matchdayintelligence.com","com","
Boerne, TX 
(29.794664, -98.73197)"
"Yahoo","Prod Evangelist","JAPAN","yahoo-corp.jp","jp","
Minatoku,  
(35.658068, 139.751599)"
"Verre","Gianni Matera","USA","gmail.com","com","
Pelham, NY 
(33.285669, -86.809989)"
"StemBox","CEO","USA","mystembox.com","com","
Seattle, WA 
(47.60621, -122.332071)"
"Allen High School","Animator/Student","USA","allenisd.org","org","
Allen, TX 
(33.103174, -96.67055)"
"SXSW Volunteer","Thomas Lea","USA","gmail.com","com","
Austin, TX 
(30.267153, -97.743061)"
"Crystal Crew","Artist","USA","gmail.com","com","
Austin, TX 
(30.267153, -97.743061)"
"Katapult","Project Mgr","NORWAY","me.com","com","
Oslo,  
(59.913869, 10.752245)"
"The University of Texas at Austin","Dir Longhorn Maker Studio","USA","utexas.edu","edu","
Austin, TX 
(30.267153, -97.743061)"
"Folk","Co-Founder/Brand Strategist","CANADA","gmail.com","com","
Montreal, QC 
(45.501689, -73.567256)"
"Pride Star Apps","CEO & Dir","LEBANON","gmail.com","com","
Beirut,  
(33.888629, 35.495479)"
"House of Kooser","Owner","USA","houseofkooser.com","com","
New York, NY 
(40.712784, -74.005941)"
"WeGoLook","Digital Mktg Dir","USA","wegolook.com","com","
Oklahoma City, OK 
(35.46756, -97.516428)"
"Texas A&M University","Student","USA","gmail.com","com","
Austin, TX 
(30.267153, -97.743061)"
"Beanstream","Developer Liaison","CANADA","beanstream.com","com","
Victoria, BC 
(-37.471308, 144.785153)"
"Capital One","Dir, Learning","USA","capitalone.com","com","
Plano, TX 
(33.019843, -96.698886)"
"NASA HQ (Koansys)","NASA HQ","USA","nasa.gov","gov","
Washington, DC, DC 
(38.907192, -77.036871)"
"Vroom digital","Nick Lad art","USA","gmail.com","com","
Atlanta, GA 
(33.748995, -84.387982)"
"Direct Marketing News","Special Features Editor","USA","dmnews.com","com","
New York, NY 
(40.712784, -74.005941)"
"P-N Designs Inc","Owner","USA","aol.com","com","
Tucson, AZ 
(32.221743, -110.926479)"
"Tillvaxtverket","Head of Boot Camp","SWEDEN","tillvaxtverket.se","se","
Stockholm,  
(59.329323, 18.068581)"
"Arlington Economic Development","Business Dev Mgr","USA","arlingtonva.us","us","
Arlington, VA 
(32.735687, -97.108066)"
"MD Financial Management","VP","CANADA","cma.ca","ca","
Ottawa, ON 
(45.42153, -75.697193)"
"National Instruments","Staff Software Engineer","USA","ni.com","com","
Austin, TX 
(30.267153, -97.743061)"
"BuckleDown Systems","Inventor/CEO","USA","mechtech007.com","com","
Albuquerque, NM 
(35.085334, -106.605553)"
"glispa GmbH","Sr Front-End Dev","GERMANY","glispamedia.com","com","
Berlin,  
(52.520007, 13.404954)"
"SQLI","Founder & CEO","FRANCE","sqli.com","com","
Paris,  
(48.856614, 2.352222)"
"SXSW Volunteer","Kai Wong","USA","ieee.org","org","
Austin, TX 
(30.267153, -97.743061)"
"PLOTPOINT","Sr Producer","USA","plotpointcreative.com","com","
New York, NY 
(40.712784, -74.005941)"
"Decker MS","8th Grade Student","USA","gmail.com","com","
Austin, TX 
(30.267153, -97.743061)"
"Google","Data Scientist","UNITED KINGDOM","google.com","com","
London, LND 
(51.507351, -0.127758)"
"University of NV Reno","Professor","USA","dailey.net","net","
Reno, NV 
(39.529633, -119.813803)"
"SevenThree Dev","Front-end developer","USA","gmail.com","com","
Blacksburg, VA 
(37.229573, -80.413939)"
,,"SPAIN","gmail.com","com",
"N/A","Creative Strategist","USA","gmail.com","com","
Los Angeles, CA 
(34.052234, -118.243685)"
"Amazon","Mktg Mgr Kindle Content","USA","amazon.com","com","
Seattle, WA 
(47.60621, -122.332071)"
"Orbital Media/ Sonar +D","Producer","USA","gmail.com","com","
New York, NY 
(40.712784, -74.005941)"
"Kidu","Creative Dir","USA","kidu.com","com","
Austin, TX 
(30.267153, -97.743061)"
"Cinmar","Creative Dir","USA","cinmar.com","com","
West Chester, OH 
(39.960664, -75.605488)"
"Nestle Mexico SA","CEO","MEXICO","turycon.com.mx","mx","
Mexico City,  
(19.432608, -99.133208)"
"Mediabrands","Head of Strategy","BELGIUM","mediabrands.com","com","
Hoeilaart,  
(50.767486, 4.474046)"
"Indie Game Developers","Founder","USA","gmail.com","com","
Carlsbad, CA 
(33.158093, -117.350594)"
"Synteny","Founder/Investor/Cheerleader","USA","gmail.com","com","
Austin, TX 
(30.267153, -97.743061)"
"LIFT Agency","Dir of Strategy","USA","wearelift.com","com","
San Francisco, CA 
(37.77493, -122.419416)"
"Shoptelligence","Founder & CEO","USA","shoptelligence.com","com","
New York, NY 
(40.712784, -74.005941)"
"Eatlimmo","Cofounder","MEXICO","eatlimmo.com","com","
Monterrey,  
(25.686614, -100.316113)"
"P-N Designs Inc","Owner","USA","aol.com","com","
Tucson, AZ 
(32.221743, -110.926479)"
"Regency Centers","Sr Mktg Mgr","USA","regencycenters.com","com","
Vienna, VA 
(48.208174, 16.373819)"
"Go Co","Mktg Mgr","USA","go.co","co","
McLean, VA 
(38.933868, -77.17726)"
"New York University","Meredith Broussard","USA","nyu.edu","edu","
New York, NY 
(40.712784, -74.005941)"
"Amoeba Culture","Mktg Dir","SOUTH KOREA","amoebaculture.com","com","
Seoul,  
(37.566535, 126.977969)"
"Lone Star College System","Multimedia Producer","USA","lonestar.edu","edu","
The Woodlands, TX 
(30.165821, -95.461262)"
"Cataldo Designs","Instructional Designer","USA","gmail.com","com","
San Francisco, CA 
(37.77493, -122.419416)"
"make.tv","CTO","GERMANY","make.tv","tv","
Cologne,  
(50.937531, 6.960279)"
"DR-Danish Broadcasting Corporation","Managing Editor","DENMARK","dr.dk","dk","
Copenhagen,  
(55.676097, 12.568337)"
"Lone Star College","Multimedia Producer","USA","yahoo.com","com","
The Woodlands, TX 
(30.165821, -95.461262)"
"Swarovski","Head of Press & Media","USA","swarovski.com","com","
New York, NY 
(40.712784, -74.005941)"
"IBM","WW Cloud and Developer Programs","USA","us.ibm.com","com","
Levittown, PA 
(40.725934, -73.514292)"
"SXSW Site Manager","SXSW Site Mgr","USA","hotmail.com","com","
Austin, TX 
(30.267153, -97.743061)"
"791 Technologies","Chief Creative Officer","CANADA","me.com","com","
Victoria, BC 
(-37.471308, 144.785153)"
"The Peabody School","Science Teacher","USA","peabodyschool.org","org","
Charlottesville, VA 
(38.029306, -78.476678)"
"Quadrant SMA LLC","Principal","USA","matchdayintelligence.com","com","
Boerne, TX 
(29.794664, -98.73197)"
"YouTube","Business Dev","USA","google.com","com","
San Bruno, CA 
(37.63049, -122.411084)"
"Watchdog Management","Director of Digital Media and Creative Services","CANADA","watchdogmgt.com","com","
Vancouver, BC 
(45.638728, -122.661486)"
"Nesta","Head of Events","UNITED KINGDOM","nesta.org.uk","uk","
London,  
(51.507351, -0.127758)"
"Brand Pit","Pit Boss","JAPAN","gmail.com","com","
Tokyo,  
(35.689488, 139.691706)"
"by-tekniikka it","Senior adviser ",,"gmail.com","com","(60.1637088, 24.7600956)"
"Mindshare Studios Inc","AdminOps","USA","mindsharelabs.com","com","
Santa Fe, NM 
(35.686975, -105.937799)"
"The British Library","Digital Curator","UNITED KINGDOM","gmail.com","com","
London,  
(51.507351, -0.127758)"
"CH Robinson","Web Developer","USA","chrobinson.com","com","
Bee Cave, TX 
(30.306098, -97.952377)"
"NASA Jet Propulsion Laboratory","Associate CTO","USA","jpl.nasa.gov","gov","
Pasadena, CA 
(34.147785, -118.144516)"
"Tunlist","CEO of Tunlist","MEXICO","gmail.com","com","
Toluca,  
(19.28261, -99.655665)"
"DDB Latina Puerto Rico","Digital Connections Director","USA","ddblatinapr.com","com","
San Juan, PR 
(18.465539, -66.105735)"
"NTR","Science editor","NETHERLANDS","ntr.nl","nl","
Hilversum, NH 
(52.22917, 5.166897)"
"Voqal","Board of Director","USA","gmail.com","com","
Boulder, CO 
(40.014986, -105.270546)"
"Apple Inc","Enterprise Support Engineer","USA","gmail.com","com","
Austin, TX 
(30.267153, -97.743061)"
"Mobiltron, Inc.","CEO & Co-Founder","USA","mobiltron.com","com","
Boston, MA 
(42.360083, -71.05888)"
"North Dakota State University","Asst Professor","USA","ndsu.edu","edu","
Fargo, ND 
(46.877186, -96.789803)"
"Overstock.com","User Experience Mgr","USA","overstock.com","com","
Salt Lake City, UT 
(40.760779, -111.891047)"
"Asterozoa Inc","Fire Extinguisher","USA","gmail.com","com","
Chelmsford, MA 
(51.735587, 0.46855)"
"Central Intelligence Agency","Chief/ Public Communications Branch","USA","ucia.gov","gov","
Washington, DC, DC 
(38.907192, -77.036871)"
"University of Oregon","Chambers Distinguished Professor of Advertising","USA","uoregon.edu","edu","
Eugene, OR 
(44.052069, -123.086754)"
"VCU Brandcenter","Student","USA","mymail.vcu.edu","edu","
Richmond, VA 
(37.540725, -77.436048)"
"Creative Commons","Regional Coord","TURKEY","gmail.com","com","
Istanbul,  
(41.008238, 28.978359)"
"U.S. Army Institute of Surgical Research","Medical Informatics Fellow","USA","mail.mil","mil","
San Antonio, TX 
(29.424122, -98.493628)"
"Purdue University","Student","USA","purdue.edu","edu","
Wood Dale, IL 
(41.963363, -87.978956)"
"Telewander","Jose Manuel Lizama Gonzalez","CHILE","telewander.com","com","
Santiago de Chile,  
(-33.44889, -70.669265)"
"Automated Insights","Chief Prod Officer","USA","automatedinsights.com","com","
Durham, NC 
(35.994033, -78.898619)"
"Disney","Exec Dir Strategy","USA","disney.com","com","
Burbank, CA 
(34.180839, -118.308966)"
"Amoeba Culture","Music Producer","SOUTH KOREA","gmail.com","com","
Seoul,  
(37.566535, 126.977969)"
"Cisco Systems Inc","CTO/Evangelist, New Frontiers","USA","cisco.com","com","
San Jose, CA 
(37.338208, -121.886329)"
,"Melissa Dangler","USA","gmail.com","com","
Denver, CO 
(39.739236, -104.990251)"
"Medtronic","Sr Software Engineer","USA","medtronic.com","com","
Tempe, AZ 
(33.42551, -111.940005)"
"Charleston|Orwig","Dir of Digital Services","USA","charlestonorwig.com","com","
Hartland, WI 
(50.990226, -4.479349)"
"Sunlight Foundation","Comms Dir","USA","sunlightfoundation.com","com","
Washington, DC, DC 
(38.907192, -77.036871)"
"NTT Resonant Inc","Researcher","JAPAN","gmail.com","com","
Minatoku,  
(35.658068, 139.751599)"
"Food Design","Owner","USA","msu.edu","edu","
East Lansing, MI 
(42.736979, -84.483865)"
"NASA","Chief Technology Officer","USA","nasa.gov","gov","
Washington, DC, DC 
(38.907192, -77.036871)"
"Open Health Network","CEO","USA","gmail.com","com","
Los Altos, CA 
(37.385218, -122.11413)"
"New Media Manitoba","Training Dir","CANADA","newmediamanitoba.com","com","
Winnipeg, MB 
(49.899754, -97.137494)"
"Jackrabbit Mobile","Sales","USA","jackrabbitmobile.com","com","
Austin, TX 
(30.267153, -97.743061)"
"Saint Louis University","Intern","USA","slu.edu","edu","
St Louis, MO 
(38.627003, -90.199404)"
"TheMotion","Chief Prod Officer","SPAIN","gmail.com","com","
Madrid,  
(40.416775, -3.70379)"
"Ekmstudios Inc","Owner","USA","ekmstudios.com","com","
Austin, TX 
(30.267153, -97.743061)"
"St Edward's University","Digital Projects Mgr","USA","stedwards.edu","edu","
Austin, TX 
(30.267153, -97.743061)"
"Earnest","Head of Earnest Labs","UNITED KINGDOM","earnest-agency.com","com","
London,  
(51.507351, -0.127758)"
"Alley Interactive","Software Engineer","USA","foster.solutions","ons","
Brooklyn, NY 
(40.678178, -73.944158)"
"SXSW VIP Guest Team","Yimay Yang","USA","gmail.com","com","
Austin, TX 
(30.267153, -97.743061)"
,,,"thetileapp.com","com",
"Capital One","Mobile UI/UX Designer","USA","capitalone.com","com","
Richmond, VA 
(37.540725, -77.436048)"
"Hackquarters","Founder/CEO","TURKEY","gmail.com","com","
Istanbul,  
(41.008238, 28.978359)"
"West Virginia University","Assoc Professor/Research Assoc","USA","mail.wvu.edu","edu","
Morgantown, WV 
(39.629526, -79.955897)"
"The University of Texas at Austin","Software Developer","USA","austin.utexas.edu","edu","
Austin, TX 
(30.267153, -97.743061)"
"Raw Ideas","Sr Developer","AUSTRALIA","finno.com","com","
Sydney, NSW 
(-33.867487, 151.20699)"
"HSN","VP New Business Development","USA","cornerstonebrands.com","com","
St Petersburg, FL 
(27.751828, -82.626734)"
,,,"utexas.edu","edu",
"Mediaan/abs bv","CEO","NETHERLANDS","mediaan.com","com","
Heerlen,  
(50.888174, 5.979499)"
"Renovation Systems","Brand & Mktg Mgr","USA","renovationsystems.com","com","
Plymouth, MN 
(50.375457, -4.142656)"
"Give Lively","Head of Prod","USA","gmail.com","com","
New York, NY 
(40.712784, -74.005941)"
"Decker MS","8th Grade Student","USA","gmail.com","com","
Austin, TX 
(30.267153, -97.743061)"
"SX Cheer Up Charlie's Stage Crew","Emil Hessellund Boedker","USA","hotmail.com","com","
Austin, TX 
(30.267153, -97.743061)"
"SXSW Volunteer","Samantha Drake","USA","txstate.edu","edu","
Austin, TX 
(30.267153, -97.743061)"
"N/A","Creative Strategist","USA","gmail.com","com","
Los Angeles, CA 
(34.052234, -118.243685)"
"Predictable.ly","Head Honcho","USA","amyvernon.net","net","
New York, NY 
(40.712784, -74.005941)"
"Incendo","Distribution & Mktg Coord","CANADA","incendo.ca","ca","
Westmount, QC 
(45.485719, -73.595699)"
"Luna Data Solutions","Dir of Business Solutions","USA","lunadatasolutions.com","com","
Austin, TX 
(30.267153, -97.743061)"
"TSIA","Web Mgr","USA","tsia.com","com","
San Diego, CA 
(32.715738, -117.161084)"
"SendGrid Inc","Community Dev","USA","sendgrid.com","com","
Boulder, CO 
(40.014986, -105.270546)"
"Xplor","Dir of Mktg & IT","USA","xplortoday.com","com","
Arlington, TX 
(32.735687, -97.108066)"
"MakerSquare","Managing Dir","USA","makersquare.com","com","
Austin, TX 
(30.267153, -97.743061)"
"Water Design","Advisor","JAPAN","conconcom.jp","jp","
Tokyo,  
(35.689488, 139.691706)"
"Silicon Rust Belt","Founder/Editor-in-Chief","USA","gmail.com","com","
Perrysburg, OH 
(41.556996, -83.627157)"
"Adservice","Lead Developer","DENMARK","adservice.com","com","
Aarhus,  
(56.162939, 10.203921)"
"The Social Edge","Chief Exec Officer","USA","the-social-edge.com","com","
New York, NY 
(40.712784, -74.005941)"
"SX The Majestic Stage Crew","Michalis Theodosiou","USA","gmail.com","com","
Austin, TX 
(30.267153, -97.743061)"
"EFX Technical Solutions","Independent Software Developer","USA","jerryross.com","com","
Bellevue, WA 
(47.610377, -122.200679)"
"Nestle","Digital Innovation Mgr","USA","us.nestle.com","com","
San Francisco, CA 
(37.77493, -122.419416)"
"Callpicker","CEO","MEXICO","digitum.com.mx","mx","
Queretaro,  
(20.588793, -100.389888)"
"National Instruments","Software Engineer","USA","ni.com","com","
Austin, TX 
(30.267153, -97.743061)"
"SXSW Volunteer","Jose Daniel Leal Avila","MEXICO","gmail.com","com","
Zapopan, Jalisco 
(20.671956, -103.416501)"
"realestate.com.au Pty Ltd","Sr Developer Innovation Team","AUSTRALIA","rea-group.com","com","
Richmond, VIC 
(37.540725, -77.436048)"
"J Walter Thompson","Sr Planner","USA","jwt.com","com","
Buckhead, GA 
(33.837266, -84.406761)"
"LG Electronics","Asst Researcher","USA","lge.com","com","
Seoul, AL 
(37.566535, 126.977969)"
"PCCW Global","Business Dev Mgr","USA","pccwglobal.com","com","
Los Angeles, CA 
(34.052234, -118.243685)"
"Memorial Hermann","Digital Mktg Specialist","USA","memorialhermann.org","org","
Houston, TX 
(29.760427, -95.369803)"
"CHANEL","E-Commerce Dir","USA","chanelusa.com","com","
New York, NY 
(40.712784, -74.005941)"
"Day for Night","Developer","USA","gmail.com","com","
Sugar Land, TX 
(29.619679, -95.634946)"
"Virginia Tech","Professor","USA","gmail.com","com","
Blacksburg, VA 
(37.229573, -80.413939)"
"Apple Inc","AC Team Mgr","USA","gmail.com","com","
Austin, TX 
(30.267153, -97.743061)"
"University of Applied Sciences Zurich","Founder Center for Digital Business","SWITZERLAND","fh-hwz.ch","ch","
Zurich,  
(47.376887, 8.541694)"
"Monsanto","Social Media Manager","USA","gmail.com","com","
St Louis, MO 
(38.627003, -90.199404)"
"Glover Park Group","Sr Assoc","USA","gpg.com","com","
Washington, DC, DC 
(38.907192, -77.036871)"
"The Austin Chronicle","Writer","USA","gmail.com","com","
Austin, TX 
(30.267153, -97.743061)"
"youPIX","Content Creator","BRAZIL","gmail.com","com","
Barueri, SP 
(-23.511369, -46.872942)"
"CHIEF","Principal & Chief Creative Officer","USA","agencychief.com","com","
Washington, DC, DC 
(38.907192, -77.036871)"
"Dentsu Inc","Art Dir","JAPAN","dentsu.co.jp","jp","
Minatoku,  
(35.658068, 139.751599)"
"PredictifyMe","Chief Data Scientist","USA","predictify.me","me","
Cary, NC 
(35.79154, -78.781117)"
"Northwestern Mutual","Creative Consultant","USA","gmail.com","com","
Milwaukee, WI 
(43.038903, -87.906474)"
"nushkino / invstr","Project Based Consultant","UNITED KINGDOM","yahoo.com","com","
London,  
(51.507351, -0.127758)"
"Annual Reviews","Dir of Production","USA","gmail.com","com","
Palo Alto, CA 
(37.441883, -122.143019)"
"Lojas Renner SA","Macrotrends & Consumer Behavior Mgr","BRAZIL","lojasrenner.com.br","br","
Porto Alegre, RS 
(-30.034647, -51.217658)"
"Brace","Coating","USA","yahoo.com","com","
Corpus Christi, TX 
(27.800583, -97.396381)"
"N/A","Alan Vladimir","USA","gmail.com","com","
Cherry Hill, NJ 
(39.926813, -75.024631)"
"Amoeba Culture","Music Producer","SOUTH KOREA","me.com","com","
Seoul,  
(37.566535, 126.977969)"
"DoStuff Media","Person","USA","dostuffmedia.com","com","
Austin, TX 
(30.267153, -97.743061)"
"NIH","Deputy Comms Dir","USA","mail.nih.gov","gov","
Bethesda, MD 
(38.984652, -77.094709)"
,"Entry level campaign worker","USA","gmail.com","com","
Highland, MD 
(57.459575, -4.226395)"
"Medtronic","Implantable Microsystems","USA","medtronic.com","com","
Tempe, AZ 
(33.42551, -111.940005)"
"Central Intelligence Agency","Social Media Lead","USA","ucia.gov","gov","
Washington, DC, DC 
(38.907192, -77.036871)"
"SXSW Volunteer","Antoine Bonnefous","USA","gmail.com","com","
Austin, TX 
(30.267153, -97.743061)"
"Stanford Athletics","Graphic Designer","USA","stanford.edu","edu","
Palo Alto, CA 
(37.441883, -122.143019)"
"Hemmersbach","IT Specialist","USA","gmail.com","com","
Austin, TX 
(30.267153, -97.743061)"
"Fujitsu Limited","Dir","JAPAN","jp.fujitsu.com","com","
Ota-ku,  
(35.561257, 139.716051)"
"Publicis NA","SVP Dir of Strategic Research & Analytics","USA","publicisna.com","com","
New York, NY 
(40.712784, -74.005941)"
"Saatchi & Saatchi","Strategic Planning Dir","USA","saatchiny.com","com","
New York, NY 
(40.712784, -74.005941)"
"IBM","Digital Transformation Leader","TURKEY","tr.ibm.com","com","
Istanbul,  
(41.008238, 28.978359)"
,,,"gmail.com","com",
"Capterra","PR","USA","capterra.com","com","
Arlington, VA 
(32.735687, -97.108066)"
"Whole Foods Market","Front-End Web Developer","USA","wholefoods.com","com","
Austin, TX 
(30.267153, -97.743061)"
"Austin Free-Net","Google Fellow","USA","gmail.com","com","
Austin, TX 
(30.267153, -97.743061)"
"Telewander","CMO","SPAIN","gmail.com","com","
Madrid,  
(40.416775, -3.70379)"
"NASA","NASA JSC","USA","nasa.gov","gov","
Houston, TX 
(29.760427, -95.369803)"
"Open Health Network","CEO","USA","gmail.com","com","
Los Altos, CA 
(37.385218, -122.11413)"
