"ident","sex","age","race","education","income","location","respondent_type","health_priority","other_priority"
"R_0CfNEt1Znwwov1D4","Female","44 to 64","Black or African-American (e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian, etc.)","Some College (Degree Not Complete)","$50,000 - $74,999",,"Resident","Suicide","Poverty"
"R_0CfNEt1Znwwov1D5","Female","44 to 64","Black or African-American (e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian, etc.)","Some College (Degree Not Complete)","$50,000 - $74,999",,"Resident","Asthma","Low College Readiness"
"R_0CfNEt1Znwwov1D6","Female","44 to 64","Black or African-American (e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian, etc.)","Some College (Degree Not Complete)","$50,000 - $74,999",,"Resident","Mental Health Problems (Anxiety, Depression, Etc.)",
"R_0CfNEt1Znwwov1D7","Female","44 to 64","Black or African-American (e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian, etc.)","Some College (Degree Not Complete)","$50,000 - $74,999",,"Resident","Poor Nutrition / Diet",
"R_0GJldmKHHiD6jIJ1","Female","44 to 64","Black or African-American (e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","Less than $24,999","Chino Hills","Resident","Diabetes","High Housing Costs (Purchase or Rental)"
"R_0GJldmKHHiD6jIJ2","Female","44 to 64","Black or African-American (e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","Less than $24,999","Chino Hills","Resident","Asthma","Domestic Violence"
"R_0GJldmKHHiD6jIJ3","Female","44 to 64","Black or African-American (e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","Less than $24,999","Chino Hills","Resident","Air Quality","Gun Violence"
"R_0GJldmKHHiD6jIJ4","Female","44 to 64","Black or African-American (e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","Less than $24,999","Chino Hills","Resident","Cancer",
"R_0GJldmKHHiD6jIJ5","Female","44 to 64","Black or African-American (e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","Less than $24,999","Chino Hills","Resident","Environmental Pollution",
"R_0GJldmKHHiD6jIJ6","Female","44 to 64","Black or African-American (e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","Less than $24,999","Chino Hills","Resident","Poor Nutrition / Diet",
"R_0GJldmKHHiD6jIJ7","Female","44 to 64","Black or African-American (e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","Less than $24,999","Chino Hills","Resident","Obesity / Overweight",
"R_0MMfyoVN5ua6Lhn1","Female","44 to 64","Hispanic, Latino, or Spanish Origin (e.g. Mexican or Mexican American, Puerto Rican, Cuban, Salvadoran, Dominican, Colombian, etc.)","Some College (Degree Not Complete)","More than $150,000","Yucaipa","Resident","Low Physical Activity","Homelessness"
"R_0MMfyoVN5ua6Lhn2","Female","44 to 64","Hispanic, Latino, or Spanish Origin (e.g. Mexican or Mexican American, Puerto Rican, Cuban, Salvadoran, Dominican, Colombian, etc.)","Some College (Degree Not Complete)","More than $150,000","Yucaipa","Resident","Asthma","Unemployment / Underemployment"
"R_0MMfyoVN5ua6Lhn3","Female","44 to 64","Hispanic, Latino, or Spanish Origin (e.g. Mexican or Mexican American, Puerto Rican, Cuban, Salvadoran, Dominican, Colombian, etc.)","Some College (Degree Not Complete)","More than $150,000","Yucaipa","Resident","Air Quality","Poverty"
"R_0MMfyoVN5ua6Lhn4","Female","44 to 64","Hispanic, Latino, or Spanish Origin (e.g. Mexican or Mexican American, Puerto Rican, Cuban, Salvadoran, Dominican, Colombian, etc.)","Some College (Degree Not Complete)","More than $150,000","Yucaipa","Resident","High Blood Pressure","High Housing Costs (Purchase or Rental)"
"R_0MMfyoVN5ua6Lhn5","Female","44 to 64","Hispanic, Latino, or Spanish Origin (e.g. Mexican or Mexican American, Puerto Rican, Cuban, Salvadoran, Dominican, Colombian, etc.)","Some College (Degree Not Complete)","More than $150,000","Yucaipa","Resident","Mental Health Problems (Anxiety, Depression, Etc.)","Poor Public Transportation"
"R_0MMfyoVN5ua6Lhn6","Female","44 to 64","Hispanic, Latino, or Spanish Origin (e.g. Mexican or Mexican American, Puerto Rican, Cuban, Salvadoran, Dominican, Colombian, etc.)","Some College (Degree Not Complete)","More than $150,000","Yucaipa","Resident","Respiratory / Lung Disease",
"R_0MMfyoVN5ua6Lhn7","Female","44 to 64","Hispanic, Latino, or Spanish Origin (e.g. Mexican or Mexican American, Puerto Rican, Cuban, Salvadoran, Dominican, Colombian, etc.)","Some College (Degree Not Complete)","More than $150,000","Yucaipa","Resident","Obesity / Overweight",
"R_0MnJxFzQxGuEiyZ1","Female","18 to 43","Hispanic, Latino, or Spanish Origin (e.g. Mexican or Mexican American, Puerto Rican, Cuban, Salvadoran, Dominican, Colombian, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","$25,000 - $49,999","Ontario","Resident","Delay In Access To Health Care","Poor High School Graduation Rates"
"R_0MnJxFzQxGuEiyZ2","Female","18 to 43","Hispanic, Latino, or Spanish Origin (e.g. Mexican or Mexican American, Puerto Rican, Cuban, Salvadoran, Dominican, Colombian, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","$25,000 - $49,999","Ontario","Resident","Not Having A Usual Source of Care","Homelessness"
"R_0MnJxFzQxGuEiyZ3","Female","18 to 43","Hispanic, Latino, or Spanish Origin (e.g. Mexican or Mexican American, Puerto Rican, Cuban, Salvadoran, Dominican, Colombian, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","$25,000 - $49,999","Ontario","Resident","Not Having Health Insurance Coverage","Poverty"
"R_0MnJxFzQxGuEiyZ4","Female","18 to 43","Hispanic, Latino, or Spanish Origin (e.g. Mexican or Mexican American, Puerto Rican, Cuban, Salvadoran, Dominican, Colombian, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","$25,000 - $49,999","Ontario","Resident","Limited Access To Healthy Foods","Poor Educational Attainment"
"R_0MnJxFzQxGuEiyZ5","Female","18 to 43","Hispanic, Latino, or Spanish Origin (e.g. Mexican or Mexican American, Puerto Rican, Cuban, Salvadoran, Dominican, Colombian, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","$25,000 - $49,999","Ontario","Resident","Suicide","High Housing Costs (Purchase or Rental)"
"R_0MnJxFzQxGuEiyZ6","Female","18 to 43","Hispanic, Latino, or Spanish Origin (e.g. Mexican or Mexican American, Puerto Rican, Cuban, Salvadoran, Dominican, Colombian, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","$25,000 - $49,999","Ontario","Resident","Mental Health Problems (Anxiety, Depression, Etc.)",
"R_0MnJxFzQxGuEiyZ7","Female","18 to 43","Hispanic, Latino, or Spanish Origin (e.g. Mexican or Mexican American, Puerto Rican, Cuban, Salvadoran, Dominican, Colombian, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","$25,000 - $49,999","Ontario","Resident","Poor Nutrition / Diet",
"R_0OgB93SubLYuo9z1","Female","18 to 43","Black or African-American (e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian, etc.)","Undergraduate Degree","Less than $24,999","Rialto","Resident","Limited Access To Healthy Foods","Homelessness"
"R_0OgB93SubLYuo9z2","Female","18 to 43","Black or African-American (e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian, etc.)","Undergraduate Degree","Less than $24,999","Rialto","Resident","Low Physical Activity","Poor Educational Attainment"
"R_0OgB93SubLYuo9z3","Female","18 to 43","Black or African-American (e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian, etc.)","Undergraduate Degree","Less than $24,999","Rialto","Resident","High Blood Pressure","Low College Readiness"
"R_0OgB93SubLYuo9z4","Female","18 to 43","Black or African-American (e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian, etc.)","Undergraduate Degree","Less than $24,999","Rialto","Resident","Cancer","High Housing Costs (Purchase or Rental)"
"R_0OgB93SubLYuo9z5","Female","18 to 43","Black or African-American (e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian, etc.)","Undergraduate Degree","Less than $24,999","Rialto","Resident","Mental Health Problems (Anxiety, Depression, Etc.)","Low English Literacy"
"R_0OgB93SubLYuo9z6","Female","18 to 43","Black or African-American (e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian, etc.)","Undergraduate Degree","Less than $24,999","Rialto","Resident","Poor Nutrition / Diet",
"R_0OgB93SubLYuo9z7","Female","18 to 43","Black or African-American (e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian, etc.)","Undergraduate Degree","Less than $24,999","Rialto","Resident","Obesity / Overweight",
"R_0SRSWDq9UryjTbP1","Female","18 to 43","Hispanic, Latino, or Spanish Origin (e.g. Mexican or Mexican American, Puerto Rican, Cuban, Salvadoran, Dominican, Colombian, etc.)","Undergraduate Degree","$25,000 - $49,999","Rialto","Resident","Not Having A Usual Source of Care","Homelessness"
"R_0fAflF7HxcFHYNr6","Female","18 to 43","White or Caucasian (e.g. Anglo, European, etc.)","Some College (Degree Not Complete)","$25,000 - $49,999","Twentynine Palms","Resident","Obesity / Overweight",
"R_0SRSWDq9UryjTbP2","Female","18 to 43","Hispanic, Latino, or Spanish Origin (e.g. Mexican or Mexican American, Puerto Rican, Cuban, Salvadoran, Dominican, Colombian, etc.)","Undergraduate Degree","$25,000 - $49,999","Rialto","Resident","Not Having Health Insurance Coverage","Unemployment / Underemployment"
"R_0SRSWDq9UryjTbP3","Female","18 to 43","Hispanic, Latino, or Spanish Origin (e.g. Mexican or Mexican American, Puerto Rican, Cuban, Salvadoran, Dominican, Colombian, etc.)","Undergraduate Degree","$25,000 - $49,999","Rialto","Resident","Limited Access To Healthy Foods","Poverty"
"R_0SRSWDq9UryjTbP4","Female","18 to 43","Hispanic, Latino, or Spanish Origin (e.g. Mexican or Mexican American, Puerto Rican, Cuban, Salvadoran, Dominican, Colombian, etc.)","Undergraduate Degree","$25,000 - $49,999","Rialto","Resident","Asthma","Poor Educational Attainment"
"R_0SRSWDq9UryjTbP5","Female","18 to 43","Hispanic, Latino, or Spanish Origin (e.g. Mexican or Mexican American, Puerto Rican, Cuban, Salvadoran, Dominican, Colombian, etc.)","Undergraduate Degree","$25,000 - $49,999","Rialto","Resident","Air Quality","Rape / Sexual Assault"
"R_0SRSWDq9UryjTbP6","Female","18 to 43","Hispanic, Latino, or Spanish Origin (e.g. Mexican or Mexican American, Puerto Rican, Cuban, Salvadoran, Dominican, Colombian, etc.)","Undergraduate Degree","$25,000 - $49,999","Rialto","Resident","Disabilities (Hearing Loss, Blindness, Etc.)",
"R_0SRSWDq9UryjTbP7","Female","18 to 43","Hispanic, Latino, or Spanish Origin (e.g. Mexican or Mexican American, Puerto Rican, Cuban, Salvadoran, Dominican, Colombian, etc.)","Undergraduate Degree","$25,000 - $49,999","Rialto","Resident","Mental Health Problems (Anxiety, Depression, Etc.)",
"R_0VcUGvRLNzpGdzj1",,"44 to 64","Hispanic, Latino, or Spanish Origin (e.g. Mexican or Mexican American, Puerto Rican, Cuban, Salvadoran, Dominican, Colombian, etc.)","Did Not Finish High School","Less than $24,999","Upland","Resident","Delay In Access To Health Care","Homelessness"
"R_0VcUGvRLNzpGdzj2",,"44 to 64","Hispanic, Latino, or Spanish Origin (e.g. Mexican or Mexican American, Puerto Rican, Cuban, Salvadoran, Dominican, Colombian, etc.)","Did Not Finish High School","Less than $24,999","Upland","Resident","Not Having Health Insurance Coverage","Unemployment / Underemployment"
"R_0VcUGvRLNzpGdzj3",,"44 to 64","Hispanic, Latino, or Spanish Origin (e.g. Mexican or Mexican American, Puerto Rican, Cuban, Salvadoran, Dominican, Colombian, etc.)","Did Not Finish High School","Less than $24,999","Upland","Resident","Low Physical Activity","Gun Violence"
"R_0VcUGvRLNzpGdzj4",,"44 to 64","Hispanic, Latino, or Spanish Origin (e.g. Mexican or Mexican American, Puerto Rican, Cuban, Salvadoran, Dominican, Colombian, etc.)","Did Not Finish High School","Less than $24,999","Upland","Resident","Air Quality","Child Abuse"
"R_0VcUGvRLNzpGdzj5",,"44 to 64","Hispanic, Latino, or Spanish Origin (e.g. Mexican or Mexican American, Puerto Rican, Cuban, Salvadoran, Dominican, Colombian, etc.)","Did Not Finish High School","Less than $24,999","Upland","Resident","Cardivascular Disease (Heart Attacks, Etc.)","Poor Public Transportation"
"R_0VcUGvRLNzpGdzj6",,"44 to 64","Hispanic, Latino, or Spanish Origin (e.g. Mexican or Mexican American, Puerto Rican, Cuban, Salvadoran, Dominican, Colombian, etc.)","Did Not Finish High School","Less than $24,999","Upland","Resident","Teen Pregnancy",
"R_0VcUGvRLNzpGdzj7",,"44 to 64","Hispanic, Latino, or Spanish Origin (e.g. Mexican or Mexican American, Puerto Rican, Cuban, Salvadoran, Dominican, Colombian, etc.)","Did Not Finish High School","Less than $24,999","Upland","Resident","Traffic Injuries",
"R_0e7ODK8hI5zynsZ1","Female","65 Years And Older","White or Caucasian (e.g. Anglo, European, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","$50,000 - $74,999","Twentynine Palms","Resident","Delay In Access To Health Care","Violent Crime"
"R_0e7ODK8hI5zynsZ2","Female","65 Years And Older","White or Caucasian (e.g. Anglo, European, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","$50,000 - $74,999","Twentynine Palms","Resident","Not Having A Usual Source of Care","Homelessness"
"R_0e7ODK8hI5zynsZ3","Female","65 Years And Older","White or Caucasian (e.g. Anglo, European, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","$50,000 - $74,999","Twentynine Palms","Resident","Not Having Health Insurance Coverage","Poverty"
"R_0e7ODK8hI5zynsZ4","Female","65 Years And Older","White or Caucasian (e.g. Anglo, European, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","$50,000 - $74,999","Twentynine Palms","Resident","Shortage of Health Professionals","High Housing Costs (Purchase or Rental)"
"R_0e7ODK8hI5zynsZ5","Female","65 Years And Older","White or Caucasian (e.g. Anglo, European, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","$50,000 - $74,999","Twentynine Palms","Resident","Low Physical Activity","Gun Violence"
"R_0e7ODK8hI5zynsZ6","Female","65 Years And Older","White or Caucasian (e.g. Anglo, European, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","$50,000 - $74,999","Twentynine Palms","Resident","Poor Dental Hygiene",
"R_0e7ODK8hI5zynsZ7","Female","65 Years And Older","White or Caucasian (e.g. Anglo, European, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","$50,000 - $74,999","Twentynine Palms","Resident","Mental Health Problems (Anxiety, Depression, Etc.)",
"R_0fAflF7HxcFHYNr1","Female","18 to 43","White or Caucasian (e.g. Anglo, European, etc.)","Some College (Degree Not Complete)","$25,000 - $49,999","Twentynine Palms","Resident","Delay In Access To Health Care","Traffic Injuries"
"R_0fAflF7HxcFHYNr2","Female","18 to 43","White or Caucasian (e.g. Anglo, European, etc.)","Some College (Degree Not Complete)","$25,000 - $49,999","Twentynine Palms","Resident","Not Having Health Insurance Coverage","Homelessness"
"R_0fAflF7HxcFHYNr3","Female","18 to 43","White or Caucasian (e.g. Anglo, European, etc.)","Some College (Degree Not Complete)","$25,000 - $49,999","Twentynine Palms","Resident","Suicide","High Housing Costs (Purchase or Rental)"
"R_0fAflF7HxcFHYNr4","Female","18 to 43","White or Caucasian (e.g. Anglo, European, etc.)","Some College (Degree Not Complete)","$25,000 - $49,999","Twentynine Palms","Resident","Teen Pregnancy","Domestic Violence"
"R_0fAflF7HxcFHYNr5","Female","18 to 43","White or Caucasian (e.g. Anglo, European, etc.)","Some College (Degree Not Complete)","$25,000 - $49,999","Twentynine Palms","Resident","Mental Health Problems (Anxiety, Depression, Etc.)","Child Abuse"
"R_1KlOncW5qc9hZFr3","Female","18 to 43",,,,"San Bernardino City","Resident","Sexually Transmitted Disease (STDs)","Poverty"
"R_0fAflF7HxcFHYNr7","Female","18 to 43","White or Caucasian (e.g. Anglo, European, etc.)","Some College (Degree Not Complete)","$25,000 - $49,999","Twentynine Palms","Resident",,
"R_0jRQ1MtSeETzitX1","Female","44 to 64","Black or African-American (e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","$100,000 - $149,999","Victorville","Resident","Not Having A Usual Source of Care","Violent Crime"
"R_0jRQ1MtSeETzitX2","Female","44 to 64","Black or African-American (e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","$100,000 - $149,999","Victorville","Resident","Suicide","Homelessness"
"R_0jRQ1MtSeETzitX3","Female","44 to 64","Black or African-American (e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","$100,000 - $149,999","Victorville","Resident","Air Quality","Unemployment / Underemployment"
"R_0jRQ1MtSeETzitX4","Female","44 to 64","Black or African-American (e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","$100,000 - $149,999","Victorville","Resident","Smoking / Tobacco Use / Vaping / E-Cigarette Access & Use","Poverty"
"R_0jRQ1MtSeETzitX5","Female","44 to 64","Black or African-American (e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","$100,000 - $149,999","Victorville","Resident","Teen Pregnancy","Poor Public Transportation"
"R_0jRQ1MtSeETzitX6","Female","44 to 64","Black or African-American (e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","$100,000 - $149,999","Victorville","Resident","Environmental Pollution",
"R_0jRQ1MtSeETzitX7","Female","44 to 64","Black or African-American (e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","$100,000 - $149,999","Victorville","Resident","Obesity / Overweight",
"R_0lG9NnqZQwwcQCZ1","Female","18 to 43","Asian or Asian-American (e.g. Chinese, Filipino, Asian Indian, Vietnamese, Korean, Japanese, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","$75,000 - $99,999","Ontario","Resident","Delay In Access To Health Care","Homelessness"
"R_0lG9NnqZQwwcQCZ2","Female","18 to 43","Asian or Asian-American (e.g. Chinese, Filipino, Asian Indian, Vietnamese, Korean, Japanese, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","$75,000 - $99,999","Ontario","Resident","Not Having Health Insurance Coverage","Unemployment / Underemployment"
"R_0lG9NnqZQwwcQCZ3","Female","18 to 43","Asian or Asian-American (e.g. Chinese, Filipino, Asian Indian, Vietnamese, Korean, Japanese, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","$75,000 - $99,999","Ontario","Resident","Limited Access To Healthy Foods","Poverty"
"R_0lG9NnqZQwwcQCZ4","Female","18 to 43","Asian or Asian-American (e.g. Chinese, Filipino, Asian Indian, Vietnamese, Korean, Japanese, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","$75,000 - $99,999","Ontario","Resident","Suicide","High Housing Costs (Purchase or Rental)"
"R_0lG9NnqZQwwcQCZ5","Female","18 to 43","Asian or Asian-American (e.g. Chinese, Filipino, Asian Indian, Vietnamese, Korean, Japanese, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","$75,000 - $99,999","Ontario","Resident","Air Quality","Low English Literacy"
"R_0lG9NnqZQwwcQCZ6","Female","18 to 43","Asian or Asian-American (e.g. Chinese, Filipino, Asian Indian, Vietnamese, Korean, Japanese, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","$75,000 - $99,999","Ontario","Resident","Mental Health Problems (Anxiety, Depression, Etc.)",
"R_0lG9NnqZQwwcQCZ7","Female","18 to 43","Asian or Asian-American (e.g. Chinese, Filipino, Asian Indian, Vietnamese, Korean, Japanese, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","$75,000 - $99,999","Ontario","Resident","Poor Nutrition / Diet",
"R_0lx1oaHR4hmIzip1","Female","44 to 64","Hispanic, Latino, or Spanish Origin (e.g. Mexican or Mexican American, Puerto Rican, Cuban, Salvadoran, Dominican, Colombian, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","$50,000 - $74,999","Upland","Resident","Diabetes","Low Reading Levels"
"R_0lx1oaHR4hmIzip2","Female","44 to 64","Hispanic, Latino, or Spanish Origin (e.g. Mexican or Mexican American, Puerto Rican, Cuban, Salvadoran, Dominican, Colombian, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","$50,000 - $74,999","Upland","Resident","Suicide","Traffic Injuries"
"R_0lx1oaHR4hmIzip3","Female","44 to 64","Hispanic, Latino, or Spanish Origin (e.g. Mexican or Mexican American, Puerto Rican, Cuban, Salvadoran, Dominican, Colombian, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","$50,000 - $74,999","Upland","Resident","Smoking / Tobacco Use / Vaping / E-Cigarette Access & Use","High Housing Costs (Purchase or Rental)"
"R_0lx1oaHR4hmIzip4","Female","44 to 64","Hispanic, Latino, or Spanish Origin (e.g. Mexican or Mexican American, Puerto Rican, Cuban, Salvadoran, Dominican, Colombian, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","$50,000 - $74,999","Upland","Resident","Environmental Pollution","Poor Student-Teacher Ratios"
"R_0lx1oaHR4hmIzip5","Female","44 to 64","Hispanic, Latino, or Spanish Origin (e.g. Mexican or Mexican American, Puerto Rican, Cuban, Salvadoran, Dominican, Colombian, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","$50,000 - $74,999","Upland","Resident","Mental Health Problems (Anxiety, Depression, Etc.)","Domestic Violence"
"R_0lx1oaHR4hmIzip6","Female","44 to 64","Hispanic, Latino, or Spanish Origin (e.g. Mexican or Mexican American, Puerto Rican, Cuban, Salvadoran, Dominican, Colombian, etc.)","Graduate or Professional Degree (e.g., MBA, MA, MS, PhD, MD, etc.)","$50,000 - $74,999","Upland","Resident","Poor Nutrition / Diet",
