"granting_department","grant_number","grant_description","funding_source","cfda","start_date","end_date","fiscal_year_issued","award_amount","grantee_name","address_line_1","address_line_2","city","st","zip"
"Agriculture, Food&Mrkts Agency","02200-TSAG-15-10","TRADE SHOW ASSISTANCE","General",,"2015-05-22T00:00:00.000","2016-05-21T00:00:00.000","2015","1500.00","Vermont Farm Table, LLC","206 College St",,"Burlington","VT","05401"
"Agriculture, Food&Mrkts Agency","02200-WLEB-101","WORKING LANDS - WINTERWOOD BIOREGIONAL BUILDING PRODUCTS","Special",,"2015-05-22T00:00:00.000","2016-11-11T00:00:00.000","2015","75000.00","Harper,Andrew J","203 Captain Kidd Rd",,"E Montpelier","VT","05651"
"Agriculture, Food&Mrkts Agency","02200-WLEB-15-88","WORKING LANDS - FOREST TO FARM","Special",,"2015-05-22T00:00:00.000","2016-05-21T00:00:00.000","2015","5000.00","Torrani Studio Craft, LLC","447B East Hill Rd",,"Eden Mills","VT","05653"
"Agriculture, Food&Mrkts Agency","02200-ARM-FAP-2015-047","Implement Farm Agronomic Practices on farm","General",,"2015-05-20T00:00:00.000","2015-06-30T00:00:00.000","2015","924.00","Taft's Milk & Maple Farm","1470 Taft Rd",,"Huntington","VT","05462"
"Agriculture, Food&Mrkts Agency","02200-WLEB-15-86","WORKING LANDS -Use of ultra violet pasteurizer & equipment to expand business","Special",,"2015-05-20T00:00:00.000","2016-05-19T00:00:00.000","2015","12600.00","Parlo,Todd","Walden Hgts Nursery & Orchard","120 Rte 215","Walden","VT","05873"
"Agriculture, Food&Mrkts Agency","02200-ARM-BMP-683-1399","BEST MANAGEMENT PRACTICES ON FARM","Special",,"2015-05-15T00:00:00.000","2017-12-31T00:00:00.000","2015","65000.00","Allandra Farm Inc","Allan Brisson","1535 Monkton Rd","Vergennes","VT","05491"
"Agriculture, Food&Mrkts Agency","02200-WLEB-100","WORKING LANDS - VT SOY TRAY SEAL PACKING LINE","Special",,"2015-05-13T00:00:00.000","2016-11-13T00:00:00.000","2015","25000.00","Vermont Soy","PO Box 401",,"Hardwick","VT","05843"
"Agriculture, Food&Mrkts Agency","02200-WLEB-98","WORKING LANDS - Harlow barn expansion, loading docks, vacuum cooler","Special",,"2015-05-11T00:00:00.000","2015-11-11T00:00:00.000","2015","50000.00","Harlow Farm","117 Deep Root Drive",,"Westminster","VT","05158"
"Agriculture, Food&Mrkts Agency","02200-WLEB-99","WORKING LANDS -AIR CHILLING POULTRY/DESTINATION FARM MKT & AGRI-TOURISM SITE","Special",,"2015-05-11T00:00:00.000","2016-11-11T00:00:00.000","2015","67400.00","Maple Wind Farm Inc","1340 Carse Rd",,"Huntington","VT","05462"
"Agriculture, Food&Mrkts Agency","02200-WLEB-15-89","WORKING LANDS GRANT - PRODUCE COMMERCIAL SCALE SPALTED WOOD","General",,"2015-05-08T00:00:00.000","2016-05-07T00:00:00.000","2015","20000.00","Vermont Wildwoods","182 Lafiria Place",,"Marshfield","VT","05658"
"Agriculture, Food&Mrkts Agency","02200-WLEB-87","WORKING LANDS - Washpack/processing/kitchen for vegetable production/farm events/educational program","Special",,"2015-05-08T00:00:00.000","2016-05-07T00:00:00.000","2015","7250.00","Bread and Butter Farm LLC","200 Leduc Farm Rd",,"Shelburne","VT","05482"
"Agriculture, Food&Mrkts Agency","02200-TSAG-15-09","TRADE SHOW ASSISTANCE","General",,"2015-05-05T00:00:00.000","2016-04-04T00:00:00.000","2015","1278.00","Maple Landmark Inc","1297 Exchange St",,"Middlebury","VT","05753"
"Agriculture, Food&Mrkts Agency","02200-WLEB-15-95","WORKING LANDS - Expand custom grazing services to neighboring livestock producers","Special",,"2015-05-05T00:00:00.000","2016-05-04T00:00:00.000","2015","13902.00","Cesario,Marc","1368 West St",,"Cornwall","VT","05753"
"Agriculture, Food&Mrkts Agency","02200-WLEB-79","WORKING LANDS - PROD./SALES FACILITY FOR MODERN HORSE-POWERED FARM","Special",,"2015-05-05T00:00:00.000","2016-05-04T00:00:00.000","2015","12375.00","Wild Carrot Farm, LLP","511 Upper Dummerston Rd",,"Brattleboro","VT","05301"
"Agriculture, Food&Mrkts Agency","02200-WLEB-96","WORKING LANDS - SOIL BIOLOGY & CARBON BUILDING W/ COMPOST TEA","Special",,"2015-05-05T00:00:00.000","2016-05-30T00:00:00.000","2015","7100.00","Shire Beef LLC","646 Reed Rd",,"Vershire","VT","05079"
"Agriculture, Food&Mrkts Agency","02200-ARM-FAP-2015-050","FARM AGRONOMIC PRACTICES PROGRAM","General",,"2015-05-04T00:00:00.000","2015-06-30T00:00:00.000","2015","1954.00","Cabot Smith Farm","391 Smith Rd",,"Cabot","VT","05647"
"Agriculture, Food&Mrkts Agency","02200-ARM-CREP-025-2015","Conservation Reserve Enhancement Program","Other",,"2015-05-01T00:00:00.000","2029-09-30T00:00:00.000","2015","447.30","Harlow,Paul M","117 Deep Root Drive",,"Westminster","VT","05158"
"Agriculture, Food&Mrkts Agency","02200-ARM-CREP-025-2015-11000A","Conservation Reserve Enhancement Program","Other",,"2015-05-01T00:00:00.000","2029-09-30T00:00:00.000","2015","447.30","Harlow,Paul M","117 Deep Root Drive",,"Westminster","VT","05158"
"Agriculture, Food&Mrkts Agency","02200-WLEB-15-85","WORKING LANDS - ESTABLISH INDEPENDENT WOOD PRODUCT/FUNITURE SHOP","Special",,"2015-04-30T00:00:00.000","2016-04-29T00:00:00.000","2015","5000.00","Ogelby Woodworks LLC","751 Kneeland Flats",,"Waterbury","VT","05676"
"Agriculture, Food&Mrkts Agency","02200-TSAG-15-08","TRADE SHOW ASSISTANCE","General",,"2015-04-29T00:00:00.000","2016-04-15T00:00:00.000","2015","850.00","Nitty Gritty Grain Co","PO Box 235",,"Charlotte","VT","05445"
"Agriculture, Food&Mrkts Agency","02200-WLEB-15-80","WORKING LANDS - PRODUCTION FACILITY","Special",,"2015-04-29T00:00:00.000","2016-04-28T00:00:00.000","2015","20000.00","Vermont Tree Goods LLC","96 Autumn Lane",,"Bristol","VT","05443"
"Agriculture, Food&Mrkts Agency","02200-ARM-FAP-2015-072","FARM AGRONOMIC PRACTICES PROGRAM","General",,"2015-04-28T00:00:00.000","2015-06-30T00:00:00.000","2015","5000.00","Allandra Farm Inc","Allan Brisson","1535 Monkton Rd","Vergennes","VT","05491"
"Agriculture, Food&Mrkts Agency","02200-VLITE15-01","GEO-TARGETING VT'S NEXT CROP OF MANURE DIGESTERS","Special",,"2015-04-27T00:00:00.000","2015-08-31T00:00:00.000","2015","20000.00","Stone Environmental Inc","535 Stone Cutters Way",,"Montpelier","VT","05602"
"Agriculture, Food&Mrkts Agency","02200-TSAG-15-02","TRADE SHOW ASSISTANCE","General",,"2015-04-21T00:00:00.000","2016-04-20T00:00:00.000","2015","910.22","Cobb Hill Frozen Yogurt LLP","8 Linden Rd",,"Hartland","VT","05048"
"Agriculture, Food&Mrkts Agency","02200-TSAG-15-07","TRADE SHOW ASSISTANCE","General",,"2015-04-21T00:00:00.000","2016-03-18T00:00:00.000","2015","500.00","The American Game Table Co","1417 Joe's Brook Rd",,"St Johnsbury","VT","05819"
"Agriculture, Food&Mrkts Agency","02200-ARM-FAP-2015-025","FARM AGRONOMIC PRACTICES PROGRAM","General",,"2015-04-20T00:00:00.000","2015-06-30T00:00:00.000","2015","3220.00","Woodnotch Farms Inc","245 Barnum Hill Rd",,"Shoreham","VT","05770"
"Agriculture, Food&Mrkts Agency","02200-WLEB-15-81","WORKING LANDS - EPILOG LASER ENGRAVING MACHINE","Special",,"2015-04-20T00:00:00.000","2016-04-19T00:00:00.000","2015","8922.00","Vermont Table Company, LLC","272 Cedar Mill Rd",,"Cornwall","VT","05763"
"Agriculture, Food&Mrkts Agency","02200-TSAG-15-03","TRADE SHOW ASSISTANCE","General",,"2015-04-17T00:00:00.000","2016-03-14T00:00:00.000","2015","487.50","Halladays","6 Webb Terrace",,"Bellows Falls","VT","05101"
"Agriculture, Food&Mrkts Agency","02200-ARM-FAP-2015-071","Implement Farm Agronomic Practices on farm","General",,"2015-04-15T00:00:00.000","2015-06-30T00:00:00.000","2015","5000.00","Grembowicz,Theodore","Grembowicz Farm","2375 Creek Rd","North Clarendon","VT","05759"
"Agriculture, Food&Mrkts Agency","02200-FE-1502","CHEESE PROMOTION IN VT AND NE","Special",,"2015-04-15T00:00:00.000","2015-12-31T00:00:00.000","2015","51000.00","Vermont Cheese Council","112 South Main Street","PO Box 102","Stowe","VT","05672-4649"
"Agriculture, Food&Mrkts Agency","02200-TSAG-15-01","TRADE SHOW ASSISTANCE","General",,"2015-04-15T00:00:00.000","2016-03-15T00:00:00.000","2015","765.00","Vermont Chevon, LLC","PO Box 86",,"Cabot","VT","05647-0086"
"Agriculture, Food&Mrkts Agency","02200-TSAG-15-05","TRADE SHOW ASSISTANCE","General",,"2015-04-15T00:00:00.000","2016-03-15T00:00:00.000","2015","500.00","Artesano LLC","6320 Scott Hwy",,"Groton","VT","05046"
"Agriculture, Food&Mrkts Agency","02200-WLEB-83","Working Lands Grant - Upgrade facility to receive USDA Gap certification/Peaslee's VT Potatoes","General",,"2015-04-15T00:00:00.000","2016-10-15T00:00:00.000","2015","20000.00","Guile,Karen L","PO Box 102",,"Guildhall","VT","05905"
"Agriculture, Food&Mrkts Agency","02200-WLEB-93","WORKING LANDS - INVESTING IN NON-FEEDSTOCK HAY MARKET","Special",,"2015-04-15T00:00:00.000","2016-04-14T00:00:00.000","2015","10000.00","The Vermont Hay Co.","257 Collier Road",,"Greensboro","VT","05841"
"Agriculture, Food&Mrkts Agency","02200-ARM-FAP-2015-061","FARM AGRONOMIC PRACTICES ON FARM","General",,"2015-04-10T00:00:00.000","2015-06-30T00:00:00.000","2015","5000.00","Correia Limited Partnership","1578 Jersey St South",,"Addison","VT","05491"
"Agriculture, Food&Mrkts Agency","02200-VBOTF-2015-001","Breakfast on the Farm","Special",,"2015-04-07T00:00:00.000","2015-09-15T00:00:00.000","2015","8000.00","Vermont Foundation for Agriculture","117 West Main Street",,"Richmond","VT","05477"
"Agriculture, Food&Mrkts Agency","02200-TSAG-15-04","TRADE SHOW ASSISTANCE","General",,"2015-04-01T00:00:00.000","2016-03-31T00:00:00.000","2015","1405.00","Duffy,Scott","58 Ascutney Basin Rd",,"Reading","VT","05062"
"Agriculture, Food&Mrkts Agency","02200-WLEB-84","Beef handling improvements","Special",,"2015-04-01T00:00:00.000","2016-03-31T00:00:00.000","2015","10000.00","Windgate Farm","745 Coon Club Rd",,"Brownsville","VT","05037"
"Agriculture, Food&Mrkts Agency","02200-WLEB-90","Working Lands Grant - Firewood processing","Special",,"2015-04-01T00:00:00.000","2016-03-31T00:00:00.000","2015","20000.00","TimberGardens, LLC","589 Walters Farm Rd",,"E Haven","VT","05837"
"Agriculture, Food&Mrkts Agency","02200-WLEB-92","Working Lands grant - greenhouse & event center","Special",,"2015-04-01T00:00:00.000","2016-03-31T00:00:00.000","2015","9950.00","Sandiwood Farm","1665 Town Hill Rd",,"Wolcott","VT","05680"
"Agriculture, Food&Mrkts Agency","02200-ARM-FAP-2015-070","Farm Agronomic Practices Program Education and Outreach Grant","General",,"2015-03-31T00:00:00.000","2015-06-30T00:00:00.000","2015","1000.00","University of Vermont","Treasurer's Office","333 Waterman Bldg","Burlington","VT","05405-0160"
"Agriculture, Food&Mrkts Agency","02200-ARM-FAP-2015-068","Farm Agronomic Practices Program Education and Outreach Grant","General",,"2015-03-25T00:00:00.000","2015-12-31T00:00:00.000","2015","1000.00","Magnan,Scott","374 South Main St",,"ST Albans","VT","05478"
"Agriculture, Food&Mrkts Agency","02200-ARM-FAP-2015-069","Farm Agronomic Practices Program Education and Outreach Grant","General",,"2015-03-24T00:00:00.000","2015-06-30T00:00:00.000","2015","1000.00","University of Vermont","Treasurer's Office","333 Waterman Bldg","Burlington","VT","05405-0160"
"Agriculture, Food&Mrkts Agency","02200-ST15-01","Stipend Funds for Plant Improvements & Operating Costs","General",,"2015-03-20T00:00:00.000","2015-12-31T00:00:00.000","2015","12020.00","Addison County Fair & Field Days","Attn Treasurer","PO Box 745","Middlebury","VT","05753"
"Agriculture, Food&Mrkts Agency","02200-ST15-02","Plant Improvements & Operating Costs","General",,"2015-03-20T00:00:00.000","2015-12-31T00:00:00.000","2015","12020.00","Caledonia County Fair Assoc","Richard Lawrence President","PO Box 343","Lyndonville","VT","05851"
"Agriculture, Food&Mrkts Agency","02200ST15-03","Fair Stipend Grant - Plant Improvments & Operating Costs","General",,"2015-03-20T00:00:00.000","2015-12-31T00:00:00.000","2015","12020.00","Champlain Valley Exposition Inc","PO Box 209",,"Essex Jct","VT","05453-0209"
"Agriculture, Food&Mrkts Agency","02200-ST15-04","Stipend Grant for Plant Improvements & Operating Costs","General",,"2015-03-20T00:00:00.000","2015-12-31T00:00:00.000","2015","7966.00","Connecticut Valley Fair Inc","PO Box 353",,"Bradford","VT","05033"
"Agriculture, Food&Mrkts Agency","02200-ST15-05","Stipend Grant - Plant Improvements & Operating Costs","General",,"2015-03-20T00:00:00.000","2015-12-31T00:00:00.000","2015","2765.00","Deerfield Valley Farmers Day Association","Attn Treasurer","PO Box 577","Wilmington","VT","05363"
"Agriculture, Food&Mrkts Agency","02200-ST15-06","Stipend Grant - Plant Improvements & Operating Costs","General",,"2015-03-20T00:00:00.000","2015-12-31T00:00:00.000","2015","10672.00","Franklin County Field Days, Inc.","1668 Potato Hill Road",,"Enosburg Falls","VT","05450"
"Agriculture, Food&Mrkts Agency","02200-ST15-07","FAIR STIPEND GRANT - PLANT IMPROVEMENTS/OPERATING COSTS","General",,"2015-03-20T00:00:00.000","2015-12-31T00:00:00.000","2015","3025.00","Guilford Fair Inc","137 Baranoski Dr",,"Guilford","VT","05301"
"Agriculture, Food&Mrkts Agency","02200-ST15-08","FAIR STIPEND GRANT - PLANT IMPROVEMENTS/OPERATING COSTS","General",,"2015-03-20T00:00:00.000","2015-12-31T00:00:00.000","2015","9657.00","Lamoille County Field Days Inc","PO Box 357",,"Hyde Park","VT","05655"
"Agriculture, Food&Mrkts Agency","02200-ST15-09","FAIR STIPEND GRANT - PLANT IMPROVEMENTS & OPERATING COSTS","General",,"2015-03-20T00:00:00.000","2015-12-31T00:00:00.000","2015","11778.00","Orleans County Fair Assoc","278 Roaring Brook Rd",,"Barton","VT","05822"
"Agriculture, Food&Mrkts Agency","02200-ST15-10","Stipend Funds for Plant Improvements & Operating Costs","General",,"2015-03-20T00:00:00.000","2015-12-31T00:00:00.000","2015","4083.00","Vermont Farm Show Inc","2603 US Rt 2",,"Cabot","VT","05647"
"Agriculture, Food&Mrkts Agency","02200-ST15-11","Stipend Grants for Plant Improvements & Operating Costs","General",,"2015-03-20T00:00:00.000","2015-12-31T00:00:00.000","2015","5778.00","Vermont Maple Festival Council Inc","Attn Treasurer","PO Box 255","ST Albans","VT","05478"
"Agriculture, Food&Mrkts Agency","02200-ST15-12","FAIR STIPEND GRANT - PLANT IMPROVEMENT/OPERATING COSTS","General",,"2015-03-20T00:00:00.000","2015-12-31T00:00:00.000","2015","12020.00","Vermont State Fair","% Treasurer","175 S Main St","Rutland","VT","05701"
"Agriculture, Food&Mrkts Agency","02200-WLEB-75","Canaan Community Forest Development Model","Special",,"2014-07-18T00:00:00.000","2015-10-17T00:00:00.000","2015","50000.00","Canaan Town Treasurer","PO Box 159",,"Canaan","VT","05903"
"Agriculture, Food&Mrkts Agency","02200-ST15-13","FAIR STIPEND GRANT - PLANT IMPROVEMENTS/OPERATING COSTS","General",,"2015-03-20T00:00:00.000","2015-12-31T00:00:00.000","2015","4177.00","Winhall Industrial Society Inc","Bondville Fair","PO Box 339","Bondville","VT","05340"
"Agriculture, Food&Mrkts Agency","02200-ST15-14","Stipend Grant for Plant Improvements & Operating Costs","General",,"2015-03-20T00:00:00.000","2015-12-31T00:00:00.000","2015","12020.00","Tunbridge World's Fair","76 Howe Lane",,"Tunbridge","VT","05077"
"Agriculture, Food&Mrkts Agency","02200-VDPC-FY15-01","VT Dairy Promotion - Dairy in the Classroom","Special",,"2015-03-15T00:00:00.000","2015-12-31T00:00:00.000","2015","25000.00","New England Dairy Promotion Board Inc","41 IDX Dr Ste 221",,"S Burlington","VT","05403"
"Agriculture, Food&Mrkts Agency","02200-SCBGP-9-10","Enhancing the Competitiveness of New England Specialty Crops thru Regional Collaboration","Federal","10.170","2015-03-03T00:00:00.000","2016-08-31T00:00:00.000","2015","6000.00","Harvest New England Association","165 Capitol Ave",,"Hartford","CT","06106"
"Agriculture, Food&Mrkts Agency","02200-ARM-BMP-FNLC-2015","Install Best Management Practices on farm","Other",,"2015-03-01T00:00:00.000","2017-09-30T00:00:00.000","2015","40000.00","Friends of Northern Lake Champlain Inc","PO Box 58",,"Swanton","VT","05488-0058"
"Agriculture, Food&Mrkts Agency","02200-ARM-CREP-015-2015-11000","Conservation Reserve Enhancement Program","Other",,"2015-03-01T00:00:00.000","2029-09-30T00:00:00.000","2015","2387.70","Frank & Donna Hutchins","3838 Upper Pleasant Valley Rd",,"Cambridge","VT","05444"
"Agriculture, Food&Mrkts Agency","02200-ARM-CREP-015-2015-11001","Conservation Reserve Enhancement Program","Other",,"2015-03-01T00:00:00.000","2044-09-30T00:00:00.000","2015","1092.00","Selawsky,John T","1912 Blake St",,"Berkeley","CA","94704"
"Agriculture, Food&Mrkts Agency","02200-ARM-FAP-2015-067","Farm Agronomic Practices Program Education and Outreach Grant","General",,"2015-03-01T00:00:00.000","2015-06-30T00:00:00.000","2015","1000.00","Friends of Northern Lake Champlain Inc","PO Box 58",,"Swanton","VT","05488-0058"
"Agriculture, Food&Mrkts Agency","02200-CG-1509","Capital Fair Grant","Special",,"2015-03-01T00:00:00.000","2016-12-31T00:00:00.000","2015","23060.94","Vermont State Fair","% Treasurer","175 S Main St","Rutland","VT","05701"
"Agriculture, Food&Mrkts Agency","02200-ARM-BMP-836-1396","Install Best Management Practices on farm","Other",,"2015-02-15T00:00:00.000","2017-12-31T00:00:00.000","2015","40000.00","Laroche,Real","1881 Durkee Rd",,"Highgate Ctr","VT","05460"
"Agriculture, Food&Mrkts Agency","02200-ARM-FAP-2015-065","Farm Agronomic Practices:  Education and Outreach Grant","General",,"2015-02-06T00:00:00.000","2015-06-30T00:00:00.000","2015","1000.00","University of Vermont","Treasurer's Office","333 Waterman Bldg","Burlington","VT","05405-0160"
"Agriculture, Food&Mrkts Agency","02200-ARM-FAP-2015-066","Farm Agronomic Practices:  Education and Outreach Grant","General",,"2015-02-06T00:00:00.000","2015-06-30T00:00:00.000","2015","1000.00","University of Vermont","Treasurer's Office","333 Waterman Bldg","Burlington","VT","05405-0160"
"Agriculture, Food&Mrkts Agency","02200-ARM-CREP-011-2015-11000","Conservation Reserve Enhancement Program","Other",,"2015-02-01T00:00:00.000","2029-09-30T00:00:00.000","2015","1880.55","Sweet,Carol A","1344 Ballard Rd",,"St Albans","VT","05478"
"Agriculture, Food&Mrkts Agency","02200-FTS-1501","MAC Funds, Gardening Club, Field Trips to local farms","General",,"2015-02-01T00:00:00.000","2016-01-31T00:00:00.000","2015","1400.00","Derby Town School District","% North Country Supervisory Union","121 Duchess Ave Suite A","Newport","VT","05855-4897"
"Agriculture, Food&Mrkts Agency","02200-FTS-1502","Cash match for equip, traings, food from farms, curricula mat, proj coord, 10hr/mox12/mos, stud stip","General",,"2015-02-01T00:00:00.000","2016-01-31T00:00:00.000","2015","2200.00","Vermont Permanency Initiative Inc","dba VAIL Program","192 Fairview Street","Bennington","VT","05201"
"Agriculture, Food&Mrkts Agency","02200-FTS-1503","FY2015 Farm to School Implementation Grant","General",,"2015-02-01T00:00:00.000","2016-07-31T00:00:00.000","2015","2300.00","Chittenden East Supervisory Union","PO Box 282",,"Richmond","VT","05477"
"Agriculture, Food&Mrkts Agency","02200-FTS-1504","FY2015 Farm to School Planning - Pilot Grant","General",,"2015-02-01T00:00:00.000","2016-01-31T00:00:00.000","2015","2200.00","Franklin Northwest Supervisory Union","100 Robin Hood Drive Ste 2",,"Swanton","VT","05488"
"Agriculture, Food&Mrkts Agency","02200-FTS-1505","Printing, correspondence, promotional materials, 3 stakeholder stipends","General",,"2015-02-01T00:00:00.000","2016-01-31T00:00:00.000","2015","2200.00","Peacham Town School District","% Caledonia Central Sup Union","PO Box 216","Danville","VT","05828"
"Agriculture, Food&Mrkts Agency","02200-FTS-1506","FY2015 Farm to School Planning - Pilot Grant","General",,"2015-02-01T00:00:00.000","2016-01-31T00:00:00.000","2015","2200.00","Newport City School District","% North Country Supervisory Union","121 Duchess Ave Suite A","Newport","VT","05855-4897"
"Agriculture, Food&Mrkts Agency","02200-SCBGP-8-6A","Researching the Root Aphids problem with VT Christmas Trees","Federal","10.170","2014-12-15T00:00:00.000","2015-08-31T00:00:00.000","2015","2800.00","University of Vermont","Treasurer's Office","333 Waterman Bldg","Burlington","VT","05405-0160"
"Agriculture, Food&Mrkts Agency","02200-FTS-1507","Donated wood, tools & materials for gardens, teaching materials, local food purchase, FTS Coordinat.","General",,"2015-02-01T00:00:00.000","2016-01-31T00:00:00.000","2015","8875.00","Chelsea Town School District","% Orange-Windsor Superv Union","461 Waterman Rd.","Royalton","VT","05068"
"Agriculture, Food&Mrkts Agency","02200-FTS-1508","Cash and in-kind matches for nearly all budget items (noted in grant agreement)","General",,"2015-02-01T00:00:00.000","2016-07-31T00:00:00.000","2015","8875.00","Washington South Supervisory Union","37 Cross St Unit 1",,"Northfield","VT","05663"
"Agriculture, Food&Mrkts Agency","02200-FTS-1509","Fundraisers:  Read-a-thon, Spring Fling, FarmRaiser, Ink Recycling, Box Tops","General",,"2015-02-01T00:00:00.000","2016-07-31T00:00:00.000","2015","8875.00","Newbury Town School District","% Orange East Supervisory Union","530 Waits River Road","Bradford","VT","05033"
"Agriculture, Food&Mrkts Agency","02200-FTS-1510","Funds toward hiring community member for project facilitation","General",,"2015-02-01T00:00:00.000","2016-07-31T00:00:00.000","2015","8875.00","Walden Town School District","% Caledonia Central Sup Union","PO Box 216","Danville","VT","05828"
"Agriculture, Food&Mrkts Agency","02200-ARM-FAP-2015-064","Farm Agronomic Practices:  Education and Outreach Grant","General",,"2015-01-09T00:00:00.000","2015-12-31T00:00:00.000","2015","1000.00","Magnan,Scott","374 South Main St",,"ST Albans","VT","05478"
"Agriculture, Food&Mrkts Agency","02200-RBOG-2015-1","Feasibility Study:  On-farm renewable natural gas production for transportation fuels","Federal","10.773","2015-01-09T00:00:00.000","2016-03-01T00:00:00.000","2015","72719.00","Vermont Energy Investment Corporation","128 Lakeside Ave Ste 401",,"Burlington","VT","05401"
"Agriculture, Food&Mrkts Agency","02200-CG-FY1510","FY2015 Fair Capital Grant: Horse Barn foundation & stall walls replace & roadway asphalt repaving","Special",,"2015-01-05T00:00:00.000","2016-12-31T00:00:00.000","2015","25138.90","Tunbridge World's Fair","76 Howe Lane",,"Tunbridge","VT","05077"
