"grantee_name","address_line_1","address_line_2","city","state","zip","state_of_vermont_granting_department","grant_number","grant_description","funding_source","cfda","start_date","end_date","award_amount","year","location_1"
"Southern Windsor/Windham Counties","PO Box 320",,"Ascutney","VT","05030-0320","Environmental Conservation","06140-SWIP2012-11","To keep harzardous waste from landfills/streams&promote/educate public recycling&composting.","Other Fund",,"2012-04-23T00:00:00.000","2013-04-15T00:00:00.000","20636.00","2012-01-01T00:00:00.000","
Ascutney, VT 05030-0320
(43.40688429300047, -72.40745692899964)"
"Bellows Falls Village Treasurer","PO Box 370",,"Bellows Falls","VT","05101","Public Safety","02140-79252-019","FY 2009 State Homeland Security Grant Program","Federal Fund","97.067","2012-04-26T00:00:00.000","2012-07-31T00:00:00.000","29025.26","2012-01-01T00:00:00.000","
Bellows Falls, VT 05101
(43.143123191000484, -72.45805592099964)"
"Barre Supervisory Union #61","120 Ayers St",,"Barre","VT","05641","Education Agency","05100-4756S0611201","IDEA-B BASIC ARRA","Federal Fund","84.391","2011-07-07T00:00:00.000","2011-09-30T00:00:00.000","180770.90","2012-01-01T00:00:00.000","
Barre, VT 05641
(44.196374249000485, -72.49216855999964)"
"Morningside House Inc","DBA Morningside Emergency Shelter","PO Box 370","Brattleboro","VT","05302-0370","Children and Families","03440-10117-13-OR","SNAP","Federal Fund","10.561","2012-10-01T00:00:00.000","2013-09-30T00:00:00.000","5500.00","2013-01-01T00:00:00.000","
Brattleboro, VT 05302-0370
(42.85463410900047, -72.55917582699965)"
"ST Johnsbury Town Treasurer","1187 Main St Ste 2",,"St Johnsbury","VT","05819","Public Safety","02140-1213-2134","FFY 2013 Highway Safety (402) Grant","Federal Fund","20.600","2012-10-03T00:00:00.000","2013-09-30T00:00:00.000","5000.00","2013-01-01T00:00:00.000","
St Johnsbury, VT 05819
(44.42087633800048, -72.00629700999963)"
"NFI Vermont Inc","Attn Contract Coordinator","30 Airport Rd","S Burlington","VT","05403","Health","03420-5945S","NORTH EAST FAMILY INSTITUTE INC","Federal Fund","93.531","2012-07-01T00:00:00.000","2014-06-30T00:00:00.000","16000.00","2013-01-01T00:00:00.000","
S Burlington, VT 05403
(44.45198657800046, -73.17863597799965)"
"Dream Program","PO Box 361",,"Winooski","VT","05404","BGS Capital Projects","01181-72-REC-014","2012 RECREATION GRANT- SEPTIC SYSTEM","Other Fund",,"2012-07-01T00:00:00.000","2013-06-30T00:00:00.000","15000.00","2013-01-01T00:00:00.000","
Winooski, VT 05404
(44.49460673600049, -73.18556626199967)"
"Essex Caledonia Supervisory Union","PO Box 255",,"Concord","VT","05824","Education Agency","05100-4449S0181201","FRESH FRUIT AND VEGETABLE PROGRAM","Federal Fund","10.582","2011-08-01T00:00:00.000","2012-06-30T00:00:00.000","1376.00","2012-01-01T00:00:00.000","
Concord, VT 05824
(44.4403289280005, -71.89205812499966)"
"Clarendon Town Treasurer","PO Box 30",,"N Clarendon","VT","05759","AOT Maintenance Headquarters","08131-FE0604","Town of Clarendon FEMA 4022 Disaster","Special Fund",,"2011-08-27T00:00:00.000","2013-03-07T00:00:00.000","174.26","2012-01-01T00:00:00.000","
N Clarendon, VT 05759
(43.54358062200049, -72.95543739099963)"
"Carpenter Carse Library","69 Ballards Corner Rd","Box 127","Hinesburg","VT","05461","Libraries","01130_SMITH_FY13-029","Performers grant","Special Fund",,"2013-02-01T00:00:00.000","2013-10-31T00:00:00.000","100.00","2013-01-01T00:00:00.000","
Hinesburg, VT 05461
(44.327771560000485, -73.09500765799964)"
"Greensboro Community Child Care Center,","1160 Main St",,"Greensboro Bend","VT","05842","Education Agency","05100-3243R4761201","EARLY EDUCATION INITIATIVE","General Fund",,"2011-07-01T00:00:00.000","2012-06-30T00:00:00.000","30000.00","2012-01-01T00:00:00.000","
Greensboro Bend, VT 05842
(44.56239751200047, -72.24362989999963)"
"Greensboro Community Child Care Center,","1160 Main Street",,"Greensboro Bend","VT","05842","Education Agency","05100-3243R4761301","EARLY EDUCATION INITIATIVE","General Fund",,"2012-07-01T00:00:00.000","2013-06-30T00:00:00.000","30000.00","2013-01-01T00:00:00.000","
Greensboro Bend, VT 05842
(44.56239751200047, -72.24362989999963)"
"Castleton Town Treasurer","PO Box 727",,"Castleton","VT","05735","AOT Maintenance Headquarters","08131- BC1329","Th Structures Grant TH14 Br38","Special Fund",,"2011-07-22T00:00:00.000","2014-07-22T00:00:00.000","175000.00","2012-01-01T00:00:00.000","
Castleton, VT 05735
(43.628273470000465, -73.18102573099964)"
"Walden Town Treasurer","12 VT Rte 215",,"W Danville","VT","05873","AOT Maintenance Headquarters","08131-FE0528","FEMA Disaster 4022","Special Fund",,"2011-08-27T00:00:00.000","2014-09-01T00:00:00.000","14105.09","2012-01-01T00:00:00.000","
W Danville, VT 05873
(44.388453907000496, -72.21342776599965)"
"Rutland-Windsor Supervisory Union","8 High St",,"Ludlow","VT","05149","Education Agency","05100-4226S0391301","IDEA-B BASIC REGULAR GRANT","Federal Fund","84.027","2012-07-01T00:00:00.000","2013-06-30T00:00:00.000","122778.00","2013-01-01T00:00:00.000","
Ludlow, VT 05149
(43.41627196100046, -72.69694866799966)"
"Ludlow Town Treasurer","PO Box 307",,"Ludlow","VT","05149","Public Safety","02140-0912-3521","FFY 2012 Equipment Incentives (406)","Federal Fund","20.609","2011-12-09T00:00:00.000","2012-09-30T00:00:00.000","1000.00","2013-01-01T00:00:00.000","
Ludlow, VT 05149
(43.41627196100046, -72.69694866799966)"
"Kempton Farms Inc","Matthew Kempton","PO Box 251","Peacham","VT","05862","Agriculture, Food&Mrkts Agency","02200-ARM-FAP-2013-166","IMPLEMENT FARM AGRONOMIC PRACTICES ON FARM","General Fund",,"2012-12-28T00:00:00.000","2013-06-30T00:00:00.000","285.00","2013-01-01T00:00:00.000","
Peacham, VT 05862
(44.33571423000046, -72.16161792099967)"
"Washington County Youth Service Bureau","PO Box 627",,"Montpelier","VT","05601","Health","03420-A13106S","Prevention services","Federal Fund","93.959","2012-10-01T00:00:00.000","2013-09-30T00:00:00.000","10000.00","2013-01-01T00:00:00.000","
Montpelier, VT 05601
(44.260854131000485, -72.57848643799963)"
"Central Vermont Council on Aging","59 North Main St Suite 200",,"Barre","VT","05641","Disabilities Aging Ind. Living","03460-6-1877","AAA Allocation","Federal Fund","93.052","2012-10-01T00:00:00.000","2013-09-30T00:00:00.000","65204.00","2013-01-01T00:00:00.000","
Barre, VT 05641
(44.196374249000485, -72.49216855999964)"
"Ferrisburgh Town Treasurer","PO Box 6",,"Ferrisburgh","VT","05456","Housing & Comm Development","07110MP-2013-FERRISBURG-00072","Municipal Plan Update","Special Fund",,"2012-12-01T00:00:00.000","2014-05-16T00:00:00.000","7986.00","2013-01-01T00:00:00.000","
Ferrisburgh, VT 05456
(44.20904428500046, -73.24854711699965)"
"Washington County Youth Service Bureau","PO Box 627",,"Montpelier","VT","05601","Children and Families","03440-20207-13 VCTC","SUPPORT OF TEEN CENTER NETWORK","General Fund",,"2012-07-01T00:00:00.000","2013-06-30T00:00:00.000","20000.00","2013-01-01T00:00:00.000","
Montpelier, VT 05601
(44.260854131000485, -72.57848643799963)"
"Green Mountain Economic Dev Corp","PO Box 246",,"White River Jct","VT","05001","BGS Capital Projects","01181-73-RED-003","FY13 REGIONAL ECON. DEVELOPMENT GRANT-DESIGN & ENGINEERING WORK","Other Fund",,"2012-07-01T00:00:00.000","2013-06-30T00:00:00.000","25000.00","2013-01-01T00:00:00.000","
White River Jct, VT 05001
(43.659852970000486, -72.34645879999965)"
"Poultney-Mettawee Natural Resources","Treasurer","PO Box 209","Poultney","VT","05764","Fish & Wildlife","06120WG27-12","Poultney Mettowee Watershed Protection Project","Other Fund",,"2012-04-23T00:00:00.000","2013-06-13T00:00:00.000","9500.00","2012-01-01T00:00:00.000","
Poultney, VT 05764
(43.52219016000049, -73.21596826499967)"
"Lamoille County Planning Commission","PO Box 1637",,"Morrisville","VT","05661","Forests, Parks & Recreation","06130-LCPC-13","landscape scale forest stewardshipt data development","Federal Fund","10.664","2013-01-12T00:00:00.000","2015-06-30T00:00:00.000","118365.00","2013-01-01T00:00:00.000","
Morrisville, VT 05661
(44.54626885200048, -72.60108915699965)"
"Danby Town Treasurer","PO Box 231",,"Danby","VT","05739","Public Safety","02140-34000-005","HMGP DR-4022","Federal Fund","97.039","2013-04-19T00:00:00.000","2016-03-05T00:00:00.000","57644.00","2013-01-01T00:00:00.000","
Danby, VT 05739
(43.36457074100048, -73.02983691999964)"
"Koch,Matthew","2207 Mud City Loop",,"Morrisville","VT","05661","Housing & Comm Development","07110-2012-BG-12-017","CRYSTAL SPRING FARM","Other Fund",,"2012-02-27T00:00:00.000","2013-12-31T00:00:00.000","15000.00","2013-01-01T00:00:00.000","
Morrisville, VT 05661
(44.54626885200048, -72.60108915699965)"
"Thetford Academy","304 Academy Rd","PO Box 190","Thetford","VT","05074","Education Agency","05100-5840S0501301","TO SUPPORT THE EXPENSES OF THE LOCAL STANDARDS BOARD","Other Fund",,"2012-07-01T00:00:00.000","2013-06-30T00:00:00.000","750.00","2013-01-01T00:00:00.000","
Thetford, VT 05074
(43.82050085800046, -72.23245888999963)"
"Central Vermont Community Action","195 US Rte 302-Berlin",,"Barre","VT","05641","Human Services Agency","03400-MDO&VDO-FY12-SD","Provide service coordination for Individuals & Families in Barre & Morrisville District.","General Fund",,"2011-07-01T00:00:00.000","2012-06-30T00:00:00.000","37500.00","2012-01-01T00:00:00.000","
Barre, VT 05641
(44.196374249000485, -72.49216855999964)"
"Franklin Northwest Supervisory Union","100 Robin Hood Drive Ste 2",,"Swanton","VT","05488","Education Agency","05100-4651S0211301","TITLE II, PART A, TEACHER AND PRINCIPAL TRAINING AND RECRUITING FUND","Federal Fund","84.367","2012-07-01T00:00:00.000","2013-06-30T00:00:00.000","271264.00","2013-01-01T00:00:00.000","
Swanton, VT 05488
(44.921938027000465, -73.12694779299966)"
"Criminal Justice Training Council","317 Academy Rd",,"Pittsford","VT","05763","Public Safety","02140-70232-001","FY 2010 Homeland Security Grant Program","Federal Fund","97.067","2012-03-15T00:00:00.000","2013-07-31T00:00:00.000","250000.00","2012-01-01T00:00:00.000","
Pittsford, VT 05763
(43.70720049500045, -73.00290657599965)"
"Franklin West Supervisory Union","4497 Highbridge Rd",,"Fairfax","VT","05454","Education Agency","05100-5555S0221301","TOBACCO USE PREVENTION","Other Fund",,"2012-07-01T00:00:00.000","2013-06-30T00:00:00.000","14924.00","2013-01-01T00:00:00.000","
Fairfax, VT 05454
(44.695007080000494, -73.03241785299963)"
"Ripton Town Treasurer","PO Box 10",,"Ripton","VT","05766","Transportation Agency","08131-FE0771","FEMA 4066","Federal Fund","97.036","2012-05-29T00:00:00.000","2013-05-07T00:00:00.000","23324.48","2013-01-01T00:00:00.000","
Ripton, VT 05766
(43.97446178300049, -73.01166610699966)"
"Royalton Town Treasurer","PO Box 680",,"S Royalton","VT","05068","Transportation Agency","08131-BC1427","THS40013 BC1427 Town of Royalton Highway Structures Grant TH38 Culvert22","Special Fund",,"2012-07-01T00:00:00.000","2013-12-12T00:00:00.000","114464.00","2013-01-01T00:00:00.000","
S Royalton, VT 05068
(43.80529333900046, -72.51980713899962)"
"Williston Town Treasurer","7900 Williston Rd",,"Williston","VT","05495","Environmental Conservation","06140-AQ13-14","Municipalities for aquatic nuisance control programs","Other Fund",,"2012-07-09T00:00:00.000","2012-12-31T00:00:00.000","3790.00","2013-01-01T00:00:00.000","
Williston, VT 05495
(44.436887683000464, -73.10777762899966)"
"Vermont Center for Geographic Info Inc","58 South Main St Ste 2",,"Waterbury","VT","05676","Public Safety","02140-31014C-018","12 Emergency Management Performance Grant Program","Federal Fund","97.042","2012-10-23T00:00:00.000","2013-09-30T00:00:00.000","30000.00","2013-01-01T00:00:00.000","
Waterbury, VT 05676
(44.3421404930005, -72.76712919699963)"
"Fletcher Allen Health Care","BAR - Professional Remits","PO Box 1063","Burlington","VT","054021063","Mental Health","03150-C6017-FY13","Psychiatric Fellowship","GC Fund",,"2012-07-01T00:00:00.000","2013-06-30T00:00:00.000","150000.00","2013-01-01T00:00:00.000","
Burlington, VT 054021063
(44.48074802600047, -73.21366833099967)"
"Stone Environmental Inc","535 Stone Cutters Way",,"Montpelier","VT","05602","Housing & Comm Development","07110-VTP-OJT-12-014","FY 12 VT Training Program grant","General Fund",,"2011-09-01T00:00:00.000","2012-08-31T00:00:00.000","27666.09","2012-01-01T00:00:00.000","
Montpelier, VT 05602
(44.263391614000454, -72.58152794299963)"
"Eden Town Treasurer","71 Old Schoolhouse Rd",,"Eden Mills","VT","05653","Transportation Agency","08131-FE0774","FEMA 4066","Federal Fund","97.036","2012-05-29T00:00:00.000","2013-09-09T00:00:00.000","25965.07","2013-01-01T00:00:00.000","
Eden Mills, VT 05653
(44.713399488000505, -72.50673736299967)"
