"organization_name","description_of_services","populations_served","counties_served","website","how_to_access_resources","days_of_operation","hours_of_operation","notes","table3_addressline1","table3_addressline2","table3_city","table3_phone_numb"
"Senior Solutions","Provides trained professional case managers who work with elders in their home to create and monitor a plan of care that puts into place a variety of services designed to keep the elder safe and healthy. Care plans are centered on the elder's personal values and preferences. Case managers can assist with filling out assistance forms.","Mature Adults;Persons with Disabilities","Bennington;Orange;Windham;Windsor","http://www.seniorsolutionsvt.org","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:30 am - 4:30 pm","Benefits screening & application assistance.","38 Pleasant Street",,"Springfield","802-642-5119"
"Valley Health Connections","Provides assistance in navigating Vermont Health Connect, Green Mountain Care and FQHC health care systems to aid clients in obtaining free or subsidized health care through referrals, including: benefit screening and enrollment assistance, dental referrals and assistance in obtaining care, pharmacy vouchers and patient assistance pharmacy programs, eye care referrals, tobacco use screening and cessation program referrals, and physician referrals.","General","Windsor","https://www.vtccu.org/valley-health-connections.html","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","9:00 am - 4:00 pm",,"268 River Street",,"Springfield","802-885-1616"
"Capstone Community Action","Housing & Basic Needs: Provides a variety of core services including emergency support and assistance. Services include problem-solving support, employment goal setting, budget counseling, tenant-landlord mediation, emergency food services, and emergency assistance with other basic needs such as utility payment assistance.
Micro Business Development: Have you ever considered launching a business?  Do you have a business but still have questions and would like to learn more about business management? From startup to long-term sustainability, we support new and established entrepreneurs to make their dreams and aspirations a reality.
Tax Preparation: Do you need assistance filing your income taxes? Do you want to know if you are eligible for the Earned Income Tax Credit? We can help.
Asset Building: Offers a matched savings program designed to help low-income families and individuals save for and acquire a significant asset. An Individual Development Account (IDA) is a 2-year program in which participants start a savings account of up to $500 per year. The program will give $1.00 for each dollar saved. These savings can ONLY be used for buying a home, developing small businesses, or post secondary education and training.
Adult Personal Finance: Assists individuals who are having difficulty paying their monthly bills gain control of their finances.The process generally involves analysis of the individual's income, expenses, debts, taxes and other factors to create a personal financial assessment; development of a budget for basic living expenses. Also offers workshops that address a wide variety of money management issues including banking services, consumer credit lending, debt consolidation/repayment.","General","Lamoille;Orange;Washington","https://capstonevt.org/#home","Appointment;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 4:30 pm","Walk-ins may be asked to schedule an appointment, or incur a wait time.","20 Gable Place",,"Barre","802-479-1053"
"Capstone Community Action","Housing & Basic Needs: Provides a variety of core services including emergency support and assistance. Services include problem-solving support, employment goal setting, budget counseling, tenant-landlord mediation, emergency food services, and emergency assistance with other basic needs such as utility payment assistance.
Micro Business Development: Have you ever considered launching a business?  Do you have a business but still have questions and would like to learn more about business management? From startup to long-term sustainability, we support new and established entrepreneurs to make their dreams and aspirations a reality.
Tax Preparation: Do you need assistance filing your income taxes? Do you want to know if you are eligible for the Earned Income Tax Credit? We can help.
Asset Building: Offers a matched savings program designed to help low-income families and individuals save for and acquire a significant asset. An Individual Development Account (IDA) is a 2-year program in which participants start a savings account of up to $500 per year. The program will give $1.00 for each dollar saved. These savings can ONLY be used for buying a home, developing small businesses, or post secondary education and training.
Adult Personal Finance: Assists individuals who are having difficulty paying their monthly bills gain control of their finances.The process generally involves analysis of the individual's income, expenses, debts, taxes and other factors to create a personal financial assessment; development of a budget for basic living expenses. Also offers workshops that address a wide variety of money management issues including banking services, consumer credit lending, debt consolidation/repayment.","General","Lamoille;Orange;Washington","https://capstonevt.org/#home","Appointment;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 4:30 pm","Walk-ins may be asked to schedule an appointment, or incur a wait time.","Waitsfield United Church of Christ","4335 Main Street","Waitsfield","802-496-6900"
"CVOEO: Addison Community Action","Provides a variety of core services in the communities it serves, including emergency support and assistance for low-income families and individuals in crisis. Other services include problem-solving support, assistance with applications for benefits, employment goal-setting, budget counseling, tenant-landlord mediation, housing assistance, emergency food services, and emergency assistance with other basic needs such as utility payment assistance.
Helps residents apply for 3SquaresVT, School Breakfast and Lunch, WIC and other food programs. Offers nutrition education and activities to persons eligible for food stamps. Acts as advocate for food stamp issues. Distributes Farm to Family and Senior Farmer Market coupons, which can be used to purchase fresh fruit and vegetables at farmer's markets in Vermont.
Provides assistance in finding and keeping safe, affordable, permanent housing. Assists with rent, security deposits, and back rent.
Provides free assistance with state and federal tax forms, renter rebate, earned income tax credit, property tax prebate, and e-file. Cannot do self-employment or pension income tax preparation.","General","Addison","http://www.cvoeo.org","Appointment;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 12:00 pm, 12:30 pm - 4:00 pm","Appointment may be required for certain services.","54 Creek Road",,"Middlebury","802-388-2285"
"CVOEO: Chittenden Community Action","Provides a variety of core services in the communities it serves, including emergency support and assistance for low-income families and individuals in crisis. Other services include problem-solving support, assistance with applications for benefits, employment goal-setting, budget counseling, tenant-landlord mediation, housing assistance, emergency food services, and emergency assistance with other basic needs such as utility payment assistance. 
Provides assistance in finding and keeping safe, affordable, permanent housing. Assists with rent, security deposits, and back rent.
Provides free assistance with state and federal tax forms, renter rebate, earned income tax credit, property tax prebate, and e-file. Cannot do self-employment or pension income tax preparation.","General","Chittenden","http://www.cvoeo.org","Appointment;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","8:30 am - 4:30 pm","Certain services require appointment.","244 South Champlain Street",,"Burlington","802-863-6248"
"CVOEO: Coordinated Statewide Housing Services","Offers free information and non-legal advice about the rights and responsibilities of tenants and landlords in Vermont. Provides educational workshops about Vermont's residential rental housing laws, codes and enforcement policies; Publishes the ""Renting in Vermont"" handbook (hard copy and online), which summarizes Vermont's Landlord-Tenant laws. Other publications available include ""An Illustrated Guide To Vermont Renter's Rights"" and Vermont's Rental Housing Health Code.
Offers free assistance to park residents for a wide range of services. Services include assistance with the sale or closure of tenant's park, lot rent increase, habitability issues, and help forming or revitalizing a resident association. Also offers information about the laws affecting parks and help developing a strategy to deal with a complicated park problem. Provides public education about mobile home parks. Advocates for the development of programs and services for park residents, and provides workshops and training on various mobile home park issues.","General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Statewide;Washington;Windham;Windsor","http://www.cvoeo.org/","Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","9:00 am - 4:00 pm",,"255 South Champlain Street","Suite 9","Burlington","802-660-3451
802-660-3455 (mobile home project)"
"CVOEO: Grand Isle Outreach Office","Provides a variety of core services in the communities it serves, including emergency support and assistance for low-income families and individuals in crisis. Other services include problem-solving support, assistance with applications for benefits, employment goal-setting, budget counseling, tenant-landlord mediation, housing assistance, emergency food services, and emergency assistance with other basic needs such as utility payment assistance.","General","Grand Isle","http://www.cvoeo.org","Telephone;Walk-In","Tuesday","1:00 pm - 3:00 pm","Last two Tuesdays.","Route 2","Saint Joseph's Church","Grand Isle","802-527-7392"
"Another Way","Housing and employment support.","Individuals;Persons with Disabilities","Washington","http://www.anotherwayvt.org","Telephone;Walk-In","Friday;Monday;Saturday;Sunday;Thursday;Tuesday;Wednesday","9:00 am - 8:00 pm",,"125 Barre Street",,"Montpelier","802-229-0920"
"CVOEO: Richford Outreach Office","Provides a variety of core services in the communities it serves, including emergency support and assistance for low-income families and individuals in crisis. Other services include problem-solving support, assistance with applications for benefits, employment goal-setting, budget counseling, tenant-landlord mediation, housing assistance, emergency food services, and emergency assistance with other basic needs such as utility payment assistance.","General","Franklin","http://www.cvoeo.org","Telephone;Walk-In","Monday","12:00 pm - 1:00 pm","Last two Mondays.","53 Main Street",,"Richford","802-524-576"
"CVOEO: Financial Futures","Provides free classes in money and credit management, and individual financial and credit coaching. There are three curricula: Spend Smart teaches spending management (tracking and budgeting); Keys to Credit teaches how to manage, use, and repair credit; and Creating a Financial Future teaches how to save and do first-time investing. Also offers to pull credit reports. 
Offers a matched savings program designed to help low-income families and individuals save for and acquire a significant asset. An Individual Development Account (IDA) is a 2-year program in which participants start a savings account of up to $500 per year. The program will give $1.00 for each dollar saved. These savings can ONLY be used for buying a home, developing small businesses, or post secondary education and training.
Helps individuals with low to moderate income start or expand full or part-time businesses. Assists with writing business and/or marketing plans, start-up issues, business problem-solving, access to funding and community resources, and credit building, and personal money management.","General","Addison;Chittenden;Franklin;Grand Isle","http://www.cvoeo.org/","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:30 am - 4:30 pm","Personal finance, IDAs, & micro business development.","255 South Champlain Street",,"Burlington","802-860-1417
800-287-7071"
"CVOEO: Franklin Grand Isle Community Action","Franklin Grand Isle Community Action is a regional community action organization that provides a continuum of basic needs services, advocacy and assistance. Services include food and nutrition programs, emergency fuel assistance, and housing assistance.","General","Franklin;Grand Isle","http://www.cvoeo.org","Appointment;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","8:30 am - 4:30 pm","Some services require an appointment.","5 Lemnah Drive",,"Saint Albans","800-300-7392
802-527-7392"
"North East Kingdom Community Action","Provides a variety of core services in the communities it serves, including emergency support and assistance for low-income families and individuals in crisis. Other services include problem-solving support, employment goal setting, budget counseling, tenant-landlord mediation, community food shelf services, and emergency assistance with other basic needs such as utility payment assistance and housing.
Money Management: Assists individuals who are having difficulty paying their monthly bills gain control of their finances.The process generally involves analysis of the individual's income, expenses, debts, taxes and other factors to create a personal financial assessment; development of a budget for basic living expenses. Also offers workshops that address a wide variety of money management issues including banking services, consumer credit lending, debt consolidation/repayment.
Asset Building: Offers a matched savings program designed to help low-income families and individuals save for and acquire a significant asset. An Individual Development Account (IDA) is a 2-year program in which participants start a savings account of up to $500 per year. The program will give $1.00 for each dollar saved. These savings can ONLY be used for buying a home, developing small businesses, or post secondary education and training.
Tax Prep: Provides assistance with preparation of renters' rebate forms and homestead declarations only. Does not assist with federal and state tax preparation.","General","Caledonia;Essex;Orleans","http://www.nekcavt.org","Appointment;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 4:30 pm","Walk-Ins may experience a wait time or be asked to schedule appointment. Some services require an appointment.","70 Main Street",,"Newport","802-334-7316
800-639-4065"
"NEKCA: Outreach and Parent Child Center - South","Provides a variety of core services in the communities it serves, including emergency support and assistance for low-income families and individuals in crisis. Other services include problem-solving support, employment goal setting, budget counseling, tenant-landlord mediation, community food shelf services, and emergency assistance with other basic needs such as utility payment assistance and housing. Benefits screening and application assistance.","Families;General","Caledonia;Essex;Orleans","http://www.nekcavt.org","Appointment;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","8:30 am - 4:30 pm","Appointment required for some services.","115 Lincoln Street",,"Saint Johnsbury","802-748-6040
888-748-6040"
"NEKCA: Hardwick Outeach Office","Provides a variety of core services in the communities it serves, including emergency support and assistance for low-income families and individuals in crisis. Other services include problem-solving support, employment goal setting, budget counseling, tenant-landlord mediation, community food shelf services, and emergency assistance with other basic needs such as utility payment assistance and housing.","General","Caledonia;Essex;Orleans","http://www.nekcavt.org","Appointment;Telephone;Walk-In","Thursday","8:30 am - 4:00 pm","Walk-ins may experience a wait time or be asked to schedule an appointment.","7 Mill Street",,"Hardwick","888-748-6040
802-472-3183"
"Mount Ascutney Hospital and Health Center: Windsor Connection Resource Center","Connects individuals to a wide variety of social and state agency services and assists individuals with accessing services for which they are eligible. Service coordinators connect individuals to community support services and to local health resources and services.","General","Windsor","http://www.mtascutneyhospital.org/community-services/windsor-connection-resource-center","Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 4:30 pm",,"1 Railroad Avenue",,"Windsor","802-67-2900"
"Homeless Prevention Center","Provides housing search assistance, including help with applying for any available subsidies. Integrates money management education.","General","Rutland","http://www.hpcvt.org","Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:30 am - 4:30 pm","Interpretation services available.","56 Howe Street","Patch Place Building A","Rutland","802-775-9286"
"NEKCA: Parent Child Center - North","Provides parents with consumer information about local Early Headstart, Headstart, home-based care, and child care centers. Also provides information on what to look for in quality child care. Offers on-going parent education workshops and classes. Provides information about on-going parent/child activities. Provides eligibility determination services for the Vermont Child Care Financial Assistance Program that assists eligible families with payment for child care.

Offers a matched savings program designed to help low-income families and individuals save for and acquire a significant asset. An Individual Development Account (IDA) is a 2-year program in which participants start a savings account of up to $500 per year. The program will give $1.00 for each dollar saved. These savings can ONLY be used for buying a home, developing small businesses, or post secondary education and training.
Eligibility:To qualify for IDA Program individual must have $10,000 or less in assets, excluding primary dwelling and one automobile.

Provides assistance with preparation of renters' rebate forms and homestead declarations only. Does not assist with federal and state tax preparation.","Families","Caledonia;Essex;Orleans","http://www.nekcavt.org","Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","8:30 am - 4:30 pm",,"70 Main Street",,"Newport","802-334-7316"
"NEKCA: Micro Business Development South","Provides business counseling and technical assistance to individuals who are starting, expanding, or enhancing a small business. Services include one-to-one technical assistance in business plan development, marketing materials, and financial management.

Offers a matched savings program designed to help low-income families and individuals save for and acquire a significant asset. An Individual Development Account (IDA) is a 2-year program in which participants start a savings account of up to $500 per year. The program will give $1.00 for each dollar saved. These savings can ONLY be used for buying a home, developing small businesses, or post secondary education and training.

Provides assistance with preparation of renters' rebate forms and homestead declarations only. Does not assist with federal and state tax preparation.","General","Caledonia;Essex;Orleans","http://www.nekcavt.org","Appointment;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 4:30 pm","Appointment required for certain services.","108 Cherry Street",,"Saint Johnsbury","802-274-6334"
"Fair Haven Concerned","Offers support and advocacy with job searches, helps with filling out forms, and assists in negotiating with utilities, landlords, and service providers. Transportation for local shopping or local essential medical care may also be available depending on volunteer availability.","General","Rutland","http://www.fairhavenconcerned.org","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","M-T: 9:00 am - 12:00 pm, 1:00 pm - 4:00 pm. F: 9:00 am - 12:00 pm","Appointment required.","73 Main Street",,"Fair Haven","802-265-3666"
"H.O.P.E.","Assists individuals with finding local resources, determining eligibility, and filing applications for available services.","General","Caledonia","http://www.hopevermont.com","Telephone;Walk-In","Friday;Monday;Saturday;Thursday;Tuesday;Wednesday","M-F: 10:00 am - 5:00 pm, S: 10:00 am - 4:00 pm",,"136 Church Street",,"Lyndonville","802-626-3228"
"HOPE","Employment: Provides up to $75 for job and education related needs, including car repair, registration, insurance, work-related tools; uniforms, fees, and assistance with tuition and textbooks for persons in college or training that is likely to increase the chances of the person obtaining employment. 
Temporary Financial Aid: Provides limited funds to pay for heating fuel, electricity, housing, medical or dental needs, and other emergencies.
Housing: Offers subsidized rental housing for persons with disabilities.","General;Persons with Disabilities","Addison","http://www.hope-vt.org","Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","8:30 am - 4:00 pm",,"282 Boardman Street","John V. Craven Community Services Center","Middlebury","802-388-3608"
"Northeastern Vermont Regional Hospital Community Connections","Professional Information & Referral staff also assists individuals with determining eligibility for services, completing applications for benefits and insurance forms, and accessing health care.","General","Caledonia;Essex","http://nvrh.org/community-connections","Appointment;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 4:30 pm; by appointment after hours.",,"55 Sherman Drive",,"Saint Johnsbury","802-748-7526"
"Dummerston Cares","Provides information and referrals for community, regional, and state services. The program also offers transportation to medical appointments, friendly visiting, medical equipment loans, assistance with minor home repairs and household chores, community programs on wellness issues and other topics, and an emergency fuel fund. All services are performed by volunteers","Mature Adults;Persons with Disabilities","Windham","http://www.dummerstoncares.org","Telephone",,"Not specified.",,,,"West Dummerston","802-257-5800"
"Vermont Student Assistance Corporation","Provides public access computers and information on careers, college options, financial aid, and other resources. Encourages low-income individuals to pursue education or training beyond high school, and assists by providing information, interactive Web tools, counseling on career options, planning for education, and paying for college. VSAC Resource Center, career fairs, and workshops provide information about career options, preparing for college, college selection, and financial aid.","General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.vsac.org","Appointment;Online;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 4:30 pm","Appointment required to meet with a VSAC counselor.","10 East Allen Street",,"Winooski","802-655-9602"
"Vermont Community Loan Fund","Provides loans combined with financial consulting and business development services.","General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.investinvermont.org","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:30 am - 4:30 pm",,"15 State Street",,"Montpelier","802-223-1448"
"Vermont Department of Labor Career Resource Centers","Provides one-stop centers that offer an array of employment and training services. Helps job seekers assess skills and interests, explore training options, create a job search plan, write a resume, and find a job. Job seekers can access computers, educational resources, and information on employers. Provides youth employment services that include vocational testing and assessment to help identify skills, talents and experience; career guidance to help plan and map out a career strategy; tutoring and study skills training; summer employment opportunities; paid work experience including internships and job shadowing; leadership development opportunities; and support services to help overcome employment barriers. Monthly financial capabilities workshops.","General;Individuals","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.labor.vermont.gov#","Online;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","M-Th: 7:45 am - 4:30 pm
F: 9:30 am - 4:30 pm","Some locations closed 12:15 pm - 1:00 pm daily","5 Perry Street","McFarland State Office Building Suite 200","Barre","802-476-2600 
802-476-2638 TTY"
"Vermont Department of Labor Career Resource Centers","Provides one-stop centers that offer an array of employment and training services. Helps job seekers assess skills and interests, explore training options, create a job search plan, write a resume, and find a job. Job seekers can access computers, educational resources, and information on employers. Provides youth employment services that include vocational testing and assessment to help identify skills, talents and experience; career guidance to help plan and map out a career strategy; tutoring and study skills training; summer employment opportunities; paid work experience including internships and job shadowing; leadership development opportunities; and support services to help overcome employment barriers. Monthly financial capabilities workshops.","General;Individuals","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.labor.vermont.gov","Online;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","M-Th: 7:45 am - 4:30 pm
F: 9:30 am - 4:30 pm","Some locations closed 12:15 pm - 1:00 pm daily","200 Veterans Memorial Drive","Suite 2","Bennington","802-442-6376
802-447-2717 TTY"
"Vermont Department of Labor Career Resource Centers","Provides one-stop centers that offer an array of employment and training services. Helps job seekers assess skills and interests, explore training options, create a job search plan, write a resume, and find a job. Job seekers can access computers, educational resources, and information on employers. Provides youth employment services that include vocational testing and assessment to help identify skills, talents and experience; career guidance to help plan and map out a career strategy; tutoring and study skills training; summer employment opportunities; paid work experience including internships and job shadowing; leadership development opportunities; and support services to help overcome employment barriers. Monthly financial capabilities workshops.","General;Individuals","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.labor.vermont.gov","Online;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","M-Th: 7:45 am - 4:30 pm
F: 9:30 am - 4:30 pm","Some locations closed 12:15 pm - 1:00 pm daily","28 Vernon Street","Marlboro College Graduate Center Suite 212","Brattleboro","802-254-4555 
802-257-2872 TTY"
"Vermont Department of Labor Career Resource Centers","Provides one-stop centers that offer an array of employment and training services. Helps job seekers assess skills and interests, explore training options, create a job search plan, write a resume, and find a job. Job seekers can access computers, educational resources, and information on employers. Provides youth employment services that include vocational testing and assessment to help identify skills, talents and experience; career guidance to help plan and map out a career strategy; tutoring and study skills training; summer employment opportunities; paid work experience including internships and job shadowing; leadership development opportunities; and support services to help overcome employment barriers. Monthly financial capabilities workshops.","General;Individuals","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.labor.vermont.gov","Online;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","M-Th: 7:45 am - 4:30 pm
F: 9:30 am - 4:30 pm","Some locations closed 12:15 pm - 1:00 pm daily","63 Pearl Street",,"Burlington","802-863-7676 
802-863-7679 TTY"
"Vermont Department of Labor Career Resource Centers","Provides one-stop centers that offer an array of employment and training services. Helps job seekers assess skills and interests, explore training options, create a job search plan, write a resume, and find a job. Job seekers can access computers, educational resources, and information on employers. Provides youth employment services that include vocational testing and assessment to help identify skills, talents and experience; career guidance to help plan and map out a career strategy; tutoring and study skills training; summer employment opportunities; paid work experience including internships and job shadowing; leadership development opportunities; and support services to help overcome employment barriers. Monthly financial capabilities workshops.","General;Individuals","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.labor.vermont.gov","Online;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","M-Th: 7:45 am - 4:30 pm
F: 9:30 am - 4:30 pm","Some locations closed 12:15 pm - 1:00 pm daily","197 Harrel Street",,"Morrisville","802-888-4545
802-888-2541 TTY"
"Vermont Department of Labor Career Resource Centers","Provides one-stop centers that offer an array of employment and training services. Helps job seekers assess skills and interests, explore training options, create a job search plan, write a resume, and find a job. Job seekers can access computers, educational resources, and information on employers. Provides youth employment services that include vocational testing and assessment to help identify skills, talents and experience; career guidance to help plan and map out a career strategy; tutoring and study skills training; summer employment opportunities; paid work experience including internships and job shadowing; leadership development opportunities; and support services to help overcome employment barriers. Monthly financial capabilities workshops.","General;Individuals","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.labor.vermont.gov","Online;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","M-Th: 7:45 am - 4:30 pm
F: 9:30 am - 4:30 pm","Some locations closed 12:15 pm - 1:00 pm daily","100 Main Street","Emory Hebard State Office Building Suite 210","Newport","802-334-6545
802-334-3976 TTY"
