"service_provider_id","organization_name","description_of_services","populations_served","eligibility","counties_served","resource_categories","service_areas_detail","website","how_to_access_resources","days_of_operation","email_address","hours_of_operation","notes"
"11","Capstone Community Action","Housing & Basic Needs: Provides a variety of core services including emergency support and assistance. Services include problem-solving support, employment goal setting, budget counseling, tenant-landlord mediation, emergency food services, and emergency assistance with other basic needs such as utility payment assistance.
Micro Business Development: Have you ever considered launching a business?  Do you have a business but still have questions and would like to learn more about business management? From startup to long-term sustainability, we support new and established entrepreneurs to make their dreams and aspirations a reality.
Tax Preparation: Do you need assistance filing your income taxes? Do you want to know if you are eligible for the Earned Income Tax Credit? We can help.
Asset Building: Offers a matched savings program designed to help low-income families and individuals save for and acquire a significant asset. An Individual Development Account (IDA) is a 2-year program in which participants start a savings account of up to $500 per year. The program will give $1.00 for each dollar saved. These savings can ONLY be used for buying a home, developing small businesses, or post secondary education and training.
Adult Personal Finance: Assists individuals who are having difficulty paying their monthly bills gain control of their finances.The process generally involves analysis of the individual's income, expenses, debts, taxes and other factors to create a personal financial assessment; development of a budget for basic living expenses. Also offers workshops that address a wide variety of money management issues including banking services, consumer credit lending, debt consolidation/repayment.","General","Income guidelines may apply.","Lamoille;Orange;Washington","Adult Financial Education;Career Resources;Housing and Basic Needs;IDAs;Information and Referral;Small Business Assistance;Tax Assistance","Washington, Orange and Lamoille Counties; Towns of Barnard, Bethel, Rochester, Royalton, Sharon, Stockbridge, Pittsfield, Granville and Hancock","#https://capstonevt.org/#home","Appointment;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday",,"8:00 am - 4:30 pm","Walk-ins may be asked to schedule an appointment, or incur a wait time."
"12","CVOEO: Addison Community Action","Provides a variety of core services in the communities it serves, including emergency support and assistance for low-income families and individuals in crisis. Other services include problem-solving support, assistance with applications for benefits, employment goal-setting, budget counseling, tenant-landlord mediation, housing assistance, emergency food services, and emergency assistance with other basic needs such as utility payment assistance.
Helps residents apply for 3SquaresVT, School Breakfast and Lunch, WIC and other food programs. Offers nutrition education and activities to persons eligible for food stamps. Acts as advocate for food stamp issues. Distributes Farm to Family and Senior Farmer Market coupons, which can be used to purchase fresh fruit and vegetables at farmer's markets in Vermont.
Provides assistance in finding and keeping safe, affordable, permanent housing. Assists with rent, security deposits, and back rent.
Provides free assistance with state and federal tax forms, renter rebate, earned income tax credit, property tax prebate, and e-file. Cannot do self-employment or pension income tax preparation.","General","Income guidelines and other criteria may apply.","Addison","Adult Financial Education;Federal and State Benefits;Housing and Basic Needs;Information and Referral;Tax Assistance","Addison county except towns of Granville & Hancock","#http://www.cvoeo.org#","Appointment;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday",,"8:00 am - 12:00 pm, 12:30 pm - 4:00 pm","Appointment may be required for certain services."
"13","CVOEO: Chittenden Community Action","Provides a variety of core services in the communities it serves, including emergency support and assistance for low-income families and individuals in crisis. Other services include problem-solving support, assistance with applications for benefits, employment goal-setting, budget counseling, tenant-landlord mediation, housing assistance, emergency food services, and emergency assistance with other basic needs such as utility payment assistance. 
Provides assistance in finding and keeping safe, affordable, permanent housing. Assists with rent, security deposits, and back rent.
Provides free assistance with state and federal tax forms, renter rebate, earned income tax credit, property tax prebate, and e-file. Cannot do self-employment or pension income tax preparation.","General","Income guidelines may apply.","Chittenden","Adult Financial Education;Federal and State Benefits;Housing and Basic Needs;Information and Referral;Tax Assistance","Chittenden County","#http://www.cvoeo.org#","Appointment;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday",,"8:30 am - 4:30 pm","Certain services require appointment."
"14","CVOEO: Coordinated Statewide Housing Services","Offers free information and non-legal advice about the rights and responsibilities of tenants and landlords in Vermont. Provides educational workshops about Vermont's residential rental housing laws, codes and enforcement policies; Publishes the ""Renting in Vermont"" handbook (hard copy and online), which summarizes Vermont's Landlord-Tenant laws. Other publications available include ""An Illustrated Guide To Vermont Renter's Rights"" and Vermont's Rental Housing Health Code.
Offers free assistance to park residents for a wide range of services. Services include assistance with the sale or closure of tenant's park, lot rent increase, habitability issues, and help forming or revitalizing a resident association. Also offers information about the laws affecting parks and help developing a strategy to deal with a complicated park problem. Provides public education about mobile home parks. Advocates for the development of programs and services for park residents, and provides workshops and training on various mobile home park issues.","General","All tenants and mobile home park residents.","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Statewide;Washington;Windham;Windsor","Housing and Basic Needs","Statewide","#http://www.cvoeo.org/#","Telephone","Friday;Monday;Thursday;Tuesday;Wednesday",,"9:00 am - 4:00 pm",
"15","CVOEO: Alburgh Outreach Office","Food & nutrition assistance, utility assistance. 
Provides financial assistance to help Green Mountain Power (GMP) customers pay their bill when they have received a disconnect notice. Part of the bill will be paid by the program, and payment arrangements will be made for the balance.","General","Income guidelines apply.","Grand Isle","Housing and Basic Needs;Information and Referral","Grand Isle County","#http://www.cvoeo.org#","Walk-In","Tuesday",,"10:00 am - 1:00 pm","Open last two Tuesdays of the month. Utility services 10:00 am - 12:00 pm. Food services 12:00 pm - 1:00 pm."
"16","CVOEO: Grand Isle Outreach Office","Provides a variety of core services in the communities it serves, including emergency support and assistance for low-income families and individuals in crisis. Other services include problem-solving support, assistance with applications for benefits, employment goal-setting, budget counseling, tenant-landlord mediation, housing assistance, emergency food services, and emergency assistance with other basic needs such as utility payment assistance.","General","Income guidelines may apply.","Grand Isle","Federal and State Benefits;Housing and Basic Needs;Information and Referral","Grand Isle County","#http://www.cvoeo.org#","Telephone;Walk-In","Tuesday",,"1:00 pm - 3:00 pm","Last two Tuesdays."
"17","CVOEO: Richford Outreach Office","Provides a variety of core services in the communities it serves, including emergency support and assistance for low-income families and individuals in crisis. Other services include problem-solving support, assistance with applications for benefits, employment goal-setting, budget counseling, tenant-landlord mediation, housing assistance, emergency food services, and emergency assistance with other basic needs such as utility payment assistance.","General","Income guidelines may apply.","Franklin","Adult Financial Education;Federal and State Benefits;Housing and Basic Needs;Information and Referral","Franklin County","#http://www.cvoeo.org#","Telephone;Walk-In","Monday",,"12:00 pm - 1:00 pm","Last two Mondays."
"18","CVOEO: Financial Futures","Provides free classes in money and credit management, and individual financial and credit coaching. There are three curricula: Spend Smart teaches spending management (tracking and budgeting); Keys to Credit teaches how to manage, use, and repair credit; and Creating a Financial Future teaches how to save and do first-time investing. Also offers to pull credit reports. 
Offers a matched savings program designed to help low-income families and individuals save for and acquire a significant asset. An Individual Development Account (IDA) is a 2-year program in which participants start a savings account of up to $500 per year. The program will give $1.00 for each dollar saved. These savings can ONLY be used for buying a home, developing small businesses, or post secondary education and training.
Helps individuals with low to moderate income start or expand full or part-time businesses. Assists with writing business and/or marketing plans, start-up issues, business problem-solving, access to funding and community resources, and credit building, and personal money management.","General","Income guidelines apply.","Addison;Chittenden;Franklin;Grand Isle","Adult Financial Education;IDAs;Small Business Assistance","Addison County (except the towns of Granville and Hancock) and Chittenden, Franklin and Grand Isle Counties.","#http://www.cvoeo.org/#","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday",,"8:30 am - 4:30 pm","Personal finance, IDAs, & micro business development."
"19","CVOEO: Franklin Grand Isle Community Action","Franklin Grand Isle Community Action is a regional community action organization that provides a continuum of basic needs services, advocacy and assistance. Services include food and nutrition programs, emergency fuel assistance, and housing assistance.","General","Income guidelines may apply.","Franklin;Grand Isle","Federal and State Benefits;Housing and Basic Needs;Information and Referral;Tax Assistance","Franklin and Grand Isle Counties","#http://www.cvoeo.org#","Appointment;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday",,"8:30 am - 4:30 pm","Some services require an appointment."
"20","North East Kingdom Community Action","Provides a variety of core services in the communities it serves, including emergency support and assistance for low-income families and individuals in crisis. Other services include problem-solving support, employment goal setting, budget counseling, tenant-landlord mediation, community food shelf services, and emergency assistance with other basic needs such as utility payment assistance and housing.
Money Management: Assists individuals who are having difficulty paying their monthly bills gain control of their finances.The process generally involves analysis of the individual's income, expenses, debts, taxes and other factors to create a personal financial assessment; development of a budget for basic living expenses. Also offers workshops that address a wide variety of money management issues including banking services, consumer credit lending, debt consolidation/repayment.
Asset Building: Offers a matched savings program designed to help low-income families and individuals save for and acquire a significant asset. An Individual Development Account (IDA) is a 2-year program in which participants start a savings account of up to $500 per year. The program will give $1.00 for each dollar saved. These savings can ONLY be used for buying a home, developing small businesses, or post secondary education and training.
Tax Prep: Provides assistance with preparation of renters' rebate forms and homestead declarations only. Does not assist with federal and state tax preparation.","General","Income requirements may apply.","Caledonia;Essex;Orleans","Adult Financial Education;Federal and State Benefits;Housing and Basic Needs;IDAs;Information and Referral;Tax Assistance","Caledonia, Essex and Orleans Counties and town of Wells River","#http://www.nekcavt.org#","Appointment;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","info@nekcavt.org#mailto:info@nekcavt.org#","8:00 am - 4:30 pm","Walk-Ins may experience a wait time or be asked to schedule appointment. Some services require an appointment."
"21","NEKCA: Outreach and Parent Child Center - South","Provides a variety of core services in the communities it serves, including emergency support and assistance for low-income families and individuals in crisis. Other services include problem-solving support, employment goal setting, budget counseling, tenant-landlord mediation, community food shelf services, and emergency assistance with other basic needs such as utility payment assistance and housing. Benefits screening and application assistance.","Families;General","Income guidelines may apply.","Caledonia;Essex;Orleans","Adult Financial Education;Federal and State Benefits;Housing and Basic Needs;Information and Referral","Caledonia, Essex and Orleans Counties and town of Wells River","#http://www.nekcavt.org#","Appointment;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","info@nekcavt.org#mailto:info@nekcavt.org#","8:30 am - 4:30 pm","Appointment required for some services."
"22","NEKCA: Canaan Outreach Office","Provides a variety of core services in the communities it serves, including emergency support and assistance for low-income families and individuals in crisis. Other services include problem-solving support, employment goal setting, budget counseling, tenant-landlord mediation, community food shelf services, and emergency assistance with other basic needs such as utility payment assistance and housing.","Families;General","Income guidelines may apply.","Caledonia;Essex;Orleans","Adult Financial Education;Federal and State Benefits;Housing and Basic Needs;Information and Referral","Caledonia, Essex and Orleans Counties and town of Wells River","#http://www.nekcavt.org#","Appointment;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","info@nekcavt.org#mailto:info@nekcavt.org#","8:00 am - 4:30 pm","Some services require an appointment."
"23","NEKCA: Hardwick Outeach Office","Provides a variety of core services in the communities it serves, including emergency support and assistance for low-income families and individuals in crisis. Other services include problem-solving support, employment goal setting, budget counseling, tenant-landlord mediation, community food shelf services, and emergency assistance with other basic needs such as utility payment assistance and housing.","General","Income guidelines may apply.","Caledonia;Essex;Orleans","Adult Financial Education;Federal and State Benefits;Housing and Basic Needs;Information and Referral","Caledonia, Essex and Orleans Counties and town of Wells River.","#http://www.nekcavt.org#","Appointment;Telephone;Walk-In","Thursday","info@nekcavt.org#mailto:info@nekcavt.org#","8:30 am - 4:00 pm","Walk-ins may experience a wait time or be asked to schedule an appointment."
"33","Department of Vermont Health Access","Provides a member website for Vermonters who have Medicaid or Dr. Dynasaur. Assists Vermonters in enrolling in and answers questions about Medicaid, Dr. Dynasaur, Medicaid for the Aged, Blind, and Disabled (MABD), Choices for Care, and Prescription Assistance.","General","Program dependent.","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","Health Care","Statewide","#http://www.greenmountaincare.org#","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday",,"7:45 am - 4:30 pm",
"24","NEKCA: Island Pond Outreach Office","Provides a variety of core services in the communities it serves, including emergency support and assistance for low-income families and individuals in crisis. Other services include problem-solving support, employment goal setting, budget counseling, tenant-landlord mediation, community food shelf services, and emergency assistance with other basic needs such as utility payment assistance and housing.","General","Income guidelines may apply.","Caledonia;Essex;Orleans","Adult Financial Education;Federal and State Benefits;Housing and Basic Needs;Information and Referral","Caledonia, Essex and Orleans Counties and town of Wells River","#http://www.nekcavt.org#","Appointment;Telephone;Walk-In","Thursday","info@nekcavt.org#mailto:info@nekcavt.org#","9:00 am - 2:30 pm","Walk-ins may experience a wait time or asked to schedule an appointment."
"25","NEKCA: Parent Child Center - North","Provides parents with consumer information about local Early Headstart, Headstart, home-based care, and child care centers. Also provides information on what to look for in quality child care. Offers on-going parent education workshops and classes. Provides information about on-going parent/child activities. Provides eligibility determination services for the Vermont Child Care Financial Assistance Program that assists eligible families with payment for child care.

Offers a matched savings program designed to help low-income families and individuals save for and acquire a significant asset. An Individual Development Account (IDA) is a 2-year program in which participants start a savings account of up to $500 per year. The program will give $1.00 for each dollar saved. These savings can ONLY be used for buying a home, developing small businesses, or post secondary education and training.
Eligibility:To qualify for IDA Program individual must have $10,000 or less in assets, excluding primary dwelling and one automobile.

Provides assistance with preparation of renters' rebate forms and homestead declarations only. Does not assist with federal and state tax preparation.","Families","Income guidelines may apply.","Caledonia;Essex;Orleans","Federal and State Benefits;IDAs;Information and Referral;Tax Assistance","Caledonia, Orleans, Essex Counties","#http://www.nekcavt.org#","Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","info@nekcavt.org#mailto:info@nekcavt.org#","8:30 am - 4:30 pm",
"26","NEKCA: Micro Business Development South","Provides business counseling and technical assistance to individuals who are starting, expanding, or enhancing a small business. Services include one-to-one technical assistance in business plan development, marketing materials, and financial management.

Offers a matched savings program designed to help low-income families and individuals save for and acquire a significant asset. An Individual Development Account (IDA) is a 2-year program in which participants start a savings account of up to $500 per year. The program will give $1.00 for each dollar saved. These savings can ONLY be used for buying a home, developing small businesses, or post secondary education and training.

Provides assistance with preparation of renters' rebate forms and homestead declarations only. Does not assist with federal and state tax preparation.","General","Income guidelines may apply.","Caledonia;Essex;Orleans","IDAs;Small Business Assistance;Tax Assistance","Caledonia, Essex and Orleans Counties","#http://www.nekcavt.org#","Appointment;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","info@nekcavt.org#mailto:info@nekcavt.org#","8:00 am - 4:30 pm","Appointment required for certain services."
"27","Fair Haven Concerned","Offers support and advocacy with job searches, helps with filling out forms, and assists in negotiating with utilities, landlords, and service providers. Transportation for local shopping or local essential medical care may also be available depending on volunteer availability.","General","Open to all.","Rutland","Career Resources;Federal and State Benefits;Housing and Basic Needs;Information and Referral","Towns of Fair Haven, Benson, and West Haven.","#http://www.fairhavenconcerned.org#","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","fhci@comcast.net#mailto:fhci@comcast.net#","M-T: 9:00 am - 12:00 pm, 1:00 pm - 4:00 pm. F: 9:00 am - 12:00 pm","Appointment required."
"28","H.O.P.E.","Assists individuals with finding local resources, determining eligibility, and filing applications for available services.","General",,"Caledonia","Federal and State Benefits;Information and Referral","Towns of Lyndonville, Burke, Sutton, Sheffield, Stannard and Wheelock","#http://www.hopevermont.com#","Telephone;Walk-In","Friday;Monday;Saturday;Thursday;Tuesday;Wednesday","hope.in.nek@gmail.com#mailto:hope.in.nek@gmail.com#","M-F: 10:00 am - 5:00 pm, S: 10:00 am - 4:00 pm",
"29","HOPE","Employment: Provides up to $75 for job and education related needs, including car repair, registration, insurance, work-related tools; uniforms, fees, and assistance with tuition and textbooks for persons in college or training that is likely to increase the chances of the person obtaining employment. 
Temporary Financial Aid: Provides limited funds to pay for heating fuel, electricity, housing, medical or dental needs, and other emergencies.
Housing: Offers subsidized rental housing for persons with disabilities.","General;Persons with Disabilities","Income guidelines may apply. Proof of disability if applicable.","Addison","Adult Financial Education;Career Resources;Housing and Basic Needs;Information and Referral",,"#http://www.hope-vt.org#","Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday",,"8:30 am - 4:00 pm",
"30","Milton Family Community Center","Adult Basic Eduction and vocational training for pregnant/parenting youth. 
Temporary Financial Aid: Assists with completion of applications for Economic Services benefits. Provides one-time emergency financial assistance for utility shut off notices, lot rent, transportation to medical appointments and other emergency situations. Receipt of financial assistance is coupled with a personal budget counseling session.","Families","Pregnant/parenting youth, families w/ children age 6 and under (interview required).","Chittenden","Adult Financial Education;Career Resources;Federal and State Benefits;Housing and Basic Needs;Information and Referral","Chittenden County, financial assistance available for town of Milton.","#http://www.miltonfamilycenter.org#","Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","mfcc@miltonfamilycenter.org#mailto:mfcc@miltonfamilycenter.org#","8:00 am - 5:00 pm",
"31","Putney Community Cares","Provides support to individuals and families in the form of resource and referral services for basic needs, family crises, mental health issues, parenting issues, and child care. Offers assistance by a certified application counselor with enrollment in health care insurance. Assists individuals in applying for 3SquaresVT, subsidized housing, and fuel assistance.","General",,"Windham","Federal and State Benefits;Health Care;Information and Referral","Town of Putney","#https://www.putneycommunitycares.org/#","Telephone","Monday;Thursday;Tuesday;Wednesday","putneycares@svcable.net#mailto:putneycares@svcable.net#","10:00 am - 2:00 pm",
"34","Dummerston Cares","Provides information and referrals for community, regional, and state services. The program also offers transportation to medical appointments, friendly visiting, medical equipment loans, assistance with minor home repairs and household chores, community programs on wellness issues and other topics, and an emergency fuel fund. All services are performed by volunteers","Mature Adults;Persons with Disabilities","Adults Age 60 and Older; Individuals Below Age 60 who are disabled.","Windham","Federal and State Benefits;Information and Referral","Town of Dummerston","#http://www.dummerstoncares.org#","Telephone",,"info@dummerstoncares.org#mailto:info@dummerstoncares.org#","Not specified.",
"35","Vermont Student Assistance Corporation","Provides public access computers and information on careers, college options, financial aid, and other resources. Encourages low-income individuals to pursue education or training beyond high school, and assists by providing information, interactive Web tools, counseling on career options, planning for education, and paying for college. VSAC Resource Center, career fairs, and workshops provide information about career options, preparing for college, college selection, and financial aid.","General",,"Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","Career Resources;Loans and Asset Building","Statewide","#http://www.vsac.org#","Appointment;Online;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","info@vsac.org#mailto:info@vsac.org#","8:00 am - 4:30 pm","Appointment required to meet with a VSAC counselor."
"36","Vermont Community Loan Fund","Provides loans combined with financial consulting and business development services.","General","Small Businesses; Community Organizations; Non-profits; Child Care Providers; Developers of affordable housing; Ineligible for loans from traditional lenders.","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","Small Business Assistance","Statewide","#http://www.investinvermont.org#","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday",,"8:30 am - 4:30 pm",
"37","Mount Ascutney Hospital and Health Center: Windsor Connection Resource Center","Connects individuals to a wide variety of social and state agency services and assists individuals with accessing services for which they are eligible. Service coordinators connect individuals to community support services and to local health resources and services.","General",,"Windsor","Federal and State Benefits;Information and Referral",,"#http://www.mtascutneyhospital.org/community-services/windsor-connection-resource-center#","Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","mahweb@mahhc.org#mailto:mahweb@mahhc.org#","8:00 am - 4:30 pm",
"38","Vermont Department of Labor Career Resource Centers","Provides one-stop centers that offer an array of employment and training services. Helps job seekers assess skills and interests, explore training options, create a job search plan, write a resume, and find a job. Job seekers can access computers, educational resources, and information on employers. Provides youth employment services that include vocational testing and assessment to help identify skills, talents and experience; career guidance to help plan and map out a career strategy; tutoring and study skills training; summer employment opportunities; paid work experience including internships and job shadowing; leadership development opportunities; and support services to help overcome employment barriers. Monthly financial capabilities workshops.","General;Individuals","Income and risk guidelines applicable for youth programs.","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","Adult Financial Education;Career Resources","Statewide","#http://www.labor.vermont.gov#","Online;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday",,"M-Th: 7:45 am - 4:30 pm
F: 9:30 am - 4:30 pm","Some locations closed 12:15 pm - 1:00 pm daily"
