"propletter","proptitle","month","day","year","date","description","pass_fail","vote_counts_yes","vote_counts_no","percent_vote_yes","percent_vote_no","percent_required_to_pass","kind","howplaced","voter_information_pamphlet"
"16","Contract for Official Advertising; Official Newspaper","November","5","1907","1907-11-05T00:00:00.000","All contracts for official advertising to be let annually to the lowest responsible bidder publishing a daily newspaper with a daily circulation of at least two thousand copies and that has been in in existence for at least two years.  Advertising to be construed to mean the advertising and publication of all official reports, orders, ordinances relating to City work. The newspaper awarded such a contract shall be known as the ""Official Newspaper"".","F","12012","16729","0.42","0.58","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November5_1907.pdf"
"17","Regulation of Telephone Charges","November","5","1907","1907-11-05T00:00:00.000","To fix and determine by ordinance in the month of February of each year, to take effect on the first day of July thereafter, rates or compensation to be collected for the use of water, heat, light, power or telephonic service.","P","23867","3967","0.86","0.15","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November5_1907.pdf"
"18","Establishment of a Playground Commission","November","5","1907","1907-11-05T00:00:00.000","Relating to children's playgrounds and public recreation centers outside of Golden Gate Park, and creating a Playground Commission.","P","25897","3575","0.88","0.12","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November5_1907.pdf"
"19","Board of Health; Members; Appointment to Board and Terms of Office","November","5","1907","1907-11-05T00:00:00.000","Establish a Department of Health, under the management of the Board of Health, which will consist of seven members, to be appointed by the Mayor.   Members of the Board to serve without compensation and adopt rules and regulations as necessary for the government of the board.","P","20019","7131","0.74","0.26","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November5_1907.pdf"
"20","Salaries of Members of Police Department","November","5","1907","1907-11-05T00:00:00.000","Captains shall receive an annual salary of $2400; Lieutenants,  an annual salary of $1920; Sergeants, an annual salary of $1680; Corporals, an annual salary of $1560; Uniformed officers, an annual salary of $1464. The police force shall not exceed one officer for each 500 residents.","P","23095","17382","0.57","0.43","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November5_1907.pdf"
"21","Salaries of Members and Chief of Department of Electricity","November","5","1907","1907-11-05T00:00:00.000","Board of Fire Commissioners and Board of Police Commissioners to elect an electrician, who will have general supervision of the Department of Electricity and will receive an annual salary of $3,000.  The number and compensation of assistants and employees of the Department of Electricity will be fixed annually by the Supervisors.","P","18862","10894","0.63","0.37","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November5_1907.pdf"
"1","Auxiliary Water System Bonds, $5,200,000","May","11","1908","1908-05-11T00:00:00.000","To incur a bonded indebtedness of $5,200,000 for an auxiliary water system for the City.","P","21488","1636","0.93","0.07","66 2/3%","Bond Issue","Supervisors",
"2","Sewer System Bonds, $4,000,000","May","11","1908","1908-05-11T00:00:00.000","To incur a bonded indebtedness of $4,000,000 for the construction of a sewerage system for the City.","P","21401","1645","0.93","0.07","66 2/3%","Bond Issue","Supervisors",
"3","Public School Buildings Bonds, $3,000,000","May","11","1908","1908-05-11T00:00:00.000","To incur a bonded indebtedness of $3,000,000 for the construction of new public school buildings in the City.","P","21397","1701","0.93","0.07","66 2/3%","Bond Issue","Supervisors",
"4","Hospital Bonds, $2,000,000","May","11","1908","1908-05-11T00:00:00.000","To incur a bonded indebtedness of $2,000,000 for construction and improvement to the public hospitals in the City.","P","21263","1733","0.93","0.08","66 2/3%","Bond Issue","Supervisors",
"5","Hall of Justice and Jail Bonds, $1,000,000","May","11","1908","1908-05-11T00:00:00.000","To incur a bonded indebtedness of $1,000,000 for the construction of a Hall of Justice and a jail facility in the City.","P","21133","1875","0.92","0.08","66 2/3%","Bond Issue","Supervisors",
"6","Sanitary Reduction Work Bonds, $1,000,000","May","11","1908","1908-05-11T00:00:00.000","To incur a bonded indebtedness of $1,000,000 for the construction of a garbage disposal plant and to change the methods of the current sanitary system in the City.","P","20653","2423","0.89","0.11","66 2/3%","Bond Issue","Supervisors",
"1","Hetch Hetchy Project Authorization","November","12","1908","1908-11-12T00:00:00.000","Shall the City be authorized to purchase as a public utility, a water supply system and water works in the Hetch Hetchy Valley to furnish the City and its inhabitants with a sufficient supply of good, pure water for all purposes?","P","34950","5708","0.86","0.14","50%+1","Charter Amendment","Supervisors",
"2","Hetch Hetchy, Tuolumne River, Lake Eleanor Project Bonds, $600,000","November","12","1908","1908-11-12T00:00:00.000","To incur a bonded indebtedness of $600,000 for the purchase of lands, rights and claims to and adjacent to the Hetch Hetchy Valley and Lake Eleanor for the purpose of the construction of a water supply system and water works to furnish the City with a sufficient supply of good, pure water for all purposes. Requires a two-thirds vote to pass.","P","34572","5647","0.86","0.14","66 2/3%","Bond Issue","Supervisors",
"3","County Line Water Company Purchase, $40,000","November","12","1908","1908-11-12T00:00:00.000","To authorize the City to spend $40,000 on the purchase of the property and operations of the County Line Water Company used in supplying a portion of  the City with water.","P","33897","5953","0.85","0.15","50%+1","Charter Amendment","Supervisors",
"1","New City Hall","June","22","1909","1909-06-22T00:00:00.000","To incur a bonded indebtedness of $3,480,000 for the construction of a new City Hall and the purchase of four-and-a-half blocks new Market and Van Ness to constitute a Civic Center.","F","12807","10498","0.55","0.45","66 2/3%","Bond Issue","Supervisors",
"2","Polytechnic High School Bond Issue, $600,000","June","22","1909","1909-06-22T00:00:00.000","To incur a bonded indebtedness of $600,000 for the construction of Polytechnic High School","P","17979","5210","0.78","0.23","66 2/3%","Bond Issue","Supervisors",
"3","Juvenile Detention Home Bond Issue, $160,000","June","22","1909","1909-06-22T00:00:00.000","To incur a bonded indebtedness of $160,000 for the construction of a juvenile detention home.","F","14950","8253","0.64","0.36","66 2/3%","Bond Issue","Supervisors",
"4","Telegraph Hill Public Park Bond Issue, $250,000","June","22","1909","1909-06-22T00:00:00.000","To incur a bonded indebtedness of $250,000 for the acquisition of lands on Telegraph Hill for the construction of a public park.","F","14334","8784","0.62","0.38","66 2/3%","Bond Issue","Supervisors",
"5","Potrero Public Park Bond Issue, $400,000","June","22","1909","1909-06-22T00:00:00.000","To incur a bonded indebtedness of $400,000 for the acquisition of land in the Potrero neighborhood near Kansas, 20th and Connecticut for the construction of a public park.","F","14243","8941","0.61","0.39","66 2/3%","Bond Issue","Supervisors",
"6","Aquatic Park Bond Issue, $500,000","June","22","1909","1909-06-22T00:00:00.000","To incur a bonded indebtedness of $500,000 for the acquisition of lands at the northern terminal of Van Ness Avenue for the construction of a public aquatic park.","F","14466","8755","0.62","0.38","66 2/3%","Bond Issue","Supervisors",
"7","Bay View Public Park Bond Issue, $25,000","June","22","1909","1909-06-22T00:00:00.000","To incur a bonded indebtedness of $25,000 for the acquisition of the Bay View near the railroad and 32nd Avenue.","F","14215","8805","0.62","0.38","66 2/3%","Bond Issue","Supervisors",
"8","Noe Valley Public Playground Bond Issue, $500,000","June","22","1909","1909-06-22T00:00:00.000","To incur a bonded indebtedness of $500,000 for the acquisition of land near Noe Street, Sanchez, Elizabeth and 24th Street.","F","14861","8258","0.64","0.36","66 2/3%","Bond Issue","Supervisors",
"9","Glen Park Public Park Bond Issue, $90,000","June","22","1909","1909-06-22T00:00:00.000","To incur a bonded indebtedness of $90,000 for the acquisition of lands in the Glen Park District for a public park","F","13451","9560","0.58","0.42","66 2/3%","Bond Issue","Supervisors",
"1","Municipal (MUNI) Street Railway -- Gray Street Bond Issue, $1,950,000","June","24","1909","1909-06-24T00:00:00.000","To incur a bonded indebtedness of $1,950,000 for the acquisition and construction of a public utility namely the Municipal Street Railway along Gray Street.","F","14404","7805","0.65","0.35","66 2/3%","Bond Issue","Supervisors",
"1","Lake Eleanor Bonds","January","14","1910","1910-01-14T00:00:00.000","To incur a bonded debt of City and County of San Francisco to the amount of $45,000,000 for the purpose of acquisition, construction and completion of a water supply and works to be owned and controlled by the City and County of San Francisco.","P","32886","1609","0.95","0.05","66 2/3%","Bond Issue","Supervisors",
"2","Spring Valley System","January","14","1910","1910-01-14T00:00:00.000","To incur a bonded debt of $35,000,000 to purchase water supply, works and property of Spring Valley Water Company.","F","22068","11722","0.65","0.35","66 2/3%","Bond Issue","Supervisors",
"1","Panama-Pacific International Exposition","November","15","1910","1910-11-15T00:00:00.000","Providing $5,000,000 city bonds for the exposition.","P","42024","2122","0.95","0.05","50%+1","Charter Amendment","Supervisors",
"2","Library Trustees","November","15","1910","1910-11-15T00:00:00.000","Giving the Mayor the appointment of Library Trustees.","F","11539","27813","0.29","0.71","50%+1","Charter Amendment","Supervisors",
"3","City Taxes","November","15","1910","1910-11-15T00:00:00.000","Abolishing the dollar limit in the rate of city taxes.","F","9753","27854","0.26","0.74","50%+1","Charter Amendment","Supervisors",
"4","Public Utilities","November","15","1910","1910-11-15T00:00:00.000","Enlarging power of city to acquire public utilities.","F","11186","26736","0.29","0.71","50%+1","Charter Amendment","Supervisors",
"5","Municipal Record","November","15","1910","1910-11-15T00:00:00.000","Providing for the city advertising in Municipal Record","F","18593","20045","0.48","0.52","50%+1","Charter Amendment","Supervisors",
"6","Petition Percentage","November","15","1910","1910-11-15T00:00:00.000","Reducing petition percentage for direct legislation and recall.","P","21651","17663","0.55","0.45","50%+1","Charter Amendment","Supervisors",
"7","Majority Rule","November","15","1910","1910-11-15T00:00:00.000","Provides for majority rule and restores Australian ballot.","P","33671","7469","0.82","0.18","50%+1","Charter Amendment","Supervisors",
"8","City Election Ballot","November","15","1910","1910-11-15T00:00:00.000","Eliminates the party circles from city election ballot.","P","31380","8480","0.79","0.21","50%+1","Charter Amendment","Supervisors",
"9","Term Limits For Supervisors","November","15","1910","1910-11-15T00:00:00.000","Four-year term: half Supervisors elected every two years.","P","21108","11130","0.65","0.35","50%+1","Charter Amendment","Supervisors",
"10","Absence of City Officials","November","15","1910","1910-11-15T00:00:00.000","Enlarging the opportunity for absence of city officials.","P","28411","10847","0.72","0.28","50%+1","Charter Amendment","Supervisors",
"11","Tunnel and Subway Construction","November","15","1910","1910-11-15T00:00:00.000","Provides for construction of tunnels and subways.","P","32432","7073","0.82","0.18","50%+1","Charter Amendment","Supervisors",
"12","Tunnel and Subway Construction (Same As Number 11)","November","15","1910","1910-11-15T00:00:00.000","Provides for construction of tunnels and subways.","P","31558","7301","0.81","0.19","50%+1","Charter Amendment","Supervisors",
"13","Sewer Assessments","November","15","1910","1910-11-15T00:00:00.000","Exempting sewer assessments from 50 per cent property value clause.","F","13005","24500","0.35","0.65","50%+1","Charter Amendment","Supervisors",
"14","Responsibility For Unaccepted Streets","November","15","1910","1910-11-15T00:00:00.000","Makes property owners responsible for unaccepted streets.","P","27643","11243","0.71","0.29","50%+1","Charter Amendment","Supervisors",
"17","Construction of Park Museum","November","15","1910","1910-11-15T00:00:00.000","Permitting Academy of Sciences to build museum in Park.","P","34490","4561","0.88","0.12","50%+1","Charter Amendment","Supervisors",
"18","Age Limit For Fire Auxiliary System Employees","November","15","1910","1910-11-15T00:00:00.000","Extending age limit of employees in the Auxiliary system.","P","19192","19009","0.50","0.50","50%+1","Charter Amendment","Supervisors",
"19","Recall of Street Railroad Franchise","November","15","1910","1910-11-15T00:00:00.000","Permitting city to recall street railroad franchise.","P","20465","17677","0.54","0.46","50%+1","Charter Amendment","Supervisors",
"20","Street Railroad Franchise Restrictions","November","15","1910","1910-11-15T00:00:00.000","Adding to restrictions of street railroad franchises.","F","17684","18921","0.48","0.52","50%+1","Charter Amendment","Supervisors",
"21","Tax Levy For Playgrounds","November","15","1910","1910-11-15T00:00:00.000","Providing 4 to 6 cent tax levy for playgrounds.","F","12779","23851","0.35","0.65","50%+1","Charter Amendment","Supervisors",
"22","Golden Gate Park Funds","November","15","1910","1910-11-15T00:00:00.000","Taking half Golden Gate Park funds for other parks.","F","16855","20504","0.45","0.55","50%+1","Charter Amendment","Supervisors",
"23","Municipal Work","November","15","1910","1910-11-15T00:00:00.000","Restricting municipal work to the day labor system.","F","10896","25697","0.30","0.70","50%+1","Charter Amendment","Supervisors",
"24","Civil Service Commission Cost and Term","November","15","1910","1910-11-15T00:00:00.000","Adds to cost and alters form of Civil Service Commission.","F","14234","22261","0.39","0.61","50%+1","Charter Amendment","Supervisors",
"25","Reducing City Office Hours","November","15","1910","1910-11-15T00:00:00.000","Provides leisure for tax eaters by reducing city office hours.","F","8662","28014","0.24","0.76","50%+1","Charter Amendment","Supervisors",
"27","Fiscal Amendments","November","15","1910","1910-11-15T00:00:00.000","Makes fiscal amendments take effect first of fiscal year.","P","27383","10225","0.73","0.27","50%+1","Charter Amendment","Supervisors",
"28","Raising Firemen Pensions","November","15","1910","1910-11-15T00:00:00.000","Raising pensions of firemen retired before year 1900.","P","30460","8415","0.78","0.22","50%+1","Charter Amendment","Supervisors",
"29","Supervisors' Salaries","November","15","1910","1910-11-15T00:00:00.000","Raising the salaries of Supervisors to $200 a month.","P","20709","17396","0.54","0.46","50%+1","Charter Amendment","Supervisors",
"30","Salaries and Positions in Registrar's Office","November","15","1910","1910-11-15T00:00:00.000","More positions and higher salaries in Registrar's office.","F","12353","26550","0.32","0.68","50%+1","Charter Amendment","Supervisors",
"31","Raising Salaries","November","15","1910","1910-11-15T00:00:00.000","Raising salaries of certain employees in Tax Collector's office.","F","10109","28374","0.26","0.74","50%+1","Charter Amendment","Supervisors",
"32","Board of Works -- Positions and Money","November","15","1910","1910-11-15T00:00:00.000","New positions and more money for the Board of Works.","F","8797","29697","0.23","0.77","50%+1","Charter Amendment","Supervisors",
"33","Board of Health -- Positions and Money","November","15","1910","1910-11-15T00:00:00.000","New positions and more money for the Board of Health.","F","9471","29478","0.24","0.76","50%+1","Charter Amendment","Supervisors",
"34","Department of Electricity -- Salaries","November","15","1910","1910-11-15T00:00:00.000","Higher and more salaries in Department of Electricity.","F","8257","29648","0.22","0.78","50%+1","Charter Amendment","Supervisors",
"35","Recorder's Salaries","November","15","1910","1910-11-15T00:00:00.000","Reducing piece rate and increasing salaries in Recorder's office.","P","21118","18163","0.54","0.46","50%+1","Charter Amendment","Supervisors",
"36","Assessor's Office -- Positions and Salaries","November","15","1910","1910-11-15T00:00:00.000","New positions and higher salaries in Assessor's office.","F","19324","19674","0.50","0.51","50%+1","Charter Amendment","Supervisors",
"37","Taxes For Public Schools","November","15","1910","1910-11-15T00:00:00.000","Adding to the portion of taxes for the public schools.","F","15027","23567","0.39","0.61","50%+1","Charter Amendment","Supervisors",
"38","Minimum Wage For City Work","November","15","1910","1910-11-15T00:00:00.000","Making $3 minimum day's wage on all the city work.","P","20972","19367","0.52","0.48","50%+1","Charter Amendment","Supervisors",
"39","Police Patrol Drivers' Salaries","November","15","1910","1910-11-15T00:00:00.000","Raising the salaries of the police patrol drivers.","F","15256","24681","0.40","0.60","50%+1","Charter Amendment","Supervisors",
,"Tunnel Ordinance","November","7","1911","1911-11-07T00:00:00.000","Providing for construction of Stockton Street tunnel.","P",,,,,,"Ordinance","Supervisors",
,"City Hall Bonds","March","28","1912","1912-03-28T00:00:00.000","Whether bonds are to be issued with which to build a new City Hall and to acquire land adjacent to it upon which will be constructed the San Francisco civic center.","P","45129","4035","0.92","0.08",,"Bond Issue","Supervisors",
"1","Establishing a Civic Center","December","10","1912","1912-12-10T00:00:00.000","Board of Supervisors to acquire land bounded by Market Street, Golden Gate Avenue and Franklin Street, for the purpose of establishing a Civic Center. The Board may also authorize the erection of an auditorium by the Panama-Pacific International Exposition Company, or of an opera house, museum, or other structure, provided the ownership of such structure will be vested in the municipality.","P","50210","24145","0.68","0.33","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/December10_1912.pdf"
"2","Panama-Pacific International Exposition Site","December","10","1912","1912-12-10T00:00:00.000","Board of Supervisors to pass ordinances relating to use and closing of streets; the use, alteration, demolition and control of buildings; installation of water, gas, steam, sewerage and other pipes; use and control of electric light, power; maintenance and control of fire and police protection; any portion of the City and County of San Francisco which has been or may be selected as the site for the holding of the Panama-Pacific International Exposition.","P","47962","24720","0.66","0.34","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/December10_1912.pdf"
"3","Establishment of Civil Service Commission","December","10","1912","1912-12-10T00:00:00.000","The Mayor will appoint three persons as Civil Service Commissioners, who will constitute the Civil Service Commission.   Each of the Commissioners will receive an annual salary of $1200.  Supervisors will appropriate annually not less than $12,500 for the expenses of the Commission, and not less than $5,000 additional for the inspection service.","P","44403","30522","0.59","0.41","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/December10_1912.pdf"
"4","Elected City Officials","December","10","1912","1912-12-10T00:00:00.000","All these officials will be elected by the people: Assessor - term of four years, annual salary $8000;  Coroner- term of four years,  also control the Morgue, annual salary of $5,000; Recorder - term of four years, annual salary $5,000; County Clerk  - term of four years, annual salary $5,000;  Sheriff  - term of four years, annual salary $8,000 exclusive of the compensation received for delivery of prisoners and the insane.","F","14779","58153","0.20","0.80","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/December10_1912.pdf"
"5","Fire Department Company Composition","December","10","1912","1912-12-10T00:00:00.000","Relating to the composition and duty shifts of the following: Fire Engine Company, Truck Company, Combination Chemical Company, Chemical Company, Water Tower Company, Fire Boat Company, Monitor Battery.","F","33644","46178","0.42","0.58","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/December10_1912.pdf"
"6","Acquisition and Ownership of Public Utilities","December","10","1912","1912-12-10T00:00:00.000","The Board of Supervisors is empowered to provide by ordinance for the acquisition, construction, extension or condemnation of any public utility and to meet the costs of such acquisition by either issuance of bonds, by a special tax levy or by a tax on assessed property to be used solely for the purpose of construction of public utilities.","F","20719","49975","0.29","0.71","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/December10_1912.pdf"
"7","Regulations of Board of Elections Commissioners, Registrar of Voters and Deputy Registrar","December","10","1912","1912-12-10T00:00:00.000","No Registrar, Deputy Registrar, or member of the Board will, during the term of office be a member of any convention, the purpose of which is to nominate candidates for office, nor hold any municipal office until one year after the end of the term; nor take part in any election except to vote, and when acting as Election Commissioner; nor act as officer of any election or primary election.","F","26351","44551","0.37","0.63","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/December10_1912.pdf"
"8","Elected City Officials","December","10","1912","1912-12-10T00:00:00.000","All these officials will be elected by the people: Treasurer - term of four years, annual salary $5,000; Auditor- term of four years, annual salary $5,000;  Tax Collector  - term of two years until the eighth day of January 1914, thereafter, four years, annual salary $5,000; ""City Attorney"" - term of four years, annual salary $7,000.","F","5855","63471","0.08","0.92","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/December10_1912.pdf"
"9","Establishment of Department of Energy","December","10","1912","1912-12-10T00:00:00.000","Department of Electricity will have charge of the construction and maintenance of the Fire Alarm and Police Telegraph and Telephone Systems.","F","7117","62296","0.10","0.90","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/December10_1912.pdf"
"10","Chief of Police to Select Detectives","December","10","1912","1912-12-10T00:00:00.000","Chief of Police to select detectives,  not to exceed one detective for each eighteen police officers. Chief to designate Captain of Detectives, annual salary,  $3,000; Lieutenant of Detectives, annual salary $2400; Detective Sergeants, annual salary $1800.","F","7089","63246","0.10","0.90","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/December10_1912.pdf"
"11","Chief of Police, Duties and Responsibilities","December","10","1912","1912-12-10T00:00:00.000","Chief of Police - appointed by Board of Police Commissioners for a term of four years, annual salary $6,000, have control of all members of Department, maintain and enforce law, control of City and County prisons.","F","5430","64600","0.10","0.90","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/December10_1912.pdf"
"12","City Expenses For Holiday Celebrations","December","10","1912","1912-12-10T00:00:00.000","Establish limits on  the following holiday celebrations: National Independence - $2,500; Admission of the State of California into the Union - $1,000; Memorial Day - $500.","F","32735","38024","0.46","0.54","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/December10_1912.pdf"
"13","Appointed City Employees","December","10","1912","1912-12-10T00:00:00.000","All persons appointed to office must be citizens of the United States, and must, during their employment, reside in the city and county, and must have resided for one year preceding their appointment.  Appointees whose duties are performed outside the city will not be subject to those requirements","P","41215","30474","0.57","0.43","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/December10_1912.pdf"
"14","City Indebtedness","December","10","1912","1912-12-10T00:00:00.000","No indebtedness shall be incurred that, together with existing bonded indebtedness,  exceeds 15% (percent) of the assessed value of City and County property; provided that bonds-- issued for the Panama-Pacific Exposition and for the acquisition or construction of a water supply-- will be excluded when computing such existing bonded indebtedness.","F","15656","51913","0.23","0.77","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/December10_1912.pdf"
"15","Property Tax Levy Date, Special Taxes","December","10","1912","1912-12-10T00:00:00.000","On or before the first Monday of September of each year, the Board of Supervisors shall levy the amount of taxes for City purposes. A special tax may be levied for the following purposes: support of schools, construction of public buildings, acquisition of public utilities, acquisition of lands for city purposes, construction of tunnels, bridges and other permanent structures, repair of sewers, repair and maintenance of streets and for increases of salary or number of officials voted at any election.","F","13039","54597","0.16","0.84","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/December10_1912.pdf"
"16","Parks Tax","December","10","1912","1912-12-10T00:00:00.000","The Board of Supervisors shall provide all necessary money for the maintenance, preservation and improvement of said parks, squares, avenues and grounds; annually levy a tax on all property in the City and County not exempt from taxation, not less than five cents nor more than ten cents for each on hundred dollars assessed valuation of property.","F","30194","38627","0.44","0.56","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/December10_1912.pdf"
