"permit_number","contact_type","company_name","street_number","street","street_suffix","state","zipcode","phone","phone2","license_number"
"E200306038649","Contractor","Delao Electric Co","617","Moraga","St","CA","94122-0000","4156817011","4157476900","766407"
"E200306038650","Contractor","Knoll Systems Corporation","5375","Clayton","Rd","CA","94521-0000","9256810477",,"784349"
"E200306038651","Contractor","Delao Electric Co","617","Moraga","St","CA","94122-0000","4156817011","4157476900","766407"
"E200306038652","Contractor","Xiao Ming Chen Dba Mh Electric","781","14th","Av","CA","94118-0000","4155677899","4153097899","768203"
"E200306038654","Contractor","Le Shan Luo Electric","143","Madison","St","CA","94134-0000","4157881088","4159908113","623557"
"E200306038661","Contractor","Metropolitan Electrical Construction","2400","03rd","St","CA","94107","4156423020","4156423000","401047"
"E200306038662","Contractor","C E S Electrical Inc","145","Park","Ln","CA","94005-0000","4154684002",,"816161"
"E200306038663","Contractor","Metropolitan Electrical Construction","2400","03rd","St","CA","94107","4156423020","4156423000","401047"
"E200306038664","Contractor","Metropolitan Electrical Construction","2400","03rd","St","CA","94107","4156423020","4156423000","401047"
"E200306038665","Contractor","C E S Electrical Inc","145","Park","Ln","CA","94005-0000","4154684002",,"816161"
"E200306038668","Contractor","C E S Electrical Inc","145","Park","Ln","CA","94005-0000","4154684002",,"816161"
"E200306038670","Contractor","C E S Electrical Inc","145","Park","Ln","CA","94005-0000","4154684002",,"816161"
"E200306038671","Contractor","Wu's Electric Company","1242","Athens","St","CA","94112-0000","4153341798","4155163961","744549"
"E200305198054","Contractor","E N Electric","1683","44th","Av","CA","94122","4156827682","4158508252","687088"
"E200305198057","Contractor","Luis Rafael Silva-Santisteban","1737","Shirley","Dr","CA","94523-0000","9253818696","9257050856","770370"
"E200305198064","Contractor","Bar Contractors Inc","125","S Linden","Av","CA","94080-0000","6509523074","4158505235","786504"
"E200305198067","Contractor","San Francisco Fire Protection","1355","Fairfax","Av","CA","94124-0000","4152824288","4152824288","806216"
"E200305198068","Contractor","San Francisco Fire Protection","1355","Fairfax","Av","CA","94124-0000","4152824288","4152824288","806216"
"E200305208102","Contractor","Automatic Garage Door","2285","Revere","Av","CA","94124-0000","4156486413","4152980444","671116"
"E200305208104","Contractor","O'flynn Electric","76","Collins","St","CA","94118-0000","4156476171","4155314447","710791"
"E200305208108","Contractor","Noe Valley Power & Light",,"P. O. Box 31262",,"CA","94131-0262","4152857216","4158108288","309859"
"E200305208120","Contractor","Creative Office Systems Inc",,"P.o. Box 6408",,"CA","94524-0000","9256866355","9257883994","809945"
"E200305208122","Contractor","Lea Electric","1423","32nd","Av","CA","94122","4157591628","4152980088","299971"
"E200305208123","Contractor","Lea Electric","1423","32nd","Av","CA","94122","4157591628","4152980088","299971"
"E200305208125","Contractor","Holec Electric","1323","16th","Av","CA","94122","4155661545","4152358723","304999"
"E200305208126","Contractor","Lea Electric","1423","32nd","Av","CA","94122","4157591628","4152980088","299971"
"E200305208127","Contractor","Lea Electric","1423","32nd","Av","CA","94122","4157591628","4152980088","299971"
"E200301032403","Contractor","Wells Electrical, Inc","2177","Jerrold Avenue Building 2",,"CA","94124-0000","4152557831","4158198341","681529"
"E200301032415","Contractor","Metropolitan Electrical Construction","2400","03rd","St","CA","94107","4156423020","4156423000","401047"
"E200301032418","Contractor","Metropolitan Electrical Construction","2400","03rd","St","CA","94107","4156423020","4156423000","401047"
"E200301032421","Contractor","Metropolitan Electrical Construction","2400","03rd","St","CA","94107","4156423020","4156423000","401047"
"E200301032424","Contractor","Metropolitan Electrical Construction","2400","03rd","St","CA","94107","4156423020","4156423000","401047"
"E200301032427","Contractor","Metropolitan Electrical Construction","2400","03rd","St","CA","94107","4156423020","4156423000","401047"
"E200301062451","Contractor","Tri Valley Door Systems Inc","1912","02nd St",,"CA","94550-0000","9253710496",,"733575"
"E200301062454","Contractor","Tri Valley Door Systems Inc","1912","02nd St",,"CA","94550-0000","9253710496",,"733575"
"E200301062457","Contractor","Bay City Garage Doors","26","Escanyo","Dr","CA","94080","6509527879","6508682158","260972"
"E200301062463","Contractor","Firelectric","723","Camino","Pl","CA","94066-0000","6503248587","4159718528","680163"
"E200301062475","Contractor","Sai Ping Cheung","331","Austin","St","CA","94109-0000",,,"811739"
"E200301062487","Contractor","Ferrera Electric Inc.","108","Wayland","St","CA","94134","4154682248","4158602248","355775"
"E200301062502","Contractor","Ruby Plumbing & Electrical","1234","Geneva","Av","CA","94112-0000","4153379133","4153379133","748426"
"E200301072529","Contractor","C B F Inc","675","Davis","St","CA","94111-1403","4154953085","4153857390","335873"
"E200301072532","Contractor","C B F Inc","675","Davis","St","CA","94111-1403","4154953085","4153857390","335873"
"E200301072535","Contractor","C B F Inc","675","Davis","St","CA","94111-1403","4154953085","4153857390","335873"
"E200301072541","Contractor","W. Bradley Electric","90","Hill","Rd","CA","94945-0000","4158981400","4157165134","390741"
"E200302264545","Contractor","Howard Wong Electric","1423","Clement","St","CA","94118-0000","6509927888","4152159028","678608"
"E200302264551","Contractor","Seastar Construction Co","225","Jersey","St","CA","94114-0000","4156415222","4155151320","424337"
"E200302264554","Contractor","Toni's  Construction Inc","2425","16th","Av","CA","94116-0000","4156818280","4152790579","551504"
"E200302274569","Contractor","P & L Electric Co","816","Ellis","Dr","CA","94015","6509973292",,"424079"
"E200302274590","Contractor","A/c Construction","647","Santa Barbara","Av","CA","94030-0000","4155174068","4155174068","402322"
"E200302274611","Contractor","Tam's Electric Inc","558","Goettingen","St","CA","94134-0000","4158504939","4158504939","558739"
"E200302284626","Contractor","Wu's Electric Company","1242","Athens","St","CA","94112-0000","4153341798","4155163961","744549"
"E200302284638","Contractor","Wells Electrical, Inc","2177","Jerrold Avenue Building 2",,"CA","94124-0000","4152557831","4158198341","681529"
"E200302284641","Contractor","Bathe Builders","415","Buena Vista Dr",,"CA","95404-0000","7075463510","5416023510","645741"
"E200302284653","Contractor","Cupertino Electric Inc.","1740","Cesar Chavez","St","CA","94124-0000","4158508145","4158508145","174637"
"E200302284656","Contractor","Aaron Electric Co.","4200","Moraga","St","CA","94122-0000","4156641124","4158590948","425741"
"E200302284662","Contractor","Bay City Garage Doors","26","Escanyo","Dr","CA","94080","6509527879","6508682158","260972"
"E200302284668","Contractor","City Overhead Doors Inc.","5976","Mission","St","CA","94112","6507564226",,"292393"
"E200306028585","Contractor","Celtic Electric","318","Channing","Rd","CA","94010-4748","4157244545","4157244545","499258"
"E200306028586","Contractor","Mark Olson Electric","1385","Donner","Av","CA","94124","4158223508","4155594094","284499"
"E200306028590","Contractor","Mark Olson Electric","1385","Donner","Av","CA","94124","4158223508","4155594094","284499"
"E200306028593","Contractor","Sure, Inc.","1728","Ocean","Av","CA","94112-0000","4152212888","4152987298","561658"
"E200306028603","Contractor","Millennium Electric Inc","62","Westlawn Avenue",,"CA","94015-0000","6507557264","4157609699","776534"
"E200306028604","Contractor","Millennium Electric Inc","62","Westlawn Avenue",,"CA","94015-0000","6507557264","4157609699","776534"
"E200306028605","Contractor","Millennium Electric Inc","62","Westlawn Avenue",,"CA","94015-0000","6507557264","4157609699","776534"
"E200306028616","Contractor","A-1 Steam & Fire Protection","746","Spruce","St","CA","94118-0000","4156660222","4157564126","425691"
"E200306028617","Contractor","Basso Electric Company","233","02nd","Av","CA","94014-0000","4157248444","4157248444","793792"
"E200306028619","Contractor","Melco Electric","3125","Bridle","Dr","CA","94541-0000","5107800908","4155720516","586471"
"E200306028627","Contractor","Wisdom Electrical & Bldg Contractors","310","6th","Av","CA","94118","4158102808","4158102808","673552"
"E20021104249","Others","Golden Gate Sign Company Inc.","2500","Bisso Lane",,"CA","94520-0000","9255325394","9255325394","665363"
"E200301072550","Contractor","Cupertino Electric Inc.","1740","Cesar Chavez","St","CA","94124-0000","4158508145","4158508145","174637"
"E200301072553","Contractor","Cupertino Electric Inc.","1740","Cesar Chavez","St","CA","94124-0000","4158508145","4158508145","174637"
"E200301072556","Contractor","Metropolitan Electrical Construction","2400","03rd","St","CA","94107","4156423020","4156423000","401047"
"E200301072571","Contractor","Brookline Aries Electric","121","Santa Rosa","Av","CA","94112","4152395393","4152395393","273651"
"E200301082577","Contractor","City Overhead Doors Inc.","5976","Mission","St","CA","94112","6507564226",,"292393"
"E200301082583","Contractor","S L Electric  Inc.","2655","34th","Av","CA","94116-0000","4155868988","4155868988","823707"
"E200301082586","Contractor","Al-Tone Overhead Doors","540","Del Monte Ave","Av","CA","94080","6507553454","4158500329","716940"
"E200301092640","Contractor","City Overhead Doors Inc.","5976","Mission","St","CA","94112","6507564226",,"292393"
"E200301092658","Contractor","Ferrera Electric Inc.","108","Wayland","St","CA","94134","4154682248","4158602248","355775"
"E200301092667","Contractor","Higgins Electric","1471","Valley View","Dr","CA","95993-0000","9099414090","9092105143","811776"
"E200301092670","Contractor","Automatic Garage Door","2285","Revere","Av","CA","94124-0000","4156486413","4152980444","671116"
"E200301102679","Contractor","Woo Electric","309","Cornwall","St","CA","94118","4157511523","4152902385","255051"
"E200306028635","Contractor","G C Electric","161","Cora","St","CA","94134-0000","4158288259","4155318228","636918"
"E200301022358","Contractor","G C Electric","161","Cora","St","CA","94134-0000","4158288259","4155318228","636918"
"E200306028633","Contractor","G C Electric","161","Cora","St","CA","94134-0000","4158288259","4155318228","636918"
"E200306028634","Contractor","G C Electric","161","Cora","St","CA","94134-0000","4158288259","4155318228","636918"
"E200301062460","Contractor","San Francisco Electric Co","1222","20th","St","CA","94107","4156486228","4153091779","636319"
"E200302284623","Contractor","San Francisco Electric Co","1222","20th","St","CA","94107","4156486228","4153091779","636319"
"E200212272283","Contractor","Yeung's Electrical Fittings & Installati","3255","Liese","Av","CA","94619-0000","4156529064",,"651355"
"E200212312337","Contractor","A S F Electric Inc","76","Hill","St","CA","94014","6507559032","6507559032","720540"
"E200301092622","Contractor","A S F Electric Inc","76","Hill","St","CA","94014","6507559032","6507559032","720540"
"E200212312340","Contractor","Unlimited Security Systems","1518","Jackson","St","CA","94109","4158852126","4157609641","541718"
"E200212302289","Contractor","Shea Electric","2547","14th","Av","CA","94127-0000","4157519965","4153058236","510337"
"E200301022394","Contractor","Lori Katz Group Inc.","375","Alabama St, Ste 222",,"CA","94110-0000","4152521037","4157402831","522108"
"E200302284644","Contractor","Lori Katz Group Inc.","375","Alabama St, Ste 222",,"CA","94110-0000","4152521037","4157402831","522108"
"E200301022397","Contractor","K C Chow Electric Co","54","Zita Manor",,"CA","94015-0000","6509912698","4152053238","553062"
"E200302274572","Contractor","K C Chow Electric Co","54","Zita Manor",,"CA","94015-0000","6509912698","4152053238","553062"
"E200302254452","Contractor","Longo Electric Inc","364","Blodgett","St","CA","94931-0000","4154312156","4157402204","525176"
"E200306028644","Contractor","L W T Contruction Co","308","Munich","St","CA","94112-0000","4152390682","4158280313","525528"
"E200301072544","Contractor","Longo Electric Inc","364","Blodgett","St","CA","94931-0000","4154312156","4157402204","525176"
"E200212302298","Contractor","Armstrong Electric","1209","09 Th","St","CA","94501-0000","5108656884",,"486601"
"E200212312346","Contractor","Hong Shink Construction","1230","Vista Grande",,"CA","94030-0000","4158674989","4158674989","758888"
"E200212312352","Contractor","S F Garage Company Inc.","12","Gough","St","CA","94103-0000","4158260606","4156020077","684863"
"E200301022382","Contractor","Regional Construction Co","2500","47th","Av","CA","94116-0000","4157069977","4157069977","748000"
"E200302244407","Contractor","R Electric","394","Bancroft","Wy","CA","94044-0000","6503559352","4153105559","753925"
"E200301072523","Contractor","S R L Electric","2443","Fillmore","St","CA","94115-0000","4156619387","4157563594","754626"
"E200302244410","Contractor","The Electric Frog","119","City View","St","CA","94014-0000","4157605086","4157605086","764017"
"E200212312331","Contractor","Moreno Electric Co.","650","Broadmoor","Bl","CA","94577-0000","5105530394","5107504924","783307"
"E200302244416","Contractor","Elite Builders","1385","Hampton Drive",,"CA","94087","6505788090","6502457311","634608"
"E200302264500","Contractor","Stephenson-Richman Elect","225","Escallonia","Dr","CA","94945-1812","4158927799","4155594705","649055"
"E200302284665","Contractor","James F Wittenbrook","65","Pierce","St","CA","94117","4155969337","4155969337","647509"
"E200711083065","Contractor","Steven's Electric","1823","31st","Av","CA","94122-0000","4155661838","4156401838","647875"
"E200301092664","Contractor","Steven's Electric","1823","31st","Av","CA","94122-0000","4155661838","4156401838","647875"
"E200302264512","Contractor","John Cahalane Electric","142","Joost","Av","CA","94131-0000","4153342188","4152712562","640863"
"E200301022376","Contractor","Quality Electric","766","Delano","Av","CA","94112","4153347909","4153079886","476592"
"E200301082613","Contractor","Peter Wong Electrical","154","Brussels","St","CA","94134","4155193210","4155193210","476599"
"E200302264518","Contractor","Grgich Electric Co","1690","Hayes","St","CA","94117","4154416767","4157301930","414160"
"E200301032442","Contractor","Jimmy's Electric","2276","18th","Av","CA","94116-0000","4155661888","4157608238","411108"
"E200301032445","Contractor","Jimmy's Electric","2276","18th","Av","CA","94116-0000","4155661888","4157608238","411108"
"E200306028599","Contractor","Tower Electric Company",,"Po Box 410394",,"CA","94141","4152390222",,"414608"
"E200306028600","Contractor","Tower Electric Company",,"Po Box 410394",,"CA","94141","4152390222",,"414608"
"E200301022385","Contractor","Allcom Electric Inc.","80","Whitney","Pl","CA","94539","5106567099","5105524600","493651"
"E200306028630","Contractor","Allcom Electric Inc.","80","Whitney","Pl","CA","94539","5106567099","5105524600","493651"
"E200302264494","Contractor","Bernabe Costales Electric",,"523 Pacific Ave",,"CA","94501","5105234807",,"602643"
"E200302264509","Contractor","Moran Lighting & Electric","1139","Cole","St","CA","94117","4157318652","4158718373","563134"
"E200305208110","Contractor","Golden Gate Eletric Co","35691","Palomares","Rd","CA","94546","5108811300","5107740208","565292"
"E200305208128","Contractor","Tyco Integrated Security","150","North Hill","Dr","CA","94005-0000","6504495536","6504495536","707408"
"E200305208130","Contractor","Tyco Integrated Security","150","North Hill","Dr","CA","94005-0000","6504495536","6504495536","707408"
"E200306028636","Contractor","Donald Lewis Gen. Contr.inc.","17","Edge Wood","Wy","CA","94901-0000","4157132298","4157132298","742228"
"E200305208109","Contractor","Automatic  Garage Door Of Marin","285","Belmarin Keys","Bl","CA","94949-0000","4158830725",,"550241"
"E200306028638","Contractor","E A Electric","351","Olema Road",,"CA","94930-0000","4152337370","4152337370","593027"
"E200302274587","Contractor","Marble Electric","352","Coleridge","St","CA","94110","4158213204","4154128151","591393"
"E200306028640","Contractor","Shek Chung Ma","800","31st","Av","CA","94112-3609","4153873769","4157109835","415716"
"E200306028642","Contractor","Shek Chung Ma","800","31st","Av","CA","94112-3609","4153873769","4157109835","415716"
"E200306028643","Contractor","Shek Chung Ma","800","31st","Av","CA","94112-3609","4153873769","4157109835","415716"
"E200306038655","Contractor","L Loucel Construction","2907","Harrison","St","CA","94110-0000","4156489554",,"658898"
"E200306038656","Contractor","L Loucel Construction","2907","Harrison","St","CA","94110-0000","4156489554",,"658898"
"E200305198055","Contractor","Dm Tower Electric","1751","Monrovia","Dr","CA","95122-0000","4085280404","4082108619","607013"
"E200306038657","Contractor","Chan Electric Work","216","Thrift","St","CA","94112-0000","4155860524","4156378044","598804"
"E200305208129","Contractor","Chan Electric Work","216","Thrift","St","CA","94112-0000","4155860524","4156378044","598804"
"E200306038659","Contractor","Tresch Electric Co., Inc.",,"Po Box 71",,"CA","94945-0000","4158972125","4158502357","222645"
"E200306038660","Contractor","Tresch Electric Co., Inc.",,"Po Box 71",,"CA","94945-0000","4158972125","4158502357","222645"
"E200302284635","Contractor","Raymond Choy","170","23rd Avenue",,"CA","94121","4153875148",,"252399"
"E200306038669","Contractor","D C S  Construction Services Inc","160","Pixley","St","CA","94123","4159319365","4159877572","427457"
"E200305198056","Contractor","Rite Electric","1044","Revere Av Ste C-88","Av","CA","94124-0000","4158220116","4154249168","765162"
"E200301032430","Contractor","Rite Electric","1044","Revere Av Ste C-88","Av","CA","94124-0000","4158220116","4154249168","765162"
"E200301062466","Contractor","Jr Electrical Inc","1761","Grove","St","CA","94117-0000","4154070080","4154070080","766035"
"E200301062481","Contractor","Bass Electric","390","Swift","Av","CA","94080-0000","4152951600","4157472409","765671"
"E200302274584","Contractor","Rite Electric","1044","Revere Av Ste C-88","Av","CA","94124-0000","4158220116","4154249168","765162"
"E200305198059","Contractor","J Y Electrical Construction Co Inc",,"P O Box 34338",,"CA","94134-0000","4155591567","4155591567","777162"
"E200305198061","Contractor","J Y Electrical Construction Co Inc",,"P O Box 34338",,"CA","94134-0000","4155591567","4155591567","777162"
"E200305198062","Contractor","J Y Electrical Construction Co Inc",,"P O Box 34338",,"CA","94134-0000","4155591567","4155591567","777162"
"E200305198063","Contractor","J Y Electrical Construction Co Inc",,"P O Box 34338",,"CA","94134-0000","4155591567","4155591567","777162"
"E200609061041","Contractor","Coast Sign Incorporated","1500","W. Embassy","St","CA","92802-0000",,,"654238"
"E200301082601","Contractor","J Y Electrical Construction Co Inc",,"P O Box 34338",,"CA","94134-0000","4155591567","4155591567","777162"
"E200305198060","Contractor","Amherst Associates Const","68","Dorado","Tr","CA","94112-0000","4152718828","4152718828","811425"
"E200305208103","Contractor","Ballycastle Construction","924","Fulton St, #105",,"CA","94117-0000","4154406968","4158231680","815277"
"E200305198065","Contractor","Hoehn Construction",,"P O Box 741",,"CA","95052-0000","4089799468","4088815104","771560"
"E200305198066","Contractor","Hoehn Construction",,"P O Box 741",,"CA","95052-0000","4089799468","4088815104","771560"
"E200305208107","Contractor","Northgate Garage Doors","125","Mitchell Blvd.",,"CA","94903","4154726004","4157060131","627224"
"E200305208111","Contractor","All Trades Contracting","1415","44th","Av","CA","94122-0000","4158603956","4158603956","721644"
"E200302274596","Contractor","Fluoresco Lighting & Sign","5505","South Nogales Highway",,"AZ","85706-0000","5106334153",,"738628"
"E200305208112","Contractor","Marc Loran","1655","12th","Av","CA","94122","4155950427","4155950427","445446"
"E200305208113","Contractor","Ann Enea","362","Lexington","St","CA","94110","4156419247","4153776129","707918"
"E200305208114","Contractor","Korbes Electric","3920","Casanova","Dr","CA","94403","6503452241","6502811038","388678"
"E200301072511","Contractor","Korbes Electric","3920","Casanova","Dr","CA","94403","6503452241","6502811038","388678"
"E200305208117","Contractor","Don's Electric Works","2511","West Winton Avenue #3g",,"CA","94545-0000","4155172843","4155172843","780035"
"E200305208118","Contractor","L & L Electric","56","Flora","St","CA","94124","4158225970","4152355670","706156"
"E200305208119","Contractor","Peterson Power Systems Inc.","2828","Teagarden","St","CA","94577","5108958400","5107156979","507000"
"E200302274593","Contractor","Inter Technomics Inc",,"1635 Neptune Dr",,"CA","94577-0000","5104891820","5107609340","506788"
"E200305208121","Contractor","K W Electrical Co","2006","34th","Av","CA","94116","4159991175","4159991175","805808"
"E200306028625","Contractor","Polytec Construction Co.*** See Notes*","656","Toland","Pl","CA","94124-0000","4156827782","4152150784","406739"
"E200306028626","Contractor","Polytec Construction Co.*** See Notes*","656","Toland","Pl","CA","94124-0000","4156827782","4152150784","406739"
"E200305208124","Contractor","Dynalectric Company","375","Alabama Street Suite 300","St","CA","94110-0000","4154874700","4154874756","749757"
"E20021104246","Contractor","Dynalectric Company","375","Alabama Street Suite 300","St","CA","94110-0000","4154874700","4154874756","749757"
"E200301032400","Contractor","M Karkori Construction Co","2780","Diamond","St","CA","94131-0000",,"4152796410","662832"
"E200306028607","Contractor","Ideal Electric","1079","Springfield","Dr","CA","94030-0000","6506921427","4153415518","949850"
"E200301032406","Contractor","Lei's Construction Co","616","Rolph","St","CA","94112","4155318611","4155859817","593386"
"E200301032409","Contractor","No Shorts Electric","16","Kit Carson","Wy","CA","94590","7075542060","7073320658","687511"
"E200301032412","Contractor","King E Construction Company",,"62 Majestic","Av","CA","94112-0000","4153337829","4158064767","798007"
"E200301032433","Contractor","Wong's Electric Co *Check Id*","2902","Jennings","St","CA","94124","4158228618","4156139798","581997"
"E200302284620","Contractor","Wong's Electric Co *Check Id*","2902","Jennings","St","CA","94124","4158228618","4156139798","581997"
