"fiscal_year","eff_date","group","job_code","title","union","setid","range_a","range_b","range_c","min_a","max_a","min_b","max_b","min_c","max_c"
"FY18-19","2018-07-01T00:00:00.000","MCCP","8556","Chief District Attorney Investigator (SFERS)","351","COMMN","8556A","8556B","8556C","72.0750","91.9750","91.9875","106.4750","106.4875","111.7875"
"FY18-19","2018-07-01T00:00:00.000","MCCP","8558","Principle District Attorney Investigator, Special Unit (SFERS)","351","COMMN","8558A","8558B","8558C","57.9750","74.0000","74.0125","85.6875","85.7000","89.9750"
"FY18-19","2018-07-01T00:00:00.000","MCCP","8576","Director, Log Cabin Ranch (SFERS)","351","COMMN","8576A","8576B","8576C","50.0875","63.9375","63.9500","74.0000","74.0125","77.7125"
"FY18-19","2018-07-01T00:00:00.000","MCCP","8580","Director, Juvenile Hall (SFERS)","351","COMMN","8580A","8580B","8580C","53.7875","68.6375","68.6500","79.4500","79.4625","83.4250"
"FY18-19","2018-07-01T00:00:00.000","MCCP","8582","Assistant Chief Probation Officer, Juvenile Probation (SFERS)","351","COMMN","8582A","8582B","8582C","72.0750","91.9750","91.9875","106.4750","106.4875","111.7875"
"FY18-19","2018-07-01T00:00:00.000","MCCP","8584","Director, Probation Services (SFERS)","351","COMMN","8584A","8584B","8584C","50.0875","63.9375","63.9500","74.0000","74.0125","77.7125"
"FY18-19","2018-07-01T00:00:00.000","MCCP","8586","Chief Probation Officer, Juvenile Court (SFERS)","351","COMMN","8586A","8586B","8586C","82.0500","104.7125","104.7250","121.2125","121.2250","127.2875"
"FY18-19","2018-07-01T00:00:00.000","MCCP","8588","Division Director, Adult Probation (SFERS)","351","COMMN","8588A","8588B","8588C","50.0875","63.9375","63.9500","74.0000","74.0125","77.7125"
"FY18-19","2018-07-01T00:00:00.000","MCCP","8590","Chief Adult Probation Officer (SFERS)","351","COMMN","8590A","8590B","8590C","77.2125","98.5375","98.5500","114.0500","114.0625","119.7625"
"FY18-19","2018-07-01T00:00:00.000","MCCP","8592","Chief Deputy Adult Probation Officer (SFERS)","351","COMMN","8592A","8592B","8592C","57.9750","74.0000","74.0125","85.6875","85.7000","89.9750"
"FY18-19","2018-07-01T00:00:00.000","MCCP Related","0901","Mayoral Staff XIII","002","COMMN","0901A","0901B","0901C","50.4875","64.4375","64.4500","74.5875","74.6000","78.3125"
"FY18-19","2018-07-01T00:00:00.000","MCCP Related","0902","Mayoral Staff XIV","002","COMMN","0902A","0902B","0902C","54.1250","69.0750","69.0875","79.9625","79.9750","83.9750"
"FY18-19","2018-07-01T00:00:00.000","MCCP Related","0903","Mayoral Staff XV","002","COMMN","0903A","0903B","0903C","58.4375","74.5875","74.6000","86.3250","86.3375","90.6500"
"FY18-19","2018-07-01T00:00:00.000","MCCP Related","0904","Mayoral Staff XVI","002","COMMN","0904A","0904B","0904C","62.6625","79.9625","79.9750","92.5750","92.5875","97.2125"
"FY18-19","2018-07-01T00:00:00.000","MCCP Related","0905","Mayoral Staff XVII","002","COMMN","0905A","0905B","0905C","67.6500","86.3250","86.3375","99.9500","99.9625","113.1875"
"FY18-19","2018-07-01T00:00:00.000","MCCP Related","1282","Manager,Employee Relations Division","002","COMMN","1282A","1282B","1282C","62.2625","79.4500","79.4625","91.9750","91.9875","96.5750"
"FY18-19","2018-07-01T00:00:00.000","MCCP Related","1283","Director, Employee Relations Division","002","COMMN","1283A","1283B","1283C","82.0500","104.7125","104.7250","121.2125","121.2250","127.2875"
"FY18-19","2018-07-01T00:00:00.000","MCCP Related","1283","Director, Employee Relations Division","002","COMMN","1283A","1283B","1283C","82.0500","104.7125","104.7250","121.2125","121.2250","127.2875"
"FY18-19","2018-07-01T00:00:00.000","MCCP Related","1293","Human Resources Director","002","COMMN","1293A","1293B","1293C","94.2500","120.2750","120.2875","139.2375","139.2500","146.2125"
"FY18-19","2018-07-01T00:00:00.000","MCCP Related","1293","Human Resources Director","002","COMMN","1293A","1293B","1293C","94.2500","120.2750","120.2875","139.2375","139.2500","146.2125"
"FY18-19","2018-07-01T00:00:00.000","MCCP Related","1682","Controller","002","COMMN","1682A","1682B","1682C","117.0625","149.3875","149.4000","172.9250","172.9375","181.5750"
"FY18-19","2018-07-01T00:00:00.000","MTAM","9172","Manager II, MTA","351","SFMTA","9172A","9172B","9172C","50.0875","63.9375","63.9500","74.0000","74.0125","77.7125"
"FY18-19","2018-07-01T00:00:00.000","MTAM","9174","Manager IV, MTA","351","SFMTA","9174A","9174B","9174C","57.9750","74.0000","74.0125","85.6875","85.7000","89.9750"
"FY18-19","2018-07-01T00:00:00.000","MTAM","9177","Manager III, MTA","351","SFMTA","9177A","9177B","9177C","53.7875","68.6375","68.6500","79.4500","79.4625","83.4250"
"FY18-19","2018-07-01T00:00:00.000","MTAM","9179","Manager V, MTA","351","SFMTA","9179A","9179B","9179C","62.2625","79.4500","79.4625","91.9750","91.9875","96.5750"
"FY18-19","2018-07-01T00:00:00.000","MTAM","9180","Manager VI, MTA","351","SFMTA","9180A","9180B","9180C","67.1250","85.6875","85.7000","99.1750","99.1875","104.1500"
"FY18-19","2018-07-01T00:00:00.000","MTAM","9181","Manager VII, MTA","351","SFMTA","9181A","9181B","9181C","72.0750","91.9750","91.9875","106.4750","106.4875","111.7875"
"FY18-19","2018-07-01T00:00:00.000","MTAM","9182","Manager VIII, MTA","351","SFMTA","9182A","9182B","9182C","77.2125","98.5375","98.5500","114.0500","114.0625","119.7625"
"FY18-19","2018-07-01T00:00:00.000","MTAM","9183","Deputy Dir I, MTA","351","SFMTA","9183A","9183B","9183C","82.0500","104.7125","104.7250","121.2125","121.2250","127.2875"
"FY18-19","2018-07-01T00:00:00.000","MTAM","9187","Deputy Dir II, MTA","351","SFMTA","9187A","9187B","9187C","87.3625","111.4750","111.4875","129.0500","129.0625","135.5125"
"FY18-19","2018-07-01T00:00:00.000","MTAM","9190","Board Scty, MTA","351","SFMTA","9190A","9190B","9190C","62.2625","79.4500","79.4625","91.9750","91.9875","96.5750"
"FY17-18","2017-07-01T00:00:00.000","MCCP","0922","Manager I","351","COMMN","0922A","0922B","0922C","48.6250","62.0750","62.0875","71.8500","71.8625","75.4500"
"FY17-18","2017-07-01T00:00:00.000","MCCP","0923","Manager II","351","COMMN","0923A","0923B","0923C","52.2250","66.6375","66.6500","77.1375","77.1500","81.0000"
"FY17-18","2017-07-01T00:00:00.000","MCCP","0931","Manager III","351","COMMN","0931A","0931B","0931C","56.2875","71.8500","71.8625","83.1875","83.2000","87.3500"
"FY17-18","2017-07-01T00:00:00.000","MCCP","0932","Manager IV","351","COMMN","0932A","0932B","0932C","60.4500","77.1375","77.1500","89.3000","89.3125","93.7625"
"FY17-18","2017-07-01T00:00:00.000","MCCP","0933","Manager V","351","COMMN","0933A","0933B","0933C","65.1750","83.1875","83.2000","96.2875","96.3000","101.1125"
"FY17-18","2017-07-01T00:00:00.000","MCCP","0941","Manager VI","351","COMMN","0941A","0941B","0941C","69.9750","89.3000","89.3125","103.3750","103.3875","108.5375"
"FY17-18","2017-07-01T00:00:00.000","MCCP","0942","Manager VII","351","COMMN","0942A","0942B","0942C","74.9625","95.6625","95.6750","110.7250","110.7375","116.2750"
"FY17-18","2017-07-01T00:00:00.000","MCCP","0943","Manager VIII","351","COMMN","0943A","0943B","0943C","84.8125","108.2250","108.2375","125.2875","125.3000","131.5625"
"FY17-18","2017-07-01T00:00:00.000","MCCP","0951","Dep Dir I","351","COMMN","0951A","0951B","0951C","48.6250","62.0750","62.0875","71.8500","71.8625","75.4500"
"FY17-18","2017-07-01T00:00:00.000","MCCP","0952","Dep Dir II","351","COMMN","0952A","0952B","0952C","56.2875","71.8500","71.8625","83.1875","83.2000","87.3500"
"FY17-18","2017-07-01T00:00:00.000","MCCP","0953","Dep Dir III","351","COMMN","0953A","0953B","0953C","69.9750","89.3000","89.3125","103.3750","103.3875","108.5375"
"FY17-18","2017-07-01T00:00:00.000","MCCP","0954","Dep Dir IV","351","COMMN","0954A","0954B","0954C","79.6625","101.6625","101.6750","117.6875","117.7000","123.5750"
"FY17-18","2017-07-01T00:00:00.000","MCCP","0955","Dep Dir V","351","COMMN","0955A","0955B","0955C","84.8125","108.2250","108.2375","125.2875","125.3000","131.5625"
"FY17-18","2017-07-01T00:00:00.000","MCCP","0961","Dept Head I","351","COMMN","0961A","0961B","0961C","60.4500","77.1375","77.1500","89.3000","89.3125","93.7625"
"FY17-18","2017-07-01T00:00:00.000","MCCP","0962","Dept Head II","351","COMMN","0962A","0962B","0962C","74.9625","95.6625","95.6750","110.7250","110.7375","116.2750"
"FY17-18","2017-07-01T00:00:00.000","MCCP","0963","Dept Head III","351","COMMN","0963A","0963B","0963C","79.6625","101.6625","101.6750","117.6875","117.7000","123.5750"
"FY17-18","2017-07-01T00:00:00.000","MCCP","0964","Dept Head IV","351","COMMN","0964A","0964B","0964C","91.5000","116.7750","116.7875","135.1875","135.2000","141.9500"
"FY17-18","2017-07-01T00:00:00.000","MCCP","0965","Dept Head V","351","COMMN","0965A","0965B","0965C","113.6500","145.0375","145.0500","167.8875","167.9000","176.2875"
"FY17-18","2017-07-01T00:00:00.000","MCCP","1114","Senior Portfolio Manager","351","COMMN","1114A",,,"69.7750","89.0375",,,,
"FY17-18","2017-07-01T00:00:00.000","MCCP","1115","Director","351","COMMN","1115A",,,"84.8125","108.2250",,,,
"FY17-18","2017-07-01T00:00:00.000","MCCP","1116","Managing Director","351","COMMN","1116A",,,"103.0750","131.5625",,,,
"FY17-18","2017-07-01T00:00:00.000","MCCP","1119","Chief Investment Officer","351","COMMN","1119A",,,"123.2375","157.3125",,,,
"FY17-18","2017-07-01T00:00:00.000","MCCP","1160","Ex Asst to Airport Director","351","COMMN","1160A","1160B","1160C","48.6250","62.0750","62.0875","71.8500","71.8625","75.4500"
"FY17-18","2017-07-01T00:00:00.000","MCCP","1165","Manager, Dept Public Health","351","COMMN","1165A","1165B","1165C","95.6625","122.0750","122.0875","141.3250","141.3375","148.4000"
"FY17-18","2017-07-01T00:00:00.000","MCCP","1166","Administrator, DPH","351","COMMN","1166A","1166B","1166C","106.1500","135.4875","135.5000","156.8250","156.8375","164.6750"
"FY17-18","2017-07-01T00:00:00.000","MCCP","1167","Physician Administrator, DPH","351","COMMN","1167A","1167B","1167C","132.9375","166.1625","166.1750","191.0875","191.1000","219.7500"
"FY17-18","2017-07-01T00:00:00.000","MCCP","8148","Chf District Atty Investigator","351","COMMN","8148A","8148B","8148C","69.9750","89.3000","89.3125","103.3750","103.3875","108.5375"
"FY17-18","2017-07-01T00:00:00.000","MCCP","8148","Chf District Atty Investigator","351","SFMTA","8148A","8148B","8148C","69.9750","89.3000","89.3125","103.3750","103.3875","108.5375"
"FY17-18","2017-07-01T00:00:00.000","MCCP","8150","Pr DistAtty Invstgtor,SpecUnit","351","COMMN","8150A","8150B","8150C","56.2875","71.8500","71.8625","83.1875","83.2000","87.3500"
"FY17-18","2017-07-01T00:00:00.000","MCCP","8150","Pr DistAtty Invstgtor,SpecUnit","351","SFMTA","8150A","8150B","8150C","56.2875","71.8500","71.8625","83.1875","83.2000","87.3500"
"FY17-18","2017-07-01T00:00:00.000","MCCP","8315","Assistant Sheriff","351","COMMN","8315A","8315B","8315C","79.6625","101.6625","101.6750","117.6875","117.7000","123.5750"
"FY17-18","2017-07-01T00:00:00.000","MCCP","8317","Chief Deputy Sheriff (PERS)","351","COMMN","8317A","8317B","8317C","79.6625","101.6625","101.6750","117.6875","117.7000","123.5750"
"FY17-18","2017-07-01T00:00:00.000","MCCP","8330","Director, Log Cabin Ranch","351","COMMN","8330A","8330B","8330C","48.6250","62.0750","62.0875","71.8500","71.8625","75.4500"
"FY17-18","2017-07-01T00:00:00.000","MCCP","8344","Director, Juvenile Hall","351","COMMN","8344A","8344B","8344C","52.2250","66.6375","66.6500","77.1375","77.1500","81.0000"
"FY17-18","2017-07-01T00:00:00.000","MCCP","8348","Undersheriff","351","COMMN","8348A","8348B","8348C","79.6625","101.6625","101.6750","117.6875","117.7000","123.5750"
"FY17-18","2017-07-01T00:00:00.000","MCCP","8413","Asst Chf Prob Ofc, Juv Prob","351","COMMN","8413A","8413B","8413C","69.9750","89.3000","89.3125","103.3750","103.3875","108.5375"
"FY17-18","2017-07-01T00:00:00.000","MCCP","8416","Director, Probation Services","351","COMMN","8416A","8416B","8416C","48.6250","62.0750","62.0875","71.8500","71.8625","75.4500"
"FY17-18","2017-07-01T00:00:00.000","MCCP","8418","Chf Prob Ofc, Juv Court","351","COMMN","8418A","8418B","8418C","79.6625","101.6625","101.6750","117.6875","117.7000","123.5750"
"FY17-18","2017-07-01T00:00:00.000","MCCP","8435","Div Director, Adult Probation","351","COMMN","8435A","8435B","8435C","48.6250","62.0750","62.0875","71.8500","71.8625","75.4500"
"FY17-18","2017-07-01T00:00:00.000","MCCP","8436","Chief Adult Probation Officer","351","COMMN","8436A","8436B","8436C","74.9625","95.6625","95.6750","110.7250","110.7375","116.2750"
"FY17-18","2017-07-01T00:00:00.000","MCCP","8438","Chief Deputy Adlt Probation Of","351","COMMN","8438A","8438B","8438C","56.2875","71.8500","71.8625","83.1875","83.2000","87.3500"
"FY17-18","2017-07-01T00:00:00.000","MCCP","8516","Assistant Sheriff (SFERS)","351","COMMN","8516A","8516B","8516C","79.6625","101.6625","101.6750","117.6875","117.7000","123.5750"
"FY17-18","2017-07-01T00:00:00.000","MCCP","8517","Chief Deputy Sheriff (SFERS)","351","COMMN","8517A","8517B","8517C","79.6625","101.6625","101.6750","117.6875","117.7000","123.5750"
"FY17-18","2017-07-01T00:00:00.000","MCCP","8518","Undersheriff (SFERS)","351","COMMN","8518A","8518B","8518C","79.6625","101.6625","101.6750","117.6875","117.7000","123.5750"
"FY17-18","2017-07-01T00:00:00.000","MCCP","8556","Chf Distt Atty Inves (SFERS)","351","COMMN","8556A","8556B","8556C","69.9750","89.3000","89.3125","103.3750","103.3875","108.5375"
"FY17-18","2017-07-01T00:00:00.000","MCCP","8558","PrDAInvest,SpecUnit (SFERS)","351","COMMN","8558A","8558B","8558C","56.2875","71.8500","71.8625","83.1875","83.2000","87.3500"
"FY17-18","2017-07-01T00:00:00.000","MCCP","8576","Dir, Log Cabin Ranch (SFERS)","351","COMMN","8576A","8576B","8576C","48.6250","62.0750","62.0875","71.8500","71.8625","75.4500"
"FY17-18","2017-07-01T00:00:00.000","MCCP","8580","Director,Juvenile Hall (SFERS)","351","COMMN","8580A","8580B","8580C","52.2250","66.6375","66.6500","77.1375","77.1500","81.0000"
"FY17-18","2017-07-01T00:00:00.000","MCCP","8582","ACPO,JuvP, Juv Prob (SFERS)","351","COMMN","8582A","8582B","8582C","69.9750","89.3000","89.3125","103.3750","103.3875","108.5375"
"FY17-18","2017-07-01T00:00:00.000","MCCP","8584","Dir, Probation Svcs (SFERS)","351","COMMN","8584A","8584B","8584C","48.6250","62.0750","62.0875","71.8500","71.8625","75.4500"
"FY17-18","2017-07-01T00:00:00.000","MCCP","8586","Chf Prob Ofc, Juv Court (SFERS","351","COMMN","8586A","8586B","8586C","79.6625","101.6625","101.6750","117.6875","117.7000","123.5750"
"FY17-18","2017-07-01T00:00:00.000","MCCP","8588","Div Dir, Adult Prob (SFERS)","351","COMMN","8588A","8588B","8588C","48.6250","62.0750","62.0875","71.8500","71.8625","75.4500"
"FY17-18","2017-07-01T00:00:00.000","MCCP","8590","Chief Adult Prob Offcr (SFERS)","351","COMMN","8590A","8590B","8590C","74.9625","95.6625","95.6750","110.7250","110.7375","116.2750"
"FY17-18","2017-07-01T00:00:00.000","MCCP","8592","Chief Dep Adlt Prob Of (SFERS)","351","COMMN","8592A","8592B","8592C","56.2875","71.8500","71.8625","83.1875","83.2000","87.3500"
"FY17-18","2017-07-01T00:00:00.000","MCCP Related","0901","Mayoral Staff XIII","002","COMMN","0901A","0901B","0901C","49.0125","62.5625","62.5750","72.4125","72.4250","76.0375"
"FY17-18","2017-07-01T00:00:00.000","MCCP Related","0902","Mayoral Staff XIV","002","COMMN","0902A","0902B","0902C","52.5500","67.0625","67.0750","77.6375","77.6500","81.5250"
"FY17-18","2017-07-01T00:00:00.000","MCCP Related","0903","Mayoral Staff XV","002","COMMN","0903A","0903B","0903C","56.7375","72.4125","72.4250","83.8125","83.8250","88.0125"
"FY17-18","2017-07-01T00:00:00.000","MCCP Related","0904","Mayoral Staff XVI","002","COMMN","0904A","0904B","0904C","60.8375","77.6375","77.6500","89.8750","89.8875","94.3750"
"FY17-18","2017-07-01T00:00:00.000","MCCP Related","0905","Mayoral Staff XVII","002","COMMN","0905A","0905B","0905C","65.6750","83.8125","83.8250","97.0375","97.0500","109.8875"
"FY17-18","2017-07-01T00:00:00.000","MCCP Related","1282","Manager,Employee Relations Div","002","COMMN","1282A","1282B","1282C","60.4500","77.1375","77.1500","89.3000","89.3125","93.7625"
"FY17-18","2017-07-01T00:00:00.000","MCCP Related","1283","Dir Emp Relations Div","002","COMMN","1283A","1283B","1283C","79.6625","101.6625","101.6750","117.6875","117.7000","123.5750"
"FY17-18","2017-07-01T00:00:00.000","MCCP Related","1283","Dir Emp Relations Div","002","SFMTA","1283A","1283B","1283C","79.6625","101.6625","101.6750","117.6875","117.7000","123.5750"
"FY17-18","2017-07-01T00:00:00.000","MCCP Related","1293","Human Resources Director","002","COMMN","1293A","1293B","1293C","91.5000","116.7750","116.7875","135.1875","135.2000","141.9500"
"FY17-18","2017-07-01T00:00:00.000","MCCP Related","1293","Human Resources Director","002","SFMTA","1293A","1293B","1293C","91.5000","116.7750","116.7875","135.1875","135.2000","141.9500"
"FY17-18","2017-07-01T00:00:00.000","MCCP Related","1682","Controller","002","COMMN","1682A","1682B","1682C","113.6500","145.0375","145.0500","167.8875","167.9000","176.2875"
"FY17-18","2017-07-01T00:00:00.000","MTAM","9172","Manager II, MTA","351","SFMTA","9172A","9172B","9172C","48.6250","62.0750","62.0875","71.8500","71.8625","75.4500"
"FY17-18","2017-07-01T00:00:00.000","MTAM","9174","Manager IV, MTA","351","SFMTA","9174A","9174B","9174C","56.2875","71.8500","71.8625","83.1875","83.2000","87.3500"
"FY17-18","2017-07-01T00:00:00.000","MTAM","9177","Manager III, MTA","351","SFMTA","9177A","9177B","9177C","52.2250","66.6375","66.6500","77.1375","77.1500","81.0000"
"FY17-18","2017-07-01T00:00:00.000","MTAM","9179","Manager V, MTA","351","SFMTA","9179A","9179B","9179C","60.4500","77.1375","77.1500","89.3000","89.3125","93.7625"
"FY17-18","2017-07-01T00:00:00.000","MTAM","9180","Manager VI, MTA","351","SFMTA","9180A","9180B","9180C","65.1750","83.1875","83.2000","96.2875","96.3000","101.1125"
"FY17-18","2017-07-01T00:00:00.000","MTAM","9181","Manager VII, MTA","351","SFMTA","9181A","9181B","9181C","69.9750","89.3000","89.3125","103.3750","103.3875","108.5375"
"FY17-18","2017-07-01T00:00:00.000","MTAM","9182","Manager VIII, MTA","351","SFMTA","9182A","9182B","9182C","74.9625","95.6625","95.6750","110.7250","110.7375","116.2750"
"FY17-18","2017-07-01T00:00:00.000","MTAM","9183","Deputy Dir I, MTA","351","SFMTA","9183A","9183B","9183C","79.6625","101.6625","101.6750","117.6875","117.7000","123.5750"
"FY17-18","2017-07-01T00:00:00.000","MTAM","9187","Deputy Dir II, MTA","351","SFMTA","9187A","9187B","9187C","84.8125","108.2250","108.2375","125.2875","125.3000","131.5625"
"FY17-18","2017-07-01T00:00:00.000","MTAM","9190","Board Scty, MTA","351","SFMTA","9190A","9190B","9190C","60.4500","77.1375","77.1500","89.3000","89.3125","93.7625"
"FY16-17","2016-07-01T00:00:00.000","MCCP","0922","Manager I","351","COMMN","02B","66A","84A","47.2125","60.2625","60.2750","69.7625","69.7750","73.2500"
"FY16-17","2016-07-01T00:00:00.000","MCCP","0923","Counselor","351","COMMN","02C","67A","85A","50.7000","64.7000","64.7125","74.8875","74.9000","78.6375"
