"landuse","blklot","nameaddr","entitled","beststat","bestdate","units","unitsnet","affordable","affordablenet","section415","aff_target","tenure_type","caseno","descript","dbidesc","total_gsf","net_gsf","cie_exist","cie","cienet","med_exist","med","mednet","mips_exist","mips","mipsnet","pdr_exist","pdr","pdrnet","ret_exist","ret","retnet","restaurant","restaurantnet","visit_exist","visit","visitnet","hotel_room_exist","hotel_room_prop","hotel_room_net","planner","sponsor","contact","contactph","da","year_","qtr","year_qtr","pd","sd","nhood_37","nhood_41","plans","zoning","height_bulk","pda","sud","latitude","longitude","geocoded_column",":@computed_region_jwn9_ihcz",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md"
"Resident","0087060","462 FILBERT ST","1","CONSTRUCTION","2020-03-04","3","1",,"0",,,,,,"ADDITION OF DWELLING UNIT PER ORDINANCE #162-16. GROUND FL INTERIOR REMODEL OF UNCONDITIONED GARAGE","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,,,,,,"2020","Q1","2020_Q1","3 - Northeast","3","North Beach","North Beach",,"RH-3","40-X","Downtown/Van Ness/Northeast Neighborhoods","Telegraph Hill-NB Residential","37.80193398","-122.4072646","POINT (-122.4072646 37.80193398)","18","18","6","3","23"
"Vacant","3573106","3150 18TH ST","0","BP Filed","2019-03-07","0","0",,"0",,,,,,"CHANGE OF ZONING PDR 1 G INDUSTRIAL/OFFICE TO RETAIL SERVICE INSTRUCTIONAL  PILATES INSTRUCTIO FOR U","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,,,,,,"2020","Q1","2020_Q1","8 - Mission","9","Mission","Mission","Mission (EN); Mission District Streetscape Plan","PDR-1-G","58-X","Eastern Neighborhoods","Mission Alcohol Restrict; Fringe Financial Services RUD","37.76268999","-122.4142345","POINT (-122.4142345 37.76268999)","53","53","3","2","20"
"Resident","1074001","2601 SUTTER ST","0","BP Filed","2018-10-03","3","3",,"0",,,,,,"TO ERECT A 4-STORY, TYPE 5A BLDG W/ 3 RESIDENTIAL UNITS AND 1 BASEMENT.","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,,,,,,"2020","Q1","2020_Q1","1 - Richmond","5","Western Addition","Presidio Heights",,"RH-3","40-X","Central City Neighborhoods",,"37.78466886","-122.4434587","POINT (-122.4434587 37.78466886)","103","103","8","11","31"
"Resident","3754045","85 COLUMBIA SQUARE ST","0","BP FILED","2017-03-28","2","2",,,,,,,,"CHANGE OF USE FROM WAREHOUSE TO 2 APARTMENTS. TO COMPLY WITH NOV 201633643. LEGALIZE ELECTRIC & PLUMBING AND BRING UP TO CODE. INSTALL (N) DOOR IN HARRIET ST & COLUMBIA SQ. REPLACE KITCHEN IN KIND AND REPLACE FURNACE.
** MAHER: N/A **","0","0",,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,"2020","Q1","2020_Q1","9 - South of Market","6","South of Market","South of Market","East SoMa (EN)","MUG","45-X","Eastern Neighborhoods","Youth and Family Zone","37.77703566","-122.4050292","POINT (-122.4050292 37.77703566)","32","32","1","10","34"
"Resident","0188015","1430 LEAVENWORTH ST","0","BP Filed","2019-07-01","9","3",,"0",,,,"2019-013950PRJ","Conversion of ground-floor storage space for three (3) new residential units; 75 cubic yards of excavation.","CONVERT (E) FIRST STORY STORAGE SPACES TO (3)(N) ONE BEDROOM UNITS FOR TOTAL OF 9 UNITS. EXCAVATION OF approx 426 CUBIC YARD OF DIRT. UPGRADE GRD FLR TO TYPE VA CONSTRUCTION. COMPLY TO MAHER ORD# 155-13, ROUTE TO DPH.","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,"CFAHEY","Syncopated architecture",,"4155589843",,"2020","Q1","2020_Q1","3 - Northeast","3","Nob Hill","Nob Hill",,"RM-3","65-A","Downtown/Van Ness/Northeast Neighborhoods",,"37.79433809","-122.4160337","POINT (-122.4160337 37.79433809)","16","16","6","3","21"
"Vacant","6411031","958 GENEVA AV","1","BP APPROVED","2019-01-15 16:15","0","0",,"0",,,,,,"CONVERT (E) FISN & MEAT MARKET TO RESTAURANT TYPE-1 HOOD INTAKE AIR UNIT. HOOD EXHAUST FAN UNDER SEP","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,,,,,,"2020","Q1","2020_Q1","12 - South Central","11","Crocker Amazon","Excelsior",,"NCD-EXCELSIOR","65-A","Balboa Park and Southwest Corridors",,"37.7157674","-122.4403518","POINT (-122.4403518 37.7157674)","58","58","9","1","7"
"Resident","0778012A","1086 Fulton Street","0","BP Filed","2019-09-18","8","2",,"0",,,,"2019-016968PRJ","Addition of two new ADUs at attic level to an existing 6-unit building per Ord. 162-16. Work includes expansion of an existing dormer, replacement of windows at front and rear, addition of skylights, and select reroofing.","CONVERT (E) ATTIC SPACE INTO (2) NEW ACCESSORY DWELLING UNITS PER ORDINANCE 162-17. FULL BLDG SPRINKLERS UNDER SEPARATE PERMIT. UPGRADE ATTIC TO V-A CONSTRUCTION","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,"NKWIATKO","Syncopated Architecture",,"4155589843",,"2020","Q1","2020_Q1","5 - Western Addition","5","Western Addition","Western Addition",,"RH-3","40-X","Central City Neighborhoods",,"37.77755154","-122.4346319","POINT (-122.4346319 37.77755154)","23","23","4","11","39"
"Resident","1248018","622 SHRADER ST","1","CONSTRUCTION","2020-01-22","11","1",,,,,,"2018-006282PRJ","ADDITION OF ONE (N) UNIT PER ORDINANCE 162-16, (1) BATH, (1) KITCHEN, (2) BEDROOMS.",,"0","0",,,,,,,,,,,,,,,,,,,,,,,,"DWEISSGL",,"EUGENE LEUNG & CHARLENE LEE TRUST",,,"2020","Q1","2020_Q1","6 - Buena Vista","5","Haight Ashbury","Haight Ashbury","Haight Ashbury Public Realm Plan","NCD-HAIGHT","40-X","Central City Neighborhoods","Fringe Financial Services RUD; Haight Street Alcohol Restricted Use","37.769021","-122.4515095","POINT (-122.4515095 37.769021)","25","25","7","11","3"
"Resident","4064026","417 MISSISSIPPI ST","1","BP ISSUED","2019-11-22 14:14","2","1",,,,,,"2016-009585PRJ","The project includes the vertical and rear addition of approximately 3,181 square feet to an existing single-family residence and changes it into a two-family residence. The project also includes new decks at the front and rear and as well as the alteration of the front building facade. (The new notice will supersede the previously sent notice between March 6, 2017 and April 5, 2017. Due to the substantial change in scope of work, a new notice is required.)","VERTICAL & HORIZONTAL ADDITIONAL, BUILDING BACK INTO YARD, NEW FRONT & REAR FACADES, NEW DECKS, NEW INTERIOR WALLS, ELECTRICAL & PLUMBING. CURRENT 3 BED, 2 BATH. CHANGE TO 5 BED, 4.5 BATH.","0","0",,,,,,,,,,,,,,,,,"0",,,,,,,"XLIANG","N/A","Christine Lin","6175153018",,"2020","Q1","2020_Q1","9 - South of Market","10","Potrero Hill","Potrero Hill","Showplace Square/Potrero Hill (EN)","RH-2","40-X","Eastern Neighborhoods",,"37.76111214","-122.3941461","POINT (-122.3941461 37.76111214)","54","54","2","9","26"
"Resident","2076032","1858 40TH AV","1","BP ISSUED","2019-08-27 10:37","2","1",,"0",,,,,,"TWO STORY REAR ADDITION TO AN EXISTING SFD. TWO STORY SFR, NEW ADU AT 1ST FLOOR (1 BEDROOM & 1 BATH)","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,,,,,,"2020","Q1","2020_Q1","15 - Outer Sunset","4","Outer Sunset","Sunset/Parkside",,"RH-1","40-X",,,"37.75216283","-122.4985803","POINT (-122.4985803 37.75216283)","39","39","10","7","35"
"Resident","3602065","667 CASTRO ST","1","BP ISSUED","2019-08-27 10:47","7","1",,,,,,"2018-005561PRJ","ADD ACCESSORY DWELLING UNIT TO LOWER LEVEL OF (E) (6) UNIT BLDG CONVERTING INTO (7) UNIT DWELLING. INFILL UNDER CANTILEVERED ROOM AT REAR IN CONFORMANCE WITH PC 207 (c)(4), NEW WINDOW OPENINGS AT REAR AND NORTH ELEVATIONS.NO STRUCTURAL WORK ASSOCIATED W/ THIS PERMIT. SEISMIC UPGRADE UNDER BPA #201703091116",,"0","0",,,,,,,,,,,,,,,,,,,,,,,,"MCHANDLE",,"NOLAN A PAUL TRUST",,,"2020","Q1","2020_Q1","7 - Central","8","Castro/Upper Market","Castro/Upper Market",,"RH-3","40-X",,,"37.75829401","-122.4344125","POINT (-122.4344125 37.75829401)","115","115","3","5","5"
"Mixres","3736086","555 HOWARD STREET","1","BP ISSUED","2018-11-28 12:36","127","127","10","10","BMR Ownership","90% AMI;",,"2015-008058PRJ","The Project proposes to construct a new 37-story, 385-foot (plus 20 feet for rooftop screening/mechanical enclosure), approximately 430,000 gross square feet (?GSF?) mixed-use residential and hotel building 

The hotel includes 207,867 GSF on floors 1-20 and 36 including approximately 237 guest rooms, ground floor lobby/reception/lounge area (approximately 3,100 GSF) on Howard Street, full service restaurant/bar (approximately 2,905 GSF), ballroom with pre-function space (approximately 3,500 GSF), and meeting rooms (approximately 12,000 GSF). Floor 37 includes a sky bar (approximately 2,100 GSF) open to the public with access to the wind-protected public open space on the rooftop directly above the 36th floor.

The residential portion of the building is proposed to occupy approximately 151,000 GSF on floors 1, 21-36 including a residential lobby on Tehama Street and a total of 69 residential units. Floor 21 includes an outdoor terrace that provides open space to the residents of the building.",,"210906","168651","0","0","0","0","0","0","0","0","-31255","0","0","0","0","4344","-6656",,"0","0","206562","206562","0","237","237","NFOSTER","Pacific Eagle Holdings",,"4157807308",,"2020","Q1","2020_Q1","9 - South of Market","6","Financial District","Financial District/South Beach","Transit Center District; Transit Center District Streetscape Plan; Downtown Streetscape Plan; Transbay; Downtown","C-3-O(SD)","350-S","Transbay/Rincon Hill","Transit Center C-3-O(SD) Commercial; Transbay C3","37.7873838","-122.3968882","POINT (-122.3968882 37.7873838)","32","32","1","10","8"
"Resident","4791026","1391 SHAFTER AV","1","CONSTRUCTION","2020-03-11","2","1",,"0",,,,,,"TO COMPLY CES- 201846840. UNIT LEGALIZATION ORDINANCE 43-14. LEGALIZE UNIT FROM 1 TO 2.  CROSS REFER","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,,,,,,"2020","Q1","2020_Q1","10 - South Bayshore","10","Bayview","Bayview Hunters Point","Bayview Hunters Point","RH-1","40-X","Bayview/Southeast Neighborhoods",,"37.7285818","-122.3869304","POINT (-122.3869304 37.7285818)","86","86","2","9","1"
"Resident","6758032","807 BOSWORTH ST","1","CONSTRUCTION","2018-05-21","2","1",,,,,,"2014.0486","Add a second dwelling unit to the front of the log.","DEMOLISH (E) CONC. CARPORT IN FRONT OF LOT. CONSTRUCT NEW 2ND DWELLING UNIT IN FRONT OF LOT LIVING ROOM, KITCHEN, 2 BEDROOMS, 2 BATHS, GARAGE, OFFICE IN (E) SINGLE FAMILY RESIDENCE IN MID-LOT TO REMAIN. FOUNDATION WORK AT (E) SINGLE FAMILY RESIDENCE AS RE","0","0","0",,,"0",,,"0",,,"0",,,"0",,,,,"0",,,,,,,"Paul Silberschatz Alyssa Sherman","David Bushnell","546-0450",,"2020","Q1","2020_Q1","13 - Ingleside","8","Outer Mission","West of Twin Peaks",,"RH-2","40-X","J Church and Mission Corridor",,"37.73367483","-122.4361404","POINT (-122.4361404 37.73367483)","96","96","9","5","41"
"Mixres","3616024","1021 VALENCIA ST","0","PL Filed","2019-07-15","25","25","2","2",,,,"2017-013728PRJ","SF Planning Design: Proposed project will have 25 dwelling units. Project would meet affordable housing component with 2 BMR dwelling units. Project would meet affordable housing component with 2 BMR dwelling units. Owner may decide to utilize 20% inclusionary in lieu fee instead of adding BMR on site. Fround floor would provide 3,400 sf +/- retail with a 750sf rear yared and potential restaurant infrastructure. 
State Density Bonus: Proposed project will have 25 dwelling units within a 6 floor building. Project would meet affordable housing component with 2 BMR dwelling units. Owner may decide to utilize 20% inclusionary in lieu fee instead of adding BMR on site. Fround floor would provide 3,400 sf +/- retail with a 750sf rear yared and potential restaurant infrastructure.",,"3595","-2530",,,"0",,,"0",,,"0",,"0","-6125",,"3595","3595",,"0",,,"0",,,,"MCHRISTE","CDE Aptos, LLC",,"9162164591",,"2020","Q1","2020_Q1","8 - Mission","9","Mission","Mission","Mission (EN); Mission District Streetscape Plan","NCT-VALENCIA","55-X","Eastern Neighborhoods","Mission Alcohol Restrict; Fringe Financial Services RUD","37.75652637","-122.42074","POINT (-122.42074 37.75652637)","53","53","3","2","20"
"Vacant","4094006","830 RHODE ISLAND ST","0","PL Filed","2017-12-12","2","1",,"0",,,,"2017-015810PRJ","Demolition of an existing two-story, single-family residence and construction of a four-story, three-unit residential building.",,"0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,"LIAJELLO",,"MA CHARLES","9178370015",,"2020","Q1","2020_Q1","9 - South of Market","10","Potrero Hill","Potrero Hill","Showplace Square/Potrero Hill (EN)","RH-3","40-X","Eastern Neighborhoods",,"37.75919435","-122.4023602","POINT (-122.4023602 37.75919435)","54","54","2","9","26"
"Resident","2171054","3721 QUINTARA ST","1","CONSTRUCTION","2020-03-30","2","1",,"0",,,,,,"ADDITION OF NEW ADU UNIT PER ORD#95-17. NEW BATHROOM, BEDROOM LIVING ROOM, AND KITCHEN AT NEW FIRST","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,,,,,,"2020","Q1","2020_Q1","15 - Outer Sunset","4","Outer Sunset","Sunset/Parkside",,"RH-1","40-X",,,"37.74710616","-122.5054611","POINT (-122.5054611 37.74710616)","39","39","10","7","35"
"Resident","6753018","78 ROTTECK ST","1","CONSTRUCTION","2019-06-25","2","1",,,,,,,,"UNIT LEGALIZATION ORD 43-14. SCOPE OF WORK INCL LEGALIZING EXISTING 1ST FLOOR ILLEGAL UNIT. MADHER ORD N/A.","0","0",,,,,,,,,,,,,,,,,"0",,,,,,,"KCONNER",,,,,"2020","Q1","2020_Q1","12 - South Central","8","Outer Mission","Outer Mission",,"RH-1","40-X","J Church and Mission Corridor",,"37.73166766","-122.4310623","POINT (-122.4310623 37.73166766)","94","94","9","5","28"
"Mixres","0342001","950 - 974 MARKET ST","1","CONSTRUCTION","2020-03-31","242","242","0","0","Land Dedication",,,"2013.1049","The proposed project is the demolition of five (5) existing structures and construction of a new 12-story, 120' tall mixed-use building that includes 242 dwelling units, a 232 room hotel, approximately 15,000 square feet of retail/restaurant uses and 82 parking spaces located below grade.","AT BLOCK 0342, LOT 001 & 014. ERECT 12-STORY, TYPE 1, 2 BASEMENT, 470 UNITS, CONDO, HOTEL, RETAIL BUILDING.","230100","170934","0",,,"0",,,"0","24000","24000","0",,,"0","16100","-5221",,,"0","190000","152155","28","232","204",,"Michelle  Lin","Michelle  Lin","394-9018",,"2020","Q1","2020_Q1","4 - Downtown","6","Downtown/Civic Center","Tenderloin","Downtown","C-3-G","120-X","Downtown/Van Ness/Northeast Neighborhoods",,"37.78318038","-122.4095815","POINT (-122.4095815 37.78318038)","20","20","5","10","36"
"Resident","2923024","152 KENSINGTON WY","0","BP Filed","2019-10-18","1","1",,"0",,,,,,"ERECT A 1 DWELLING,3 STORIES WITH 2 BASEMENTS, TYPE-V, SINGLE FAMILY DWELLING","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,,,,,,"2020","Q1","2020_Q1","14 - Inner Sunset","7","West of Twin Peaks","West of Twin Peaks",,"RH-1(D)","40-X","Forest Hill/West Portal",,"37.74271323","-122.4610987","POINT (-122.4610987 37.74271323)","49","49","10","8","41"
"Resident","0124063","1251 GREEN ST","0","BP Filed","2020-01-06","3","1",,"0",,,,,,"PER ORDINANCE #43-14, LEGALIZE DWELLING UNIT INSTALLED WITHOUT A PERMIT ON GROUND FLR; STUDIO UNIT W","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,,,,,,"2020","Q1","2020_Q1","3 - Northeast","3","Russian Hill","Russian Hill",,"RH-3","40-X","Downtown/Van Ness/Northeast Neighborhoods",,"37.79800101","-122.4197027","POINT (-122.4197027 37.79800101)","107","107","6","3","32"
"Resident","1189002D","2000 GROVE ST","1","BP APPROVED","2020-02-24 11:22","8","2",,,,,,"2018-007006PRJ","Addition of 1 ADU at ground floor per Ord. 162-16. Replacement in kind of three wood garage doors on west side of Grove Street facade. Removal of three garage doors on east side of Grove Street facade, to be infilled with brick fascia and stucco material. Garage trim and recession to be maintained. Two wood casement windows in each garage opening. New wood double-hung window on Clayton Street facade.",,"0","0",,,,,,,,,,,,,,,,,,,,,,,,"DWEISSGL",,"WOLF SHOSHANA",,,"2020","Q1","2020_Q1","5 - Western Addition","5","Haight Ashbury","Lone Mountain/USF",,"RM-1","40-X","Central City Neighborhoods",,"37.77455298","-122.4498553","POINT (-122.4498553 37.77455298)","24","24","7","11","18"
"Resident","2697003","230 COLLINGWOOD ST","0","BP Filed","2019-12-24","1","1",,"0",,,,,,"TO ERECT A TYPE V-B, 1 STORY SINGLE FAMILY DWELLING WITH NO BASEMENT.","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,,,,,,"2020","Q1","2020_Q1","7 - Central","8","Castro/Upper Market","Castro/Upper Market",,"RH-3","40-X","Market Octavia",,"37.75863677","-122.4362388","POINT (-122.4362388 37.75863677)","115","115","3","5","5"
"Vacant","2045030","1860 09TH AVE","0","PL Filed","2019-01-04","3","1",,"0",,,,"2019-000189PRJ","Conditional Use Authorization to permit demolition (exceeding demolition condition B1-B2-C1-C2) and increase density per table 209.1 (1 unit per 1500 square feet), addition of a new dwelling unit to an existing 2-unit building and horizontal and vertical additions.",,"0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,"JHORN","Yuflex Engineering",,"4153220793",,"2020","Q1","2020_Q1","14 - Inner Sunset","7","Inner Sunset","Inner Sunset",,"RH-2","40-X",,,"37.75361422","-122.4652699","POINT (-122.4652699 37.75361422)","44","44","10","8","14"
"Resident","6613021","374 Valley Street","0","BP Filed","2019-10-11","2","1",,"0",,,,"2019-019826PRJ","Convert single family dwelling to 2 family dwelling per RH2 zoning w/ (n) (2) bedrooms, (2) baths, (1) powder room, (1) living room and (1) balcony.","CONVERT SINGLE FAMILY DWELLING TO 2 FAMILY DWELING PER RH2 ZONING W/ (N) (2) BEDROOMS, (2) BATHS, (1) POWDER ROOM, (1) LIVING ROOM AND (1) BALCONEY.","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,"GPANTOJA","Pronto Permits",,"4158198952",,"2020","Q1","2020_Q1","7 - Central","8","Noe Valley","Noe Valley",,"RH-2","40-X","J Church and Mission Corridor",,"37.74451547","-122.4305781","POINT (-122.4305781 37.74451547)","84","84","9","5","22"
"Resident","4788014A","1394 SHAFTER AV","1","BP ISSUED","2020-01-13 9:35","3","1",,"0",,,,,,"LEGALIZE UNIT PER ORD 43-14, (1) BED, (1) BATH.","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,,,,,,"2020","Q1","2020_Q1","10 - South Bayshore","10","Bayview","Bayview Hunters Point","Bayview Hunters Point","RH-1","40-X","Bayview/Southeast Neighborhoods",,"37.72904274","-122.386672","POINT (-122.386672 37.72904274)","86","86","2","9","1"
"Vacant","1735021","1428 IRVING ST","0","PL Filed","2019-12-17",,"0",,"0",,,,"2019-023090PRJ","Conditional Use Authorization request for change of use from existing Vitamin Shop to dba an extension of the Irving Pet Hospital located next door.",,"1440","0",,,"0",,,"0",,,"0",,,"0",,"1440","0",,"0",,,"0",,,,"LAJELLO","Wells Construction, Inc",,"9162973087",,"2020","Q1","2020_Q1","14 - Inner Sunset","5","Inner Sunset","Inner Sunset",,"NCD-INNER SUNSET","40-X","Sunset Corridors",,"37.7640182","-122.4733412","POINT (-122.4733412 37.7640182)","109","109","10","11","14"
"Resident","5532007","190 HOLLADAY AV","1","BP ISSUED","2018-04-06 10:21","1","1",,,,,,"2016-002253PRJ","Approved construction of a three-story single-family dwelling on vacant lot with single-car garage.","TO ERECT 3 STORIES, NO BASEMENT, SINGLE FAMILY RESIDENCE.","0","0","0",,,"0",,,"0",,,"0",,,"0",,,,"0","0",,,,,,"SADINA",,"BRITTON JOHN F & LINDA M",,,"2020","Q1","2020_Q1","11 - Bernal Heights","9","Bernal Heights","Bernal Heights",,"RH-1","40-X","Bayview/Southeast Neighborhoods","Bernal Heights","37.7467438","-122.4053984","POINT (-122.4053984 37.7467438)","60","60","9","2","2"
"Resident","4789006","1452 SHAFTER AV","0","BP Filed","2018-11-08","2","1",,"0",,,,,,"ADDITION OF UNIT ON GROUND FLOOR PER ORDINANCE 95-17.","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,,,,,,"2020","Q1","2020_Q1","10 - South Bayshore","10","Bayview","Bayview Hunters Point","Bayview Hunters Point","RH-1","40-X","Bayview/Southeast Neighborhoods","3rd St Alcohol Restrict","37.72967359","-122.3877836","POINT (-122.3877836 37.72967359)","86","86","2","9","1"
