UID,OSHPD_ID,Facility Name,Facility Type,Services,Location
16,306384192,Baart Turk Street Clinic,Community Clinic,Drug Treatment,"433 TURK STREET
San Francisco, CA
(37.78246323, -122.41634657)"
46,306384025,San Francisco Free Clinic,Free Clinic,Free General Health,"4900 CALIFORNIA STREET
San Francisco, CA
(37.78458778, -122.47009063)"
61,0,Ocean Park Health Center,Community Health Network,,"1351 24th Avenue
San Francisco, CA
(37.76238083, -122.48249495)"
9,106380960,St. Francis Memorial Hospital,General Acute Care Hospital,Hospital,"900 HYDE STREET
San Francisco, CA
(37.78956798, -122.41706621)"
74,0,Larkin Street Medical Clinic,Community Health Network,,"1138 Sutter St
San Francisco, CA
(37.78794224, -122.4191218)"
4,106380964,California Pacific Medical Center - St. Luke's Campus,General Acute Care Hospital,Hospital,"3555 CESAR CHAVEZ STREET
San Francisco, CA
(37.74804296, -122.42124885)"
75,0,Special Programs For Youth,Community Health Network,,"375 Woodside Avenue
San Francisco, CA
(37.74571703, -122.45226708)"
44,306384219,Planned Parenthood San Francisco Center,Community Clinic,Family General Health,"1650 VALENCIA STREET
San Francisco, CA
(37.74611894, -122.42012355)"
30,306380891,Mission Neighborhood Health Center,Community Clinic,Cultural General Health,"240 SHOTWELL STREET
San Francisco, CA
(37.76472768, -122.41635344)"
45,306381330,Richmond Maxi-center,Community Clinic,Cultural General Health,"3626 BALBOA STREET
San Francisco, CA
(37.77575714, -122.49761417)"
28,306382714,Lyon-martin Womens Health Services,Community Clinic,Womens Health,"1748 MARKET STREET
San Francisco, CA
(37.77240194, -122.42281235)"
66,0,San Francisco City Clinic,Community Health Network,,"356 7th Street
San Francisco, CA
(37.7760443, -122.40702945)"
15,306384166,Baart Market Clinic,Community Clinic,Drug Treatment,"1111 MARKET STREET, 1ST FLOOR
San Francisco, CA
(37.7802172, -122.41279075)"
47,306384221,South Of Market Health Center,Community Clinic,General Health,"229 7TH STREET
San Francisco, CA
(37.77766069, -122.40888641)"
22,306384165,Glide Health Services,Community Clinic,General Health,"330 ELLIS STREET
San Francisco, CA
(37.78509497, -122.41164953)"
53,306384211,Asian & Pacific Islander Wellness Center,Community Clinic,Cultural General Health,"730 POLK STREET
San Francisco, CA
(37.78358665, -122.41919042)"
29,306382736,Merriouns Psychological Institute,Community Clinic,Mental Health,"242 MYRTLE STREET
San Francisco, CA
(37.78518151, -122.42204391)"
70,0,Tom Waddell Health Center,Community Health Network,,"50 Lech Walesa
San Francisco, CA
(37.77797841, -122.41853943)"
8,106380939,San Francisco General Hospital,General Acute Care Hospital,Hospital,"1001 POTRERO AVENUE
San Francisco, CA
(37.75606363, -122.40771972)"
72,0,Balboa Teen Health Center,Community Health Network,,"1000 Cayuga Ave
San Francisco, CA
(37.72207048, -122.43982883)"
49,306384174,St. James Infirmary,Community Clinic,Sexual Health Clinic,"1372 MISSION ST.
San Francisco, CA
(37.77561778, -122.41557678)"
59,0,General Medical Clinic At Sfgh,Community Health Network,,"1001 Potrero Ave
San Francisco, CA
(37.75577951, -122.40619566)"
48,306384201,St. Anthony Medical Clinic,Free Clinic,Free General Health,"150 GOLDEN GATE AVE
San Francisco, CA
(37.78197735, -122.41317234)"
50,306381339,St. Luke's Health Care Center - Adult Clinic,Community Clinic,General Health,"1580 VALENCIA STREET
San Francisco, CA
(37.7475674, -122.42023356)"
23,306380827,Haight Ashbury Free Medical Clinic,Free Clinic,Free General Health,"558 CLAYTON STREET
San Francisco, CA
(37.77019155, -122.44858044)"
14,306384180,Ahf Healthcare Center - San Francisco,Community Clinic,Sexual Health Clinic,"1025 HOWARD STREET
San Francisco, CA
(37.77918701, -122.40779106)"
31,306384212,Mission Neighborhood Health Center - Valencia Clinic,Community Clinic,Cultural General Health,"1647 VALENCIA STREET
San Francisco, CA
(37.74700015, -122.4200801)"
6,106380857,Kaiser Fnd Hosp - San Francisco,General Acute Care Hospital,Hospital,"2425 GEARY BOULEVARD
San Francisco, CA
(37.78268324, -122.44370676)"
37,306384207,North East Medical Services - San Bruno Avenue,Community Clinic,Cultural General Health,"2574 SAN BRUNO AVE
San Francisco, CA
(37.72908815, -122.40426045)"
2,106380933,California Pacific Med Ctr-davies Campus,General Acute Care Hospital,Hospital,"CASTRO AND DUBOCE STREETS
San Francisco, CA
(37.76905419, -122.4358177)"
52,306384183,St. Luke's Health Care Center - Women's Clinic,Community Clinic,Womens Health,"1580 VALENCIA STREET
San Francisco, CA
(37.7475674, -122.42023356)"
13,306384044,On Lok 30th Street Community Center,Community Clinic,Senior Health,"225 30TH STREET
San Francisco, CA
(37.74215288, -122.42510834)"
19,306382735,Curry Senior Center,Community Clinic,Senior Health,"333 TURK STREET
San Francisco, CA
(37.78267054, -122.41458162)"
65,0,3rd Street Youth Center & Clinic,Community Health Network,,"5190 3rd StreetÂ 
San Francisco, CA
(37.73086205, -122.3922007)"
64,0,Southeast Health Center,Community Health Network,,"2401 Keith Street
San Francisco, CA
(37.72591049, -122.39246655)"
77,0,North East Medical Services-taraval,Community Health Network,,"2308 Taraval Street
San Francisco, CA
(37.74240843, -122.49104051)"
58,0,Family Health Center At Sfgh,Community Health Network,,"995 Potrero Avenue
San Francisco, CA
(37.75690321, -122.4066315)"
38,306384053,North East Medical Services-leland Avenue,Community Clinic,Cultural General Health,"82 LELAND AVENUE
San Francisco, CA
(37.71182702, -122.40524939)"
7,106380865,Laguna Honda Hospital And Rehabilitation Center,General Acute Care Hospital,Hospital,"375 LAGUNA HONDA BOULEVARD
San Francisco, CA
(37.74762573, -122.45871779)"
51,306384208,St. Luke's Health Care Center - Pediatric Clinic,Community Clinic,Youth Health,"1580 VALENCIA ST
San Francisco, CA
(37.7475674, -122.42023356)"
60,0,Maxine Hall Health Center,Community Health Network,,"1301 Pierce Street
San Francisco, CA
(37.781938, -122.43586943)"
