"fiscal_year","eff_date","job_code","title","union_code","setid","grade","biweekly_min","biweekly_max","extended_range","step_1","step_2","step_3","step_4","step_5","step_6","step_7","step_8","step_9","step_10","step_11","step_12","step_13","step_14","step_15","step_16","step_17","step_18","step_19","step_20"
"FY18-19","2018-07-01T00:00:00.000","1022","IS Administrator II","021","COMMN","1022P","3119","3791",,"38.9875","40.9375","42.9750","45.1250","47.3875",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1022","IS Administrator II","021","SFMTA","1022P","3119","3791",,"38.9875","40.9375","42.9750","45.1250","47.3875",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1023","IS Administrator III","021","COMMN","1023P","3791","4607",,"47.3875","49.7625","52.2500","54.8625","57.5875",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1023","IS Administrator III","021","SFMTA","1023P","3791","4607",,"47.3875","49.7625","52.2500","54.8625","57.5875",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1024","IS Administrator-Supervisor","021","COMMN","1024P","4078","4956",,"50.9750","53.5250","56.2000","58.9875","61.9500",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1024","IS Administrator-Supervisor","021","SFMTA","1024P","4078","4956",,"50.9750","53.5250","56.2000","58.9875","61.9500",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1031","IS Trainer-Assistant","021","COMMN","1031P","2566","3119",,"32.0750","33.6625","35.3500","37.1375","38.9875",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1031","IS Trainer-Assistant","021","SFMTA","1031P","2566","3119",,"32.0750","33.6625","35.3500","37.1375","38.9875",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1032","IS Trainer-Journey","021","COMMN","1032P","3119","3791",,"38.9875","40.9375","42.9750","45.1250","47.3875",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1032","IS Trainer-Journey","021","SFMTA","1032P","3119","3791",,"38.9875","40.9375","42.9750","45.1250","47.3875",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1033","IS Trainer-Senior","021","COMMN","1033P","3791","4607",,"47.3875","49.7625","52.2500","54.8625","57.5875",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1033","IS Trainer-Senior","021","SFMTA","1033P","3791","4607",,"47.3875","49.7625","52.2500","54.8625","57.5875",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1041","IS Engineer-Assistant","021","COMMN","1041P","3728","4688",,"46.6000","47.7375","48.9000","50.6000","51.8750","53.1625","54.4625","55.8000","57.1875","58.6000",,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1041","IS Engineer-Assistant","021","SFMTA","1041P","3728","4688",,"46.6000","47.7375","48.9000","50.6000","51.8750","53.1625","54.4625","55.8000","57.1875","58.6000",,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1042","IS Engineer-Journey","021","COMMN","1042P","4127","5192",,"51.5875","52.9000","54.1875","56.0750","57.4875","58.8750","60.3250","61.8000","63.3750","64.9000",,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1042","IS Engineer-Journey","021","SFMTA","1042P","4127","5192",,"51.5875","52.9000","54.1875","56.0750","57.4875","58.8750","60.3250","61.8000","63.3750","64.9000",,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1043","IS Engineer-Senior","021","COMMN","1043P","4575","5754",,"57.1875","58.6000","60.0500","62.1000","63.6000","65.1875","66.8500","68.4875","70.2000","71.9250",,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1043","IS Engineer-Senior","021","SFMTA","1043P","4575","5754",,"57.1875","58.6000","60.0500","62.1000","63.6000","65.1875","66.8500","68.4875","70.2000","71.9250",,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1044","IS Engineer-Principal","021","COMMN","1044P","4921","6667","11","61.5125","63.0625","64.6375","66.8500","68.4875","70.2000","71.9250","73.6875","75.5250","77.3750","79.2875","81.2750","83.3375",,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1044","IS Engineer-Principal","021","SFMTA","1044P","4921","6667","11","61.5125","63.0625","64.6375","66.8500","68.4875","70.2000","71.9250","73.6875","75.5250","77.3750","79.2875","81.2750","83.3375",,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1051","IS Business Analyst-Assistant","021","COMMN","1051P","2876","3617",,"35.9500","36.8875","37.7625","39.0625","40.0625","41.0500","42.0750","43.0625","44.1750","45.2125",,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1051","IS Business Analyst-Assistant","021","SFMTA","1051P","2876","3617",,"35.9500","36.8875","37.7625","39.0625","40.0625","41.0500","42.0750","43.0625","44.1750","45.2125",,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1052","IS Business Analyst","021","COMMN","1052P","3331","4189",,"41.6375","42.6625","43.6750","45.2125","46.3500","47.5125","48.6625","49.8750","51.1000","52.3625",,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1052","IS Business Analyst","021","SFMTA","1052P","3331","4189",,"41.6375","42.6625","43.6750","45.2125","46.3500","47.5125","48.6625","49.8750","51.1000","52.3625",,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1053","IS Business Analyst-Senior","021","COMMN","1053P","3855","4850",,"48.1875","49.4250","50.6000","52.3625","53.6500","54.9875","56.3625","57.7500","59.1750","60.6250",,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1053","IS Business Analyst-Senior","021","SFMTA","1053P","3855","4850",,"48.1875","49.4250","50.6000","52.3625","53.6500","54.9875","56.3625","57.7500","59.1750","60.6250",,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1054","IS Business Analyst-Principal","021","COMMN","1054P","4464","6047","11","55.8000","57.1875","58.6000","60.6250","62.1000","63.6000","65.1875","66.8500","68.4875","70.2000","71.9500","73.7500","75.5875",,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1164","Administrator, SFGH Medical Center","351","COMMN","1164P","9889","13253","6","123.6125","129.7875","136.2750","143.0875","150.2500","157.7750","165.6625",,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1054","IS Business Analyst-Principal","021","SFMTA","1054P","4464","6047","11","55.8000","57.1875","58.6000","60.6250","62.1000","63.6000","65.1875","66.8500","68.4875","70.2000","71.9500","73.7500","75.5875",,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1061","IS Program Analyst-Assistant","021","COMMN","1061P","2663","3344",,"33.2875","34.0875","34.9375","36.1250","37.0500","37.9375","38.8875","39.8375","40.8500","41.8000",,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1061","IS Program Analyst-Assistant","021","SFMTA","1061P","2663","3344",,"33.2875","34.0875","34.9375","36.1250","37.0500","37.9375","38.8875","39.8375","40.8500","41.8000",,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1062","IS Programmer Analyst","021","COMMN","1062P","2876","3617",,"35.9500","36.8875","37.7625","39.0625","40.0625","41.0500","42.0750","43.0625","44.1750","45.2125",,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1062","IS Programmer Analyst","021","SFMTA","1062P","2876","3617",,"35.9500","36.8875","37.7625","39.0625","40.0625","41.0500","42.0750","43.0625","44.1750","45.2125",,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1063","IS Programmer Analyst-Senior","021","COMMN","1063P","3494","4399",,"43.6750","44.8000","45.9500","47.5125","48.6625","49.8750","51.1000","52.3625","53.6500","54.9875",,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1063","IS Programmer Analyst-Senior","021","SFMTA","1063P","3494","4399",,"43.6750","44.8000","45.9500","47.5125","48.6625","49.8750","51.1000","52.3625","53.6500","54.9875",,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1064","IS Programmer Analyst-Principal","021","COMMN","1064P","4069","5514","11","50.8625","52.1500","53.3875","55.2875","56.6000","58.0125","59.5000","60.9375","62.4500","63.9875","65.5875","67.2375","68.9250",,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1064","IS Programmer Analyst-Principal","021","SFMTA","1064P","4069","5514","11","50.8625","52.1500","53.3875","55.2875","56.6000","58.0125","59.5000","60.9375","62.4500","63.9875","65.5875","67.2375","68.9250",,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1070","IS Project Director","021","COMMN","1070P","4921","6667","11","61.5125","63.0625","64.6375","66.8500","68.4875","70.2000","71.9250","73.6875","75.5250","77.3750","79.2875","81.2750","83.3375",,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1070","IS Project Director","021","SFMTA","1070P","4921","6667","11","61.5125","63.0625","64.6375","66.8500","68.4875","70.2000","71.9250","73.6875","75.5250","77.3750","79.2875","81.2750","83.3375",,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1071","IS Manager","351","COMMN","1071P","5165","7358",,"64.5625","67.8000","71.2000","74.7500","78.4875","82.4625","86.5375","90.9125","91.9750",,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1071","IS Manager","351","SFMTA","1071P","5165","7358",,"64.5625","67.8000","71.2000","74.7500","78.4875","82.4625","86.5375","90.9125","91.9750",,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1091","IT Operations Support Administrator I","021","COMMN","1091P","2184","2707",,"27.3000","27.9750","28.6625","29.3625","30.0875","30.8500","31.6000","32.3750","33.1750","33.8375",,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1091","IT Operations Support Administrator I","021","SFMTA","1091P","2184","2707",,"27.3000","27.9750","28.6625","29.3625","30.0875","30.8500","31.6000","32.3750","33.1750","33.8375",,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1092","IT Operations Support Administrator II","021","COMMN","1092P","2566","3180",,"32.0750","32.8625","33.6625","34.5000","35.3500","36.2250","37.1375","38.0375","38.9875","39.7500",,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1092","IT Operations Support Administrator II","021","SFMTA","1092P","2566","3180",,"32.0750","32.8625","33.6625","34.5000","35.3500","36.2250","37.1375","38.0375","38.9875","39.7500",,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1232","Training Officer","021","COMMN","1232P","3275","3981",,"40.9375","42.9750","45.1250","47.3875","49.7625",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1093","IT Operations Support Administrator III","021","COMMN","1093P","3119","3865",,"38.9875","39.9375","40.9375","41.9375","42.9750","44.0375","45.1250","46.2375","47.3875","48.3125",,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1093","IT Operations Support Administrator III","021","SFMTA","1093P","3119","3865",,"38.9875","39.9375","40.9375","41.9375","42.9750","44.0375","45.1250","46.2375","47.3875","48.3125",,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1094","IT Operations Support Administrator IV","021","COMMN","1094P","3791","4698",,"47.3875","48.5500","49.7625","50.9750","52.2500","53.5250","54.8625","56.2000","57.5875","58.7250",,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1094","IT Operations Support Administrator IV","021","SFMTA","1094P","3791","4698",,"47.3875","48.5500","49.7625","50.9750","52.2500","53.5250","54.8625","56.2000","57.5875","58.7250",,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1095","IT Operations Support Administrator V","021","COMMN","1095P","4078","5056",,"50.9750","52.2500","53.5250","54.8625","56.2000","57.5875","58.9875","60.4875","61.9500","63.2000",,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1095","IT Operations Support Administrator V","021","SFMTA","1095P","4078","5056",,"50.9750","52.2500","53.5250","54.8625","56.2000","57.5875","58.9875","60.4875","61.9500","63.2000",,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1110","Executive Assistant To The Executive Director, Retirement System","351","COMMN","1110P","4007","5370","6","50.0875","52.6000","55.2250","57.9750","60.8875","63.9375","67.1250",,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1110","Executive Assistant To The Executive Director, Retirement System","351","SFMTA","1110P","4007","5370","6","50.0875","52.6000","55.2250","57.9750","60.8875","63.9375","67.1250",,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1117","Deputy Director for Investments, Retirement System","351","COMMN","1117P","11468","13941",,"143.3500","150.5375","158.0625","165.9625","174.2625",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1130","Youth Commission Advisor","022","COMMN","1130P","2366","2876",,"29.5750","31.0500","32.6125","34.2375","35.9500",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1163","Executive Assistant To The Director of Health","351","COMMN","1163P","5027","6111",,"62.8375","65.9875","69.2875","72.7625","76.3875",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1163","Executive Assistant To The Director of Health","351","SFMTA","1163P","5027","6111",,"62.8375","65.9875","69.2875","72.7625","76.3875",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1164","Administrator, SFGH Medical Center","351","SFMTA","1164P","9889","13253","6","123.6125","129.7875","136.2750","143.0875","150.2500","157.7750","165.6625",,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1190","Mayor","556","COMMN","1190P","12923","12923",,"161.5365",,,,,,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1201","Personnel Technician Trainee","790","COMMN","1201P","2366","2876",,"29.5750","31.0500","32.6125","34.2375","35.9500",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1201","Personnel Technician Trainee","790","SFMTA","1201P","2366","2876",,"29.5750","31.0500","32.6125","34.2375","35.9500",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1202","Personnel Clerk","790","COMMN","1202P","2142","2604",,"26.7750","28.1250","29.5250","30.9875","32.5500",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1202","Personnel Clerk","790","SFMTA","1202P","2142","2604",,"26.7750","28.1250","29.5250","30.9875","32.5500",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1203","Personnel Technician","022","COMMN","1203P","2598","3158",,"32.4750","34.0875","35.8000","37.6000","39.4750",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1203","Personnel Technician","022","SFMTA","1203P","2598","3158",,"32.4750","34.0875","35.8000","37.6000","39.4750",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1204","Senior Personnel Clerk","790","COMMN","1204P","2479","3014",,"30.9875","32.5500","34.1750","35.8875","37.6750",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1204","Senior Personnel Clerk","790","SFMTA","1204P","2479","3014",,"30.9875","32.5500","34.1750","35.8875","37.6750",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1209","Benefits Technician","790","COMMN","1209P","2265","2754",,"28.3125","29.7250","31.2250","32.7750","34.4250",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1209","Benefits Technician","790","SFMTA","1209P","2265","2754",,"28.3125","29.7250","31.2250","32.7750","34.4250",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1210","Benefits Analyst","790","COMMN","1210P","2687","3267",,"33.5875","35.2750","37.0375","38.9000","40.8375",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1210","Benefits Analyst","790","SFMTA","1210P","2687","3267",,"33.5875","35.2750","37.0375","38.9000","40.8375",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1218","Payroll Supervisor","790","COMMN","1218P","3462","4208",,"43.2750","45.4375","47.7000","50.0875","52.6000",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1218","Payroll Supervisor","790","SFMTA","1218P","3462","4208",,"43.2750","45.4375","47.7000","50.0875","52.6000",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1220","Payroll and Personnel Clerk","790","COMMN","1220P","2461","2991",,"30.7625","32.2875","33.9125","35.6125","37.3875",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1220","Payroll and Personnel Clerk","790","SFMTA","1220P","2461","2991",,"30.7625","32.2875","33.9125","35.6125","37.3875",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1222","Senior Payroll And Personnel Clerk","790","COMMN","1222P","2700","3282",,"33.7500","35.4375","37.2125","39.0625","41.0250",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1222","Senior Payroll And Personnel Clerk","790","SFMTA","1222P","2700","3282",,"33.7500","35.4375","37.2125","39.0625","41.0250",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1224","Principal Payroll And Personnel Clerk","790","COMMN","1224P","2977","3617",,"37.2125","39.0625","41.0250","43.0625","45.2125",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1224","Principal Payroll And Personnel Clerk","790","SFMTA","1224P","2977","3617",,"37.2125","39.0625","41.0250","43.0625","45.2125",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1226","Chief Payroll And Personnel Clerk","790","COMMN","1226P","3140","3816",,"39.2500","41.2125","43.2750","45.4375","47.7000",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1226","Chief Payroll And Personnel Clerk","790","SFMTA","1226P","3140","3816",,"39.2500","41.2125","43.2750","45.4375","47.7000",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1227","Testing Technician","790","COMMN","1227P","2167","2634",,"27.0875","28.4375","29.8750","31.3625","32.9250",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1227","Testing Technician","790","SFMTA","1227P","2167","2634",,"27.0875","28.4375","29.8750","31.3625","32.9250",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1229","Special Examiner","022","COMMN","1229P","4671","6940",,"58.3875","86.7500",,,,,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1229","Special Examiner","022","SFMTA","1229P","4671","6940",,"58.3875","86.7500",,,,,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1230","Instructional Designer","021","COMMN","1230P","3610","4389",,"45.1250","47.3875","49.7625","52.2500","54.8625",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1231","Equal Employment Opportunity Programs Senior Specialist","022","COMMN","1231P","4019","4884",,"50.2375","52.7500","55.3750","58.1625","61.0500",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1231","Equal Employment Opportunity Programs Senior Specialist","022","SFMTA","1231P","4019","4884",,"50.2375","52.7500","55.3750","58.1625","61.0500",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1232","Training Officer","021","SFMTA","1232P","3275","3981",,"40.9375","42.9750","45.1250","47.3875","49.7625",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1233","Equal Employment Opportunity Programs Specialist","022","COMMN","1233P","3171","3854",,"39.6375","41.6125","43.7000","45.8875","48.1750",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1233","Equal Employment Opportunity Programs Specialist","022","SFMTA","1233P","3171","3854",,"39.6375","41.6125","43.7000","45.8875","48.1750",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1241","Human Resources Analyst","022","COMMN","1241P","2683","3948",,"33.5375","35.1500","36.9000","38.6875","40.5875","42.6250","44.7750","47.0125","49.3500",,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1241","Human Resources Analyst","022","SFMTA","1241P","2683","3948",,"33.5375","35.1500","36.9000","38.6875","40.5875","42.6250","44.7750","47.0125","49.3500",,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1244","Senior Human Resources Analyst","022","COMMN","1244P","3791","4607",,"47.3875","49.7625","52.2500","54.8625","57.5875",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1244","Senior Human Resources Analyst","022","SFMTA","1244P","3791","4607",,"47.3875","49.7625","52.2500","54.8625","57.5875",,,,,,,,,,,,,,,
"FY18-19","2018-07-01T00:00:00.000","1246","Principal Human Resources Analyst","022","COMMN","1246P","4496","5881","6","56.2000","58.9875","61.9500","65.0500","68.3125","70.0125","71.7125","73.5125",,,,,,,,,,,,
