"landuse","blklot","nameaddr","entitled","beststat","bestdate","units","unitsnet","affordable","affordablenet","section415","aff_target","tenure_type","caseno","descript","dbidesc","total_gsf","net_gsf","cie_exist","cie","cienet","med_exist","med","mednet","mips_exist","mips","mipsnet","pdr_exist","pdr","pdrnet","ret_exist","ret","retnet","restaurant","restaurantnet","visit_exist","visit","visitnet","hotel_room_exist","hotel_room_prop","hotel_room_net","planner","sponsor","contact","contactph","pd","sd","pda_exist","pda_proposed","nhood_37","nhood_41","plans","zoning","height_bulk","sud","latitude","longitude","geocoded_column",":@computed_region_jwn9_ihcz",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md"
"Resident","3655063","1006 NOE ST","0","BP Filed","2018-05-17","1","1",,"0",,,,,,"REAR BLDG- (N) ACCESSORY DWELLING UNIT W/ (E) 2 STORY DETACHED CARPORT/STORAGE BUILDING PER ORD# 162","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,,,,,"7 - Central","8",,,"Noe Valley","Noe Valley",,"RH-3","40-X",,"37.75281197","-122.4323191","POINT (-122.4323191 37.75281197)","84","84","3","5","22"
"Resident","3634009","3532 23RD ST","1","PL APPROVED","2016-07-08","4","3",,,,,,"2016-008188PRJ","Proposed renovation and addition to an existing two-story, single family dwelling. Including the addition of three new dwelling units with roof decks above.",,"0","0",,,,,,,,,,,,,,,,,"0",,,,,,,"LIAJELLO","Dumican Mosey Architects","Renato Jose","4154959322 E","8 - Mission","8","Eastern Neighborhoods","Eastern Neighborhoods","Mission","Mission","Mission (EN); Mission District Streetscape Plan","RM-1","40-X","Mission Alcohol Restrict; Fringe Financial Services RUD","37.7538557","-122.4223491","POINT (-122.4223491 37.7538557)","52","52","3","5","20"
"Resident","1836013A","1458 18TH AV","0","BP Filed","2019-02-11","3","1",,"0",,,,,,"NEW ADU PER ORDINANCE# 162-16 @ (E) STORAGE ON 1ST FLOOR.","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,,,,,"14 - Inner Sunset","7",,"Sunset Corridors and Forest Hill","Inner Sunset","Inner Sunset",,"RH-2","40-X",,"37.7606578","-122.4755204","POINT (-122.4755204 37.7606578)","109","109","10","8","14"
"Resident","0672002A","1406 SUTTER ST","1","CONSTRUCTION","2018-12-26","37","0",,"0",,,,,,"CHANGE OF USE FROM TRAVEL AGENT OFFICE TO RESTAURANT @ 1406 SUTTER STREET. COMBINE RESTAURANT @ 1406","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,,,,,"5 - Western Addition","2","Downtown-Van Ness-Geary","Downtown/Van Ness/Northeast Neighborhoods","Western Addition","Western Addition",,"NC-3","130-E",,"37.7874822","-122.4236871","POINT (-122.4236871 37.7874822)","100","100","4","6","39"
"Resident","6954021C","88 ONONDAGA AVE","0","PL FILED","2018-07-21","5","1",,,,,,"2018-007772PRJ","LEGALIZATION OF DWELLING UNIT INSTALLED W/O PERMIT PER ORD# 43-14. LEGALIZE (E) KITCHEN, BEDROOMS, BATHROOM. ALL WORK @ GR FLR.",,"0","0",,,,,,,,,,,,,,,,,,,,,,,,"MBOUDREA",,"CHAN FAMILY TRUST",,"12 - South Central","11","Mission-San Jose Corridor","Balboa Park and Southwest Corridors","Outer Mission","Outer Mission",,"RH-2","40-X",,"37.72213924","-122.4393629","POINT (-122.4393629 37.72213924)","80","80","9","1","28"
"Resident","2072013","1863 35TH AV","1","CONSTRUCTION","2019-05-14","2","1",,"0",,,,,,"ADD KITCHEN DOWNSTAIRS & CREATE ADU (1 BEDROOM & 1 BATH) PER ORD# 95-17.","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,,,,,"15 - Outer Sunset","4",,,"Outer Sunset","Sunset/Parkside",,"RH-1","40-X",,"37.75229716","-122.4938658","POINT (-122.4938658 37.75229716)","39","39","10","7","35"
"Mixres","3780004E","828 BRANNAN ST","0","PL FILED","2016-04-14","50","50","9","9",,,,"2015-015789PRJ","The proposed project would demolish the existing building on the site, and construct a seven-story, 68-foot tall, approximately 58,553 gross-square-foot (gsf) mixed-use building. The building would consist of 50 dwellings, with a mix of 10 (20%) studio, 10 (20%) one-bedroom, 25 (50%) two-bedroom, and 5 (10%) loft units. The ground floor provides for a residential lobby, a community/fitness room, a bicycle storage room for 30 Class 1 bicycle parking spaces, 2,104 sf of commercial space, and a trash room. Below grade 7,651 gsf provides 22 auto parking spaces including 1 car share, 60 Class 1 bicycle parking spaces, building services and storage. The project would provide approximately 2,687 gsf in the rear yard and 4,819 gsf on a roof deck of common open space and approximately 455 gsf of private open space (a total of 5 private balconies) on floors three to seven.  The project is subject to hearing by the Planning Commission under Section 329 for review of a Large Project Authorization and neighborhood notification under Section 312.  Under the Large Project Authorization, the project is seeking exceptions to Planning Code Sections 134 for a rear yard modification and 140 for dwelling unit exposure.

The proposed project is located on Lot 004E on Assessor?s Block 3780: 828 Brannan Street on north side of Brannan Street, at the corner of Langton Street in the South of Market neighborhood and within the UMU (Urban Mixed Use) Zoning and 68-X Height District. The approximately 13,000 square-foot lot is currently occupied by a 2-story industrial building constructed in 1936 which has been determined to not be a historic resource. (Updated 9-10-18 kjd)",,"2411","-10194",,,,,,,,,,"12605","0","-12605","0","2411","2411",,,,,,,,,"KDURANDE","Reuben, Junius, and Rose, LLP",,"4155679000","9 - South of Market","6","Eastern Neighborhoods","Eastern Neighborhoods","South of Market","South of Market","Showplace Square/Potrero Hill (EN)","UMU","68-X",,"37.77275249","-122.4041578","POINT (-122.4041578 37.77275249)","33","33","1","10","34"
"Vacant","0163013","1020-1028 KEARNY ST","0","PL Filed","2017-06-07",,"0",,"0",,,,"2017-000282PRJ","The project sponsor proposes converting the building from office use to group housing. In addition to the 24 group housing rooms proposed, 1,575 sf of open space would be provided through two outdoor courtyards and a roof deck. The project would include a shared kitchen and dining area, as well as a shared living room.",,"0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,"ETUFFY","Starcity Properties, LLC",,,"3 - Northeast","3","Downtown-Van Ness-Geary","Downtown/Van Ness/Northeast Neighborhoods","Financial District","North Beach",,"C-2","65-A","Jackson Square; Washington-Broadway SUD","37.7974445","-122.4051517","POINT (-122.4051517 37.7974445)","106","106","6","3","23"
"Resident","5931001","100 HAMILTON ST","0","BP Filed","2018-06-20","2","1",,"0",,,,"2018-006129PRJ","Dwelling Unit Legalization","LEGALIZE DWELLING UNIT AT 1ST FLR PER ORDINANCE NO. 43-14.","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,"MCHANDLE",,,"4152468228","12 - South Central","9",,,"Excelsior","Portola",,"RH-1","40-X",,"37.72947647","-122.4111457","POINT (-122.4111457 37.72947647)","91","91","2","2","25"
"Resident","6739005","80 THOR AV","1","BP ISSUED","2018-05-24 10:07","1","1",,"0",,,,,,"CONSTRUCT (N) 3-STORY SINGLE FAMILY DWELLING UNIT","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,,,,,"7 - Central","8",,"J Church and Mission Corridor","Glen Park","Glen Park",,"RH-1","40-X",,"37.73494504","-122.4344204","POINT (-122.4344204 37.73494504)","96","96","9","5","10"
"Resident","4209041","2509 BRYANT ST","0","BP Filed","2019-03-14","3","1",,"0",,,,,,"CREATE ADU PER ORD# 162-16 W/ (E) UNIT @ 2509 BRYANT ST. REMODEL (E) UNIT. DEEPEN (E) ENTRY TO CREAT","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,,,,,"8 - Mission","9","Eastern Neighborhoods","Eastern Neighborhoods","Mission","Mission","Mission (EN); Mission District Streetscape Plan","RM-1","40-X","Mission Alcohol Restrict; Calle 24 SUD; Fringe Financial Services RUD","37.75418483","-122.4089428","POINT (-122.4089428 37.75418483)","53","53","3","2","20"
"Resident","3780001","502 07TH ST","1","CONSTRUCTION","2019-02-11","16","16","0","0","Fee Payment",,,"2014.1575","The project consists of the demolition of the existing one-story, 27-foot-tall vacant office building and the construction of a new five-story, 48-foot-tall building containing 16 dwelling units. There would be a 15.5-foot-tall elevator penthouse and an 8.5-foot-tall stair penthouse on the roof of the building; the maximum building height would be 63.5 feet. No automobile parking spaces would be provided. A total of 17 bicycle parking spaces would be provided; 16 Class 1 spaces would be provided in a secure storage room on the ground floor, and one Class 2 space would be provided on the Bryant Street sidewalk adjacent to the project site. This project received a rear yard modification per Sections 307(h) and 134(f) of the Planning Code.","ERECT 5 STORIES OF 16 RES'D DWELLING UNIT.","0","-3870","0",,,"0",,,"0",,,"3870","0","-3870","0",,,,"0","0",,,,,,"JDISALVO",,,,"9 - South of Market","6","Eastern Neighborhoods","Eastern Neighborhoods","South of Market","South of Market","Showplace Square/Potrero Hill (EN)","UMU","48-X","SoMa Hall of Justice Legal Svc","37.77399389","-122.4047881","POINT (-122.4047881 37.77399389)","33","33","1","10","34"
"Resident","1546018A","226 BALBOA ST","0","BP Filed","2018-02-08","2","0",,"0",,,,,,"CHANGE OF USE.  CHANGE (E) BUILDING TO CHILDCARE CENTER","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,,,,,"1 - Richmond","1",,"Richmond Corridors","Inner Richmond","Inner Richmond",,"NC-2","40-X",,"37.77759561","-122.4613476","POINT (-122.4613476 37.77759561)","5","5","8","4","11"
"Resident","0944030","2582 FILBERT ST","1","CONSTRUCTION","2017-03-22","1","1",,,,,,"2013.1748","Construct a 3 story single family dwelling on an empty lot.","ERECT 3 STORIES, 1 SINGLE FAMILY, TYPE 5.","0","0","0",,,"0",,,"0",,,"0",,,"0",,,,,"0",,,,,,"SLAI","Charles Olson","Charles Olson","415-981-0550","2 - Marina","2",,"Lombard Street","Marina","Marina",,"RH-1","40-X",,"37.79752955","-122.4418636","POINT (-122.4418636 37.79752955)","14","14","4","6","13"
"Resident","7006010","447 RAMSELL ST","1","BP APPROVED","2019-06-17 14:11","2","1",,"0",,,,,,"HORIZONTAL ADDITION 340 sq.ft LOWER FLR. HORIZONTAL ADDITION 272 sq.ft UPPER FLR. 68 sq.ft UPPER FLR","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,,,,,"13 - Ingleside","11","19th Avenue","Balboa Park and Southwest Corridors","Ocean View","Oceanview/Merced/Ingleside",,"RH-1","40-X","Oceanview Large Residence","37.71876716","-122.4665232","POINT (-122.4665232 37.71876716)","64","64","10","1","24"
"Resident","1576006A","679 33RD AV","0","BP Filed","2017-10-13","3","1",,"0",,,,,,"LEGALIZE DWELLING UNIT AT FIRST FLOOR PER ORDINANCE 43-14. COMPLY WITH COMPLAINT #201783951","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,,,,,"1 - Richmond","1",,"Richmond Corridors","Outer Richmond","Outer Richmond",,"RH-2","40-X",,"37.77631072","-122.4933915","POINT (-122.4933915 37.77631072)","8","8","8","4","29"
"Resident","5341009B","1566 SHAFTER AV","0","BP Filed","2017-09-26","2","1",,"0",,,,,,"LEGALIZATION OF UNAUTHORIZED (N) UNIT PER ORDINANCE 43-14.","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,,,,,"10 - South Bayshore","10","Bayview/Hunters Point Shipyard/Candlestick Point","Bayview/Southeast Neighborhoods","Bayview","Bayview Hunters Point","Bayview Hunters Point","RH-2","40-X","3rd St Alcohol Restrict","37.73088536","-122.3899234","POINT (-122.3899234 37.73088536)","86","86","2","9","1"
"Resident","2451006B","2646 46TH AV","0","BP FILED","2016-08-08","2","1",,,,,,,,"COMPLY W/COMPLAINT#201626012. UNIT LEGALIZATION ORD.43-14. LEGALIZE (E) KITCHEN & CONSTRUCT NEW HALL WAY. ALL WORK AT GROUND FLOOR. ADD NEW DOOR AT GROUND FLOOR AT FRONT.","0","0",,,,,,,,,,,,,,,,,"0",,,,,,,"ADINASEE",,,,"15 - Outer Sunset","4",,"Sunset Corridors and Forest Hill","Parkside","Sunset/Parkside",,"RH-1","40-X",,"37.73716448","-122.5039678","POINT (-122.5039678 37.73716448)","40","40","10","7","35"
"Resident","1253009","735 CLAYTON ST","1","CONSTRUCTION","2017-03-09","3","1",,,,,,"2014.0395","To legalize a third dwelling unit on the fourth level.  The project includes removing a second kitchen on the thirds level, interior alterations on all levels, and new landscaping at the front of the building.  No expansion to the existing building are proposed.","CONVERT UNCONDITIONED STORAGE SPACE PREVIOUSLY USED AS A SOCIAL ROOM/STORAGE ON TOP FLOOR (FOURTH) TO ACCOMODATE ONE NEW DWELLING UNIT. ALL WORK TO BE PERFORMED WITHIN EXISTING BOUNDARY OF THE BUILDING.","0","0","0",,,"0",,,"0",,,"0",,,"0",,,,,"0",,,,,,"LCOOK",,,,"6 - Buena Vista","5",,"Central City Neighborhoods","Haight Ashbury","Haight Ashbury","Haight Ashbury Public Realm Plan","RH-3","40-X",,"37.76813562","-122.448578","POINT (-122.448578 37.76813562)","29","29","7","11","3"
"Resident","1153007A","1720 GOLDEN GATE AV","0","BP Filed","2018-05-03","2","2",,"0",,,,,,"CONVERT REAR GARAGE @ REAR OF PROPERTY INTO (2) ADU. PROVIDE ACCESSORY STRUCTURE @ REAR PER ORDINANC","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,,,,,"5 - Western Addition","5",,"Central City Neighborhoods","Western Addition","Western Addition",,"RM-1","40-X",,"37.7789049","-122.4393835","POINT (-122.4393835 37.7789049)","97","97","7","11","39"
"Resident","5440A003","1832 EGBERT AV","0","BP Filed","2019-06-24","1","1",,"0",,,,,,"ERECT (N) 2-STORY SINGLE FMAILY HOME.","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,,,,,"10 - South Bayshore","10","Bayview/Hunters Point Shipyard/Candlestick Point","Bayview/Southeast Neighborhoods","Bayview","Bayview Hunters Point","Bayview Hunters Point","RH-1","40-X",,"37.72764638","-122.4008792","POINT (-122.4008792 37.72764638)","86","86","2","9","1"
"Vacant","0645015","1567 CALIFORNIA ST","0","PL Filed","2018-08-15","100","100","18","18",,,,"2018-011249PRJ","to permit an 8-story building containing
100 dwelling units, 10,200 sf of ground floor commercial space, and 0 parking spaces.
The project proposes to utilize the State Density Bonus Law to permit the 7 bonus units (93 units are principally
permitted) and for waivers of the 80-foot height limit (the building is 87 feet high), A bulk district restrictions,
rear yard configuration, open space configuration, and 1:1 parking requirement.",,"10020","-1726",,,"0",,,"0",,,"0",,,"0",,"10020","-1726",,"0",,,"0",,,,"APERRY","Farella Braun & Martel LLP",,"4159544902","3 - Northeast","3","Downtown-Van Ness-Geary","Downtown/Van Ness/Northeast Neighborhoods","Nob Hill","Nob Hill",,"NCD-POLK","80-A",,"37.79034319","-122.420087","POINT (-122.420087 37.79034319)","105","105","4","3","21"
"Resident","1576009","3214 BALBOA ST","1","BP ISSUED","2019-07-01 15:10","3","1",,"0",,,,,,"LEGALIZATION (UL) OF (1) UNAUTHORIZED DWELLING UNIT PER ORDINANCE 43-14 IN AN (E) 2-UNITS BUILDING.","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,,,,,"1 - Richmond","1",,"Richmond Corridors","Outer Richmond","Outer Richmond",,"NC-2","40-X",,"37.77613963","-122.493414","POINT (-122.493414 37.77613963)","8","8","8","4","29"
"Resident","6233028","389 TEDDY AV","1","BP APPROVED","2019-07-01 9:03","2","1",,"0",,,,,,"EXISTING SFD, 2 STORIES. CREATE NEW ADU UNIT AT (E) GROUND FL PER ORDINANCE 95-17.FAMILY RM, BEDROOM","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,,,,,"12 - South Central","10",,,"Visitacion Valley","Visitacion Valley",,"RH-1","40-X",,"37.71542529","-122.4104487","POINT (-122.4104487 37.71542529)","75","75","9","9","40"
"Resident","4757014","1187 PALOU AV","1","BP APPROVED","2018-12-10 8:22","2","1",,,,,,,,"LEGALIZE GROUND FLOOR KITCHEN TO ADD (1)(N) RESIDENTIAL UNIT UNDER UNIT LEGALIZATION PROGRAM. REMOVE ILLEGAL KITCHEN IN THE 2ND FL PER PLAN. COMPLY WITH NOV #201569102, NOV #201569673, NOV #201567632.","0","0","0",,,"0",,,"0",,,"0",,,"0",,,,"0","0",,,,,,"YEUNGMIN",,,,"10 - South Bayshore","10","Bayview/Hunters Point Shipyard/Candlestick Point","Bayview/Southeast Neighborhoods","Bayview","Bayview Hunters Point","Bayview Hunters Point","RH-1","40-X",,"37.72938578","-122.3833466","POINT (-122.3833466 37.72938578)","78","78","2","9","1"
"Mixres","0334008","430 EDDY ST","1","BP APPROVED","2018-04-12 15:27","23","23","3","3","On-site BMR Project","90% AMI;","Ownership","2014.0400","The proposed Project includes the construction of an eight-story, approximately 80-foot tall, 19,900 gross square foot, mixed-use building containing 23 dwelling units, 930 square feet of retail space and 2,600 square feet of private and common open space in the form of a rear yard, common courtyard at the proposed second level, common roof deck and private balconies on the proposed eight floor. All 23 dwelling units contain one bedroom and are less than 500 square feet in size, therefore counting as only ? of a dwelling unit for the purposes of residential density calculation, per Planning Code Section 209.3.","TO ERECT 8 STORIES, 1 BASEMENT, 23 UNITS RESIDENTIAL CONDO  WITH COMMERCIAL, MIXED USE BUILDING.","797","1594","0","0","797","0",,,"0",,,"0",,,"0","797","797",,"0","0",,,,,,"MLUELLEN",,,,"4 - Downtown","6","Downtown-Van Ness-Geary","Downtown/Van Ness/Northeast Neighborhoods","Downtown/Civic Center","Tenderloin",,"RC-4","80-T","North of Market Residential 2; Fringe Financial Services RUD","37.78393671","-122.4148339","POINT (-122.4148339 37.78393671)","20","20","5","10","36"
"Vacant","1583025","3912 BALBOA ST","0","BP Filed","2018-12-18",,,,"0",,,,,,"ERECT A 1-STORY, TYPE 5B GARAGE.","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,,,,,"1 - Richmond","1",,"Richmond Corridors","Outer Richmond","Outer Richmond",,"RH-2","40-X",,"37.77579107","-122.5010424","POINT (-122.5010424 37.77579107)","8","8","8","4","29"
"Resident","0596061","1537 PACIFIC AV","0","BP Filed","2017-10-25","3","1",,"0",,,,,,"ADDITION OF DWELLING UNIT PER ORDINANCE NO. 162-16.","0","0",,,"0",,,"0",,,"0",,,"0",,,"0",,"0",,,"0",,,,,,,,"3 - Northeast","3","Downtown-Van Ness-Geary","Downtown/Van Ness/Northeast Neighborhoods","Nob Hill","Russian Hill",,"NCD-PACIFIC","40-X",,"37.79488718","-122.4205204","POINT (-122.4205204 37.79488718)","105","105","4","3","32"
"Mixres","0658001","2390 BUSH ST & 2445 PINE ST","0","PL FILED","2016-04-21",,,,,,,,"2013.0152","Convert existing school building to be as pastoral center to support parish activities",,"34500","15500","19000","34500","15500",,,,,,,,,,,,,,"0",,,,,,,"CMAY",,,,"5 - Western Addition","5","Downtown-Van Ness-Geary","Central City Neighborhoods","Western Addition","Pacific Heights",,"RH-3","40-X",,"37.78738535","-122.4357802","POINT (-122.4357802 37.78738535)","103","103","4","11","30"
