"permit_no","description","site_address","site_city","site_zip","site_number","site_apn","parent_permit_no","reference_no","business_license","site_description","fees_charged","fees_paid","site_streetname","jobvalue","expired","balance_due","approved","issued","applied","subtype","finaled","type","site_subdivision","status","bldg_sf","project_number","other_date1","prefix","garage_sf","site_geotype","no_units","valid_for_days","application_no","paid_date","geocoded_column","duration","processing_time"
"E90-00002",,,,,,,,,,,,,,"0","1950-06-30T00:00:00.000","0",,"1950-01-01T00:00:00.000","1950-01-01T00:00:00.000",,,"CONVERTED",,"ISSUED",,,,"E",,,,,,,"POINT (-119.662127 37.211164)",,"0"
"E91-00048","SEE DESCRIPTION",,,,,,,,,,"64","64",,"200","1992-01-08T00:00:00.000","0",,"1991-07-12T00:00:00.000","1991-07-12T00:00:00.000","DPW}FIRE",,"CONVERTED",,"EXPIRED",,,,"E",,,,,,"1991-07-26T00:00:00.000","POINT (-119.662127 37.211164)",,"1"
"CC20-00066",,,,,,,,,,,"130.66","0",,"0",,"130.66",,,"2020-08-18T00:00:00.000",,,"BLD CODE COMPLIANCE",,"APPLIED","0",,,"CC","0",,"0",,,,"POINT (-119.662127 37.211164)",,
"E91-00105","SEE DESCRIPTION",,,,,,,,,,"64","64",,"0","1992-02-15T00:00:00.000","0",,"1991-08-19T00:00:00.000","1991-08-19T00:00:00.000","DPW}FIRE",,"CONVERTED",,"EXPIRED",,,,"E",,,,,,"1991-08-22T00:00:00.000","POINT (-119.662127 37.211164)",,"1"
"E92-00470","INSTALL 3-400WATT LIGHT",,,,,,,,,,"73","73",,"3700","1993-05-22T00:00:00.000","0","1992-11-23T00:00:00.000","1992-11-23T00:00:00.000","1992-11-23T00:00:00.000",,,"CONVERTED",,"EXPIRED",,,,"E",,,,,,"1992-11-23T00:00:00.000","POINT (-119.662127 37.211164)",,"1"
"E93-00225","SEE DESCRIPTION",,,,,,,,,,"64","64",,"80","1993-11-21T00:00:00.000","0","1993-05-25T00:00:00.000","1993-05-25T00:00:00.000","1993-05-25T00:00:00.000",,,"CONVERTED",,"EXPIRED",,,,"E",,,,,,"1993-05-25T00:00:00.000","POINT (-119.662127 37.211164)",,"1"
"E93-00099","TEMPORARY POWER POLE",,,,,,,,,,"64","64",,"150","1993-09-11T00:00:00.000","0","1993-03-15T00:00:00.000","1993-03-15T00:00:00.000","1993-03-15T00:00:00.000",,,"CONVERTED",,"EXPIRED",,,,"E",,,,,,"1993-03-15T00:00:00.000","POINT (-119.662127 37.211164)",,"1"
"EN14-05349","T/A DRAW DOWN ACCOUNT - SYAR INDUSTRIES INC.","5 PARR AVE",,,"5",,,,,,"16","16","PARR AVE","0","2014-09-29T00:00:00.000","0",,,"2014-04-02T00:00:00.000","SINGLE TRIP",,"TRANSPORTATION",,"EXPIRED","0",,,"EN","0",,"0",,,"2014-04-07T00:00:00.000",,,
"E95-00570","TEMPORARY POWER POLE",,,,,,,,,,,,,"0","1995-11-28T00:00:00.000","0","1995-06-01T00:00:00.000","1995-06-01T00:00:00.000","1995-06-01T00:00:00.000",,,"CONVERTED",,"EXPIRED",,,,"E",,,,,,,"POINT (-119.662127 37.211164)",,"1"
"E95-00492","TEMP POWER POLE",,,,,,,,,,"64","64",,"0","1995-09-24T00:00:00.000","0","1995-03-28T00:00:00.000","1995-03-28T00:00:00.000","1995-03-28T00:00:00.000",,,"CONVERTED",,"EXPIRED",,,,"E",,,,,,"1995-03-28T00:00:00.000","POINT (-119.662127 37.211164)",,"1"
"E94-00241","REPLACE BURNED 100A SERVICE",,,,,,,,,,"64","64",,"500","1995-01-18T00:00:00.000","0","1994-07-22T00:00:00.000","1994-07-22T00:00:00.000","1994-07-22T00:00:00.000",,,"CONVERTED",,"EXPIRED",,,,"E",,,,,,"1994-07-22T00:00:00.000","POINT (-119.662127 37.211164)",,"1"
"E98-00303","SEE DESCRIPTION",,,,,,,,,,"91","91",,"5989","1999-05-17T00:00:00.000","0","1998-11-18T00:00:00.000","1998-11-18T00:00:00.000","1998-11-18T00:00:00.000",,,"CONVERTED",,"EXPIRED",,,,"E",,,,,,"1998-11-18T00:00:00.000","POINT (-119.662127 37.211164)",,"1"
"E98-00319","UPGRADE ELECTRIC TO 100 AMPS",,,,,,,,,,"64","64",,"750","1999-05-30T00:00:00.000","0","1998-12-01T00:00:00.000","1998-12-01T00:00:00.000","1998-12-01T00:00:00.000",,,"CONVERTED",,"EXPIRED",,,,"E",,,,,,"1998-12-01T00:00:00.000","POINT (-119.662127 37.211164)",,"1"
"E99-00176","LEGALIZE FRONT PORCH LIGHT",,,,,,,,,,"64","64",,"50","2000-01-10T00:00:00.000","0","1999-07-14T00:00:00.000","1999-07-14T00:00:00.000","1999-07-14T00:00:00.000",,,"CONVERTED",,"EXPIRED",,,,"E",,,,,,"1999-07-14T00:00:00.000","POINT (-119.662127 37.211164)",,"1"
"EN15-02204","BLUME DR - TREE REMOVALS","BLUME DR",,,,,,,,,,,"BLUME DR","0","2016-06-08T00:00:00.000","0",,,"2015-12-11T00:00:00.000","PGE",,"ENCROACHMENT",,"EXPIRED","0",,,"EN","0",,"0",,,,,,
"EN16-00070","MH 653 WESTERN DR - A00AE0V","WESTERN DR",,,,,,,,,"1145","1145","WESTERN DR","0","2016-03-26T00:00:00.000","0","2016-01-14T00:00:00.000","2016-01-26T00:00:00.000","2016-01-13T00:00:00.000","AT&T",,"ENCROACHMENT",,"ISSUED","0",,,"EN","0",,"0",,,"2016-01-26T00:00:00.000",,,"10"
"EN17-01305",,,,,,,,,,,,,,"0",,"0",,,"2017-08-31T00:00:00.000","EBMUD - 723",,"ENCROACHMENT",,"APPLIED","0",,,"EN","0",,"0",,,,"POINT (-119.662127 37.211164)",,
"EN17-01276","T/A DRAW DOWN ACCOUNT",,,,,,,,,,"16","16",,"0",,"0","2017-08-25T00:00:00.000",,"2017-08-25T00:00:00.000","SINGLE TRIP",,"TRANSPORTATION",,"ISSUED","0",,,"EN","0",,"0",,,"2017-09-12T00:00:00.000","POINT (-119.662127 37.211164)",,
"EN17-02090","T/A DRAW DOWN ACCOUNT",,,,,,,,,,"16","16",,"0",,"0","2017-12-18T00:00:00.000",,"2017-12-18T00:00:00.000","SINGLE TRIP",,"TRANSPORTATION",,"ISSUED","0",,,"EN","0",,"0",,,"2018-01-11T00:00:00.000","POINT (-119.662127 37.211164)",,
"EN19-00152",,,,,,,,,,,,,,"0",,"0",,,,,,,,,"0",,,"EN","0",,"0",,,,"POINT (-119.662127 37.211164)",,
"EN19-00221","T/A DRAW DOWN ACCOUNT",,,,,,,,,,"16","16",,"0",,"0","2019-02-21T00:00:00.000",,"2019-02-21T00:00:00.000","SINGLE TRIP",,"TRANSPORTATION",,"ISSUED","0",,,"EN","0",,"0",,,"2019-03-19T00:00:00.000","POINT (-119.662127 37.211164)",,
"EN17-00968","310 MAINE AVENUE",,,,,,,,,,"445.74","0",,"0",,"445.74",,,"2017-06-22T00:00:00.000","PGE",,"ENCROACHMENT",,"APPLIED","0",,,"EN","0",,"0",,,,"POINT (-119.662127 37.211164)",,
"EN18-01359","T/A DRAW ACCOUNT",,,,,,,,,,"16","16",,"0",,"0",,,"2018-09-14T00:00:00.000","SINGLE TRIP",,"TRANSPORTATION",,"APPLIED","0",,,"EN","0",,"0",,,"2019-02-07T00:00:00.000","POINT (-119.662127 37.211164)",,
"EN17-01442",,,,,,,,,,,,,,"0",,"0",,,"2017-09-21T00:00:00.000",,,"ENCROACHMENT",,"APPLIED","0",,,"EN","0",,"0",,,,"POINT (-119.662127 37.211164)",,
"EN18-01827",,,,,,,,,,,"952.68","0",,"0","2019-03-29T00:00:00.000","952.68",,"2019-01-28T00:00:00.000","2018-12-13T00:00:00.000","CABLE",,"ENCROACHMENT",,"VOID","0",,,"EN","0",,"0",,,,"POINT (-119.662127 37.211164)",,"33"
"EN19-00184","T/A DRAW DOWN ACCOUNT",,,,,,,,,,"16","16",,"0",,"0","2019-02-07T00:00:00.000",,"2019-02-07T00:00:00.000","SINGLE TRIP",,"TRANSPORTATION",,"ISSUED","0",,,"EN","0",,"0",,,"2019-03-19T00:00:00.000","POINT (-119.662127 37.211164)",,
"EN18-00485","T/A DRAW DOWN ACCOUNT",,,,,,,,,,"16","16",,"0",,"0",,,"2018-03-29T00:00:00.000","SINGLE TRIP",,"TRANSPORTATION",,"APPLIED","0",,,"EN","0",,"0",,,"2018-04-10T00:00:00.000","POINT (-119.662127 37.211164)",,
"EN18-01096","428 42ND",,,,,,,,,,,,,"0",,"0",,,"2018-07-23T00:00:00.000",,,"ENCROACHMENT",,"APPLIED","0",,,"EN","0",,"0",,,,"POINT (-119.662127 37.211164)",,
"EN22-00092",,,,,,,,,,,"0","0",,"0",,"0",,,"2022-02-09T00:00:00.000","PGE",,"ENCROACHMENT",,"CANCELLED","0",,,"EN","0",,"0",,,,"POINT (-119.662127 37.211164)",,
"EN22-00253",,,,,,,,,,,"0","0",,"0",,"0",,,,"FACILITY PLACEMENT",,"ENCROACHMENT",,"APPLIED","0",,,"EN","0",,"0",,,,"POINT (-119.662127 37.211164)",,
"EN22-00278",,,,,,,,,,,"0","0",,"0",,"0",,,,"MISCELLANEOUS",,"ENCROACHMENT",,"APPLIED","0",,,"EN","0",,"0",,,,"POINT (-119.662127 37.211164)",,
"EN19-00657","KAY ROAD AND MADELINE ROAD","KAY RD MADELINE ROAD",,,"KAY RD",,,,,,"620.16","0","MADELINE ROAD","0",,"620.16",,,"2019-06-21T00:00:00.000","PGE",,"ENCROACHMENT",,"VOID","0",,,"EN","0",,"0",,,,,,
"EN19-00854","T/A DRAW DOWN ACCOUNT",,,,,,,,,,"16.32","0",,"0",,"16.32","2019-08-06T00:00:00.000",,"2019-08-06T00:00:00.000","SINGLE TRIP",,"TRANSPORTATION",,"ISSUED","0",,,"EN","0",,"0",,,,"POINT (-119.662127 37.211164)",,
"EN19-01426","T/A DRAW DOWN ACCOUNT",,,,,,,,,,"16.32","0",,"0",,"16.32","2019-12-18T00:00:00.000",,"2019-12-18T00:00:00.000","SINGLE TRIP",,"TRANSPORTATION",,"ISSUED","0",,,"EN","0",,"0",,,,"POINT (-119.662127 37.211164)",,
"EN20-00341","T/A DRAW DOWN ACCOUNT",,,,,,,,,,"16","16",,"0",,"0","2020-04-03T00:00:00.000",,"2020-04-03T00:00:00.000","SINGLE TRIP",,"TRANSPORTATION",,"ISSUED","0",,,"EN","0",,"0",,,"2020-04-03T00:00:00.000","POINT (-119.662127 37.211164)",,
"EN20-00382",,,,,,,,,,,"1532.04","0",,"0",,"1532.04",,,"2020-05-14T00:00:00.000","SEWER REPLACE",,"ENCROACHMENT",,"APPLIED","0",,,"EN","0",,"0",,,,"POINT (-119.662127 37.211164)",,
"F14-00161","130/156 MARINA WAY","130/156 MARINA WAY","RICHMOND","94804-3727","130/156",,,,,,,,"MARINA WAY",,"2014-12-31T00:00:00.000",,,,"2014-01-01T00:00:00.000","R2 APARTMENT",,"FD PERMIT TO OPERATE",,"VOID",,,,"F",,,,"365",,,,,
"EN22-00088",,,,,,,,,,,"0","0",,"5500",,"0",,,,"SEWER REPLACE",,"ENCROACHMENT",,"UNDER REVIEW","0",,,"EN","0",,"0",,,,"POINT (-119.662127 37.211164)",,
"EP19-00356",,,,,,,,,,,"511.02","0",,"0","2019-09-15T00:00:00.000","511.02","2019-07-17T00:00:00.000","2019-07-17T00:00:00.000","2019-07-17T00:00:00.000",,,"ATT ENCROACHMENT",,"APPLIED","0",,,"EP","0",,"0",,,,"POINT (-119.662127 37.211164)",,"1"
"F14-03128","952 - 13TH STREET  ""B""","952 13TH ST B","RICHMOND","94801","952",,,,,,,,"13TH ST",,"2014-12-31T00:00:00.000",,,,"2014-01-01T00:00:00.000",,,"FD PERMIT TO OPERATE",,"VOID",,,,"F",,,,"365",,,"POINT (-122.357376 37.946428)",,
"ESTIMATE-PC2","DO NOT DELETE",,,,,,,,,,"286319","0",,"1558530",,"286319",,,"2018-06-12T00:00:00.000","NEW SUB-DIVISION",,"BLD RESIDENTIAL",,,"10128",,,"E","2550",,"6",,,,"POINT (-119.662127 37.211164)",,
"F14-02327","24 W  AVE","24 W AVE","RICHMOND","94801","24",,,,"40007111",,"222","222","W AVE",,"2014-12-31T00:00:00.000","0",,,"2014-01-01T00:00:00.000","MERCANTILE",,"FD PERMIT TO OPERATE",,"EXPIRED",,,,"F",,,,"365",,"2014-03-21T00:00:00.000",,,
"F14-01667","85 SCENIC AVE","85 SCENIC AVE","RICHMOND","94801-3933","85","558102018",,,,,,,"SCENIC AVE",,"2014-12-31T00:00:00.000",,,,"2014-01-01T00:00:00.000","R2 APARTMENT",,"FD PERMIT TO OPERATE",,"NON-APPLICABLE",,,,"F",,"PARCEL",,"365",,,"POINT (-122.386799 37.925045)",,
"F14-02913","4400 MARKET ST","4400 MARKET ST","RICHMOND","94801-1300","4400",,,,,,,,"MARKET ST",,"2014-12-31T00:00:00.000",,,,"2014-01-01T00:00:00.000","MERCANTILE",,"FD PERMIT TO OPERATE",,"NON-APPLICABLE",,,,"F",,,,"365",,,,,
"F16-10386","AIRGAS",,,,,,,,,,,,,"0","2016-10-03T00:00:00.000",,,,"2016-04-06T00:00:00.000",,,"CFC CODE COMPLIANCE",,"EXPIRED","0",,,"F","0",,"0",,,,"POINT (-119.662127 37.211164)",,
"F14-02951","137 PARK PLACE AVE 205","137 PARK PL 205","RICHMOND","94801-3922","137",,,,,,,,"PARK PL",,"2014-12-31T00:00:00.000",,,,"2014-01-01T00:00:00.000","MERCANTILE",,"FD PERMIT TO OPERATE",,"VOID",,,,"F",,,,"365",,,,,
"F14-05267",,,,,,,,,,,,,,"0","2014-12-31T00:00:00.000",,,,"2014-03-26T00:00:00.000","RESIDENTIAL",,"FD OCCUPANCY PERMITS",,"ISSUED","0",,,"F","0",,"0",,,,"POINT (-119.662127 37.211164)",,
"F14-09831",,,,,,,,,,,,,,"0","2015-05-31T00:00:00.000",,,,"2014-12-02T00:00:00.000",,,"CFC CODE COMPLIANCE",,"EXPIRED","0",,,"F","0",,"0",,,,"POINT (-119.662127 37.211164)",,
"F15-02402","914 MARINA WAY SOUTH","914 MARINA WAY","RICHMOND","94804-3727","914",,"F14-02402","F14-02402","40008671",,"226","226","MARINA WAY",,"2015-12-31T00:00:00.000","0",,,"2015-01-01T00:00:00.000","MERCANTILE",,"FD PERMIT TO OPERATE",,"ISSUED",,,,"F",,,,"365",,"2015-06-24T00:00:00.000",,,
"F16-10458",,"JETTY DR","RICHMOND","94804",,"560810016",,,,"T8934 LOT OO","25.5",,"JETTY DR","0","2016-12-25T00:00:00.000",,,,"2016-06-28T00:00:00.000","FIRE DET & SIGNAL",,"FD PLAN REVIEW FEES",,"EXPIRED","0",,,"F","0","PARCEL","0",,,,,,
"F15-02603","10 SANTA FE","10 SANTA FE","RICHMOND","94801","10",,"F14-02603","F14-02603","40015642",,,,"SANTA FE",,"2015-12-31T00:00:00.000",,,,"2015-01-01T00:00:00.000","MERCANTILE",,"FD PERMIT TO OPERATE",,"VOID",,,,"F",,,,"365",,,,,
"F17-10637",,,,,,,,,,,,,,"0","2017-02-13T00:00:00.000",,,,"2017-02-13T00:00:00.000","MERCANTILE","2017-02-13T00:00:00.000","CFC CODE COMPLIANCE",,"FINALED","0",,,"F","0",,"0",,,,"POINT (-119.662127 37.211164)","1",
"F19-12951",,,,,,,,,,,,,,"0",,,,,"2019-06-21T00:00:00.000",,,"BLD OCCUPANCY PERMIT",,"VOID","0",,,"F","0",,"0",,,,"POINT (-119.662127 37.211164)",,
"F19-13439",,,,,,,,,,,,,,"0",,,,,"2019-11-08T00:00:00.000","REROOF",,"BLD RESIDENTIAL",,"VOID","0",,,"F","0",,"0",,,,"POINT (-119.662127 37.211164)",,
"F20-13584","KNOX BOX - 1438 PORTSIDE WAY","1438 PORTSIDE WAY","RICHMOND","94804","1438",,,,,,"42.84",,"PORTSIDE WAY","0",,,,,"2020-02-03T00:00:00.000","KNOX BOX",,"FD SPECIAL SERVICES",,"FIRE INVOICE SENT","0",,,"F","0",,"0",,,,,,
"H19-00099","REPOSITION BUS STOP BENCH @ HILLTOP MALL RD",,,,,,"H19-00098",,,,,,,"0","2021-12-20T00:00:00.000","0",,,"2019-09-03T00:00:00.000","OTHER",,"CITIZEN TRAFFIC REQUEST",,"EXPIRED","0",,,"H","0",,"0",,,,"POINT (-119.662127 37.211164)",,
"H20-00080","AWSC @ BISSELL AND 15TH",,,,,,,,,,"497.76","0",,"0",,"497.76",,,"2020-12-13T00:00:00.000","FOUR-WAY STOP",,"CITIZEN TRAFFIC REQUEST",,"APPLIED","0",,,"H","0",,"0",,,,"POINT (-119.662127 37.211164)",,
"H91-00173","P130175;F35299;HVAC TENANT IMPROVMENT (CLAIRE'S BOUTIQUE)",,,,,,,,,,"69.4","69.4",,"0","1992-04-29T00:00:00.000","0","1991-11-01T00:00:00.000","1991-11-01T00:00:00.000","1991-11-01T00:00:00.000",,,"CONVERTED",,"EXPIRED",,,,"H",,,,,,"1991-11-01T00:00:00.000","POINT (-119.662127 37.211164)",,"1"
"FE17-00001",,,,,,,,,,,,,,"0",,,,,"2017-07-10T00:00:00.000",,,"FD ESTIMATE",,"APPLIED","0",,,"FE","0",,"0",,,,"POINT (-119.662127 37.211164)",,
"H92-00107","SEE DESCRIPTION",,,,,,,,,,"118","118",,"8900","1992-11-14T00:00:00.000","0","1992-05-18T00:00:00.000","1992-05-18T00:00:00.000","1992-05-18T00:00:00.000",,,"CONVERTED",,"EXPIRED",,,,"H",,,,,,"1992-05-18T00:00:00.000","POINT (-119.662127 37.211164)",,"1"
"H18-00005","SACRAMENTO AVE BETWEEN 2ND ST & OHIO AVE",,,,,,,,,,,,,"0",,"0",,,"2018-02-05T00:00:00.000","TRAFFIC CALMING",,"CITIZEN TRAFFIC REQUEST",,"DENIED","0",,,"H","0",,"0",,,,"POINT (-119.662127 37.211164)",,
"H93-00132","INSTALL NEW SAFETY VENT WALL HEATER",,,,,,,,,,"64","64",,"1100","1994-03-20T00:00:00.000","0","1993-09-21T00:00:00.000","1993-09-21T00:00:00.000","1993-09-21T00:00:00.000",,,"CONVERTED",,"EXPIRED",,,,"H",,,,,,"1993-09-21T00:00:00.000","POINT (-119.662127 37.211164)",,"1"
"H94-00082","REPLACE 19 000 BTU WALL HEATER",,,,,,,,,,"64","64",,"750","1995-01-07T00:00:00.000","0","1994-07-11T00:00:00.000","1994-07-11T00:00:00.000","1994-07-11T00:00:00.000",,,"CONVERTED",,"EXPIRED",,,,"H",,,,,,"1994-07-11T00:00:00.000","POINT (-119.662127 37.211164)",,"1"
"H98-00069","SEE DESCRIPTION",,,,,,,,,,"181","181",,"15500","1998-10-21T00:00:00.000","0","1998-04-24T00:00:00.000","1998-04-24T00:00:00.000","1998-04-24T00:00:00.000",,,"CONVERTED",,"EXPIRED",,,,"H",,,,,,"1998-04-24T00:00:00.000","POINT (-119.662127 37.211164)",,"1"
"H98-00155","CHANGE OUT WALL HEATER",,,,,,,,,,"64","64",,"710","1999-05-16T00:00:00.000","0","1998-11-17T00:00:00.000","1998-11-17T00:00:00.000","1998-11-17T00:00:00.000",,,"CONVERTED",,"EXPIRED",,,,"H",,,,,,"1998-11-17T00:00:00.000","POINT (-119.662127 37.211164)",,"1"
"H99-00007","INSTALL DIRECT VENT WALL HEATER",,,,,,,,,,"64","64",,"700","1999-07-05T00:00:00.000","0","1999-01-06T00:00:00.000","1999-01-06T00:00:00.000","1999-01-06T00:00:00.000",,,"CONVERTED",,"EXPIRED",,,,"H",,,,,,"1999-01-06T00:00:00.000","POINT (-119.662127 37.211164)",,"1"
"H99-00053","REPLACE FURNACE",,,,,,,,,,"64","64",,"1700","1999-09-20T00:00:00.000","0","1999-03-24T00:00:00.000","1999-03-24T00:00:00.000","1999-03-24T00:00:00.000",,,"CONVERTED",,"EXPIRED",,,,"H",,,,,,"1999-03-24T00:00:00.000","POINT (-119.662127 37.211164)",,"1"
"M91-00030","SEE DESCRIPTION",,,,,,,,,,"64","64",,"1000","1992-01-25T00:00:00.000","0",,"1991-07-29T00:00:00.000","1991-07-29T00:00:00.000",,,"SIGN",,"EXPIRED",,,,"M",,,,,,"1991-08-06T00:00:00.000","POINT (-119.662127 37.211164)",,"1"
"M92-00402","GAS TEST",,,,,,,,,,"20","20",,"0","1993-02-02T00:00:00.000","0","1992-08-06T00:00:00.000","1992-08-06T00:00:00.000","1992-08-06T00:00:00.000",,,"OCCC",,"EXPIRED",,,,"M",,,,,,"1992-08-06T00:00:00.000","POINT (-119.662127 37.211164)",,"1"
"M92-00409","RE-INSPECTION FEE",,,,,,,,,,"15","15",,"0","1993-02-03T00:00:00.000","0","1992-08-07T00:00:00.000","1992-08-07T00:00:00.000","1992-08-07T00:00:00.000",,"1992-08-07T00:00:00.000","PLTY",,"EXPIRED",,,,"M",,,,,,"1992-08-07T00:00:00.000","POINT (-119.662127 37.211164)","1","1"
"M91-00276","GRADING PERMIT #91-18",,,,,,,,,,"594.5","594.5",,"0","1992-06-15T00:00:00.000","0","1991-12-18T00:00:00.000","1991-12-18T00:00:00.000","1991-12-18T00:00:00.000",,,"GRAD",,"EXPIRED",,,,"M",,,,,,"1991-12-18T00:00:00.000","POINT (-119.662127 37.211164)",,"1"
"M96-00058","ELECRICAL METER RESET",,,,,,,,,,"20","20",,"0","1996-09-21T00:00:00.000","0","1996-03-25T00:00:00.000","1996-03-25T00:00:00.000","1996-03-25T00:00:00.000",,,"OCCC",,"EXPIRED",,,,"M",,,,,,"1996-03-26T00:00:00.000","POINT (-119.662127 37.211164)",,"1"
"M93-00089","GAS TEST",,,,,,,,,,"20","20",,"0","1993-10-10T00:00:00.000","0","1993-04-13T00:00:00.000","1993-04-13T00:00:00.000","1993-04-13T00:00:00.000",,,"OCCC",,"EXPIRED",,,,"M",,,,,,"1993-04-13T00:00:00.000","POINT (-119.662127 37.211164)",,"1"
