"fund_type","study_area_code","company_name","carrier","latitude","longitude","deployment_address","deployment_city","deployment_state","deployment_zip_code","deployment_date","deployment_year","census_block","locations_obligation","locations_deployed","target_build_out","milestone_certification_date","speed_tier","technology","other_technology","latency","total_state_support"
"CAF II","265061","CINCINNATI BELL INC.","CINCINNATI BELL-KY","38.77934600","-84.26835000","12110 HWY 10 N","PENDLETON COUNTY","KY","41043","2019-02-22T00:00:00.000","2019","211919301003004","6339","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"2034192"
"CAF II","265061","CINCINNATI BELL INC.","CINCINNATI BELL-KY","38.7861471","-84.6997305","140 SOUTHRIDGE ESTATES","GALLATIN COUNTY","KY","41092","2019-12-20T00:00:00.000","2019","210779601021071","6339","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"2034192"
"CAF II","125113","CONSOLIDATED COMMUNICATIONS INC.","NORTHERN NEW ENGLAND TELEPHONE OPERATIONS LLC","44.409048","-71.686232","133 BLAKSLEE RD","DALTON","NH","03598","2017-12-31T00:00:00.000","2017","330079511003068","13131","1","40","2017-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"4376604"
"CAF II","275183","AT&T INC.","SO CENTRAL BELL-LA","31.592962","-93.665981","85 SUMMERFIELD RD","ZWOLLE","LA","71486","2019-12-31T00:00:00.000","2019","220850002003010","74978","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"27907596"
"CAF II","351096","MUTUAL TELEPHONE COMPANY (IA)","HEARTLAND TELECOMMUNICATIONS COMPANY OF IOWA D/B/A PREMIER C","43.226996","-96.380083","2063A 290TH ST","ROCK VALLEY","IA","51247","2019-12-31T00:00:00.000","2019","191670704001058","2767","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"2184036"
"CAF II","300615","FRONTIER COMMUNICATIONS CORPORATION","FRONTIER NORTH, INC.","40.505185","-80.983620","4250 STEUBENVILLE RD SE","AMSTERDAM","OH","43903","2015-12-31T00:00:00.000","2015","390197206002064","66592","1",,,"10 Mbps/1 Mbps",,,,"21210699"
"CAF II","305062","CINCINNATI BELL INC.","CINCINNATI BELL-OH","39.29363500","-84.91673500","29098 CHAPPELOW HILL RD","LOGAN TOWNSHIP","IN","47060","2019-01-25T00:00:00.000","2019","180290802021006","745","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"194940"
"CAF II","223037","WINDSTREAM HOLDINGS, INC.","WINDSTREAM GA COMM","31.957947","-83.430494","11070 US HIGHWAY 280","ROCHELLE","GA","31079","2019-01-01T00:00:00.000","2019","133159604001015","64721","1","80","2019-12-31T00:00:00.000","25 Mbps/3 Mbps",,,,"24867804"
"CAF II","653700","PTI PACIFICA INC.","MICRONESIAN TELECOMM","14.970811","145.622378","TBD","TINIAN","MP","96952","2016-10-29T00:00:00.000","2016","691209501013020","11143","1",,,"10 Mbps/1 Mbps",,,,"2627172"
"CAF II","305062","CINCINNATI BELL INC.","CINCINNATI BELL-OH","38.88164200","-84.20604700","1986 LAUREL MOSCOW RD","WASHINGTON TOWNSHIP","OH","45153","2019-02-08T00:00:00.000","2019","390250420001033","745","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"194940"
"CAF II","265061","CINCINNATI BELL INC.","CINCINNATI BELL-KY","38.7876958","-84.6987622","129 SOUTHRIDGE ESTATES","GALLATIN COUNTY","KY","41092","2019-12-20T00:00:00.000","2019","210779601021071","6339","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"2034192"
"CAF II","320750","FRONTIER COMMUNICATIONS CORPORATION","FRONTIER OF INDIANA","39.901293","-84.842046","4333 FILBY RD","RICHMOND","IN","47374","2015-12-08T00:00:00.000","2015","181770101001010","59894","1",,,"10 Mbps/1 Mbps",,,,"17896970"
"CAF II","265061","CINCINNATI BELL INC.","CINCINNATI BELL-KY","38.772324","-84.7613145","645 MILLERS RIDGE","GALLATIN COUNTY","KY","41095","2019-12-20T00:00:00.000","2019","210779601021065","6339","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"2034192"
"CAF II","541863","FRONTIER COMMUNICATIONS CORPORATION","FRONTIER COMMUNICATIONS OF THE SOUTHWEST","36.662520","-119.391201","22118 E AMERICAN AVE","REEDLEY","CA","93654","2018-12-14T00:00:00.000","2018","060190063002068","90224","1","60","2018-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"38189561"
"CAF II","310682","FRONTIER COMMUNICATIONS CORPORATION","FRONTIER-MICHIGAN","43.683853","-86.422797","2085 N MEARS ST","MEARS","MI","49436","2015-12-31T00:00:00.000","2015","261270110002054","68512","1",,,"10 Mbps/1 Mbps",,,,"21513124"
"CAF II","170176","WINDSTREAM HOLDINGS, INC.","WINDSTREAM PA","39.923900","-80.260790","909 BROWNS CREEK RD","SYCAMORE","PA","15364","2019-01-01T00:00:00.000","2019","420599703005108","34807","1","80","2019-12-31T00:00:00.000","100 Mbps/20 Mbps",,,,"13001364"
"CAF II","223037","WINDSTREAM HOLDINGS, INC.","WINDSTREAM GA COMM","34.388209","-83.993593","411 GRANT FORD DR","DAWSONVILLE","GA","30534","2019-01-01T00:00:00.000","2019","130859702014004","64721","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"24867804"
"CAF II","223037","WINDSTREAM HOLDINGS, INC.","WINDSTREAM GA COMM","34.420149","-83.405521","1019 WELLS RD","HOMER","GA","30547","2019-11-15T00:00:00.000","2019","130119701002151","64721","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"24867804"
"CAF II","269690","WINDSTREAM HOLDINGS, INC.","WINDSTREAM LEXINGTON","37.255884","-85.622984","1375 BUCKNERSVILLE RD","GREENSBURG","KY","42743","2019-01-01T00:00:00.000","2019","210879303002028","62070","1","80","2019-12-31T00:00:00.000","25 Mbps/3 Mbps",,,,"21576984"
"CAF II","341037","CONSOLIDATED COMMUNICATIONS, INC.","IL CONSOLIDATED TEL","39.414002","-88.149608","2245 N COUNTY ROAD 1800E","CHARLESTON","IL","61920","2016-12-01T00:00:00.000","2016","170290006002021","12079","1",,,"10 Mbps/1 Mbps",,,,"7061444"
"CAF II","340998","FRONTIER COMMUNICATIONS CORPORATION","FRONTIER-DEPUE","37.820417","-89.314154","1773 E GRANGE HALL RD","MURPHYSBORO","IL","62966","2018-01-09T00:00:00.000","2018","170770104001188","56001","1","60","2018-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"31017504"
"CAF II","351096","MUTUAL TELEPHONE COMPANY (IA)","HEARTLAND TELECOMMUNICATIONS COMPANY OF IOWA D/B/A PREMIER C","43.300305","-96.146325","3251A 240TH ST","DOON","IA","51235","2019-12-31T00:00:00.000","2019","191199502003077","2767","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"2184036"
"CAF II","265061","CINCINNATI BELL INC.","CINCINNATI BELL-KY","38.7933352","-84.6924545","10096 HWY 16","GALLATIN COUNTY","KY","41092","2019-12-20T00:00:00.000","2019","210779601021071","6339","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"2034192"
"CAF II","442147","WINDSTREAM HOLDINGS, INC.","WINDSTREAM SUGARLAND","31.084333","-95.494867","1079 COUNTY ROAD 3615","LOVELADY","TX","75851","2019-01-01T00:00:00.000","2019","482259507004058","44580","1","80","2019-12-31T00:00:00.000","25 Mbps/3 Mbps",,,,"21260796"
"CAF II","150072","FRONTIER COMMUNICATIONS CORPORATION","FRONTIER-AUSABLE VAL","43.769655","-75.283094","6419 MOOSE PINE RD","GLENFIELD","NY","13343","2015-12-31T00:00:00.000","2015","360499504001067","45610","1",,,"10 Mbps/1 Mbps",,,,"13782569"
"CAF II","265061","CINCINNATI BELL INC.","CINCINNATI BELL-KY","38.7857757","-84.6970198","260 DELLA CT","GALLATIN COUNTY","KY","41092","2019-12-20T00:00:00.000","2019","210779601021071","6339","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"2034192"
"CAF II","442147","WINDSTREAM HOLDINGS, INC.","WINDSTREAM SUGARLAND","29.834122","-94.543054","36040 INTERSTATE 10","ANAHUAC","TX","77514","2019-01-01T00:00:00.000","2019","480717103003104","44580","1","80","2019-12-31T00:00:00.000","100 Mbps/20 Mbps",,,,"21260796"
"CAF II","223037","WINDSTREAM HOLDINGS, INC.","WINDSTREAM GA COMM","34.509736","-84.225754","7180 ELLIOTT FAMILY PKWY","DAWSONVILLE","GA","30534","2019-01-01T00:00:00.000","2019","130859701001041","64721","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"24867804"
"CAF II","265061","CINCINNATI BELL INC.","CINCINNATI BELL-KY","38.7569258000","-84.9733128000","958 HWY 184","GALLATIN COUNTY","KY","41045","2019-11-15T00:00:00.000","2019","210779601012166","6339","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"2034192"
"CAF II","300615","FRONTIER COMMUNICATIONS CORPORATION","FRONTIER NORTH, INC.","39.720437","-84.558340","1751 TIAMO LANE","WEST ALEXANDRIA","OH","45381","2016-08-20T00:00:00.000","2016","391354401001125","66592","1",,,"10 Mbps/1 Mbps",,,,"22927848"
"CAF II","265061","CINCINNATI BELL INC.","CINCINNATI BELL-KY","38.8451963","-84.7604382","85 JENNA DR","GALLATIN COUNTY","KY","41092","2019-12-20T00:00:00.000","2019","210779601021014","6339","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"2034192"
"CAF II","300665","WINDSTREAM HOLDINGS, INC.","WINDSTREAM OH","39.078350","-81.874967","48875 REIBEL RD","LONG BOTTOM","OH","45743","2019-09-10T00:00:00.000","2019","391059641003022","13073","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"4154268"
"CAF II","340998","FRONTIER COMMUNICATIONS CORPORATION","FRONTIER-DEPUE","39.797721","-87.679217","602 S ILLINOIS ST","CHRISMAN","IL","61924","2016-02-28T00:00:00.000","2016","170450701003280","56001","1",,,"10 Mbps/1 Mbps",,,,"31017504"
"CAF II","445216","AT&T INC.","SOUTHWESTERN BELL-TX","30.926253","-94.139904","8622 FM 2799","JASPER","TX","75951","2019-12-31T00:00:00.000","2019","482419504001030","98432","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"42078420"
"CAF II","340998","FRONTIER COMMUNICATIONS CORPORATION","FRONTIER-DEPUE","38.686473","-88.359603","506 SUNSET RD SW","CLAY CITY","IL","62824","2015-12-31T00:00:00.000","2015","170259722001062","56001","1",,,"10 Mbps/1 Mbps",,,,"27125766"
"CAF II","305062","CINCINNATI BELL INC.","CINCINNATI BELL-OH","38.87665700","-84.20336000","111 SANTA MARIA WOODS DR","WASHINGTON TOWNSHIP","OH","45153","2019-02-08T00:00:00.000","2019","390250420001033","745","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"194940"
"CAF II","210336","WINDSTREAM HOLDINGS, INC.","WINDSTREAM FL","30.319009","-82.882344","7254 65TH DR","LIVE OAK","FL","32060","2019-01-01T00:00:00.000","2019","121219701001032","17891","1","80","2019-12-31T00:00:00.000","25 Mbps/3 Mbps",,,,"5236620"
"CAF II","125113","CONSOLIDATED COMMUNICATIONS INC.","NORTHERN NEW ENGLAND TELEPHONE OPERATIONS LLC","42.787121","-72.147958","97 LOWER TROY RD","FITZWILLIAM","NH","03447","2015-01-01T00:00:00.000","2015","330059707001014","13131","1",,,"10 Mbps/1 Mbps",,,,"3546398"
"CAF II","300615","FRONTIER COMMUNICATIONS CORPORATION","FRONTIER NORTH, INC.","39.151704","-82.023746","40280 DARWIN ROAD","SHADE","OH","45776","2018-12-13T00:00:00.000","2018","391059642001026","66592","1","60","2018-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"22927848"
"CAF II","265061","CINCINNATI BELL INC.","CINCINNATI BELL-KY","38.7269356","-84.8666626","3612 HWY 465 E","GALLATIN COUNTY","KY","41086","2019-12-20T00:00:00.000","2019","210779601012140","6339","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"2034192"
"CAF II","250301","FRONTIER COMMUNICATIONS CORPORATION","FRONTIER-LAMAR CNTY","32.268645","-87.608723","80 PERSIMMON PL","THOMASTON","AL","36783","2015-12-31T00:00:00.000","2015","010919731003072","7376","1",,,"10 Mbps/1 Mbps",,,,"2397113"
"CAF II","150072","FRONTIER COMMUNICATIONS CORPORATION","FRONTIER-AUSABLE VAL","43.489969","-75.921497","989 COUNTY ROUTE 30","ALTMAR","NY","13302","2015-12-31T00:00:00.000","2015","360750201004031","45610","1",,,"10 Mbps/1 Mbps",,,,"13782569"
"CAF II","401691","WINDSTREAM HOLDINGS, INC.","WINDSTREAM AR","34.311067","-93.644993","302 HIGHWAY 84","GLENWOOD","AR","71943","2019-01-01T00:00:00.000","2019","051099534001006","32312","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"13163784"
"CAF II","223037","WINDSTREAM HOLDINGS, INC.","WINDSTREAM GA COMM","30.813603","-84.922333","7820 FISHERMAN LN","DONALSONVILLE","GA","39845","2019-01-01T00:00:00.000","2019","132532003002072","64721","1","80","2019-12-31T00:00:00.000","25 Mbps/3 Mbps",,,,"24867804"
"CAF II","200271","FRONTIER COMMUNICATIONS CORPORATION","CITIZENS-FRONTIER-WV","39.407150","-80.682980","13527 WV ROUTE 23 N","WEST UNION","WV","26456","2015-12-31T00:00:00.000","2015","540179650001031","89190","1",,,"10 Mbps/1 Mbps",,,,"25768124"
"CAF II","325080","AT&T INC.","INDIANA BELL TEL CO","39.34805092","-86.50336863","5405 TURKEY TRACK RD","MARTINSVILLE","IN","46151","2019-12-31T00:00:00.000","2019","181095110004103","45136","2","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"17576784"
"CAF II","265061","CINCINNATI BELL INC.","CINCINNATI BELL-KY","38.8461089","-84.7608696","40 JENNA DR","GALLATIN COUNTY","KY","41092","2019-12-20T00:00:00.000","2019","210779601021000","6339","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"2034192"
"CAF II","431965","WINDSTREAM HOLDINGS, INC.","WINDSTREAM OK","35.002393","-94.649716","35821 RIDGE RD","POTEAU","OK","74953","2019-11-15T00:00:00.000","2019","400790405002041","16741","1","80","2019-12-31T00:00:00.000","25 Mbps/3 Mbps",,,,"7788216"
"CAF II","269690","WINDSTREAM HOLDINGS, INC.","WINDSTREAM LEXINGTON","37.148090","-85.523133","836 FRY RIDGE RD","GREENSBURG","KY","42743","2019-01-01T00:00:00.000","2019","210879304002040","62070","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"21576984"
"CAF II","150072","FRONTIER COMMUNICATIONS CORPORATION","FRONTIER-AUSABLE VAL","42.467024","-78.671919","10689 AUTUMN VIEW TRL","WEST VALLEY","NY","14171","2015-12-31T00:00:00.000","2015","360099603002023","45610","1",,,"10 Mbps/1 Mbps",,,,"13782569"
"CAF II","330870","FRONTIER COMMUNICATIONS CORPORATION","RHINELNDER-FRONTIER","45.905934","-89.394175","1143 HELEN LN","EAGLE RIVER","WI","54521","2015-12-31T00:00:00.000","2015","551259505001082","76735","1",,,"10 Mbps/1 Mbps",,,,"29965774"
"CAF II","265061","CINCINNATI BELL INC.","CINCINNATI BELL-KY","38.7807863","-84.7097559","535 CONCORD RD","GALLATIN COUNTY","KY","41092","2019-12-20T00:00:00.000","2019","210779601021071","6339","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"2034192"
"CAF II","223037","WINDSTREAM HOLDINGS, INC.","WINDSTREAM GA COMM","34.899941","-83.918382","3114 HIGHWAY 515","BLAIRSVILLE","GA","30512","2019-11-15T00:00:00.000","2019","132910002052012","64721","1","80","2019-12-31T00:00:00.000","100 Mbps/20 Mbps",,,,"24867804"
"CAF II","341037","CONSOLIDATED COMMUNICATIONS, INC.","IL CONSOLIDATED TEL","39.420143","-88.137073","18144 E COUNTY ROAD 300N","CHARLESTON","IL","61920","2016-12-01T00:00:00.000","2016","170290006002021","12079","1",,,"10 Mbps/1 Mbps",,,,"7061444"
"CAF II","265061","CINCINNATI BELL INC.","CINCINNATI BELL-KY","38.75962200","-84.74739900","11240 NAPOLEON ZION STATION RD","GRANT COUNTY","KY","41035","2019-02-15T00:00:00.000","2019","210819201002022","6339","1","80","2019-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"2034192"
"CAF II","330870","FRONTIER COMMUNICATIONS CORPORATION","RHINELNDER-FRONTIER","43.358285","-89.799188","E10496 COUNTY ROAD C","NORTH FREEDOM","WI","53951","2017-02-06T00:00:00.000","2017","551110005003044","76735","1","40","2017-12-31T00:00:00.000","10 Mbps/1 Mbps",,,,"30983712"
