"entity_name","entity_number","entity_type","parent_entity_name","parent_entity_number","parent_entity_type","fcc_registration_number","status","fcc_form_498_form_number","fcc_form_498_status_date_time","form498_status","physical_address","physical_address_2","physical_city","physical_county","physical_state","physical_zipcode","physical_zipcode_ext","mailing_address","mailing_address_2","mailing_city","mailing_county","mailing_state","mailing_zipcode","mailing_zipcode_ext","phone_number","email","website_url","account_administrator_name","general_contact_name","latitude","longitude","user_entered_urban_rural_status","urban_rural_status","is_school_library_independent","private_school_district","public_school_district","esa_school_district","charter_school_district","c2_student_count_reporting_type","c2_district_student_count","c2_school_student_count","main_library_branch_school_district_name","main_library_branch_school_district_number","private_library_system","public_library_system","esa_consortium","non_profit_purchasing_group","state_wide","state_education_agency","state_library_agency_consortium","other_state_agency","fscs_key","fscs_seq","locale_code","square_footage","academic","bookmobile","kiosk","main_branch","new_construction_library","private_library","public_library","research","state_library_agency_library","tribal_library","state_school_code","state_lea_code","nces_public_state_code","nces_public_district_code","nces_public_building_code","nces_private_school_id","number_of_full_time_students","total_number_of_part_time_students","peak_number_of_part_time_students","number_of_nslp_students","community_eligibility_program_cep","cep_percentage","alternative_discount_method","does_this_organization_have_an_endowment","bie","charter_school","dormitory","esa_school","esa_school_district_with_no_schools","head_start","juvenile_justice","new_construction_school","pre_k","private_school","public_school","tribal_school","adult_education","swing_space","detention_center","general_use_school","entity_last_modified_by","last_updated_date"
"Coastal Ridge Elem School","3772","School","York School Department","121334","School District",,"Active",,,,"1 Coastal Ridge Drive",,"York","York","ME","03909","5801","1 Coastal Ridge Drive",,"York","York","ME","03909","5801","207-363-1800",,"http://cres.yorkschools.org/","Eric Lawson",,"43.1515809","-70.64054709999999","Urban",,"No","No","No","No","No","A number for each school in the district",,"363",,,"No","No","No","No","No","No","No","No",,,,,"No","No","No","No","No","No","No","No","No","No","546","546",,,,,"363","0","0","31","No",,"None",,"No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","elawson@yorkschools.org","2021-12-07T08:58:00.000"
"Atascadero Unif School Dist","143957","School District","Cenic-Corporation For Education Network Initiatives In California","225495","Consortium","0014267371","Active","443024045","2019-10-18T02:00:00.000","Approved","5601 West Mall",,"Atascadero","San Luis Obispo","CA","93422","4234","5601 West Mall",,"Atascadero","San Luis Obispo","CA","93422","4234","805-462-4200",,"www.atasusd.org","Candy Smet","Candy Smet","35.492333","-120.665476",,,"No","No","Yes","No","No","A number for each school in the district",,,,,"No","No","No","No","No","No","No","No",,,,,"No","No","No","No","No","No","No","No","No","No",,"4068700",,,,,,,,,"No",,,,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","sequoia.daniels@usac.org","2021-01-13T22:16:00.000"
"St Michael Academy","16061268","School","The Diocese Of St Augustine Consortia","17001562","Consortium","0020543393","Active","443016677","2019-10-17T02:00:00.000","Approved","228 N 4th St",,"Fernandina Beach","Nassau","FL","32034","4128","228 N 4th St",,"Fernandina Beach","Nassau","FL","32034","4128","904-321-2102","mguevara@smacad.org","www.smacad.org","Martin Guevara","Martin Guevara","30.674648","-81.461151","Urban","Urban","Yes","No","No","No","No",,,"184",,,"No","No","No","No","No","No","No","No",,,,,"No","No","No","No","No","No","No","No","No","No",,,,,,,"184","0","0","33","No",,"Survey",,"No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","mguevara@smacad.org","2021-01-13T21:16:00.000"
"Blue Hill Harbor School","17011584","School","Networkmaine","16055092","Consortium",,"Active",,,,"57 South St",,"Blue Hill","Hancock","ME","04614",,"P.O Box 1629",,"Blue Hill","Hancock County","ME","04614",,"207-374-5501","joshua@bluehillbharborschool.org",,,,"44.405104","-68.594226","Rural",,"Yes","No","No","No","No",,,"48",,,"No","No","No","No","No","No","No","No",,,,,"No","No","No","No","No","No","No","No","No","No",,,,,,,"48","0","0","15","No",,"Survey",,"No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","jasmine.artis@usac.org","2021-12-07T09:06:00.000"
"Galveston Indep School Dist","141339","School District",,,,"0004249363","Active","443006378","2019-09-27T10:21:00.000","Certified","3904 Avenue T",,"Galveston","Galveston","TX","77550",,"Po Box 660",,"Galveston","Galveston","TX","77553","0660","409-766-5174",,,"Michael Le","Michael Le","29.280567","-94.805372",,,"No","No","Yes","No","No","A number for each school in the district",,,,,"No","No","No","No","No","No","No","No",,,,,"No","No","No","No","No","No","No","No","No","No",,,,,,,,,,,"No",,,,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","michaelle@gisd.org","2022-01-31T11:27:00.000"
"New Searles Elementary School","3274","School","Nashua School District","120908","School District","0013791959","Active",,,,"39 Shady Ln",,"Nashua","Hillsborough","NH","03062","2327","39 Shady Ln",,"Nashua","Hillsborough","NH","03062","2327","603-966-1023","farrenkopfr@nashua.edu",,"Greg Rodriguez",,"42.724781","-71.481","Urban","Urban","No","No","No","No","No","A number for each school in the district",,"350",,,"No","No","No","No","No","No","No","No",,,,,"No","No","No","No","No","No","No","No","No","No",,,"33","04980","324",,"350","0","0","63","No",,"None",,"No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Commitment Batch Update 2019","2021-01-13T21:28:00.000"
"Archbishop Riordan High School","108171","School",,,,"0007783871","Active","443024362","2019-08-21T02:00:00.000","Approved","175 Frida Kahlo Way",,"San Francisco","San Francisco County","CA","94112","1822","175 Frida Kahlo Way",,"San Francisco","San Francisco County","CA","94112","1822","415-586-8200","jwu@riordanhs.org","http://www.riordanhs.org/","John Wu","John Wu","37.720647","-122.442853","Urban",,"Yes","No","No","No","No",,,"986",,,"No","No","No","No","No","No","No","No",,,,,"No","No","No","No","No","No","No","No","No","No",,,,,,,"986","0","0","547","No",,"Survey",,"No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","rsenturia@erateprogram.com","2021-09-23T16:17:00.000"
"Cypress Sd - M.O.T.T. Office","101650","Non-Instructional Facility (Nif)","Cypress School District","143512","School District",,"Active",,,,"5851 Newman St",,"Cypress","Orange","CA","90630","3322","5851 Newman St",,"Cypress","Orange","CA","90630","3322","714-220-6985","Terry@cypsd.k12.ca.us",,"Tim Mclellan Edd",,"33.828681","-118.031854",,,"No","No","No","No","No",,,,,,"No","No","No","No","No","No","No","No",,,,,"No","No","No","No","No","No","No","No","No","No",,,,,,,,,,,"No",,,,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","rmalcor@csmcentral.com","2021-09-23T18:48:00.000"
"Lunenburg Middle School","17010668","School","Lunenburg School District","120217","School District",,"Active",,,,"1079 Massachusetts Ave",,"Lunenburg","Worcester","MA","01462",,"1079 Massachusetts Ave",,"Lunenburg","Worcester","MA","01462",,"978-582-4110",,,"Stephen Malandrinos",,"42.598436","-71.720471","Urban","Urban","No","No","No","No","No","A number for each school in the district",,"863",,,"No","No","No","No","No","No","No","No",,,,,"No","No","No","No","No","No","No","No","No","No",,,,,,,"402","0","0","100","No",,"None",,"No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","msagnella@erateportal.com","2021-12-07T15:30:00.000"
"Jordan Elementary School","101564","School","Lowell Joint  School District","143503","School District",,"Active",,,,"10654 Jordan Rd",,"Whittier","Los Angeles","CA","90603","2931","10654 Jordan Rd",,"Whittier","Los Angeles","CA","90603","2931","562-947-8639","noemail@noemail.com",,"Alan Mao",,"33.938565","-117.980669","Urban","Urban","No","No","No","No","No","A number for each school in the district",,"417",,,"No","No","No","No","No","No","No","No",,,,,"No","No","No","No","No","No","No","No","No","No","30647666020150",,,,,,"424","0","0","241","No",,"None",,"No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Commitment Batch Update 2019","2022-08-25T16:21:00.000"
"Greene Central School","4015","School","School Admin District 52","121456","School District",,"Active",,,,"41 Main Street",,"Greene","Androscoggin","ME","04236","9757","41 Main Street",,"Greene","Androscoggin","ME","04236","9757","207-946-5681",,,"Randy Swift",,"44.1878626","-70.1482565","Rural",,"No","No","No","No","No","A number for each school in the district",,"350",,,"No","No","No","No","No","No","No","No",,,,,"No","No","No","No","No","No","No","No","No","No",,,,,,,"350","0","0","112","No",,"None",,"No","No","No","No","No","No","No","No","Yes","No","Yes","No","No","No","No","No","karen.potvin@rsu52.us","2021-12-07T08:36:00.000"
"Bassett Street Elementary School","102805","School","Los Angeles Unified School District","143454","School District","0012769550","Active",,,,"15756 Bassett Street",,"Lake Balboa","Los Angeles","CA","91406",,"15756 Bassett Street",,"Lake Balboa","Los Angeles","CA","91406",,"818-782-1340","email@notprovided.com",,"Christian Ramos",,"34.195268","-118.477632","Urban",,"No","No","No","No","No","One number for my whole district",,,,,"No","No","No","No","No","No","No","No",,,,,"No","No","No","No","No","No","No","No","No","No",,,,,,,"692","0","0","663","No",,"None",,"No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","margaret.g.smith@lausd.net","2021-12-07T00:04:00.000"
"Royal Isd District Alternative Education Program (Daep)","16053739","School","Royal Indep School District","141293","School District",,"Active",,,,"3714 Fm 359",,"Pattinson","Waller","TX","77423",,"3714 Fm 359",,"Pattinson","Waller","TX","77423",,"281-934-1394",,,"Mike Nicholas",,"29.825064","-95.993938","Rural",,"No","No","No","No","No","A number for each school in the district",,"0",,,"No","No","No","No","No","No","No","No",,,,,"No","No","No","No","No","No","No","No","No","No",,,,,,,"0",,,"0","No",,"None",,"No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","pstanford@esc12.net","2020-11-19T16:13:00.000"
"Imagine Superstition Schools","17027116","School District",,,,"0018407171","Active",,,,"1843 W 16th Ave",,"Apache Junction","Pinal","AZ","85120",,"1843 W 16th Ave",,"Apache Junction","Pinal","AZ","85120",,"480-355-0530",,,"Denise Kenney","Denise Kenney","33.399638","-111.56674",,,"No","No","Yes","No","Yes","A number for each school in the district",,,,,"No","No","No","No","No","No","No","No",,,,,"No","No","No","No","No","No","No","No","No","No",,,,,,,,,,,"No",,,,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","divya.advani@usac.org","2022-01-31T13:45:00.000"
"Weaverville Preschool","17021968","School","Shasta County Head Start Child Development, Inc.","16040820","School District",,"Active",,,,"30920 State Hwy 3",,"Weaverville","Shasta","CA","96093",,"30920 State Hwy 3",,"Weaverville","Shasta","CA","96093",,"530-241-1036",,,"Gordon Chatham",,"40.695267","-122.92905","Urban","Urban","No","No","No","No","No","A number for each school in the district",,"15",,,"No","No","No","No","No","No","No","No",,,,,"No","No","No","No","No","No","No","No","No","No",,,,,,,"15","0","0","15","No",,"None",,"No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","dvang@csmcentral.com","2020-12-08T17:22:00.000"
"Canton Elementary School","85822","School","Canton Indep School District","140486","School District",,"Active",,,,"1163 S Buffalo St",,"Canton","Van Zandt","TX","75103",,"1045 S Buffalo St",,"Canton","Van Zandt","TX","75103","1751","903-567-6521","DSTONE@CANTONISD.COM",,"Denise Stone",,"32.5458","-95.868006","Rural",,"No","No","No","No","No","A number for each school in the district",,"587",,,"No","No","No","No","No","No","No","No",,,,,"No","No","No","No","No","No","No","No","No","No","101","234902",,,,,"587","0","0","295","No",,"None",,"No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Commitment Batch Update 2021","2021-12-07T11:12:00.000"
"Brooksville Elementary School","4328","School","Union School District 093","121603","School District",,"Active",,,,"1527 Coastal Road",,"Brooksville","Hancock","ME","04617","9719","1527 Coastal Road",,"Brooksville","Hancock","ME","04617","9719","207-326-8500","ljohns@brooksville.u93.k12.me.us",,"Richard Avery",,"44.390194","-68.75627899999999","Rural",,"No","No","No","No","No","A number for each school in the district",,"62",,,"No","No","No","No","No","No","No","No",,,,,"No","No","No","No","No","No","No","No","No","No",,,,,,,"62","0","0","19","No",,"None",,"No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","EPC System","2021-12-07T08:51:00.000"
"Rutherfordton Elem School","29099","School","Rutherford Co School District","126967","School District",,"Active",,,,"191 Bob Hardin Rd",,"Rutherfordton","Rutherford","NC","28139",,"191 Bob Hardin Rd",,"Rutherfordton","Rutherford","NC","28139",,"704-287-3778",,,"Kim Carpenter",,"35.334168","-81.971699","Rural",,"No","No","No","No","No","One number for my whole district",,,,,"No","No","No","No","No","No","No","No",,,,,"No","No","No","No","No","No","No","No","No","No","388","810",,,,,"359","0","0","359","Yes","0.7589",,,"No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","EPC System","2021-06-20T10:11:00.000"
"Pine Mountain Middle School","32617","School","Cobb County School District","127276","School District","0013045869","Active",,,,"2720 Pine Mountain Cir Nw",,"Kennesaw","Cobb","GA","30152","4635","2720 Pine Mountain Cir Nw",,"Kennesaw","Cobb","GA","30152","4635","770-591-5020","pinemountain@cobbk12.org",,"Sinneshia Byrdsong",,"33.988892","-84.631955","Urban",,"No","No","No","No","No","One number for my whole district",,,,,"No","No","No","No","No","No","No","No",,,,,"No","No","No","No","No","No","No","No","No","No","0280","633",,,,,"704","0","0","310","No",,"None",,"No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","julie.aronson@cobbk12.org","2022-08-25T12:38:00.000"
"Brandon-Evansville Middle  School","65360","School","Isd 2908 Brandon-Evansville Public Schools","133915","School District",,"Active",,,,"123 2nd Ave",,"Evansville","Douglas","MN","56326",,"123 2nd Ave",,"Evansville","Douglas","MN","56326",,"218-948-2241",,,"Louisa Glenetske",,"46.006197","-95.686871","Rural",,"No","No","No","No","No","A number for each school in the district",,"118",,,"No","No","No","No","No","No","No","No",,,,,"No","No","No","No","No","No","No","No","No","No",,,,,,,"118","0","0","40","No",,"None",,"No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Commitment Batch Update 2020","2022-08-25T17:11:00.000"
"Stevenson Elementary School","72087","School","Bloomington Public Schools, District 87","136200","School District",,"Active",,,,"2106 Arrowhead Dr",,"Bloomington","Mclean","IL","61701",,"2106 Arrowhead Dr",,"Bloomington","Mclean","IL","61701",,"309-663-2351","jim@district87.org",,"Jim Peterson",,"40.493457","-88.946391","Urban",,"No","No","No","No","No","A number for each school in the district",,"321",,,"No","No","No","No","No","No","No","No",,,,,"No","No","No","No","No","No","No","No","No","No",,,,,,,"321","0","0","321","Yes","0.6417",,,"No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","meg.serke@erateportal.com","2020-11-19T15:50:00.000"
"Imagine Charter Elemntary School At Rosefield","16028078","School",,,,"0014101968","Active","443004736","2019-10-18T02:00:00.000","Approved","12050 North Bullard Avenue",,"Surprise","Maricopa","AZ","85379",,"12050 North Bullard Avenue",,"Surprise","Maricopa","AZ","85379",,"623-344-4300",,,"Denise Kenney","Denise Kenney","33.593362","-112.377726","Urban",,"Yes","No","No","No","No",,,"726",,,"No","No","No","No","No","No","No","No",,,,,"No","No","No","No","No","No","No","No","No","No",,,,,,,"726","0","0","173","No",,"None",,"No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","divya.advani@usac.org","2022-01-31T11:37:00.000"
"Fischer Middle School","110063","School",,,,,"Closed",,,,"1720 Hopkins Dr",,"San Jose","Santa Clara","CA","95122","1632","1720 Hopkins Dr",,"San Jose","Santa Clara","CA","95122","1632","408-928-7500",,,,,"37.337862","-121.829587","Urban",,"No","No","No","No","No","A number for each school in the district",,"307",,,"No","No","No","No","No","No","No","No",,,,,"No","No","No","No","No","No","No","No","No","No","6046148",,,,,,"229","0","0","195","No",,"Survey",,"No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","juan.rodriguez@usac.org","2022-01-31T15:29:00.000"
"Brandywine Sr High School","21072","School","Brandywine Hts Area Sch Dist","126262","School District","0012594248","Active",,,,"103 Old Topton Rd",,"Mertztown","Berks","PA","19539","8747","103 Old Topton Rd",,"Mertztown","Berks","PA","19539","8747","610-682-5100","thovoe@bhasd.org","www.bhasd.org","Thomas Voelker",,"40.504866","-75.697703","Rural","Rural","No","No","No","No","No","A number for each school in the district",,"460",,,"No","No","No","No","No","No","No","No",,,,,"No","No","No","No","No","No","No","No","No","No","6308",,,,,,"460","0","0","136","No",,"None",,"No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","thovoe@bhasd.org","2021-02-11T14:18:00.000"
