"company","customer_service","carrier_type","city","carrier_state","zip_code","county","website"
"Safelink Wireless","800-723-3546","Wireless","Lumberton","MS","39455","Forrest,Lamar,Marion,Pearl River,Stone","https://www.safelinkwireless.com/Enrollment/Safelink/en/NewPublic/index.html"
"Life Wireless","888-543-3620","Wireless","Fairfax","CA","94930","Marin","https://www.lifewireless.com/"
"Assurance Wireless","888-898-4888","Wireless",,"OR","97075",,"http://www.assurancewireless.com"
"Access Wireless","866-594-3644","Wireless","Hillsdale","MI","49242","Hillsdale","https://www.accesswireless.com/"
"Tag Mobile","866-959-4918","Wireless","Sierra Vista","AZ","85611","Cochise,Pima,Santa Cruz","https://www.tagmobile.com/"
"Assurance Wireless","888-898-4888","Wireless","Ruckersville","VA","22968","Albemarle,Greene","http://www.assurancewireless.com"
"Q Link Wireless","855-754-6543","Wireless","Copperas Cove","TX","76549","Bell,Burnet,Coryell","https://qlinkwireless.com/"
"Boomerang Wireless","866-488-8719","Wireless","Henderson","NV","89011","Clark","https://www.entouchwireless.com/pages/free_cell_phone_eligibility"
"Life Wireless","888-543-3620","ACP Mobile Internet",,"NJ","07752",,"https://www.lifewireless.com"
"Access Wireless","866-594-3644","Wireless","Flushing","OH","43977","Belmont,Harrison","https://www.accesswireless.com/"
"Amerimex Communications","888-224-3213","Wireless","Clayton","GA","30525","Rabun","https://safetynetwireless.com/how-to-qualify/"
"Access Wireless","866-594-3644","Wireless","Peachtree Corners","GA","30340","DeKalb,Gwinnett","https://www.accesswireless.com/"
"Safelink Wireless","800-723-3546","Wireless","Fremont","WI","54940","Outagamie,Waupaca,Waushara,Winnebago","https://www.safelinkwireless.com/Enrollment/Safelink/en/NewPublic/index.html"
"Farmers Mutual Telephone Company","320-568-2105","ACP Home Internet","West Slope","OR","97005","Washington","https://farmerstel.net"
"Access Wireless","866-594-3644","Wireless","Bairdstown","OH","44817","Hancock,Wood","https://www.accesswireless.com/"
"Boomerang Wireless LLC","866-488-8719","Wireless","Mill Valley","CA","94941","Marin","https://www.entouchwireless.com/pages/free_cell_phone_eligibility"
"StandUP Wireless","800-544-4441","Wireless","Marysville","CA","95901","Butte,Yuba","https://www.standupwireless.com/learn/"
"enTouch Wireless","866-488-8719","Wireless","Dallas","TX","75212","Dallas","https://www.entouchwireless.com/pages/free_cell_phone_eligibility"
"Access Wireless","866-594-3644","Wireless","Courtland","AL","35618","Lawrence","https://www.accesswireless.com/"
"Safelink Wireless","800-723-3546","Wireless","Kalamazoo","MI","49001","Kalamazoo","https://www.safelinkwireless.com/Enrollment/Safelink/en/NewPublic/index.html"
"Life Wireless","888-543-3620","Wireless",,"MI","49257",,"https://www.lifewireless.com/"
"Cogeco US Finance, LLC d/b/a Breezeline","888-536-9600","ACP Home Internet",,"DE","19897",,"https://www.breezeline.com/"
"Cogeco US Finance, LLC d/b/a Breezeline","888-536-9600","ACP Home Internet","Center Hill","FL","33514","Sumter","https://www.breezeline.com/"
"Assurance Wireless","888-898-4888","Wireless","Fort Myers Shores","FL","33905","Lee","http://www.assurancewireless.com"
"Q Link Wireless","855-754-6543","Wireless",,"AR","72524","Independence","https://qlinkwireless.com/"
"Access Wireless","866-594-3644","Wireless","Frankford","MO","63441","Pike,Ralls","https://www.accesswireless.com/"
"Cirrinity","715-253-2111","ACP Home Internet","Muskego","WI","53150","Racine,Waukesha","https://www.cirrinity.net"
"Safelink Wireless","800-723-3546","Wireless","Minden","LA","71073","Webster","https://www.safelinkwireless.com/Enrollment/Safelink/en/NewPublic/index.html"
"Assurance Wireless","888-898-4888","Wireless","Ramseur","NC","27298","Alamance,Chatham,Guilford,Randolph","http://www.assurancewireless.com"
"Yourtel America","855-299-9990","Wireless","Yakima","WA","98901","Kittitas,Yakima","https://www.utc.wa.gov/consumers/telephone/Pages/telephoneAssistanceProgram.aspx"
"AFConnect","801-437-9600","ACP Home Internet","Genola","UT","84651","Utah","https://www.afconnect.com"
"T-Mobile","800-937-8997","Wireless","West Palm Beach","FL","33406","Palm Beach","https://www.t-mobile.com/offers/lifeline-program"
"Metro by T-Mobile","800-937-8997","ACP Mobile Internet","Aldrich","MN","56434","Todd,Wadena","https://www.t-mobile.com/customers/emergency-broadband-benefit"
"Truconnect","800-430-0443","Wireless","Leander","TX","78681","Williamson","http://www.truconnect.com/lifeline/freephone/signup"
"Boomerang Wireless","866-488-8719","Wireless","Prestonville","KY","41008","Carroll","https://www.entouchwireless.com/pages/free_cell_phone_eligibility"
"Amerimex Communications","888-224-3213","Wireless",,"GA","30385",,"https://safetynetwireless.com/how-to-qualify/"
"Access Wireless","866-594-3644","Wireless","Cave Spring","VA","24015","Roanoke","https://www.accesswireless.com/"
"Access Wireless","866-594-3644","Wireless","Port Arthur","TX","77611","Orange","https://www.accesswireless.com/"
"AT&T","855-301-0355","Wireline","Gwinn","MI","49841","Dickinson,Marquette","https://www.att.com/gen/general?pid=22888"
"Assurance Wireless","888-898-4888","Wireless","Oak Hill","OH","45656","Gallia,Jackson,Lawrence","http://www.assurancewireless.com"
"Virginia Everywhere, LLC","888-217-7827","ACP Home Internet","Jeffersontown","KY","40299","Bullitt,Jefferson","https://www.allpointsbroadband.com"
"Q Link Wireless","855-754-6543","Wireless",,"MI","49733","Crawford,Otsego","https://qlinkwireless.com/"
"Assurance Wireless","888-898-4888","Wireless","Lilburn","GA","30084","DeKalb,Gwinnett","http://www.assurancewireless.com"
"Access Wireless","866-594-3644","Wireless","Columbus City","IA","52737","Louisa","https://www.accesswireless.com/"
"Safelink Wireless","800-723-3546","Wireless","Mission Woods","KS","66208","Johnson","https://www.safelinkwireless.com/Enrollment/Safelink/en/NewPublic/index.html"
"Access Wireless","866-594-3644","Wireless","Draper","VA","24301","Pulaski,Wythe","https://www.accesswireless.com/"
"AT&T","855-301-0355","Wireline","Dewy Rose","GA","30634","Elbert,Hart","https://www.att.com/gen/general?pid=22888"
"Access Wireless","866-594-3644","Wireless","West Covina","CA","91791","Los Angeles","https://www.accesswireless.com/"
"Access Wireless","866-594-3644","Wireless","Brookston","MN","55711","St. Louis","https://www.accesswireless.com/"
"Safelink Wireless","800-723-3546","Wireless","Peachtree Corners","GA","30097","Forsyth,Fulton,Gwinnett","https://www.safelinkwireless.com/Enrollment/Safelink/en/NewPublic/index.html"
"Cogeco US Finance, LLC d/b/a Breezeline","888-536-9600","ACP Home Internet","Daniels Farm","CT","06611","Fairfield","https://www.breezeline.com/"
"Tritech Wireless, LLC","877-704-5538","ACP Home Internet","Eglin AFB","FL","32542","Okaloosa","https://www.tritechwireless.com"
"Tri-County Telephone Membership Corp","844-238-0131","ACP Home Internet","Sharpsburg","NC","27803","Edgecombe,Nash,Wilson","https://www.myriverstreet.net"
"Tri-County Telephone Membership Corp","844-238-0131","ACP Home Internet","Harrisburg","NC","28215","Cabarrus,Mecklenburg","https://www.myriverstreet.net"
"Yourtel America","855-299-9990","Wireless","Independence","MO","64057","Jackson","https://psc.mo.gov/"
"AT&T","855-301-0355","Wireline","North Chicago","IL","60088","Lake","https://www.att.com/gen/general?pid=22888"
"Q Link Wireless","855-754-6543","Wireless","Baskin","LA","71219","Franklin","https://qlinkwireless.com/"
"Tritech Wireless, LLC","877-704-5538","ACP Home Internet","Keystone","FL","33556","Hillsborough,Pasco","https://www.tritechwireless.com"
"Assurance Wireless","888-898-4888","Wireless","Garner","NC","27529","Johnston,Wake","http://www.assurancewireless.com"
"Safelink Wireless","800-723-3546","Wireless","Zachary","LA","70791","East Baton Rouge,East Feliciana","https://www.safelinkwireless.com/Enrollment/Safelink/en/NewPublic/index.html"
"Q Link Wireless","855-754-6543","Wireless","Clinton","MD","20735","Prince George's","https://qlinkwireless.com/"
"AT&T","800-288-2747","Wireline","West Athens","CA","90247","Los Angeles","https://www.att.com/gen/general?pid=22888"
"Q Link Wireless","855-754-6543","Wireless","Huachuca City","AZ","85616","Cochise","https://qlinkwireless.com/"
"Life Wireless","888-543-3620","Wireless","Hopkinsville","KY","42266","Christian,Todd","https://www.lifewireless.com/"
"Frontier Communications","800-921-8101","Wireline","Windsor","WI","53590","Dane","https://frontier.com/discountprograms/LifelineProgram"
"Safelink Wireless","800-723-3546","Wireless","Cape Vincent","NY","13618","Jefferson","https://www.safelinkwireless.com/Enrollment/Safelink/en/NewPublic/index.html"
"Safelink Wireless","800-723-3546","Wireless","Rosewood Heights","IL","62024","Madison","https://www.safelinkwireless.com/Enrollment/Safelink/en/NewPublic/index.html"
"Assurance Wireless","888-898-4888","Wireless","Moss Point","MS","39567","Jackson","http://www.assurancewireless.com"
"Assurance Wireless","888-898-4888","Wireless","Camp Pendleton South","CA","92058","San Diego","http://www.assurancewireless.com"
"Cogeco US Finance, LLC d/b/a Breezeline","888-536-9600","ACP Home Internet","Philadelphia","PA","19152","Philadelphia","https://www.breezeline.com/"
"Cellcom","800-236-0055","Wireless","Embarrass","WI","54929","Outagamie,Shawano,Waupaca","https://www.cellcom.com/"
"Access Wireless","866-594-3644","Wireless","Proctorville","NC","28369","Robeson","https://www.accesswireless.com/"
"Cirrinity","715-253-2111","ACP Home Internet","Tilleda","WI","54416","Shawano","https://www.cirrinity.net"
"Life Wireless","888-543-3620","Wireless","North El Monte","CA","91780","Los Angeles","https://www.lifewireless.com/"
"Dart Phone","888-360-2030","Wireline","Oklahoma City","OK","73135","Cleveland,Oklahoma","http://www.dartphone.com/lifeline"
"Tag Mobile","866-959-4918","Wireless","Catonsville","MD","21228","Baltimore","https://www.tagmobile.com/"
"Tri-County Telephone Membership Corp","844-238-0131","ACP Home Internet","Warrenton","NC","27589","Franklin,Warren","https://www.myriverstreet.net"
"Boomerang Wireless","866-488-8719","Wireless","Wright-Patterson AFB","OH","45324","Clark,Greene","https://www.entouchwireless.com/pages/free_cell_phone_eligibility"
"Frontier Communications","800-921-8101","Wireline","New Grand Chain","IL","62941","Massac,Pulaski","https://frontier.com/discountprograms/LifelineProgram"
"Air Voice Wireless","877-247-7799","Wireless","Portland","PA","18351","Northampton","http://feelsafewireless.com/DesktopMichigan.aspx"
"Yourtel America","855-299-9990","Wireless","Calverton Park","MO","63031","St. Louis","https://psc.mo.gov/"
"Tag Mobile","866-959-4918","Wireless",,"TX","78027","Kendall","https://www.tagmobile.com/"
"T-Wire Corporation","844-894-7326","Wireless","Graysville","AL","35073","Jefferson","https://mytwire.com"
"Assurance Wireless","888-898-4888","Wireless","Altoona","KS","66710","Wilson","http://www.assurancewireless.com"
"Access Wireless","866-594-3644","Wireless","Perham","MN","56573","Otter Tail","https://www.accesswireless.com/"
"Truconnect","800-430-0443","Wireless","Seacliff","CA","95010","Santa Cruz","http://www.truconnect.com/lifeline/freephone/signup"
"Access Wireless","866-594-3644","Wireless","Irving","TX","75062","Dallas","https://www.accesswireless.com/"
"Q Link Wireless","855-754-6543","Wireless","Tuscarora","PA","17982","Schuylkill","https://qlinkwireless.com/"
"Tag Mobile","866-959-4918","Wireless","Lawton","OK","73501","Comanche","https://www.tagmobile.com/"
"Air Voice Wireless","877-247-7799","Wireless","Marne","OH","43055","Licking","http://feelsafewireless.com/DesktopMichigan.aspx"
"CellSpan","844-235-7726","Wireless","Rockville","MD","20853","Montgomery",
"Boomerang Wireless","866-488-8719","Wireless","Lake Elmo","MN","55082","Washington","https://www.entouchwireless.com/pages/free_cell_phone_eligibility"
"Access Wireless","866-594-3644","Wireless","Sun Prairie","WI","53590","Dane","https://www.accesswireless.com/"
"Blue Casa","800-360-1902","Wireline","Los Angeles","CA","91601","Los Angeles","http://www.bluecasa.com/en/home_phone/california_lifeline"
"Safelink Wireless","800-723-3546","Wireless","Webster Groves","MO","63126","St. Louis","https://www.safelinkwireless.com/Enrollment/Safelink/en/NewPublic/index.html"
"Life Wireless","888-543-3620","ACP Mobile Internet","Stamford","CT","06906","Fairfield","https://www.lifewireless.com"
"Viasat","855-463-9333","ACP Home Internet","Newberry","FL","32618","Alachua,Levy","https://www.viasat.com/acp"
"Tempo Telecom, LLC","877-822-8501","Wireless","Denver","CO","80211","Denver","https://mytempo.com/lifeline-wireless/"
"Q Link Wireless","855-754-6543","Wireless","Hamilton","MS","39746","Monroe","https://qlinkwireless.com/"
"StandUP Wireless","800-544-4441","Wireless","Sacramento","CA","95825","Sacramento","https://www.standupwireless.com/learn/"
"Access Wireless","866-594-3644","Wireless","Free Union","VA","22940","Albemarle,Greene,Rockingham","https://www.accesswireless.com/"
"Red Pocket, Inc","888-993-3888","ACP Mobile Internet","Charlotte","IA","52731","Clinton,Jackson","https://www.redpocket.com"
"Safelink Wireless","800-723-3546","Wireless","Wayland","IA","52654","Henry,Washington","https://www.safelinkwireless.com/Enrollment/Safelink/en/NewPublic/index.html"
"Sebastian","800-841-9311","ACP Home Internet","Albany","CA","94804","Contra Costa","https://www.sebastiancorp.com/"
"Life Wireless","888-543-3620","Wireless","Clovis","CA","93619","Fresno,Tulare","https://www.lifewireless.com/"
"Access Wireless","866-594-3644","Wireless","Upsala","MN","56318","Morrison,Todd","https://www.accesswireless.com/"
"Life Wireless","888-543-3620","Wireless","San Marcos","TX","78655","Caldwell,Guadalupe","https://www.lifewireless.com/"
"Consolidated Communications","844-968-7224","Wireline","Archie","MO","64725","Bates,Cass","https://www.consolidated.com/"
"American Assistance","866-966-2628","Wireless","Rock House","AZ","85501","Gila","http://www.americanassistance.com/eligibility/"
"Tag Mobile","866-959-4918","Wireless","Orangeburg","SC","29117","Orangeburg","https://www.tagmobile.com/"
"Cogeco US Finance, LLC d/b/a Breezeline","888-536-9600","ACP Home Internet","Dranesville","VA","20170","Fairfax,Loudoun","https://www.breezeline.com/"
"Loretto Telecom","931-853-4351","ACP Home Internet",,"TN","37868",,"https://www.lorettotel.com"
"Amerimex","888-900-8593","Wireless",,"PA","18934",,"https://safetynetwireless.com/how-to-qualify/"
"Tempo Telecom","877-822-8501","Wireless","Columbus","OH","43081","Franklin","https://mytempo.com/lifeline-wireless/"
"Citizens Fiber","724-423-5777","ACP Home Internet","Doylestown","PA","18901","Bucks","https://citizensfiber.com"
"Assurance Wireless","888-898-4888","Wireless","Poynor","TX","75763","Anderson,Henderson","http://www.assurancewireless.com"
"Tag Mobile","866-959-4918","Wireless",,"WV","25630","Logan","https://www.tagmobile.com/"
"AT&T","855-301-0355","Wireline","Water Valley","KY","42085","Graves,Hickman","https://www.att.com/gen/general?pid=22888"
"AT&T","855-301-0355","Wireline","Tibbie","AL","36529","Washington","https://www.att.com/gen/general?pid=22888"
"Frontier Communications","800-921-8101","Wireline","Webster","TX","77058","Harris","https://frontier.com/discountprograms/LifelineProgram"
"Access Wireless","866-594-3644","Wireless",,"TX","78935","Colorado","https://www.accesswireless.com/"
"Air Voice Wireless","877-247-7799","Wireless","Glencoe","OH","43718","Belmont","http://feelsafewireless.com/DesktopMichigan.aspx"
"Metro by T-Mobile","800-937-8997","ACP Mobile Internet","Arnold","MD","21146","Anne Arundel","https://www.t-mobile.com/customers/emergency-broadband-benefit"
"Yourtel America","855-299-9990","Wireless","Bates City","MO","64076","Johnson,Lafayette","https://psc.mo.gov/"
"AT&T","800-288-2020","Wireline","Lago Vista","TX","78654","Burnet,Travis","https://www.att.com/gen/general?pid=22888"
"Truconnect","800-430-0443","Wireless","Fullerton","CA","90621","Orange","http://www.truconnect.com/lifeline/freephone/signup"
"Yourtel America","855-299-9990","Wireless","Odessa","MO","64076","Johnson,Lafayette","https://psc.mo.gov/"
"US Connect","855-567-8953","Wireless","Kemp Mill","MD","20901","Montgomery",
"StandUP Wireless","800-544-4441","Wireless","Crownsville","MD","21401","Anne Arundel","https://www.standupwireless.com/learn/"
"TAG Mobile, LLC","866-959-4918","Wireless","Prathersville","MO","64024","Clay,Ray","http://www.tagmobile.com/site/index.aspx"
"Ardmore Telephone Company","931-427-7800","Wireline","Elkton","TN","38449","Giles,Lincoln","http://ardmore.net/"
"Safelink Wireless","800-723-3546","Wireless","Benson","AZ","85630","Cochise","https://www.safelinkwireless.com/Enrollment/Safelink/en/NewPublic/index.html"
"Access Wireless","866-594-3644","Wireless","San Antonio","TX","78257","Bexar","https://www.accesswireless.com/"
"Access Wireless","866-594-3644","Wireless","Prices Fork","VA","24060","Montgomery","https://www.accesswireless.com/"
"Safelink Wireless","800-723-3546","Wireless","Lexington","MN","55014","Anoka","https://www.safelinkwireless.com/Enrollment/Safelink/en/NewPublic/index.html"
"Safelink Wireless","800-723-3546","Wireless","Hemingway","SC","29554","Florence,Georgetown,Williamsburg","https://www.safelinkwireless.com/Enrollment/Safelink/en/NewPublic/index.html"
"Cogeco US Finance, LLC d/b/a Breezeline","888-536-9600","ACP Home Internet","Wyomissing","PA","19611","Berks","https://www.breezeline.com/"
"StandUP Wireless","800-544-4441","Wireless","Parker","TX","75094","Collin","https://www.standupwireless.com/learn/"
"Assurance Wireless","888-898-4888","Wireless","Allenhurst","GA","31313","Liberty,Long","http://www.assurancewireless.com"
"Life Wireless","888-543-3620","Wireless","Browerville","MN","56438","Todd","https://www.lifewireless.com/"
"Safelink Wireless","800-723-3546","Wireless","Eagleview","PA","19341","Chester","https://www.safelinkwireless.com/Enrollment/Safelink/en/NewPublic/index.html"
"SafetyNet Wireless","888-224-3213","Wireless","Estral Beach","MI","48166","Monroe","https://safetynetwireless.com/how-to-qualify/"
"Assurance Wireless","888-898-4888","Wireless","Starbrick","PA","16365","Warren","http://www.assurancewireless.com"
"Cogeco US Finance, LLC d/b/a Breezeline","888-536-9600","ACP Home Internet","Bronxville","NY","10707","Westchester","https://www.breezeline.com/"
"Safelink Wireless","800-723-3546","Wireless","Foxfire","NC","27376","Moore","https://www.safelinkwireless.com/Enrollment/Safelink/en/NewPublic/index.html"
"Amerimex","888-900-8593","Wireless",,"PA","15959",,"https://safetynetwireless.com/how-to-qualify/"
"Access Wireless","866-594-3644","Wireless","Meadow","UT","84637","Millard","https://www.accesswireless.com/"
"StandUP Wireless","800-544-4441","Wireless","Hunter","OH","45005","Montgomery,Warren","https://www.standupwireless.com/learn/"
"Safelink Wireless","800-723-3546","Wireless","Kahaluu","HI","96744","Honolulu","https://www.safelinkwireless.com/Enrollment/Safelink/en/NewPublic/index.html"
"Assurance Wireless","888-898-4888","Wireless","East Butler","PA","16001","Butler","http://www.assurancewireless.com"
"Assurance Wireless","888-898-4888","Wireless","Farmington","DE","19950","Kent,Sussex","http://www.assurancewireless.com"
"T-Mobile","800-937-8997","Wireless","Buckingham","FL","33905","Lee","https://www.t-mobile.com/offers/lifeline-program"
"Access Wireless","866-594-3644","Wireless","Oakville","WA","98568","Grays Harbor,Lewis,Pacific","https://www.accesswireless.com/"
"Q Link Wireless","855-754-6543","Wireless","Arlington","TX","76119","Tarrant","https://qlinkwireless.com/"
"Cogeco US Finance, LLC d/b/a Breezeline","888-536-9600","ACP Home Internet","Williamsville","NY","14221","Erie","https://www.breezeline.com/"
"Assurance Wireless","888-898-4888","Wireless","Walnut","CA","91768","Los Angeles","http://www.assurancewireless.com"
"AT&T","855-301-0355","Wireline","Battle Ground","IN","47906","Tippecanoe,Warren,White","https://www.att.com/gen/general?pid=22888"
"Air Voice Wireless","877-247-7799","Wireless",,"OH","43346",,"http://feelsafewireless.com/DesktopMichigan.aspx"
"Access Wireless","866-594-3644","Wireless","Marquette Heights","IL","61610","Tazewell","https://www.accesswireless.com/"
"Assurance Wireless","888-898-4888","Wireless","Mesquite","TX","75114","Kaufman","http://www.assurancewireless.com"
"Q Link Wireless","855-754-6543","Wireless","Downsville","MD","21795","Washington","https://qlinkwireless.com/"
"Boomerang Wireless LLC","866-488-8719","Wireless","Woodcrest","CA","92508","Riverside","https://www.entouchwireless.com/pages/free_cell_phone_eligibility"
"Safelink Wireless","800-723-3546","Wireless",,"PA","18464","Pike","https://www.safelinkwireless.com/Enrollment/Safelink/en/NewPublic/index.html"
"Wittenberg Cable TV Company","715-253-2111","ACP Home Internet","Alma Center","WI","54754","Clark,Jackson","https://www.cirrinity.net"
"Panora Telco","641-755-2800","ACP Home Internet","Dyersville","IA","52078","Delaware,Dubuque","https://www.panoratelco.com"
"Assurance Wireless","888-898-4888","Wireless","Lincolnville","PA","16438","Crawford,Erie","http://www.assurancewireless.com"
"Safelink Wireless","800-723-3546","Wireless","Winfield","MO","63389","Lincoln","https://www.safelinkwireless.com/Enrollment/Safelink/en/NewPublic/index.html"
"Life Wireless","888-543-3620","Wireless","Garland","TX","75243","Dallas","https://www.lifewireless.com/"
"Life Wireless","888-543-3620","ACP Mobile Internet",,"TN","38236","Henry","https://www.lifewireless.com"
"AT&T","855-301-0355","Wireline","Cannelton","IN","47586","Perry","https://www.att.com/gen/general?pid=22888"
"TDS Telecom/Wyandotte Telephone Company","888-225-5837","Wireline","Twin Lakes","WI","53105","Kenosha,Racine,Walworth","http://www.tdstelecom.com/About/Lifeline.aspx"
"American Assistance","866-966-2628","Wireless","Burnside","KY","42501","Pulaski","http://www.americanassistance.com/eligibility/"
"Safetynet Wireless","888-224-3213","Wireless","Saratoga","CA","95014","Santa Clara","https://safetynetwireless.com/how-to-qualify/"
"Frontier Communications","800-921-8101","Wireline","Oswego","SC","29153","Lee,Sumter","https://frontier.com/discountprograms/LifelineProgram"
"enTouch Wireless","866-488-8719","Wireless","Woodway","TX","76712","McLennan","https://www.entouchwireless.com/pages/free_cell_phone_eligibility"
"Truconnect","800-430-0443","Wireless","Dana Point","CA","92673","Orange","http://www.truconnect.com/lifeline/freephone/signup"
"Assurance Wireless","888-898-4888","Wireless","Friendswood","TX","77573","Galveston","http://www.assurancewireless.com"
"Q Link Wireless","855-754-6543","Wireless","Philadelphia","PA","19148","Philadelphia","https://qlinkwireless.com/"
"Assurance Wireless","888-898-4888","Wireless",,"WV","24714","Mercer","http://www.assurancewireless.com"
"Access Wireless","866-594-3644","Wireless","Ames Lake","WA","98014","King","https://www.accesswireless.com/"
"Q Link Wireless","855-754-6543","Wireless","Hudsonville","MI","49426","Allegan,Ottawa","https://qlinkwireless.com/"
"Assurance Wireless","888-898-4888","Wireless","Aliso Viejo","CA","92653","Orange","http://www.assurancewireless.com"
"Tag Mobile","866-959-4918","Wireless",,"WV","26055","Marshall,Wetzel","https://www.tagmobile.com/"
"Yourtel America","855-299-9990","Wireless","Cahokia","IL","62206","St. Clair","https://www.icc.illinois.gov/"
"Life Wireless","888-543-3620","Wireless","Hiram","GA","30132","Paulding","https://www.lifewireless.com/"
"Q Link Wireless","855-754-6543","Wireless","Frisco","TX","75034","Collin,Denton","https://qlinkwireless.com/"
"Amerimex","888-224-3213","Wireless","Union Grove","WI","53182","Kenosha,Racine","https://safetynetwireless.com/how-to-qualify/"
"Assurance Wireless","888-898-4888","Wireless","Fultonville","NY","12072","Montgomery","http://www.assurancewireless.com"
"AT&T","855-301-0355","Wireline","Silvis","IL","61244","Rock Island","https://www.att.com/gen/general?pid=22888"
"StandUP Wireless","800-544-4441","Wireless","Columbus","OH","43065","Delaware,Franklin","https://www.standupwireless.com/learn/"
"Q Link Wireless","855-754-6543","Wireless","Samnorwood","TX","79079","Collingsworth,Wheeler","https://qlinkwireless.com/"
"Boomerang Wireless LLC","866-488-8719","Wireless","San Jose","CA","95014","Santa Clara","https://www.entouchwireless.com/pages/free_cell_phone_eligibility"
"Q Link Wireless","855-754-6543","Wireless","Savannah","OH","44805","Ashland,Richland","https://qlinkwireless.com/"
