"project_id","fiscal_year","functional_area","project_name","deliverable_objective","responsible_department","amount","fund_source"
"0128990170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Center for Victims - Pittsburgh Mediation Center","City Council","2500","CDBG"
"0129118170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Macedonia Family and Community Enrichment Center","City Council","5000","CDBG"
"0129131170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Hazelwood Initiative","City Council","15000","CDBG"
"0129655170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Pittsburgh Action Against Rape","City Council","500","CDBG"
"0129655170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Pittsburgh Action Against Rape","City Council","2500","CDBG"
"0129655170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Pittsburgh Action Against Rape","City Council","3000","CDBG"
"0129655170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Pittsburgh Action Against Rape","City Council","1000","CDBG"
"0129655170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Pittsburgh Action Against Rape","City Council","2500","CDBG"
"0129655170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option (to City-Wide Safety Net Organizations)","Pittsburgh Action Against Rape","City Council","2500","CDBG"
"0129755170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Brashear Association","City Council","13000","CDBG"
"0129755170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Brashear Association","City Council","3000","CDBG"
"0129757170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Jewish Family & Childrens Services - Career Development Center","City Council","2500","CDBG"
"0129761170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","East End Cooperative Ministry","City Council","2500","CDBG"
"0129763170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Elliott West End Athletic Association","City Council","2500","CDBG"
"0129784170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Northside Leadership Conference","City Council","5000","CDBG"
"0129787170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Pittsburgh AIDS Task Force","City Council","2500","CDBG"
"0129787170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Pittsburgh AIDS Task Force","City Council","2500","CDBG"
"0129787170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Pittsburgh AIDS Task Force","City Council","2500","CDBG"
"0129791170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Shepherd Wellness Center","City Council","2500","CDBG"
"0129791170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Shepherd Wellness Center","City Council","5000","CDBG"
"0129791170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Shepherd Wellness Center","City Council","2500","CDBG"
"0129798170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Troy Hill Citizens, Inc","City Council","3000","CDBG"
"0129852170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Schenley Heights Community Development Program","City Council","10000","CDBG"
"0129855170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Lawrenceville United","City Council","15000","CDBG"
"0129866170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Tree of Hope","City Council","2500","CDBG"
"0129892170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Manchester Citizens Corporation","City Council","7500","CDBG"
"0129909170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","St. Ambrose Manor","City Council","2500","CDBG"
"0129970170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Peoples Oakland","City Council","2500","CDBG"
"0129972170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option (to City-Wide Safety Net Organizations)","Center for Victims - Pittsburgh Mediation Center","City Council","2500","CDBG"
"0129982170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Steel City Boxing","City Council","7000","CDBG"
"0130005170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Little Sisters of the Poor","City Council","2500","CDBG"
"0130009170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Northside Old Timers","City Council","7500","CDBG"
"0130025170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Jewish Family & Childrens Services - Refugee Services","City Council","2500","CDBG"
"0130025170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Jewish Family & Childrens Services - Refugee Services","City Council","2500","CDBG"
"0130037170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","The P.R.O.M.I.S.E. Group","City Council","5000","CDBG"
"0130043170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Brighton Heights Senior Center","City Council","2500","CDBG"
"0130045170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","ACH Clear Pathways","City Council","7500","CDBG"
"0130067170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Saint Mark's Evangelical Lutheran / Brookline Meals on Wheels","City Council","12000","CDBG"
"0130076170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Friendship Community Group","City Council","7500","CDBG"
"0130077170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Greater Pittsburgh Arts Council","City Council","2500","CDBG"
"0130094170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Linden School PTO","City Council","2500","CDBG"
"0130099170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Brashear Association (for Arlington Food Bank)","City Council","2500","CDBG"
"0130100170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Building Bridges for Business","City Council","2500","CDBG"
"0130103170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Jewish Family & Childrens Services - Squirrel Hill Community Food Pantry","City Council","3500","CDBG"
"0130103170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Jewish Family & Childrens Services - Squirrel Hill Community Food Pantry","City Council","2500","CDBG"
"0130104170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Neighborhood Academy","City Council","2500","CDBG"
"0130106170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Zellous Hope","City Council","3000","CDBG"
"0130108170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Hilltop Alliance","City Council","13000","CDBG"
"0130121170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","HOPE for Tomorrow","City Council","15000","CDBG"
"0130122150.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Mount Washington CDC","City Council","2500","CDBG"
"0130148170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Economic Development South","City Council","10000","CDBG"
"0130149170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Prayer and Deliverance Community Opportunities (PADCO)","City Council","2500","CDBG"
"0130150170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","SLB Radio Productions","City Council","8000","CDBG"
"0130151170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Conservation Consultants Inc (CCI)","City Council","2500","CDBG"
"0130152170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Friendship Circle","City Council","2500","CDBG"
"0130153170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Higher Achievement, Inc","City Council","2500","CDBG"
"0130158170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","D-2 Dek Hockey","City Council","5000","CDBG"
"0130159170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Westside Mustangs Youth Football Athletic Association","City Council","10000","CDBG"
"0130161170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Allegheny West Civic Council","City Council","2500","CDBG"
"0130162170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Northside Leadership Conference Seniors (The Allegheny/West Park Court/Arch Court/Sheptsky Arms)","City Council","8000","CDBG"
"0130163170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Northside Senior Center","City Council","2500","CDBG"
"0130164170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Northside Senior Programming","City Council","6000","CDBG"
"0167146170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Greater Pittsburgh Community Food Bank","City Council","3000","CDBG"
"0167146170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option","Greater Pittsburgh Community Food Bank","City Council","2500","CDBG"
"0167146170.58101.00","2017","Administration & Sub-Awards","City Council's Unspecified Local Option (to City-Wide Safety Net Organizations)","Greater Pittsburgh Community Food Bank","City Council","65000","CDBG"
"0221132170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Bloomfield Garfield Corporation","Mayor's Office","3750","CDBG"
"0221183170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Hill House Association","Mayor's Office","3750","CDBG"
"0221330170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","East Allegheny Community Council","Mayor's Office","2500","CDBG"
"0221342170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Garfield Jubilee","Mayor's Office","2500","CDBG"
"0221377170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","National Council of Jewish Women","Mayor's Office","2500","CDBG"
"0221379170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Oakland Planning and Development Corporation","Mayor's Office","2500","CDBG"
"0221401170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Fineview Citizens Council","Mayor's Office","2500","CDBG"
"0223052170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Reading is Fundamental","Mayor's Office","2500","CDBG"
"0223092170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Catholic Charities - St. Rosalias","Mayor's Office","2500","CDBG"
"0223121170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Sheraden Community Council","Mayor's Office","2500","CDBG"
"0223124170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Oakland Business Improvement District","Mayor's Office","2500","CDBG"
"0223128170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","JCC of Greater Pittsburgh","Mayor's Office","2500","CDBG"
"0223130170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Brookline Christian Food Pantry","Mayor's Office","2500","CDBG"
"0223131170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Mount Washington CDC","Mayor's Office","7500","CDBG"
"0223151170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Pennsylvania Resources Council","Mayor's Office","2500","CDBG"
"0223179170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Community Human Services","Mayor's Office","3750","CDBG"
"0223198170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Pittsburgh Action Against Rape","Mayor's Office","3750","CDBG"
"0223270170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Northside Community Development Fund","Mayor's Office","2500","CDBG"
"0223289170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Prevention Point Pittsburgh","Mayor's Office","2500","CDBG"
"0223298170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Uptown Partners of Pittsburgh","Mayor's Office","2500","CDBG"
"0223304170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Emmaus Community of Pittsburgh","Mayor's Office","3750","CDBG"
"0223332170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Lawrenceville Corporation","Mayor's Office","3750","CDBG"
"0223343170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Bidwell Training Center","Mayor's Office","3750","CDBG"
"0223359170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Community Alliance of Spring Garden/East Deutschtown","Mayor's Office","2500","CDBG"
"0225046170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Womens Center and Shelter","Mayor's Office","37500","CDBG"
"0226002170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Western Pennsylvania Conservancy","Mayor's Office","37500","CDBG"
"0228990170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Center for Victims - Crisis Intervention","Mayor's Office","37500","CDBG"
"0229118170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Macedonia Family and Community Enrichment Center","Mayor's Office","3750","CDBG"
"0229131170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Hazelwood Initiative","Mayor's Office","2500","CDBG"
"0229655170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Pittsburgh Project","Mayor's Office","37500","CDBG"
"0229757170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Jewish Family and Children's Services - Career Development","Mayor's Office","2500","CDBG"
"0229761170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","East End Cooperative Ministry","Mayor's Office","3750","CDBG"
"0229791170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Shepherd Wellness Center","Mayor's Office","3750","CDBG"
"0229838170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Community Empowerment Association","Mayor's Office","3750","CDBG"
"0229855170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Lawrenceville United","Mayor's Office","3750","CDBG"
"0229866170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Tree of Hope","Mayor's Office","2500","CDBG"
"0229910170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","St. Andrew Lutheran Church","Mayor's Office","2500","CDBG"
"0230005170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Little Sisters of the Poor","Mayor's Office","3750","CDBG"
"0230025170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Jewish Family and Children's Services - Refugee Services","Mayor's Office","2500","CDBG"
"0230046170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Sheraden United Methodist Kidz Klub","Mayor's Office","2500","CDBG"
"0230064170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Greater Pittsburgh Literacy Council","Mayor's Office","2500","CDBG"
"0230080170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Lifespan Inc.","Mayor's Office","5625","CDBG"
"0230099170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Brashear Association/Henry Kaufman Food Pantry/Arlington Food Bank","Mayor's Office","7500","CDBG"
"0230109170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Jewish Family and Children's Services - Squirrel Hill Community Food Pantry","Mayor's Office","2500","CDBG"
"0230110170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Neighborhood Academy","Mayor's Office","2500","CDBG"
"0230138170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Homewood Concerned Citizens Council","Mayor's Office","2500","CDBG"
"0230154170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","YMCA Greater Pittsburgh","Mayor's Office","2500","CDBG"
"0267146170.58101.00","2017","Administration & Sub-Awards","Mayor's Unspecified Local Option","Greater Pittsburgh Community Food Bank","Mayor's Office","13125","CDBG"
"0272100117.50000.01","2017","Public Safety","Demolition of Condemned Buildings","Demolition of Vacant Properties","Permits, Licenses, & Inspections","1800000","PAYGO"
"0272100117.50000.02","2017","Public Safety","Demolition of Condemned Buildings","Party Wall Program","Permits, Licenses, & Inspections","500000","PAYGO"
"0272100117.50000.03","2017","Public Safety","Demolition of Condemned Buildings","Accamando Center Busway Entry Plan","Permits, Licenses, & Inspections","50000","PAYGO"
"0325100017.50000.00","2017","Administration & Sub-Awards","Integrated Self-Assessed Business Tax & Revenue System","New Revenue System","Finance","750000","PAYGO"
"0325100117.50000.00","2017","Administration & Sub-Awards","Information Systems Modernization","Public Safety Monitoring & IT Improvements","Innovation & Performance","500000","PAYGO"
"0538889170.58101.00","2017","Administration & Sub-Awards","Fair Housing","Administration, Education, & Training Related to Fair Housing","Commission on Human Relations","100000","CDBG"
"0906322170.58101.00","2017","Administration & Sub-Awards","Pittsburgh Employment Program","Support for Employment Program","Personnel & Civil Service Commission","150000","CDBG"
"0906323170.58101.00","2017","Administration & Sub-Awards","Pittsburgh Summer Youth Employment Program","Support for Employment Program","Personnel & Civil Service Commission","700000","CDBG"
"0909660170.58101.00","2017","Administration & Sub-Awards","Neighborhood Employment Centers","Support for Employment Program","Personnel & Civil Service Commission","150000","CDBG"
"1116302170.58101.00","2017","Administration & Sub-Awards","Housing Opportunities For Persons with AIDS","Rental Assistance & Referral Services","City Planning","735136","OTHER"
"1116303170.58101.00","2017","Administration & Sub-Awards","Urban League - Housing Counseling","Housing Counseling for Low & Moderate Income Residents","City Planning","100000","CDBG"
"1120590417.50000.01","2017","Engineering & Construction","Trail Development","Mon Wharf Switchback - Design & Construction","Mobility & Infrastructure","100000","BOND"
"1120590417.50000.01","2017","Engineering & Construction","Trail Development","Mon Wharf Switchback - Design & Construction","Mobility & Infrastructure","2900000","OTHER"
"1120590417.50000.02","2017","Engineering & Construction","Trail Development","Washington Boulevard Multimodal Path Construction (SMART Transportaion Grant)","Mobility & Infrastructure","448471","OTHER"
"1120590417.50000.02","2017","Engineering & Construction","Trail Development","Washington Boulevard Multimodal Path Design/Engineering (SMART Transportaion Grant)","Mobility & Infrastructure","109755","BOND"
"1121000170.58101.00","2017","Administration & Sub-Awards","Community Based Organizations","Improve Housing and Economic Development in Distressed Areas of the City","City Planning","600000","CDBG"
"1121151170.58101.01","2017","Administration & Sub-Awards","ADA Compliance","Hearing Loops in Healthy Active Living Centers - South Side Market House","City Planning","8400","CDBG"
