"project_id","project_name","deliverable_objective","address","latitude","longitude","district","council"
"4026711117.50000.03","Audible Pedestrian & Traffic Signals","Walnut Street & South Aiken Avenue Traffic Signal Update","Walnut St & S Aiken Ave 15232","40.45064","-79.93552","District 8","8"
"4021450117.50000.00","Beechview Community & Senior Center","Beechview Senior Center Closeout","1555 Broadway Ave 15216","40.41068","-80.02439","District 4","4"
"4026740117.50000.02","Bike Infrastructure","Bike Facilities - Baum/Centre Crossing","Baum Blvd & Centre Ave 15206","40.45639","-79.93887","District 7","7"
"4026740117.50000.01","Bike Infrastructure","Bike Lanes - 18th Street","18th Street 15222","40.45070","-79.98531","District 3","3"
"4026740117.50000.03","Bike Infrastructure","Bike Lanes - Brighton Road","Brighton Rd & Pennsylvania Ave 15233","40.45611","-80.01536","District 1","1"
"4026740117.50000.04","Bike Infrastructure","Bike Lanes - Ellsworth Avenue","Ellsworth Ave & S Aiken Ave 15232","40.45274","-79.93673","District 8","8"
"4026748417.50000.01","Bike Share","Administration","City-Wide",,,"City-Wide",
"4026748417.50000.02","Bike Share","Bikes (250)","City-Wide",,,"City-Wide",
"4026748417.50000.03","Bike Share","Docks (500)","City-Wide",,,"City-Wide",
"4026748417.50000.04","Bike Share","Education & Outreach","City-Wide",,,"City-Wide",
"4026748417.50000.05","Bike Share","Education & Outreach","City-Wide",,,"City-Wide",
"4026748417.50000.06","Bike Share","Import Duties & Customs","City-Wide",,,"City-Wide",
"4026748417.50000.07","Bike Share","Kiosks (25)","City-Wide",,,"City-Wide",
"6030171118.50000.00","Bike Share","Phase II - Planning, Engineering, and Siting","City-Wide",,,"City-Wide",
"4026748417.50000.08","Bike Share","Planning, Engineering, and Siting","City-Wide",,,"City-Wide",
"4026748417.50000.09","Bike Share","Shipping","City-Wide",,,"City-Wide",
"4023845217.50000.00","Bob O'Connor Golf Course","Bob O'Connor Golf Course","Schenley Dr & Darlington Rd 15217","40.43830","-79.93457","District 5","5"
"4023845218.50000.00","Bob O'Connor Golf Course","Bob O'Connor Golf Course","Schenley Dr & Darlington Rd 15217","40.43830","-79.93457","District 5","5"
"4023101117.50000.02","Bridge Upgrades","Columbus Avenue Bridge Handicapped Ramp & Intersection Improvements","Columbus Ave & California Ave 15212","40.45877","-80.02347","District 6","6"
,"Urban Redevelopment Authority Personnel","HOME PROGRAM ADMINISTRATION","City-Wide",,,"City-Wide",
"4023101117.50000.01","Bridge Upgrades","Columbus Avenue Bridge Wall Repair","Columbus Ave & Arthur Ralph Way 15212","40.45815","-80.02545","District 6","6"
"6023101018.50000.01","Bridge Upgrades","Deck Preservations","City-Wide",,,"City-Wide",
"6023101018.50000.02","Bridge Upgrades","Expansion Seal Replacement","City-Wide",,,"City-Wide",
"6023101118.50000.01","Bridge Upgrades","Inspection/Repair of Small City Spans (<20')","City-Wide",,,"City-Wide",
"6023101118.50000.02","Bridge Upgrades","Scupper Cleaning","City-Wide",,,"City-Wide",
"8425589118.50000.19","Capital Equipment Acquisition","(1) Agriculture Tractor","DPW - Parks/Forestry/Heavy",,,"City-Wide",
"8425589118.50000.17","Capital Equipment Acquisition","(1) Brush Cutter","DPW - Parks/Forestry/Heavy",,,"City-Wide",
"8425589118.50000.14","Capital Equipment Acquisition","(1) Dead Animal Truck","Animal Care & Control",,,"City-Wide",
"8425589118.50000.12","Capital Equipment Acquisition","(1) Fire Pumper","Fire",,,"City-Wide",
"8425589118.50000.04","Capital Equipment Acquisition","(1) K-9 Unit","Police",,,"City-Wide",
"8425589118.50000.07","Capital Equipment Acquisition","(1) Large SUV – District Chief","EMS",,,"City-Wide",
"8425589118.50000.08","Capital Equipment Acquisition","(1) Large SUV – Supervisor","EMS",,,"City-Wide",
"8425589118.50000.08","Capital Equipment Acquisition","(1) Large SUV – Supervisor","EMS",,,"City-Wide",
"8425589118.50000.06","Capital Equipment Acquisition","(1) Medic Ambulance","EMS",,,"City-Wide",
"8425589118.50000.09","Capital Equipment Acquisition","(1) Medium SUV – Supervisor","EMS",,,"City-Wide",
"8425589118.50000.13","Capital Equipment Acquisition","(1) Mobile Air Compressor Unit","Fire",,,"City-Wide",
"8425589118.50000.05","Capital Equipment Acquisition","(1) Passenger Van","Police",,,"City-Wide",
"4000220000.50000.04","Capital Equipment Acquisition","(1) Pickup Truck","DPW - Streets",,,"City-Wide",
"8425589118.50000.20","Capital Equipment Acquisition","(1) Pickup Truck","DPW - Parks/Forestry/Heavy",,,"City-Wide",
"8425589118.50000.11","Capital Equipment Acquisition","(1) Rescue Boat","EMS",,,"City-Wide",
"8425589118.50000.18","Capital Equipment Acquisition","(1) Stump Grinder Tow Behind","DPW - Parks/Forestry/Heavy",,,"City-Wide",
"8425589118.50000.02","Capital Equipment Acquisition","(10) Unmarked Pursuit SUV","Police",,,"City-Wide",
"8425589118.50000.03","Capital Equipment Acquisition","(14) Motorcycle","Police",,,"City-Wide",
"8425589118.50000.06","Capital Equipment Acquisition","(2) EMT Ambulance","EMS",,,"City-Wide",
"4000220000.50000.01","Capital Equipment Acquisition","(2) One Ton Dump Truck","DPW - Streets",,,"City-Wide",
"8425589118.50000.22","Capital Equipment Acquisition","(2) Pickup Truck","DPW - Environmental Services",,,"City-Wide",
"8425589118.50000.01","Capital Equipment Acquisition","(23) Marked Pursuit SUV","Police",,,"City-Wide",
"8425589118.50000.21","Capital Equipment Acquisition","(3) 25 Yard Refuse Packer","DPW - Environmental Services",,,"City-Wide",
"8425589118.50000.06","Capital Equipment Acquisition","(3) Medic Ambulance","EMS",,,"City-Wide",
"8425589118.50000.10","Capital Equipment Acquisition","(3) Mini Van – Support Vehicle","EMS",,,"City-Wide",
"4000287000.50000.00","Capital Equipment Acquisition","(3) One Ton Foreman Truck","DPW - Environmental Services",,,"City-Wide",
"8425589118.50000.16","Capital Equipment Acquisition","(3) Rat Packer","DPW - Streets",,,"City-Wide",
"4000220000.50000.03","Capital Equipment Acquisition","(3) Ten Ton Dump Truck","DPW - Streets",,,"City-Wide",
"4000220000.50000.02","Capital Equipment Acquisition","(4) Five Ton Dump Truck","DPW - Streets",,,"City-Wide",
"8425589118.50000.15","Capital Equipment Acquisition","(6) Electric Sedans","PLI",,,"City-Wide",
"8425589118.50000.26","Capital Equipment Acquisition","Contingency","Other Items",,,"City-Wide",
"8425589118.50000.25","Capital Equipment Acquisition","Insurance","Other Items",,,"City-Wide",
"8425589118.50000.23","Capital Equipment Acquisition","NCA Repairs","Other Items",,,"City-Wide",
"8425589118.50000.24","Capital Equipment Acquisition","Professional Services","Other Items",,,"City-Wide",
"8425589017.50000.00","Capital Equipment Acquisition",,"City-Wide",,,"City-Wide",
"8425589917.50000.00","Capital Equipment Acquisition",,"City-Wide",,,"City-Wide",
"4026719717.50000.00","Carnahan Road - Wenzell Avenue (TIP)","Construction","Banksville Rd & Carnahan Rd 15216","40.40716","-80.03433","District 2","2"
"4026719717.50000.00","Carnahan Road Wenzell Avenue (TIP)","Construction","Banksville Rd & Carnahan Rd 15216","40.40716","-80.03433","District 2","2"
"1156332170.58101.00","CDBG Adminstration","Overall Administration","City-Wide",,,"City-Wide",
"1256332180.58101.00","CDBG Adminstration","Overall Administration","City-Wide",,,"City-Wide",
"1150000170.58101.00","CDBG Personnel","Overall Administration","City-Wide",,,"City-Wide",
"1250000180.58101.00","CDBG Personnel","Overall Administration","City-Wide",,,"City-Wide",
"8226750317.53901.00","Center for Innovation & Entrepreneurship","New Business Start Up, Business Expansion, & Business Attraction","City-Wide",,,"City-Wide",
"1126717317.50000.02","Comprehensive Plan","South Side Park Master Plan","831 E Warrington Ave 15210","40.42169","-79.99385","District 3","3"
"6030133318.50000.00","Charles Anderson Bridge (TIP)","Charles Anderson Bridge - Final Design","Blvd of the Allies between Parkview Ave & Schenley Park in South Oakland 15213","40.43445","-79.94995","District 3","3"
"6030133318.50000.00","Charles Anderson Bridge (TIP)","Charles Anderson Bridge - Final Design","Blvd of the Allies between Parkview Ave & Schenley Park in South Oakland 15213","40.43445","-79.94995","District 3","3"
"4430133017.50000.00","Charles Anderson Bridge (TIP)","Preliminary Engineering Phase","Blvd of the Allies between Parkview Ave & Schenley Park in South Oakland 15213","40.43445","-79.94995","District 5","5"
"4430133017.50000.00","Charles Anderson Bridge (TIP)","Preliminary Engineering Phase","Blvd of the Allies between Parkview Ave & Schenley Park in South Oakland 15213","40.43445","-79.94995","District 5","5"
"8230101017.53901.01","Choice Neighborhood","Green Infrastructure","Larimer & East Liberty 15206","40.46344","-79.91742","District 9","9"
"8230101018.50000.00","Choice Neighborhood","Mixed Income Rental Development","Larimer & East Liberty 15206","40.46344","-79.91742","District 9","9"
"8230101170.58101.00","Choice Neighborhood","Mixed Income Rental Development","Larimer & East Liberty 15206","40.46344","-79.91742","District 9","9"
"8230101170.58101.00","Choice Neighborhood","Mixed Income Rental Development","Larimer & East Liberty 15206","40.46344","-79.91742","District 9","9"
"8230101180.58101.00","Choice Neighborhood","Mixed Income Rental Development","Larimer & East Liberty 15206","40.46344","-79.91742","District 9","9"
"8230101170.58101.00","Choice Neighborhood","Owner-Occupied Façade Renovations","Larimer & East Liberty 15206","40.46344","-79.91742","District 9","9"
"8230101017.53901.02","Choice Neighborhood","Park Construction","Larimer & East Liberty 15206","40.46344","-79.91742","District 9","9"
"8230101018.50000.00","Choice Neighborhood","Park Construction & Green Infrastructure","Larimer & East Liberty 15206","40.46344","-79.91742","District 9","9"
"1156900170.58101.00","Citizen Participation","Provide Information to the City of Pittsburgh Regarding the CDBG Program","City-Wide",,,"City-Wide",
"1256900180.58101.00","Citizen Participation","Provide Information to the City of Pittsburgh Regarding the CDBG Program","City-Wide",,,"City-Wide",
"0130045170.58101.00","City Council's Unspecified Local Option","ACH Clear Pathways","710 Fifth Ave 15219","40.43853","-79.99294","District 6","6"
"0130045180.58101.00","City Council's Unspecified Local Option","ACH Clear Pathways","710 Fifth Ave 15219","40.43853","-79.99294","District 6","6"
"0123178180.58101.00","City Council's Unspecified Local Option","African American Chamber of Commerce","436 Seventh Ave 15219","40.44211","-79.99554","District 6","6"
"0123256180.58101.00","City Council's Unspecified Local Option","Aleph Institute","5804 Beacon St 15217","40.43460","-79.92239","District 5","5"
"0130161170.58101.00","City Council's Unspecified Local Option","Allegheny West Civic Council","806 Western Ave 15233","40.45244","-80.01435","District 1","1"
"0129787180.58101.00","City Council's Unspecified Local Option","Allies for Health + Wellbeing (Pittsburgh AIDS Task Force)","5913 Penn Ave 15206","40.46210","-79.92520","District 3","3"
"0129787180.58101.00","City Council's Unspecified Local Option","Allies for Health + Wellbeing (Pittsburgh AIDS Task Force)","5913 Penn Ave 15206","40.46210","-79.92520","District 8","8"
"0123096170.58101.00","City Council's Unspecified Local Option","Angel's Place","2615 Norwood Ave 15214","40.47101","-80.01308","District 4","4"
"0123239180.58101.00","City Council's Unspecified Local Option","Beechview Manor","1926 Pauline Ave 15216","40.40574","-80.02679","District 4","4"
"0130134180.58101.00","City Council's Unspecified Local Option","Beechview Revitalization Advisory Group (PHDC fiscal agent)","1621 Broadway Ave 15216","40.40941","-80.02452","District 4","4"
"0130190180.58101.00","City Council's Unspecified Local Option","Bhutanese Community Association","4048 Brownsville Rd 15227","40.36680","-79.98110","District 4","4"
"0123343170.58101.00","City Council's Unspecified Local Option","Bidwell Training Center","1815 Metropolitan St 15233","40.45729","-80.03255","District 6","6"
"0121313170.58101.00","City Council's Unspecified Local Option","Big Brothers Big Sisters","5989 Centre Ave 15206","40.45994","-79.92603","District 8","8"
"0121313180.58101.00","City Council's Unspecified Local Option","Big Brothers Big Sisters","5989 Centre Ave 15206","40.45994","-79.92603","District 8","8"
"0129864180.58101.00","City Council's Unspecified Local Option","Bloomfield Citizens Council","4727 Friendship Ave 15224","40.46305","-79.94815","District 7","7"
"0123316180.58101.00","City Council's Unspecified Local Option","Bloomfield Development Corporation","366 Gross St 15224","40.46097","-79.94480","District 7","7"
"0121132170.58101.00","City Council's Unspecified Local Option","Bloomfield Garfield Corporation","5149 Penn Ave 15224","40.46481","-79.94096","District 7","7"
"0121132180.58101.00","City Council's Unspecified Local Option","Bloomfield Garfield Corporation","5149 Penn Ave 15224","40.46481","-79.94096","District 7","7"
"0121133170.58101.00","City Council's Unspecified Local Option","Bloomfield Preservation & Heritage","4727 Friendship Ave 15224","40.46305","-79.94815","District 7","7"
"0121133180.58101.00","City Council's Unspecified Local Option","Bloomfield Preservation & Heritage","4727 Friendship Ave 15224","40.46305","-79.94815","District 7","7"
"0129755170.58101.00","City Council's Unspecified Local Option","Brashear Association","2005 Sarah St 15203","40.42774","-79.97752","District 3","3"
"0129755170.58101.00","City Council's Unspecified Local Option","Brashear Association","2005 Sarah St 15203","40.42774","-79.97752","District 4","4"
"0130099170.58101.00","City Council's Unspecified Local Option","Brashear Association (for Arlington Food Bank)","2201 Salisbury St 15210","40.41924","-79.97501","District 3","3"
"0130099180.58101.00","City Council's Unspecified Local Option","Brashear Association (for Arlington Food Bank)","2201 Salisbury St 15210","40.41924","-79.97501","District 3","3"
"0130043170.58101.00","City Council's Unspecified Local Option","Brighton Heights Senior Center","3515 McClure Ave 15212","40.47927","-80.03549","District 1","1"
"0121142170.58101.00","City Council's Unspecified Local Option","Brightwood Civic Group","3127 Brighton Rd 15212","40.47445","-80.02962","District 1","1"
"0123130170.58101.00","City Council's Unspecified Local Option","Brookline Christian Food Pantry","1036 Brookline Blvd 15226","40.39164","-80.01641","District 4","4"
"0123130180.58101.00","City Council's Unspecified Local Option","Brookline Christian Food Pantry","1036 Brookline Blvd 15226","40.39164","-80.01641","District 4","4"
"0130191180.58101.00","City Council's Unspecified Local Option","Brookline Teen Outreach","520 Brookline Blvd 15226","40.39573","-80.02317","District 4","4"
"0130100170.58101.00","City Council's Unspecified Local Option","Building Bridges for Business","1526 Rhine St 15212","40.46268","-79.99076","District 8","8"
"0130100180.58101.00","City Council's Unspecified Local Option","Building Bridges for Business","1526 Rhine St 15212","40.46268","-79.99076","District 8","8"
"0123317180.58101.00","City Council's Unspecified Local Option","Carrick Community Council","1912 Brownsville Rd 15210","40.41450","-79.98799","District 4","4"
"0121323170.58101.00","City Council's Unspecified Local Option","Catholic Youth Association of Pittsburgh (Senior Center)","286 Main St 15201","40.46785","-79.95840","District 7","7"
"0121323180.58101.00","City Council's Unspecified Local Option","Catholic Youth Association of Pittsburgh (Senior Center)","286 Main St 15201","40.46785","-79.95840","District 7","7"
"0128990170.58101.00","City Council's Unspecified Local Option","Center for Victims - Crisis Intervention","3433 E Carson St 15203","40.42083","-79.95801","District 1","1"
"0128990170.58101.00","City Council's Unspecified Local Option","Center for Victims - Crisis Intervention","3433 E Carson St 15203","40.42083","-79.95801","District 3","3"
"0128990180.58101.00","City Council's Unspecified Local Option","Center for Victims - Crisis Intervention","3433 E Carson St 15203","40.42083","-79.95801","District 3","3"
"0128990170.58101.00","City Council's Unspecified Local Option","Center for Victims - Pittsburgh Mediation Center","3433 E Carson St 15203","40.42083","-79.95801","District 4","4"
"0123179170.58101.00","City Council's Unspecified Local Option","Community Human Services","2525 Liberty Ave 15222","40.45405","-79.97841","District 7","7"
"0123179170.58101.00","City Council's Unspecified Local Option","Community Human Services","370 Lawn St 15213","40.43365","-79.96125","District 3","3"
"0123179170.58101.00","City Council's Unspecified Local Option","Community Human Services","370 Lawn St 15213","40.43365","-79.96125","District 5","5"
"0123179170.58101.00","City Council's Unspecified Local Option","Community Human Services","370 Lawn St 15213","40.43365","-79.96125","District 8","8"
"0123179180.58101.00","City Council's Unspecified Local Option","Community Human Services","2525 Liberty Ave 15222","40.45405","-79.97841","District 7","7"
"0123179180.58101.00","City Council's Unspecified Local Option","Community Human Services","370 Lawn St 15213","40.43365","-79.96125","District 3","3"
"0123179180.58101.00","City Council's Unspecified Local Option","Community Human Services","370 Lawn St 15213","40.43365","-79.96125","District 5","5"
"0123179180.58101.00","City Council's Unspecified Local Option","Community Human Services","370 Lawn St 15213","40.43365","-79.96125","District 8","8"
"0130192180.58101.00","City Council's Unspecified Local Option","Community Kitchen Pittsburgh","134 E Elizabeth St 15207","40.40712","-79.94262","District 5","5"
"0130151170.58101.00","City Council's Unspecified Local Option","Conservation Consultants Inc (CCI)","64 S 14th St 15203","40.42782","-79.98411","District 8","8"
"0130158170.58101.00","City Council's Unspecified Local Option","D-2 Dek Hockey","Banksville Park - 1461 Crane Ave 15220","40.41439","-80.03904","District 2","2"
,"City Council's Unspecified Local Option","District 1 - CDBG ULO","Council District 1",,,"District 1","1"
"0121330170.58101.00","City Council's Unspecified Local Option","East Allegheny Community Council","415 E Ohio St 15212","40.45328","-80.00127","District 1","1"
"0129761170.58101.00","City Council's Unspecified Local Option","East End Cooperative Ministry","6140 Station St 15206","40.46279","-79.92169","District 8","8"
"0129761180.58101.00","City Council's Unspecified Local Option","East End Cooperative Ministry","6140 Station St 15206","40.46279","-79.92169","District 8","8"
"0130148170.58101.00","City Council's Unspecified Local Option","Economic Development South","4232 Brownsville Rd 15227","40.36352","-79.99690","District 4","4"
"0121365170.58101.00","City Council's Unspecified Local Option","Elizabeth Seton Center","1900 Pioneer Ave 15226","40.40389","-80.01593","District 4","4"
"0129763170.58101.00","City Council's Unspecified Local Option","Elliott West End Athletic Association","Herschel St & Hassler St 15205","40.44075","-80.04377","District 2","2"
"0123304170.58101.00","City Council's Unspecified Local Option","Emmaus Community","2821 Sarah St 15203","40.42522","-79.96577","District 3","3"
"0123304180.58101.00","City Council's Unspecified Local Option","Emmaus Community","2821 Sarah St 15203","40.42522","-79.96577","District 3","3"
"0121401170.58101.00","City Council's Unspecified Local Option","Fineview Citizens Council","21 Lanark St 15212","40.46218","-80.00472","District 1","1"
"0130152170.58101.00","City Council's Unspecified Local Option","Friendship Circle","1922 Murray Ave 15217","40.43532","-79.92292","District 8","8"
"0130152180.58101.00","City Council's Unspecified Local Option","Friendship Circle","1922 Murray Ave 15217","40.43532","-79.92292","District 5","5"
"0130076170.58101.00","City Council's Unspecified Local Option","Friendship Community Group","5450 Friendship Ave 15232","40.46144","-79.93546","District 7","7"
"0130076180.58101.00","City Council's Unspecified Local Option","Friendship Community Group","5450 Friendship Ave 15232","40.46144","-79.93546","District 7","7"
"0130077170.58101.00","City Council's Unspecified Local Option","Greater Pittsburgh Arts Council","810 Penn Ave  15222","40.44355","-79.99883","District 8","8"
"0130077180.58101.00","City Council's Unspecified Local Option","Greater Pittsburgh Arts Council","810 Penn Ave  15222","40.44355","-79.99883","District 8","8"
"0167146170.58101.00","City Council's Unspecified Local Option","Greater Pittsburgh Community Food Bank","1 N Linden St 15110","40.37546","-79.84191","District 4","4"
"0167146170.58101.00","City Council's Unspecified Local Option","Greater Pittsburgh Community Food Bank","1 N Linden St 15110","40.37546","-79.84191","District 7","7"
"0167146180.58101.00","City Council's Unspecified Local Option","Greater Pittsburgh Community Food Bank","1 N Linden St 15110","40.37546","-79.84191","District 8","8"
"0167146180.58101.00","City Council's Unspecified Local Option","Greater Pittsburgh Community Food Bank (Food Truck)","1 N Linden St 15110","40.37546","-79.84191","District 2","2"
"0130064180.58101.00","City Council's Unspecified Local Option","Greater Pittsburgh Literacy Council","411 Seventh Ave 15219","40.44562","-79.91648","District 8","8"
"0123036170.58101.00","City Council's Unspecified Local Option","HACP/Northview Heights","533 Mt Pleasant Rd 15214","40.47767","-79.99979","District 1","1"
"0129131170.58101.00","City Council's Unspecified Local Option","Hazelwood Initiative","5125 Second Ave 15207","40.40680","-79.94308","District 5","5"
"0129131180.58101.00","City Council's Unspecified Local Option","Hazelwood Initiative","5125 Second Ave 15207","40.40680","-79.94308","District 5","5"
"0130153170.58101.00","City Council's Unspecified Local Option","Higher Achievement, Inc","6507 Wilkins Ave 15217","40.44448","-79.91738","District 8","8"
"0130153180.58101.00","City Council's Unspecified Local Option","Higher Achievement, Inc","6507 Wilkins Ave 15217","40.44448","-79.91738","District 8","8"
"0121181170.58101.00","City Council's Unspecified Local Option","Hill Community Development Corporation","2015 Centre Ave 15219","40.44401","-79.97991","District 6","6"
"0121181180.58101.00","City Council's Unspecified Local Option","Hill Community Development Corporation","2015 Centre Ave 15219","40.44401","-79.97991","District 6","6"
"0121183170.58101.00","City Council's Unspecified Local Option","Hill House Association","1835 Centre Ave 15219","40.44280","-79.98223","District 6","6"
"0130108170.58101.00","City Council's Unspecified Local Option","Hilltop Alliance","831 E Warrington Ave 15210","40.42169","-79.99385","District 3","3"
"0130108180.58101.00","City Council's Unspecified Local Option","Hilltop Alliance","831 E Warrington Ave 15210","40.42169","-79.99385","District 3","3"
"0129755180.58101.00","City Council's Unspecified Local Option","Hilltop Alliance ($8,000 after a pass through of $2,500 for Allentown CDC & Beltzhoover Civic Association)","2005 Sarah St 15203","40.42774","-79.97752","District 3","3"
"0123327180.58101.00","City Council's Unspecified Local Option","Holy Wisdom Parish Food Pantry","City Council's Unspecified Local Option Holy Wisdom Parish Food Pantry","40.46164","-79.99446","District 1","1"
"0130121170.58101.00","City Council's Unspecified Local Option","HOPE for Tomorrow","3313 Kathy Dr 15204","40.45041","-80.07062","District 2","2"
"0123128170.58101.00","City Council's Unspecified Local Option","JCC of Greater Pittsburgh","5738 Forbes Ave 15217","40.43741","-79.92390","District 5","5"
"0123128170.58101.00","City Council's Unspecified Local Option","JCC of Greater Pittsburgh","5738 Forbes Ave 15217","40.43741","-79.92390","District 8","8"
"0123128180.58101.00","City Council's Unspecified Local Option","JCC of Greater Pittsburgh","5738 Forbes Ave 15217","40.43741","-79.92390","District 8","8"
"0123191180.58101.00","City Council's Unspecified Local Option","Jewish Association on Aging","200 JHF Dr 15217","40.41434","-79.92005","District 5","5"
"0129757170.58101.00","City Council's Unspecified Local Option","Jewish Family & Childrens Services - Career Development Center","5743 Bartlett St 15217","40.43604","-79.92378","District 5","5"
"0129757180.58101.00","City Council's Unspecified Local Option","Jewish Family & Childrens Services - Career Development Center","5743 Bartlett St 15217","40.43604","-79.92378","District 5","5"
"0130025170.58101.00","City Council's Unspecified Local Option","Jewish Family & Childrens Services - Refugee Services","5743 Bartlett St 15217","40.43604","-79.92378","District 5","5"
"0130025170.58101.00","City Council's Unspecified Local Option","Jewish Family & Childrens Services - Refugee Services","5743 Bartlett St 15217","40.43604","-79.92378","District 8","8"
"0130025180.58101.00","City Council's Unspecified Local Option","Jewish Family & Childrens Services - Refugee Services","5743 Bartlett St 15217","40.43604","-79.92378","District 5","5"
"0130025180.58101.00","City Council's Unspecified Local Option","Jewish Family & Childrens Services - Refugee Services","5743 Bartlett St 15217","40.43604","-79.92378","District 8","8"
"0130103170.58101.00","City Council's Unspecified Local Option","Jewish Family & Childrens Services - Squirrel Hill Community Food Pantry","828 Hazelwood Ave 15217","40.41789","-79.92435","District 5","5"
"0130103170.58101.00","City Council's Unspecified Local Option","Jewish Family & Childrens Services - Squirrel Hill Community Food Pantry","828 Hazelwood Ave 15217","40.41789","-79.92435","District 8","8"
"0130103180.58101.00","City Council's Unspecified Local Option","Jewish Family & Childrens Services - Squirrel Hill Community Food Pantry","828 Hazelwood Ave 15217","40.41789","-79.92435","District 5","5"
"0123332170.58101.00","City Council's Unspecified Local Option","Lawrenceville Corporation","100 43rd St 15201","40.47337","-79.96429","District 7","7"
"0123332180.58101.00","City Council's Unspecified Local Option","Lawrenceville Corporation","100 43rd St 15201","40.47337","-79.96429","District 7","7"
"0129855170.58101.00","City Council's Unspecified Local Option","Lawrenceville United","118 52nd St 15201","40.47924","-79.95282","District 7","7"
"0129855180.58101.00","City Council's Unspecified Local Option","Lawrenceville United","118 52nd St 15201","40.47924","-79.95282","District 7","7"
"0123377180.58101.00","City Council's Unspecified Local Option","Lincoln Place Presbyterian Church","1202 Muldowney Ave 15207","40.36870","-79.91534","District 5","5"
"0130094170.58101.00","City Council's Unspecified Local Option","Linden School PTO","725 S Linden Av 15208","40.44562","-79.91648","District 8","8"
"0130005170.58101.00","City Council's Unspecified Local Option","Little Sisters of the Poor","1028 Benton Ave 15212","40.48771","-80.03381","District 1","1"
"0121370170.58101.00","City Council's Unspecified Local Option","Lower Bloomfield Unity Council","343 Cedarville St 15224","40.46071","-79.94955","District 7","7"
"0123032170.58101.00","City Council's Unspecified Local Option","Lynn Williams Apartments","3710 Brighton Rd 15212","40.48361","-80.03508","District 1","1"
"0129118170.58101.00","City Council's Unspecified Local Option","Macedonia Family and Community Enrichment Center","1835 Centre Ave 15219","40.44280","-79.98223","District 6","6"
