"meeting_body_name","committee","begin_date_time","is_all_day","has_end","end_date_time","building_name","room","address","address2","city","state","zip","webcast_url","webcast_plugin","is_video_conf","is_conf_call","conf_call_number","conf_call_id","conf_call_password","contact_first_name","contact_last_name","phone","email","notes","materials_url","archived_url","publication_date","amendments","amendment_date","latlng"
"Missouri Dental Board",,"2022-07-29T08:00:00.000","0","0",,"Missouri Council of School Administrators",,"3550 Amazonas Drive",,"Jefferson City",,"65109",,,"0","0",,,,"Sarah","Becker","(573) 751-0040","Sarah.Becker@pr.mo.gov","Portions of the meeting may closed pursuant to Chapters 610.021 (1)(3)(5)(7)(13)(14) and Chapter 324.001.8 and 324.001.9 RSMo.  Please contact Sarah Becker at sarah.becker@pr.mo.gov if you should have any questions.",,,"2021-11-05 12:04:08.0","MEETING TO BE HELD IN PERSON ONLY","2022-04-20 11:46:47.0","
,  
(38.589792, -92.25171999999999)"
"Missouri Conservation Commission","Executive Session, 8:30 a.m. and Open Meeting, 1:30 p.m.","2022-07-29T08:30:00.000","0","0",,"Department of Conservation Headquarters",,"2901 West Truman Boulevard",,"Jefferson City",,,,,"0","0",,,,,,"(573) 751-4115",,"Portions of this meeting will be closed pursuant to Section 610.021 (1)(2)(3)(12)(14)(17) RSMo. 454.440.9 and 221.321 RSMo.",,,"2022-07-21 18:15:42.0",,,"
,  
(38.594334, -92.228444)"
"Office of General Counsel","Exceptions Committee","2022-08-01T10:00:00.000","0","0",,"Via WebEx",,,,,,,,,"0","0",,"2458 332 2590",,"Kathy","Martin","(314) 877-0123",,"Meeting Password: 7Mu4RaFt4TW Portions of this meeting may be closed pursuant to Sections 610.021(1), 610.021(5), and 610.021(14), RSMo.",,,"2022-07-29 17:14:06.0",,"2022-07-29 17:16:14.0","
,  
(44.5165436, -67.5845034)"
"Public Notice of Open Hearing",,"2022-08-01T10:00:00.000","0","0",,"Lewis and Clark State Office Building","Independence Creek Conference Room","1101 Riverside Drive",,"Jefferson City",,"65102",,,"0","0",,,,"Darren","Bridges","(573) 751-3409",,"Director of the Department of Public Safety vs. Ignatius DamierDirector of the Department of Public Safety vs. Jimmie Gordon Dye, Jr.Director of the Department of Public Safety vs. Wayne C. MarsonetteDirector of the Department of Public Safety vs. Adam R. MorrisDirector of the Department of Public Safety vs. Abenet CarperDirector of the Department of Public Safety vs. Thomas Foster    Director of the Department of Public Safety vs. Seth Rhoads	    Director of the Department of Public Safety vs. Bethany Zarcone",,,"2022-07-08 18:38:46.0",,,"
,  
(38.569501, -92.1554888)"
"Missouri Committee for Professional Counselors",,"2022-08-02T08:00:00.000","0","0",,"Division of Professional Registration & Via WebEx",,"3605 Missouri Boulevard",,"Jefferson City",,"65102",,,"0","1",,"2465 985 6104 ##",,,,"(573) 751-0018",,"Portions of this meeting may be closed pursuant to Section 610.021 (1)(14) RSMo. and Sections 324.001.8 and 324.001.9 RSMo.",,,"2022-08-01 19:47:09.0",,,"
,  
(38.581448, -92.252301)"
"Missouri Housing Development Commission","Missouri Housing Trust Fund FY2023 DRAFT Allocation Plan &amp; Notice of Funding Availability Public Hearing","2022-08-02T14:00:00.000","0","0",,"Via Webinar",,,,,,,,,"0","0",,,,"Samantha","Gamble-Kintz","(816) 759-6636","skintz@mhdc.com","To register for either webinar session, please use the link:  https://attendee.gotowebinar.com/register/2177737134969086736.  Comments will be accepted at mhtf.comment@mhdc.com from 08/8/2022-08/22/2022","https://attendee.gotowebinar.com/register/2177737134969086736",,"2022-07-26 16:48:06.0",,,"
,  
(44.5165436, -67.5845034)"
"Missouri Highways and Transportation Commission",,"2022-08-02T15:00:00.000","0","0",,"Missouri Western State University",,"Fulkerson Center","4525 Downs Drive","St. Joseph",,,,,"0","0",,,,"Pamela","Harlan","(573) 751-3704",,"Closed session at 3:00pm.  Portions of the meeting are closed pursuant to Sections 610.021(1), (3), (11), (12), and (13) RSMo.","https://www.modot.org/meeting-datesagendas",,"2022-07-27 19:21:50.0",,"2022-08-01 21:30:10.0",
"Missouri Real Estate Commission",,"2022-08-03T08:00:00.000","0","0",,"Missouri Council of School Administrators","Lower Level - Conference Center","3550 Amazonas Drive (Lower Level)",,"Jefferson City",,,,,"0","0",,,,,,"(573) 751-2628",,"Portions of this meeting may be closed pursuant to Section 610.021 (1)(3)(5)(7)(13)(14) and 324.001.8 and 324.001.9 RSMo.",,,"2022-07-25 14:04:57.0",,,
"State Advisory Council",,"2022-08-03T10:00:00.000","0","0",,"WebEx Call",,,,,,,,,"0","1",,,,"Lori","Franklin",,"Lori.Franklin@dmh.mo.gov","Meeting is open, please contact Lori Franklin to receive an invite to the WebEx call.",,,"2021-12-14 18:01:16.0",,,"
,  
(44.5165436, -67.5845034)"
"Missouri Housing Development Commission","Missouri Housing Trust Fund FY2023 DRAFT Allocation Plan &amp; Notice of Funding Availability Public Hearing","2022-08-03T10:00:00.000","0","0",,"Via Webinar",,,,,,,,,"0","0",,,,"Samantha","Gamble-Kintz","(816) 759-6636","skintz@mhdc.com","To register for either webinar session, please use the link:  https://attendee.gotowebinar.com/register/8334868110096166160.  Comments will be accepted at mhtf.comment@mhdc.com from 08/8/2022-08/22/2022","https://attendee.gotowebinar.com/register/8334868110096166160",,"2022-07-26 16:48:59.0",,,"
,  
(44.5165436, -67.5845034)"
"Missouri Highways and Transportation Commission",,"2022-08-03T10:30:00.000","0","0",,"Missouri Western State University",,"Fulkerson Center","4525 Downs Drive","St. Joseph",,,"https://www.modot.org/mhtc/live",,"0","0",,,,"Pamela","Harlan","(573) 751-3704",,"Workshop begins at 10:30am.  Recess at 11:30am.  Reconvene, Open Session at 1:00pm.","https://www.modot.org/meeting-datesagendas",,"2022-07-27 19:20:44.0",,,
"Board of Examiners for Hearing Instrument Specialists",,"2022-08-03T12:00:00.000","0","0",,"Via Conference Call",,"Board of Examiners for Hearing Instrument Specialists Office","3605 Missouri Boulevard","Jefferson City",,"65102",,,"0","1",,,,,,"(573) 751-0240",,"Portions of this meeting may be closed pursuant to Section 610.021 (1)(3)(5)(7)(14) RSMo and Section 324.001.8 and 324.001.9 RSMo.",,,"2022-07-25 14:40:14.0",,,
"Office of Adult Learning and Rehabilitation Services","Missouri Vocational Rehabilitation","2022-08-04T10:00:00.000","0","0",,"Missouri Vocational Rehabilitation",,"3024 Dupont Circle",,"Jefferson City",,,,,"0","0",,,,"Anita","Baker","(573) 522-6025",,,,,"2021-10-18 13:48:35.0",,,"
,  
(38.595911, -92.232376)"
"Drought Assessment Committee",,"2022-08-04T10:00:00.000","0","0",,"Lewis and Clark State Office Building",,"1101 Riverside Drive",,"Jefferson City",,"65101",,,"0","0",,,,"Jennifer","Hoggatt","(573) 751-1403","Jennifer.Hoggatt@dnr.mo.gov",,,,"2022-07-26 20:06:49.0",,,"
,  
(38.5695013, -92.15548869999999)"
"Statewide Community Health Workers Advisory Committee",,"2022-08-04T12:00:00.000","0","0",,"Via Conference Call",,,,,,,,,"0","0",,,,"Tiffani","Muessig","(573) 522-2840","Tiffani.Muessig@health.mo.gov",,,,"2022-07-25 14:35:13.0",,,"
,  
(44.5165436, -67.5845034)"
"Missouri State Board of Accountancy","Complaint Committee Meeting","2022-08-04T15:00:00.000","0","0",,"Division of Professional Registration",,"3605 Missouri Boulevard",,"Jefferson City",,"65102",,,"1","1",,,,,,"(573) 751-0012",,"This meeting will be closed pursuant to Section 610.021 (1)(14) RSMo and Section 324.001.8 and 324.001.9 and 324.017.5 RSMo.",,,"2022-05-18 16:41:02.0",,,"
,  
(38.581448, -92.252301)"
"Missouri Family Trust Board of Trustees Investment Committee",,"2022-08-06T09:00:00.000","0","0",,"MSNT Board Room",,,,"Columbia",,,,,"0","0",,,,"Kathy","Birks","(573) 256-5055","kbirkes@midwestspecialneedstrust.org","Portions of this meeting may be closed pursuant to Section 610.021 (8) RSMo.",,,"2022-07-13 18:18:38.0",,,"
,  
(30.322341, -82.7805357)"
"Missouri Family Trust Board of Trustees",,"2022-08-06T10:00:00.000","0","0",,"MSNT Board Room",,,,"Columbia",,,,,"0","0",,,,"Kathy","Birkes","(573) 256-5055","kbirkes@midwestspecialneedstrust.org","Portions of the meeting will be closed pursuant to Section 610.021 (1)(3)(8)(13)(17) RSMo.",,,"2022-07-13 18:20:04.0",,,"
,  
(30.322341, -82.7805357)"
"Missouri Board for Architects, Professional Engineers, Professional Land Surveyors and Professional Landscape Architects",,"2022-08-08T08:00:00.000","0","0",,"Adams Pointe Conference Center, Courtyard Marriott","West Ballroom","1400 NE Coronado Drive",,"Blue Springs",,"64014",,,"0","0",,,,,,"(573) 751-0047",,"Portions of this meeting may be closed pursuant to Section 610.021 (1)(3)(5)(6)(7)(11)(13)(14)(15) RSMo; and Sections 324.001.8 and 324.001.9, RSMo.",,,"2022-07-08 19:40:25.0",,,"
,  
(39.02621, -94.2444068)"
"Missouri Board for Architects, Professional Engineers, Professional Land Surveyors and Professional Landscape Architects",,"2022-08-08T08:30:00.000","0","0",,"Adams Pointe Conference Center, Courtyard Marriott","Salon C","1400 NE Coronado Drive",,"Blue Springs",,"64014",,,"0","0",,,,,,"(573) 751-0047",,"Portions of this meeting may be closed pursuant to Section 610.021 (1)(3)(5)(6)(7)(11)(13)(14)(15) RSMo; and Sections 324.001.8 and 324.001.9, RSMo.",,,"2022-07-08 19:41:53.0",,,"
,  
(39.02621, -94.2444068)"
"Missouri Board for Architects, Professional Engineers, Professional Land Surveyors and Professional Landscape Architects","Professional Landscape Architectural Division","2022-08-08T08:30:00.000","0","0",,"Adams Pointe Conference Center, Courtyard Marriott","Salon A","1400 NE Coronado Drive",,"Blue Springs",,"64014",,,"0","0",,,,,,"(573) 751-0047",,"Portions of this meeting may be closed pursuant to Section 610.021 (1)(3)(5)(6)(7)(11)(13)(14)(15) RSMo; and Sections 324.001.8 and 324.001.9, RSMo.",,,"2022-07-08 19:39:02.0",,,"
,  
(39.02621, -94.2444068)"
"Missouri Board for Architects, Professional Engineers, Professional Land Surveyors and Professional Landscape Architects","Professional Land Surveying Division","2022-08-08T08:30:00.000","0","0",,"Adams Pointe Conference Center, Courtyard Marriott","Salon B","1400 NE Coronado Drive",,"Blue Springs",,"64014",,,"0","0",,,,,,"(573) 751-0047",,"Portions of this meeting may be closed pursuant to Section 610.021 (1)(3)(5)(6)(7)(11)(13)(14)(15) RSMo; and Sections 324.001.8 and 324.001.9, RSMo.",,,"2022-07-08 19:39:42.0",,,"
,  
(39.02621, -94.2444068)"
"Missouri Board for Architects, Professional Engineers, Professional Land Surveyors and Professional Landscape Architects","Professional Engineering Division","2022-08-08T08:30:00.000","0","0",,"Adams Pointe Conference Center, Courtyard Marriott","West Ballroom","1400 NE Coronado Drive",,"Blue Springs",,"64014",,,"0","0",,,,,,"(573) 751-0047",,"Portions of this meeting may be closed pursuant to Section 610.021 (1)(3)(5)(6)(7)(11)(13)(14)(15) RSMo; and Sections 324.001.8 and 324.001.9, RSMo.",,,"2022-07-08 19:38:13.0",,,"
,  
(39.02621, -94.2444068)"
"Missouri Board for Architects, Professional Engineers, Professional Land Surveyors and Professional Landscape Architects",,"2022-08-08T10:00:00.000","0","0",,"Adams Pointe Conference Center, Courtyard Marriott","West Ballroom","1400 NE Coronado Drive",,"Blue Springs",,"64014",,,"0","0",,,,,,"(573) 751-0047",,"Portions of this meeting may be closed pursuant to Section 610.021 (1)(3)(5)(6)(7)(11)(13)(14)(15) RSMo; and Sections 324.001.8 and 324.001.9, RSMo.",,,"2022-07-08 19:40:47.0",,,"
,  
(39.02621, -94.2444068)"
"Missouri Board for Architects, Professional Engineers, Professional Land Surveyors and Professional Landscape Architects",,"2022-08-09T08:00:00.000","0","0",,"Adams Pointe Conference Center, Courtyard Marriott","West Ballroom","1400 NE Coronado Drive",,"Blue Springs",,"64014",,,"0","0",,,,,,"(573) 751-0047",,"Portions of this meeting may be closed pursuant to Section 610.021 (1)(3)(5)(6)(7)(11)(13)(14)(15) RSMo; and Sections 324.001.8 and 324.001.9, RSMo.",,,"2022-07-08 19:41:12.0",,,"
,  
(39.02621, -94.2444068)"
"Missouri State Board of Nursing",,"2022-08-09T08:30:00.000","0","0",,"Missouri Council of School Administrators Education and Conference Center",,"3550 Amazonas Drive",,"Jefferson City",,"65109","https://stateofmo.webex.com/meet/WILLAE",,"0","0",,,,,,"(573) 751-0681",,"Portions of this meeting may be closed pursuant to Section 610.021 (1)(14) RSMo. and Section 324.001.8 and 324.001.9 and 335.068 RSMo.",,,"2022-08-01 13:18:08.0",,,"
,  
(38.589792, -92.25171999999999)"
"Public Notice of Open Hearing",,"2022-08-09T10:00:00.000","0","0",,"Lewis and Clark State Office Building","Independence Creek Conference Room","1101 Riverside Drive",,"Jefferson City",,"65102",,,"0","0",,,,"Darren","Bridges","(573) 751-3409",,"Director of the Department of Public Safety vs. Delbert Dugan",,,"2022-06-21 17:35:30.0",,,"
,  
(38.569501, -92.1554888)"
"MO HealthNet Division","Rare Disease Advisory Committee","2022-08-09T10:30:00.000","0","0",,"Howerton Building & Via WebEx","Room 202","615 Howerton 2nd Floor",,"Jefferson City",,"65101",,,"1","1",,,,"Carmen","Burton","(573) 751-6961","Carmen.M.Burton@dss.mo.gov","This meeting has an in person MAX limit due to Covid restrictions - Please email Carmen Burton at Carmen.M.Burton@dss.mo.gov if you are attending in person as soon as possible. Do not book travel until your in-person spot has been confirmed. MO HealthNet is not responsible for any travel expenses. Once the in person limit is reached any others interested in attending will need to join via WebEx.",,,"2022-07-28 19:53:48.0",,,
"Missouri State Board of Chiropractic Examiners",,"2022-08-09T12:00:00.000","0","0",,"Division of Professional Registration & Via WebEx",,"3605 Missouri Boulevard",,"Jefferson City",,"65102",,,"0","1",,"2459 491 3786",,,,"(573) 751-0018",,"Portions of this meeting may be closed pursuant to Chapter 610.021 (1)(14) and Chapter 324.001.8 and 324.001.9 RSMo.",,,"2022-08-08 13:50:49.0",,,"
,  
(38.581448, -92.252301)"
"Elementary and Secondary Education","Early Childhood State Advisory Council","2022-08-09T12:30:00.000","0","0",,"Jefferson State Office Building","1st Floor","205 Jefferson Street, 1st Floor",,"Jefferson City",,"65101","https://livestream.com/modese/ecadvisory",,"0","0",,,,,,"(573) 751-3469","communications@dese.mo.gov","Public seating in the board room will be socially distanced and therefore limited. Seats will be available on a first come, first served basis when the doors to the room open 30 minutes prior to the meeting.",,,"2022-07-14 20:27:35.0",,,
"Missouri Children's Division","HB 1414 Response and Evaluation Team Monthly Meeting","2022-08-09T13:00:00.000","0","0",,"Via WebEx",,,,,,,,,"0","1",,"2452 685 0589",,"Kayla","Ueligger","(816) 387-2036","kayla.d.ueligger@dss.mo.gov","Meeting password: 3deW8TmAV3P",,,"2022-02-28 16:22:00.0",,,"
,  
(44.5165436, -67.5845034)"
"Missouri Autism Projects Northwest Parent Advisory Council",,"2022-08-09T18:30:00.000","0","0",,"Kansas City Regional Office & Via WebEx",,"821 East Admiral Blvd",,"Kansas City",,"64106","https://stateofmo.webex.com/stateofmo/j.php?MTID=m926582d4d3be6d226b59a4e81bd95333",,"0","1",,"2456 769 6055",,"Denise","Trecker","(816) 889-3454","Denise.Trecker@dmh.mo.gov","Password: 9fbPsikuN36",,,"2021-12-20 12:37:29.0","IN PERSON MEETING ADDRESS ADDED","2022-04-19 11:57:18.0",
"Missouri State Board of Nursing",,"2022-08-10T08:30:00.000","0","0",,"Missouri Council of School Administrators Education and Conference Center",,"3550 Amazonas Drive",,"Jefferson City",,"65109","https://stateofmo.webex.com/meet/WILLAE",,"0","0",,,,,,"(573) 751-0681",,"Portions of this meeting may be closed pursuant to Section 610.021 (1)(14) RSMo. and Section 324.001.8 and 324.001.9 and 335.068 RSMo.",,,"2022-08-01 13:18:44.0",,,"
,  
(38.589792, -92.25171999999999)"
"MO HealthNet Oversight Committee",,"2022-08-10T13:00:00.000","0","0",,"Via WebEx",,,,,,,"https://stateofmo.webex.com/stateofmo/j.php?MTID=m78046950db08edb30613990af54cd8bc",,"1","1",,"2453 700 3122",,"Gail","Luecke","(573) 751-7888","gail.a.luecke@dss.mo.gov",,,,"2022-08-02 15:58:51.0",,,"
,  
(44.5165436, -67.5845034)"
"Labor and Industrial Relations Commission",,"2022-08-10T13:00:00.000","0","0",,"Department of Labor and Industrial Relations","Conference Room A &amp; B","3315 West Truman Boulevard",,"Jefferson City",,,,,"0","0",,,,"Karla","Hogg","(573) 751-2461",,"Portions of the meeting may be closed pursuant to Sections 610.021(1)(14) RSMo.",,,"2022-08-09 14:38:04.0",,,"
,  
(38.5910439, -92.24260699999999)"
"Missouri State Board of Chiropractic Examiners",,"2022-08-10T18:00:00.000","0","0",,"Division of Professional Registration & Via WebEx",,"3605 Missouri Boulevard",,"Jefferson City",,"65102",,,"0","1",,"2459 491 3786",,,,"(573) 751-0018",,"Portions of this meeting may be closed pursuant to Chapter 610.021 (1)(14) and Chapter 324.001.8 and 324.001.9 RSMo.",,,"2022-08-09 16:49:11.0",,,"
,  
(38.581448, -92.252301)"
"Missouri State Board of Nursing",,"2022-08-11T08:30:00.000","0","0",,"Missouri Council of School Administrators Education and Conference Center",,"3550 Amazonas Drive",,"Jefferson City",,"65109","https://stateofmo.webex.com/meet/WILLAE",,"0","0",,,,,,"(573) 751-0681",,"Portions of this meeting may be closed pursuant to Section 610.021 (1)(14) RSMo. and Section 324.001.8 and 324.001.9 and 335.068 RSMo.",,,"2022-08-01 13:19:08.0",,,"
,  
(38.589792, -92.25171999999999)"
"Missouri State Fair Commission",,"2022-08-11T08:30:00.000","0","0",,"Missouri State Fairgrounds","Administrative Offices",,,"Sedalia",,"65301",,,"0","0",,,,"Nancy","Bouse","(660) 530-5603",,"Because of the unusual nature of the fair, Missouri State Fair Commissioners will be participating in a number of events daily beginning on August 10 as a whole or in small groups.  These events are primarily social in nature or for the purpose of supporting fair events and competitive winners (presenting awards, photo opportunities ...)   Tentatively, the Missouri State Fair Commission will meet in their Board Room daily August 11 - 21 to review previous day's events and receive scheduling information for the current day.  Generally, the time will be 8:30 a.m., but it is subject to change.  Members of public or media wanting to attend any of these scheduling sessions or review a schedule may contact Nancy Bouse (660-530-5603) for further information or to confirm the time.  Individuals with disabilities may contact Nancy Bouse (660-530-5603) for special assistance.",,,"2022-08-11 11:26:28.0",,,
"Board of Embalmers and Funeral Directors",,"2022-08-11T10:00:00.000","0","0",,"Division of Professional Registration",,"3605 Missouri Boulevard",,"Jefferson City",,"65102",,,"0","0",,,,,,"(573) 751-0813",,"Portions of this meeting may be closed pursuant to Sections 610.021 (1)(3)(5)(7)(13)(14) RSMo and Sections 324.001.8 and 324.001.9 RSMo.  Open session is scheduled for August 11, 2022 at 10:00 a.m. for new board member orientation with regular open session scheduled for 1:00 p.m.",,,"2022-08-04 15:13:12.0",,,"
,  
(38.581448, -92.252301)"
"Mental Health Commission",,"2022-08-11T10:00:00.000","0","0",,"Department of Mental Health",,"1706 East Elm Street",,"Jefferson City",,"65101",,,"1","0",,"133 288 5364",,"Rachel","Plaggenberg","(573) 751-6714","rachel.plaggenberg@dmh.mo.gov","The agenda for this meeting will be posted on the Department of Mental Health webpage (https://dmh.mo.gov/about/commission/meeting-schedule/2022) prior to the meeting date.There may be a portion of the meeting as Closed Executive Session pursuant to Section 610.021 RSMo.",,,"2022-08-04 17:09:11.0",,,"
,  
(38.5551799, -92.15435110000001)"
"Missouri State Board of Nursing",,"2022-08-12T08:30:00.000","0","0",,"Missouri Council of School Administrators Education and Conference Center",,"3550 Amazonas Drive",,"Jefferson City",,"65109","https://stateofmo.webex.com/meet/WILLAE",,"0","0",,,,,,"(573) 751-0681",,"Portions of this meeting may be closed pursuant to Section 610.021 (1)(14) RSMo. and Section 324.001.8 and 324.001.9 and 335.068 RSMo.",,,"2022-08-01 13:19:33.0",,,"
,  
(38.589792, -92.25171999999999)"
"Missouri Statewide Independent Living Council (MOSILC)","SILC Governing Council Quarterly Meeting","2022-08-12T10:00:00.000","0","0",,"Missouri Behavioral Health Council Building & Zoom",,"Kathy Carter Building","221 Metro Drive","Jefferson City",,"65109","https://us02web.zoom.us/j/84090138285?pwd=aEFvTkc0emVsYjlBbHMvN1NYaXVWZz09","840 9013 8285","1","1",,,,"Mike","Parker","(314) 799-4004","mparker@paraquad.org","Passcode: 461385",,,"2022-08-04 11:59:29.0",,,
"Board of Embalmers and Funeral Directors",,"2022-08-12T10:00:00.000","0","0",,"Division of Professional Registration",,"3605 Missouri Boulevard",,"Jefferson City",,"65102",,,"0","0",,,,,,"(573) 751-0813",,"Portions of this meeting may be closed pursuant to Sections 610.021 (1)(3)(5)(7)(13)(14) RSMo and Sections 324.001.8 and 324.001.9 RSMo.",,,"2022-08-04 15:13:47.0",,,"
,  
(38.581448, -92.252301)"
"Missouri Geological Survey","Well Installation Board","2022-08-12T10:00:00.000","0","0",,"Via WebEx",,,,,,,"https://stateofmo.webex.com/stateofmo/j.php?MTID=m2c999bcdea982a1112d6afe739130398",,"0","0",,"2457 224 1908",,"Connie","Edwards","(573) 368-2100",,"Meeting password: mrPMpmHv753",,,"2022-06-09 19:33:14.0",,,"
,  
(44.5165436, -67.5845034)"
"Department of Mental Health","Exceptions Committee","2022-08-15T10:00:00.000","0","0",,"Department of Mental Health & Via WebEx",,"1706 East Elm Street",,"Jefferson City",,"65102",,,"1","1",,"2451 904 0843",,,,"(573) 751-8202",,"Meeting password: G3mJwtVjE23 / Portions of this meeting may be closed pursuant to Section 610.021 (1)(5)(13)(14) RSMo.",,,"2022-08-12 11:56:06.0",,,"
,  
(38.5551799, -92.15435110000001)"
