LICENSEE,DBANAME,STREET NUMBER,STREET,CITY,STATE,ZIPCODE,PHONE NUMBER,PRIMARY LICENSE,SECONDARY LICENSE,PRIMARY TYPE,SECONDARY TYPE,COUNTY,DISTRICT,SUBDIST,LATLNG,Missouri Counties,School Districts,Counties
CAMDENTON SAVE-A-LOT INC.,CAMDENTON SAVE-A-LOT,709,N. STATE HWY 5,CAMDENTON,MO,65020,5733464525,1344,0,5OP,    ,CAMDEN,2,00,,,,
CAPE GIRARDEAU COUNTRY CLUB,,250,COUNTRY CLUB DRIVE,CAPE GIRARDEAU,MO,637013338,5733358251,1428,1465,RBD,SBD ,CAPE GIRARDEAU,4,00,,,,
AYERS OIL COMPANY INC.,AYERCO CONVENIENCE CENTER #021,442,S JOHNSON STREET,KAHOKA,MO,63445,6607273613,1857,72065,OPL,SOP ,CLARK,2,00,,,,
AYERS OIL COMPANY INC.,AYERCO #26,36430,US HIGHWAY 61,ALEXANDRIA,MO,634301149,6607546332,1858,72067,OPL,SOP ,CLARK,2,00,"(40.3737984, -91.44757729999999)",1,7,2700
AMERICAN LEGION 61,JARCHOW-SCHROEDER POST 61,5125,N BELLAIRE,KANSAS CITY,MO,641193828,8164547570,1895,77871,RBD,SBD ,CLAY,1,00,,,,
CASCONE'S INC.,CASCONE'S RESTAURANT NO. 2,3737,N OAK,KANSAS CITY,MO,64116,8164547977,1905,20200,RBD,SBD ,CLAY,1,00,"(39.1623224, -94.5766628)",36,133,2701
FRATERNAL ORDER OF EAGLES 3917,AERIE 3917,14305,HWY Y,EXCELSIOR SPRINGS,MO,640245237,8166373917,1914,35455,RBDE,SBD ,RAY,1,00,,,,
BENEVOLENT PROTECTIVE ORDER OF ELKS 1001,LODGE 1001,421,S TITUS,EXCELSIOR SPRINGS,MO,640242656,8166302001,1915,25154,RBDE,SBD ,CLAY,1,00,,,,
BENEVOLENT PROTECTIVE ORDER OF ELKS 2376,"LODGE 2376 K.C.""NORTHLAND ELKS""",7010,N CHERRY,GLADSTONE,MO,641182641,8164366550,1929,82641,RBD,SBD ,CLAY,1,00,,,,
VETERANS OF FOREIGN WARS,NATHAN F. LAMAR POST #5606,5406,NE OAK RIDGE DR,KANSAS CITY,MO,641192905,8164529861,1970,0,RBD,    ,CLAY,1,00,,,,
MCKEEVER ENTERPRISES INC.,PRICE CHOPPER,1645,KEARNEY ROAD,EXCELSIOR SPRINGS,MO,640241753,8166301900,2024,72634,OPL,SOP ,CLAY,1,00,"(39.3366721, -94.2484112)",36,123,2701
MCKEEVER ENTERPRISES INC.,PRICE CHOPPER,1645,KEARNEY ROAD,EXCELSIOR SPRINGS,MO,640241753,8166301900,2024,148078,OPL,OPT ,CLAY,1,00,"(39.3366721, -94.2484112)",36,123,2701
QUIK-TRIP CORPORATION,QUIK-TRIP #173,528,NW ENGLEWOOD ROAD,KANSAS CITY,MO,641183960,8164533388,2038,73086,OPL,SOP ,CLAY,1,00,"(39.1964868, -94.5875446)",36,133,2701
QUIK-TRIP CORPORATION,QUIK-TRIP #181,2590,NE 72ND STREET,GLADSTONE,MO,641182309,8164684366,2040,73084,OPL,SOP ,CLAY,1,00,"(39.2247813, -94.5491521)",36,133,2701
QUIK-TRIP CORPORATION,QUIK-TRIP #169,5108,NE VIVION ROAD,KANSAS CITY,MO,641192939,8164540783,2041,73083,OPL,SOP ,CLAY,1,00,"(39.188515, -94.520017)",36,133,2701
POUR-BOY OIL COMPANY INC.,POUR-BOY OIL COMPANY,,HWY 69,MOSBY,MO,64073,8166355159,2084,74259,OPL,SOP ,CLAY,1,00,,,,
"FREEMAN, LARRY G.",LARRY'S ONE STOP,1201,W CLAY,PLATTSBURG,MO,64477,8165393076,2185,71427,OPL,SOP ,CLINTON,1,00,,,,
LIONS CLUB OF WARDSVILLE,LIONS CLUB OF WARDSVILLE,3505,ROUTE M,JEFFERSON CITY,MO,65101,5736357510,2216,0,COL,    ,COLE,2,00,,,,
AMERICAN LEGION 5,POST 5 HOME ASSOCIATION,1423,TANNER BRIDGE ROAD,JEFFERSON CITY,MO,651012839,5736367442,2221,16764,RBD,SBD ,COLE,2,00,"(38.5612982, -92.1854919)",58,465,2702
FRATERNAL ORDER OF EAGLES 2693,AERIE 2693,1411,MISSOURI BLVD,JEFFERSON CITY,MO,651091727,5736362440,2232,43650,RBD,SBD ,COLE,2,00,"(38.577864, -92.193957)",58,465,2702
BENEVOLENT PROTECTIVE ORDER OF ELKS 513,LODGE 513,901,ELLIS BLVD,JEFFERSON CITY,MO,651012374,5736369533,2233,29550,RBD,SBD ,COLE,2,00,,,,
KNIGHTS OF COLUMBUS HOME ASSN. OF J.C.,HELIAS COUNCIL #1054,1822,TANNER BRIDGE ROAD,JEFFERSON CITY,MO,651012848,5736363424,2244,66848,RBD,SBD ,COLE,2,00,,,,
CAPITOL FOODS INC.,SCHULTE'S FRESH FOODS,1904,SOUTHWEST BLVD,JEFFERSON CITY,MO,65109,5736368413,2268,71922,OPL,SOP ,COLE,2,00,"(38.55398599999999, -92.20020099999999)",58,465,2702
CONVENIENT FOOD MART CFM NO. 14-001 INC.,CONVENIENT FOOD MART #14-001,426,BROOKS,JEFFERSON CITY,MO,651091347,5736350335,2272,70737,OPL,SOP ,COLE,2,00,"(38.583303, -92.186945)",58,465,2702
DILLON STORES DIVISION INC.,GERBES SUPER MARKET #122,2805,W TRUMAN BLVD,JEFFERSON CITY,MO,65101,4178911900,2273,71520,OPL,SOP ,COLE,2,00,"(38.594175, -92.224824)",58,465,2702
DILLON STORES DIVISION INC.,GERBES SUPER MARKET #122,2805,W TRUMAN BLVD,JEFFERSON CITY,MO,65101,4178911900,2273,136184,OPL,OPT ,COLE,2,00,"(38.594175, -92.224824)",58,465,2702
JEFFERSON CITY JAYCEES,JEFF CITY JAYCEES,1445,FAIRGROUNDS RD,JEFFERSON CITY,MO,651015469,5738933950,2322,0,5BDW,    ,COLE,2,00,"(38.561279, -92.2750478)",58,465,2702
FRATERNAL ORDER OF EAGLES 1022,AERIE 1022,708,11TH STREET,BOONVILLE,MO,652330434,6608829970,2400,30600,RBDE,SBD ,COOPER,2,00,,,,
"CRUMP, JERRY W.",BOURBON FAMILY CENTER,,BOURBON SHOPPING CENTER,BOURBON,MO,65441,5737325517,2476,189429,OPL,OPT ,CRAWFORD,4,00,,,,
"CRUMP, JERRY W.",BOURBON FAMILY CENTER,,BOURBON SHOPPING CENTER,BOURBON,MO,65441,5737325517,2476,70882,OPL,SOP ,CRAWFORD,4,00,,,,
WALLIS OIL COMPANY INC.,WALLIS OIL COMPANY #100,,HWY 19,STEELVILLE,MO,65565,5738852277,2483,224692,OPL,OPT ,CRAWFORD,4,00,,,,
WALLIS OIL COMPANY INC.,WALLIS OIL COMPANY #100,,HWY 19,STEELVILLE,MO,65565,5738852277,2483,70869,OPL,SOP ,CRAWFORD,4,00,,,,
"ALLWOOD, LARRY E.",EAST SIDE TAVERN,109,S POLK STREET,MAYSVILLE,MO,644690483,0,2592,286227,5BDW,5BWC,DEKALB,1,00,,,,
AMERICAN LEGION 218,POST 218,1007,E 3RD STREET,WASHINGTON,MO,630903203,6362394363,2753,0,RBD,    ,FRANKLIN,2,00,"(38.5525151, -90.999326)",59,220,1958
AMERICAN LEGION,ST. CLAIR HOME ASSOCIATION,215,W GRAVOIS,ST CLAIR,MO,630771423,6366299934,2755,25213,RBDE,SBD ,FRANKLIN,2,00,,,,
AMERICAN LEGION 366,POST 366,9494,HWY 100,NEW HAVEN,MO,630681423,5732372221,2756,0,RBD,    ,FRANKLIN,2,00,,,,
HUMMINGBIRD CLUB BENEVOLENT CORPORATION,,,MISSOURI AVE,WASHINGTON,MO,63090,6362397401,2782,252130,RBD,SBD ,FRANKLIN,2,00,,,,
LOYAL ORDER OF MOOSE 1745,LODGE 1745,905,HIGHWAY 50,UNION,MO,63084,6365836444,2795,27057,RBD,SBD ,FRANKLIN,2,00,,,,
FRATERNAL ORDER OF EAGLES 3842,AERIE 3842,707,W CONGRESS,PACIFIC,MO,630691928,6363433369,2797,284413,RBD,RDC5,FRANKLIN,2,00,,,,
FRATERNAL ORDER OF EAGLES 3842,AERIE 3842,707,W CONGRESS,PACIFIC,MO,630691928,6363433369,2797,31587,RBD,SBD ,FRANKLIN,2,00,,,,
VETERANS OF FOREIGN WARS,POST 2661 MAX W. MUELLER,813,S JEFFERSON & BUSCH ST,WASHINGTON,MO,630904408,6362396311,2814,0,RBDE,    ,FRANKLIN,2,00,,,,
WASHINGTON COLUMBIAN CLUB,WASHINGTON COLUMBIAN CLUB,1121,COLUMBUS LANE,WASHINGTON,MO,630904170,6362393756,2816,24781,RBD,SBD ,FRANKLIN,2,00,,,,
HOLY FAMILY CHURCH,PORT HUDSON,,HWY C,NEW HAVEN,MO,63068,5734596441,2907,0,5BDW,    ,FRANKLIN,2,00,,,,
FRATERNAL ORDER OF EAGLES 1328,AERIE 1328,410,MARKET STREET,HERMANN,MO,650411034,0,3030,39354,RBD,SBD ,GASCONADE,2,00,,,,
LOYAL ORDER OF MOOSE 878,LODGE 878,107,S FIRST ST,OWENSVILLE,MO,650661358,5734373105,3038,26786,RBD,SBD ,GASCONADE,2,00,,,,
VETERANS OF FOREIGN WARS,BLEDSOE BULAS POST #6133,,MEMORIAL PARK,OWENSVILLE,MO,65066,5734373333,3081,0,5BDW,    ,GASCONADE,2,00,,,,
HICKORY HILLS COUNTRY CLUB INC.,HICKORY HILLS COUNTRY CLUB,3909,E. CHERRY,SPRINGFIELD,MO,65808,4178664384,3170,3249,RBDE,SBD ,GREENE,5,00,"(37.2039389, -93.2184308)",93,493,1960
SHRINE UNIFORMED UNITS,ABOU BEN ADHEM TEMPLE,601,ST LOUIS,SPRINGFIELD,MO,658062413,4178699164,3220,63778,RBD,SBD ,GREENE,5,00,"(37.209553, -93.286255)",93,493,1960
TWIN OAKS COUNTRY CLUB,TWIN OAKS COUNTRY CLUB,1020,E. REPUBLIC RD.,SPRINGFIELD,MO,65807,4178814744,3231,3265,RBDR,SBD ,GREENE,5,00,,,,
VETERANS OF FOREIGN WARS 3404,POST 3404 WILBUR ADAMS,1136,E ATLANTIC STREET,SPRINGFIELD,MO,658033225,4178656929,3232,276361,RBD,SBD ,GREENE,5,00,"(37.2329959, -93.27557790000002)",93,493,1960
WAHCO MANAGEMENT INC.,UNCLE BENTLY'S,4123,S NATIONAL AVE,SPRINGFIELD,MO,658075356,4178812389,3235,211020,RBD,SBD ,GREENE,5,00,"(37.13922600000001, -93.281114)",93,493,1960
G. & S. RESTAURANT INC.,GEORGE'S STEAK HOUSE,339,S GLENSTONE,SPRINGFIELD,MO,658023172,4178316777,3409,0,5BD,    ,GREENE,5,00,"(37.2069052, -93.26232759999999)",93,493,1960
ARCADIA SPORTING GOODS INC.,ARCADIA SPORTING GOODS,HWY,21 & 72,ARCADIA,MO,63621,5735467616,3763,103906,OPL,OPT ,IRON,4,00,,,,
ARCADIA SPORTING GOODS INC.,ARCADIA SPORTING GOODS,HWY,21 & 72,ARCADIA,MO,63621,5735467616,3763,73210,OPL,SOP ,IRON,4,00,,,,
BLUE HILLS COUNTRY CLUB,,777,W. BURNING TREE DR.,KANSAS CITY,MO,64145,8169423292,3848,4442,RBD,SBD ,JACKSON,1,00,,,,
CARRIAGE CLUB,"CARRIAGE CLUB, THE",5301,STATE LINE,KANSAS CITY,MO,641122364,8163631310,3894,4456,RBD,SBD ,JACKSON,1,00,"(39.0308359, -94.6073668)",43,151,525
FRATERNAL ORDER OF EAGLES 3717,AERIE 3717,11424,HWY 24 EAST,SUGAR CREEK,MO,640540650,8164611755,3959,37926,RBD,SBD ,JACKSON,1,00,,,,
BENEVOLENT PROTECTIVE ORDER OF ELKS 2509,LODGE 2509,100,N.E. BRIZENDINE RD.,BLUE SPRINGS,MO,640146506,8162296081,3967,25783,RBD,SBD ,JACKSON,1,00,,,,
BENEVOLENT PROTECTIVE ORDER OF ELKS 26,LODGE 26,515,E 99TH STREET,KANSAS CITY,MO,641314244,8169422443,3969,4481,RBD,SBD ,JACKSON,1,00,"(38.9480632, -94.5852232)",43,167,525
KELLY'S WESTPORT INN INC.,KELLY'S WESTPORT INN,500,WESTPORT ROAD,KANSAS CITY,MO,641113012,8165615800,4111,91315,RBD,SBD ,JACKSON,1,00,"(39.0529277, -94.5917188)",43,151,525
KELLY'S WESTPORT INN INC.,KELLY'S WESTPORT INN,500,WESTPORT ROAD,KANSAS CITY,MO,641113012,8165615800,4111,15186,RBD,EXTH,JACKSON,1,00,"(39.0529277, -94.5917188)",43,151,525
MANLO INC.,MANNY'S,207,SOUTHWEST BLVD,KANSAS CITY,MO,64108,8164747696,4163,0,RBD,    ,JACKSON,1,00,"(39.0890979, -94.5867615)",43,151,525
LOYAL ORDER OF MOOSE 10,LODGE 10 KANSAS CITY,510,N STERLING,SUGAR CREEK,MO,640540627,8162544309,4183,25856,RBD,SBD ,JACKSON,1,00,,,,
RIVER CLUB INC.,"RIVER CLUB, THE",611,W 8TH STREET,KANSAS CITY,MO,641051393,8162215353,4269,0,RBD,    ,JACKSON,1,00,"(39.1046163, -94.5916663)",43,151,525
SEVENTEEN HUNDRED WEST INC.,FRIC AND FRAC RESTAURANT,1700,W 39TH STREET,KANSAS CITY,MO,641114404,8167536102,4298,24200,RBD,SBD ,JACKSON,1,00,"(39.057457, -94.60518599999999)",43,151,525
STERLING BOWL INC.,VERONA ROOM,11216,HWY 24,SUGAR CREEK,MO,640541598,8162522111,4327,31001,RBD,SBD ,JACKSON,1,00,,,,
VETERANS OF FOREIGN WARS,BLUE RIDGE MEMORIAL POST #9997,6801,WILSON ROAD,KANSAS CITY,MO,641251452,8162319932,4372,206349,RBD,SBD ,JACKSON,1,00,"(39.108014, -94.502408)",43,151,525
VETERANS OF FOREIGN WARS,POST 1829 CLAUDE B. CHAMPION,5904,CRYSTAL STREET,KANSAS CITY,MO,641292580,8169212222,4373,162400,RBD,SBD ,JACKSON,1,00,"(39.017032, -94.5036329)",43,163,525
"WALSH, PATRICK T.",WALSH'S CORNER COCKTAILS,304,W 85TH STREET,KANSAS CITY,MO,64114,8163617099,4401,186266,RBD,SBD ,JACKSON,1,00,"(38.9742921, -94.5941363)",43,151,525
GENERAL STORE #2 INC.,MARSH'S SUNFRESH,4001,MILL STREET,KANSAS CITY,MO,641113008,8169311639,4753,93627,OPL,OPT ,JACKSON,1,00,"(39.05456239999999, -94.5947473)",43,151,525
GENERAL STORE #2 INC.,MARSH'S SUNFRESH,4001,MILL STREET,KANSAS CITY,MO,641113008,8169311639,4753,72912,OPL,SOP ,JACKSON,1,00,"(39.05456239999999, -94.5947473)",43,151,525
HOUSE OF HOOCH INC.,"LITTLE GENERAL STORE, THE",1017,N WOODS CHAPEL ROAD,BLUE SPRINGS,MO,640152653,8162285466,4784,71423,OPL,SOP ,JACKSON,1,00,,,,
KING ENTERPRISES INC.,HUB LIQUORS,2650,HUB DRIVE #F,INDEPENDENCE,MO,64055,8163735702,4808,0,OPL,    ,JACKSON,1,00,"(39.0717441, -94.3812832)",43,463,525
"PLEASURE, OLIVER",OLIVER'S LIQUOR AND GROCERIES,2301,E 12TH STREET,KANSAS CITY,MO,64127,0,4891,0,OPL,    ,JACKSON,1,00,"(39.0986959, -94.554137)",43,151,525
QUIK-TRIP CORPORATION,QUIK-TRIP #190,344,W 72ND ST,KANSAS CITY,MO,641145744,8163612633,4900,73352,OPL,SOP ,JACKSON,1,00,"(38.9981558, -94.5931493)",43,151,525
QUIK-TRIP CORPORATION,QUIK-TRIP #176,1201,WESTPORT ROAD,KANSAS CITY,MO,64111,8169316886,4905,73343,OPL,SOP ,JACKSON,1,00,,,,
QUIK-TRIP CORPORATION,QUIK-TRIP #209,9323,HWY 350 E,RAYTOWN,MO,641336507,8163587026,4906,73341,OPL,SOP ,JACKSON,1,00,"(38.9931036, -94.47228179999999)",43,163,525
QUIK-TRIP CORPORATION,QUIK-TRIP #184,4327,MAIN STREET,KANSAS CITY,MO,641111809,8165616055,4908,73339,OPL,SOP ,JACKSON,1,00,"(39.04831799999999, -94.58606999999999)",43,151,525
QUIK-TRIP CORPORATION,QUIK-TRIP #162,801,SE M-291 HWY,LEE'S SUMMIT,MO,640634348,8165242946,4909,73357,OPL,SOP ,JACKSON,1,00,,,,
QUIK-TRIP CORPORATION,QUIK-TRIP #200,120,SW M-150 HWY,LEE'S SUMMIT,MO,640824401,8165376061,4910,73073,OPL,SOP ,JACKSON,1,00,,,,
QUIK-TRIP CORPORATION,QUIK-TRIP #208,800,NE WOODS CHAPEL ROAD,LEE'S SUMMIT,MO,64064,8163730176,4911,73072,OPL,SOP ,JACKSON,1,00,,,,
QUIK-TRIP CORPORATION,QUIK-TRIP #197,13100,HOLMES RD.,KANSAS CITY,MO,641451489,8169429048,4913,73349,OPL,SOP ,JACKSON,1,00,"(38.889249, -94.5868326)",43,178,525
"ZAJIC, KEITH ARNOLD",MR. Z'S IN & OUT,1600,W 39TH STREET,KANSAS CITY,MO,641114430,0,5068,71699,OPL,SOP ,JACKSON,1,00,"(39.0574161, -94.60394490000002)",43,151,525
QUIK-TRIP CORPORATION,QUIK-TRIP #201,19010,US HIGHWAY 24,INDEPENDENCE,MO,64056,8167966671,5082,73350,OPL,SOP ,JACKSON,1,00,,,,
BENEVOLENT PROTECTIVE ORDER OF ELKS 501,LODGE 501,1802,W. 26TH STREET,JOPLIN,MO,648041514,4176240048,5395,64891,RBDE,SBD ,JASPER,5,00,"(37.060795, -94.537435)",94,490,1966
C & N BOWL CORPORATION,C & N BOWL,1419,W 4TH STREET,JOPLIN,MO,648013033,4176245681,5397,19683,RBD,SBD ,JASPER,5,00,"(37.088517, -94.5302681)",94,490,1966
TWIN HILLS GOLF & COUNTRY CLUB INC.,TWIN HILLS GOLF & COUNTRY CLUB,2019,S COUNTRY CLUB DRIVE,JOPLIN,MO,648049022,4176234112,5432,5441,RBDR,SBD ,JASPER,5,00,,,,
QUONSET CORPORATION,QUONSET,2004,TRUMAN BLVD,CRYSTAL CITY,MO,630191021,6369370101,5626,5673,RBD,SBD ,JEFFERSON,3,00,"(38.2346537, -90.3911897)",62,284,1967
RADEACKAR AG MARKET INC.,RADEACKAR AG MARKET,6771,MALL DRIVE,CEDAR HILL,MO,63016,6362854621,5755,72214,OPL,SOP ,JEFFERSON,3,00,"(38.351443, -90.65118799999999)",62,256,1967
FRATERNAL ORDER OF EAGLES 2463,AERIE 2463,105,SHELBY STREET,BROOKFIELD,MO,646281741,6602585620,6261,47210,RBD,SBD ,LINN,2,00,,,,
FRATERNAL ORDER OF EAGLES 726,AERIE 726,301,N CHESTNUT STREET,MARCELINE,MO,646581168,6603769879,6263,26258,RBD,SBD ,LINN,2,00,,,,
BENEVOLENT PROTECTIVE ORDER OF ELKS 874,LODGE 874,,WOOD & LINN STREET,BROOKFIELD,MO,646280222,6602587462,6265,25420,RBD,SBD ,LINN,2,00,,,,
MARCELINE FOODS INC.,PRENGER FOODS,205,N CHESTNUT,MARCELINE,MO,646581170,6603762322,6279,247736,OPL,OPT ,LINN,2,00,,,,
MARCELINE FOODS INC.,PRENGER FOODS,205,N CHESTNUT,MARCELINE,MO,646581170,6603762322,6279,76411,OPL,SOP ,LINN,2,00,,,,
BENEVOLENT PROTECTIVE ORDER OF ELKS 999,LODGE 999,212,N ROLLINS STREET,MACON,MO,635521533,6603852333,6396,160939,RBD,SBD ,MACON,2,00,"(39.739237, -92.472619)",20,72,2120
MACON CONSUMERS INC.,C & R MARKET,703,E. BRIGGS DR.,MACON,MO,635521906,6603853133,6409,171032,OPL,OPT ,MACON,2,00,,,,
MACON CONSUMERS INC.,C & R MARKET,703,E. BRIGGS DR.,MACON,MO,635521906,6603853133,6409,72097,OPL,SOP ,MACON,2,00,,,,
ST. JOSEPH CHURCH,MONSIGNOR FARISCHON HALL,,CHURCH & LANE STREET,PALMYRA,MO,63461,5737693270,6499,0,COL,    ,MARION,2,00,,,,
AMERICAN LEGION,EMMETTE J. SHIELDS POST #55,3819,HIGHWAY MM,HANNIBAL,MO,63401,5732218073,6501,88501,RBD,SBD ,MARION,2,00,,,,
BENEVOLENT PROTECTIVE ORDER OF ELKS 1198,LODGE 1198,411A,BROADWAY,HANNIBAL,MO,634014407,5732211198,6513,0,RBD,    ,MARION,2,00,,,,
KNIGHTS OF COLUMBUS,COUNCIL 907,#1,COLUMBUS ROAD,HANNIBAL,MO,634012386,5732210907,6515,69235,RBD,SBD ,MARION,2,00,"(39.7199667, -91.404067)",24,477,2122
VETERANS OF FOREIGN WARS,POST 2446,209,BIRD STREET,HANNIBAL,MO,634013519,5732480553,6528,24854,RBD,SBD ,MARION,2,00,,,,
AYERS OIL COMPANY INC.,AYERCO CONVENIENCE CENTER #24,,HWY 61 & MM,HANNIBAL,MO,63401,5732214210,6538,71798,OPL,SOP ,MARION,2,00,,,,
AYERS OIL COMPANY INC.,AYERCO CONVENIENCE CENTER 22,1208,MARK TWAIN AVE,HANNIBAL,MO,63401,5732215292,6539,71797,OPL,SOP ,MARION,2,00,,,,
AYERS OIL COMPANY INC.,AYERCO #025,8800,HWY 24,TAYLOR,MO,63471,5733932330,6556,71795,OPL,SOP ,MARION,2,00,,,,
CASSANO PIZZA KING OF HANNIBAL INC.,,2860,JAMES ROAD,HANNIBAL,MO,634013762,5732215442,6563,6570,5BDW,5SBD,MARION,2,00,,,,
BENTLEY'S RESTAURANT OF THE OZARKS INC.,BENTLEY'S RESTAURANT OF THE OZARKS,3100,BAGNELL DAM BLVD.,LAKE OZARK,MO,650499730,5733655301,6611,0,RBD,    ,MILLER,2,00,,,,
DILLON STORES DIVISION INC.,GERBES SUPER MARKET #116,410,E NORTH STREET,ELDON,MO,65026,4178953000,6646,71982,OPL,SOP ,MILLER,2,00,"(38.3503633, -92.5779247)",64,261,2124
DILLON STORES DIVISION INC.,GERBES SUPER MARKET #116,410,E NORTH STREET,ELDON,MO,65026,4178953000,6646,136055,OPL,OPT ,MILLER,2,00,"(38.3503633, -92.5779247)",64,261,2124
"GERHART, NORRIS G.",MR. G'S PACKAGE LIQUOR,306,W BUCHANAN,CALIFORNIA,MO,65018,5737963808,6771,71527,OPL,SOP ,MONITEAU,2,00,,,,
"GERHART, NORRIS G.",MR. G'S PACKAGE LIQUOR,306,W BUCHANAN,CALIFORNIA,MO,65018,5737963808,6771,89339,OPL,OPT ,MONITEAU,2,00,,,,
AYERS OIL COMPANY INC.,AYERCO CONVENIENCE CENTER #036,301,N CENTER STREET,SHELBINA,MO,65275,5735882094,6810,72064,OPL,SOP ,SHELBY,2,00,,,,
MONTGOMERY COUNTY FAIR SOCIETY INC.,MONTGOMERY COUNTY FAIR SOCIETY,700,S STURGEON,MONTGOMERY CITY,MO,63361,5735643032,6826,0,COL,    ,MONTGOMERY,2,00,,,,
MONTGOMERY COUNTY FAIR SOCIETY INC.,MONTGOMERY COUNTY FAIR,700,S STURGEON,MONTGOMERY CITY,MO,63361,5735643032,6827,0,COL,    ,MONTGOMERY,2,00,,,,
"GOWAN, KAREN S.",BUDDY'S PACKAGE STORE,403,HWY 61 NORTH,PORTAGEVILLE,MO,638731427,5733793687,7031,72495,OPL,SOP ,NEW MADRID,4,00,,,,
BENEVOLENT PROTECTIVE ORDER OF ELKS 760,LODGE 760,115,N MAIN STREET,MARYVILLE,MO,644681622,6605823241,7160,24887,RBD,SBD ,NODAWAY,1,00,"(40.3466113, -94.87259259999999)",5,1,2130
RAY-NOBLE COMPANY,RAY-NOBLE TOBACCO STORE 1,101,HOLMES ROAD,THAYER,MO,65791,4172643218,7217,72975,OPL,SOP ,OREGON,4,00,,,,
CITIZEN CIVIC LEAGUE,,301,N. OLIVE ST.,META,MO,65058,9999999999,7234,0,COL,    ,OSAGE,2,00,,,,
"NAEGER, LOIS M.",AL'S PLACE,233,MAIN ST.,MCBRIDE,MO,637769999,5735475656,7495,0,5BDW,    ,PERRY,4,00,,,,
LOYAL ORDER OF MOOSE 1494,LODGE 1494,119,WINCHESTER DR,SEDALIA,MO,65301,6608266631,7574,26767,RBDE,SBD ,PETTIS,2,00,,,,
