"career_center_name","address1","address2","city","state","zipcode","phone","fax","toll_free","email","latlng"
"Rolla Job Center","1107 Kingshighway",,"Rolla","MO","65401","573-368-2354",,"1-888-728-5627","rolla@dhewd.mo.gov","(37.9439928, -91.7865659)"
"FEC (Richmond)","1740 Paseo",,"Kansas City","MO","64108","816-471-2330",,,,"(39.0915451, -94.5652555)"
"THE CUBE (Full Employment Council)","1722 E 17th Terrace",,"Kansas City","MO","64108","816-471-2330",,,,"(39.0918044, -94.56209)"
"Kirksville Job Center","2105 East Normal",,"Kirksville","MO","63501","660-785-2400",,"1-888-728-5627","kirksville@dhewd.mo.gov","(40.1903519, -92.5608926)"
"Branson Job Center","2720 Shepherd of the Hills Expressway, Ste B",,"Branson","MO","65616","417-334-4156",,"1-888-728-5627","branson@dhewd.mo.gov","(36.6538853, -93.2738724)"
"St. Joseph Job Center","2202 Frederick",,"St. Joseph","MO","64506","816-387-2380",,"1-888-728-5627","stjoseph@dhewd.mo.gov","(39.774461, -94.8336745)"
"Arnold Job Center","3675 West Outer Road, Suite 102",,"Arnold","MO","63010","(636) 865-6060",,"1-888-728-5627","arnold@dhewd.mo.gov","(38.4120145, -90.3906181)"
"Springfield Job Center","2900 East Sunshine",,"Springfield","MO","65804","417-887-4343",,"1-888-728-5627","springfield@dhewd.mo.gov","(37.179313, -93.2372299)"
"Fort Leonard Wood Job Center","140 Replacement Ave., Suite 2202","(send all correspondence to the Rolla Job Center address)","Fort Leonard Wood","MO","65473","573-596-0294",,"1-888-728-5627",,"(37.948544, -91.7715303)"
"Warrenton Job Center","111 Steinhagen Road",,"Warrenton","MO","63383","636-456-9467",,"1-888-728-5627","warrenton@dhewd.mo.gov","(38.8123513, -91.1399124)"
"FACE FORWARD","1710 E. 18th Street",,"Kansas City","MO","64108","816-471-2330",,,,"(39.0912763, -94.5614399)"
"Independence Job Center","15301 East 23rd Street South",,"Independence","MO","64055-1698","816-521-5700",,"1-888-728-5627","independence@dhewd.mo.gov","(39.0782254, -94.3985195)"
"Chillicothe Job Center","601 West Mohawk Road",,"Chillicothe","MO","64601","660-646-0671",,"1-888-728-5627","chillicothe@dhewd.mo.gov","(39.819046, -93.5509568)"
"Potosi Missouri Job Center","501 East High St.","Washington County IDA Building","Potosi","MO","63664","573-210-1436",,,,"(37.9317747, -90.7805093)"
"St. Louis City-SLATE Job Center","1520 Market Street, Room 3050",,"St. Louis","MO","63103","314-589-8000",,"1-888-728-5627","info@stlworks.com","(38.6279895, -90.2033555)"
"State Fair Community College","3797 Osage Beach Parkway",,"Osage Beach","MO","65065","573-348-0888",,,,"(0.0, 0.0)"
"Sikeston Job Center","202 South Kingshighway",,"Sikeston","MO","63801","573-472-5250",,"1-888-728-5627","sikeston@dhewd.mo.gov","(36.8756439, -89.5869297)"
"Joplin Job Center","730 S Wall Ave",,"Joplin","MO","64801","417-629-3000",,"1-888-728-5627","joplin@ded.mo.gov","(37.0830777, -94.5161202)"
"St. Charles County Job Center","212 Turner Boulevard",,"St. Peters","MO","63376","636-255-6060",,"1-888-728-5627","stcharles@dhewd.mo.gov","(38.8052751, -90.6474431)"
"Platte County Resource Center","11724 NW Plaza Circle","Suite 500","Kansas City","MO","64153","816-464-4620",,,,"(39.305988, -94.685134)"
"St. Robert—Pulaski County Affiliate Office","St. Robert Affiliate Office","194 Eastland Ave., Suite 105","St. Robert","MO","65584","573-451-3109",,,,"(0.0, 0.0)"
"Kansas City - FEC Job Center","1740 The Paseo",,"Kansas City","MO","64108","816-471-2330",,"1-888-728-5627",,"(39.0915254, -94.5652232)"
"Sedalia Job Center","515 S. Kentucky",,"Sedalia","MO","65301","660-530-5627",,"1-888-728-5627","sedalia@dhewd.mo.gov","(38.7063365, -93.2299736)"
"Park Hills Job Center","403 Parkway Drive, Suite A",,"Park Hills","MO","63601","573-518-2431",,"1-888-728-5627","parkhills@dhewd.mo.gov","(37.864765, -90.509429)"
